('https://image1.ljcdn.com/440600-inspection/test-4dad8e1a-6bfb-4c18-9472-ded3a55f49df.png.296x216.jpg', '依云天汇 3室2厅 265万', '依云天汇  | 3室2厅 | 102.12平米 | 南 | 其他', '低楼层(共45层)2011年建塔楼  -  千灯湖', '265万', '单价25950元/平米')
('https://image1.ljcdn.com/440600-inspection/5b959ec8-8ffb-45a6-ae6d-9ede587d4a8b.jpg.296x216.jpg', '富丰君御 3房2厅 222.5万元', '富丰君御  | 3室2厅 | 89平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  平洲', '222.5万', '单价25000元/平米')
('https://image1.ljcdn.com/440600-inspection/8f3ba6f1-c06f-4101-9048-8f5f88e0bce9.jpg.296x216.jpg', '宏鼎景裕豪园 温馨三房 带装修配套成熟', '宏鼎景裕豪园  | 3室2厅 | 89平米 | 北 | 精装', '低楼层(共39层)2019年建塔楼  -  桂城北（南海广场）', '228万', '单价25618元/平米')
('https://image1.ljcdn.com/440600-inspection/013e880e-3a79-46ce-ba7a-cc053351b03a.JPG.296x216.jpg', '新荔湾花园 间隔方正', '新荔湾花园  | 1室1厅 | 25平米 | 东北 | 其他', '高楼层(共8层)塔楼  -  黄岐', '38万', '单价15200元/平米')
('https://image1.ljcdn.com/440600-inspection/3cf083c3-71c6-4f75-b7e2-9d6fb7ac40c1.JPG.296x216.jpg', '依云华府 3室2厅 195万', '依云华府  | 3室2厅 | 116平米 | 北 | 毛坯', '中楼层(共16层)2018年建塔楼  -  狮山', '195万', '单价16811元/平米')
('https://image1.ljcdn.com/440600-inspection/df348c8b-3e85-40a5-82d1-051728cd0c0a.JPG.296x216.jpg', '领地海纳君庭 间隔实用', '领地海纳君庭  | 2室2厅 | 71平米 | 南 北 | 其他', '中楼层(共17层)2016年建塔楼  -  大沥', '106万', '单价14930元/平米')
('https://image1.ljcdn.com/440600-inspection/1b727467-a71b-4a30-a7bc-a1bc5d00a1f1.jpg.296x216.jpg', '中恒海晖城 格局方上下左右', '中恒海晖城  | 4室2厅 | 172平米 | 南 | 精装', '高楼层(共26层)2018年建塔楼  -  狮山', '245万', '单价14245元/平米')
('https://image1.ljcdn.com/440600-inspection/9ca1b106-2bf5-49f1-9e23-ed73f70fc653.jpg.296x216.jpg', '海伦堡海汇广场 2室2厅 75万', '海伦堡海汇广场  | 2室2厅 | 44.77平米 | 北 | 其他', '高楼层(共21层)塔楼  -  平洲', '75万', '单价16753元/平米')
('https://image1.ljcdn.com/440600-inspection/a35126cc-f26f-4c2d-b4d4-785c69b80f39.jpg.296x216.jpg', '万科金域中央 3室2厅 99万', '万科金域中央  | 3室2厅 | 68平米 | 南 | 其他', '高楼层(共23层)2017年建塔楼  -  平洲', '99万', '单价14559元/平米')
('https://image1.ljcdn.com/440600-inspection/7b53c0b8-8e00-4f70-9628-945fde14f82d.jpg.296x216.jpg', '桂丹颐景园 二房出售 户型方正', '桂丹颐景园  | 2室2厅 | 79.42平米 | 南 | 毛坯', '中楼层(共33层)2016年建塔楼  -  丹灶', '98万', '单价12340元/平米')
('https://image1.ljcdn.com/440600-inspection/6b9f8eb6-90c3-400f-aa70-967f5c999faa.JPG.296x216.jpg', '狮山 水晶湾 大三房', '水晶湾花园  | 2室2厅 | 95平米 | 南 | 其他', '高楼层(共17层)塔楼  -  狮山', '143万', '单价15053元/平米')
('https://image1.ljcdn.com/440600-inspection/2541f4f4-91dd-4d4f-aa75-5c8ac38b0c9b.jpg.296x216.jpg', '万科金色领域 交通方便 采光充足 雷岗站', '万科金色领域  | 1室1厅 | 39平米 | 西 | 其他', '低楼层(共40层)2016年建塔楼  -  佛平路', '65万', '单价16667元/平米')
('https://image1.ljcdn.com/440600-inspection/da8df85f-f32f-432f-b997-e2791c663357.jpg.296x216.jpg', '中海万锦熙岸 电梯三房 户型方正', '中海万锦熙岸  | 3室0厅 | 89平米 | 南 | 简装', '低楼层(共39层)塔楼  -  平洲', '198万', '单价22248元/平米')
('https://image1.ljcdn.com/440600-inspection/6b1ee596-cb3c-4ded-b3d8-5d20c72a531d.jpg.296x216.jpg', '东向景观 舒适居家', '万科金色领域  | 1室1厅 | 31.4平米 | 东 | 精装', '低楼层(共40层)2016年建塔楼  -  佛平路', '55万', '单价17516元/平米')
('https://image1.ljcdn.com/440600-inspection/c064fd47-0cdc-4ee6-a12e-d2d608877ab1.jpg.296x216.jpg', '华福御水岸 3室2厅 215万', '华福御水岸  | 3室2厅 | 91平米 | 南 | 其他', '中楼层(共31层)塔楼  -  平洲', '215万', '单价23627元/平米')
('https://image1.ljcdn.com/440600-inspection/50b52b9e-b7fb-42aa-a138-ee77e2af252a.jpg.296x216.jpg', '白天鹅花园 间隔实用 交通便利', '白天鹅花园  | 2室2厅 | 94平米 | 北 | 其他', '中楼层(共27层)2006年建塔楼  -  黄岐', '210万', '单价22341元/平米')
('https://image1.ljcdn.com/440600-inspection/d989f12f-ab67-4488-af01-b94340d36e2e.jpg.296x216.jpg', '金域蓝湾 装修4房', '万科金域蓝湾灏景湾  | 4室2厅 | 157平米 | 南 | 其他', '低楼层(共32层)2015年建塔楼  -  平洲', '340万', '单价21657元/平米')
('https://image1.ljcdn.com/440600-inspection/0c12eef7-50fa-4a70-b384-53a0fc89cf4a.jpg.296x216.jpg', '万达广场 1室1厅 107万', '万达广场  | 1室1厅 | 67平米 | 西北 | 其他', '高楼层(共35层)2012年建塔楼  -  千灯湖', '107万', '单价15971元/平米')
('https://image1.ljcdn.com/440600-inspection/923c29c6-b795-46bc-bcf2-fadef2a100cb.jpg.296x216.jpg', '海伦堡海汇广场 1室1厅 60万', '海伦堡海汇广场  | 1室1厅 | 42平米 | 北 | 其他', '高楼层(共26层)塔楼  -  平洲', '60万', '单价14286元/平米')
('https://image1.ljcdn.com/440600-inspection/7f1f29de-c376-4660-a823-3dd67116e8ad.JPG.296x216.jpg', '灯湖领秀 交通便利 配套成熟', '灯湖领秀  | 3室2厅 | 91.38平米 | 北 | 毛坯', '高楼层(共31层)2015年建塔楼  -  千灯湖', '250万', '单价27359元/平米')
('https://image1.ljcdn.com/440600-inspection/753968a5-509f-4677-9bce-23d9ba9e6b1d.JPG.296x216.jpg', '翠林 庭 格局方正 南北对流', '翠林豪庭  | 3室2厅 | 92平米 | 南 | 其他', '高楼层(共25层)2016年建塔楼  -  里水', '165万', '单价17935元/平米')
('https://image1.ljcdn.com/440600-inspection/037cad35-8550-4a8b-8d30-2d46e86a09ee.jpg.296x216.jpg', '康怡名都  1房1厅 75万元', '鸿晖康怡名都  | 1室1厅 | 50平米 | 北 | 其他', '高楼层(共10层)2015年建塔楼  -  平洲', '75万', '单价15000元/平米')
('https://image1.ljcdn.com/440600-inspection/a28ad87f-9a51-4c95-9165-c88bb2586c8d.jpg.296x216.jpg', '汇豪嘉园 环境好', '汇豪嘉园  | 2室2厅 | 66.07平米 | 南 | 精装', '中楼层(共29层)2014年建塔楼  -  大沥', '130万', '单价19677元/平米')
('https://image1.ljcdn.com/440600-inspection/1fb8b26d-a1e6-453d-a886-85bac2ec5e09.jpg.296x216.jpg', '罗村 中恒海晖城 2房2厅', '中恒海晖城  | 2室2厅 | 80平米 | 南 | 简装', '高楼层(共18层)2018年建塔楼  -  狮山', '110万', '单价13750元/平米')
('https://image1.ljcdn.com/440600-inspection/6120f887-b3eb-4223-8a41-6ff0d1208694.jpg.296x216.jpg', '怡富广场 2室1厅 85万', '怡富广场  | 2室1厅 | 69.7平米 | 南 | 其他', '高楼层(共8层)1999年建塔楼  -  黄岐', '85万', '单价12196元/平米')
('https://image1.ljcdn.com/440600-inspection/e7823c96-c12c-4876-a39f-eabfbaf5da4d.JPG.296x216.jpg', '翠湖绿洲 舒适小区4房2厅3卫 南北对', '翠湖绿洲花园  | 3室2厅 | 125平米 | 南 | 其他', '高楼层(共14层)2014年建塔楼  -  罗村', '193万', '单价15440元/平米')
('https://image1.ljcdn.com/440600-inspection/b25e48a2-78a5-4372-92bd-a76655c64e9b.jpg.296x216.jpg', '宏鼎景裕HAO园 交通便利', '宏鼎景裕豪园  | 3室2厅 | 92平米 | 南 | 精装', '高楼层(共17层)2011年建塔楼  -  桂城北（南海广场）', '220万', '单价23914元/平米')
('https://image1.ljcdn.com/440600-inspection/2a63c6ec-bd74-436b-8320-0aa97357a794.JPG.296x216.jpg', '江滨大厦 1室1厅 43万', '江滨大厦  | 1室1厅 | 37.24平米 | 南 | 其他', '中楼层(共9层)2001年建塔楼  -  黄岐', '43万', '单价11547元/平米')
('https://image1.ljcdn.com/440600-inspection/50e68e6f-dba7-4a72-a59e-0abe8a7bcdda.JPG.296x216.jpg', '禾粤尚德居 3室2厅 106万', '禾粤尚德居  | 3室2厅 | 89平米 | 东南 | 其他', '中楼层(共27层)塔楼  -  狮山', '106万', '单价11911元/平米')
('https://image1.ljcdn.com/440600-inspection/994029bf-301d-4473-8a28-eb051ecab878.jpg.296x216.jpg', '中海万锦熙岸 带装修3房 户型方正', '中海万锦熙岸  | 3室2厅 | 109平米 | 南 | 其他', '低楼层(共39层)塔楼  -  平洲', '285万', '单价26147元/平米')
('https://image1.ljcdn.com/440600-inspection/6cc4cf9d-2ef6-4c8d-b016-c0586612bdb9.jpg.296x216.jpg', '力迅城筑 新毛坯', '力迅城筑  | 4室2厅 | 150平米 | 南 北 | 毛坯', '高楼层(共15层)2017年建塔楼  -  罗村', '300万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/605f41d5-5562-4bb4-bd9e-2bd5cf56448f.jpg.296x216.jpg', '俊雅花园 三房出租 装修新净特色', '俊雅花园一期  | 3室2厅 | 101.11平米 | 南 北 | 简装', '高楼层(共8层)1998年建塔楼  -  桂城北（南海广场）', '160万', '单价15825元/平米')
('https://image1.ljcdn.com/440600-inspection/305ec343-b135-4cf9-b8a2-f229ed429cab.jpg.296x216.jpg', '依岸康堤毛坯三房 户型方正 朝向靓丽', '依岸康堤花园  | 3室2厅 | 90.29平米 | 南 | 其他', '中楼层(共32层)2016年建塔楼  -  平洲', '220万', '单价24366元/平米')
('https://image1.ljcdn.com/440600-inspection/c15063e9-9282-4e10-a19e-6a758d06077a.jpg.296x216.jpg', '名雅花园 环境舒适', '黄岐名雅花园  | 2室1厅 | 73平米 | 南 | 简装', '高楼层(共8层)2004年建塔楼  -  黄岐', '95万', '单价13014元/平米')
('https://image1.ljcdn.com/440600-inspection/9dcbfbfc-0420-4409-b8fb-26a4cb4985d0.jpg.296x216.jpg', '万科金色城市 3室2厅 210万', '万科金色城市  | 3室2厅 | 88平米 | 南 北 | 其他', '中楼层(共35层)2018年建塔楼  -  桂城北（南海广场）', '210万', '单价23864元/平米')
('https://image1.ljcdn.com/440600-inspection/0e075b12-c23f-4382-96ea-d8c17924a310.JPG.296x216.jpg', '宏鼎景裕豪园 温馨三房 带装修配套成熟', '宏鼎景裕豪园  | 3室2厅 | 88.75平米 | 北 | 简装', '中楼层(共39层)2019年建塔楼  -  桂城北（南海广场）', '230万', '单价25916元/平米')
('https://image1.ljcdn.com/440600-inspection/8efbb0f0-0233-4341-ab2d-d85bfd56b0c4.jpg.296x216.jpg', '宏宇景裕豪园 南北对流 3房 带装修', '宏鼎景裕豪园  | 3室2厅 | 91.57平米 | 南 | 精装', '低楼层(共32层)2019年建塔楼  -  桂城北（南海广场）', '250万', '单价27302元/平米')
('https://image1.ljcdn.com/440600-inspection/bf4ce1d8-f960-4d48-a4cc-45705795fedd.jpg.296x216.jpg', '江南名居 1室0厅 87万', '江南名居  | 1室0厅 | 49.9平米 | 南 | 其他', '高楼层(共22层)2006年建塔楼  -  桂城北（南海广场）', '87万', '单价17435元/平米')
('https://image1.ljcdn.com/440600-inspection/4d51e3fc-525f-43f0-98d9-c13d2c6c9b75.JPG.296x216.jpg', '嘉乐花园 2室2厅 105万', '嘉乐花园  | 2室2厅 | 76平米 | 南 | 其他', '低楼层(共8层)2000年建塔楼  -  黄岐', '105万', '单价13816元/平米')
('https://image1.ljcdn.com/440600-inspection/9e953001-479a-4e7a-b443-1768fe61d65f.jpg.296x216.jpg', '荟景毫庭 格局方正 配套设施成熟', '荟景豪庭  | 4室2厅 | 169.69平米 | 南 | 简装', '中楼层(共11层)2005年建板楼  -  黄岐', '300万', '单价17680元/平米')
('https://image1.ljcdn.com/440600-inspection/bf55386f-12c7-4e9d-b2c8-31c1b20786f2.JPG.296x216.jpg', '狮山水晶湾 户型方正 房产证满五年', '水晶湾花园  | 3室2厅 | 95平米 | 南 北 | 其他', '高楼层(共17层)塔楼  -  狮山', '185万', '单价19474元/平米')
('https://image1.ljcdn.com/440600-inspection/b87f843d-9ce3-4a67-b208-90292ff388cd.jpg.296x216.jpg', '万达广场 配套完善 交通方便', '万达广场  | 1室1厅 | 59.18平米 | 东 | 精装', '低楼层(共35层)2012年建塔楼  -  千灯湖', '98万', '单价16560元/平米')
('https://image1.ljcdn.com/440600-inspection/6968015c-04fd-447c-aa96-ac2ca6f64c32.jpg.296x216.jpg', '俊怡花园 实用六房', '俊怡花园  | 6室2厅 | 189平米 | 西南 | 简装', '中楼层(共7层)2005年建塔楼  -  叠窖', '215万', '单价11376元/平米')
('https://image1.ljcdn.com/440600-inspection/e9030102-03d0-4fec-a3af-c529c46c3f3f.jpg.296x216.jpg', '中海万锦东苑 交通方便 配套成熟', '中海万锦东苑  | 3室2厅 | 93平米 | 北 | 其他', '低楼层(共30层)2012年建塔楼  -  佛平路', '279万', '单价30000元/平米')
('https://image1.ljcdn.com/440600-inspection/bf82006d-3cc5-4f9c-9494-1ff05137b2f7.JPG.296x216.jpg', '时代倾城 1室0厅 50万', '时代倾城  | 1室0厅 | 36.86平米 | 南 | 其他', '低楼层(共19层)2016年建塔楼  -  罗村', '50万', '单价13565元/平米')
('https://image1.ljcdn.com/440600-inspection/e87f547b-e909-45b2-a758-98965cd1f212.JPG.296x216.jpg', '嘉乐花园 1室1厅 70万', '嘉乐花园  | 1室1厅 | 46平米 | 南 | 其他', '低楼层(共8层)2000年建塔楼  -  黄岐', '70万', '单价15218元/平米')
('https://image1.ljcdn.com/440600-inspection/bd779fb1-4bfd-40e0-ba28-46321df722df.jpg.296x216.jpg', '宝珠楼 大3房', '宝珠楼  | 3室2厅 | 136.73平米 | 东 | 精装', '中楼层(共7层)1997年建板楼  -  罗村', '128万', '单价9362元/平米')
('https://image1.ljcdn.com/440600-inspection/8e28e23c-7463-4beb-be35-6f75bf3ea991.jpg.296x216.jpg', '丹灶都市晴园 3房2厅 小区环境好', '都市晴园  | 3室2厅 | 105平米 | 南 | 其他', '6层2007年建板塔结合  -  丹灶', '115万', '单价10953元/平米')
('https://image1.ljcdn.com/440600-inspection/cd079874-db1b-4f3a-8723-7c3a9908df12.JPG.296x216.jpg', '万达广场 配套完善 交通方便', '万达广场  | 1室1厅 | 40.35平米 | 西 | 其他', '高楼层(共35层)2012年建塔楼  -  千灯湖', '60万', '单价14870元/平米')
('https://image1.ljcdn.com/440600-inspection/c4c21ad1-b780-4110-89db-6642d2d82564.jpg.296x216.jpg', '万科金色领域 环境优美 舒适居家', '万科金色领域  | 1室1厅 | 50.22平米 | 西 | 其他', '低楼层(共40层)2016年建塔楼  -  佛平路', '65万', '单价12944元/平米')
('https://image1.ljcdn.com/440600-inspection/3eed3ad6-6534-4282-bae0-9de459103f6b.jpg.296x216.jpg', '时代倾城 1室1厅 45万', '时代倾城  | 1室1厅 | 44.52平米 | 南 | 精装', '低楼层(共19层)2016年建塔楼  -  罗村', '45万', '单价10108元/平米')
('https://image1.ljcdn.com/440600-inspection/c0dc63dc-990e-4a53-a24a-b781b0e5610b.JPG.296x216.jpg', '恒福天悦花园 采光好 小区环境靓', '恒福天悦花园  | 3室2厅 | 89.9平米 | 南 北 | 其他', '高楼层(共31层)2015年建塔楼  -  狮山', '150万', '单价16686元/平米')
('https://image1.ljcdn.com/440600-inspection/17147704-4e53-4404-aada-52ad02497c7c.jpg.296x216.jpg', '珠江半岛花园 1室1厅 63万', '珠江半岛花园  | 1室1厅 | 40.73平米 | 南 | 其他', '中楼层(共8层)2000年建塔楼  -  黄岐', '63万', '单价15468元/平米')
('https://image1.ljcdn.com/440600-inspection/5624ed0e-4ed3-49c3-a321-695a2e33c127.JPG.296x216.jpg', '嘉洲花园 实用2房', '嘉洲花园东区  | 1室1厅 | 41平米 | 南 | 精装', '低楼层(共8层)2010年建塔楼  -  黄岐', '56万', '单价13659元/平米')
('https://image1.ljcdn.com/440600-inspection/30b89e4a-6b05-4c3a-9356-12d737f6b1a7.jpg.296x216.jpg', '万科金色领域 1房1厅', '万科金色领域  | 1室0厅 | 39平米 | 西 | 其他', '高楼层(共46层)2016年建塔楼  -  佛平路', '62.4万', '单价16000元/平米')
('https://image1.ljcdn.com/440600-inspection/395716a0-839b-4c47-ab3a-d25feb13d351.JPG.296x216.jpg', '风度广场 精装1房1一厅', '罗村风度广场  | 1室1厅 | 40平米 | 西南 | 其他', '低楼层(共13层)2012年建塔楼  -  罗村', '68万', '单价17000元/平米')
('', '翠湖新村 实用三房', '翠湖新村  | 3室2厅 | 123平米 | 南 | 简装', '中楼层(共8层)塔楼  -  桂城北（南海广场）', '150万', '单价12196元/平米')
('https://image1.ljcdn.com/440600-inspection/06715ec9-a699-478b-86f3-db9942c2dbe2.jpg.296x216.jpg', '万达广场 1室1厅 92万', '万达广场  | 1室1厅 | 59平米 | 东 | 其他', '高楼层(共35层)2012年建塔楼  -  千灯湖', '92万', '单价15594元/平米')
('https://image1.ljcdn.com/440600-inspection/39c17c30-c0a4-440e-900a-48e2bfdfad33.JPG.296x216.jpg', '时代倾城 4室2厅 225万', '时代倾城  | 4室2厅 | 141平米 | 东南 | 精装', '中楼层(共14层)2016年建塔楼  -  罗村', '225万', '单价15958元/平米')
('https://image1.ljcdn.com/440600-inspection/361991bd-df51-4446-a9aa-39e2419102ef.jpg.296x216.jpg', '时代倾城 1室1厅 45万', '时代倾城  | 1室1厅 | 44.52平米 | 南 | 精装', '低楼层(共19层)2016年建塔楼  -  罗村', '45万', '单价10108元/平米')
('https://image1.ljcdn.com/440600-inspection/334504e7-4486-4cda-bca5-788726f9401a.jpg.296x216.jpg', '海汇广场 电梯复式两房', '海伦堡海汇广场  | 2室1厅 | 54平米 | 南 | 其他', '高楼层(共26层)塔楼  -  平洲', '80万', '单价14815元/平米')
('https://image1.ljcdn.com/440600-inspection/e121846c-7f97-40b2-9e7c-408fe73808fc.jpg.296x216.jpg', '灯湖领秀 配套成熟', '灯湖领秀  | 2室2厅 | 75平米 | 南 | 简装', '中楼层(共31层)2015年建塔楼  -  千灯湖', '210万', '单价28000元/平米')
('https://image1.ljcdn.com/440600-inspection/34273290-2027-41ae-af4d-474d41456a75.jpg.296x216.jpg', '翠湖新村 3室2厅 135万', '翠湖新村  | 3室2厅 | 118.66平米 | 北 | 其他', '高楼层(共7层)板楼  -  桂城北（南海广场）', '135万', '单价11378元/平米')
('', '嘉乐花园 间隔方正 厅房朝南 低层两房', '嘉乐花园  | 2室1厅 | 66平米 | 南 | 其他', '低楼层(共9层)2000年建塔楼  -  黄岐', '100万', '单价15152元/平米')
('https://image1.ljcdn.com/440600-inspection/06c96273-1cc0-41ea-9214-ede081359a53.jpg.296x216.jpg', '海伦堡海汇广场 1室1厅 50万', '海伦堡海汇广场  | 1室1厅 | 42平米 | 南 | 其他', '低楼层(共26层)塔楼  -  平洲', '50万', '单价11905元/平米')
('https://image1.ljcdn.com/440600-inspection/56e886b3-2175-4b6d-8a0a-e2c4c5295104.JPG.296x216.jpg', '时代倾城 4室2厅 300万', '时代倾城  | 4室2厅 | 183平米 | 南 北 | 其他', '低楼层(共14层)2016年建塔楼  -  罗村', '300万', '单价16394元/平米')
('https://image1.ljcdn.com/440600-inspection/cbf72e27-d3ad-4fc2-a582-c5ff577d1194.JPG.296x216.jpg', '金沙半岛 3室2厅 185万', '金沙半岛  | 3室2厅 | 89.98平米 | 南 | 其他', '高楼层(共33层)2017年建塔楼  -  里水', '185万', '单价20561元/平米')
('https://image1.ljcdn.com/440600-inspection/09a3c661-ed0e-4329-9c13-8af5e1dbf130.jpg.296x216.jpg', '地铁金融城 一房一厅 精致装修', '地铁金融城  | 1室1厅 | 41.62平米 | 东 | 精装', '高楼层(共40层)2013年建塔楼  -  千灯湖', '120万', '单价28833元/平米')
('https://image1.ljcdn.com/440600-inspection/65c15e5f-ffb4-486b-971a-4969fe31732c.jpg.296x216.jpg', '绿地香树花园 实用三房 间隔方正', '绿地香树花园  | 3室2厅 | 117平米 | 南 | 其他', '高楼层(共31层)2014年建塔楼  -  里水', '210万', '单价17949元/平米')
('https://image1.ljcdn.com/440600-inspection/2f6da255-c39f-4df2-ba8e-0155eb5f184a.JPG.296x216.jpg', '力迅城筑 3室2厅 165万', '力迅城筑  | 3室2厅 | 89.93平米 | 南 | 其他', '高楼层(共15层)2017年建塔楼  -  罗村', '165万', '单价18348元/平米')
('', '盐步御景* 户型方正', '雅居乐御景名门  | 3室2厅 | 87.86平米 | 西北 | 毛坯', '高楼层(共32层)2012年建塔楼  -  黄岐', '215万', '单价24471元/平米')
('https://image1.ljcdn.com/440600-inspection/530de2d8-97d9-473a-87ca-4cd8a5935d72.jpg.296x216.jpg', '万科金色领域 实用一房 精装修 交通便利', '万科金色领域  | 1室1厅 | 31平米 | 东 | 其他', '低楼层(共40层)2016年建塔楼  -  佛平路', '46万', '单价14839元/平米')
('https://image1.ljcdn.com/440600-inspection/8b68f2c3-e651-409c-8130-432f5c0aeb84.jpg.296x216.jpg', '俊怡花园旧区 1室1厅 48万', '俊怡花园旧区  | 1室1厅 | 37.87平米 | 东 | 其他', '中楼层(共5层)1997年建板楼  -  叠窖', '48万', '单价12675元/平米')
('https://image1.ljcdn.com/440600-inspection/4b1398fc-fe5a-4d74-a4b5-144e8ced9138.JPG.296x216.jpg', '俊雅名园 3室2厅 120万', '俊雅名园  | 3室2厅 | 104.2平米 | 南 | 其他', '7层2008年建板塔结合  -  罗村', '120万', '单价11517元/平米')
('https://image1.ljcdn.com/440600-inspection/f72ea395-f898-42f5-ab7b-de330dada5ec.jpg.296x216.jpg', '万科金域蓝湾 大三房 单价低 家私家电齐 ！', '万科金域蓝湾红霞苑  | 3室2厅 | 115平米 | 北 | 其他', '中楼层(共30层)2015年建板楼  -  平洲', '200万', '单价17392元/平米')
('https://image1.ljcdn.com/440600-inspection/c784469f-b6e0-4d58-9952-c63fa6b58178.jpg.296x216.jpg', '万科金色领域 1房1厅 45万元', '万科金色领域  | 1室1厅 | 31平米 | 东 | 其他', '中楼层(共40层)2016年建塔楼  -  佛平路', '45万', '单价14517元/平米')
('https://image1.ljcdn.com/440600-inspection/5c6cd9be-d635-4c03-9d6c-fc0c1bab3c8e.jpg.296x216.jpg', '长信御景峰 户型方正 通风采光好', '长信御景峰  | 3室1厅 | 85平米 | 北 | 其他', '中楼层(共28层)2016年建塔楼  -  黄岐', '190万', '单价22353元/平米')
('https://image1.ljcdn.com/440600-inspection/ff878fa1-331c-405f-aba7-abe64fad29cb.JPG.296x216.jpg', '锦逸豪庭 3室2厅 150万', '锦逸豪庭  | 3室2厅 | 118平米 | 东北 | 其他', '低楼层(共11层)2011年建塔楼  -  丹灶', '150万', '单价12712元/平米')
('', '绿地香树花园 电梯洋房 环境优美', '绿地香树花园  | 3室2厅 | 83平米 | 南 | 其他', '高楼层(共31层)2014年建塔楼  -  里水', '157万', '单价18916元/平米')
('https://image1.ljcdn.com/440600-inspection/f247951a-b946-4f30-94d1-3b5a99e0ccdc.jpg.296x216.jpg', '万达广场 1房1厅 112万元', '万达广场  | 1室1厅 | 68平米 | 北 | 其他', '中楼层(共35层)2012年建塔楼  -  千灯湖', '112万', '单价16471元/平米')
('https://image1.ljcdn.com/440600-inspection/5ebfd3c3-4f9e-44da-9851-94b089e81bdf.jpg.296x216.jpg', '万达广场 1室1厅 85万', '万达广场  | 1室1厅 | 49平米 | 西 | 其他', '低楼层(共35层)2012年建塔楼  -  千灯湖', '85万', '单价17347元/平米')
('https://image1.ljcdn.com/440600-inspection/5ce7b4d7-e662-41fc-bd2d-c70ae6eb2114.jpg.296x216.jpg', '灯湖领秀 3室2厅 270万', '灯湖领秀  | 3室2厅 | 91平米 | 南 | 精装', '高楼层(共31层)2015年建塔楼  -  千灯湖', '270万', '单价29671元/平米')
('https://image1.ljcdn.com/440600-inspection/56662ead-5027-4e58-88c0-fe24e282ec8c.jpg.296x216.jpg', '中南海晖园 1室0厅 77万', '中南海晖园  | 1室0厅 | 35平米 | 北 | 其他', '低楼层(共11层)2005年建塔楼  -  黄岐', '77万', '单价22000元/平米')
('https://image1.ljcdn.com/440600-inspection/1df66f6f-1428-4009-a267-79af1c936f85.jpg.296x216.jpg', '悦万城 1室1厅 85万', '悦万城  | 1室1厅 | 41.47平米 | 北 | 毛坯', '中楼层(共41层)2017年建板塔结合  -  佛平路', '85万', '单价20497元/平米')
('https://image1.ljcdn.com/440600-inspection/ecdf64e8-25f0-4820-94b8-1281ad8a8230.jpg.296x216.jpg', '南海小区 三面采光 实用3房 配套完善', '南海小区  | 3室2厅 | 100平米 | 西 | 简装', '中楼层(共8层)1996年建塔楼  -  佛平路', '180万', '单价18000元/平米')
('https://image1.ljcdn.com/440600-inspection/49edc311-ce51-4d49-b5f0-a7ab84823003.JPG.296x216.jpg', '中南海晖园 2室2厅 170万', '中南海晖园  | 2室2厅 | 74平米 | 西 | 其他', '中楼层(共11层)2005年建塔楼  -  黄岐', '170万', '单价22973元/平米')
('https://image1.ljcdn.com/440600-inspection/ca637901-0d9d-4cde-8ef7-57562dd7e90c.jpg.296x216.jpg', '中汇大厦 毛坯公寓', '中汇大厦  | 1室0厅 | 50.54平米 | 北 | 其他', '低楼层(共22层)2017年建塔楼  -  桂城北（南海广场）', '65万', '单价12862元/平米')
('https://image1.ljcdn.com/440600-inspection/4ab2262a-6a97-4582-94e7-a1d43e69c98a.jpg.296x216.jpg', '万科金色领域 新家俬家电', '万科金色领域  | 1室1厅 | 31平米 | 东 | 其他', '低楼层(共40层)2016年建塔楼  -  佛平路', '48万', '单价15484元/平米')
('https://image1.ljcdn.com/440600-inspection/86a2856c-3a66-40cd-8cd2-da99ba3eb0ef.jpg.296x216.jpg', '万科金色领域 1室1厅 80万', '万科金色领域  | 1室1厅 | 48平米 | 东 | 其他', '高楼层(共40层)2016年建塔楼  -  佛平路', '80万', '单价16667元/平米')
('https://image1.ljcdn.com/440600-inspection/0a18f73f-8e01-4327-8638-61f4843b563e.JPG.296x216.jpg', '时代倾城 4室2厅 195万', '时代倾城  | 4室2厅 | 130.62平米 | 南 北 | 其他', '低楼层(共15层)2016年建塔楼  -  罗村', '195万', '单价14929元/平米')
('https://image1.ljcdn.com/440600-inspection/d2a74959-0eb3-4a8c-b769-2aa1920856cf.jpg.296x216.jpg', '美豪邨 3室2厅 170万', '美豪邨  | 3室2厅 | 127.35平米 | 南 | 简装', '高楼层(共28层)塔楼  -  天佑', '170万', '单价13350元/平米')
('https://image1.ljcdn.com/440600-inspection/f7c2a785-daf2-4a52-a00b-c97d67d2361b.jpg.296x216.jpg', '翠湖绿洲花园 舒适小区', '翠湖绿洲花园  | 1室1厅 | 56.33平米 | 北 | 其他', '低楼层(共13层)2010年建塔楼  -  罗村', '80万', '单价14203元/平米')
('https://image1.ljcdn.com/440600-inspection/ed3d3751-5fa4-4f72-a898-59b7e6f88c46.jpg.296x216.jpg', '万科金色城市 3室2厅 223万', '万科金色城市  | 3室2厅 | 90平米 | 南 | 其他', '低楼层(共35层)2018年建塔楼  -  桂城北（南海广场）', '223万', '单价24778元/平米')
