('https://image1.ljcdn.com/340100-inspection/d29bc567-db84-4449-bd5e-c46d29c0b2d2.JPG.296x216.jpg', '熔安家园，刚需两房，朝南户型，大阳台，采光好，诚售', '熔安家园  | 2室2厅 | 85.76平米 | 南 | 其他', '低楼层(共18层)2015年建塔楼  -  临湖', '115万', '单价13410元/平米')
('https://image1.ljcdn.com/340100-inspection/23507f69-a81c-48dc-a845-e6c68bfd2602.jpg.296x216.jpg', '内复试  带中-央空调 可做多房间  送大露台   景观层', '东海花园  | 3室2厅 | 361.49平米 | 南 北 | 其他', '高楼层(共21层)2003年建板楼  -  莲花', '468万', '单价12947元/平米')
('', '翠微苑 2室1厅 150万', '翠微苑  | 2室1厅 | 78平米 | 南 北 | 其他', '高楼层(共11层)2010年建板楼  -  芙蓉', '150万', '单价19231元/平米')
('https://image1.ljcdn.com/340100-inspection/16951096-79f3-415a-ae30-06b530c666f0.JPG.296x216.jpg', '九溪江南 精装三室 拎包入住 南北通透', '九溪江南  | 3室2厅 | 146.36平米 | 南 北 | 其他', '低楼层(共11层)2007年建板楼  -  芙蓉', '230万', '单价15715元/平米')
('', '楼层好 采光刺眼 户型方正 小区成熟', '东海星城  | 1室1厅 | 49.23平米 | 南 | 其他', '高楼层(共27层)2010年建板楼  -  莲花', '68万', '单价13813元/平米')
('', '紫金山庄 2室2厅 148万', '紫金山庄  | 2室2厅 | 88.44平米 | 南 | 其他', '中楼层(共18层)暂无数据  -  海恒', '148万', '单价16735元/平米')
('https://image1.ljcdn.com/340100-inspection/10500795-ca52-4fe2-b687-ec46d83880d4.JPG.296x216.jpg', '楼层好，视野开阔，采光充足，翡翠湖，', '翰林雅居  | 3室2厅 | 120平米 | 南 北 | 其他', '高楼层(共10层)2004年建板楼  -  芙蓉', '265万', '单价22084元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload207f2ec7-ef6b-487e-a706-bd65d93c61a2.jpg.296x216.jpg', '经典一室，开发商精装，配套成熟，', '金大地时代天街  | 1室1厅 | 40.98平米 | 南 | 其他', '中楼层(共33层)暂无数据  -  莲花', '68.5万', '单价16716元/平米')
('https://image1.ljcdn.com/340100-inspection/e21d2619-e693-4ed7-a56d-fe247bd82c15.JPG.296x216.jpg', '楼层好+采光好+客厅带阳台+两房朝南+满二', '东海星城  | 2室1厅 | 90.33平米 | 南 | 其他', '高楼层(共18层)2010年建板楼  -  莲花', '141万', '单价15610元/平米')
('https://image1.ljcdn.com/340100-inspection/7278e26d-5b72-4cf8-9961-8016714cdeed.JPG.296x216.jpg', '滨湖西 外地户口可以购房 中装两室 全明户', '观澜华庭  | 2室2厅 | 69平米 | 南 | 其他', '中楼层(共18层)2013年建塔楼  -  临湖', '118万', '单价17102元/平米')
('', '丹霞柠檬郡 有燃气 带阳台 七十年产权小户型', '丹霞柠檬郡  | 1室0厅 | 42平米 | 北 | 简装', '高楼层(共16层)2010年建塔楼  -  芙蓉', '62万', '单价14762元/平米')
('https://image1.ljcdn.com/340100-inspection/58dc8f5e-3f44-46a8-a9a1-92a8380a6cd3.jpg.296x216.jpg', '明珠广场东海星城2房朝南拎包入住', '东海星城  | 2室2厅 | 80.3平米 | 南 | 其他', '低楼层(共28层)2010年建板楼  -  莲花', '112万', '单价13948元/平米')
('https://image1.ljcdn.com/340100-inspection/7daed1c7-cda4-4b0e-8ec3-c6164693a6ea.jpg.296x216.jpg', '一里洋房 顶楼复式 大露台 南北通透', '一里洋房  | 4室2厅 | 158平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  芙蓉', '220万', '单价13925元/平米')
('', '小区安静+采光好+楼层好+业主诚心卖', '汇林园  | 2室2厅 | 80平米 | 南 北 | 其他', '高楼层(共6层)2002年建板楼  -  莲花', '118万', '单价14750元/平米')
('', '铂爵公馆 5室2厅 260万', '铂爵公馆  | 5室2厅 | 171平米 | 南 | 其他', '高楼层(共18层)2010年建塔楼  -  芙蓉', '260万', '单价15205元/平米')
('https://image1.ljcdn.com/340100-inspection/703c7b66-9453-4f4b-a30a-1d97c6492c1a.JPG.296x216.jpg', '金星家园精装三房，中间楼层，视野采光好', '金星家园  | 3室2厅 | 134平米 | 南 | 其他', '中楼层(共29层)2011年建板塔结合  -  芙蓉', '260万', '单价19403元/平米')
('https://image1.ljcdn.com/340100-inspection/97a3d4be-8544-4ab6-8f06-923f8faca9a5.jpg.296x216.jpg', '御湖观邸   三室   业主诚心出售', '御湖观邸  | 3室2厅 | 120.83平米 | 南 | 其他', '低楼层(共32层)2012年建塔楼  -  海恒', '190万', '单价15725元/平米')
('https://image1.ljcdn.com/340100-inspection/c8272afd-1ee1-4b08-aa61-e10a5a819528.JPG.296x216.jpg', '翡翠湖畔  带电梯大3房  满2年  视野采光好', '翡翠花园  | 3室2厅 | 126.36平米 | 东 南 北 | 其他', '低楼层(共11层)2006年建塔楼  -  芙蓉', '220万', '单价17411元/平米')
('', '港澳花园 3室2厅 200万', '港澳花园  | 3室2厅 | 119.49平米 | 南 北 | 简装', '中楼层(共6层)2006年建板楼  -  芙蓉', '200万', '单价16738元/平米')
('https://image1.ljcdn.com/340100-inspection/test-e81efafe-5077-4ba3-953a-878cc94d6b0a.png.296x216.jpg', '通透户型 自住装修 生活方便 采光好 业主诚心出售', '港澳花园  | 2室2厅 | 81.68平米 | 南 | 其他', '低楼层(共6层)2006年建板楼  -  芙蓉', '140万', '单价17141元/平米')
('https://image1.ljcdn.com/340100-inspection/faa1b50a-2ff2-410c-9288-9f156286620b.JPG.296x216.jpg', '大四房 南北通透 户型方正  业主诚意出售', '报业园  | 4室2厅 | 164.54平米 | 南 北 | 其他', '低楼层(共11层)2008年建塔楼  -  芙蓉', '296万', '单价17990元/平米')
('', '大一居+精装修+多层电梯房+拎包入住', '大地雅苑  | 1室1厅 | 56.15平米 | 西 | 其他', '中楼层(共7层)板塔结合  -  莲花', '81万', '单价14426元/平米')
('', '东海星城 徽园旁朝南小户  生活配套齐全', '东海星城  | 1室0厅 | 50.5平米 | 南 | 其他', '低楼层(共32层)板楼  -  莲花', '68万', '单价13466元/平米')
('https://image1.ljcdn.com/340100-inspection/124765da-d1f3-476e-a896-113f6fc4ce76.jpg.296x216.jpg', '金大地时代天街 一居室景观房，随时看房拎包入住', '金大地时代天街  | 1室1厅 | 46.25平米 | 北 | 其他', '低楼层(共33层)暂无数据  -  莲花', '73万', '单价15784元/平米')
('https://image1.ljcdn.com/340100-inspection/1d10f878-4ee3-4f3b-97d4-ab4c87ac7c34.jpg.296x216.jpg', '挑空复式，精装修，优质大户型，业主诚心卖 采光好', '西城秀里  | 7室2厅 | 223.65平米 | 南 北 | 其他', '高楼层(共6层)2013年建板楼  -  芙蓉', '229万', '单价10240元/平米')
('https://image1.ljcdn.com/340100-inspection/8f82ec79-4841-4bed-b4ce-a43cc615187a.jpg.296x216.jpg', '名仕豪庭 2室2厅 126万', '名仕豪庭  | 2室2厅 | 67.5平米 | 南 | 其他', '中楼层(共32层)2013年建塔楼  -  芙蓉', '126万', '单价18667元/平米')
('', '业主诚心出售 小区环境秀丽 物业管理到位', '报业园  | 3室2厅 | 130.28平米 | 南 北 | 其他', '中楼层(共6层)2008年建板楼  -  芙蓉', '210万', '单价16120元/平米')
('https://image1.ljcdn.com/340100-inspection/d66e04d1-0155-4b7a-bc01-94c0b9e6c9ad.JPG.296x216.jpg', '为你而选为你为家 上海城市 朝南两居', '上海城市  | 2室1厅 | 97平米 | 南 | 其他', '高楼层(共26层)2006年建板楼  -  莲花', '115万', '单价11856元/平米')
('https://image1.ljcdn.com/340100-inspection/e1a2fe4d-2c1c-474a-ac32-134bb5830326.jpg.296x216.jpg', '南艳湖畔 御湖观邸 南北通透大两房 满两年 居家优选', '御湖观邸  | 2室2厅 | 112.12平米 | 南 北 | 其他', '高楼层(共33层)2012年建塔楼  -  海恒', '170万', '单价15163元/平米')
('', '居家装修 顶楼复式楼上平顶房间 大露台', '一里洋房  | 5室2厅 | 156平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  芙蓉', '200万', '单价12821元/平米')
('', '中环湖滨公馆 3室2厅 170万', '中环湖滨公馆  | 3室2厅 | 107.5平米 | 南 北 | 其他', '高楼层(共33层)塔楼  -  临湖', '170万', '单价15814元/平米')
('https://image1.ljcdn.com/340100-inspection/d5d1927e-bdcf-4fc1-a470-993e69d67ef4.JPG.296x216.jpg', '标准一室+满二+楼层好+采光好+拎包入住', '东海星城  | 1室1厅 | 47.64平米 | 北 | 其他', '高楼层(共32层)2010年建板楼  -  莲花', '56万', '单价11755元/平米')
('https://image1.ljcdn.com/340100-inspection/376b6f86-576d-42ca-b835-78e265b5ee69.jpg.296x216.jpg', '融科城融祥园 4室2厅 295万', '融科城融祥园  | 4室2厅 | 141.94平米 | 南 北 | 其他', '低楼层(共34层)2015年建板楼  -  芙蓉', '295万', '单价20784元/平米')
('https://image1.ljcdn.com/340100-inspection/26f56e12-88ba-4a3f-85e2-2f0c3eed4cdc.JPG.296x216.jpg', '卧云小区 三室精装修 户型方正 采光好 业主诚售', '卧云新村  | 3室2厅 | 124.1平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  临湖', '136万', '单价10959元/平米')
('', '国轩名门 1室1厅 65万', '国轩名门  | 1室1厅 | 50平米 | 南 | 其他', '低楼层(共30层)暂无数据  -  莲花', '65万', '单价13000元/平米')
('https://image1.ljcdn.com/340100-inspection/d61273b7-5513-44b8-88dd-e9a577281444.jpg.296x216.jpg', '大学城翠湖苑，多层大三房，168', '翠湖苑  | 3室2厅 | 109.18平米 | 南 | 其他', '高楼层(共7层)2008年建板楼  -  芙蓉', '140万', '单价12823元/平米')
('https://image1.ljcdn.com/340100-inspection/5a45a7e2-9d78-42de-8544-fb8f1089cb54.JPG.296x216.jpg', '徽园旁 精装四房 户型方正 采光刺眼', '东海花园  | 4室2厅 | 169.74平米 | 南 | 其他', '低楼层(共22层)2003年建板楼  -  莲花', '240万', '单价14140元/平米')
('', '此房满2年 华凤国际 明珠广场旁 一房 交通便利', '华凤国际  | 1室1厅 | 55平米 | 北 | 其他', '低楼层(共23层)2010年建板楼  -  莲花', '68万', '单价12364元/平米')
('', '紫云花园 3室1厅 108万', '紫云花园  | 3室1厅 | 83平米 | 南 | 其他', '高楼层(共6层)2004年建塔楼  -  锦绣', '108万', '单价13013元/平米')
('https://image1.ljcdn.com/340100-inspection/c13db14d-adcd-4749-a542-40fdd94dfdde.jpg.296x216.jpg', '绿城玫瑰园三房，采光好，视野开阔，南北通透，高品质', '绿城翡翠湖玫瑰园  | 3室2厅 | 168.8平米 | 南 北 | 其他', '高楼层(共38层)2013年建塔楼  -  芙蓉', '408万', '单价24171元/平米')
('https://image1.ljcdn.com/340100-inspection/801f4283-62a8-4aa3-9f24-a9100d9b07b0.JPG.296x216.jpg', '东海星城 3室2厅 251万', '东海星城  | 3室2厅 | 157平米 | 南 北 | 其他', '高楼层(共18层)2010年建板楼  -  莲花', '251万', '单价15988元/平米')
('https://image1.ljcdn.com/340100-inspection/e7565ced-2485-40f2-b1d2-763714be98fa.JPG.296x216.jpg', '经典小户型，房型正，采光充足，诚心出售', '上海城市  | 1室1厅 | 64平米 | 南 | 其他', '中楼层(共26层)2006年建板楼  -  莲花', '90万', '单价14063元/平米')
('', '观澜华庭 2室2厅 149万', '观澜华庭  | 2室2厅 | 89.54平米 | 南 | 其他', '高楼层(共18层)2013年建塔楼  -  临湖', '149万', '单价16641元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadb69202cf-731c-4995-9de1-2d7ac64abf2f.jpg.296x216.jpg', '户型方正  楼层较好   满五年无增值税', '翰林府邸  | 3室2厅 | 111.53平米 | 南 | 其他', '中楼层(共18层)2006年建塔楼  -  芙蓉', '210万', '单价18830元/平米')
('https://image1.ljcdn.com/340100-inspection/51e49e62-e2cd-4716-bb09-b626db884294.JPG.296x216.jpg', '叠加别墅，改善置换优选，品质小区', '九溪江南  | 5室2厅 | 243.9平米 | 南 北 | 其他', '中楼层(共4层)板楼  -  芙蓉', '415万', '单价17016元/平米')
('', '桃花社区 4室2厅 170万', '桃花社区  | 4室2厅 | 115平米 | 南 北 | 其他', '高楼层(共18层)塔楼  -  莲花', '170万', '单价14783元/平米')
('https://image1.ljcdn.com/340100-inspection/afcbf316-f299-49bc-a572-320bbbb6b942.JPG.296x216.jpg', '南郡明珠 3室2厅 132万', '南郡明珠  | 3室2厅 | 94.31平米 | 南 北 | 其他', '中楼层(共6层)2011年建板楼  -  锦绣', '132万', '单价13997元/平米')
('https://image1.ljcdn.com/340100-inspection/test-33596cf8-6cba-484f-a7e6-4d1c1f994451.png.296x216.jpg', '品质小区，翡翠湖边，满两年，，户型方正，南北通透', '绿城翡翠湖玫瑰园  | 4室2厅 | 237平米 | 南 北 | 其他', '低楼层(共39层)2013年建塔楼  -  芙蓉', '550万', '单价23207元/平米')
('https://image1.ljcdn.com/340100-inspection/cce734ce-016a-4f50-9329-b6cdcd8406c4.JPG.296x216.jpg', '为你而选为你为家 大视野 高采光 诚觅诚心客户', '翡翠花园  | 4室2厅 | 150.36平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  芙蓉', '175万', '单价11639元/平米')
('https://image1.ljcdn.com/340100-inspection/b779f04a-d211-4425-b1b0-554728a2ef88.jpg.296x216.jpg', '东海星城，精装修，采光很棒，房东诚心出售。', '东海星城  | 4室2厅 | 148平米 | 南 | 其他', '高楼层(共18层)2010年建板楼  -  莲花', '225万', '单价15203元/平米')
('', '南湖春城 2室2厅 135万', '南湖春城  | 2室2厅 | 98.08平米 | 南 | 其他', '低楼层(共6层)2008年建板楼  -  海恒', '135万', '单价13765元/平米')
('https://image1.ljcdn.com/340100-inspection/79684154-3cb6-4939-b86c-837a01bcfb55.JPG.296x216.jpg', '翡翠湖畔 新小区 小高层 通透三房', '禹洲翡翠湖郡  | 3室2厅 | 130.22平米 | 南 | 其他', '低楼层(共18层)2015年建塔楼  -  芙蓉', '235万', '单价18047元/平米')
('https://image1.ljcdn.com/340100-inspection/717b7255-86f8-432a-acd1-c1cb1ccbb6b6.JPG.296x216.jpg', '滨湖时光 大三房 南北通透采光好 户型方正 业主诚售', '滨湖时光  | 3室2厅 | 74.71平米 | 南 北 | 其他', '中楼层(共11层)2005年建板楼  -  海恒', '142万', '单价19007元/平米')
('', '东海花园，三室两厅，优越户型。值得拥有', '东海徽园  | 3室2厅 | 132平米 | 南 | 其他', '低楼层(共18层)2006年建板楼  -  莲花', '190万', '单价14394元/平米')
('', '上湖名院 3室2厅 160万', '上湖名院  | 3室2厅 | 88.91平米 | 南 北 | 精装', '低楼层(共33层)2011年建塔楼  -  芙蓉', '160万', '单价17996元/平米')
('https://image1.ljcdn.com/340100-inspection/1ad3c957-2b65-4dd4-b949-d863c993d82b.jpg.296x216.jpg', '户型方正，采光好，小区环境好。', '九溪江南  | 1室1厅 | 42.05平米 | 南 | 其他', '中楼层(共18层)2007年建板楼  -  芙蓉', '74万', '单价17599元/平米')
('https://image1.ljcdn.com/340100-inspection/3db8a063-98dc-4652-a1fb-7d546289eb42.JPG.296x216.jpg', '40年产权的公寓式房。可以自住，办公，出租都可以哦', '百乐门悦府  | 2室1厅 | 71平米 | 东南 | 简装', '中楼层(共30层)2013年建板楼  -  莲花', '75万', '单价10564元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload8c66f3de-fc75-4191-937d-3cbb580c4bf6.jpg.296x216.jpg', '港澳广场旁两房 位置好 采光好 业主诚心出售', '佳境枫情苑  | 2室2厅 | 90平米 | 南 北 | 简装', '高楼层(共6层)2009年建板楼  -  芙蓉', '135万', '单价15000元/平米')
('', '户型好，采光无遮挡，房东诚心卖房。', '九溪江南  | 3室2厅 | 128.64平米 | 南 北 | 其他', '中楼层(共18层)2007年建板楼  -  芙蓉', '200万', '单价15548元/平米')
('https://image1.ljcdn.com/340100-inspection/6ad1ba65-f096-4829-8995-eab30b294640.JPG.296x216.jpg', '品质社区 上海城市 精装两房 诚心出售', '上海城市  | 2室2厅 | 97平米 | 南 | 其他', '中楼层(共26层)2006年建板楼  -  莲花', '125万', '单价12887元/平米')
('https://image1.ljcdn.com/340100-inspection/2cb94f23-2867-48d7-9a97-1f524b3bb21c.jpg.296x216.jpg', '精装公寓70年产权通燃气，总价低以租养贷没有压力', '金大地时代天街  | 1室1厅 | 56平米 | 南 | 其他', '中楼层(共32层)暂无数据  -  莲花', '90万', '单价16072元/平米')
('', '朝南户型，两房南一房北，厨卫朝北', '蓬莱花园  | 3室1厅 | 103平米 | 南 | 其他', '中楼层(共6层)2006年建塔楼  -  锦绣', '135万', '单价13107元/平米')
('', '小区新，环境好，配套齐全热闹，自带幼儿园。', '尚泽紫金公馆  | 3室2厅 | 101.67平米 | 南 | 其他', '中楼层(共33层)板塔结合  -  锦绣', '152万', '单价14951元/平米')
('https://image1.ljcdn.com/340100-inspection/d6e9cd07-e30a-403c-b7c8-3fbe28fff732.jpg.296x216.jpg', '华邦观筑里 1室1厅 82万', '华邦观筑里  | 1室1厅 | 46平米 | 南 | 其他', '低楼层(共34层)塔楼  -  芙蓉', '82万', '单价17827元/平米')
('https://image1.ljcdn.com/340100-inspection/52e927db-6c77-44ac-8fa9-6e8d2b6a617e.JPG.296x216.jpg', '翡翠湖畔 品质小区刚需两房 户型方正满二年', '翡翠花园翠湖苑  | 2室2厅 | 82.16平米 | 南 | 其他', '低楼层(共17层)2012年建板楼  -  芙蓉', '123万', '单价14971元/平米')
('', '翠微苑 3室2厅 230万', '翠微苑  | 3室2厅 | 128平米 | 南 北 | 其他', '低楼层(共11层)2010年建板楼  -  芙蓉', '230万', '单价17969元/平米')
('', '大户型+楼层好+采光好+看房方便+交通便利+配套齐全', '东海花园  | 4室2厅 | 206.14平米 | 南 | 其他', '中楼层(共16层)2003年建板楼  -  莲花', '270万', '单价13098元/平米')
('', '港澳花园 1室1厅 36万', '港澳花园  | 1室1厅 | 30.39平米 | 南 | 其他', '低楼层(共2层)2006年建板楼  -  芙蓉', '36万', '单价11847元/平米')
('https://image1.ljcdn.com/340100-inspection/e0e3d577-b74b-4a27-8581-3cfa1b487e12.jpg.296x216.jpg', '米兰阳光花园 精装修 大三房 精装修 拎包入住', '米兰阳光花园  | 3室2厅 | 125.09平米 | 南 北 | 其他', '低楼层(共6层)2006年建板楼  -  锦绣', '170万', '单价13591元/平米')
('https://image1.ljcdn.com/340100-inspection/06addbf1-c354-4245-ab53-6bd2b410102f.JPG.296x216.jpg', '户型正气 采光佳 小区物业好楼层好。', '大地雅苑  | 2室1厅 | 77.19平米 | 南 | 其他', '高楼层(共7层)板塔结合  -  莲花', '109万', '单价14122元/平米')
('', '位置莲花路与石门路交口。交通方便。明珠广场商圈', '尚泽大都会  | 3室2厅 | 111.98平米 | 南 | 其他', '低楼层(共34层)2015年建板楼  -  莲花', '210万', '单价18754元/平米')
('https://image1.ljcdn.com/340100-inspection/3e59bf2a-c79b-46c9-93b3-54db5c4af54e.JPG.296x216.jpg', '经典华城 4室1厅 285万', '经典华城  | 4室1厅 | 128平米 | 南 | 其他', '中楼层(共18层)2013年建板楼  -  莲花', '285万', '单价22266元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload291cf7c8-06b8-4f60-9ef9-409691169dc7.jpg.296x216.jpg', '融创城8室3卫  电梯房  港澳商圈 采光刺眼', '融科城融祥园  | 8室3厅 | 301.62平米 | 南 北 | 其他', '高楼层(共34层)2015年建板楼  -  芙蓉', '450万', '单价14920元/平米')
('https://image1.ljcdn.com/340100-inspection/69fb5180-7f0a-4b53-a713-b6040acc6e87.jpg.296x216.jpg', '中环城国际公寓  朝南户型  采光好  业主诚心售', '中环城国际公寓  | 3室2厅 | 72.3平米 | 南 | 其他', '高楼层(共18层)2012年建塔楼  -  芙蓉', '145万', '单价20056元/平米')
('', '政务南报业园 南北通透 带供暖 三室两厅', '报业园  | 3室2厅 | 135平米 | 南 北 | 其他', '低楼层(共11层)2008年建塔楼  -  芙蓉', '284万', '单价21038元/平米')
('https://image1.ljcdn.com/340100-inspection/825b0b55-4afb-4043-ac41-e56f6ddbe06a.JPG.296x216.jpg', '南湖春城 2室2厅 148万', '南湖春城  | 2室2厅 | 92平米 | 南 | 其他', '低楼层(共6层)2008年建板楼  -  海恒', '148万', '单价16087元/平米')
('', '金水童话名苑 小高层送入户花园 业主目前外地换房出售', '金水童话名苑  | 3室2厅 | 96.17平米 | 南 | 其他', '低楼层(共11层)2008年建板楼  -  莲花', '180万', '单价18717元/平米')
('https://image1.ljcdn.com/340100-inspection/25ca6fb9-a75f-4b71-afd6-657be440683b.JPG.296x216.jpg', '一里洋房 精装婚房 南北通透 顶楼复式带大露台', '一里洋房  | 3室2厅 | 130平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  芙蓉', '195万', '单价15000元/平米')
('', '绿地滨湖国际花都 2室2厅 130万', '绿地滨湖国际花都  | 2室2厅 | 78平米 | 南 | 其他', '低楼层(共33层)2013年建塔楼  -  海恒', '130万', '单价16667元/平米')
('', '凯旋公寓 2室2厅 160万', '凯旋公寓  | 2室2厅 | 80平米 | 南 | 其他', '低楼层(共20层)2008年建板楼  -  莲花', '160万', '单价20000元/平米')
('', '青年城1号 1室1厅 73万', '青年城1号  | 1室1厅 | 53平米 | 南 | 其他', '中楼层(共17层)2010年建塔楼  -  海恒', '73万', '单价13774元/平米')
('https://image1.ljcdn.com/340100-inspection/f157de1d-fe0e-42ca-8a1a-132c568cc6da.JPG.296x216.jpg', '拎包入住 采光充足   精装修 中高楼层', '丽景碧雅  | 3室2厅 | 119.08平米 | 南 北 | 其他', '高楼层(共13层)2006年建塔楼  -  莲花', '162万', '单价13605元/平米')
('https://image1.ljcdn.com/340100-inspection/d8095f68-068d-44b7-833f-82bd0fb0a500.jpg.296x216.jpg', '无增值税，精装修 赠送面积大 总价低', '凯旋公寓  | 2室2厅 | 73.85平米 | 南 | 其他', '中楼层(共20层)2008年建板楼  -  莲花', '125万', '单价16927元/平米')
('https://image1.ljcdn.com/340100-inspection/a0386f10-6600-4867-8ef1-aa44da16dad7.jpg.296x216.jpg', '凯旋公寓 简单装修 楼上均为赠送面积  可自行改造隔断', '凯旋公寓  | 3室2厅 | 69.04平米 | 南 | 其他', '低楼层(共20层)2008年建板楼  -  莲花', '115万', '单价16658元/平米')
('', '港澳花园 2室2厅 230万', '港澳花园  | 2室2厅 | 137平米 | 南 北 | 精装', '中楼层(共18层)2006年建塔楼  -  芙蓉', '230万', '单价16789元/平米')
('https://image1.ljcdn.com/340100-inspection/292a845c-ab5a-462f-97cc-119b8bdc4164.jpg.296x216.jpg', '德信文锦新城 2室2厅 170万', '德信文锦新城  | 2室2厅 | 107.25平米 | 南 | 其他', '低楼层(共11层)2006年建塔楼  -  芙蓉', '170万', '单价15851元/平米')
('', '新小区 洋房中高层  近翡翠湖  大学城旁边   一梯两户', '文一名门南郡  | 3室1厅 | 103.89平米 | 南 | 其他', '中楼层(共8层)板楼  -  锦绣', '195万', '单价18770元/平米')
('https://image1.ljcdn.com/340100-inspection/d65195f5-cfa3-43c0-ade8-f937d01f52d6.JPG.296x216.jpg', '近翡翠湖 电梯洋房 采光无遮挡 40万精装修', '文一名门南郡  | 4室4厅 | 213平米 | 南 北 | 其他', '低楼层(共8层)暂无数据  -  锦绣', '298万', '单价13991元/平米')
('https://image1.ljcdn.com/340100-inspection/c8433cb0-4d6f-4434-bf8b-b002074a4851.JPG.296x216.jpg', '东海星城 精装一室 拎包入住 交通便利', '东海星城  | 1室1厅 | 50.66平米 | 南 | 其他', '高楼层(共32层)2010年建板楼  -  莲花', '63万', '单价12436元/平米')
('', '此房户型大 ，周边环境好， 宜居型住房', '尚泽紫金公馆  | 3室2厅 | 109.58平米 | 南 | 其他', '低楼层(共22层)板塔结合  -  锦绣', '154万', '单价14054元/平米')
('', '熔安家园  满两年 南北通透 楼层位置好 采光好近滨湖', '熔安家园  | 2室2厅 | 97平米 | 南 北 | 其他', '中楼层(共18层)2015年建塔楼  -  临湖', '150万', '单价15464元/平米')
('https://image1.ljcdn.com/340100-inspection/62cc1305-1c16-4733-8bd0-7e0da3aead74.JPG.296x216.jpg', '繁华世家 2室2厅 148万', '繁华世家  | 2室2厅 | 90.18平米 | 南 | 其他', '低楼层(共11层)2006年建板楼  -  莲花', '148万', '单价16412元/平米')
('https://image1.ljcdn.com/340100-inspection/4569aef6-8152-4f02-962e-b2f62a555b0b.jpg.296x216.jpg', '佳境枫情苑 1室2厅 108万', '佳境枫情苑  | 1室2厅 | 65.36平米 | 南 | 其他', '高楼层(共16层)2009年建板楼  -  芙蓉', '108万', '单价16524元/平米')
('https://image1.ljcdn.com/340100-inspection/dd998f3c-daa6-4bb0-96e0-1ef22f109eed.jpg.296x216.jpg', '环境好 采光足 配套齐全 交通便利 业主诚售', '翡翠公寓  | 2室2厅 | 92平米 | 南 | 其他', '低楼层(共27层)2010年建塔楼  -  芙蓉', '156万', '单价16957元/平米')
('', '港澳花园 3室2厅 175万', '港澳花园  | 3室2厅 | 110平米 | 南 北 | 其他', '高楼层(共15层)2006年建板塔结合  -  芙蓉', '175万', '单价15910元/平米')
('', '港澳花园 3室2厅 212万', '港澳花园  | 3室2厅 | 140.26平米 | 东南 | 其他', '低楼层(共18层)2006年建塔楼  -  芙蓉', '212万', '单价15115元/平米')
('https://image1.ljcdn.com/340100-inspection/test-74f9ae68-fc02-47f0-bc29-a8549d7a8fda.png.296x216.jpg', '政务南70产权精装拎包入住紧凑户型', '月半湾青年公寓  | 1室0厅 | 49.14平米 | 北 | 其他', '中楼层(共4层)板楼  -  芙蓉', '78万', '单价15874元/平米')
('', '江汽六村 3室2厅 150万', '江汽六村  | 3室2厅 | 99.7平米 | 南 | 其他', '低楼层(共18层)塔楼  -  临湖', '150万', '单价15046元/平米')
('https://image1.ljcdn.com/340100-inspection/63b8480a-e5c8-4940-9dda-e1015792bdf7.jpg.296x216.jpg', '翡翠湖畔，环境优美，物业优质，安静舒适', '绿城翡翠湖玫瑰园  | 5室2厅 | 750平米 | 东 南 西 北 | 其他', '2层2016年建暂无数据  -  芙蓉', '2300万', '单价30667元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload0650e315-18d7-4ab6-9d2b-adde9720736e.jpg.296x216.jpg', '户型好，户型方正，小区环境优美，毛坯，楼层好', '融科城融祥园  | 4室2厅 | 165.19平米 | 南 | 其他', '高楼层(共40层)2015年建板楼  -  芙蓉', '348万', '单价21067元/平米')
('', '绿地滨湖国际花都 2室2厅 145万', '绿地滨湖国际花都  | 2室2厅 | 81.88平米 | 南 北 | 其他', '低楼层(共28层)2013年建塔楼  -  海恒', '145万', '单价17709元/平米')
('', '金大地时代天街 1室1厅 60万', '金大地时代天街  | 1室1厅 | 43.33平米 | 西 | 其他', '高楼层(共33层)暂无数据  -  莲花', '60万', '单价13848元/平米')
('https://image1.ljcdn.com/340100-inspection/8ece7563-928f-44e5-a242-58725105c3a6.JPG.296x216.jpg', '滨湖前城 3室2厅 150万', '滨湖前城  | 3室2厅 | 103.79平米 | 南 北 | 其他', '中楼层(共18层)2007年建板塔结合  -  临湖', '150万', '单价14453元/平米')
('https://image1.ljcdn.com/340100-inspection/43bdcbd7-2dd3-4965-a656-a6020ad60c6c.jpg.296x216.jpg', '德信文锦新城 4室2厅 246万', '德信文锦新城  | 4室2厅 | 134平米 | 南 北 | 其他', '低楼层(共11层)2006年建板楼  -  芙蓉', '246万', '单价18359元/平米')
