('https://image1.ljcdn.com/441900-inspection/2aec141c-53b4-4b14-b41e-7dbbb5d6b57b.jpg.296x216.jpg', '未来世界花园 复式两房 带装修 高楼层 朝南向 采光好', '未来世界花园  | 2室2厅 | 53.4平米 | 西南 | 其他', '高楼层(共17层)塔楼  -  东泰', '125万', '单价23409元/平米')
('https://image1.ljcdn.com/441900-inspection/dff3589b-b7be-4541-9e92-bfea6f3a5bae.jpg.296x216.jpg', '地铁口物业配套齐全 生活方便环境好', '第一国际  | 1室2厅 | 60平米 | 南 | 其他', '低楼层(共28层)塔楼  -  东莞图书馆', '125万', '单价20834元/平米')
('https://image1.ljcdn.com/441900-inspection/becaa092-7453-4a05-8af1-1d242cb7a219.jpg.296x216.jpg', '金升国际公寓 方正一房一厅 采光通风好 业主诚心出售', '金升国际公寓  | 1室1厅 | 54.08平米 | 南 | 其他', '中楼层(共25层)塔楼  -  运河东', '75万', '单价13869元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload7f7b2d71-29fe-4d02-9db0-2d604f1faaa8.jpg.296x216.jpg', '地铁口家乐福 高楼层 位置安静 3房改成大2房', '新中银花园  | 2室2厅 | 90.51平米 | 西南 东北 | 其他', '高楼层(共12层)塔楼  -  东泰', '180万', '单价19888元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload9e5b724f-3ca7-4737-ba8d-e8c8334fe0e5.jpg.296x216.jpg', '标准三房，朝向好，户型方正实用，装修好，保养好。', '江南第一城  | 3室2厅 | 101.5平米 | 东南 | 其他', '9层板楼  -  宏远北', '210万', '单价20690元/平米')
('https://image1.ljcdn.com/441900-inspection/b7716e47-3343-4530-a92d-5664eb2cc70b.jpg.296x216.jpg', '景湖春晓一房一厅 三阳台 精装修 东南向 看小区安静', '光大景湖春晓  | 1室1厅 | 54平米 | 东南 | 其他', '低楼层(共18层)2005年建塔楼  -  东泰', '110万', '单价20371元/平米')
('', '天利花园精装修三房 带租约出售 业主诚心出售', '天利中央花园  | 3室2厅 | 128.16平米 | 北 | 其他', '低楼层(共30层)塔楼  -  东泰', '300万', '单价23409元/平米')
('https://image1.ljcdn.com/441900-inspection/6387e706-4c28-4217-8770-12617705ed09.jpg.296x216.jpg', '精英世家大三房出售，配套齐全。', '精英世家  | 3室2厅 | 128平米 | 东南 | 其他', '低楼层(共15层)塔楼  -  胜利路', '300万', '单价23438元/平米')
('https://image1.ljcdn.com/441900-inspection/f6e6eceb-db6a-4e74-8ab0-f4af0557a054.jpg.296x216.jpg', '城市风景 精致3房 保养好 户型方正 通风好 拎包入住', '城市风景  | 3室2厅 | 116平米 | 南 | 其他', '中楼层(共15层)暂无数据  -  石竹', '235万', '单价20259元/平米')
('', '方正一房一厅，满五年，诚心出售，采光通风好。', '天诚康桥华苑  | 1室1厅 | 47.58平米 | 东南 | 其他', '中楼层(共19层)塔楼  -  鸿福路口', '70万', '单价14713元/平米')
('https://image1.ljcdn.com/441900-inspection/94afc594-aa44-48b0-a5a4-2a121798cc29.jpg.296x216.jpg', '恒大御景 2室2厅 205万', '恒大御景  | 2室2厅 | 82平米 | 南 | 其他', '低楼层(共27层)2016年建塔楼  -  白马', '205万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/08b8b79b-e22b-44b4-94a5-228bbb20bbc5.jpg.296x216.jpg', '景湖蓝郡6房出售 高楼层景观好 看房方便', '景湖蓝郡一期君兰雅筑  | 6室2厅 | 222.45平米 | 东北 | 其他', '高楼层(共13层)塔楼  -  东泰', '480万', '单价21578元/平米')
('https://image1.ljcdn.com/441900-inspection/8e1d07c1-a7bc-4d61-914e-c71edab7c66b.jpg.296x216.jpg', '清华居 4室2厅 290万', '清华居  | 4室2厅 | 191平米 | 南 | 毛坯', '低楼层(共10层)塔楼  -  水濂山', '290万', '单价15184元/平米')
('https://image1.ljcdn.com/441900-inspection/b5853936-e005-4e79-bfa4-6fdcb2512002.jpg.296x216.jpg', '百悦尚城三房两卫 ，小区绿化好，业主诚心卖', '百悦尚城一期  | 3室2厅 | 126平米 | 东南 | 其他', '低楼层(共8层)塔楼  -  南城车站', '230万', '单价18254元/平米')
('https://image1.ljcdn.com/441900-inspection/9e06423c-8721-4340-bdc3-c385b9d0083c.jpg.296x216.jpg', '东骏豪苑 精装4房 看花园户型', '东骏豪苑  | 4室2厅 | 153.77平米 | 东南 | 其他', '低楼层(共17层)塔楼  -  西平', '370万', '单价24062元/平米')
('https://image1.ljcdn.com/441900-inspection/c739586b-1b47-40b4-b7fa-d0b6bc0729b1.jpg.296x216.jpg', '精装2房，户型方正实用，拎包入住。', '汇龙湾  | 2室2厅 | 77平米 | 东南 | 其他', '高楼层(共32层)塔楼  -  宏远北', '158万', '单价20520元/平米')
('https://image1.ljcdn.com/441900-inspection/a69cfacf-ad65-4096-b844-fe47dc9c7e2c.jpg.296x216.jpg', '城市立方 2室2厅 85万', '城市立方  | 2室2厅 | 49平米 | 东南 | 精装', '低楼层(共9层)塔楼  -  白马', '85万', '单价17347元/平米')
('https://image1.ljcdn.com/441900-inspection/51a6ca62-a659-4ee2-97d7-4bb6a7f86bdf.jpg.296x216.jpg', '城市风景 精致1房 采光足 拎包入住', '城市风景  | 1室1厅 | 51.43平米 | 东北 | 其他', '中楼层(共15层)板楼  -  石竹', '100万', '单价19444元/平米')
('https://image1.ljcdn.com/441900-inspection/22f272b8-86f4-45a3-832e-ac7140f69fd8.jpg.296x216.jpg', '小区新，户型方正实用，无暗房，楼层好景观好。', '汇龙湾  | 3室2厅 | 106平米 | 东南 | 其他', '中楼层(共28层)塔楼  -  宏远北', '212万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/65eb0cc1-cc1a-4a85-b760-5d7b1485aaf9.jpg.296x216.jpg', '南城西平商道8号 简欧装修 大2房 生活交通便利', '新中银·商道8号  | 2室2厅 | 86.21平米 | 东北 | 其他', '低楼层(共17层)塔楼  -  东泰', '210万', '单价24360元/平米')
('https://image1.ljcdn.com/441900-inspection/78459933-7c85-494a-8837-c01248ea8564.jpg.296x216.jpg', '万科金域华府 标准4房 南北通透 业主诚心出售', '万科金域华府一期  | 4室1厅 | 103.63平米 | 南 | 其他', '高楼层(共26层)2010年建塔楼  -  石竹', '380万', '单价36669元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload48de0448-6261-470a-9ba0-b1424e07fa60.jpg.296x216.jpg', '精致小2房 自住 保养好 业主诚心出售', '城市假日三期  | 2室1厅 | 45.91平米 | 西南 | 其他', '低楼层(共17层)2008年建塔楼  -  宏远南', '66万', '单价14376元/平米')
('https://image1.ljcdn.com/441900-inspection/686c35c3-5a03-4d48-86f2-fd4100a1c01d.jpg.296x216.jpg', '丰盛名苑公寓出售  户型好  采光好  通风好', '丰盛名苑  | 1室1厅 | 31.2平米 | 东 西 | 精装', '低楼层(共11层)暂无数据  -  南城车站', '58万', '单价18590元/平米')
('https://image1.ljcdn.com/441900-inspection/e0f56406-a8dc-4f98-b252-0a417da45a7b.jpg.296x216.jpg', '方正三房 采光通风俱佳 送四个阳台 实用面积超多', '沿河商住区  | 3室2厅 | 88.32平米 | 南 | 其他', '低楼层(共7层)暂无数据  -  三元里', '100万', '单价11323元/平米')
('https://image1.ljcdn.com/441900-inspection/d1c58945-c074-4ef9-b656-8ebbb17a95d4.jpg.296x216.jpg', '低税大三房，安静朝小区，保养新', '万科金域华府一期  | 3室2厅 | 75平米 | 东北 | 其他', '低楼层(共27层)2010年建塔楼  -  石竹', '225万', '单价30000元/平米')
('https://image1.ljcdn.com/441900-inspection/177be957-676b-4cce-99c4-f76e8ad88e55.jpg.296x216.jpg', '天利中央花园 1室0厅 70万', '天利中央花园  | 1室0厅 | 36平米 | 西北 | 其他', '低楼层(共20层)塔楼  -  东泰', '70万', '单价19445元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload95f849b3-60d1-441e-a9f9-5db2ed4398a0.jpg.296x216.jpg', '高楼层装修1房一厅 拎包可以入住', '中熙弥珍道  | 1室1厅 | 48.52平米 | 东 | 其他', '高楼层(共25层)塔楼  -  东泰', '108万', '单价22259元/平米')
('', '南城西平 国际公馆 户型方正，配套好', '世纪城国际公馆三期仁里  | 4室2厅 | 140.7平米 | 东北 | 其他', '低楼层(共16层)塔楼  -  西平', '370万', '单价26298元/平米')
('https://image1.ljcdn.com/441900-inspection/9a99db09-2756-4b50-a372-908acdb3f54b.jpg.296x216.jpg', '活力康城大四房，位置安静，居住舒服，满五唯一', '宏远活力康城  | 4室2厅 | 146.99平米 | 东南 | 其他', '中楼层(共12层)塔楼  -  宏远北', '220万', '单价14968元/平米')
('https://image1.ljcdn.com/441900-inspection/0f8be713-748c-437c-9237-81504541901c.jpg.296x216.jpg', '业主精装修贴了墙布，房间包括客厅都贴了墙布，朝小区', '万科金悦香树  | 3室2厅 | 98平米 | 西北 | 其他', '高楼层(共24层)塔楼  -  南城车站', '260万', '单价26531元/平米')
('https://image1.ljcdn.com/441900-inspection/a01a163a-0d51-4c1c-93f3-cde25c7837df.jpg.296x216.jpg', '天诚国际  精装一房 地段好 价位合理', '天诚国际  | 1室1厅 | 48.15平米 | 南 | 其他', '低楼层(共21层)塔楼  -  鸿福路口', '80万', '单价16615元/平米')
('https://image1.ljcdn.com/441900-inspection/ed66f9d0-5962-48e7-8e43-f46c0ebafe1b.jpg.296x216.jpg', '汉唐蜜园：精装修两房出售 看房方便。', '汉唐蜜园  | 2室1厅 | 33平米 | 东南 | 其他', '中楼层(共15层)2015年建塔楼  -  南城车站', '68万', '单价20607元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploaddbf1690a-4279-4763-b028-46681ed301a7.jpg.296x216.jpg', '东骏一楼3+1户型带花园靓房出售', '东骏豪苑  | 4室2厅 | 136.64平米 | 西北 | 精装', '低楼层(共16层)塔楼  -  西平', '340万', '单价24883元/平米')
('https://image1.ljcdn.com/441900-inspection/9dc9a64b-d601-422d-88aa-6a6dcab8f4da.jpg.296x216.jpg', '财津两房 中高楼层 保养好 适合年轻白领', '中央财津  | 2室1厅 | 59.52平米 | 东北 | 其他', '中楼层(共26层)2010年建塔楼  -  三元里', '115万', '单价19322元/平米')
('https://image1.ljcdn.com/441900-inspection/93a8b45b-bdd9-42ce-8f1b-b0c2bd810fb9.jpg.296x216.jpg', '方正四房，朝南看江景，通风效果及好，业主诚心出售', '汇龙湾  | 3室1厅 | 109.44平米 | 东南 | 其他', '高楼层(共32层)塔楼  -  宏远北', '230万', '单价21017元/平米')
('https://image1.ljcdn.com/441900-inspection/6037f778-0951-43e3-ba0b-7d119d36a4de.jpg.296x216.jpg', '景湖湾畔一期单身公寓，通风采光好', '光大景湖湾畔  | 1室0厅 | 32.03平米 | 北 | 其他', '中楼层(共11层)塔楼  -  宏远南', '55万', '单价17172元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload6a4d3fcd-b06d-4516-8508-930d86ab37ed.jpg.296x216.jpg', '万科金域华府 看花园泳池 配套完善 近地铁口', '万科金域华府二期  | 2室1厅 | 73.9平米 | 南 | 其他', '中楼层(共32层)塔楼  -  石竹', '220万', '单价29770元/平米')
('', '业主置换深圳房产 诚心出售此房', '百悦尚城一期  | 4室2厅 | 130平米 | 东南 | 其他', '低楼层(共8层)塔楼  -  南城车站', '225万', '单价17308元/平米')
('https://image1.ljcdn.com/441900-inspection/56677195-db0b-43c9-bc27-6e787eb0fadf.jpg.296x216.jpg', '时尚岛蓝钻  精装一房一厅 中高层 位置安静', '时尚岛蓝钻  | 1室1厅 | 48.5平米 | 南 北 | 其他', '低楼层(共24层)塔楼  -  鸿福路口', '83万', '单价17114元/平米')
('https://image1.ljcdn.com/441900-inspection/fcea9894-edb2-46fa-9178-1899f25a3263.jpg.296x216.jpg', '世纪城国际公馆三期仁里 3室2厅 330万', '世纪城国际公馆三期仁里  | 3室2厅 | 133平米 | 东北 | 其他', '低楼层(共16层)塔楼  -  西平', '330万', '单价24813元/平米')
('https://image1.ljcdn.com/441900-inspection/d58d6cec-e16f-4ccf-9cf1-a1ab57771922.jpg.296x216.jpg', '江南世家朝南3房，红本在手，业主诚意出售', '宏远江南世家  | 3室2厅 | 133平米 | 南 | 简装', '中楼层(共17层)塔楼  -  宏远北', '240万', '单价18046元/平米')
('https://image1.ljcdn.com/441900-inspection/4d51d5b2-9e07-4d11-aa41-ff3d327d79ad.jpg.296x216.jpg', '世纪城国际公馆三期仁里 车位 30万', '世纪城国际公馆三期仁里  | 车位 | 12平米 | 东南', '暂无数据  -  西平', '30万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/333718d0-b6fc-4aa1-9ccc-69d7ed67f7c1.jpg.296x216.jpg', '浙商大厦 1室1厅 98万', '浙商大厦  | 1室1厅 | 50.9平米 | 南 | 其他', '低楼层(共31层)2016年建塔楼  -  南城车站', '98万', '单价19254元/平米')
('', '南城西平 国际公馆 户型方正 小区新', '世纪城国际公馆三期仁里  | 4室2厅 | 171平米 | 西南 | 其他', '中楼层(共18层)塔楼  -  西平', '430万', '单价25147元/平米')
('https://image1.ljcdn.com/441900-inspection/39a950ef-26c3-441e-90d2-1bd133984721.jpg.296x216.jpg', '舒适一房一厅 装修保养好 配套成熟', '天诚国际  | 1室1厅 | 48.09平米 | 西南 | 其他', '低楼层(共21层)塔楼  -  鸿福路口', '80万', '单价16636元/平米')
('https://image1.ljcdn.com/441900-inspection/4b0a1dd2-b1a8-4685-bec1-7ed11355fece.jpg.296x216.jpg', '江南岭南风情 精装3房 自住 保养好 诚心出售。', '江南第一城  | 3室2厅 | 113.24平米 | 南 北 | 其他', '低楼层(共18层)塔楼  -  宏远北', '218万', '单价19252元/平米')
('https://image1.ljcdn.com/441900-inspection/9c47edb8-70df-4766-bf48-2d83a07b68ad.jpg.296x216.jpg', '城市立方 全新装修  拎包入住 诚心出售', '城市立方  | 2室2厅 | 53.55平米 | 南 | 其他', '高楼层(共9层)塔楼  -  白马', '90万', '单价16807元/平米')
('https://image1.ljcdn.com/441900-inspection/c6e1d087-53e0-4f6c-bef9-27b338b5967f.jpg.296x216.jpg', '东骏豪苑社区 四房出售 带装修 保养好', '东骏豪苑  | 4室2厅 | 136.15平米 | 东 | 其他', '低楼层(共16层)塔楼  -  西平', '342万', '单价25120元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadaa3ea272-bb6c-4a19-9adc-246ad8be2c55.jpg.296x216.jpg', '家私家电齐全，边位客厅明亮，卧室也有很大的飘窗', '金升国际公寓  | 2室1厅 | 55.21平米 | 东 东南 | 其他', '低楼层(共25层)塔楼  -  运河东', '75万', '单价13585元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload094380f7-1860-4c6d-8c30-954c8e8b0d20.jpg.296x216.jpg', '楼层高，通风好，朝向看花园小区 温馨舒适 配套成熟', '中信新天地  | 1室0厅 | 29.33平米 | 东北 | 其他', '高楼层(共19层)2004年建塔楼  -  石竹', '46.8万', '单价15957元/平米')
('https://image1.ljcdn.com/441900-inspection/bfeae9fa-6575-4037-bfa4-f68896624f07.jpg.296x216.jpg', '精装2房，户型方正实用，拎包入住。', '汇龙湾  | 2室2厅 | 79.6平米 | 东南 | 其他', '高楼层(共21层)塔楼  -  宏远北', '176万', '单价22111元/平米')
('https://image1.ljcdn.com/441900-inspection/16add429-0696-4cfc-beae-82ffffece8d7.jpg.296x216.jpg', '世纪城国际公馆三期精装修复式四房 高层视野开阔', '世纪城国际公馆三期仁里  | 4室2厅 | 127.2平米 | 南 | 其他', '高楼层(共18层)塔楼  -  西平', '580万', '单价45598元/平米')
('https://image1.ljcdn.com/441900-inspection/50bc81fd-a4b3-4625-8423-4b103ddbabcb.jpg.296x216.jpg', '精装两房，户型方正，通风效果好，环境优美，交通方便', '汇龙湾  | 2室1厅 | 74.3平米 | 东南 | 其他', '高楼层(共25层)塔楼  -  宏远北', '162万', '单价21804元/平米')
('', '金地格林小城 3室2厅 285万', '金地格林小城  | 3室2厅 | 117.11平米 | 东南 南 | 其他', '高楼层(共11层)塔楼  -  东泰', '285万', '单价24337元/平米')
('https://image1.ljcdn.com/441900-inspection/60737703-59c3-40cd-813c-a7edf1b7892d.jpg.296x216.jpg', '新中银花园 标准的一房一厅一厨一卫', '新中银花园  | 1室1厅 | 38.13平米 | 东北 | 简装', '中楼层(共12层)塔楼  -  东泰', '65万', '单价17047元/平米')
('https://image1.ljcdn.com/441900-inspection/41fba901-c9d8-4c85-99e2-a19551af8716.jpg.296x216.jpg', '石竹新花园 东南像3房 全新装修 看花园 拎包入住', '石竹新花园  | 3室2厅 | 132.13平米 | 东南 | 其他', '低楼层(共16层)塔楼  -  石竹', '275万', '单价20813元/平米')
('https://image1.ljcdn.com/441900-inspection/e9a54464-ba17-4e56-8aa8-28ac9b1503fc.jpg.296x216.jpg', '格林小城，小三房，中高楼层，南向看花园。', '金地格林小城  | 3室2厅 | 88.15平米 | 西南 | 其他', '高楼层(共11层)塔楼  -  东泰', '168万', '单价19059元/平米')
('https://image1.ljcdn.com/441900-inspection/43c77c9f-2bc9-4749-81c9-13e1f986ab36.jpg.296x216.jpg', '业主二期车位出售 少量出售 位置好 停车方便', '万科金域华府二期  | 车位 | 12平米 | 东南', '暂无数据  -  石竹', '26万', '单价21667元/平米')
('https://image1.ljcdn.com/441900-inspection/3bf4a9bc-e107-4656-9ccf-587c06f5fa0a.jpg.296x216.jpg', '房子很漂亮  样板房装修 价格好  满五', '中熙弥珍道  | 1室1厅 | 48.52平米 | 北 | 其他', '中楼层(共25层)塔楼  -  东泰', '100万', '单价20611元/平米')
('https://image1.ljcdn.com/441900-inspection/b2a57ac7-404f-4088-b0b2-d2dedd0fa92b.jpg.296x216.jpg', '满两年.免增值税.可入户.近地铁', '东骏朗晴居  | 2室1厅 | 49平米 | 东南 | 其他', '中楼层(共11层)塔楼  -  东泰', '135万', '单价27552元/平米')
('https://image1.ljcdn.com/441900-inspection/ca73497e-cdd0-42eb-8984-a517af776c60.jpg.296x216.jpg', '办公出售，楼层好，视野宽阔，交通便利，装修保养好。', '尚书银座  | 3室2厅 | 116.37平米 | 西南 | 其他', '低楼层(共23层)塔楼  -  东莞图书馆', '210万', '单价18046元/平米')
('https://image1.ljcdn.com/441900-inspection/02b6a1a5-c0d5-4052-923e-c4132f733a1c.jpg.296x216.jpg', '新中银。金色华庭精美两房，适合自住。', '新中银·金色华庭  | 2室1厅 | 86平米 | 东南 西南 | 其他', '高楼层(共18层)塔楼  -  东泰', '240万', '单价27907元/平米')
('https://image1.ljcdn.com/441900-inspection/3335cd29-7ddb-44fd-8fd1-d42defa7017d.jpg.296x216.jpg', '百悦尚城，近蛤地地铁口，出行方便', '百悦尚城二期恒大雅苑  | 3室2厅 | 88平米 | 南 | 其他', '中楼层(共10层)塔楼  -  南城车站', '225万', '单价25569元/平米')
('https://image1.ljcdn.com/441900-inspection/617032d5-880e-4485-a20f-f89b7d8d98ef.jpg.296x216.jpg', '万科翡丽山 3室2厅 205万', '万科翡丽山  | 3室2厅 | 95平米 | 南 | 其他', '中楼层(共27层)2012年建塔楼  -  水濂山', '205万', '单价21579元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload91320688-45b5-4b69-afb0-5e4a90406a2a.jpg.296x216.jpg', '满五年  大三房 出门是地铁口 公交出入方便', '百悦尚城一期  | 3室2厅 | 123.9平米 | 东南 | 其他', '中楼层(共8层)塔楼  -  南城车站', '230万', '单价18564元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload51983f0f-4757-4369-b310-41656dc1ae9a.jpg.296x216.jpg', '恒大御景 精装两房 户型方正 通风采光好', '恒大御景  | 2室2厅 | 81.98平米 | 西南 | 其他', '高楼层(共25层)塔楼  -  白马', '175万', '单价21347元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload3d096a72-181c-406c-99f7-c4cab9046f93.jpg.296x216.jpg', '看江南标准三房 户型方正 采光好 楼层好', '汇龙湾  | 3室2厅 | 109平米 | 东南 | 其他', '低楼层(共32层)塔楼  -  宏远北', '245万', '单价22478元/平米')
('https://image1.ljcdn.com/441900-inspection/d21ce213-0483-4441-939a-630f11418f5e.jpg.296x216.jpg', '汇景上层  复试别墅户型 业主自住保养好 满五唯一', '汇景上层  | 3室2厅 | 109.88平米 | 东北 | 其他', '高楼层(共11层)塔楼  -  石竹', '270万', '单价24573元/平米')
('https://image1.ljcdn.com/441900-inspection/9ea8781c-f733-429d-a868-67a40eb475d1.jpg.296x216.jpg', '幸福公馆  南北通透，诚心出售 近地铁 中高楼层  安静', '世纪城幸福公馆  | 4室2厅 | 124.83平米 | 南 北 | 其他', '中楼层(共29层)塔楼  -  南城车站', '330万', '单价26436元/平米')
('', '恒大御景 精装3房 业主诚心出售', '恒大御景  | 3室2厅 | 88.78平米 | 东南 | 其他', '低楼层(共27层)2016年建塔楼  -  白马', '185万', '单价20839元/平米')
('https://image1.ljcdn.com/441900-inspection/f4e55eea-d5da-4ca5-bb04-9cb67e8216ba.jpg.296x216.jpg', '汇景上层 温馨单间 位置安静 装修保养好 交通方便', '汇景上层  | 1室0厅 | 49.93平米 | 东北 | 简装', '低楼层(共12层)塔楼  -  石竹', '60万', '单价12017元/平米')
('https://image1.ljcdn.com/441900-inspection/5242ee8c-beef-4936-b011-13abfc7abfae.jpg.296x216.jpg', '中信森林湖精装三房，地铁口物业，小区人车分流', '中信森林湖兰溪谷  | 3室2厅 | 130平米 | 西南 | 其他', '中楼层(共29层)2012年建塔楼  -  水濂山', '490万', '单价37693元/平米')
('https://image1.ljcdn.com/441900-inspection/3aa39d69-f058-4cd5-b541-f4ddeaaea816.jpg.296x216.jpg', '园林小区 大三房 南北对流  阳台看小区', '宏远江南世家  | 3室2厅 | 136平米 | 东南 南 | 其他', '中楼层(共12层)塔楼  -  宏远北', '230万', '单价16912元/平米')
('https://image1.ljcdn.com/441900-inspection/af5816dd-2eb9-4c05-9139-f990bdae2d5f.jpg.296x216.jpg', '香树丽舍地下车位 业主诚心出售 随时可看', '香树丽舍  | 车位 | 12平米 | 东', '暂无数据  -  南城车站', '20万', '单价16667元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadbce46110-a759-4aed-bac1-0f2292f57b31.jpg.296x216.jpg', '晶城 3室1厅 156万', '晶城  | 3室1厅 | 82平米 | 西南 | 其他', '中楼层(共21层)2009年建板楼  -  石竹', '156万', '单价19025元/平米')
('', '业主诚心出售，看房方便，大户型三阳台', '光大景湖湾畔  | 4室2厅 | 166.3平米 | 西南 | 其他', '中楼层(共18层)塔楼  -  宏远南', '386万', '单价23212元/平米')
('https://image1.ljcdn.com/441900-inspection/56ad6c36-1d41-4d63-80ad-8d5c02794a8f.jpg.296x216.jpg', '时代城车位，业主诚意出售，位置好', '光大景湖时代城  | 车位 | 12.5平米 | 北', '暂无数据  -  东泰', '22万', '单价17600元/平米')
('https://image1.ljcdn.com/441900-inspection/3d5cf93f-0fde-4fd8-b65f-88355b5d119f.jpg.296x216.jpg', '新中银。金色华庭精美两房，适合自住。', '新中银·金色华庭  | 2室2厅 | 86平米 | 西南 | 其他', '高楼层(共18层)塔楼  -  东泰', '240万', '单价27907元/平米')
('https://image1.ljcdn.com/441900-inspection/2f7f35d6-5e08-495f-a705-d58bd8f8b51a.jpg.296x216.jpg', '西平家乐福，中高楼层，采光好，视野好，无遮档', '未来世界花园  | 3室2厅 | 68平米 | 东南 | 其他', '中楼层(共17层)塔楼  -  东泰', '155万', '单价22795元/平米')
('https://image1.ljcdn.com/441900-inspection/5154f88b-0b30-4765-8238-e7176419677b.jpg.296x216.jpg', '石竹新花园 车位出售 产权清晰 无抵押 无欠款', '石竹新花园  | 车位 | 12平米 | 西北', '暂无数据  -  石竹', '30万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload217894fc-81d3-446e-b6c6-ab45fa713d1b.jpg.296x216.jpg', '房子三房原始户型没改动 景观好', '百悦尚城三期恒大御湖  | 3室2厅 | 92.69平米 | 东南 | 其他', '中楼层(共18层)塔楼  -  南城车站', '270万', '单价29130元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload0ee427f4-51b3-4dbc-90f7-9ebedec4a2e2.jpg.296x216.jpg', '春晓一房出售，满五年，交通便利', '光大景湖春晓  | 1室0厅 | 52.16平米 | 西北 | 精装', '中楼层(共18层)2005年建塔楼  -  东泰', '100万', '单价19172元/平米')
('https://image1.ljcdn.com/441900-inspection/96741131-bf5a-4111-a35c-57aab31de585.jpg.296x216.jpg', '中熙弥珍道两房出售  楼龄新  楼层好  采光佳', '中熙弥珍道  | 2室1厅 | 68平米 | 西南 | 其他', '中楼层(共25层)塔楼  -  东泰', '130万', '单价19118元/平米')
('https://image1.ljcdn.com/440300-inspection/556e2ae0-f611-4fa3-94eb-9401f2c89bed.jpg.296x216.jpg', '城市立方  看房方便  业主自住', '城市立方  | 2室2厅 | 53.55平米 | 东 | 其他', '低楼层(共9层)塔楼  -  白马', '97万', '单价18114元/平米')
('https://image1.ljcdn.com/441900-inspection/bfe2342b-86e7-4abc-aa1d-9187ac06e219.jpg.296x216.jpg', '石竹新花园 西南朝向 看花园 业主诚心出售', '石竹新花园  | 3室2厅 | 98平米 | 西南 | 其他', '高楼层(共11层)塔楼  -  石竹', '176万', '单价17960元/平米')
('https://image1.ljcdn.com/441900-inspection/413fc4bd-12f8-4f6f-89e0-8d0448508802.jpg.296x216.jpg', '家私电器齐，装修保养很好，温馨整洁，', '天诚康桥华苑  | 1室0厅 | 37平米 | 东南 | 其他', '低楼层(共19层)塔楼  -  鸿福路口', '55万', '单价14865元/平米')
('https://image1.ljcdn.com/441900-inspection/ff9b5def-a65a-41e2-97f8-c46ea8e7483c.jpg.296x216.jpg', '光大景湖春晓 1室1厅 90万', '光大景湖春晓  | 1室1厅 | 48.88平米 | 东南 | 其他', '低楼层(共18层)2005年建塔楼  -  东泰', '90万', '单价18413元/平米')
('https://image1.ljcdn.com/441900-inspection/4d2c5f75-0fdc-4d92-996b-7eb343773890.jpg.296x216.jpg', '户型方正 厅大房大 宽敞舒适 阳台超大', '光大景湖湾畔  | 2室2厅 | 91.23平米 | 东 | 其他', '低楼层(共11层)塔楼  -  宏远南', '170万', '单价18635元/平米')
('https://image1.ljcdn.com/441900-inspection/79f88a5b-bb86-4002-9357-599c27525e30.jpg.296x216.jpg', '新中银2期车位 房本在手位置离出口处较近停车出行方便', '新中银·金色华庭  | 车位 | 12.5平米 | 南', '暂无数据  -  东泰', '25万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload99f2a98f-53b2-4972-830e-b69f8147b32d.jpg.296x216.jpg', '恒大御湖 精装三房 厅出阳台 带大露台', '百悦尚城三期恒大御湖  | 3室2厅 | 92.1平米 | 东北 | 其他', '低楼层(共18层)塔楼  -  南城车站', '255万', '单价27688元/平米')
('https://image1.ljcdn.com/441900-inspection/731cedf4-5983-4554-8b7f-d8afe833ea90.jpg.296x216.jpg', '恒大御景 2室1厅 190万', '恒大御景  | 2室1厅 | 82平米 | 东南 | 其他', '低楼层(共27层)2016年建塔楼  -  白马', '190万', '单价23171元/平米')
('https://image1.ljcdn.com/441900-inspection/5c70c0df-7e4d-4d10-abfb-d2c8bfce6d2e.jpg.296x216.jpg', '世纪城幸福公馆 3室1厅 230万', '世纪城幸福公馆  | 3室1厅 | 87.87平米 | 北 | 精装', '中楼层(共29层)塔楼  -  南城车站', '230万', '单价26176元/平米')
