('https://image1.ljcdn.com/330100-inspection/6f4321b9-f318-42b7-9cac-b174e9c69cab.jpg.296x216.jpg', '莫干新村 满五唯一 小三房 送院子', '莫干新村  | 2室1厅 | 64.87平米 | 南 | 简装 | 无电梯', '低楼层(共5层)1982年建板楼  -  湖墅', '272万', '单价41931元/平米')
('https://image1.ljcdn.com/330100-inspection/0c92de26-4153-4230-aa2f-85219d8aa0fc.jpg.296x216.jpg', '天鸿香榭里 4室2厅 723万', '天鸿香榭里  | 4室2厅 | 226.22平米 | 南 | 其他 | 有电梯', '高楼层(共19层)2012年建板楼  -  万达广场', '723万', '单价31961元/平米')
('https://image1.ljcdn.com/330100-inspection/7968e879-35f8-4f6d-851e-5c0e2c9fa496.jpg.296x216.jpg', '铁建三开间朝南 可做三阳台 楼层高视野好', '中国铁建国际汇  | 3室1厅 | 89.39平米 | 南 | 简装 | 有电梯', '中楼层(共24层)板楼  -  拱宸桥', '450万', '单价50342元/平米')
('https://image1.ljcdn.com/330100-inspection/ff9d8282-df4d-46de-98d6-76e0b0ba0107.jpg.296x216.jpg', '清爽装修 小区生活配套完善 出行便利', '蚕花园永安坊  | 2室1厅 | 49.97平米 | 南 | 简装 | 无电梯', '中楼层(共4层)1990年建板楼  -  拱宸桥', '163万', '单价32620元/平米')
('', '东方福邸 2室1厅 460万', '东方福邸  | 2室1厅 | 84.94平米 | 南 | 其他 | 有电梯', '低楼层(共24层)2014年建板楼  -  申花', '460万', '单价54156元/平米')
('https://image1.ljcdn.com/330100-inspection/bac453d1-0e52-4fd4-927f-9539184e5e20.jpg.296x216.jpg', '稻香园南区 3室2厅 400万', '稻香园南区  | 3室2厅 | 109.4平米 | 西北 | 简装 | 有电梯', '中楼层(共18层)2000年建板楼  -  湖墅', '400万', '单价36564元/平米')
('https://image1.ljcdn.com/330100-inspection/c4f2a2d0-6719-43bb-a9a7-9ea3530bc35e.jpg.296x216.jpg', '次新房 采光好 户口学籍均为占', '凯德湖墅  | 1室1厅 | 52.29平米 | 南 北 | 简装 | 有电梯', '低楼层(共18层)2016年建塔楼  -  和睦', '298万', '单价56990元/平米')
('https://image1.ljcdn.com/330100-inspection/test-912a4f6a-bf92-44b5-ad88-968967a5eb8a.png.296x216.jpg', '房龄2000年 精装修西边套 中间楼层', '蚕花园永兴坊  | 2室1厅 | 64.67平米 | 南 | 精装 | 有电梯', '低楼层(共21层)2000年建板楼  -  拱宸桥', '215万', '单价33246元/平米')
('', '中天西城纪 2室1厅 138万', '中天西城纪  | 2室1厅 | 42平米 | 东 | 其他 | 有电梯', '中楼层(共14层)2014年建板楼  -  申花', '138万', '单价32858元/平米')
('', '庆云居 2室2厅 315万', '庆云居  | 2室2厅 | 74.32平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2011年建塔楼  -  和睦', '315万', '单价42385元/平米')
('https://image1.ljcdn.com/330100-inspection/27468561-dbf8-4608-b9bd-cab42bae5c5d.jpg.296x216.jpg', '中国铁建国际城  新上酒店式公寓   边套户型', '中国铁建国际汇  | 1室1厅 | 40.93平米 | 东 | 精装 | 有电梯', '中楼层(共19层)2014年建塔楼  -  拱宸桥', '130万', '单价31762元/平米')
('https://image1.ljcdn.com/330100-inspection/c494c13b-c79a-4492-a6bb-14d3973b82e3.jpg.296x216.jpg', '2016年次新房，户型正气，赠送面积多', '凯德湖墅  | 3室2厅 | 117.92平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2016年建塔楼  -  和睦', '695万', '单价58939元/平米')
('https://image1.ljcdn.com/330100-inspection/df21c0cf-bb9d-4bd9-bb3c-b03d6b1a383f.jpg.296x216.jpg', '城西银泰附件自住精装好品质大三房', '西铭苑  | 3室2厅 | 118.72平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2009年建板楼  -  申花', '530万', '单价44643元/平米')
('', '庆隆苑二期三房出售，房龄新，楼层好。', '庆隆苑  | 3室2厅 | 116.44平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2004年建板塔结合  -  和睦', '450万', '单价38647元/平米')
('', '吉如家园 1室1厅 280万', '吉如家园  | 1室1厅 | 62.78平米 | 南 | 简装 | 有电梯', '低楼层(共25层)2009年建板楼  -  桥西', '280万', '单价44601元/平米')
('https://image1.ljcdn.com/330100-inspection/test-c5fcd10e-5703-444b-b5b7-18ddc71f4010.png.296x216.jpg', '都市水乡水起苑 2室2厅 316万', '都市水乡水起苑  | 2室2厅 | 95.52平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2008年建塔楼  -  三墩', '316万', '单价33083元/平米')
('https://image1.ljcdn.com/330100-inspection/00206493-2d97-491f-860d-08d73589cff6.jpg.296x216.jpg', '小面积精装房，房东包税，自带大阳台', '联合世纪新筑  | 1室2厅 | 65.4平米 | 南 北 | 精装 | 有电梯', '14层2008年建板楼  -  和睦', '325万', '单价49695元/平米')
('https://image1.ljcdn.com/330100-inspection/test-f1f0b02f-449f-4bf0-a4b7-7afc51bb0b3d.png.296x216.jpg', '大塘新村 环境优美 交通便利 适宜居住', '大塘新村  | 2室1厅 | 55.62平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1988年建板楼  -  湖墅', '222万', '单价39914元/平米')
('', '贾家弄两房朝南，两个房间都算大，一房朝北 通风好', '贾家弄  | 3室1厅 | 59.86平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1993年建板楼  -  信义坊', '230万', '单价38423元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/69437508-99ea-40d3-be46-a8d506042106.png.280x210.jpg', '清水公寓 3室2厅 580万', '清水公寓  | 3室2厅 | 113.59平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2002年建板楼  -  德胜', '580万', '单价51061元/平米')
('https://image1.ljcdn.com/330100-inspection/e7cf6e25-3f95-4569-beaa-71f1cabcbaef.png.296x216.jpg', '尚堂府 17年次新房 不沿高架 价格送车位', '杭钢尚堂府  | 3室2厅 | 89.73平米 | 南 | 简装', '高楼层(共23层)2017年建板楼  -  半山', '330万', '单价36777元/平米')
('https://image1.ljcdn.com/330100-inspection/2ede9df1-cd2d-47ef-ae2a-3c6bfeeec91e.jpg.296x216.jpg', '德胜新村新上，房东诚心出售！！', '德胜新村  | 2室1厅 | 54.93平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1988年建板楼  -  德胜', '225万', '单价40962元/平米')
('https://image1.ljcdn.com/330100-inspection/c419645a-738b-41cc-a210-e537d159bf3e.jpg.296x216.jpg', '业主诚心卖，低总价，采光无忧，满五年！', '长乐北苑  | 2室1厅 | 68.68平米 | 南 西南 | 精装 | 无电梯', '高楼层(共7层)1996年建板楼  -  大关', '265万', '单价38585元/平米')
('', '董家弄 房子是2012年的新房  房东诚心出售', '董家弄  | 2室1厅 | 46.57平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2000年建板楼  -  信义坊', '230万', '单价49389元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/65b59a66-a299-4e49-99dd-9efa2cffb59b.png.280x210.jpg', '三开间朝南 双阳台 全明户型 河景房 前面无遮挡', '富越香郡  | 3室2厅 | 89.8平米 | 南 | 简装 | 有电梯', '低楼层(共32层)2014年建板楼  -  桥西', '385万', '单价42874元/平米')
('https://image1.ljcdn.com/330100-inspection/caa7b287-4c24-4dc9-9d1b-fa656e208a5d.jpg.296x216.jpg', '云河大厦  户型方正 设施齐全 出行方便', '云河大厦  | 1室1厅 | 51平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2002年建塔楼  -  信义坊', '185万', '单价36275元/平米')
('https://image1.ljcdn.com/330100-inspection/df9b1d1c-9bde-41ef-9928-e25ccafeae67.jpg.296x216.jpg', '拱墅区 小户型，总价低，得房率高，诚心出售', '宝嘉誉峰  | 2室2厅 | 74.13平米 | 南 北 | 毛坯', '高楼层(共23层)2016年建塔楼  -  万达广场', '315万', '单价42493元/平米')
('', '长青嘉苑 拱墅区 小两房  南北通透', '长青嘉苑  | 2室2厅 | 76.66平米 | 南 北 | 简装 | 有电梯', '18层2000年建板楼  -  三墩', '256万', '单价33395元/平米')
('', '远洋大运河商务区 精装修 户型好', '远洋杭州大运河商务区  | 1室0厅 | 45.09平米 | 西南 | 精装', '中楼层(共18层)2015年建塔楼  -  拱宸桥', '160万', '单价35485元/平米')
('https://image1.ljcdn.com/330100-inspection/f870bcfe-af89-4db0-b032-986a85e1c2af.jpg.296x216.jpg', '大关东一苑 精装修边套 跃层 实用面积超100方带地暖', '大关东一苑  | 3室2厅 | 79.8平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1995年建板楼  -  大关', '325万', '单价40727元/平米')
('https://image1.ljcdn.com/330100-inspection/5e9cd66e-d9a2-436c-ac96-1fd849783873.jpg.296x216.jpg', '天鸿香榭里 5室3厅 640万', '天鸿香榭里  | 5室3厅 | 187.33平米 | 南 | 其他 | 有电梯', '高楼层(共21层)2012年建板楼  -  万达广场', '640万', '单价34165元/平米')
('https://image1.ljcdn.com/330100-inspection/3a7c21b3-1afe-49eb-93c3-f74fea66eed5.jpg.296x216.jpg', '南北通透格局  交通便利  配套成熟 居住好房', '和睦新村  | 3室1厅 | 67平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1989年建板楼  -  和睦', '275万', '单价41045元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/1e1658a3-d1da-4549-82b8-1b18cebaf068.png.280x210.jpg', '蚕花园永宁坊 2室1厅 220万', '蚕花园永宁坊  | 2室1厅 | 55.53平米 | 南 | 简装 | 无电梯', '低楼层(共7层)2000年建板楼  -  拱宸桥', '220万', '单价39619元/平米')
('https://image1.ljcdn.com/330100-inspection/13e5c497-ff0e-4168-9e54-bc62a88a304e.jpg.296x216.jpg', '精装修，三开间朝南户型好，车位另算，业主诚心卖', '阳光郡  | 4室2厅 | 130.95平米 | 南 | 毛坯 | 有电梯', '高楼层(共28层)2014年建板楼  -  三墩', '480万', '单价36656元/平米')
('https://image1.ljcdn.com/330100-inspection/8e51dd60-332c-4d59-9a2b-690775476419.jpg.296x216.jpg', '2016年次新房，南北通透，毛坯房随自己风格装修', '凯德湖墅  | 3室2厅 | 89.25平米 | 南 | 毛坯 | 有电梯', '低楼层(共18层)2016年建板楼  -  和睦', '458万', '单价51317元/平米')
('https://image1.ljcdn.com/330100-inspection/ab653e22-1ede-4050-8ff1-59f0d6663037.jpg.296x216.jpg', '德泰御峰大厦 1室0厅 125万', '德泰御峰大厦  | 1室0厅 | 40.39平米 | 西南 | 其他 | 有电梯', '高楼层(共19层)2010年建塔楼  -  申花', '125万', '单价30949元/平米')
('', '申花区雍荣华庭华师大全明中间套', '雍荣华庭  | 2室1厅 | 72.88平米 | 南 | 简装', '高楼层(共30层)2017年建板楼  -  申花', '365万', '单价50083元/平米')
('', '中天西城纪，朝北总价很低的一套', '中天西城纪  | 1室1厅 | 34.14平米 | 北 | 精装 | 有电梯', '低楼层(共14层)2014年建板楼  -  申花', '110万', '单价32221元/平米')
('https://image1.ljcdn.com/330100-inspection/90a16829-4c4a-4e08-a939-f5312c097616.jpg.296x216.jpg', '标准三房 万科品质 南北通透 依山傍水', '广宇万科公园里  | 3室1厅 | 89平米 | 南 北 | 精装', '高楼层(共18层)2016年建板楼  -  半山', '305万', '单价34270元/平米')
('https://image1.ljcdn.com/330100-inspection/a3902d0b-2f66-451c-8299-2a9c7a3945ad.jpg.296x216.jpg', '莫干山路528号 2室1厅 300万', '莫干山路528号  | 2室1厅 | 74.68平米 | 南 | 简装', '高楼层(共5层)暂无数据  -  和睦', '300万', '单价40172元/平米')
('https://image1.ljcdn.com/330100-inspection/91d42d6f-dd1a-4f9e-b111-346f4a712421.jpg.296x216.jpg', '水韵康桥 2室1厅 175万', '水韵康桥  | 2室1厅 | 59.37平米 | 南 | 简装', '高楼层(共28层)板楼  -  半山', '175万', '单价29477元/平米')
('https://image1.ljcdn.com/330100-inspection/test-ae72529b-2ba3-4c2c-ae88-72edae671b61.png.296x216.jpg', '98年房龄  卖小文晖  大三房', '墅林苑  | 3室1厅 | 95平米 | 南 | 精装 | 无电梯', '低楼层(共7层)1998年建板楼  -  信义坊', '415万', '单价43685元/平米')
('', '次新房，客厅朝西，两房朝南，全明户型', '杭钢尚堂府  | 3室2厅 | 86.76平米 | 南 北 | 简装', '低楼层(共18层)2017年建板楼  -  半山', '360万', '单价41494元/平米')
('https://image1.ljcdn.com/330100-inspection/89e917c3-e064-46ef-83d4-9f97f4e9b1fa.jpg.296x216.jpg', '三开间朝南，全明户型，双阳台，绿城优质开发商', '绿城西子锦兰公寓  | 3室2厅 | 147平米 | 南 | 毛坯 | 有电梯', '高楼层(共15层)2009年建板楼  -  大关', '820万', '单价55783元/平米')
('https://image1.ljcdn.com/330100-inspection/b09db9ae-9bbf-49fa-b7e4-6a5eddec719c.jpg.296x216.jpg', '德泰御峰大厦 1室0厅 125万', '德泰御峰大厦  | 1室0厅 | 40.38平米 | 西南 | 其他 | 有电梯', '高楼层(共19层)2010年建塔楼  -  申花', '125万', '单价30956元/平米')
('', '绿城运河郡 1室2厅 225万', '绿城运河郡  | 1室2厅 | 63.59平米 | 南 | 精装', '中楼层(共21层)2018年建板楼  -  桥西', '225万', '单价35383元/平米')
('', '和睦一楼带大院子，大两房，田园居住，很适宜', '和睦新村  | 2室1厅 | 47.73平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1989年建板楼  -  和睦', '195万', '单价40855元/平米')
('https://image1.ljcdn.com/330100-inspection/109d62d2-c9cc-4fed-afa4-691c494b3e1c.jpg.296x216.jpg', '边套户型 中间楼层 采光好视野宽阔', '顺发吉祥半岛  | 4室2厅 | 135.32平米 | 南 | 精装 | 有电梯', '中楼层(共25层)2014年建板楼  -  桥西', '720万', '单价53208元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload2c14369a-8241-46b5-b84d-845d1658bfee.jpg.296x216.jpg', '星河明苑 两房户型 采光充足 带电梯', '星河明苑  | 2室1厅 | 76.26平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2003年建板楼  -  湖墅', '370万', '单价48519元/平米')
('https://image1.ljcdn.com/330100-inspection/b5efd3f4-2d46-4501-9f71-d62fc949344d.jpg.296x216.jpg', '此房南北通透，小区里面，诚心出售，单价实惠总价低。', '湖墅南路419号  | 2室1厅 | 58.27平米 | 南 | 简装', '高楼层(共6层)板楼  -  信义坊', '220万', '单价37756元/平米')
('https://image1.ljcdn.com/330100-inspection/test-6dcb50bf-2fe6-4420-8127-c088deffbdef.png.296x216.jpg', '配套   实  施齐全    交通便利', '小河佳苑  | 1室1厅 | 43.54平米 | 南 | 简装 | 有电梯', '低楼层(共20层)2008年建板楼  -  和睦', '155万', '单价35600元/平米')
('', '次新房，三开间朝南，全明户型，远离高架', '杭钢尚堂府  | 3室2厅 | 88.69平米 | 南 | 简装', '低楼层(共18层)2017年建板楼  -  半山', '360万', '单价40591元/平米')
('https://image1.ljcdn.com/330100-inspection/test-e5a8efb5-7d56-4827-b33e-355449bf6542.png.296x216.jpg', '黄 金三楼，16年婚房精装修，家具家电全部都还很新，', '大关南七苑  | 2室2厅 | 57.4平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1996年建板楼  -  大关', '232万', '单价40419元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/b6b94790-d1f1-42bc-9511-9c7b28f7a242.png.280x210.jpg', '德泰御峰大厦 1室1厅 95万', '德泰御峰大厦  | 1室1厅 | 40.26平米 | 西 | 简装 | 有电梯', '高楼层(共19层)2010年建塔楼  -  申花', '95万', '单价23597元/平米')
('', '两房朝南 光纤好 小区生活配套完善 出行便利', '蚕花园永和坊  | 2室1厅 | 64.05平米 | 南 | 简装 | 有电梯', '高楼层(共19层)2000年建板楼  -  拱宸桥', '240万', '单价37471元/平米')
('', '两房朝南，采光好，不沿街的，刚需户型配套齐全', '勤丰小区  | 2室1厅 | 53.37平米 | 南 | 简装 | 无电梯', '高楼层(共7层)2005年建板楼  -  申花', '219万', '单价41035元/平米')
('https://image1.ljcdn.com/330100-inspection/ea731cfa-accb-48d5-bb70-4effc7bf1886.jpg.296x216.jpg', '左家新村 2室1厅 316万', '左家新村  | 2室1厅 | 78.76平米 | 南 | 其他 | 有电梯', '高楼层(共20层)1996年建板楼  -  湖墅', '316万', '单价40122元/平米')
('https://image1.ljcdn.com/330100-inspection/08a8786e-b5e2-4ba7-bb1c-be53f2947bb3.jpg.296x216.jpg', '密渡桥路刚需大两房 电梯房 房龄新', '嘉璟华庭  | 2室1厅 | 121.03平米 | 南 北 | 简装', '低楼层(共7层)2012年建暂无数据  -  湖墅', '630万', '单价52054元/平米')
('https://image1.ljcdn.com/330100-inspection/bd91b7e4-f224-4325-b84c-fb8ce28700ae.jpg.296x216.jpg', '3房2卫 华师大 10号线 亚运公园', '融信学院府  | 3室1厅 | 89.51平米 | 南 | 简装', '低楼层(共14层)2017年建板楼  -  申花', '510万', '单价56977元/平米')
('', '房东诚心出售满五无个税看房方便', '正兴堂弄  | 2室1厅 | 54.62平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1992年建板楼  -  信义坊', '198万', '单价36251元/平米')
('', '楼 王位置，绝 对安静，价格适中，房东诚心卖', '融信学院府  | 3室1厅 | 89.45平米 | 南 | 简装', '高楼层(共18层)2017年建板楼  -  申花', '530万', '单价59251元/平米')
('https://image1.ljcdn.com/330100-inspection/test-ffa06e95-41d6-4ed8-91f8-44f9d95aabc8.png.296x216.jpg', '次新房，全明户型，申花板块，汽车北站，申花公园。', '景致公寓  | 2室2厅 | 86.5平米 | 南 | 简装', '低楼层(共32层)板楼  -  申花', '335万', '单价38729元/平米')
('https://image1.ljcdn.com/330100-inspection/test-419250e0-fc6c-4b3b-9f02-194d7b981619.png.296x216.jpg', '拱墅区万达商圈 方正御星精装3房 自住装修诚心出售', '方正御星  | 3室2厅 | 89.08平米 | 南 | 简装 | 有电梯', '低楼层(共23层)2016年建板楼  -  万达广场', '420万', '单价47149元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/d5466ce6-6270-4795-8193-784ce3493aa1.png.280x210.jpg', '一楼带院子，标准两房一厅，业主诚心出售', '大关东九苑  | 2室1厅 | 62.1平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1995年建板楼  -  大关', '240万', '单价38648元/平米')
('', '融信蓝孔雀精装三房中间套三室两卫融信品质书香邻里', '融信蓝孔雀  | 3室1厅 | 89平米 | 南 | 简装', '低楼层(共27层)2016年建板楼  -  申花', '480万', '单价53933元/平米')
('https://image1.ljcdn.com/330100-inspection/694c9077-1f20-4b52-aa2a-bb8911639c3a.jpg.296x216.jpg', '雍荣华庭 边套 3房2卫 户型全明 诚心出售', '雍荣华庭  | 3室2厅 | 87.5平米 | 南 | 简装', '低楼层(共30层)2017年建板楼  -  申花', '400万', '单价45715元/平米')
('https://image1.ljcdn.com/330100-inspection/4744cfdf-f0f7-4020-ad9f-16db8a1d288b.jpg.296x216.jpg', '丽晶湾 3室2厅 480万', '丽晶湾  | 3室2厅 | 107.68平米 | 南 | 其他 | 有电梯', '高楼层(共22层)2014年建塔楼  -  申花', '480万', '单价44577元/平米')
('https://image1.ljcdn.com/330100-inspection/ca74bdff-db36-43e7-b05f-c8e6143e627a.jpg.296x216.jpg', '城西银泰城隔壁中装写字楼公寓，带阳台，大平层', '德泰御峰大厦  | 1室1厅 | 40.39平米 | 东 | 简装 | 有电梯', '高楼层(共19层)2010年建塔楼  -  申花', '85万', '单价21045元/平米')
('', '三宝新村总价低，标准2室，楼层好，通风，且价格可谈', '三宝新村  | 2室1厅 | 51.71平米 | 西南 | 简装 | 无电梯', '低楼层(共6层)1988年建板楼  -  信义坊', '180万', '单价34810元/平米')
('', '大户型，西边套，带露台，户型格局好', '天鸿香榭里  | 4室2厅 | 138.52平米 | 南 西 北 | 简装 | 有电梯', '低楼层(共24层)2012年建板楼  -  万达广场', '520万', '单价37540元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/d4b7bbf1-a5ac-447e-b167-73d12311f819.png.280x210.jpg', '田园牧歌自住精装，三开间朝南。', '绿城西子田园牧歌  | 2室1厅 | 87.11平米 | 南 | 精装 | 有电梯', '低楼层(共15层)2013年建塔楼  -  半山', '350万', '单价40180元/平米')
('https://image1.ljcdn.com/330100-inspection/a8627390-1945-45ce-b126-728a2d6c9e56.jpg.296x216.jpg', '中天西城纪，朝南165万新出房源在售', '中天西城纪  | 2室1厅 | 40.61平米 | 南 | 精装 | 有电梯', '低楼层(共14层)2014年建板楼  -  申花', '162万', '单价39892元/平米')
('', '黄龙金茂悦 3室2厅 460万', '黄龙金茂悦  | 3室2厅 | 88.77平米 | 南 | 简装', '低楼层(共18层)2017年建塔楼  -  申花', '460万', '单价51820元/平米')
('', '开发商统一装修 房间朝南 单价低 总价低', '易构大厦  | 1室1厅 | 42.43平米 | 南 | 其他 | 有电梯', '高楼层(共16层)2009年建板楼  -  桥西', '60万', '单价14141元/平米')
('https://image1.ljcdn.com/330100-inspection/a6254efc-c64d-430a-86fd-baf0a646bc04.jpg.296x216.jpg', '塘河新村 2室1厅 180万', '塘河新村  | 2室1厅 | 44.45平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1985年建板楼  -  信义坊', '180万', '单价40495元/平米')
('https://image1.ljcdn.com/330100-inspection/3c786a6c-406a-401b-b60a-3ebe3a23be62.jpg.296x216.jpg', '不沿高架，简装出租，直接受益，头资首（）选', '雍荣华庭  | 2室2厅 | 89.86平米 | 南 | 简装', '高楼层(共27层)2017年建板楼  -  申花', '450万', '单价50078元/平米')
('https://image1.ljcdn.com/330100-inspection/263a1c24-1503-4d3d-ac5a-33b34fbdee7b.jpg.296x216.jpg', '左岸花园好户型，好采光，好面积赠送20平方大露台，', '左岸花园  | 4室3厅 | 160平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2005年建板楼  -  拱宸桥', '580万', '单价36250元/平米')
('https://image1.ljcdn.com/330100-inspection/f7204fce-35b7-42a4-af9e-0023c9b4ad14.jpg.296x216.jpg', '三宝新村精装修，大两房，1994年的房龄，南北通！', '三宝新村  | 2室2厅 | 80.94平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)1989年建板楼  -  信义坊', '310万', '单价38300元/平米')
('https://image1.ljcdn.com/330100-inspection/test-8a5bd6c2-7f0b-453c-a21e-dc01b77a3ef4.png.296x216.jpg', '欧尚超市边两房朝南，总价低，自住的不二选择', '绍兴新村  | 2室1厅 | 49.92平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1988年建板楼  -  拱宸桥', '185万', '单价37060元/平米')
('https://image1.ljcdn.com/330100-inspection/test-f1931680-7870-413b-9f0e-4f0ca3bd6b4d.png.296x216.jpg', '满五唯一 2房朝南 精装修 小户型 低总价', '沈塘铭苑  | 2室1厅 | 57.4平米 | 南 | 其他 | 有电梯', '中楼层(共22层)2005年建板楼  -  湖墅', '260万', '单价45297元/平米')
('https://image1.ljcdn.com/330100-inspection/51b47e6a-1e65-4620-9d95-615ca0c5c48a.jpg.296x216.jpg', '精装修Loft公寓  朝南中间楼层', '中国铁建国际汇  | 1室1厅 | 46.73平米 | 南 | 精装 | 有电梯', '中楼层(共19层)2014年建塔楼  -  拱宸桥', '130万', '单价27820元/平米')
('https://image1.ljcdn.com/330100-inspection/e0a277da-197f-4432-860c-95dc0f3cab09.jpg.296x216.jpg', '主城区  三房格局两房朝南+跃层  清爽装修', '蚕花园永兴坊  | 2室1厅 | 78.72平米 | 南 | 简装 | 有电梯', '高楼层(共21层)2000年建板楼  -  拱宸桥', '245万', '单价31123元/平米')
('', '华盛达阅城近地铁 大面积 四房格局 小高层', '华盛达阅城  | 4室2厅 | 139平米 | 东 南 北 | 简装 | 有电梯', '中楼层(共11层)2013年建板楼  -  万达广场', '610万', '单价43885元/平米')
('https://image1.ljcdn.com/330100-inspection/737cd1dc-654e-45e3-b880-82acadbc4b1c.jpg.296x216.jpg', '星河明苑 电梯房 两房朝南 采光充足', '星河明苑  | 2室2厅 | 76.26平米 | 南 北 | 简装 | 有电梯', '中楼层(共18层)2003年建板楼  -  湖墅', '368万', '单价48256元/平米')
('https://image1.ljcdn.com/330100-inspection/672c938b-d20c-4a2b-b723-b6abf0e7252d.jpg.296x216.jpg', '香吉公寓 三房朝南 三个房间都是很大 户型正 越三层', '香吉公寓  | 7室3厅 | 251.7平米 | 南 | 毛坯 | 有电梯', '高楼层(共16层)2002年建板楼  -  大关', '775万', '单价30791元/平米')
('https://image1.ljcdn.com/330100-inspection/test-fa66ae7f-98d7-4099-b997-1ed348b52f9c.png.296x216.jpg', '德胜新村新上两房，中间楼层。南北通透。', '德胜新村  | 3室1厅 | 55.96平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1988年建板楼  -  德胜', '225万', '单价40208元/平米')
('https://image1.ljcdn.com/330100-inspection/test-336b3a08-21ec-467f-ab6d-6444e2c12896.png.296x216.jpg', '标准三房 万科品质 南北通透 依山傍水', '广宇万科公园里  | 3室2厅 | 88.33平米 | 南 | 精装', '高楼层(共18层)2016年建板楼  -  半山', '300万', '单价33964元/平米')
('', '富越盈座 15年次新房房东装修花了十几万目前租掉朝南', '富越香郡盈座  | 1室1厅 | 52.26平米 | 南 | 精装 | 有电梯', '中楼层(共25层)2015年建板楼  -  桥西', '120万', '单价22963元/平米')
('https://image1.ljcdn.com/330100-inspection/77bb3611-80d5-4586-98b4-80d0a8fc01e4.jpg.296x216.jpg', '大关低单价的三房 中间楼层 全明东边套 业主诚心出售', '大关东五苑  | 3室2厅 | 97.84平米 | 东南 | 简装 | 无电梯', '中楼层(共7层)1996年建板楼  -  大关', '365万', '单价37306元/平米')
('', '景瑞悦西台 4室2厅 720万', '景瑞悦西台  | 4室2厅 | 133平米 | 南 | 其他', '低楼层(共7层)2017年建暂无数据  -  申花', '720万', '单价54136元/平米')
('https://image1.ljcdn.com/330100-inspection/5e43e702-6c1e-475f-ae50-8d27db84bf79.jpg.296x216.jpg', '长青嘉苑 3室2厅 355万', '长青嘉苑  | 3室2厅 | 124.32平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2000年建板楼  -  三墩', '355万', '单价28556元/平米')
('https://image1.ljcdn.com/330100-inspection/15c3e22a-0a7c-4604-bfb7-c178d89fa4b6.jpg.296x216.jpg', '上岛顶跃，百万装修，房东诚心卖，价格可商。', '清水公寓  | 4室2厅 | 233.22平米 | 南 北 | 精装 | 有电梯', '高楼层(共20层)2011年建板楼  -  德胜', '1380万', '单价59172元/平米')
('https://image1.ljcdn.com/330100-inspection/test-034424c1-1153-401a-9ea5-e7829847d9a5.png.296x216.jpg', '融信蓝孔雀 3室2厅 480万', '融信蓝孔雀  | 3室2厅 | 89平米 | 南 | 毛坯', '高楼层(共27层)2016年建板楼  -  申花', '480万', '单价53933元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/13dafc74-4144-4b0c-aade-df36faf00885.png.280x210.jpg', '中天西城纪，朝南在售，装修nice，看房中午一般联系', '中天西城纪  | 2室1厅 | 43.35平米 | 南 | 精装 | 有电梯', '中楼层(共14层)2014年建板楼  -  申花', '148万', '单价34141元/平米')
('https://image1.ljcdn.com/330100-inspection/ae3435de-8af1-469c-bc17-d2bf911e465d.jpg.296x216.jpg', '大关一楼跃层带院子 可自住 可做小生意 清爽装修', '大关西四苑  | 2室2厅 | 95.17平米 | 南 北 | 简装 | 无电梯', '低楼层(共4层)1995年建板楼  -  大关', '370万', '单价38878元/平米')
('https://image1.ljcdn.com/330100-inspection/896033fc-8d5d-4290-873e-9e024e7fe907.jpg.296x216.jpg', '广宇 刚需小户型，自住精装修 拎包入住过度当选', '广宇锦绣桃源  | 2室1厅 | 74.6平米 | 北 | 简装', '中楼层(共29层)2016年建板楼  -  半山', '270万', '单价36194元/平米')
