('https://image1.ljcdn.com/320100-inspection/65e7f4b6-8512-4930-a5fe-7820d6d2678d.jpg.296x216.jpg', '满五年 南北通透 采光足 拎包入住 居家装修', '新天地花园  | 2室1厅 | 59.22平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1999年建板楼  -  月牙湖', '168万', '单价28369元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadfc0f4800-9805-4936-b8cd-919dc408a2de.JPG.296x216.jpg', '长白街 夫子庙 交通便利 配套成熟 房东诚意出售', '长白街  | 2室1厅 | 59.83平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)1980年建板塔结合  -  五老村', '215万', '单价35936元/平米')
('https://image1.ljcdn.com/320100-inspection/test-08db2be6-9b3f-4a88-ac31-33952576ab1d.png.296x216.jpg', '居家精装  厅朝东有窗户 带租赁车位 小区环境好', '西华东村社区  | 3室1厅 | 84.87平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1992年建板楼  -  瑞金路', '338万', '单价39826元/平米')
('https://image1.ljcdn.com/320100-inspection/9e93ab16-cb95-4d37-8c89-2beee8f34bad.jpg.296x216.jpg', '通宇花园 建邺路 有电梯 正规跃层 精装修 闹中取静', '通宇花园  | 4室2厅 | 191.51平米 | 南 北 | 其他 | 有电梯', '高楼层(共16层)2017年建板楼  -  朝天宫', '612.9万', '单价32000元/平米')
('https://image1.ljcdn.com/320100-inspection/c33cc188-132b-4b9e-bf3b-74ebac89390e.JPG.296x216.jpg', '大明路 南部新城  三房朝南  链家网', '龙苑新寓四村  | 4室2厅 | 98.17平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  秦虹', '260万', '单价26485元/平米')
('https://image1.ljcdn.com/320100-inspection/a98a154e-d024-467d-91ff-e7628ebd1499.jpg.296x216.jpg', '此房双南厅朝南 瑞金路 精装三房 拎包入住', '金龙蟠家苑  | 3室2厅 | 140平米 | 南 北 | 精装 | 有电梯', '中楼层(共24层)2005年建板楼  -  瑞金路', '628万', '单价44858元/平米')
('https://image1.ljcdn.com/320100-inspection/c6bc9f0e-6e37-4862-8b2f-8cb327aaf39b.jpg.296x216.jpg', '采光充足 简单装修 交通便利 房龄新 全明户型', '二条巷  | 3室1厅 | 83.8平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1988年建板楼  -  五老村', '310万', '单价36993元/平米')
('https://image1.ljcdn.com/320100-inspection/1f67f127-29d1-42ab-bc45-f51c9903ae58.JPG.296x216.jpg', '两房南北通透环境好居家装修诚心卖小区中间出新楼层好', '王府园小区  | 2室1厅 | 61平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)1990年建板楼  -  升州路', '359万', '单价58853元/平米')
('https://image1.ljcdn.com/320100-inspection/cdbad059-86fa-4506-b4cf-a80dbe56af5c.JPG.296x216.jpg', '此房所处新街口商圈，配套成熟，生活便利，交通方便！', '洪武路111号  | 2室1厅 | 68.26平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)1985年建板塔结合  -  新街口', '330万', '单价48345元/平米')
('https://image1.ljcdn.com/320100-inspection/a48dd902-c8ee-4246-8f3d-c9a28cb4a941.JPG.296x216.jpg', '新街口夫子庙商圈 2010年电梯房精装修 采光充足', '观城  | 2室1厅 | 103.49平米 | 东 南 北 | 其他 | 有电梯', '低楼层(共25层)2009年建塔楼  -  升州路', '520万', '单价50247元/平米')
('https://image1.ljcdn.com/320100-inspection/44e4afb7-3582-4606-8a33-1abf5f3a8b67.jpg.296x216.jpg', '业主诚心出售 采光好 配套好 格局好', '磨盘街  | 2室1厅 | 48.68平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1993年建板塔结合  -  来凤里', '130万', '单价26706元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadde80f574-6d05-4848-b27c-c31433931a68.JPG.296x216.jpg', '新街口 游府新村 带电梯 双南双阳台', '游府新村  | 2室2厅 | 91.29平米 | 南 北 | 简装 | 有电梯', '高楼层(共9层)1993年建板楼  -  新街口', '640万', '单价70107元/平米')
('https://image1.ljcdn.com/320100-inspection/test-83fde259-2630-440a-b76c-6d1739266d50.png.296x216.jpg', '黄埔鑫园 3室1厅 411万', '黄埔鑫园  | 3室1厅 | 111.13平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2005年建板塔结合  -  光华路', '411万', '单价36984元/平米')
('https://image1.ljcdn.com/320100-inspection/e0524eb5-88db-47c1-9715-9ccc7a93db88.jpg.296x216.jpg', '采光良好 视野开阔 交通便利 电梯房', '王府大街  | 3室2厅 | 132.8平米 | 南 北 | 其他 | 有电梯', '高楼层(共9层)2000年建板塔结合  -  新街口', '538万', '单价40513元/平米')
('https://image1.ljcdn.com/320100-inspection/04d9acca-631a-4a07-96bc-384e69b1ea22.jpg.296x216.jpg', '光华路 满五年 视野开阔 带14平地下室  双南户型', '三金福邸  | 3室2厅 | 114平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2003年建板塔结合  -  月牙湖', '405万', '单价35527元/平米')
('https://image1.ljcdn.com/320100-inspection/378c1ce2-4e2f-4723-b8b5-f620aaf758e7.jpg.296x216.jpg', '张府园地铁口 评事街 千章巷小区 双南一北 楼层好', '千章巷  | 3室1厅 | 66.18平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1986年建板楼  -  升州路', '226万', '单价34150元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadeec91d2c-acaf-460a-9ed5-4231ed1c610b.JPG.296x216.jpg', '采光好  配套好 业主诚心出售', '老虎头  | 2室1厅 | 62.5平米 | 东 | 其他 | 无电梯', '中楼层(共7层)1992年建板塔结合  -  长乐路', '200万', '单价32000元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload54e56504-e191-44cd-bea8-08f8da7a5ce0.jpg.296x216.jpg', '南部新城 武定门 中高楼层 装修不错', '雅居乐花园  | 3室2厅 | 143.39平米 | 南 北 | 其他 | 有电梯', '高楼层(共24层)2009年建板塔结合  -  秦虹', '630万', '单价43937元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload00fa3c5e-9895-4442-9d52-c52918216e77.jpg.296x216.jpg', '苜蓿园大街 月牙湖花园 双南一北三房 富丽山庄 总价低', '富丽山庄  | 3室1厅 | 60.94平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1997年建板楼  -  月牙湖', '185万', '单价30358元/平米')
('https://image1.ljcdn.com/320100-inspection/12368b2b-0599-4ed5-ac6d-fd87d9baa196.jpg.296x216.jpg', '新街口 朝天宫 交通方便 业主诚心卖，看房方便', '三茅宫  | 3室1厅 | 78.98平米 | 东 西 | 其他 | 有电梯', '高楼层(共7层)1980年建板楼  -  新街口', '205万', '单价25956元/平米')
('https://image1.ljcdn.com/320100-inspection/b0c183d1-c28d-498f-8d1c-1e3b1b19f7e5.JPG.296x216.jpg', '满五年唯一 夫子庙学籍不占 单元带门禁 南北通透', '长白街  | 2室1厅 | 46.37平米 | 南 北 | 其他 | 无电梯', '高楼层(共5层)1980年建板塔结合  -  五老村', '140万', '单价30192元/平米')
('https://image1.ljcdn.com/320100-inspection/test-4f3b7036-4fb2-4498-b5b3-fd303868e001.png.296x216.jpg', '信府河 2室1厅 182万', '信府河  | 2室1厅 | 52.18平米 | 西 | 其他', '低楼层(共3层)暂无数据  -  长乐路', '182万', '单价34880元/平米')
('https://image1.ljcdn.com/320100-inspection/3997ad28-5f76-4856-bf94-6d9119bd4c4f.jpg.296x216.jpg', '夫子庙商圈 白鹭洲公园 居家改善大户型', '长白街  | 4室2厅 | 112.4平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)板楼  -  五老村', '398万', '单价35410元/平米')
('https://image1.ljcdn.com/320100-inspection/55fb8325-56b8-4dce-ae12-c78bab09c765.jpg.296x216.jpg', '丰富路 2室1厅 170万', '丰富路  | 2室1厅 | 60平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1986年建板楼  -  新街口', '170万', '单价28334元/平米')
('https://image1.ljcdn.com/320100-inspection/804c3b67-6cde-455d-8799-97055ce00d20.jpg.296x216.jpg', '满两年  南北通透格局 方正三房', '万达紫金明珠  | 3室2厅 | 108.93平米 | 南 北 | 其他 | 有电梯', '低楼层(共9层)2005年建板楼  -  月牙湖', '320万', '单价29377元/平米')
('https://image1.ljcdn.com/320100-inspection/b8d94e31-cfba-499c-a46a-2d8b79e8e0c0.JPG.296x216.jpg', '大明路 秦虹 洪家园 雨花门 南部新城 视野开阔', '赞成领尚  | 1室1厅 | 54.38平米 | 南 北 | 其他 | 有电梯', '高楼层(共25层)2012年建板楼  -  洪家园', '130万', '单价23906元/平米')
('https://image1.ljcdn.com/320100-inspection/96be2f36-cdc5-46ab-9128-9c48c9701e12.jpg.296x216.jpg', '月牙湖畔，紫金山南，苜蓿园地铁站，精装房', '梅花山庄中沁苑  | 4室2厅 | 200平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  月牙湖', '560万', '单价28000元/平米')
('https://image1.ljcdn.com/320100-inspection/f676822e-3b72-49a4-aa19-95f73d444d5d.jpg.296x216.jpg', '新街口 两居室 精装全配 拧包入住', '洪公祠小区  | 2室1厅 | 57.96平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1985年建板楼  -  新街口', '160万', '单价27606元/平米')
('https://image1.ljcdn.com/320100-inspection/88fc2e1a-88ac-42f4-8b2f-4bbeb22b9da0.jpg.296x216.jpg', '70产权住宅，民水民电，家具齐全，拎包入住', '天安恒隆花园  | 1室1厅 | 50.4平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2007年建板楼  -  升州路', '170万', '单价33731元/平米')
('https://image1.ljcdn.com/320100-inspection/9f2c3d6a-34b7-4b90-8dad-ef5caa03e7d6.JPG.296x216.jpg', '秦虹小区 顶楼单室套 10年的简单装修 南北通透 采光好', '武定新村  | 1室1厅 | 51.3平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1992年建板楼  -  秦虹', '143万', '单价27876元/平米')
('https://image1.ljcdn.com/320100-inspection/cbdf45fa-e8c7-4131-a61c-70f2b0e29727.jpg.296x216.jpg', '光华路 电梯两房 满五年 看房方便 楼层好', '四方新村六村  | 2室1厅 | 75.49平米 | 东 南 北 | 其他 | 有电梯', '高楼层(共14层)2002年建板塔结合  -  月牙湖', '180万', '单价23845元/平米')
('https://image1.ljcdn.com/320100-inspection/test-9a2e5a3d-6f1c-491c-9d4e-fded95166b7a.png.296x216.jpg', '主城区 大三房 户型方正 南北通透', '瑞金路50号院  | 3室1厅 | 80.68平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1983年建板楼  -  瑞金路', '340万', '单价42142元/平米')
('https://image1.ljcdn.com/320100-inspection/6562bd92-330a-4f3e-a8f2-3bdf45cb4c0a.jpg.296x216.jpg', '金鼎湾花园 新街口 优质住宅 交通便利 配套齐全', '金鼎湾花园  | 5室3厅 | 208.07平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2005年建板楼  -  升州路', '930万', '单价44697元/平米')
('https://image1.ljcdn.com/320100-inspection/dae000cc-68d2-4c9f-bfc2-0e674d6f17bd.jpg.296x216.jpg', '朝天宫98号 一南一北 双阳台 高楼层户型方正', '朝天宫西街98号  | 2室1厅 | 76.2平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1996年建板楼  -  朝天宫', '210万', '单价27560元/平米')
('https://image1.ljcdn.com/320100-inspection/5510fe31-6d22-46e9-b338-60c74d4c76e0.JPG.296x216.jpg', '红花村161号 2室1厅 210万', '红花村161号  | 2室1厅 | 71.5平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)1990年建板塔结合  -  秦虹', '210万', '单价29371元/平米')
('https://image1.ljcdn.com/320100-inspection/c8ab2d2d-b307-4c02-bdf2-b4daa172f798.jpg.296x216.jpg', '地理位置优越，交通便利生活方便 新街口 丰富路低楼', '南台巷东  | 3室0厅 | 71.29平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)1996年建板塔结合  -  新街口', '242万', '单价33946元/平米')
('https://image1.ljcdn.com/320100-inspection/23d6debb-95ff-4aee-bf20-2fee0c785d76.jpg.296x216.jpg', '金陵尚府 5室2厅 986万', '金陵尚府  | 5室2厅 | 233平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2009年建板楼  -  大光路', '986万', '单价42318元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload6c9f1782-f85e-4667-b286-8ed1409a12be.jpg.296x216.jpg', '科技住宅 配套成熟 电梯入户 交通便利 次新房', '金基尚书里  | 2室1厅 | 48.75平米 | 南 | 其他 | 有电梯', '高楼层(共16层)2015年建板楼  -  大光路', '400万', '单价82052元/平米')
('https://image1.ljcdn.com/320100-inspection/896a4abe-9590-4cae-b49d-88a6c5c7452f.jpg.296x216.jpg', '弓箭坊小区 2室1厅 237万', '弓箭坊小区  | 2室1厅 | 86.99平米 | 东 东南 | 其他 | 有电梯', '中楼层(共30层)1999年建塔楼  -  来凤里', '237万', '单价27245元/平米')
('https://image1.ljcdn.com/320100-inspection/ea048bd3-499a-4c33-9e0b-c219eef12908.JPG.296x216.jpg', '南部新城 赞成领尚 精装单室套  电梯中楼层', '赞成领尚  | 1室1厅 | 41.63平米 | 南 | 精装 | 有电梯', '中楼层(共25层)2012年建板楼  -  洪家园', '117万', '单价28105元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadc28ef1ad-17af-47e2-9de8-7d83e313dcd3.jpg.296x216.jpg', '满二，中等楼层，户型好大两房，三山街，业主诚意出售', '双塘里  | 2室1厅 | 63.77平米 | 东南 南 | 简装 | 无电梯', '中楼层(共8层)1997年建板楼  -  来凤里', '199万', '单价31206元/平米')
('https://image1.ljcdn.com/320100-inspection/test-b63f079c-e616-48bd-b879-d55b57b725f9.png.296x216.jpg', '秦淮教师公寓 2室1厅 235万', '秦淮教师公寓  | 2室1厅 | 68.86平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)1999年建板楼  -  洪家园', '235万', '单价34128元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload4bdb887e-bd19-4be3-8de4-ae9011e47abe.JPG.296x216.jpg', '三山街地铁 弓箭坊 电梯房 配套成熟', '弓箭坊小区  | 2室1厅 | 86.99平米 | 东南 | 其他 | 有电梯', '高楼层(共30层)1999年建塔楼  -  来凤里', '248万', '单价28510元/平米')
('https://image1.ljcdn.com/320100-inspection/618956ba-e8c1-4250-bf52-30d1150c7fbf.JPG.296x216.jpg', '光华路与御道街交汇 南北通透 无装修', '黄埔鑫园  | 2室1厅 | 88平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2006年建板塔结合  -  光华路', '330万', '单价37500元/平米')
('https://image1.ljcdn.com/320100-inspection/c3e55f6c-b71e-476c-b6c8-2c8c0a77eb35.JPG.296x216.jpg', '南部新城 宜家 卡子门 万象 大明路户型好 楼层佳', '龙翔雅苑  | 2室1厅 | 68.88平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)2002年建板楼  -  洪家园', '229万', '单价33247元/平米')
('https://image1.ljcdn.com/320100-inspection/8d55097f-15d4-433a-bd01-27cf0a7998fe.jpg.296x216.jpg', '三山街地铁口 电梯房 同小区较好户型 采光好视野好', '弓箭坊小区  | 2室1厅 | 86.16平米 | 东南 | 其他 | 有电梯', '高楼层(共30层)1999年建塔楼  -  来凤里', '220万', '单价25534元/平米')
('https://image1.ljcdn.com/320100-inspection/f6c30bee-7791-41d6-9bec-3ab72466348a.jpg.296x216.jpg', '石杨路 G1边户院子大  楼间距大采光好  看房方便', '世茂君望墅  | 4室2厅 | 242.64平米 | 南 北 | 其他 | 有电梯', '低楼层(共7层)2015年建板塔结合  -  月牙湖', '650万', '单价26789元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload2709c45a-a9b9-4dd7-8d0b-ec673b9d4942.jpg.296x216.jpg', '三山街 1号线  中间楼层  装修好  磨盘街 三居室', '磨盘街  | 3室1厅 | 74.17平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1997年建板塔结合  -  来凤里', '220万', '单价29662元/平米')
('https://image1.ljcdn.com/320100-inspection/c6d06a46-ee22-4c37-85b0-0232678642df.jpg.296x216.jpg', '扇骨营35号院 2室1厅 175万', '扇骨营35号院  | 2室1厅 | 53.12平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1998年建板塔结合  -  秦虹', '175万', '单价32945元/平米')
('https://image1.ljcdn.com/320100-inspection/7adc7918-3eb0-41db-b126-7edac1000250.JPG.296x216.jpg', '秦虹小区单室套低楼层适合养老老式装修', '武定新村  | 1室1厅 | 49.66平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1997年建板楼  -  秦虹', '142万', '单价28595元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadad861e02-56ed-4ceb-998a-11b789d1e294.jpg.296x216.jpg', '福鑫大厦 洪武路 白下路 采光好 视野好', '福鑫大厦  | 2室1厅 | 80.5平米 | 东 | 其他 | 无电梯', '中楼层(共40层)板塔结合  -  新街口', '282万', '单价35032元/平米')
('https://image1.ljcdn.com/320100-inspection/test-bce85830-78aa-408a-a040-8ecd824750c7.png.296x216.jpg', '扇骨里小区 2室1厅 145万', '扇骨里小区  | 2室1厅 | 53.31平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1987年建板塔结合  -  秦虹', '145万', '单价27200元/平米')
('https://image1.ljcdn.com/320100-inspection/862102bc-ea07-4c3b-86cb-f9f727ca85da.JPG.296x216.jpg', '南部新城 大明路 2014年小区 电梯小两房', '大明宏苑  | 2室1厅 | 63.8平米 | 南 | 其他 | 有电梯', '高楼层(共9层)2010年建板塔结合  -  洪家园', '235万', '单价36834元/平米')
('https://image1.ljcdn.com/320100-inspection/09379eff-91e5-42cd-b6bf-aa916645daa5.jpg.296x216.jpg', '苜军路16号 2室1厅 205万', '苜军路16号  | 2室1厅 | 64.75平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)1983年建板楼  -  月牙湖', '205万', '单价31661元/平米')
('https://image1.ljcdn.com/320100-inspection/a5885313-cbb4-4eab-9bd0-fc7a30d98d93.jpg.296x216.jpg', '秦淮区四方新村三村精装修两房拎包入住', '四方新村三村  | 2室1厅 | 90.77平米 | 东 北 | 其他 | 有电梯', '中楼层(共14层)2000年建板塔结合  -  月牙湖', '231万', '单价25449元/平米')
('https://image1.ljcdn.com/320100-inspection/78ae9e83-093e-4666-82a4-aa1dd4605cde.jpg.296x216.jpg', '户型通透，敞亮的大平层，面积大，精装修，电梯直达', '远洋国际中心  | 5室2厅 | 227.62平米 | 南 | 其他 | 无电梯', '高楼层(共7层)2016年建板楼  -  新街口', '875万', '单价38442元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload5aa075b4-6277-4028-971f-63cc3f53247b.jpg.296x216.jpg', '月牙湖 满2年 精装3房 泳池景观 位置好 不临街 诚心卖', '梅花山庄湖畔之星  | 3室2厅 | 132平米 | 南 北 | 其他 | 有电梯', '低楼层(共24层)2003年建塔楼  -  月牙湖', '457万', '单价34622元/平米')
('https://image1.ljcdn.com/320100-inspection/30a3a2dd-a1f0-462a-910b-cb20e7fc22fe.JPG.296x216.jpg', '楼层好 房龄新 电梯 装修拎包入住', '赞成领尚  | 1室1厅 | 41.86平米 | 南 北 | 精装 | 有电梯', '中楼层(共25层)2012年建板楼  -  洪家园', '103万', '单价24606元/平米')
('https://image1.ljcdn.com/320100-inspection/91040974-ac84-47d1-b654-b05aa1a697c7.jpg.296x216.jpg', '双南户型采光好，视野无遮挡 看房方便有钥匙', '四方新村五村  | 2室1厅 | 64.1平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2000年建板塔结合  -  月牙湖', '168万', '单价26210元/平米')
('https://image1.ljcdn.com/320100-inspection/e64ec09e-1dd3-4d6c-9732-44ffac052f47.JPG.296x216.jpg', '大明路 南部新城 中医院 交通便利 配套齐全 出新标杆', '龙苑新寓二村  | 2室1厅 | 59平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  秦虹', '155万', '单价26272元/平米')
('https://image1.ljcdn.com/320100-inspection/test-850ee743-f034-47dc-ad0d-b879b2164934.png.296x216.jpg', '常府街新街口中楼层居家精装修太平南路', '户部街  | 2室1厅 | 57.54平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)1980年建板楼  -  新街口', '320万', '单价55614元/平米')
('https://image1.ljcdn.com/320100-inspection/2455f1a4-a16c-4ba5-81a9-a4f93f3c221c.JPG.296x216.jpg', '保利堂悦 3室2厅 400万', '保利堂悦  | 3室2厅 | 88.22平米 | 南 | 其他', '高楼层(共32层)板楼  -  洪家园', '400万', '单价45342元/平米')
('https://image1.ljcdn.com/320100-inspection/9f9182cc-f34d-4b0f-82b6-50d0755bea81.jpg.296x216.jpg', '银通公寓 2室2厅 320万', '银通公寓  | 2室2厅 | 85.39平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)1997年建板楼  -  瑞金路', '320万', '单价37476元/平米')
('https://image1.ljcdn.com/320100-inspection/a41a9d53-aece-4cc6-91eb-45e90f58e0bc.jpg.296x216.jpg', '剪子巷110号 1室1厅 135万', '剪子巷110号  | 1室1厅 | 39.24平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1995年建板楼  -  长乐路', '135万', '单价34404元/平米')
('https://image1.ljcdn.com/320100-inspection/1d906154-364f-436c-8901-fe79fd41d021.jpg.296x216.jpg', '双南一北三房 有地下室 有车位 诚心出售 老式精装修', '富丽山庄  | 3室2厅 | 105.98平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1997年建板楼  -  月牙湖', '305万', '单价28780元/平米')
('https://image1.ljcdn.com/320100-inspection/0f8345d0-400f-4e3d-b466-8e75d3be22a6.JPG.296x216.jpg', '汇景家园汇安苑 2室1厅 220万', '汇景家园汇安苑  | 2室1厅 | 68.01平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2008年建板楼  -  洪家园', '220万', '单价32349元/平米')
('https://image1.ljcdn.com/320100-inspection/1b9400e9-e417-4cb2-8f65-0d8773163550.JPG.296x216.jpg', '两房精装修，小区配套成熟，交通方便', '高虹苑  | 2室1厅 | 50.09平米 | 南 北 | 其他 | 有电梯', '高楼层(共7层)1992年建板楼  -  秦虹', '139万', '单价27751元/平米')
('https://image1.ljcdn.com/320100-inspection/test-8c3b6b50-9c67-4e4f-a896-57c562c51cb4.png.296x216.jpg', '三山街地铁 中间楼层 居家装修 双南户型 业主诚售', '铜坊苑小区  | 2室1厅 | 71.64平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1995年建板楼  -  来凤里', '230万', '单价32105元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload7b66973d-b32f-470f-89e5-4483ac9c9f70.jpg.296x216.jpg', '夫子庙常府街 98年电梯房 秦淮河边 视野好', '琥珀巷高层小区  | 1室1厅 | 47.78平米 | 西 | 简装 | 有电梯', '高楼层(共28层)1998年建塔楼  -  建康路', '136万', '单价28464元/平米')
('https://image1.ljcdn.com/320100-inspection/faac442f-beb0-4d2c-af73-40cd51fd6f8f.jpg.296x216.jpg', '中华门 满五年 低总价 楼龄新 采光好 视野无遮挡', '雨花路62号  | 1室1厅 | 44.4平米 | 西南 | 其他', '高楼层(共7层)1990年建板楼  -  长乐路', '118万', '单价26577元/平米')
('https://image1.ljcdn.com/320100-inspection/57d6865b-83e9-4170-9d4f-f25e5eecbe50.JPG.296x216.jpg', '秦虹 居家两居 生活设施齐全 交通便利配套成熟 红花村', '红花村25号  | 2室2厅 | 67.2平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1989年建板楼  -  秦虹', '179万', '单价26637元/平米')
('https://image1.ljcdn.com/320100-inspection/6506ab34-f113-497e-a951-3bac6535b078.jpg.296x216.jpg', '光华路 采光充足 配套成熟 交通便捷 居家装修', '四方新村一村  | 2室1厅 | 64.95平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1999年建板塔结合  -  月牙湖', '168万', '单价25867元/平米')
('https://image1.ljcdn.com/320100-inspection/06645985-6e56-4580-96f5-03b8d0d60f45.jpg.296x216.jpg', '采光好 建康路 厨卫全明 地铁口 出新小区 配套齐', '钓鱼巷小区  | 2室1厅 | 52平米 | 南 | 其他 | 有电梯', '中楼层(共7层)1988年建板楼  -  建康路', '149万', '单价28654元/平米')
('https://image1.ljcdn.com/320100-inspection/af9eac9a-6f28-403a-99b0-defce3974b29.jpg.296x216.jpg', '赞成领尚 1室0厅 105万', '赞成领尚  | 1室0厅 | 38.48平米 | 南 | 其他 | 有电梯', '高楼层(共25层)2012年建板楼  -  洪家园', '105万', '单价27287元/平米')
('https://image1.ljcdn.com/320100-inspection/fc680312-f889-4b12-ab82-c4173d6dec68.jpg.296x216.jpg', '满两年 精装修  闹中取静 交通方便', '瑞金北村  | 2室1厅 | 64.98平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1983年建板楼  -  瑞金路', '292万', '单价44937元/平米')
('https://image1.ljcdn.com/320100-inspection/76f4580c-6cd8-4e52-81c7-d2414a51d4bc.jpg.296x216.jpg', '房龄较新 精装 拎包入住 全明 采光好 朝天宫民族', '七家湾  | 3室2厅 | 106.46平米 | 南 北 | 其他 | 有电梯', '高楼层(共7层)2002年建板楼  -  升州路', '435万', '单价40861元/平米')
('https://image1.ljcdn.com/320100-inspection/604bc04d-e5cc-405b-a474-8baaf9dd4014.jpg.296x216.jpg', '紫金山下，紫金城，三房双南户型，业主诚心出售。', '紫金城苜蓿园东街7号  | 3室1厅 | 94.47平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)1998年建板楼  -  月牙湖', '325万', '单价34403元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadce510019-6912-4724-93c6-cc472ca77a28.JPG.296x216.jpg', '房龄新 际华广场 大光路 龙蟠中路 金陵尚府 09年房龄', '金陵尚府  | 3室2厅 | 132.16平米 | 南 北 | 精装 | 有电梯', '高楼层(共26层)2009年建板楼  -  大光路', '640万', '单价48427元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload3e59d7f4-3b00-47c2-8a00-3473077993ef.JPG.296x216.jpg', '南部新城 电梯 装修很好 业主诚心出售', '风光里小区  | 2室2厅 | 102.53平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2003年建板塔结合  -  洪家园', '330万', '单价32186元/平米')
('https://image1.ljcdn.com/320100-inspection/15d55124-f6c3-493a-9856-0aaa3f9950f8.jpg.296x216.jpg', '户型方正，使用面积大，单价低，小区环境好，总价低', '小杨村小区  | 2室1厅 | 52.45平米 | 南 北 | 其他 | 有电梯', '高楼层(共7层)1994年建板楼  -  五老村', '175万', '单价33366元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadf0970201-1a73-4062-83ee-7de9d5235373.JPG.296x216.jpg', '采光充足 交通便利 中楼层 拎包住', '乔虹苑  | 2室1厅 | 55.39平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1992年建板楼  -  秦虹', '160万', '单价28887元/平米')
('https://image1.ljcdn.com/320100-inspection/77ce1387-66c5-46c2-a430-39d10c97ce23.JPG.296x216.jpg', '秦虹 洪家园 霞光里 小两房 中间楼层 采光无遮挡', '霞光里小区  | 2室1厅 | 52.6平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2001年建板楼  -  洪家园', '162万', '单价30799元/平米')
