('https://image1.ljcdn.com/210100-inspection/b0b07c26-f931-4099-9816-cd34f1dc3853.jpg.296x216.jpg', '大东 大华水岸 精装三室 装修好 拎包入住', '大华水岸府邸  | 3室2厅 | 134.8平米 | 南 北 | 其他', '中楼层(共18层)2006年建板楼  -  大东区', '144万', '单价10683元/平米')
('https://image1.ljcdn.com/210100-inspection/test-3ac0e104-f2d5-434e-86e6-0ffaf55b4bb0.png.296x216.jpg', '东远国际花园 南北通透 视野开阔', '东远国际花园  | 2室1厅 | 78.59平米 | 南 北 | 简装', '高楼层(共34层)板楼  -  大东区', '98万', '单价12470元/平米')
('https://image1.ljcdn.com/210100-inspection/b90def1e-aed6-4d9c-b891-93f8eb20539f.jpg.296x216.jpg', '大东二台子 林韵春天 二十八中旁 市场 交通方便', '林韵春天  | 2室1厅 | 62.51平米 | 南 | 其他', '中楼层(共7层)2005年建板楼  -  大东区', '54万', '单价8639元/平米')
('https://image1.ljcdn.com/210100-inspection/2a58e7ae-5dd2-4c08-8d62-3cccd5125f7a.jpg.296x216.jpg', '大东八王寺尚品天城 不把山 不临街 中高楼层 采光充足', '尚品天城  | 1室2厅 | 67平米 | 南 | 其他', '高楼层(共18层)2005年建板楼  -  大东区', '80万', '单价11941元/平米')
('', '万寿小区 1室1厅 40万', '万寿小区  | 1室1厅 | 50.14平米 | 南 | 其他', '中楼层(共7层)1997年建板楼  -  大东区', '40万', '单价7978元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload1ce43dee-b0d4-41c6-bc30-ca4fdda6b7fa.jpg.296x216.jpg', '万恒领域 一室一厅 楼层好位置好 不临街 精装修', '万恒领域  | 1室1厅 | 54.05平米 | 南 | 简装', '中楼层(共22层)2009年建板楼  -  大东区', '35万', '单价6476元/平米')
('https://image1.ljcdn.com/210100-inspection/fc53b458-2853-46fd-b792-0a9a5637ee69.jpg.296x216.jpg', '大东区梧桐园，，，，，，，，，，，，，，', '梧桐园  | 3室2厅 | 125平米 | 南 北 | 精装', '中楼层(共7层)2002年建板楼  -  大东区', '84万', '单价6720元/平米')
('https://image1.ljcdn.com/210100-inspection/ab5742f4-2ffd-4f6b-a686-adeb73983ff3.jpg.296x216.jpg', '东方玫瑰园 不把山 多层采光好 新装修', '东方玫瑰园  | 3室2厅 | 92.5平米 | 南 北 | 精装', '高楼层(共5层)2007年建板楼  -  大东区', '66万', '单价7136元/平米')
('https://image1.ljcdn.com/210100-inspection/fd0e7b8a-1800-4142-8973-87aefedfab50.jpg.296x216.jpg', '大北关街 四海花园 2室 南北通透 户型方正', '四海花园  | 2室1厅 | 93平米 | 南 北 | 简装', '高楼层(共7层)2001年建板楼  -  大东区', '70万', '单价7527元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload2ff4309b-87bf-4b62-b703-ab659edee2e5.jpg.296x216.jpg', '大东 八王寺 城市经典 高楼层 无遮挡', '城市经典  | 1室1厅 | 54.5平米 | 北 | 简装', '高楼层(共30层)2007年建板塔结合  -  大东区', '50万', '单价9175元/平米')
('https://image1.ljcdn.com/210100-inspection/47835718-d977-42c0-94ca-962cfff943b6.jpg.296x216.jpg', '大东 东方俪城 一室 装修保持好', '万恒东方俪城星座  | 1室1厅 | 67.13平米 | 东 | 精装', '高楼层(共23层)2005年建塔楼  -  大东区', '46万', '单价6853元/平米')
('https://image1.ljcdn.com/210100-inspection/ad8e2389-d579-43d9-b46c-ecf16b189991.jpg.296x216.jpg', '枫合万嘉二期 1室1厅 85万', '枫合万嘉二期  | 1室1厅 | 55平米 | 南 | 精装', '高楼层(共20层)2005年建板楼  -  大东区', '85万', '单价15455元/平米')
('https://image1.ljcdn.com/210100-inspection/a955d2ff-de65-403d-9bd3-4d364b06d5a7.JPG.296x216.jpg', '大东 卉盛家园 南北通透 采光好', '卉盛家园  | 2室2厅 | 89平米 | 东 南 北 | 精装', '中楼层(共9层)2001年建板楼  -  大东区', '68万', '单价7641元/平米')
('', '林韵春天 2室1厅 45万', '林韵春天  | 2室1厅 | 55.98平米 | 南 | 其他', '高楼层(共11层)板楼  -  大东区', '45万', '单价8039元/平米')
('https://image1.ljcdn.com/210100-inspection/9bb9f4c2-48e4-467c-b2b1-cbd75dd0b300.jpg.296x216.jpg', '林韵春天 南北通透两居室 精装修 拎包即住', '林韵春天  | 2室2厅 | 94.39平米 | 南 北 | 简装', '高楼层(共12层)2005年建板楼  -  大东区', '56万', '单价5933元/平米')
('https://image1.ljcdn.com/210100-inspection/5df1e171-3d0b-4bb0-b59a-e1827aeb2bda.JPG.296x216.jpg', '大东区凤凰园三室南北户型采光好', '凤凰园  | 3室1厅 | 104.16平米 | 南 北 | 简装', '高楼层(共7层)板楼  -  大东区', '72万', '单价6913元/平米')
('https://image1.ljcdn.com/210100-inspection/74fc807c-71a6-4e81-822e-76437a58c773.jpg.296x216.jpg', '大东 彤利紫竹尚苑 双南卧 高楼层 采光充足 清水房', '彤利紫竹尙苑  | 2室1厅 | 75平米 | 南 | 简装', '高楼层(共5层)暂无数据  -  大东区', '42万', '单价5600元/平米')
('https://image1.ljcdn.com/210100-inspection/2a83f8f3-03bd-4eef-a84a-be8fba691de1.jpg.296x216.jpg', '大东善邻路 富强小区 南北通透两居室', '富强小区  | 2室2厅 | 91.47平米 | 南 北 | 简装', '高楼层(共7层)暂无数据  -  大东区', '80万', '单价8747元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload19dedda2-c064-4b48-97af-5efd7ab3366b.jpg.296x216.jpg', '大东区 八王寺 小户型 点式楼', '圣水源  | 1室1厅 | 53.59平米 | 南 | 其他', '高楼层(共28层)2012年建塔楼  -  大东区', '50万', '单价9331元/平米')
('https://image1.ljcdn.com/210100-inspection/e4809c05-ba68-463c-b70b-f71ced7afd44.jpg.296x216.jpg', '大东 万恒愿景 一室 南向 采光充足', '万恒愿景  | 1室1厅 | 57.9平米 | 南 | 精装', '低楼层(共25层)板楼  -  大东区', '49万', '单价8463元/平米')
('https://image1.ljcdn.com/210100-inspection/6836393a-1c13-430d-abe4-1feccfb0084d.jpg.296x216.jpg', '东方玫瑰园 1室1厅 36万', '东方玫瑰园  | 1室1厅 | 50平米 | 南 | 其他', '低楼层(共15层)2007年建板楼  -  大东区', '36万', '单价7200元/平米')
('https://image1.ljcdn.com/210100-inspection/1433d8b2-6309-4e11-a484-88df8e7e32ae.jpg.296x216.jpg', '万寿小区 2室1厅 38万', '万寿小区  | 2室1厅 | 58.2平米 | 东 西 | 其他', '高楼层(共8层)板楼  -  大东区', '38万', '单价6530元/平米')
('', '大东 金地铂悦 南北通透两室 不把山 不临街 拎包即住', '金地铂悦  | 2室2厅 | 85.41平米 | 南 北 | 精装', '高楼层(共29层)2016年建板楼  -  大东区', '120万', '单价14050元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadbfb154f4-73eb-4234-b72f-3352e6fd914c.jpg.296x216.jpg', '万恒领域 一室一厅 户型方正  中间楼层 保持干净', '万恒领域  | 1室1厅 | 52平米 | 西北 | 精装', '中楼层(共22层)2009年建板楼  -  大东区', '38万', '单价7308元/平米')
('https://image1.ljcdn.com/210100-inspection/b87fb0f7-6f81-43ec-96ba-e38278dc48a1.JPG.296x216.jpg', '大东 东方欧博城 南北通透 高楼层 采光好', '东方·欧博城  | 2室2厅 | 84平米 | 南 北 | 精装', '高楼层(共24层)暂无数据  -  大东区', '71万', '单价8453元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload40a24a50-95b1-4213-8255-2ae3ede7c9b8.jpg.296x216.jpg', '果舍添香一期 一室户型 高楼层 无遮挡', '果舍添香一期  | 1室0厅 | 41.44平米 | 南 | 精装', '高楼层(共28层)2010年建板楼  -  大东区', '34万', '单价8205元/平米')
('https://image1.ljcdn.com/210100-inspection/fda8d14e-84da-45b5-ba9b-4ccf0760bec0.JPG.296x216.jpg', '大东 一环外 晨宇新村 两室一厅', '晨宇新村  | 2室1厅 | 59.5平米 | 南 | 精装', '高楼层(共7层)板楼  -  大东区', '33万', '单价5547元/平米')
('https://image1.ljcdn.com/210100-inspection/5512e4a5-56a7-49fd-b62f-d798f4861018.jpg.296x216.jpg', '尚品天城 中楼层 采光效果好，配套齐全，交通便利', '尚品天城  | 1室1厅 | 70.69平米 | 南 | 简装', '高楼层(共18层)2005年建板楼  -  大东区', '93万', '单价13157元/平米')
('https://image1.ljcdn.com/210100-inspection/945f60e4-952a-46dd-9a9a-f6f19c9676c6.JPG.296x216.jpg', '大东康都 装修保持好 拎包入住', '康都  | 1室1厅 | 64.5平米 | 东南 | 精装', '高楼层(共15层)2001年建板楼  -  大东区', '53万', '单价8218元/平米')
('https://image1.ljcdn.com/210100-inspection/035c1df9-4008-4f8d-8a73-d8dbe20db770.jpg.296x216.jpg', '可久小区 2室1厅 35万', '可久小区  | 2室1厅 | 57.42平米 | 南 北 | 其他', '高楼层(共8层)1997年建暂无数据  -  大东区', '35万', '单价6096元/平米')
('https://image1.ljcdn.com/210100-inspection/88ecfc53-2485-41a9-aa52-5945cb562a80.jpg.296x216.jpg', '大东区 明城嘉苑 高楼层 无遮挡 采光好 南北通透', '明城嘉苑  | 3室2厅 | 125平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  大东区', '128万', '单价10240元/平米')
('', '圆缘雅居 2室1厅 61万', '圆缘雅居  | 2室1厅 | 82.9平米 | 南 | 其他', '中楼层(共9层)暂无数据  -  大东区', '61万', '单价7359元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload1ba0cd22-2cb4-463c-9d6b-adc0dcd1e620.jpg.296x216.jpg', '国瑞商城 瑞家景峰 2室1厅 婚装 拎包即住', '瑞家景峰  | 2室1厅 | 46.4平米 | 西北 | 精装', '高楼层(共33层)2013年建板楼  -  大东区', '38.5万', '单价8298元/平米')
('https://image1.ljcdn.com/210100-inspection/5672452a-c795-421f-9d50-b833b1b6c1bc.JPG.296x216.jpg', '大东 万恒愿景 南北三室 不把山不临街 拎包入住', '万恒愿景  | 3室2厅 | 124.5平米 | 南 北 | 精装', '低楼层(共6层)板楼  -  大东区', '139万', '单价11165元/平米')
('https://image1.ljcdn.com/210100-inspection/56f0096f-2487-42a8-b082-3e0d7c4ce0f1.jpg.296x216.jpg', '锦联左岸 一室小户型 格局好 装修保持好', '锦联左岸  | 1室0厅 | 35平米 | 西北 | 精装', '中楼层(共18层)2010年建板楼  -  大东区', '31万', '单价8858元/平米')
('https://image1.ljcdn.com/210100-inspection/93744231-8ddc-4651-b2be-210d08af12f0.jpg.296x216.jpg', '大东区八王寺 取意小区 婚装 两室', '取意小区  | 2室1厅 | 73平米 | 南 北 | 精装', '高楼层(共8层)1997年建板楼  -  大东区', '47万', '单价6439元/平米')
('', '龙湖紫都城 三室一卫 精装修 不临街 采光足', '龙湖紫都城  | 3室2厅 | 107平米 | 南 北 | 精装', '中楼层(共32层)暂无数据  -  大东区', '98万', '单价9159元/平米')
('https://image1.ljcdn.com/210100-inspection/4211cfc8-9048-4e37-9816-dd500ddd4be9.jpg.296x216.jpg', '大东洮昌 两室 南北户型 楼层好 采光好 视野好', '洮昌社区  | 2室1厅 | 66.43平米 | 南 北 | 简装', '中楼层(共7层)板楼  -  大东区', '43万', '单价6473元/平米')
('', '沈阳东站 枫景瑞阁 多层公摊小 户型标准 精装修', '枫景瑞阁  | 2室2厅 | 96平米 | 南 北 | 精装', '高楼层(共7层)板楼  -  大东区', '78万', '单价8125元/平米')
('https://image1.ljcdn.com/210100-inspection/e9e8d4ce-40a0-4ce2-8984-015bf1f35d0e.JPG.296x216.jpg', '金地铂悦 3室1厅 136万', '金地铂悦  | 3室1厅 | 118.5平米 | 南 北 | 其他', '低楼层(共29层)2016年建板楼  -  大东区', '136万', '单价11477元/平米')
('', '大东区  三室两厅一厨一卫  南北通透', '东方·欧博城  | 3室2厅 | 94.22平米 | 南 北 | 其他', '中楼层(共11层)暂无数据  -  大东区', '79万', '单价8385元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload8320f98b-596d-4926-b573-e762105bbb32.jpg.296x216.jpg', '大东区锦联左岸 小户型一室 精装修保持好 采光充足', '锦联左岸  | 1室1厅 | 66平米 | 西南 | 精装', '中楼层(共18层)2010年建板楼  -  大东区', '59万', '单价8940元/平米')
('https://image1.ljcdn.com/210100-inspection/54b5d464-fc89-4213-b466-8955f045822b.JPG.296x216.jpg', '大东 大华水岸 精装修 三室两厅 南北通透', '大华水岸府邸  | 3室2厅 | 134.8平米 | 南 北 | 精装', '低楼层(共18层)2006年建板楼  -  大东区', '147.5万', '单价10943元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadb1471cf3-9f18-4b0e-8eb3-f653edcc7d64.jpg.296x216.jpg', '大东骨科医院 万恒东方俪城四期 三室两厅一厨一卫', '万恒东方俪城四期  | 3室2厅 | 108平米 | 南 北 | 简装', '低楼层(共6层)2005年建板楼  -  大东区', '150万', '单价13889元/平米')
('https://image1.ljcdn.com/210100-inspection/0645436c-d2dc-4f69-a954-fe768242ef12.jpg.296x216.jpg', '八王寺 圣水源 两室 简单装修', '圣水源  | 2室1厅 | 60平米 | 西北 | 其他', '中楼层(共28层)2012年建塔楼  -  大东区', '52万', '单价8667元/平米')
('', '大东 东站 金地铂悦 精装修 三室 中间楼层 视野开阔', '金地铂悦  | 3室2厅 | 115平米 | 南 北 | 精装', '中楼层(共28层)暂无数据  -  大东区', '140万', '单价12174元/平米')
('https://image1.ljcdn.com/210100-inspection/ae647bec-9130-46dd-9fd7-804425e9bd97.jpg.296x216.jpg', '大东北海街 俪成星座 一室户型 装修保持好', '万恒东方俪城星座  | 1室1厅 | 49平米 | 西北 | 简装', '低楼层(共22层)2005年建塔楼  -  大东区', '36万', '单价7347元/平米')
('', '巧克力城一室房，楼层好，交通便利', '巧克力城  | 1室1厅 | 61.42平米 | 南 | 简装', '中楼层(共18层)2016年建板楼  -  大东区', '45万', '单价7327元/平米')
('https://image1.ljcdn.com/210100-inspection/a122861f-fc63-4908-b12c-80be1996edca.jpg.296x216.jpg', '大东 新华壹品 南北通透 不把山 拎包入住', '新华壹品A区  | 2室2厅 | 99.6平米 | 南 北 | 精装', '高楼层(共6层)2006年建板楼  -  大东区', '95万', '单价9539元/平米')
('', '果舍添香二期 2室1厅 91万', '果舍添香二期  | 2室1厅 | 91平米 | 南 北 | 其他', '高楼层(共32层)2010年建板楼  -  大东区', '91万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload7f5073ce-1fe0-4453-abe1-2f15cb09ce0a.jpg.296x216.jpg', '万恒东方郦城星座 一室一厅 精装修  中间楼层 视野好', '万恒东方俪城星座  | 1室1厅 | 63.9平米 | 东北 | 精装', '中楼层(共22层)2005年建塔楼  -  大东区', '49万', '单价7669元/平米')
('https://image1.ljcdn.com/210100-inspection/9bae9897-8c64-4997-b006-b66791f41b1e.JPG.296x216.jpg', '锦绣华庭两室两厅龙之梦商圈配套齐全环境安逸', '锦绣华庭  | 2室2厅 | 107平米 | 西南 | 其他', '中楼层(共7层)暂无数据  -  大东区', '88万', '单价8225元/平米')
('https://image1.ljcdn.com/210100-inspection/4234dee7-9782-4a79-bc3a-3fb51a05eb15.jpg.296x216.jpg', '广宜街 乐购 明城嘉苑 精装一室 采光充足拎包入住', '明城嘉苑  | 1室1厅 | 49平米 | 南 | 简装', '高楼层(共6层)2009年建板楼  -  大东区', '45万', '单价9184元/平米')
('https://image1.ljcdn.com/210100-inspection/229e0275-de61-406b-963b-2f52c744a616.JPG.296x216.jpg', '大东彤利紫竹茗郡多层 采光视野好 装修保持好', '彤利紫竹茗郡  | 3室2厅 | 61.66平米 | 南 北 | 简装', '高楼层(共6层)板楼  -  大东区', '48万', '单价7785元/平米')
('https://image1.ljcdn.com/210100-inspection/a5c3f363-f184-4c90-8625-bf221e49815f.jpg.296x216.jpg', '八王寺 绿园小区 三室  精装修  好楼层', '绿苑小区  | 3室2厅 | 133.8平米 | 南 北 | 精装', '高楼层(共19层)2004年建板楼  -  大东区', '125万', '单价9343元/平米')
('', '大东八王寺商圈 高楼层无遮挡 配套完善 交通方便', '中央公馆  | 3室2厅 | 150平米 | 南 北 | 精装', '高楼层(共19层)2006年建板楼  -  大东区', '150万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/96fe4d1b-4aa3-4f10-91a7-ebd4cc0270b1.JPG.296x216.jpg', '大东枫丹白露 采光充足 视野开阔', '枫丹白露  | 1室1厅 | 49.9平米 | 南 | 精装', '中楼层(共26层)暂无数据  -  大东区', '42万', '单价8417元/平米')
('', '此房是浅草绿阁南北两室，采光充足，拎包入住。', '淺草綠閣水墨林溪  | 2室2厅 | 85平米 | 南 北 | 精装', '高楼层(共5层)板楼  -  大东区', '84万', '单价9883元/平米')
('https://image1.ljcdn.com/210100-inspection/c590a26d-ae82-4ed0-974f-73b8f6bd6884.jpg.296x216.jpg', '大东 金地檀悦 标准户型 南北通透', '金地檀悦  | 2室2厅 | 85.29平米 | 南 北 | 毛坯', '低楼层(共30层)板楼  -  大东区', '100万', '单价11725元/平米')
('', '大东东站 瑞家坚果两居室 无遮挡视野好 采光充足', '瑞家坚果  | 2室1厅 | 72平米 | 西南 | 其他', '中楼层(共33层)2014年建板楼  -  大东区', '66万', '单价9167元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload93ef7019-aa9a-48d3-a2f7-8bd3c50776bb.jpg.296x216.jpg', '五中家乐福 两室南北通透 精装修户型好 地理位置好', '如意家园  | 2室1厅 | 70平米 | 南 北 | 精装', '高楼层(共7层)2003年建板楼  -  大东区', '54万', '单价7715元/平米')
('https://image1.ljcdn.com/210100-inspection/5fa813b0-322f-4d13-95e9-0c3cf205c7a0.JPG.296x216.jpg', '大东 锦绣华庭 精装修 南北通透 采光好', '锦绣华庭  | 2室2厅 | 113.22平米 | 南 北 | 精装', '中楼层(共7层)暂无数据  -  大东区', '87万', '单价7685元/平米')
('https://image1.ljcdn.com/210100-inspection/39894d72-89f1-4435-99ec-0857e26d672a.JPG.296x216.jpg', '万科蓝山 品质生活 高尚品质 经典小户型', '万科蓝山  | 1室1厅 | 49.26平米 | 北 | 简装', '中楼层(共11层)2012年建板楼  -  大东区', '34万', '单价6903元/平米')
('https://image1.ljcdn.com/210100-inspection/71987971-6d09-4ba3-b822-48326ef1df00.JPG.296x216.jpg', '大东骨科 东方俪城 高楼层多层 无遮挡 采光好', '万恒东方俪城四期  | 3室2厅 | 100.52平米 | 南 北 | 精装', '高楼层(共6层)2005年建板楼  -  大东区', '92万', '单价9153元/平米')
('https://image1.ljcdn.com/210100-inspection/test-7b005486-c16b-4b88-9ba1-2d117f4559cb.png.296x216.jpg', '大东 东方俪城 一室 中高楼层 无遮挡', '万恒东方俪城星座  | 1室0厅 | 58平米 | 南 | 精装', '中楼层(共23层)2005年建塔楼  -  大东区', '40万', '单价6897元/平米')
('https://image1.ljcdn.com/210100-inspection/cbb59382-72fe-4e8b-9f88-55d0c617b62e.jpg.296x216.jpg', '东站 新里摩尔公馆 精装 三室 洋房 低楼层', '新里摩尔公馆  | 3室2厅 | 145.88平米 | 南 北 | 精装', '中楼层(共5层)2010年建板楼  -  大东区', '168万', '单价11517元/平米')
('', '大东区筑景东方 装修保持好 拎包入住', '筑景东方  | 2室1厅 | 67平米 | 南 北 | 精装', '低楼层(共6层)板楼  -  大东区', '48万', '单价7165元/平米')
('https://image1.ljcdn.com/210100-inspection/9c2b1dda-fe39-4619-8c42-834577115485.jpg.296x216.jpg', '大东吉祥 俪成星座 一室户型 中间楼层 视野开阔', '万恒东方俪城星座  | 1室1厅 | 48平米 | 北 | 简装', '中楼层(共22层)2005年建塔楼  -  大东区', '32万', '单价6667元/平米')
('', '瑞家景峰 2室2厅 80万', '瑞家景峰  | 2室2厅 | 81平米 | 南 北 | 精装', '高楼层(共33层)板楼  -  大东区', '80万', '单价9877元/平米')
('https://image1.ljcdn.com/210100-inspection/0f26cd95-226d-4a10-a825-37e9aa8d8f80.JPG.296x216.jpg', '大东区枫丹白露。。。。。。。。。。。。。', '枫丹白露  | 2室1厅 | 50平米 | 西北 | 精装', '中楼层(共26层)暂无数据  -  大东区', '38万', '单价7600元/平米')
('', '锦联左岸 一室房源 拎包入住 低楼层', '锦联左岸  | 1室1厅 | 47平米 | 南 | 精装', '低楼层(共18层)板楼  -  大东区', '44万', '单价9362元/平米')
('https://image1.ljcdn.com/210100-inspection/36a263cf-abb4-4845-bebc-6cef468a8ce3.jpg.296x216.jpg', '大东骨科 东方俪城星座 中低楼层 装修保持好', '万恒东方俪城星座  | 1室1厅 | 63平米 | 东北 | 简装', '中楼层(共22层)2005年建塔楼  -  大东区', '40万', '单价6350元/平米')
('https://image1.ljcdn.com/210100-inspection/6e066a48-aba3-44b2-87fd-012f3720db99.jpg.296x216.jpg', '房子楼层高 全天无遮挡 采光充足', '中街北苑  | 1室1厅 | 95平米 | 南 | 简装', '高楼层(共18层)2003年建板楼  -  大东区', '80万', '单价8422元/平米')
('https://image1.ljcdn.com/210100-inspection/e40b04aa-199f-40da-8fda-5b0f2fb26262.JPG.296x216.jpg', '大东 百乐小区 东中街 屋内保持还不错', '百乐小区  | 2室1厅 | 57平米 | 东 西 | 其他', '中楼层(共7层)板楼  -  大东区', '35万', '单价6141元/平米')
('https://image1.ljcdn.com/210100-inspection/613f1409-d430-448d-b938-0cf5c9618e7b.jpg.296x216.jpg', '馨龙小区，高楼层不挡光，交通便利，出行方便', '馨龙小区  | 2室1厅 | 64.58平米 | 东 西 | 简装', '高楼层(共7层)2005年建板楼  -  大东区', '45万', '单价6969元/平米')
('https://image1.ljcdn.com/210100-inspection/test-c9c0f495-6318-4dad-adbf-dd0fd011f846.png.296x216.jpg', '大东圣淘沙家园中低楼层两室户型装修保持好拎包入住', '圣淘沙家园  | 2室1厅 | 88平米 | 南 北 | 精装', '低楼层(共7层)2004年建板楼  -  大东区', '60万', '单价6819元/平米')
('https://image1.ljcdn.com/210100-inspection/a2e09661-e621-461e-97b6-7d54753d7763.jpg.296x216.jpg', '大东 一环外 新华壹品 两室两厅', '新华壹品C区  | 2室2厅 | 112.46平米 | 南 北 | 精装', '中楼层(共18层)2006年建板楼  -  大东区', '102万', '单价9070元/平米')
('', '东中街 香檀1917 一室北向毛坯房', '香檀1917  | 1室1厅 | 55.4平米 | 北 | 简装', '高楼层(共35层)2008年建板楼  -  大东区', '48万', '单价8665元/平米')
('https://image1.ljcdn.com/210100-inspection/2e67122c-102c-4ebf-b71c-81333fa90a68.JPG.296x216.jpg', '龙之梦商圈 两室一厅 中间楼层 装修好', '龙之梦畅园  | 2室1厅 | 67.12平米 | 西北 | 精装', '低楼层(共40层)2017年建板楼  -  大东区', '73万', '单价10877元/平米')
('', '中街 位置好 多层 公摊小 纯南向 采光好 无遮挡 精装', '中街北苑  | 2室1厅 | 70平米 | 南 北 | 精装', '高楼层(共6层)2003年建板楼  -  大东区', '75万', '单价10715元/平米')
('https://image1.ljcdn.com/210100-inspection/4401c66e-e3ca-4ded-bc4d-37dc590a8bd7.JPG.296x216.jpg', '大东区圣淘沙。。。。。。。。。。。。。', '圣淘沙家园  | 2室2厅 | 103.8平米 | 南 北 | 精装', '高楼层(共7层)2004年建板楼  -  大东区', '77万', '单价7419元/平米')
('', '大东 芳菲苑 纯南向  中间楼层', '芳菲苑  | 2室1厅 | 59.55平米 | 南 | 简装', '高楼层(共6层)板楼  -  大东区', '45万', '单价7557元/平米')
('', '吉祥馨园 不把山 无遮挡 采光好', '吉祥馨园  | 2室2厅 | 66平米 | 南 | 简装', '中楼层(共8层)板楼  -  大东区', '60万', '单价9091元/平米')
('https://image1.ljcdn.com/210100-inspection/ed100a42-453a-4fe0-84e9-3e1d79d2d4ef.jpg.296x216.jpg', '大东北海街 东方俪城星座 中低楼层 无遮挡 采光好', '万恒东方俪城星座  | 1室1厅 | 67.12平米 | 西 | 精装', '中楼层(共23层)2005年建塔楼  -  大东区', '43万', '单价6407元/平米')
('https://image1.ljcdn.com/210100-inspection/b62b2732-f727-4e78-b358-78ebe17bdb6a.jpg.296x216.jpg', '龙净运河湾3号 2室1厅 110万', '龙净运河湾3号  | 2室1厅 | 86.62平米 | 南 | 其他', '中楼层(共24层)2013年建板楼  -  大东区', '110万', '单价12700元/平米')
('https://image1.ljcdn.com/210100-inspection/63b61a66-2552-4219-a2fc-e3ce80e2b0f0.JPG.296x216.jpg', '大东 金地铂悦 南北通透 采光好', '金地铂悦  | 3室2厅 | 118平米 | 南 北 | 精装', '中楼层(共29层)2016年建板楼  -  大东区', '153万', '单价12967元/平米')
('https://image1.ljcdn.com/210100-inspection/1e678d47-569e-4d67-95db-a3622a535a5f.jpg.296x216.jpg', '小北手机市场，沈阳大学南门，大东广场', '边墙路35  | 1室1厅 | 51平米 | 南 | 其他', '中楼层(共8层)1990年建板楼  -  大东区', '50万', '单价9804元/平米')
('https://image1.ljcdn.com/210100-inspection/7def9ddd-6a85-4c8d-9413-0a3d4dae2f28.jpg.296x216.jpg', '大东 新里摩尔公馆 多层 三室两厅两卫', '新里摩尔公馆  | 3室2厅 | 143.9平米 | 南 北 | 精装', '中楼层(共5层)2010年建板楼  -  大东区', '145万', '单价10077元/平米')
('', '大东  东方玫瑰园 南北三居室 精装修 拎包住', '东方玫瑰园  | 3室2厅 | 105.32平米 | 南 北 | 精装', '高楼层(共15层)2007年建板楼  -  大东区', '90万', '单价8546元/平米')
('https://image1.ljcdn.com/210100-inspection/182ab7e3-b4b9-454c-b6e5-236b1f8f1286.jpg.296x216.jpg', '大东吉祥 锦联左岸 一室小户型 视野开阔 装修保持好', '锦联左岸  | 1室0厅 | 34平米 | 东 | 精装', '高楼层(共18层)板楼  -  大东区', '30万', '单价8824元/平米')
('', '大东吉祥 锦联左岸 两室清水房 不把山不临街 标准户型', '锦联左岸  | 2室2厅 | 97.5平米 | 南 北 | 毛坯', '低楼层(共28层)2010年建板楼  -  大东区', '100万', '单价10257元/平米')
('https://image1.ljcdn.com/210100-inspection/fcefe3de-d65d-4194-a680-00de5968de8b.jpg.296x216.jpg', '中央公馆 3室2厅 155万', '中央公馆  | 3室2厅 | 138平米 | 南 北 | 其他', '高楼层(共19层)2006年建板楼  -  大东区', '155万', '单价11232元/平米')
('', '万恒领域 2室2厅 85万', '万恒领域  | 2室2厅 | 96平米 | 南 | 其他', '中楼层(共24层)2009年建板楼  -  大东区', '85万', '单价8855元/平米')
('', '龙之梦 大华水岸两室多层洋房 南北通透精装修保持好', '大华水岸府邸  | 2室2厅 | 95.34平米 | 南 北 | 简装', '低楼层(共6层)2006年建板楼  -  大东区', '142万', '单价14895元/平米')
('https://image1.ljcdn.com/210100-inspection/3c36fca9-38f5-47b1-8e4d-4e97c974e754.jpg.296x216.jpg', '万科蓝山  一室  九楼采光好', '万科蓝山  | 1室0厅 | 41.93平米 | 南 | 其他', '高楼层(共11层)2012年建板楼  -  大东区', '30万', '单价7155元/平米')
('https://image1.ljcdn.com/210100-inspection/3151f955-95c4-4693-96f1-2f0933a51deb.JPG.296x216.jpg', '大东区  百乐小区  南北通透 采光好 不把不临', '百乐小区  | 2室1厅 | 54平米 | 南 北 | 其他', '中楼层(共7层)板楼  -  大东区', '40万', '单价7408元/平米')
('https://image1.ljcdn.com/210100-inspection/eb32ef02-eff7-430c-9c38-949538f5b4e9.jpg.296x216.jpg', '巧克力城 楼层适中 配套完备 交通方便', '巧克力城  | 2室2厅 | 91平米 | 南 北 | 精装', '低楼层(共6层)2016年建板楼  -  大东区', '88万', '单价9671元/平米')
