('https://image1.ljcdn.com/370600-inspection/ba3c41fc-3f6e-4575-892d-40563f8be3e2.jpg.296x216.jpg', '福莱山公园方正两居室婚房拎包入住有地上车位', '海信慧园西区  | 2室2厅 | 92平米 | 南 | 其他', '低楼层(共32层)2010年建板塔结合  -  高级中学', '135万', '单价14674元/平米')
('https://image1.ljcdn.com/370600-inspection/414890d8-622b-42f7-8381-6f752aa17566.jpg.296x216.jpg', '房子地理位置好人流量大很适合做生意', '凤台小区  | 车位 | 24.23平米 | 北', '暂无数据  -  星颐广场', '20万', '单价8255元/平米')
('', '多层一楼，南北通透，户型方正。', '华电小区  | 2室2厅 | 112.5平米 | 南 北 | 其他', '低楼层(共7层)1995年建板楼  -  德胜', '95万', '单价8445元/平米')
('', '纯南好户型，南厅双南卧大三居简装接近毛坯，电梯房', '海澜花园  | 3室2厅 | 127.9平米 | 南 | 其他', '低楼层(共35层)2007年建塔楼  -  德胜', '92万', '单价7194元/平米')
('https://image1.ljcdn.com/370600-inspection/67bf280a-42c5-4fb4-aac4-57a68822f304.jpg.296x216.jpg', '凤台西区双南卧夹南客厅3居室+无贷款无户口', '凤台小区  | 3室2厅 | 116.65平米 | 南 北 | 其他', '高楼层(共6层)1999年建板楼  -  星颐广场', '120万', '单价10288元/平米')
('https://image1.ljcdn.com/370600-inspection/c2519870-4c2d-4116-b106-cf5f8d78020a.jpg.296x216.jpg', '银和怡海花园  小高层 好楼层  精装修  带小鹏', '银和怡海花园  | 3室2厅 | 164.16平米 | 南 北 | 其他', '高楼层(共10层)暂无数据  -  德胜', '246万', '单价14986元/平米')
('', '华电小区 2室2厅 85万', '华电小区  | 2室2厅 | 79.76平米 | 南 北 | 其他', '高楼层(共6层)2001年建板楼  -  德胜', '85万', '单价10657元/平米')
('', '大三居，南北通透，采光好，毛坯房，带两个地下车位', '林语逸景  | 3室2厅 | 161平米 | 南 北 | 其他', '中楼层(共28层)暂无数据  -  万达', '280万', '单价17392元/平米')
('https://image1.ljcdn.com/370600-inspection/ab465920-0a1f-4e95-87b7-bdeb6367304e.jpg.296x216.jpg', '黄海小区 2室1厅 130万', '黄海小区  | 2室1厅 | 80.37平米 | 南 北 | 其他', '高楼层(共5层)2003年建板楼  -  星颐广场', '130万', '单价16176元/平米')
('', '星海花园 2室2厅 199万', '星海花园  | 2室2厅 | 99平米 | 南 北 | 其他', '高楼层(共5层)2004年建板楼  -  星颐广场', '199万', '单价20102元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/adfe4958-d11b-4a1b-b907-fc9e8467dda4.png.280x210.jpg', '采光好，中等装修，交通便利适合居住，海边，风景好', '海阔天高  | 1室1厅 | 38平米 | 东 | 其他', '30层2008年建塔楼  -  德胜', '30万', '单价7895元/平米')
('', '南北通透格局 楼层好 视野开阔 采光充足 配套设施齐全', '凤台小区  | 3室2厅 | 139.99平米 | 南 北 | 其他', '高楼层(共6层)1999年建板楼  -  星颐广场', '114万', '单价8144元/平米')
('https://image1.ljcdn.com/370600-inspection/f3aa09e4-2028-4083-8ff2-e720c6cb4428.jpg.296x216.jpg', '海信慧园西区 精装婚房 南向两居室 配套齐全 交通便利', '海信慧园西区  | 2室1厅 | 91.78平米 | 南 | 其他', '低楼层(共24层)2010年建板塔结合  -  高级中学', '115万', '单价12530元/平米')
('', '有装修，拎包入住，小区环境好，交通便利', '东方国际  | 1室1厅 | 39.21平米 | 南 | 其他', '低楼层(共32层)2013年建塔楼  -  福莱山公园', '42万', '单价10712元/平米')
('https://image1.ljcdn.com/370600-inspection/d59f7276-653b-4a0e-96c5-b1fd66983c05.jpg.296x216.jpg', '天马相城二期 东打头 带一个车位 毛坯房！', '天马相城二期  | 3室2厅 | 205平米 | 南 北 | 其他', '低楼层(共18层)2009年建塔楼  -  万科城', '270万', '单价13171元/平米')
('https://image1.ljcdn.com/370600-inspection/e0f21547-3ca7-4747-b8d7-309c72cf1213.jpg.296x216.jpg', '海信依云小镇 精装修 一楼带院子+车位+地下室', '海信依云小镇  | 3室2厅 | 186.78平米 | 南 北 | 精装', '低楼层(共5层)2016年建板楼  -  福莱山公园', '330万', '单价17668元/平米')
('', '银河怡海衡悦大厦 2室2厅 118万', '银河怡海衡悦大厦  | 2室2厅 | 92平米 | 南 | 其他', '高楼层(共31层)暂无数据  -  万达', '118万', '单价12827元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/14a75f3f-20f9-4bae-a324-eb43a99677b5.png.280x210.jpg', '黄海小区 3室2厅 165万', '黄海小区  | 3室2厅 | 121.15平米 | 南 北 | 其他', '低楼层(共6层)2001年建板楼  -  星颐广场', '165万', '单价13620元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/4d2790ef-a005-4faf-9fe3-16ddb39477c3.png.280x210.jpg', '满五唯一   楼层合适  采光充足', '恒达大厦  | 2室1厅 | 95.5平米 | 东南 | 其他', '高楼层(共23层)2005年建塔楼  -  德胜', '85万', '单价8901元/平米')
('', '正大国际公寓 4室2厅 170万', '正大国际公寓  | 4室2厅 | 227平米 | 南 北 | 其他', '中楼层(共19层)2003年建板楼  -  星颐广场', '170万', '单价7489元/平米')
('', '金城少有大别墅+带小院+采光好', '金城小区  | 5室2厅 | 220.04平米 | 南 北 | 其他', '低楼层(共1层)2000年建板楼  -  星颐广场', '550万', '单价24996元/平米')
('https://image1.ljcdn.com/370600-inspection/afd63343-1940-45b1-81bc-87830c0c515f.jpg.296x216.jpg', '麒麟山庄 3室2厅 205万', '麒麟山庄  | 3室2厅 | 151.56平米 | 南 北 | 其他', '高楼层(共4层)暂无数据  -  星颐广场', '205万', '单价13526元/平米')
('', '精装修 框架房 大产权 南北通透 满五不唯一', '银芝小区  | 2室2厅 | 66平米 | 南 | 其他', '中楼层(共5层)2002年建板楼  -  德胜', '85万', '单价12879元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload138c4f35-8b17-40d2-9741-23c88e5d16f7.jpg.296x216.jpg', '房子新 环境优美 适宜居住 交通也挺方便的', '万达华府  | 3室2厅 | 128平米 | 东 南 北 | 其他', '高楼层(共28层)2017年建板楼  -  万达', '205万', '单价16016元/平米')
('https://image1.ljcdn.com/370600-inspection/f8de823f-c9c2-4f1f-890b-d4bb6f6746f1.jpg.296x216.jpg', '黄金家园3居室 南北通透 楼层好采光好 配套齐全', '黄金家园  | 3室1厅 | 105.33平米 | 南 北 | 其他', '高楼层(共27层)塔楼  -  北京中路', '95万', '单价9020元/平米')
('https://image1.ljcdn.com/370600-inspection/66165d38-dafc-4a02-a58e-00db1ed41048.jpg.296x216.jpg', '星海花园 2室1厅 110万', '星海花园  | 2室1厅 | 96.1平米 | 南 北 | 其他', '中楼层(共7层)1996年建板楼  -  星颐广场', '110万', '单价11447元/平米')
('', '精装修 满五唯一 带10多平小棚', '银芝小区  | 3室2厅 | 96.73平米 | 南 北 | 其他', '高楼层(共6层)1995年建板楼  -  德胜', '100万', '单价10339元/平米')
('', '香山花园 4室2厅 95万', '香山花园  | 4室2厅 | 95.38平米 | 北 | 其他', '低楼层(共3层)2003年建板楼  -  德胜', '95万', '单价9961元/平米')
('', '福莱山公园旁一居室，楼层合适，视觉感好', '东方国际  | 1室1厅 | 38.75平米 | 南 | 其他', '低楼层(共28层)2013年建塔楼  -  福莱山公园', '42万', '单价10839元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/1e90aa6b-3ae6-4c85-9e6c-afb0053003c3.png.280x210.jpg', '华明大厦正规一居价格合适 适合拎包入住', '华明大厦  | 1室1厅 | 28.54平米 | 北 | 其他', '低楼层(共7层)2004年建板楼  -  德胜', '25万', '单价8760元/平米')
('https://image1.ljcdn.com/370600-inspection/a04f0e53-b50e-49ac-9738-e747b3818779.jpg.296x216.jpg', '万达附近 山水名园  三居室 阁楼 有部分低点', '山水名园  | 3室2厅 | 94.04平米 | 南 北 | 其他', '高楼层(共29层)2007年建塔楼  -  万达', '80万', '单价8508元/平米')
('', '旭日小区南厅双南卧耳朵户型 框架房1楼西打头', '旭日小区  | 3室2厅 | 140.45平米 | 南 北 | 其他', '低楼层(共5层)2004年建板楼  -  德胜', '155万', '单价11036元/平米')
('https://image1.ljcdn.com/370600-inspection/89410a32-9ce2-4ca0-bd5d-ed1dc9e54b9a.jpg.296x216.jpg', '万达华府 毛坯三室， 经典双南卧南客厅 高楼层好视野', '万达华府  | 3室2厅 | 143.3平米 | 南 北 | 其他', '高楼层(共33层)2017年建板楼  -  万达', '228万', '单价15911元/平米')
('', '星颐广场 1室1厅 60万', '星颐广场  | 1室1厅 | 53平米 | 南 | 其他', '低楼层(共18层)2017年建塔楼  -  星颐广场', '60万', '单价11321元/平米')
('', '月光兰庭，大三居简单装修，采光好，通风好，临近市场', '北方月光兰庭  | 3室2厅 | 106.76平米 | 南 北 | 其他', '高楼层(共18层)2010年建板楼  -  高级中学', '167万', '单价15643元/平米')
('', '满五唯一，多层二楼，好楼层视野好', '银芝小区  | 2室1厅 | 76平米 | 南 北 | 其他', '中楼层(共5层)1994年建板楼  -  德胜', '92万', '单价12106元/平米')
('', '丹阳小区 框架 多层四楼，双南卧户型，中等装修', '丹阳小区  | 2室2厅 | 67.68平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  德胜', '85万', '单价12560元/平米')
('', '万泰海公馆  精装修  未住 位置好', '万泰海公馆  | 3室2厅 | 142.46平米 | 南 北 | 其他', '中楼层(共32层)2008年建板楼  -  星颐广场', '170万', '单价11934元/平米')
('https://image1.ljcdn.com/370600-inspection/b7fb5d79-4af1-4caf-baf6-2ad8c00f4783.jpg.296x216.jpg', '银芝小区 南北通透 采光充足 交通便利', '银芝小区  | 2室2厅 | 76平米 | 南 北 | 其他', '高楼层(共6层)1994年建板楼  -  德胜', '85万', '单价11185元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/4781a424-19bf-4dfa-8574-48c58bcece8f.png.280x210.jpg', '金鑫家园 南北通透 封闭小区 框架房', '金鑫家园  | 2室1厅 | 87平米 | 南 北 | 其他', '中楼层(共11层)2008年建板楼  -  万达', '92万', '单价10575元/平米')
('https://image1.ljcdn.com/370600-inspection/53b20981-2c02-4f2e-9bb8-1cc5995e315a.jpg.296x216.jpg', '南北通透全明户型 楼层好视野开阔房子精装修拎包入住', '栖里凤台山庄  | 3室2厅 | 116平米 | 南 北 | 其他', '高楼层(共25层)2016年建板楼  -  万达', '175万', '单价15087元/平米')
('https://image1.ljcdn.com/370600-inspection/1c3110ca-8367-4596-b396-121d13dd0965.jpg.296x216.jpg', '静海苑 纯毛坯 海景房 南北通透 户型方正 看房随时！', '天和静海苑  | 3室2厅 | 138.73平米 | 南 北 | 其他', '中楼层(共28层)2010年建板楼  -  黄河路', '170万', '单价12255元/平米')
('', '凤台小区 交通便利 购物方便 小区配套齐全', '凤台小区  | 3室2厅 | 114.36平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  星颐广场', '128万', '单价11193元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/980079d1-215d-42fa-901c-5cffa6d1a89c.png.280x210.jpg', '栖里凤台 满五唯一 双卧朝南  两居室', '栖里凤台山庄  | 2室1厅 | 79平米 | 南 | 简装', '中楼层(共11层)2012年建板楼  -  万达', '110万', '单价13925元/平米')
('', '长江路 天马中心广场 精装公寓', '天马中心广场  | 1室1厅 | 45.87平米 | 北 | 其他', '中楼层(共39层)2016年建塔楼  -  德胜', '76万', '单价16569元/平米')
('', '中建悦海和园北区 满两年 中高楼层 南向两室 带阳台', '中建悦海和园北区  | 2室2厅 | 91.9平米 | 南 | 其他', '中楼层(共28层)暂无数据  -  北京中路', '80万', '单价8706元/平米')
('', '开发区磁山温泉小镇，顶加阁毛坯房！', '磁山温泉小镇  | 3室2厅 | 67.35平米 | 南 | 其他', '高楼层(共6层)板楼  -  蓬莱市', '70万', '单价10394元/平米')
('https://image1.ljcdn.com/370600-inspection/40e0e4d2-326e-4f8d-979a-55c344b2cf18.jpg.296x216.jpg', '金鑫家园+三室两厅+南北通透+中下楼层', '金鑫家园  | 3室2厅 | 126.67平米 | 南 北 | 其他', '低楼层(共8层)2008年建板楼  -  万达', '150万', '单价11842元/平米')
('', '蓝天大厦 大平层 空间大 户型合理', '蓝天国际大厦  | 3室2厅 | 180.97平米 | 南 北 | 其他', '低楼层(共12层)2006年建塔楼  -  星颐广场', '185万', '单价10223元/平米')
('https://image1.ljcdn.com/370600-inspection/3c853b62-ad97-4940-9b94-bce132f5d90f.jpg.296x216.jpg', '管委家属楼70年产权，框架送小棚子，经典户型', '华电小区  | 3室2厅 | 115平米 | 南 北 | 其他', '中楼层(共5层)2001年建板楼  -  德胜', '138万', '单价12000元/平米')
('', '北方月光兰庭 南向三居室 采光充足', '北方月光兰庭  | 3室2厅 | 92.45平米 | 南 | 其他', '高楼层(共30层)2010年建板楼  -  高级中学', '145万', '单价15685元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/adfe4958-d11b-4a1b-b907-fc9e8467dda4.png.280x210.jpg', '看房方便，采光好，而且交通便利', '海阔天高  | 1室0厅 | 47.76平米 | 南 | 其他', '30层2008年建塔楼  -  德胜', '36万', '单价7538元/平米')
('', '凤台小区 3室2厅 118万', '凤台小区  | 3室2厅 | 136.5平米 | 南 北 | 其他', '中楼层(共6层)1999年建板楼  -  星颐广场', '118万', '单价8645元/平米')
('', '刚需看过来：南北通透户型方正采光充足装修精致低税费', '山水名园  | 2室2厅 | 100.4平米 | 南 北 | 其他', '高楼层(共20层)2007年建塔楼  -  万达', '120万', '单价11953元/平米')
('', '融科林语 2室1厅 180万', '融科林语  | 2室1厅 | 97.98平米 | 南 北 | 其他', '低楼层(共32层)2011年建塔楼  -  万达', '180万', '单价18372元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/40411a25-f0ac-46ee-9c66-d9b621046d3f.png.280x210.jpg', '房子户型方正，位置好，楼层适中', '万泰海公馆  | 3室2厅 | 136.01平米 | 南 北 | 其他', '低楼层(共32层)2008年建板楼  -  星颐广场', '145万', '单价10661元/平米')
('https://image1.ljcdn.com/370600-inspection/933e8e62-b2c1-495e-8965-c96004bf5804.jpg.296x216.jpg', '金光小区西区 南北通透 购物便利 万达旁', '金光小区西区  | 3室2厅 | 94.5平米 | 南 北 | 其他', '高楼层(共6层)1998年建板楼  -  万达', '85万', '单价8995元/平米')
('', '衡越广场 精装修 双南卧南客厅  欢迎联系', '银河怡海衡悦大厦  | 2室1厅 | 91平米 | 南 | 其他', '中楼层(共31层)暂无数据  -  万达', '98万', '单价10770元/平米')
('https://image1.ljcdn.com/370600-inspection/10eb0eae-e9df-439e-b972-0db0d4909b04.jpg.296x216.jpg', '多层顶加阁，带个小棚，中等装修，万达旁', '鑫发小区  | 2室2厅 | 80.59平米 | 南 北 | 其他', '高楼层(共6层)2011年建板楼  -  万达', '96万', '单价11913元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/0fc7df99-a03a-4351-b3b8-43a73e551736.png.280x210.jpg', '银和怡海国奥天地 3室1厅 165万', '银和怡海国奥天地  | 3室1厅 | 122.77平米 | 东 西 | 其他', '中楼层(共18层)2016年建板楼  -  黄河路', '165万', '单价13440元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/81af3b8a-ff89-42d3-ad97-39e23e962101.png.280x210.jpg', '看房方便，采光好，中等装修，交通便利', '海阔天高  | 1室0厅 | 54平米 | 南 | 其他', '30层2008年建塔楼  -  德胜', '41万', '单价7593元/平米')
('', '越秀星汇金沙两室精装修南北通透可看海', '越秀星汇金沙  | 2室1厅 | 77平米 | 南 北 | 其他', '高楼层(共33层)2016年建板楼  -  北京中路', '82万', '单价10650元/平米')
('', '鑫兴佳苑多层6楼，阁楼未打通， 双南卧户型。', '鑫兴佳苑  | 2室1厅 | 77.7平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  万达', '80万', '单价10297元/平米')
('', '满五唯一 楼层适合 采光充足 三居室', '金胜小区  | 3室2厅 | 89.48平米 | 南 北 | 其他', '中楼层(共6层)1995年建板楼  -  德胜', '110万', '单价12294元/平米')
('', '满五唯一，中等装修，南北卧室，南客厅', '金沙滩花园小区  | 2室2厅 | 128.32平米 | 南 北 | 其他', '中楼层(共5层)2005年建板楼  -  德胜', '166万', '单价12937元/平米')
('https://image1.ljcdn.com/370600-inspection/f8a96da2-3767-4f98-9a18-5c5edff32e3c.jpg.296x216.jpg', '三室朝阳  框架房 南北通透 视野开阔', '金光小区东区  | 3室2厅 | 107.6平米 | 南 北 | 其他', '高楼层(共6层)1990年建板楼  -  万达', '125万', '单价11618元/平米')
('', '金桥澎湖湾三室 低楼层 采光好 周围配套齐全', '金桥澎湖湾  | 3室2厅 | 146.79平米 | 南 北 | 其他', '低楼层(共32层)2015年建塔楼  -  北京中路', '132万', '单价8993元/平米')
('https://image1.ljcdn.com/370600-inspection/79e5c945-e012-4312-9f5b-58405da2a561.jpg.296x216.jpg', '越秀 现房 精装修  全明户型 采光充足', '越秀星汇金沙  | 3室2厅 | 117平米 | 南 北 | 其他', '中楼层(共11层)板楼  -  北京中路', '130万', '单价11112元/平米')
('', '振华海滨假日花园 楼层好 视野开阔小区后面金沙滩公园', '振华海滨假日花园  | 2室1厅 | 87.83平米 | 南 | 其他', '低楼层(共32层)2014年建板楼  -  黄河路', '120万', '单价13663元/平米')
('', '户型方正，采光充足，两室两厅，客厅有窗，视野开阔！', '万科城  | 2室2厅 | 102平米 | 南 北 | 其他', '中楼层(共18层)板楼  -  万科城', '142万', '单价13922元/平米')
('', '海信依云小镇 3室2厅 202万', '海信依云小镇  | 3室2厅 | 147平米 | 南 北 | 其他', '低楼层(共6层)2016年建板楼  -  福莱山公园', '202万', '单价13742元/平米')
('', '奇章新城 2室1厅 100万', '奇章新城  | 2室1厅 | 86平米 | 西北 | 其他', '中楼层(共31层)2016年建板楼  -  万达', '100万', '单价11628元/平米')
('https://image1.ljcdn.com/370600-inspection/ed070356-caa5-4b3d-a4c9-a7ee60af36ab.jpg.296x216.jpg', '宁海佳苑 2室1厅 83万', '宁海佳苑  | 2室1厅 | 76.59平米 | 南 | 其他', '低楼层(共19层)2007年建板楼  -  黄河路', '83万', '单价10837元/平米')
('', '房子一梯两户，南厅双南卧，有个税、净拿，实际115平', '旭日小区  | 3室2厅 | 108平米 | 南 北 | 毛坯', '低楼层(共3层)1994年建板楼  -  德胜', '120万', '单价11112元/平米')
('https://image1.ljcdn.com/370600-inspection/bc206dcc-e0b3-4f29-a373-0e732eb5a0c5.jpg.296x216.jpg', '金胜小区 南北通透 全明户型 非顶楼 随意装修', '金胜小区  | 2室1厅 | 69.99平米 | 南 北 | 其他', '高楼层(共6层)1995年建板楼  -  德胜', '84万', '单价12002元/平米')
('', '嵛景华城顶加阁 南北通透 精装拎包入住', '嵛景华城  | 3室2厅 | 120平米 | 南 北 | 其他', '高楼层(共12层)2008年建板楼  -  福莱山公园', '120万', '单价10000元/平米')
('https://image1.ljcdn.com/370600-inspection/162633d3-4002-4ad8-b8d6-ebcd74f4d72a.jpg.296x216.jpg', '交通便利，南北通透，三室两厅，毛坯。', '海晟花园  | 3室2厅 | 169.99平米 | 南 北 | 其他', '中楼层(共11层)2013年建板楼  -  万科城', '210万', '单价12354元/平米')
('', '凤台小区 2室1厅 110万', '凤台小区  | 2室1厅 | 97平米 | 南 北 | 其他', '中楼层(共5层)1997年建板楼  -  星颐广场', '110万', '单价11341元/平米')
('', '中粮朗云南北通透两居室 拎包入住', '中粮朗云  | 2室2厅 | 89平米 | 南 北 | 其他', '低楼层(共18层)板楼  -  高级中学', '115万', '单价12922元/平米')
('', '银芝小区 实际面积大 几乎无公摊 采光充足 欢迎光临', '银芝小区  | 2室1厅 | 72.8平米 | 南 西 北 | 其他', '高楼层(共6层)1994年建板楼  -  德胜', '70万', '单价9616元/平米')
('', '银和怡海国奥天地 4室2厅 380万', '银和怡海国奥天地  | 4室2厅 | 249.5平米 | 南 | 其他', '中楼层(共30层)2016年建板楼  -  黄河路', '380万', '单价15231元/平米')
('', '万达华府，高楼层，毛坯，看房方便', '万达华府  | 3室2厅 | 110.52平米 | 南 北 | 其他', '高楼层(共28层)2017年建板楼  -  万达', '170万', '单价15382元/平米')
('', '电梯顶加阁 带装修  小高层 公摊小', '栖里凤台山庄  | 3室2厅 | 135平米 | 南 北 | 其他', '高楼层(共11层)2012年建板楼  -  万达', '175万', '单价12963元/平米')
('https://image1.ljcdn.com/370600-inspection/73a069ce-8051-4763-bdd0-f39ec23615cc.jpg.296x216.jpg', '东方国际  小区环境好，交通便利 楼层好 视野宽阔', '东方国际  | 2室1厅 | 63.56平米 | 北 | 其他', '高楼层(共32层)2013年建塔楼  -  福莱山公园', '65万', '单价10227元/平米')
('', '房子南北通透，带20平南向车库外加小棚。', '华电小区  | 3室2厅 | 90.42平米 | 南 北 | 其他', '中楼层(共6层)2001年建板楼  -  德胜', '128万', '单价14157元/平米')
('https://image1.ljcdn.com/370600-inspection/91a6e07d-aea4-4e26-b676-356b5dfc2316.jpg.296x216.jpg', '此房户型方正 全明户型 采光好 看房方便 可改3室', '怡海翠庭  | 2室1厅 | 114平米 | 南 北 | 其他', '中楼层(共5层)2005年建板楼  -  黄河路', '160万', '单价14036元/平米')
('', '海信天山郡 3室1厅 140万', '海信天山郡  | 3室1厅 | 108平米 | 南 北 | 其他', '高楼层(共33层)2017年建塔楼  -  万达', '140万', '单价12963元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/2e74232a-befe-44c1-9b5b-eb10154524f9.png.280x210.jpg', '黄金家园 3室1厅 120万', '黄金家园  | 3室1厅 | 111.7平米 | 南 北 | 其他', '低楼层(共27层)塔楼  -  北京中路', '120万', '单价10744元/平米')
('', '金胜小区 2室2厅 85万', '金胜小区  | 2室2厅 | 68.42平米 | 南 北 | 其他', '高楼层(共6层)1995年建板楼  -  德胜', '85万', '单价12424元/平米')
('https://image1.ljcdn.com/370600-inspection/cdae6c2f-56ba-4fe3-a3b2-9885b362ca53.jpg.296x216.jpg', '翠园芳邻 3室2厅 165万', '翠园芳邻  | 3室2厅 | 102平米 | 南 北 | 其他', '高楼层(共18层)2007年建塔楼  -  万达', '165万', '单价16177元/平米')
('', '中建悦海和园  南北通透 简单装修 户型方正 高楼层！', '中建悦海和园  | 4室2厅 | 133.5平米 | 南 北 | 其他', '高楼层(共11层)2014年建板楼  -  北京中路', '140万', '单价10487元/平米')
('', '招商马尔贝拉 1室2厅 84万', '招商马尔贝拉  | 1室2厅 | 70.79平米 | 南 北 | 其他', '中楼层(共9层)2017年建板楼  -  北京中路', '84万', '单价11867元/平米')
('https://image1.ljcdn.com/370600-inspection/bd8b1441-7bbf-4405-a18c-55cbef46315c.jpg.296x216.jpg', '此房是毛坯房 高楼层 视野好 户型方正！！！', '振华海滨假日花园  | 2室2厅 | 89平米 | 东南 | 其他', '高楼层(共31层)板楼  -  黄河路', '105万', '单价11798元/平米')
('', '澎湖山庄满两年 双南卧南客厅 楼层好视野开阔采光充足', '金桥澎湖山庄  | 2室1厅 | 75.99平米 | 南 | 其他', '高楼层(共18层)2014年建板楼  -  福莱山公园', '91万', '单价11976元/平米')
('https://image1.ljcdn.com/370600-inspection/e0b2f9a2-a85e-44f7-9f28-61eeb4e87c9e.jpg.296x216.jpg', '装修好，南向房源，采光充足，楼层合适', '旭日小区  | 2室2厅 | 57.36平米 | 南 | 其他', '中楼层(共7层)2005年建板楼  -  德胜', '68.8万', '单价11995元/平米')
('', '越秀星汇金沙 2室1厅 85万', '越秀星汇金沙  | 2室1厅 | 80.28平米 | 南 北 | 其他', '低楼层(共34层)2018年建板楼  -  北京中路', '85万', '单价10588元/平米')
('', '振华海滨假日花园 3室2厅 280万', '振华海滨假日花园  | 3室2厅 | 163平米 | 南 北 | 其他', '高楼层(共32层)2014年建板楼  -  黄河路', '280万', '单价17178元/平米')
('https://image1.ljcdn.com/370600-inspection/87d8c759-deac-472a-a818-cf555b365aba.jpg.296x216.jpg', '两居室 户型方正  南北通透 采光好', '金东小区  | 2室1厅 | 68.8平米 | 南 北 | 其他', '中楼层(共6层)1999年建板楼  -  德胜', '78万', '单价11338元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/29d35458-6b71-44fb-9f55-3438b43b13b0.png.280x210.jpg', '阳光嘉园 2室2厅 96万', '阳光嘉园  | 2室2厅 | 86.54平米 | 南 | 其他', '中楼层(共18层)2007年建板楼  -  星颐广场', '96万', '单价11094元/平米')
('', '金桥澎湖湾 2室2厅 80万', '金桥澎湖湾  | 2室2厅 | 79.8平米 | 南 | 其他', '高楼层(共33层)2017年建板塔结合  -  北京中路', '80万', '单价10026元/平米')
('', '距离开发区彩云城、德胜500米，周围配套很完善。', '海鹰大厦  | 2室1厅 | 68.35平米 | 东北 | 其他', '中楼层(共20层)2003年建塔楼  -  德胜', '56.8万', '单价8311元/平米')
('https://image1.ljcdn.com/370600-inspection/test-948aa6ba-6145-4b3a-872b-3f53fab40a8e.png.296x216.jpg', '林语逸景 封闭小区 精装修 两室两厅 送家具家电', '林语逸景  | 2室1厅 | 90.04平米 | 南 | 其他', '高楼层(共33层)暂无数据  -  万达', '150万', '单价16660元/平米')
('', '旭日小区  毛坯  满五唯一 楼层好', '旭日小区  | 2室2厅 | 76.85平米 | 南 北 | 其他', '低楼层(共6层)1994年建板楼  -  德胜', '72万', '单价9369元/平米')
('https://image1.ljcdn.com/370600-inspection/93bcc613-f86f-4d8a-b73c-a91aa5951566.jpg.296x216.jpg', '黄海小区框架房，位置好，户型方正', '黄海小区  | 2室2厅 | 77.87平米 | 南 北 | 其他', '低楼层(共4层)板楼  -  星颐广场', '109.8万', '单价14101元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/847bce1f-c20c-4201-a58d-cc5acc652420.png.280x210.jpg', '天马相城三期 1室1厅 72万', '天马相城三期  | 1室1厅 | 56.87平米 | 南 | 其他', '高楼层(共23层)2009年建板塔结合  -  万科城', '72万', '单价12661元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/a9df0920-ecb6-473e-883c-487555aa94a6.png.280x210.jpg', '碧海云天 4室2厅 260万', '碧海云天  | 4室2厅 | 190平米 | 南 北 | 其他', '高楼层(共4层)2006年建板楼  -  星颐广场', '260万', '单价13685元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/48266814-5b84-439e-9f74-366dcca186f2.png.280x210.jpg', '金桥澎湖湾 2室1厅 135万', '金桥澎湖湾  | 2室1厅 | 128平米 | 南 北 | 其他', '低楼层(共18层)2015年建塔楼  -  北京中路', '135万', '单价10547元/平米')
('', '奇章新城实木精装修3居室，中间楼层打头房', '奇章新城  | 3室2厅 | 94平米 | 南 西 北 | 其他', '低楼层(共11层)板楼  -  万达', '150万', '单价15958元/平米')
('', '融科林语 4室2厅 195万', '融科林语  | 4室2厅 | 149.21平米 | 南 北 | 其他', '低楼层(共30层)2011年建塔楼  -  万达', '195万', '单价13069元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/a7cc151a-8e30-4be7-a2e0-f7cfcfa63da1.png.280x210.jpg', '开发区海天花园，全明户型，南北通透，采光佳', '海天花园  | 3室2厅 | 233.92平米 | 南 北 | 其他', '高楼层(共11层)2002年建塔楼  -  高级中学', '388万', '单价16587元/平米')
('https://image1.ljcdn.com/370600-inspection/791ac5ab-157e-4a37-aca5-3868e46bf918.jpg.296x216.jpg', '蔚蓝海岸多层框架低楼层，品质社区不靠道 ，错层结构', '蔚蓝海岸  | 3室2厅 | 135.15平米 | 南 北 | 其他', '低楼层(共5层)2006年建板楼  -  星颐广场', '210万', '单价15539元/平米')
