('https://image1.ljcdn.com/510100-inspection/test-194e1b15-081e-4a27-8267-a6506d76d31c.png.296x216.jpg', '此房户型方正采光佳，视野宽阔，', '心怡中丝园  | 3室2厅 | 102.38平米 | 北 | 其他 | 有电梯', '低楼层(共29层)2015年建板塔结合  -  麓山', '138万', '单价13480元/平米')
('https://image1.ljcdn.com/510100-inspection/0bb5e042-5560-4794-9d14-e47c3a53b982.jpg.296x216.jpg', '南阳锦城  套四  提前预约可看。', '南阳锦城  | 4室2厅 | 144.2平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2008年建板塔结合  -  南湖', '230万', '单价15951元/平米')
('https://image1.ljcdn.com/510100-inspection/ead60eae-088c-4fa7-8dbd-6461b73390b5.jpg.296x216.jpg', '蜀郡电梯 带装修 看房预约 客厅带阳台', '蜀郡  | 3室2厅 | 113.84平米 | 北 | 其他 | 有电梯', '低楼层(共26层)2010年建塔楼  -  华阳', '230万', '单价20204元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload6e041ae4-2424-4f13-aacd-aed73854df58.jpg.296x216.jpg', '翠拥天地+简装套三双卫+带平台', '翠拥天地   | 联排别墅 | 3室2厅 | 115.72平米 | 南 | 其他 | 无电梯', '5层2005年建暂无数据  -  华阳', '188万', '单价16247元/平米')
('https://image1.ljcdn.com/510100-inspection/b8394c0f-f190-46b5-b238-f086833faac2.jpg.296x216.jpg', '天府新区  新村小区 套三双卫', '新村小区  | 3室2厅 | 110平米 | 北 | 其他', '中楼层(共6层)板楼  -  南湖', '150万', '单价13637元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d9dea1ff-e715-497f-8e5a-4b567afa3830.png.296x216.jpg', '南湖国际社区一期，自住装修，客厅带阳台', '南湖国际社区一期  | 2室1厅 | 77.58平米 | 西北 | 其他 | 有电梯', '高楼层(共34层)2010年建塔楼  -  南湖', '135万', '单价17402元/平米')
('https://image1.ljcdn.com/510100-inspection/931a8c74-d2c2-4f65-8281-58664d33bebc.jpg.296x216.jpg', '复地御香山 4室2厅 700万', '复地御香山   | 联排别墅 | 4室2厅 | 347.75平米 | 东南 | 其他', '3层2013年建暂无数据  -  锦江生态带', '700万', '单价20130元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ca9e8d46-7b17-4132-9bcd-a2857ede9991.png.296x216.jpg', '双兴名居 3室2厅 140万', '双兴名居  | 3室2厅 | 124平米 | 南 | 其他', '高楼层(共6层)板楼  -  南湖', '140万', '单价11291元/平米')
('https://image1.ljcdn.com/510100-inspection/c9258c2f-0877-4a59-a34f-e1dd105113e3.jpg.296x216.jpg', '万科海悦汇城西区负一楼的子母车位', '万科海悦汇城西区  | 车位 | 42.36平米 | 东南', '板楼  -  海洋公园', '12万', '单价2833元/平米')
('https://image1.ljcdn.com/510100-inspection/f4736d87-d9f4-4dbe-a71a-48f4e23d074e.jpg.296x216.jpg', '天府新区美城悦荣府朝南联排别墅', '美城悦荣府   | 联排别墅 | 6室3厅 | 376.3平米 | 南 | 其他', '3层暂无数据  -  华阳', '630万', '单价16742元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f85ee670-8478-4933-9310-f3b897c98d77.png.296x216.jpg', '华阳北斗星 套二 有装修 朝南 户型方正', '北斗星  | 2室2厅 | 92.15平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2003年建板楼  -  南湖', '105万', '单价11395元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploaddfff027b-983f-4e42-b6de-05e6c7c3a0d0.jpg.296x216.jpg', '水印城自住装修套三双卫  视野好  看河景', '远光水印城  | 3室2厅 | 125.69平米 | 西 | 其他 | 有电梯', '中楼层(共35层)2009年建板楼  -  四河', '260万', '单价20686元/平米')
('https://image1.ljcdn.com/510100-inspection/7401a373-3ac3-4675-bb26-d19f06598a2d.jpg.296x216.jpg', '麓湖生态城清水套二电梯小高层小区中庭位置', '麓湖生态城琉璃溪岸  | 2室2厅 | 86.57平米 | 南 | 其他', '中楼层(共15层)2015年建板塔结合  -  麓湖生态城', '260万', '单价30034元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8157ad0e-3c53-4b84-9e10-f674d9706d86.png.296x216.jpg', '万科海悦汇城精装套二出售，带家具家电', '万科海悦汇城西区  | 2室1厅 | 59.02平米 | 东南 | 其他 | 有电梯', '高楼层(共35层)2015年建板楼  -  海洋公园', '120万', '单价20333元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fca46317-777e-4ed3-af14-bdf90fe340e5.png.296x216.jpg', '天府新区 南阳锦城 精装 朝南 双阳台 满二 无抵押', '南阳锦城  | 3室2厅 | 96平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2008年建板塔结合  -  南湖', '150万', '单价15625元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f80d9933-21b3-484d-a261-ee3695ab8301.png.296x216.jpg', '天府新区 一楼带花园 有装修 有家具家电', '华阳滨河花园  | 4室3厅 | 157.13平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2003年建板塔结合  -  华阳', '226万', '单价14383元/平米')
('https://image1.ljcdn.com/510100-inspection/84043baa-3e8a-49df-9f17-70e82917a4f8.jpg.296x216.jpg', '车位的号和位置都不错，价格也实在', '府河音乐花园  | 车位 | 13.5平米 | 东 | 无电梯', '板楼  -  华阳', '11.5万', '单价8519元/平米')
('https://image1.ljcdn.com/510100-inspection/d9cc9293-ceb8-4a01-a717-0d89fd3f5351.jpg.296x216.jpg', '慕和南道 一期负二楼的车位，独立车位，车位有产权', '慕和南道  | 车位 | 36.07平米 | 南 | 有电梯', '板塔结合  -  华阳', '15万', '单价4159元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bb2fdace-7747-4004-a13d-ef2dcbeee63b.png.296x216.jpg', '天府新区万科精装套二，对中庭安静', '万科海悦汇城东区  | 2室2厅 | 60.52平米 | 西北 | 其他 | 有电梯', '中楼层(共35层)2014年建板楼  -  海洋公园', '122万', '单价20159元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload1e2413fa-583e-4b16-8a6a-9e16dab78532.jpg.296x216.jpg', '成南领寓 套三单卫 满两年无增值税', '成南领寓  | 3室1厅 | 98.57平米 | 南 | 其他 | 有电梯', '高楼层(共31层)板楼  -  南湖', '125万', '单价12682元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f0a7d0c3-889c-43eb-82b2-08b973a4eacb.png.296x216.jpg', '南湖国际社区套一，满2年没有增值税', '南湖国际社区  | 1室1厅 | 56.35平米 | 东南 | 其他 | 有电梯', '中楼层(共34层)2010年建板楼  -  南湖', '105万', '单价18634元/平米')
('https://image1.ljcdn.com/510100-inspection/8187d7f2-1e2f-4252-afd8-a80a9f6a356c.JPG.296x216.jpg', '天府新区   带屋顶花园   不临街   拎包入住', '南阳锦城  | 4室2厅 | 177.07平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2008年建板塔结合  -  南湖', '240万', '单价13554元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6025ba2c-77c6-4097-9779-8a428b76b690.png.296x216.jpg', '天府新区 锦江河畔 有花园 有装修', '向阳名居  | 3室2厅 | 136.46平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2002年建板楼  -  华阳', '171万', '单价12532元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9c1e0f32-27d4-4255-bc2e-75c649dbf6d6.png.296x216.jpg', '天府新区装修顶楼套三带屋顶花园', '明珠怡园  | 3室2厅 | 131平米 | 东 | 其他 | 无电梯', '高楼层(共6层)2006年建板楼  -  南湖', '230万', '单价17558元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a610388f-7d2c-4c7f-9bbc-0a69b971a14e.png.296x216.jpg', '南湖国际社区一期，三室两厅，交通便利', '南湖国际社区一期  | 3室2厅 | 133.82平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2010年建板塔结合  -  南湖', '280万', '单价20924元/平米')
('https://image1.ljcdn.com/510100-inspection/169cd585-eef9-4331-b45f-d0d952e04688.jpg.296x216.jpg', '蜀郡电梯车位 标准车位 可以看房', '蜀郡  | 车位 | 35.67平米 | 东 | 无电梯', '板楼  -  华阳', '20万', '单价5607元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f035c564-9d6b-44b8-9849-f2b7f7c6f700.png.296x216.jpg', '南阳锦城晶品套二 有装修有家具家电 中间楼层采光好', '南阳锦城晶品  | 2室1厅 | 78.84平米 | 东 | 简装 | 有电梯', '中楼层(共24层)2012年建板楼  -  四河', '160万', '单价20295元/平米')
('https://image1.ljcdn.com/510100-inspection/b8d11910-93e8-44e5-91b6-ffc6ab517b46.jpg.296x216.jpg', '华阳街道 丽都新城 套三双卫带装修可直接入住', '丽都新城一期  | 3室2厅 | 131.39平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2010年建板楼  -  南湖', '167万', '单价12711元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e9c12291-9dfa-461c-9fe2-ef1017955bff.png.296x216.jpg', '碧桂园清水套三户型通透，位置安静，三面采光。', '碧桂园海昌天澜  | 3室1厅 | 89平米 | 东北 | 其他', '高楼层(共25层)板塔结合  -  雅居乐', '112万', '单价12585元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9691b85a-d336-4f80-af4d-9286c9b40e58.png.296x216.jpg', '蜀郡精装C户型2楼中间位置不临街带露台朝南', '蜀郡  | 3室2厅 | 163平米 | 南 | 其他 | 无电梯', '中楼层(共4层)2010年建板楼  -  华阳', '328万', '单价20123元/平米')
('https://image1.ljcdn.com/510100-inspection/a3343fb5-444d-4900-9583-97cbc3242e5b.jpg.296x216.jpg', '有装修套四，不临街，满两年，低楼层。', '华阳滨河花园  | 4室3厅 | 173平米 | 东 西 | 精装 | 无电梯', '低楼层(共6层)2003年建板塔结合  -  华阳', '280万', '单价16185元/平米')
('https://image1.ljcdn.com/510100-inspection/test-345532a3-31e2-4b10-871d-93c3b959b154.png.296x216.jpg', '瑞升橡树林华府 中间楼层 对中庭  满两年 无增值税', '瑞升橡树林华府  | 3室2厅 | 90.94平米 | 东北 | 其他 | 有电梯', '中楼层(共26层)2015年建板塔结合  -  南湖', '150万', '单价16495元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2da0679d-2f03-4ef3-a3a7-ec2d70de3bc2.png.296x216.jpg', '雅居乐花园套三双卫装修房，位置安静，户型方正', '雅居乐花园  | 3室1厅 | 122.97平米 | 北 | 其他 | 有电梯', '低楼层(共30层)2010年建板楼  -  雅居乐', '150万', '单价12199元/平米')
('https://image1.ljcdn.com/510100-inspection/29a9cbad-9fcf-47bb-921d-d93be125b73a.jpg.296x216.jpg', '家益欣城    产权车位，位置好', '家益欣城  | 车位 | 32.72平米 | 南 | 有电梯', '板楼  -  华阳', '9万', '单价2751元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadd027beb5-6061-498b-9c04-cacb789c4197.jpg.296x216.jpg', '天府新区剑南大道华阳凯莱丽景雅筑', '凯莱丽景雅筑  | 车位 | 30.69平米 | 南 | 有电梯', '板塔结合  -  华阳', '18万', '单价5866元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadb7d9b41f-4413-4477-a0ec-d1e608de3171.jpg.296x216.jpg', '天府新区 金秋家园 套三双卫 有装修', '金秋家园1  | 3室2厅 | 137.84平米 | 东 | 其他', '高楼层(共6层)暂无数据  -  南湖', '160万', '单价11608元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f1604f6a-8d27-472f-82ab-50445e3ce722.png.296x216.jpg', '远大 南湖公园旁  中间楼层 清水套二 适合居住', '远大中央公园一期  | 2室2厅 | 81.63平米 | 北 | 其他', '低楼层(共33层)2016年建板塔结合  -  南湖', '145万', '单价17764元/平米')
('https://image1.ljcdn.com/510100-inspection/test-20020547-1a1d-4b61-9f0f-cdd96bf335de.png.296x216.jpg', '雅居乐六期套三，中间楼层位置，清水方便自己装修。', '雅居乐十里花巷  | 3室2厅 | 132.96平米 | 东南 | 其他 | 有电梯', '高楼层(共31层)2016年建板楼  -  雅居乐', '155万', '单价11658元/平米')
('https://image1.ljcdn.com/510100-inspection/7e097891-e5dd-4e29-af14-638e621c455f7.jpg.296x216.jpg', '天府新区左岸花都一号地铁华府大道站左岸花都', '左岸花都  | 3室3厅 | 140.98平米 | 西南 | 精装 | 无电梯', '中楼层(共6层)2003年建板楼  -  华阳', '225万', '单价15960元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1825d343-9e9d-4a3e-8d63-08612d662298.png.296x216.jpg', '麓湖麒麟荟清水大平层，直看湖景', '麓湖麒麟荟  | 4室2厅 | 207平米 | 南 | 其他', '高楼层(共20层)暂无数据  -  麓湖生态城', '720万', '单价34783元/平米')
('https://image1.ljcdn.com/510100-inspection/test-07cb19a5-9a01-4328-b17c-c4382beb31f2.png.296x216.jpg', '慕和南道有装修  不临街  满2年', '慕和南道  | 2室1厅 | 71.84平米 | 北 | 其他 | 有电梯', '高楼层(共26层)2010年建板塔结合  -  华阳', '135万', '单价18792元/平米')
('https://image1.ljcdn.com/510100-inspection/ee13006f-c75d-425a-a06f-a1a29e2d9519.jpg.296x216.jpg', '车位是家益欣城8栋负一楼的车位，车位有产权', '家益欣城  | 车位 | 30.86平米 | 东 | 有电梯', '板楼  -  华阳', '10万', '单价3241元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadcc48ef52-b460-445a-96e7-0fd2d77930d3.jpg.296x216.jpg', '天府新区华阳张家巷51号套二户型低楼层', '张家巷51号  | 2室1厅 | 81.19平米 | 东南 | 其他', '低楼层(共6层)板楼  -  南湖', '98万', '单价12071元/平米')
('', '成南锦秀              带 装修套三', '成南锦秀  | 3室2厅 | 123.63平米 | 西 | 其他 | 有电梯', '中楼层(共16层)2010年建板楼  -  南湖', '178万', '单价14398元/平米')
('https://image1.ljcdn.com/510100-inspection/test-079bf5ff-80db-44ea-ad69-830da28b7171.png.296x216.jpg', '东茂商居小区 套二户型 居家装修', '东茂商居  | 2室2厅 | 81.19平米 | 西 | 其他', '高楼层(共6层)板楼  -  南湖', '89万', '单价10962元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a6bb8f7d-8496-48b1-8a32-b2b1d6644cc7.png.296x216.jpg', '南湖国际社区一期 套三双卫 精装修从未入住', '南湖国际社区一期  | 3室2厅 | 114.68平米 | 东 | 其他 | 有电梯', '低楼层(共34层)2010年建塔楼  -  南湖', '220万', '单价19184元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ccb3ecfb-4569-4b9a-aa38-53b48ed5398b.png.296x216.jpg', '此房出售 套三双卫 客厅朝南 对中庭', '美城悦荣府  | 3室2厅 | 101.15平米 | 南 | 其他 | 有电梯', '中楼层(共34层)2017年建板塔结合  -  华阳', '200万', '单价19773元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload334c215e-2ca9-4467-b7ce-d1c01531f2bd.jpg.296x216.jpg', '南湖国际社区套四带书房，，，，', '南湖国际社区  | 4室2厅 | 179.06平米 | 东 | 其他 | 有电梯', '高楼层(共33层)2010年建板楼  -  南湖', '325万', '单价18151元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cb2b913e-6cb6-4e39-9dd5-52645d811fdf.png.296x216.jpg', '天府新区 拎包入住 大套四双卫 朝中庭 采光好无增值税', '府河音乐花园  | 4室2厅 | 157.85平米 | 东 | 精装 | 无电梯', '中楼层(共6层)2001年建板楼  -  华阳', '236万', '单价14951元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cbfa22ab-036b-4f0c-ae76-4d74fe9a36bc.png.296x216.jpg', '楠域丽景 2室2厅 120万', '楠域丽景  | 2室2厅 | 83.74平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2007年建塔楼  -  南湖', '120万', '单价14331元/平米')
('https://image1.ljcdn.com/510100-inspection/2fc051a7-4ae1-40ba-858b-57cd2ef282fd.jpg.296x216.jpg', '南阳锦城晶品套二 中间楼层采光好 户型方正看房方便', '南阳锦城晶品  | 2室1厅 | 78.59平米 | 东 | 简装 | 有电梯', '中楼层(共24层)2012年建板楼  -  四河', '156万', '单价19850元/平米')
('https://image1.ljcdn.com/510100-inspection/64f75a5e-723e-4316-bd92-4465a5285a0d.JPG.296x216.jpg', '此房满二年，目前自己住，客厅带阳台，有简单装修。', '锦官丽城亲水湾  | 3室2厅 | 131.68平米 | 东 | 简装 | 无电梯', '高楼层(共6层)2006年建板楼  -  华阳', '200万', '单价15189元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6b46f253-e87f-41ca-a6da-12ad5f522215.png.296x216.jpg', '锦华苑 套三 高楼层 看河景 普通装修', '锦华苑  | 3室2厅 | 114.37平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2004年建板楼  -  南湖', '110万', '单价9618元/平米')
('', '家益欣城顶跃，带车位，楼顶带花园.', '家益欣城  | 5室2厅 | 226.29平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2010年建板楼  -  华阳', '375万', '单价16572元/平米')
('https://image1.ljcdn.com/510100-inspection/test-69234d68-45c8-448d-ae7a-4f5e0e40ed28.png.296x216.jpg', '户型方正，采光好，带装修家具家电，拎包入住', '青南美湾  | 2室2厅 | 71.54平米 | 东南 | 其他 | 有电梯', '中楼层(共24层)板楼  -  海洋公园', '118万', '单价16495元/平米')
('https://image1.ljcdn.com/510100-inspection/test-223565b2-78ff-4c81-af31-64009f17fd48.png.296x216.jpg', '18年10月产权满二年，换房诚心出售，位置安静', '宏信南樾  | 4室2厅 | 132.9平米 | 西南 | 其他 | 有电梯', '低楼层(共26层)2007年建塔楼  -  海洋公园', '190万', '单价14297元/平米')
('https://image1.ljcdn.com/510100-inspection/978527e8-1ac7-418f-aa8e-539b1c47fe97.jpg.296x216.jpg', '华阳街道  丽都新城  套三双卫跃层  带装修可直接入住', '丽都新城一期  | 3室2厅 | 131.12平米 | 西北 | 其他 | 无电梯', '高楼层(共6层)2010年建板楼  -  南湖', '150万', '单价11440元/平米')
('https://image1.ljcdn.com/510100-inspection/19b0a520-3e6f-4ad6-a076-929f1e84cc4c.JPG.296x216.jpg', '天府新区叠拼别墅一楼带花园精装修', '兰桥尚舍   | 联排别墅 | 4室2厅 | 206.35平米 | 南 | 精装 | 无电梯', '5层2006年建暂无数据  -  华阳', '392万', '单价18997元/平米')
('https://image1.ljcdn.com/510100-inspection/00409e4d-73db-4f7e-83ae-de04327f3946.jpg.296x216.jpg', '南湖半岛带装修跃层套二。。。。', '南湖半岛  | 2室2厅 | 61.67平米 | 东北 | 其他 | 有电梯', '高楼层(共32层)2015年建塔楼  -  南湖', '84万', '单价13621元/平米')
('https://image1.ljcdn.com/510100-inspection/test-13a45faa-71c8-4258-9e53-06e0df4ce0b1.png.296x216.jpg', '天府新区 慕和南道 套三 有装修', '慕和南道  | 3室2厅 | 143平米 | 东南 | 其他 | 有电梯', '低楼层(共25层)2010年建板塔结合  -  华阳', '268万', '单价18742元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload4ece8430-68bd-455c-9e2c-ff29d50a432f.jpg.296x216.jpg', '南湖国际社区不临街有阳台装修套三', '南湖国际社区  | 3室2厅 | 117.6平米 | 东 | 其他 | 有电梯', '高楼层(共34层)2010年建板楼  -  南湖', '170万', '单价14456元/平米')
('https://image1.ljcdn.com/510100-inspection/e52b6482-0831-4b8c-9f91-562dfb9e80c6.jpg.296x216.jpg', '天府新区+慕和南道+负一楼车位。', '慕和南道  | 车位 | 30.36平米 | 东 | 有电梯', '2010年建板塔结合  -  华阳', '13万', '单价4282元/平米')
('https://image1.ljcdn.com/510100-inspection/936aa06c-450c-4f7a-be99-bd398f41ece6.jpg.296x216.jpg', '套三双卫+精装修+前后花园+休闲木平台', '凯莱丽景雅筑  | 3室2厅 | 139.79平米 | 南 | 其他 | 有电梯', '低楼层(共6层)2007年建板楼  -  华阳', '230万', '单价16454元/平米')
('', '雅居乐花园峰会北区驷马屋 装修房带家具家电 带大花园', '雅居乐花园峰会北区   | 联排别墅 | 3室2厅 | 152.6平米 | 南 | 其他 | 无电梯', '3层2009年建暂无数据  -  雅居乐', '400万', '单价26213元/平米')
('https://image1.ljcdn.com/510100-inspection/test-44d0691a-6aa0-4c33-b035-6cc36951b075.png.296x216.jpg', '天府新区 紫阳花园 套二单卫 有装修', '紫阳花园  | 2室2厅 | 81.65平米 | 南 | 简装', '低楼层(共6层)板楼  -  南湖', '97万', '单价11880元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadac414fd2-c84e-4b0d-9664-a74cb642b8af.jpg.296x216.jpg', '天府新区，三居室，居家装修直接拎包入住，户型方正', '六菱社区  | 3室1厅 | 83.82平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  南湖', '110万', '单价13124元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload0466c678-9dea-47ad-84ed-f3c96e653ad6.jpg.296x216.jpg', '中间楼层，带家具家电出售，。。', '万科海悦汇城西区  | 4室2厅 | 111.24平米 | 东 | 其他 | 有电梯', '中楼层(共50层)2015年建板楼  -  海洋公园', '172万', '单价15463元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6d1f94d0-7290-4473-8ac4-f8f646a333c4.png.296x216.jpg', '南湖左岸，清水套三双卫，可自己装修', '南湖左岸  | 3室2厅 | 100.62平米 | 西南 东北 | 其他', '中楼层(共25层)2015年建板塔结合  -  南湖', '165万', '单价16399元/平米')
('https://image1.ljcdn.com/510100-inspection/afea7149-e42e-497e-81ef-d66c392b96a9.jpg.296x216.jpg', '天府新区 成南领寓 朝向南。采光好。', '成南领寓  | 1室0厅 | 42.36平米 | 南 | 其他 | 有电梯', '低楼层(共31层)2008年建板楼  -  南湖', '45万', '单价10624元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f139e20b-5245-42e8-8bd4-fa24b9aa59f4.png.296x216.jpg', '雅居乐装修房 带家具家电 满2年', '雅居乐花园  | 3室1厅 | 87.67平米 | 西南 | 其他 | 有电梯', '中楼层(共11层)2008年建板楼  -  雅居乐', '120万', '单价13688元/平米')
('https://image1.ljcdn.com/510100-inspection/3d4af580-d3a0-4acf-9647-266c14525a47.jpg.296x216.jpg', '万科海悦汇城西区精装修loft公寓带平台', '万科海悦汇城西区  | 1室1厅 | 44.5平米 | 东 | 其他 | 无电梯', '低楼层(共3层)2012年建板楼  -  海洋公园', '69万', '单价15506元/平米')
('https://image1.ljcdn.com/510100-inspection/a61ab801-9202-475e-a38b-cc95f4e5706d.jpg.296x216.jpg', '新鸿基悦城 装修 套四双卫 有车位', '新鸿基悦城  | 4室2厅 | 156.05平米 | 西南 | 其他 | 有电梯', '高楼层(共31层)2013年建板塔结合  -  海洋公园', '410万', '单价26274元/平米')
('https://image1.ljcdn.com/510100-inspection/0325d313-6bcb-4de2-a525-2a5edf40bea1.jpg.296x216.jpg', '蜀郡又一城  装修套三   有阳台', '蜀郡又一城  | 3室2厅 | 99.79平米 | 西 | 其他 | 有电梯', '高楼层(共31层)2014年建塔楼  -  华阳', '215万', '单价21546元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/398baed4-0fa8-48b0-88ec-afc3700c565f.png.280x210.jpg', '华阳南湖佳兆业君汇上品套三清水', '佳兆业君汇上品  | 3室2厅 | 111.49平米 | 西 | 其他 | 有电梯', '高楼层(共33层)2013年建板塔结合  -  南湖', '200万', '单价17939元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1705a994-2ee0-4b0b-968d-0278b5249855.png.296x216.jpg', '香山半岛 1室1厅 85万', '香山半岛  | 1室1厅 | 60.73平米 | 北 | 其他 | 有电梯', '中楼层(共24层)2016年建板塔结合  -  海洋公园', '85万', '单价13997元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c2f5b865-af72-4e31-9a21-1db0bdd87c38.png.296x216.jpg', '天府新区美城悦荣府 清水套三双卫 改动性强 实得121平', '美城悦荣府  | 3室1厅 | 100.68平米 | 北 | 其他 | 有电梯', '高楼层(共34层)2017年建板塔结合  -  华阳', '180万', '单价17879元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3fbd18dd-d3d3-4026-a227-db94f5dfd621.png.296x216.jpg', '鑫苑鑫都汇南区精装修套二 采光效果好', '鑫苑鑫都汇南区  | 2室2厅 | 75.5平米 | 东 | 精装', '高楼层(共25层)板塔结合  -  南湖', '131万', '单价17351元/平米')
('https://image1.ljcdn.com/510100-inspection/test-05015fa5-4f73-4c30-ad9e-bc8a9fa34283.png.296x216.jpg', '君汇上品+套三双卫+横厅+装修房', '佳兆业君汇上品  | 3室2厅 | 109平米 | 北 | 其他 | 有电梯', '高楼层(共33层)2013年建板塔结合  -  南湖', '200万', '单价18349元/平米')
('https://image1.ljcdn.com/510100-inspection/73e202fe-2a5f-4740-8871-8c0cdbd15a15.JPG.296x216.jpg', '麓湖生态城沉香谷  清水独栋别墅 人车分流', '麓湖生态城沉香谷   | 独栋别墅 | 5室3厅 | 334平米 | 东南 | 其他', '2层暂无数据  -  麓湖生态城', '1250万', '单价37426元/平米')
('https://image1.ljcdn.com/510100-inspection/e4a90907-df90-4e45-b658-7105bee80133.jpg.296x216.jpg', '天府新区   新鸿基悦城  清水底跃  带花园', '新鸿基悦城  | 2室2厅 | 118平米 | 南 | 其他 | 有电梯', '低楼层(共30层)2012年建板塔结合  -  海洋公园', '270万', '单价22882元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/test-befb2364-12e7-4773-b7f4-cdfa53e8b8aa.png.280x210.jpg', '天府新区+华阳+多层套三双卫带装修', '物探小区  | 3室2厅 | 134.2平米 | 东 | 其他', '高楼层(共7层)暂无数据  -  南湖', '125万', '单价9315元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadbb3387b5-d991-4b42-b3a3-6bf09317016f.jpg.296x216.jpg', '家益欣城套二，有装修，户型方正。', '家益欣城  | 2室2厅 | 92.32平米 | 东 | 其他 | 有电梯', '低楼层(共25层)2010年建塔楼  -  华阳', '125万', '单价13540元/平米')
('https://image1.ljcdn.com/510100-inspection/22f42ff4-c6c3-4f9e-9aad-d199acd0190d.jpg.296x216.jpg', '天府新区多层满两年装修套三双卫', '金秋家园1  | 3室2厅 | 129.11平米 | 西南 | 简装', '低楼层(共6层)暂无数据  -  南湖', '150万', '单价11619元/平米')
('', '天府新区锦江生态带纯别墅社区独栋别墅', '建发浅水湾   | 独栋别墅 | 4室2厅 | 531.92平米 | 南 | 其他', '3层2012年建暂无数据  -  锦江生态带', '950万', '单价17860元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bf5cf085-a058-48d4-a8c5-341e07de9d5d.png.296x216.jpg', '此房带装修，套二单卫，位置安静，楼层适中，座北朝南', '左岸花都  | 2室2厅 | 98平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  华阳', '140万', '单价14286元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5afb1886-6fc9-4b36-b74d-cc93b3ce8549.png.296x216.jpg', '金河城小区优质大户型套三望多推广', '金河城小区  | 3室2厅 | 126.1平米 | 南 | 其他', '低楼层(共6层)板楼  -  南湖', '114万', '单价9041元/平米')
('https://image1.ljcdn.com/510100-inspection/6551879d-ed7f-480c-a609-ac4096034fd3.jpg.296x216.jpg', '和泓半山二期+联排坡地别墅+套四双厅双卫', '和泓半山二期   | 联排别墅 | 4室2厅 | 287.57平米 | 南 北 | 其他 | 无电梯', '3层2014年建暂无数据  -  锦江生态带', '399万', '单价13875元/平米')
