('https://image1.ljcdn.com/440600-inspection/8b97ab30-9e17-43de-af59-711f2161936b.jpg.296x216.jpg', '利豪名郡 2室2厅 145万', '利豪名郡  | 2室2厅 | 83.7平米 | 南 | 简装', '高楼层(共17层)2011年建塔楼  -  澜石', '145万', '单价17324元/平米')
('https://image1.ljcdn.com/440600-inspection/38923454-ff00-41fc-9b76-e3d1ff4e7ebf.jpg.296x216.jpg', '普君新城 电梯三房', '普君新城东苑  | 3室2厅 | 126.66平米 | 南 | 其他', '低楼层(共27层)2010年建塔楼  -  祖庙', '228万', '单价18001元/平米')
('https://image1.ljcdn.com/440600-inspection/56ce8cb8-9676-4986-89d2-63e9ca731220.jpg.296x216.jpg', '御璟上院 1室1厅 50万', '御璟上院  | 1室1厅 | 35.86平米 | 东 | 其他', '中楼层(共9层)2011年建塔楼  -  石湾', '50万', '单价13944元/平米')
('https://image1.ljcdn.com/440600-inspection/527de5ba-2fe4-4916-ac41-fb093a393846.JPG.296x216.jpg', '鸿业城市花园 2室2厅 171.8万', '鸿业城市花园  | 2室2厅 | 85.9平米 | 南 | 其他', '高楼层(共25层)2011年建塔楼  -  湖景', '171.8万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/7b4d3309-fba0-4f65-b524-d50391be1ee1.jpg.296x216.jpg', '东方广场 三房出售 配套成熟', '东方广场  | 3室2厅 | 109.91平米 | 南 | 其他', '中楼层(共23层)2001年建塔楼  -  福升', '180万', '单价16378元/平米')
('https://image1.ljcdn.com/440600-inspection/a2e5185f-34fd-48f8-add8-6ed34a3bc861.jpg.296x216.jpg', '铂顿国际公寓 1室1厅 130万', '铂顿国际公寓  | 1室1厅 | 60.41平米 | 南 北 | 其他', '低楼层(共13层)2012年建塔楼  -  祖庙', '130万', '单价21520元/平米')
('https://image1.ljcdn.com/440600-inspection/acaa7d0a-ee8c-4d2f-b9d9-992c833d5c27.jpg.296x216.jpg', '岭南天地 温馨实用三房两厅', '岭南天地尚苑  | 3室2厅 | 119平米 | 北 | 其他', '低楼层(共30层)2015年建塔楼  -  祖庙', '249.9万', '单价21000元/平米')
('https://image1.ljcdn.com/440600-inspection/0ddaf0f1-44f2-447a-82c0-8ac07b117f82.jpg.296x216.jpg', '万科城四区 实用三房两厅', '佛山万科城  | 3室2厅 | 104平米 | 南 北 | 精装', '高楼层(共28层)2017年建塔楼  -  南庄', '165万', '单价15866元/平米')
('https://image1.ljcdn.com/440600-inspection/d60acf7f-9830-4dde-9bea-36d08b8f4fae.jpg.296x216.jpg', '九鼎国际城 1室1厅 30万', '九鼎国际城  | 1室1厅 | 28平米 | 北 | 其他', '中楼层(共31层)2010年建塔楼  -  朝安', '30万', '单价10715元/平米')
('https://image1.ljcdn.com/440600-inspection/010388d1-ad7f-4d0d-9956-2f166431df52.jpg.296x216.jpg', '盛南公馆 新净装修 一房一厅', '盛南公馆  | 1室0厅 | 32.53平米 | 南 | 其他', '低楼层(共28层)2017年建塔楼  -  石湾', '48.8万', '单价15002元/平米')
('https://image1.ljcdn.com/440600-inspection/034c23a1-f08d-4ab9-aad8-7769e8023459.jpg.296x216.jpg', '丽日玫瑰三期一区 3室2厅 230万', '丽日玫瑰三期一区  | 3室2厅 | 92平米 | 北 | 其他', '低楼层(共11层)2005年建板楼  -  魁奇', '230万', '单价25000元/平米')
('https://image1.ljcdn.com/440600-inspection/aecb41e8-1ea8-43f5-b7b5-a12f075e9e55.jpg.296x216.jpg', '星星凯旋花园 四房带装修', '星星凯旋国际  | 4室2厅 | 186平米 | 南 北 | 其他', '中楼层(共27层)2015年建塔楼  -  朝安', '465万', '单价25000元/平米')
('https://image1.ljcdn.com/440600-inspection/22f9182d-e23f-4161-93c4-b6db3ee9cf73.jpg.296x216.jpg', '日丰大夏 电梯房 出售', '日丰大厦  | 4室2厅 | 140.25平米 | 东南 | 其他', '高楼层(共8层)塔楼  -  祖庙', '148万', '单价10553元/平米')
('https://image1.ljcdn.com/440600-inspection/529aba56-0e3b-401c-ab43-dd0ad5090151.jpg.296x216.jpg', '东海国际花园公寓 1室1厅 47.5万', '东海国际花园公寓  | 1室1厅 | 38平米 | 南 | 简装', '低楼层(共16层)2014年建塔楼  -  汾江北', '47.5万', '单价12500元/平米')
('https://image1.ljcdn.com/440600-inspection/6f1ea75d-e8ef-45ab-a6dd-77bdcd4fab3e.jpg.296x216.jpg', '禅城丽景花园 3室2厅 225万', '禅城丽景花园  | 3室2厅 | 134平米 | 南 北 | 其他', '高楼层(共11层)2004年建塔楼  -  魁奇', '225万', '单价16792元/平米')
('https://image1.ljcdn.com/440600-inspection/2ac3ba13-884a-4ec6-b52d-e0cbe43e7374.jpg.296x216.jpg', '绿地未来城 3室2厅 160万', '绿地未来城  | 3室2厅 | 115平米 | 南 北 | 其他', '高楼层(共10层)2018年建塔楼  -  张槎', '160万', '单价13914元/平米')
('https://image1.ljcdn.com/440600-inspection/19a0ca37-1ae5-46d5-b558-ec869956259b.JPG.296x216.jpg', '时代云图苑 3室2厅 275万', '时代云图苑  | 3室2厅 | 114.99平米 | 东南 | 其他', '高楼层(共33层)2013年建塔楼  -  朝安', '275万', '单价23916元/平米')
('https://image1.ljcdn.com/440600-inspection/78594c3f-7b9f-49a6-add6-00660cf512b7.jpg.296x216.jpg', '碧桂园城市花园 电梯洋房', '碧桂园城市花园南区  | 3室2厅 | 117.35平米 | 东 | 精装', '高楼层(共29层)2013年建板塔结合  -  澜石', '234.7万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/2cd5f373-0795-40f2-96c3-ba1a775463f4.jpg.296x216.jpg', '天御盈品 电梯中层套间 南向 装修保养好', '天御盈品  | 1室1厅 | 38平米 | 东 | 其他', '中楼层(共26层)2012年建塔楼  -  绿景', '86万', '单价22632元/平米')
('https://image1.ljcdn.com/440600-inspection/3473b15b-92ac-460b-82ad-6ea352730bbe.jpg.296x216.jpg', '慧港国际 1室0厅 30万', '慧港国际  | 1室0厅 | 35平米 | 西 | 其他', '低楼层(共30层)2008年建塔楼  -  澜石', '30万', '单价8572元/平米')
('https://image1.ljcdn.com/440600-inspection/66b67905-ca30-4635-acf1-1f663e25bfcd.jpg.296x216.jpg', '龙光水悦龙湾 2房出售', '龙光水悦龙湾  | 2室1厅 | 66.6平米 | 西 | 毛坯', '高楼层(共28层)塔楼  -  南庄', '68万', '单价10211元/平米')
('https://image1.ljcdn.com/440600-inspection/ee48b0ed-6c3c-4308-87be-3359b3564505.jpg.296x216.jpg', '河畔明珠 2室2厅 180万', '河畔明珠  | 2室2厅 | 94.9平米 | 南 北 | 其他', '中楼层(共25层)2000年建塔楼  -  福升', '180万', '单价18968元/平米')
('https://image1.ljcdn.com/440600-inspection/41b6fa39-815a-4678-b7ac-41d0c240b093.jpg.296x216.jpg', '长信东海银 实用一房', '长信东海银湾  | 1室1厅 | 38.66平米 | 西 | 其他', '高楼层(共31层)2015年建塔楼  -  朝安', '70万', '单价18107元/平米')
('https://image1.ljcdn.com/440600-inspection/0df5eb74-d589-4ddf-b7dc-1cf52109b1ae.jpg.296x216.jpg', '九鼎国际城 公寓出售', '九鼎国际城  | 1室1厅 | 39平米 | 南 | 其他', '高楼层(共31层)2010年建塔楼  -  朝安', '40万', '单价10257元/平米')
('', '万通国际 1室0厅 49万', '万通国际  | 1室0厅 | 38平米 | 东 | 精装', '高楼层(共30层)2015年建塔楼  -  澜石', '49万', '单价12895元/平米')
('https://image1.ljcdn.com/440600-inspection/3acf541f-0634-430c-baea-dcac3696bbbe.jpg.296x216.jpg', '滨海御庭 1室1厅 38万', '滨海御庭  | 1室1厅 | 30平米 | 西 | 精装', '中楼层(共32层)2008年建塔楼  -  澜石', '38万', '单价12667元/平米')
('https://image1.ljcdn.com/440600-inspection/2d2f425f-cb1f-4d92-8c86-fb7cb053e11e.jpg.296x216.jpg', '卓远广场 毛坯三房', '卓远广场  | 3室2厅 | 91平米 | 南 | 其他', '中楼层(共31层)2016年建塔楼  -  石湾', '180万', '单价19781元/平米')
('https://image1.ljcdn.com/440600-inspection/8bc20428-a17f-4799-975b-3b051db40554.jpg.296x216.jpg', '丽日豪庭 4室2厅 290万', '丽日豪庭  | 4室2厅 | 164平米 | 南 | 简装', '低楼层(共12层)2002年建塔楼  -  魁奇', '290万', '单价17683元/平米')
('https://image1.ljcdn.com/440600-inspection/db6523a2-2a86-479b-87d0-c38d96a9fe04.jpg.296x216.jpg', '雅庭国际广场 3房出售', '雅庭国际广场  | 3室2厅 | 98平米 | 南 | 精装', '高楼层(共25层)2013年建塔楼  -  季华', '238万', '单价24286元/平米')
('https://image1.ljcdn.com/440600-inspection/ae9d1333-5ad4-4653-9377-9604e4cda6db.jpg.296x216.jpg', '东华嘉苑一期 电梯装修 4房送家私家电', '岭南天地东华嘉苑一期  | 4室2厅 | 250平米 | 北 | 其他', '高楼层(共8层)2011年建塔楼  -  祖庙', '630万', '单价25200元/平米')
('https://image1.ljcdn.com/440600-inspection/40312653-3196-45bf-969d-34fde2c72b89.jpg.296x216.jpg', '东方广场 1室1厅 42万', '东方广场  | 1室1厅 | 23平米 | 东 | 其他', '高楼层(共17层)2001年建塔楼  -  福升', '42万', '单价18261元/平米')
('https://image1.ljcdn.com/440600-inspection/cef8f3fa-b097-4e30-bce1-0b6ff5dd6926.jpg.296x216.jpg', '保利香槟花园 酒店式公寓', '保利香槟花园公寓  | 1室1厅 | 40平米 | 北 | 精装', '中楼层(共17层)塔楼  -  张槎', '40万', '单价10000元/平米')
('https://image1.ljcdn.com/440600-inspection/30211dd3-ad51-4b50-8971-bee85999ce44.jpg.296x216.jpg', '岭南天地尚苑 2室2厅 240万', '岭南天地尚苑  | 2室2厅 | 109.06平米 | 南 | 其他', '高楼层(共42层)2015年建塔楼  -  祖庙', '240万', '单价22007元/平米')
('https://image1.ljcdn.com/440600-inspection/2c1a5a59-ab02-40a5-a692-7331d8f67f27.jpg.296x216.jpg', '名汇大厦 实用三房', '名汇大厦  | 3室2厅 | 119平米 | 东南 | 其他', '高楼层(共28层)2002年建塔楼  -  祖庙', '196万', '单价16471元/平米')
('https://image1.ljcdn.com/440600-inspection/c58ed1e1-e571-4689-992a-342c401857b6.jpg.296x216.jpg', '保利天玺 一房一厅出售', '保利天玺  | 1室1厅 | 48平米 | 北 | 其他', '低楼层(共31层)2013年建塔楼  -  岭南大道', '68万', '单价14167元/平米')
('', '保利香槟花园 B区', '保利香槟花园公寓  | 1室1厅 | 40平米 | 东 | 简装', '低楼层(共17层)塔楼  -  张槎', '40万', '单价10000元/平米')
('https://image1.ljcdn.com/440600-inspection/36005006-f2c8-4f1a-909c-99c13fdfba67.jpg.296x216.jpg', '科秦君御华府 1室1厅 42万', '科秦君御华府  | 1室1厅 | 39平米 | 南 | 其他', '中楼层(共21层)2013年建塔楼  -  南桂西', '42万', '单价10770元/平米')
('https://image1.ljcdn.com/440600-inspection/f8a4707c-54a3-4465-ab05-0ec9062cbcf1.jpg.296x216.jpg', '玫瑰西路 实用三房', '玫瑰西路散盘  | 3室2厅 | 124平米 | 南 北 | 简装', '中楼层(共8层)塔楼  -  绿景', '138万', '单价11130元/平米')
('https://image1.ljcdn.com/440600-inspection/7d453450-7c22-42ba-b08a-1be318ebece4.jpg.296x216.jpg', '岭南天地尚苑 2室2厅 230万', '岭南天地尚苑  | 2室2厅 | 109平米 | 西南 | 其他', '低楼层(共42层)2015年建塔楼  -  祖庙', '230万', '单价21101元/平米')
('https://image1.ljcdn.com/440600-inspection/7d9f8fc1-ebdd-4f45-afd2-bf0d7d63572f.jpg.296x216.jpg', '滨海御庭 1房1厅 40万元', '滨海御庭  | 1室1厅 | 29平米 | 东 | 其他', '中楼层(共32层)2008年建塔楼  -  澜石', '45万', '单价15518元/平米')
('https://image1.ljcdn.com/440600-inspection/184b45ad-1ca0-479c-8792-4c4e4d0e5d30.jpg.296x216.jpg', '慧港国际 1室1厅 35万', '慧港国际  | 1室1厅 | 42平米 | 南 北 | 其他', '中楼层(共30层)2008年建塔楼  -  澜石', '35万', '单价8334元/平米')
('https://image1.ljcdn.com/440600-inspection/88b16c53-cfc4-4b6a-8b79-e84c7eb0716c.jpg.296x216.jpg', '时代云图 一手转名公寓出售', '时代云图苑  | 1室1厅 | 48.3平米 | 南 | 其他', '高楼层(共30层)2015年建塔楼  -  朝安', '84.2万', '单价17415元/平米')
('https://image1.ljcdn.com/440600-inspection/e8553b0b-e906-46ce-a299-f15121dae925.JPG.296x216.jpg', '凯德瀚城 3室2厅 210万', '凯德瀚城  | 3室2厅 | 90平米 | 东南 | 精装', '中楼层(共11层)2005年建板塔结合  -  魁奇', '210万', '单价23334元/平米')
('https://image1.ljcdn.com/440600-inspection/b54bf064-c6f2-453c-bbd4-5c5a47f525f2.jpg.296x216.jpg', '泷景花园 电梯洋房', '泷景花园  | 2室2厅 | 88.9平米 | 东北 | 精装', '高楼层(共39层)塔楼  -  澜石', '198万', '单价22273元/平米')
('https://image1.ljcdn.com/440600-inspection/0f12a972-4de7-4eb6-bb60-5b2c7bafdd6e.jpg.296x216.jpg', '文华尚领 装修新净 成熟小区', '文华尚领  | 2室1厅 | 68平米 | 北 | 简装', '中楼层(共19层)2012年建塔楼  -  南桂西', '95万', '单价13971元/平米')
('', '凯德城脉 1室1厅 60万', '凯德城脉  | 1室1厅 | 35.42平米 | 南 | 其他', '低楼层(共26层)2015年建塔楼  -  魁奇', '60万', '单价16940元/平米')
('https://image1.ljcdn.com/440600-inspection/6235c01c-ca82-4059-ac2f-216efaa0afdd.jpg.296x216.jpg', '保利香槟花园公寓 1室1厅 32万', '保利香槟花园公寓  | 1室1厅 | 40平米 | 东 | 其他', '高楼层(共17层)塔楼  -  张槎', '32万', '单价8000元/平米')
('https://image1.ljcdn.com/440600-inspection/f4acf994-c184-49d9-a578-51885ac3e4a7.jpg.296x216.jpg', '玫瑰园 2房2厅 150万元', '玫瑰园  | 2室2厅 | 96.4平米 | 南 | 精装', '中楼层(共7层)2001年建塔楼  -  绿景', '150万', '单价15561元/平米')
('https://image1.ljcdn.com/440600-inspection/c3dfe040-19a8-477e-be9c-6d7b5966c13e.jpg.296x216.jpg', '沿海馨庭 装修三房 南向望江', '沿海馨庭  | 3室2厅 | 93平米 | 南 | 其他', '高楼层(共30层)2013年建塔楼  -  澜石', '300万', '单价32259元/平米')
('https://image1.ljcdn.com/440600-inspection/c5a8142e-ce6e-4354-8d89-548abb70f445.jpg.296x216.jpg', '千色汇商业广场 1室0厅 37万', '千色汇商业广场  | 1室0厅 | 31.5平米 | 南 | 其他', '低楼层(共31层)2015年建塔楼  -  张槎', '37万', '单价11747元/平米')
('https://image1.ljcdn.com/440600-inspection/1a66a13e-a9f7-4a99-a3d6-f50b81342026.jpg.296x216.jpg', '时代云图 一手转名公寓出售', '时代云图苑  | 1室1厅 | 48.06平米 | 南 | 其他', '高楼层(共30层)2015年建塔楼  -  朝安', '84.2万', '单价17502元/平米')
('https://image1.ljcdn.com/440600-inspection/5dc24a05-a5e8-4f55-8c36-e6107a8169f9.JPG.296x216.jpg', '怡翠玫瑰园 3室2厅 246万', '怡翠玫瑰园  | 3室2厅 | 123平米 | 北 | 其他', '高楼层(共15层)2004年建塔楼  -  湖景', '246万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/369e0515-b7eb-4ce4-9415-cec3021e6544.jpg.296x216.jpg', '天御尚城 毛坯两房', '天御尚城  | 2室2厅 | 91平米 | 南 北 | 其他', '中楼层(共24层)2010年建塔楼  -  绿景', '172万', '单价18902元/平米')
('https://image1.ljcdn.com/440600-inspection/686c76f4-b459-4fc5-acd0-52983d5008e9.jpg.296x216.jpg', '华强广场 装修出售', '华强广场  | 1室1厅 | 47.41平米 | 南 | 其他', '中楼层(共23层)2018年建塔楼  -  福升', '46万', '单价9703元/平米')
('', '白燕街小区 2室2厅 95万', '白燕街小区  | 2室2厅 | 81.85平米 | 南 | 其他', '中楼层(共8层)1992年建塔楼  -  亲仁', '95万', '单价11607元/平米')
('https://image1.ljcdn.com/440600-inspection/d92beadf-b3af-4b23-aa40-99622a91e76b.jpg.296x216.jpg', '尚辉苑 单间公寓', '尚辉苑  | 1室0厅 | 26.19平米 | 西南 | 简装', '低楼层(共11层)2002年建塔楼  -  南桂西', '40万', '单价15274元/平米')
('https://image1.ljcdn.com/440600-inspection/1abe6b7e-d7f2-40eb-ad3c-cd8dc1eb6e16.jpg.296x216.jpg', '万通国际 交通便利', '万通国际  | 2室2厅 | 31.48平米 | 东 南 | 其他', '高楼层(共30层)2015年建塔楼  -  澜石', '47.3万', '单价15000元/平米')
('https://image1.ljcdn.com/440600-inspection/49f61bc8-0b0f-44b8-b0c4-58e7da55763d.JPG.296x216.jpg', '柠檬时代 1室1厅 60万', '柠檬时代  | 1室1厅 | 40平米 | 东 西 | 其他', '高楼层(共17层)2010年建塔楼  -  南桂西', '60万', '单价15000元/平米')
('https://image1.ljcdn.com/440600-inspection/497895b6-2934-4ee1-ba77-24c729736b9f.jpg.296x216.jpg', '时代云图 一手转名公寓出售', '时代云图苑  | 1室1厅 | 48.3平米 | 南 | 其他', '高楼层(共30层)2015年建塔楼  -  朝安', '70万', '单价14493元/平米')
('https://image1.ljcdn.com/440600-inspection/93d9004e-bb96-4651-bed7-e4ccb0866104.jpg.296x216.jpg', '滨海御庭 1房1厅 45万元', '滨海御庭  | 1室1厅 | 29平米 | 西 | 其他', '低楼层(共32层)2008年建塔楼  -  澜石', '48万', '单价16552元/平米')
('https://image1.ljcdn.com/440600-inspection/74687729-c4fa-437a-960e-bc2bd7ef7ad0.jpg.296x216.jpg', '东海银湾 配套成熟 交通方便', '长信东海银湾  | 1室1厅 | 39平米 | 南 西 | 其他', '高楼层(共31层)2015年建塔楼  -  朝安', '68万', '单价17436元/平米')
('', '保利香槟花园 1室0厅 60万', '保利香槟花园  | 1室0厅 | 40平米 | 北 | 精装', '高楼层(共16层)2012年建塔楼  -  张槎', '60万', '单价15000元/平米')
('https://image1.ljcdn.com/440600-inspection/5265b408-6a12-40f1-a77b-93ddeb13bd23.jpg.296x216.jpg', '柠檬时代 电梯公寓', '柠檬时代  | 1室1厅 | 40平米 | 西北 | 其他', '高楼层(共16层)2009年建塔楼  -  南桂西', '65万', '单价16250元/平米')
('https://image1.ljcdn.com/440600-inspection/797eb4c1-8e49-4b8c-b483-54b625c1cbe9.jpg.296x216.jpg', '宇翠庭小区 电梯两房出售', '宇翠庭  | 2室2厅 | 96.14平米 | 东北 | 其他', '高楼层(共11层)2009年建塔楼  -  祖庙', '173.1万', '单价18000元/平米')
('https://image1.ljcdn.com/440600-inspection/f83d48bb-769d-4e87-b7e8-abe24403bfa5.jpg.296x216.jpg', '保利香槟花园公寓 1室1厅 30万', '保利香槟花园公寓  | 1室1厅 | 40平米 | 西 | 其他', '低楼层(共17层)塔楼  -  张槎', '30万', '单价7500元/平米')
('https://image1.ljcdn.com/440600-inspection/cbcb275b-44da-46ee-980a-5e87b37b45bb.jpg.296x216.jpg', '时代云图 一手转名公寓出售', '时代云图苑  | 1室1厅 | 48.3平米 | 南 | 其他', '高楼层(共30层)2015年建塔楼  -  朝安', '70万', '单价14493元/平米')
('https://image1.ljcdn.com/440600-inspection/f82aac00-a901-4b63-afc7-3368af774616.jpg.296x216.jpg', '天御尚城  实用3房 交通方便', '天御尚城  | 3室2厅 | 105.61平米 | 南 | 其他', '低楼层(共30层)2010年建塔楼  -  绿景', '252万', '单价23862元/平米')
('https://image1.ljcdn.com/440600-inspection/1bc9e7f9-8dcd-427b-955e-ffadbbe0a459.jpg.296x216.jpg', '万通国际 单间公寓', '万通国际  | 1室1厅 | 38.03平米 | 东 | 其他', '低楼层(共30层)2015年建塔楼  -  澜石', '49万', '单价12885元/平米')
('', '鸿业城市花园 2室2厅 159.6万', '鸿业城市花园  | 2室2厅 | 70平米 | 南 | 其他', '低楼层(共25层)2011年建塔楼  -  湖景', '159.6万', '单价22800元/平米')
('https://image1.ljcdn.com/440600-inspection/d03a5f83-23e3-4946-b45e-c1683c348ccc.jpg.296x216.jpg', '利豪名郡 办公室格局', '利豪名郡  | 1室1厅 | 85.51平米 | 北 | 其他', '低楼层(共17层)2011年建塔楼  -  澜石', '77万', '单价9001元/平米')
('https://image1.ljcdn.com/440600-inspection/648f08a2-2711-4025-9c2b-ffa256892dad.jpg.296x216.jpg', '铂顿国际公寓 1室1厅 115.2万', '铂顿国际公寓  | 1室1厅 | 48平米 | 北 | 其他', '低楼层(共13层)2012年建塔楼  -  祖庙', '115.2万', '单价24000元/平米')
('https://image1.ljcdn.com/440600-inspection/4f80d1cb-ccb6-4830-8d72-77678c914a4b.jpg.296x216.jpg', '碧翠雅轩 1房出售', '碧翠雅轩  | 1室1厅 | 73.46平米 | 南 | 其他', '高楼层(共7层)2003年建塔楼  -  绿景', '70万', '单价9529元/平米')
('https://image1.ljcdn.com/440600-inspection/0d0620d3-75d2-44ec-923d-b9e91f65abe1.jpg.296x216.jpg', '万通国际 单间公寓', '万通国际  | 1室1厅 | 38平米 | 东 | 其他', '低楼层(共30层)2015年建塔楼  -  澜石', '49万', '单价12895元/平米')
('https://image1.ljcdn.com/440600-inspection/330bc2f9-be6a-4ad9-95f4-ba467a9c7eb6.jpg.296x216.jpg', '鸿业大厦 3房出', '鸿业大厦  | 3室2厅 | 125平米 | 西南 | 简装', '中楼层(共31层)1995年建塔楼  -  同济', '158万', '单价12640元/平米')
('https://image1.ljcdn.com/440600-inspection/80659f80-88bb-412d-93e1-abe9eae88b5b.jpg.296x216.jpg', '锦隆花园 一房出售 电梯中层 采光好', '锦隆花园  | 1室1厅 | 61.98平米 | 北 | 简装', '中楼层(共11层)2012年建塔楼  -  福升', '105.4万', '单价17006元/平米')
('https://image1.ljcdn.com/440600-inspection/c4abf6f2-1816-41ec-940f-f6914269d18c.jpg.296x216.jpg', '铂顿国际公寓 1室1厅 115.2万', '铂顿国际公寓  | 1室1厅 | 48平米 | 北 | 其他', '低楼层(共13层)2012年建塔楼  -  祖庙', '115.2万', '单价24000元/平米')
('https://image1.ljcdn.com/440600-inspection/f808fe2d-6b30-45d7-8286-a3e4757605ce.jpg.296x216.jpg', '明福智富广场 电梯公寓', '千色汇商业广场  | 1室1厅 | 31平米 | 北 | 其他', '高楼层(共31层)2015年建塔楼  -  张槎', '40万', '单价12904元/平米')
('', '弼塘街 2室2厅 108万', '弼塘街  | 2室2厅 | 108平米 | 南 | 其他', '中楼层(共10层)2006年建塔楼  -  石湾', '108万', '单价10000元/平米')
('https://image1.ljcdn.com/440600-inspection/89481678-1ffb-47f9-94f3-049f4eda2b22.jpg.296x216.jpg', '怡翠宏璟 四房两厅 户型方正', '怡翠宏璟  | 4室2厅 | 172平米 | 南 | 毛坯', '低楼层(共17层)2011年建塔楼  -  湖景', '400万', '单价23256元/平米')
('https://image1.ljcdn.com/440600-inspection/b85e6e72-2ea4-4108-b1ce-eb62a17c000e.jpg.296x216.jpg', '碧桂园城市花园 公寓出售', '碧桂园城市花园公寓  | 2室1厅 | 57.92平米 | 西 | 毛坯', '高楼层(共27层)2016年建塔楼  -  澜石', '81.1万', '单价14001元/平米')
('https://image1.ljcdn.com/440600-inspection/f56cc640-176c-4652-87f4-5e3816f3554a.jpg.296x216.jpg', '东海国际花园公寓 1室1厅 38万', '东海国际花园公寓  | 1室1厅 | 40平米 | 北 | 其他', '中楼层(共13层)2014年建塔楼  -  汾江北', '38万', '单价9500元/平米')
('https://image1.ljcdn.com/440600-inspection/10107f8b-aa9f-491b-b7ef-2bb2fe29787a.jpg.296x216.jpg', '宇翠庭 1房1厅 79万元', '宇翠庭  | 1室1厅 | 47平米 | 西 | 简装', '高楼层(共11层)2009年建塔楼  -  祖庙', '79万', '单价16809元/平米')
('https://image1.ljcdn.com/440600-inspection/cddebb93-3409-4620-934e-efd2c6d5af26.jpg.296x216.jpg', '万通国际，精装公寓，配套完善，诚心出售', '万通国际  | 1室0厅 | 39平米 | 西 | 精装', '中楼层(共30层)2015年建塔楼  -  澜石', '50万', '单价12821元/平米')
('', '新风大厦 2室2厅 87万', '新风大厦  | 2室2厅 | 58平米 | 北 | 其他', '中楼层(共6层)2004年建板楼  -  祖庙', '87万', '单价15000元/平米')
('https://image1.ljcdn.com/440600-inspection/b53d31df-202e-4ebd-b334-b9207c97838a.jpg.296x216.jpg', '利毫名郡 户型方正', '利豪名郡  | 1室1厅 | 90平米 | 北 | 其他', '高楼层(共17层)2011年建塔楼  -  澜石', '88万', '单价9778元/平米')
('https://image1.ljcdn.com/440600-inspection/df55b32b-a958-4125-a2d0-a66b59a015d6.jpg.296x216.jpg', '东海国际花园公寓 装修新净套间', '东海国际花园公寓  | 1室0厅 | 33平米 | 南 | 其他', '高楼层(共16层)2014年建塔楼  -  汾江北', '45万', '单价13637元/平米')
('https://image1.ljcdn.com/440600-inspection/46525925-ae8a-4309-8cbd-f50f1734af8d.jpg.296x216.jpg', '东海国际花园公寓 1室1厅 38万', '东海国际花园公寓  | 1室1厅 | 40平米 | 北 | 其他', '中楼层(共13层)2014年建塔楼  -  汾江北', '38万', '单价9500元/平米')
('https://image1.ljcdn.com/440600-inspection/4e8bc378-6c92-47b3-b590-da9c11e7d37f.jpg.296x216.jpg', '九鼎国际 单间公寓', '九鼎国际城  | 1室1厅 | 28平米 | 西 | 其他', '中楼层(共29层)2010年建塔楼  -  朝安', '30万', '单价10715元/平米')
('https://image1.ljcdn.com/440600-inspection/6273c55c-d690-494f-b0b4-1857a193e7b2.jpg.296x216.jpg', '保利天玺 1室0厅 58万', '保利天玺  | 1室0厅 | 36.8平米 | 东南 | 其他', '高楼层(共31层)2013年建塔楼  -  岭南大道', '58万', '单价15761元/平米')
('', '碧桂园城市花园南区 3室2厅 218万', '碧桂园城市花园南区  | 3室2厅 | 106平米 | 西 | 其他', '中楼层(共29层)2013年建板塔结合  -  澜石', '218万', '单价20567元/平米')
('https://image1.ljcdn.com/440600-inspection/6bdc1d94-c444-4b3f-b00b-562daba904a6.jpg.296x216.jpg', '金澜新村 小方数住宅', '金澜新村  | 1室1厅 | 33平米 | 南 | 简装', '高楼层(共8层)塔楼  -  魁奇', '36万', '单价10910元/平米')
('https://image1.ljcdn.com/440600-inspection/3cacdedf-0c12-4ec2-88aa-16d87292e714.jpg.296x216.jpg', '御璟上院 1室0厅 60万', '御璟上院  | 1室0厅 | 35.66平米 | 东南 | 其他', '中楼层(共10层)2011年建塔楼  -  石湾', '60万', '单价16826元/平米')
('https://image1.ljcdn.com/440600-inspection/e9c38127-e75c-47cb-a315-2ac745333653.jpg.296x216.jpg', '华强广场 1室0厅 52万', '华强广场  | 1室0厅 | 47.46平米 | 东 | 其他', '中楼层(共23层)2018年建塔楼  -  福升', '52万', '单价10957元/平米')
('https://image1.ljcdn.com/440600-inspection/edb7388c-8368-457e-bb4f-2791218698ad.jpg.296x216.jpg', '慧港国际 2房2厅 位小区中间', '慧港国际  | 1室1厅 | 78平米 | 西南 | 简装', '低楼层(共16层)2008年建塔楼  -  澜石', '93.6万', '单价12000元/平米')
('https://image1.ljcdn.com/440600-inspection/212bba18-2879-49cb-afe9-280ebb872af3.jpg.296x216.jpg', '保利天玺 装修公寓出售', '保利天玺  | 1室0厅 | 36平米 | 西 | 精装', '低楼层(共31层)2013年建塔楼  -  岭南大道', '50万', '单价13889元/平米')
('', '星星华园国际公寓 1室1厅 50万', '星星华园国际公寓  | 1室1厅 | 37.45平米 | 南 | 其他', '低楼层(共31层)塔楼  -  季华', '50万', '单价13352元/平米')
