('https://image1.ljcdn.com/440600-inspection/0f1800d2-f314-450d-845b-3beaa9b01a93.jpg.296x216.jpg', '精装修3房 大阳台 送入户花园 家私电器全送  满五年', '金河水岸  | 3室2厅 | 109.21平米 | 北 | 精装', '中楼层(共26层)2009年建塔楼  -  乐从', '148万', '单价13552元/平米')
('https://image1.ljcdn.com/440600-inspection/8013f2c9-b092-4853-8c9f-8a236ed986cb.jpg.296x216.jpg', '保利东湾东瑞广场 1室1厅 110万', '保利东湾东瑞广场  | 1室1厅 | 59平米 | 东 | 其他', '低楼层(共32层)2013年建塔楼  -  乐从', '110万', '单价18645元/平米')
('https://image1.ljcdn.com/440600-inspection/3ff7474b-19a5-47f9-ab5d-54c7a242d5a9.jpg.296x216.jpg', '碧桂花城 三房二厅 北向单位', '碧桂花城翠湖畔一区  | 3室2厅 | 133平米 | 东南 | 其他', '中楼层(共7层)2001年建塔楼  -  陈村', '235万', '单价17670元/平米')
('https://image1.ljcdn.com/440600-inspection/b4bed4a9-372a-4c1c-ad2c-f60ef611e302.jpg.296x216.jpg', '海琴湾 3室2厅 210万', '海琴湾  | 3室2厅 | 127平米 | 西南 | 精装', '中楼层(共8层)2003年建塔楼  -  大良东区', '210万', '单价16536元/平米')
('https://image1.ljcdn.com/440600-inspection/10d28ba5-62d7-4d2f-b83b-512a8a62e921.JPG.296x216.jpg', '珠江小区 3室2厅 95万', '珠江小区  | 3室2厅 | 111平米 | 东南 | 简装', '高楼层(共7层)1998年建板楼  -  大良中区', '95万', '单价8559元/平米')
('https://image1.ljcdn.com/440600-inspection/cd009684-a6d1-4913-aa35-7adc692724db.jpg.296x216.jpg', '新世界3房出售', '新世界名门天下  | 2室2厅 | 89平米 | 南 | 简装', '低楼层(共29层)2012年建塔楼  -  大良中区', '175万', '单价19663元/平米')
('https://image1.ljcdn.com/440600-inspection/392a558f-67d2-4fac-827b-7ad5180f8378.jpg.296x216.jpg', '佛山新城 金海M-CITY 2房出售', '金海MCITY  | 2室2厅 | 79平米 | 南 | 其他', '中楼层(共52层)2015年建塔楼  -  乐从', '155万', '单价19621元/平米')
('https://image1.ljcdn.com/440600-inspection/e1cb1958-48db-4d15-95c3-3419ac9fca0c.jpg.296x216.jpg', '金威名苑 3室2厅 172万', '金威名苑  | 3室2厅 | 118.25平米 | 西南 | 精装', '17层2005年建板塔结合  -  乐从', '172万', '单价14546元/平米')
('', '顺联新城单间 带装修包家电出售', '顺联新城花园  | 1室1厅 | 39平米 | 北 | 精装', '中楼层(共18层)2010年建板塔结合  -  乐从', '39万', '单价10000元/平米')
('', '金宇名都 2室2厅 73万', '金宇名都  | 2室2厅 | 56.9平米 | 北 | 其他', '高楼层(共21层)2009年建塔楼  -  乐从', '73万', '单价12830元/平米')
('https://image1.ljcdn.com/440600-inspection/ddf95fc7-285c-43a8-bcf9-07fa16fe6d02.jpg.296x216.jpg', '金宇名都 复式一房一厅', '金宇名都  | 1室1厅 | 37.98平米 | 东 | 简装', '低楼层(共21层)2009年建平房  -  乐从', '50万', '单价13165元/平米')
('https://image1.ljcdn.com/440600-inspection/7d85f3b2-efb0-41f8-b9ad-13d483139dc8.jpg.296x216.jpg', '碧桂花城 两房 带装修出售', '碧桂花城泰和苑  | 2室2厅 | 60平米 | 西 | 精装', '高楼层(共7层)2001年建塔楼  -  陈村', '100万', '单价16667元/平米')
('', '北岸美庐 3房出售', '北岸美庐  | 4室2厅 | 131平米 | 南 | 精装', '高楼层(共13层)2015年建塔楼  -  乐从', '196.5万', '单价15000元/平米')
('https://image1.ljcdn.com/440600-inspection/8153a213-a183-4ac0-a733-13e553cdeb6d.jpg.296x216.jpg', '康城尚域尚华苑 2室2厅 158万', '康城尚域尚华苑  | 2室2厅 | 119平米 | 南 | 简装', '高楼层(共7层)2005年建塔楼  -  大良东区', '158万', '单价13278元/平米')
('https://image1.ljcdn.com/440600-inspection/51ab4911-0100-4d63-a029-fae96dafd376.jpg.296x216.jpg', '新世界3房出售', '新世界名门天下  | 1室2厅 | 89平米 | 南 | 其他', '中楼层(共29层)2012年建塔楼  -  大良中区', '160.2万', '单价18000元/平米')
('https://image1.ljcdn.com/440600-inspection/f6af38fa-9593-45eb-a10d-0a627f0f98bc.jpg.296x216.jpg', '怡翠晋盛花园 佛山新城', '怡翠晋盛御园  | 3室2厅 | 109平米 | 东南 | 毛坯', '低楼层(共37层)2017年建塔楼  -  乐从', '220万', '单价20184元/平米')
('https://image1.ljcdn.com/440600-inspection/093266d5-c70f-4a9d-bb58-a7a95458a244.jpg.296x216.jpg', '德盛园 2室2厅 112万', '德盛园  | 2室2厅 | 119平米 | 北 | 其他', '高楼层(共7层)板楼  -  大良南区', '112万', '单价9412元/平米')
('', '碧桂花城 三房两厅', '碧桂花城泰和苑  | 3室2厅 | 107.6平米 | 北 | 精装', '中楼层(共7层)2001年建塔楼  -  陈村', '190万', '单价17658元/平米')
('', '佛罗伦斯尚苑 2室2厅 130万', '佛罗伦斯尚苑  | 2室2厅 | 92.65平米 | 南 | 其他', '高楼层(共18层)2010年建塔楼  -  容桂', '130万', '单价14032元/平米')
('https://image1.ljcdn.com/440600-inspection/75a2c9e8-8e49-4c2d-a790-cb382a328ea7.jpg.296x216.jpg', '紫荆楼 1室1厅1卫', '紫荆楼  | 1室1厅 | 42.68平米 | 西 | 其他', '中楼层(共7层)2002年建板楼  -  乐从', '46万', '单价10778元/平米')
('https://image1.ljcdn.com/440600-inspection/cdafce5c-558f-4b98-a961-93d537f42c1a.jpg.296x216.jpg', '海悦新城 花园小区特色', '海悦新城  | 1室1厅 | 57平米 | 南 | 简装', '中楼层(共18层)2010年建塔楼  -  大良东区', '102万', '单价17895元/平米')
('', '天发花园 南向3房出售', '天发花园二期  | 3室2厅 | 106平米 | 南 | 其他', '中楼层(共8层)1993年建塔楼  -  大良中区', '95万', '单价8963元/平米')
('https://image1.ljcdn.com/440600-inspection/374672bc-c3fc-4683-a89a-f705274cf3ed.jpg.296x216.jpg', '凯蓝名都 6室2厅 189万', '凯蓝名都  | 6室2厅 | 119平米 | 西南 | 毛坯', '高楼层(共17层)2010年建塔楼  -  容桂', '189万', '单价15883元/平米')
('https://image1.ljcdn.com/440600-inspection/fee11d7a-4de5-4080-90aa-2ac4374335c7.jpg.296x216.jpg', '大良佳翠楼 步梯中层简装3居室', '佳翠楼  | 3室2厅 | 99.6平米 | 西北 | 其他', '8层2000年建板塔结合  -  大良中区', '140万', '单价14057元/平米')
('https://image1.ljcdn.com/440600-inspection/9177b2bb-40d7-476e-8a1a-45cee5bad464.jpg.296x216.jpg', '怡翠晋盛 格局方正 实用户型', '怡翠晋盛御园  | 3室2厅 | 91平米 | 南 | 毛坯', '高楼层(共36层)2017年建塔楼  -  乐从', '210万', '单价23077元/平米')
('https://image1.ljcdn.com/440600-inspection/8e07bbaf-e2ca-4952-b9cf-8947fb2c4761.jpg.296x216.jpg', '金海MCITY 1室0厅 80万', '金海MCITY  | 1室0厅 | 43平米 | 北 | 其他', '高楼层(共52层)2015年建塔楼  -  乐从', '80万', '单价18605元/平米')
('', '银骏豪庭 精装修套间', '银骏豪庭  | 1室1厅 | 56平米 | 东北 | 其他', '中楼层(共8层)2008年建塔楼  -  大良西北区', '75万', '单价13393元/平米')
('', '乐从金河水岸 成熟小区', '金河水岸  | 3室2厅 | 117平米 | 南 | 毛坯', '高楼层(共26层)2009年建塔楼  -  乐从', '140万', '单价11966元/平米')
('https://image1.ljcdn.com/440600-inspection/4160325e-5c54-4a50-ac4f-58d88a9dcad5.jpg.296x216.jpg', '天发花园二期 2室1厅 57万', '天发花园二期  | 2室1厅 | 65平米 | 东北 | 简装', '高楼层(共8层)1993年建塔楼  -  大良中区', '57万', '单价8770元/平米')
('https://image1.ljcdn.com/440600-inspection/d5b23d69-6a4b-4bf2-b92c-1ae9e547e5c7.jpg.296x216.jpg', '乐从威斯广场 星际公寓', '威斯广场星际公寓  | 1室1厅 | 60平米 | 西南 | 其他', '中楼层(共15层)2005年建塔楼  -  乐从', '63.8万', '单价10634元/平米')
('', '万邦*广场 天悦公寓 交通便利', '万邦商业广场  | 4室2厅 | 113.54平米 | 南 | 其他', '27层2015年建板塔结合  -  大良东区', '210万', '单价18496元/平米')
('https://image1.ljcdn.com/440600-inspection/b7631040-2163-455f-a7d9-73933060c59d.jpg.296x216.jpg', '海悦新城 3室2厅 245万', '海悦新城  | 3室2厅 | 125平米 | 北 | 其他', '低楼层(共15层)2010年建塔楼  -  大良东区', '245万', '单价19600元/平米')
('https://image1.ljcdn.com/440600-inspection/e44c9929-6039-41d8-b148-23bc4a937776.jpg.296x216.jpg', '新世界1房 交通方便', '新世界名门天下  | 1室1厅 | 66平米 | 南 | 精装', '低楼层(共29层)2012年建塔楼  -  大良中区', '96万', '单价14546元/平米')
('https://image1.ljcdn.com/440600-inspection/5fe81601-39f3-4cc1-ba0b-dae235c2693a.jpg.296x216.jpg', '佛山新城 怡翠晋盛 毛胚3房', '怡翠晋盛御园  | 3室2厅 | 94平米 | 北 | 毛坯', '高楼层(共36层)2017年建塔楼  -  乐从', '200万', '单价21277元/平米')
('https://image1.ljcdn.com/440600-inspection/7c0f0641-9791-481c-9677-e5d37847e66f.jpg.296x216.jpg', '首誉 2室2厅 125万', '首誉  | 2室2厅 | 83.8平米 | 北 | 精装', '低楼层(共6层)2008年建板楼  -  大良西北区', '125万', '单价14917元/平米')
('', '康城花园 小区环境优美', '康城花园牡丹园  | 3室2厅 | 109.6平米 | 南 | 精装', '高楼层(共7层)2004年建塔楼  -  大良东区', '170万', '单价15511元/平米')
('', '嘉兆台 中等装修两房', '嘉信城市广场  | 2室2厅 | 88平米 | 北 | 精装', '中楼层(共13层)2014年建塔楼  -  大良新区', '130万', '单价14773元/平米')
('https://image1.ljcdn.com/440600-inspection/bbdbaf09-370c-4752-b3e8-a39653afe8a7.jpg.296x216.jpg', '顺联新城花园 1室1厅 70万', '顺联新城花园  | 1室1厅 | 50平米 | 南 西南 | 其他', '中楼层(共18层)2010年建板塔结合  -  乐从', '70万', '单价14000元/平米')
('https://image1.ljcdn.com/440600-inspection/a4d7d0f1-ea66-4c6a-a9be-715fcb673e73.jpg.296x216.jpg', '佳翠楼 干净整洁', '佳翠楼  | 3室2厅 | 128平米 | 西 | 简装', '8层2000年建板塔结合  -  大良中区', '153万', '单价11954元/平米')
('', '紫荆南苑 一房 带装修', '紫荆南苑  | 1室1厅 | 43.48平米 | 西南 | 简装', '低楼层(共7层)2005年建板楼  -  乐从', '43万', '单价9890元/平米')
('https://image1.ljcdn.com/440600-inspection/3403b7bb-b0e6-48af-96ea-97799a5d49cc.jpg.296x216.jpg', '敏捷畔海御峰 3室2厅 258万', '敏捷畔海御峰  | 3室2厅 | 123平米 | 南 | 其他', '低楼层(共30层)2019年建塔楼  -  大良东区', '258万', '单价20976元/平米')
('https://image1.ljcdn.com/440600-inspection/0f1ca876-03e6-4540-83f7-df0b0ceee1ff.jpg.296x216.jpg', '威斯广场 2房2厅出售 超高使用率', '威斯广场峰景  | 2室2厅 | 83平米 | 南 北 | 其他', '低楼层(共25层)2005年建塔楼  -  乐从', '120万', '单价14458元/平米')
('https://image1.ljcdn.com/440600-inspection/18742ef4-a4ca-435a-8a05-1bf6d51a7e52.jpg.296x216.jpg', '*豪苑 电梯洋房', '名门豪苑  | 4室2厅 | 154平米 | 东 | 简装', '高楼层(共17层)2007年建塔楼  -  大良东区', '328万', '单价21299元/平米')
('https://image1.ljcdn.com/440600-inspection/739bba3e-4e22-442f-a267-8ba0e59ef780.jpg.296x216.jpg', '雅居乐花园 交通便利', '顺德雅居乐花园  | 3室2厅 | 93平米 | 西南 | 其他', '低楼层(共25层)2011年建塔楼  -  大良南区', '165万', '单价17742元/平米')
('https://image1.ljcdn.com/440600-inspection/16e38830-c78a-4b09-8c56-c799494e2865.jpg.296x216.jpg', '海琴湾 3室2厅 185万', '海琴湾  | 3室2厅 | 122平米 | 东南 | 其他', '中楼层(共8层)2003年建塔楼  -  大良东区', '185万', '单价15164元/平米')
('', '雅居乐花园 带装修3房 高层靓景', '顺德雅居乐花园  | 3室2厅 | 102平米 | 西 | 毛坯', '中楼层(共17层)2011年建塔楼  -  大良南区', '200万', '单价19608元/平米')
('', '嘉信城市花园 带装修三房', '嘉信城市花园三期  | 3室2厅 | 112平米 | 西北 | 其他', '低楼层(共18层)2011年建塔楼  -  大良新区', '177万', '单价15804元/平米')
('https://image1.ljcdn.com/440600-inspection/2d299c3a-7662-47bc-9555-da69059c7c9f.jpg.296x216.jpg', '帝锋国际 电梯楼 单身公寓 10万首付即可拥有一套房子', '帝锋康庭  | 1室0厅 | 32.8平米 | 西 | 简装', '20层2008年建板塔结合  -  乐从', '28.3万', '单价8629元/平米')
('https://image1.ljcdn.com/440600-inspection/cbe90070-d147-4a92-9db9-01c96dbcaaae.jpg.296x216.jpg', '万科水晶城 装修三房', '万科水晶城  | 3室2厅 | 122.68平米 | 北 | 精装', '中楼层(共33层)2012年建塔楼  -  陈村', '240万', '单价19564元/平米')
('', '顺德雅居乐花园 安静舒适', '顺德雅居乐花园  | 3室2厅 | 92平米 | 西南 | 简装', '低楼层(共17层)2011年建塔楼  -  大良南区', '172万', '单价18696元/平米')
('https://image1.ljcdn.com/440600-inspection/202efb87-4782-46be-8ac9-883749106ecf.jpg.296x216.jpg', '威斯广场峰景 2室2厅 113万', '威斯广场峰景  | 2室2厅 | 83平米 | 东北 | 其他', '高楼层(共25层)2005年建塔楼  -  乐从', '113万', '单价13615元/平米')
('https://image1.ljcdn.com/440600-inspection/ab7c31d1-79de-4f5e-b19b-66c931ff76c5.jpg.296x216.jpg', '乐从欧浦皇庭 精装3房 包车位 装修保养好', '欧浦皇庭  | 3室2厅 | 135平米 | 东 西 | 其他', '高楼层(共23层)2011年建塔楼  -  乐从', '250万', '单价18519元/平米')
('https://image1.ljcdn.com/440600-inspection/b93f789c-30ba-4cf6-84eb-ae25fa15ca56.jpg.296x216.jpg', '万邦广场 交通便利', '万邦商业广场  | 2室2厅 | 60.43平米 | 北 | 其他', '27层2015年建板塔结合  -  大良东区', '145万', '单价23995元/平米')
('https://image1.ljcdn.com/440600-inspection/ac744e01-6fd9-4f3d-bad2-9c67ae9d5851.jpg.296x216.jpg', '万科水晶城 小区环境优美', '万科水晶城  | 3室2厅 | 113平米 | 北 | 其他', '高楼层(共33层)2017年建塔楼  -  陈村', '226万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/00c9f7e6-2d30-4cdd-b17f-03bcd080c100.jpg.296x216.jpg', '紫荆楼 3室2厅 140万', '紫荆楼  | 3室2厅 | 107平米 | 东 南 | 简装', '中楼层(共7层)2002年建板楼  -  乐从', '140万', '单价13085元/平米')
('', '康格斯花园 小区管理', '康格斯花园梧桐苑  | 3室2厅 | 129.82平米 | 南 北 | 简装', '低楼层(共18层)2009年建塔楼  -  大良西北区', '169万', '单价13019元/平米')
('https://image1.ljcdn.com/440600-inspection/39941297-efa6-4764-af93-d0748bf59d0b.JPG.296x216.jpg', '水悦城邦 精装单身公寓', '水悦城邦  | 1室1厅 | 50平米 | 西北 | 简装', '中楼层(共22层)2007年建塔楼  -  大良新区', '61万', '单价12200元/平米')
('', '嘉怡阁 交通便利', '嘉怡阁  | 4室2厅 | 123.4平米 | 西南 | 其他', '7层2005年建板塔结合  -  大良北区', '140万', '单价11346元/平米')
('https://image1.ljcdn.com/440600-inspection/4e958cbc-f487-4be9-9e28-a6ff2bc9cac9.jpg.296x216.jpg', '星耀101广场 1室1厅 93万', '星耀101广场  | 1室1厅 | 66.09平米 | 南 | 其他', '中楼层(共21层)2016年建塔楼  -  乐从', '93万', '单价14072元/平米')
('https://image1.ljcdn.com/440600-inspection/907275c7-af04-48e1-9a08-bd19a63b2183.jpg.296x216.jpg', '康城尚域 环境优美', '康城尚域尚晖苑  | 3室2厅 | 156平米 | 东南 | 简装', '高楼层(共7层)2005年建塔楼  -  大良东区', '276万', '单价17693元/平米')
('', '明日公寓 生活配套成熟', '明日华府  | 1室1厅 | 71平米 | 东南 | 精装', '高楼层(共18层)2011年建塔楼  -  大良东区', '136万', '单价19155元/平米')
('https://image1.ljcdn.com/440600-inspection/0667d4bf-805b-4b99-b2cf-14bfdb727143.jpg.296x216.jpg', '星英半岛 3室2厅 153万', '星英半岛  | 3室2厅 | 88平米 | 南 | 其他', '低楼层(共32层)2016年建塔楼  -  陈村', '153万', '单价17387元/平米')
('https://image1.ljcdn.com/440600-inspection/04e97682-0e68-41e7-b304-619921f585e7.jpg.296x216.jpg', '顺德岭岚花园 三房两厅 环境优美', '岭岚花园雍翠轩  | 3室2厅 | 113.7平米 | 东南 | 其他', '高楼层(共7层)2006年建塔楼  -  大良西北区', '142.8万', '单价12560元/平米')
('https://image1.ljcdn.com/440600-inspection/30b729a2-4741-4e42-aa01-c348118a975c.jpg.296x216.jpg', '碧桂花城 三房二厅', '碧桂花城翠湖畔一区  | 3室2厅 | 81平米 | 西 | 其他', '高楼层(共7层)2001年建塔楼  -  陈村', '155万', '单价19136元/平米')
('https://image1.ljcdn.com/440600-inspection/d7c79e7b-3d5e-43c2-9d71-1af8186359ed.jpg.296x216.jpg', '天发花园一期 3室2厅 118万', '天发花园一期  | 3室2厅 | 120平米 | 西南 | 简装', '中楼层(共8层)1999年建塔楼  -  大良中区', '118万', '单价9834元/平米')
('', '碧桂花城 三房两厅', '碧桂花城翠湖畔一区  | 3室2厅 | 95平米 | 西北 | 其他', '中楼层(共7层)2001年建塔楼  -  陈村', '155万', '单价16316元/平米')
('', '龙湖春江名城 3房2厅 180万元', '龙湖春江名城  | 3室2厅 | 99平米 | 东南 | 其他', '中楼层(共39层)2017年建塔楼  -  大良新区', '190万', '单价19192元/平米')
('', '保利中环广场 中汇花园 毛坯四房', '保利中环二期中汇花园  | 4室2厅 | 210平米 | 南 北 | 毛坯', '中楼层(共36层)2016年建塔楼  -  大良新区', '360万', '单价17143元/平米')
('https://image1.ljcdn.com/440600-inspection/16dfe56f-0332-4b94-9d05-07b00e01b803.jpg.296x216.jpg', '星耀101广场 1室1厅 102万', '星耀101广场  | 1室1厅 | 72.53平米 | 南 | 其他', '中楼层(共21层)2016年建塔楼  -  乐从', '102万', '单价14064元/平米')
('https://image1.ljcdn.com/440600-inspection/14b44258-750e-4671-b7db-03b951ac2c8d.jpg.296x216.jpg', '依云水岸 四房出售', '依云水岸三期  | 3室2厅 | 135平米 | 南 | 毛坯', '低楼层(共31层)2011年建塔楼  -  乐从', '300万', '单价22223元/平米')
('', '康格斯 保安巡逻 交通便利', '康格斯花园梧桐苑  | 3室2厅 | 105.86平米 | 西 | 简装', '高楼层(共11层)2009年建塔楼  -  大良西北区', '150万', '单价14170元/平米')
('https://image1.ljcdn.com/440600-inspection/fc341afa-88b0-4959-af0f-628f664470c8.jpg.296x216.jpg', '珠江小区 3室2厅 109万', '珠江小区  | 3室2厅 | 109平米 | 东南 | 其他', '高楼层(共7层)1998年建板楼  -  大良中区', '109万', '单价10000元/平米')
('https://image1.ljcdn.com/440600-inspection/bed1ada1-a6e1-4dfd-9373-073c6a7d4438.jpg.296x216.jpg', '顺德公馆原著 成熟配套', '逸峻闲庭  | 3室2厅 | 126.01平米 | 东北 | 其他', '16层2010年建板塔结合  -  大良南区', '180万', '单价14285元/平米')
('https://image1.ljcdn.com/440600-inspection/6320cf40-c35d-4f66-b699-c520d6cbb8ed.JPG.296x216.jpg', '金沙人家 小区绿化好', '金沙人家花园  | 4室2厅 | 142平米 | 南 | 其他', '高楼层(共18层)2010年建塔楼  -  大良新区', '148万', '单价10423元/平米')
('https://image1.ljcdn.com/440600-inspection/5b55de67-d4d3-4991-8188-46e3c5be0bd6.jpg.296x216.jpg', '宏景楼 3室2厅 130万', '宏景楼  | 3室2厅 | 102平米 | 南 | 其他', '高楼层(共7层)2003年建板楼  -  大良东区', '130万', '单价12746元/平米')
('', '碧桂花城 成熟小区 采光通风良好。', '碧桂花城翠湖畔一区  | 3室2厅 | 68平米 | 东 | 精装', '低楼层(共7层)2001年建塔楼  -  陈村', '170万', '单价25000元/平米')
('https://image1.ljcdn.com/440600-inspection/9452f2aa-1fd7-4e72-854c-a500c8baabac.jpg.296x216.jpg', '万邦商业广场 1室1厅 86万', '万邦商业广场  | 1室1厅 | 43平米 | 东 西 | 毛坯', '27层2015年建板塔结合  -  大良东区', '86万', '单价20000元/平米')
('', '乐信阁 楼梯三房', '乐信阁  | 3室2厅 | 100平米 | 东 | 其他', '高楼层(共8层)2004年建塔楼  -  大良中区', '97万', '单价9700元/平米')
('https://image1.ljcdn.com/440600-inspection/97fd2681-fbdd-4f8a-93ff-ff0689c2204d.jpg.296x216.jpg', '星耀101广场 1室1厅 80万', '星耀101广场  | 1室1厅 | 56.79平米 | 西 | 其他', '中楼层(共21层)2016年建塔楼  -  乐从', '80万', '单价14087元/平米')
('https://image1.ljcdn.com/440600-inspection/d5fcce8e-a0e4-44a5-911d-29e1b2660416.jpg.296x216.jpg', '康城尚域 花园小区', '康城尚域尚雅苑  | 3室2厅 | 107平米 | 南 | 简装', '中楼层(共7层)2005年建塔楼  -  大良东区', '204万', '单价19066元/平米')
('', '海悦新城 精致装修 交通方便', '海悦新城  | 3室2厅 | 103平米 | 东南 | 其他', '低楼层(共11层)2010年建塔楼  -  大良东区', '258万', '单价25049元/平米')
('https://image1.ljcdn.com/440600-inspection/c71500d8-fff9-4c57-af7c-a0eceff7580b.jpg.296x216.jpg', '乐从雅居乐花园 3室2厅 180万', '乐从雅居乐花园  | 3室2厅 | 101平米 | 南 | 精装', '中楼层(共32层)2013年建塔楼  -  乐从', '180万', '单价17822元/平米')
('https://image1.ljcdn.com/440600-inspection/22fc025e-cdd0-417e-b1f3-d94cee40dbcd.jpg.296x216.jpg', '汇成华庭 装修两房', '汇成华庭  | 2室1厅 | 89.27平米 | 东南 | 其他', '高楼层(共16层)2000年建塔楼  -  大良南区', '150万', '单价16803元/平米')
('https://image1.ljcdn.com/440600-inspection/4b22a807-d0f8-4281-a042-885434719ebf.jpg.296x216.jpg', '翠拥庭 实用三房 户型方正', '翠拥豪庭  | 3室2厅 | 110平米 | 西北 | 其他', '中楼层(共8层)2004年建板楼  -  乐从', '130万', '单价11819元/平米')
('https://image1.ljcdn.com/440600-inspection/66f41d55-8773-4660-83d8-18f75acebf20.jpg.296x216.jpg', '金海MCITY 单身套间 全新毛坯 靓景 靓楼层', '金海MCITY  | 1室1厅 | 43.5平米 | 东南 南 | 其他', '低楼层(共52层)2015年建塔楼  -  乐从', '80万', '单价18391元/平米')
('', '顺联新城花园 1室1厅 36.5万', '顺联新城花园  | 1室1厅 | 39.52平米 | 北 | 其他', '中楼层(共18层)2010年建板塔结合  -  乐从', '36.5万', '单价9236元/平米')
('', '顺德日高卡卡 楼梯中层 望花园', '日高卡卡  | 2室1厅 | 68.39平米 | 西南 | 简装', '中楼层(共7层)2010年建塔楼  -  大良西北区', '88万', '单价12868元/平米')
('https://image1.ljcdn.com/440600-inspection/25020201-f439-4992-89a3-f9e396274d76.jpg.296x216.jpg', '府又花园 2室1厅 65万', '府又花园  | 2室1厅 | 70平米 | 南 | 简装', '高楼层(共7层)1998年建板塔结合  -  大良中区', '65万', '单价9286元/平米')
('', '水悦云天 4房出售', '龙光水悦云天  | 4室2厅 | 147平米 | 南 北 | 其他', '低楼层(共22层)2010年建塔楼  -  容桂', '198万', '单价13470元/平米')
('https://image1.ljcdn.com/440600-inspection/192c3b0a-1259-44e3-b822-4790f3568599.jpg.296x216.jpg', '威斯广场 星际公寓', '威斯广场星际公寓  | 1室1厅 | 55平米 | 南 | 简装', '中楼层(共15层)2005年建塔楼  -  乐从', '62万', '单价11273元/平米')
('https://image1.ljcdn.com/440600-inspection/a26bab2b-35ab-4f84-a1f7-c06287e462bf.jpg.296x216.jpg', '顺德雅居乐花园 电梯中层 望花园', '顺德雅居乐花园  | 3室2厅 | 115平米 | 东南 | 其他', '中楼层(共24层)2011年建塔楼  -  大良南区', '215万', '单价18696元/平米')
('', '依云水岸一期 四房两厅 南北通透', '依云水岸一期  | 4室2厅 | 140平米 | 南 北 | 精装', '高楼层(共14层)2013年建塔楼  -  乐从', '408万', '单价29143元/平米')
('https://image1.ljcdn.com/440600-inspection/669be70a-af32-4ed5-935e-956b11c1e26e.jpg.296x216.jpg', '金威名苑 3室2厅 153.699997万', '金威名苑  | 3室2厅 | 128.09平米 | 东南 | 其他', '17层2005年建板塔结合  -  乐从', '153.7万', '单价12000元/平米')
('https://image1.ljcdn.com/440600-inspection/caa45da7-2bac-4d1f-9b63-f0043bf17cbd.jpg.296x216.jpg', '汇成华庭 花园小区', '汇成华庭  | 2室2厅 | 76.55平米 | 北 | 简装', '中楼层(共12层)2005年建板塔结合  -  大良南区', '113万', '单价14762元/平米')
('https://image1.ljcdn.com/440600-inspection/34e102f1-bca3-45cc-8a0a-50e2b5ccc03b.jpg.296x216.jpg', '威斯广场峰景小区 带装修装两房出售', '威斯广场峰景  | 2室2厅 | 78.8平米 | 北 | 其他', '中楼层(共22层)2005年建塔楼  -  乐从', '110万', '单价13960元/平米')
('https://image1.ljcdn.com/440600-inspection/b084a5c3-87eb-48e4-92dd-5205b07e8673.jpg.296x216.jpg', '碧桂花城翠湖畔一区 3室2厅 200万', '碧桂花城翠湖畔一区  | 3室2厅 | 80.9平米 | 西 | 其他', '中楼层(共7层)2001年建塔楼  -  陈村', '200万', '单价24722元/平米')
('', '美的翰城 3室2厅 205万', '美的翰城  | 3室2厅 | 104.17平米 | 北 | 毛坯', '中楼层(共27层)2014年建塔楼  -  北滘', '205万', '单价19680元/平米')
('', '星英半岛 三房两厅', '星英半岛  | 3室2厅 | 88.06平米 | 南 | 毛坯', '高楼层(共32层)2016年建塔楼  -  陈村', '165万', '单价18738元/平米')
('https://image1.ljcdn.com/440600-inspection/b33e5141-03c6-4f40-a0b6-72652e9b0c4e.jpg.296x216.jpg', '银骏豪庭 1室1厅 53万', '银骏豪庭  | 1室1厅 | 40.28平米 | 西南 | 简装', '中楼层(共8层)2008年建塔楼  -  大良西北区', '53万', '单价13158元/平米')
('', '凯茵花园 实用三房', '凯茵花园  | 3室2厅 | 130平米 | 东 | 其他', '中楼层(共27层)2016年建塔楼  -  勒流', '180万', '单价13847元/平米')
('https://image1.ljcdn.com/440600-inspection/26af0db7-cf4b-484b-98fe-7a480a19ff3c.jpg.296x216.jpg', '威斯广场 1房1厅 53万元', '威斯广场星际公寓  | 1室1厅 | 52.33平米 | 东南 | 简装', '中楼层(共15层)2005年建塔楼  -  乐从', '70万', '单价13377元/平米')
('https://image1.ljcdn.com/440600-inspection/12e27516-9c25-4707-a2ea-d86a53b71946.jpg.296x216.jpg', '精美新装修', '上品轩  | 3室2厅 | 132平米 | 东 | 精装', '39层2014年建板塔结合  -  大良中区', '278.1万', '单价21069元/平米')
('', '万科水晶城 配套成熟 交通便利', '万科水晶城  | 4室2厅 | 189平米 | 东北 | 精装', '低楼层(共33层)2012年建塔楼  -  陈村', '380万', '单价20106元/平米')
('https://image1.ljcdn.com/440600-inspection/f15728ac-4312-4181-ba8d-8b6d42b7f7db.jpg.296x216.jpg', '府又祥兴苑 2室2厅 130万', '府又祥兴苑  | 2室2厅 | 117平米 | 东 西 | 其他', '中楼层(共7层)板楼  -  大良东区', '130万', '单价11112元/平米')
('https://image1.ljcdn.com/440600-inspection/3b87f188-cc1c-4666-8150-395bf9bc8b21.jpg.296x216.jpg', '双子星 小区管理', '广域双子星  | 3室2厅 | 94平米 | 南 | 毛坯', '中楼层(共9层)2019年建塔楼  -  大良东区', '160万', '单价17022元/平米')
