('https://image1.ljcdn.com/shfdfs-image/20170513/541a8d1f-99cd-4d95-844a-58e16d808346.jpg.296x216.jpg', '内环内 05年次新小区 小户型电梯房 房型正气两室两厅', '中兴财富国际公寓  | 2室2厅 | 79.48平米 | 东南 | 精装 | 有电梯', '低楼层(共34层)2005年建板楼  -  不夜城', '548万', '单价68949元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/2ec7f2b1-46c1-49cf-be54-3c93cad0005f.png.280x210.jpg', '1号线共康站，二楼，满五唯一，诚意出售', '平保小区  | 1室0厅 | 37.84平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1993年建板楼  -  彭浦', '180万', '单价47569元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/9537b1ce-9866-447f-b47d-104b3bd52196.png.280x210.jpg', '卧室朝南+阳台，厨房、卫生间全明，阳光从早晒到晚', '通阁小区  | 1室0厅 | 40平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1991年建板楼  -  西藏北路', '253万', '单价63250元/平米')
('https://image1.ljcdn.com/310000-inspection/6bd32c54-8f29-4e52-b024-d768fbb042c4.jpg.296x216.jpg', '龙潭小区 2室1厅 280万', '龙潭小区  | 2室1厅 | 49.94平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1996年建板楼  -  阳城', '280万', '单价56068元/平米')
('https://image1.ljcdn.com/310000-inspection/test-65b99096-7308-4af7-9bf6-b20fa5e1eab4.png.296x216.jpg', '成亿花园 2室2厅 530万', '成亿花园  | 2室2厅 | 96.3平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2003年建板楼  -  永和', '530万', '单价55037元/平米')
('https://image1.ljcdn.com/310000-inspection/0d41d799-399b-430c-b775-fd29284cf8e1.JPG.296x216.jpg', '三泉路332弄 边套全明 采光好 地铁近房东诚意出售', '三泉路332弄  | 1室1厅 | 44.04平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1990年建板楼  -  彭浦', '200万', '单价45414元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/e6b5c96b-5cdb-4e82-81d9-9b713bcd5993.png.280x210.jpg', '临汾路1515弄 1室1厅 180万', '临汾路1515弄  | 1室1厅 | 37.35平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  彭浦', '180万', '单价48193元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170502/c0205025-8fa8-4cb1-8679-f674b8f2c1f9.jpg.296x216.jpg', '满五唯一，电梯房，全明两房一厅，好楼层，栋座位置好', '星纪花苑  | 2室1厅 | 73.92平米 | 南 | 简装 | 有电梯', '中楼层(共15层)1996年建塔楼  -  彭浦', '370万', '单价50055元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload2c040082-cb90-4aa7-9cb7-773dec16ed8b.jpg.296x216.jpg', '西藏北路1103弄 8号线地铁 满五唯一税少 诚意售', '西藏北路1103弄  | 2室1厅 | 60平米 | 南 北 | 精装 | 无电梯', '高楼层(共5层)1984年建板楼  -  西藏北路', '405万', '单价67500元/平米')
('https://image1.ljcdn.com/310000-inspection/test-bcf213fa-28a2-4896-a497-e11fc3615542.png.296x216.jpg', '新《品质小区》《南北直通》《配套成熟》《产权车位》', '象屿大宁悦府  | 2室2厅 | 88.34平米 | 南 北 | 精装', '中楼层(共18层)2016年建板楼  -  彭浦', '760万', '单价86032元/平米')
('https://image1.ljcdn.com/310000-inspection/cd51b96f-3a75-4f7a-bb71-6b01419d99fd.jpg.296x216.jpg', '大宁路660弄 2室1厅 525万', '大宁路660弄  | 2室1厅 | 69.35平米 | 东南 | 精装 | 有电梯', '中楼层(共12层)1993年建塔楼  -  大宁', '525万', '单价75703元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/c6dd3bb9-631a-4982-9008-9561573065e6.png.280x210.jpg', '地铁3号+4号线，宝山路站，正规一房', '奔腾新干线  | 1室0厅 | 41平米 | 东南 | 简装 | 有电梯', '低楼层(共32层)塔楼  -  西藏北路', '300万', '单价73171元/平米')
('https://image1.ljcdn.com/310000-inspection/test-6a89a5fd-3507-4218-9d49-cdd1bc9e08bf.png.296x216.jpg', '粤秀苑 新挂牌小户型 业主诚意出售 看房方便 价格可谈', '粤秀苑  | 1室1厅 | 41.11平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1996年建板楼  -  大宁', '360万', '单价87570元/平米')
('https://image1.ljcdn.com/310000-inspection/c43a9bd1-ceb0-4ea6-bb4b-9a956154bae9.JPG.296x216.jpg', '彭新小区 2室1厅 340万', '彭新小区  | 2室1厅 | 76.42平米 | 南 | 其他', '低楼层(共10层)板楼  -  彭浦', '340万', '单价44491元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/022d1d12-c9a4-4466-a975-4dc5a15bb0e4.png.280x210.jpg', '彭浦新村婚房新装修一室户，直接拎包入住', '彭顺小区  | 1室0厅 | 37.79平米 | 南 | 其他 | 无电梯', '高楼层(共6层)板楼  -  彭浦', '188万', '单价49749元/平米')
('https://image1.ljcdn.com/310000-inspection/495c77a8-50da-4946-92d1-82a002687d52.JPG.296x216.jpg', '翔前小区 1室1厅 218万', '翔前小区  | 1室1厅 | 43.56平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)1991年建板楼  -  永和', '218万', '单价50046元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/00e671a7-e039-43ad-b65a-b0ecdcd6e539.png.280x210.jpg', '房东急售！置换房子，房子已看中，满五唯一', '彭顺小区  | 1室1厅 | 46.75平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1990年建板楼  -  彭浦', '210万', '单价44920元/平米')
('https://image1.ljcdn.com/310000-inspection/947601d6-17e7-4b8a-bca4-d29d137d9b41.jpg.296x216.jpg', '宝联小区 2室1厅 590万', '宝联小区  | 2室1厅 | 82.24平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1998年建板楼  -  大宁', '590万', '单价71742元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload08c0e5ed-2f74-4130-a9c2-0f212cb92f46.jpg.296x216.jpg', '静安区、阳城花园、满五年、税费少、看房方便、提前约', '阳城花园  | 3室2厅 | 129.5平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2001年建板楼  -  阳城', '880万', '单价67954元/平米')
('https://image1.ljcdn.com/310000-inspection/test-caf44fe3-1a26-4c31-b9cb-c9c71537cc15.png.296x216.jpg', '边套全明小区靠花园位置，前无遮挡采光好', '万荣小区  | 2室1厅 | 55.11平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1996年建板楼  -  阳城', '335万', '单价60788元/平米')
('https://image1.ljcdn.com/310000-inspection/test-99c422e7-d4c0-4ada-bb9a-0d9975a9ef1d.png.296x216.jpg', '阳城书院，电梯房，南北通透，满五唯一', '阳城书院  | 2室2厅 | 92.53平米 | 南 | 简装 | 有电梯', '中楼层(共14层)2005年建板楼  -  阳城', '635万', '单价68627元/平米')
('https://image1.ljcdn.com/310000-inspection/test-13950e47-91a7-4d3b-a916-19f4b7de364f.png.296x216.jpg', '高品质小区，高区精装一房，视野开阔，全天采光，满五', '慧芝湖花园  | 1室2厅 | 72.51平米 | 南 | 精装 | 有电梯', '高楼层(共22层)2007年建板楼  -  大宁', '660万', '单价91022元/平米')
('https://image1.ljcdn.com/310000-inspection/test-998a802e-8d28-4237-8fb8-80d4fc5f936d.png.296x216.jpg', '静安区+近地铁+婚房装修40万+产权清晰+全明户型+通风', '场中路2601弄  | 2室2厅 | 76.08平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1994年建板楼  -  彭浦', '370万', '单价48634元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/efc23c3c-6093-487b-ad60-2accfe95e2e7.png.280x210.jpg', '翔前小区 1室1厅 196万', '翔前小区  | 1室1厅 | 45.69平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1994年建板楼  -  永和', '196万', '单价42898元/平米')
('https://image1.ljcdn.com/310000-inspection/test-656436aa-7c41-445a-998b-6e0ffcd74a0d.png.296x216.jpg', '华盛大楼 2室1厅 338万', '华盛大楼  | 2室1厅 | 51.48平米 | 北 | 简装 | 有电梯', '中楼层(共14层)塔楼  -  不夜城', '338万', '单价65657元/平米')
('https://image1.ljcdn.com/310000-inspection/94e78967-88ed-41a5-bb7f-0ac876d7632c.jpg.296x216.jpg', '03年次新房，内环刚需，满五年税少，拎包入住', '共和大厦(公寓)  | 2室1厅 | 88.83平米 | 东南 | 其他 | 有电梯', '低楼层(共24层)2003年建塔楼  -  不夜城', '518万', '单价58314元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/ab6b75a9-3c4d-4107-8449-a9aef98f92b2.png.280x210.jpg', '慧芝湖花园 双南两房 精装自住 满五年 装修好', '慧芝湖花园  | 2室2厅 | 88.5平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2009年建板楼  -  大宁', '800万', '单价90396元/平米')
('https://image1.ljcdn.com/310000-inspection/431c6db4-806f-4e93-ae6a-e91f19c7b306.jpg.296x216.jpg', '业主置换看中新房 价格可以谈 内环8号线精装朝南一房', '通阁小区  | 1室1厅 | 47.64平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1994年建板楼  -  西藏北路', '300万', '单价62973元/平米')
('https://image1.ljcdn.com/310000-inspection/test-202818e4-0119-41ad-b3e2-f673bbb32062.png.296x216.jpg', '天道俪晶 小户型 总价低 房型正气 高区景观', '天道俪晶国际公寓  | 1室1厅 | 45.62平米 | 北 | 简装 | 有电梯', '高楼层(共31层)塔楼  -  不夜城', '253万', '单价55459元/平米')
('https://image1.ljcdn.com/310000-inspection/79a047a4-e307-4e8f-8fae-1049c7ff7dbe.jpg.296x216.jpg', '粤秀苑 正气板房 大两房 可改成三房 业主诚意出售', '粤秀苑  | 2室2厅 | 90.69平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1998年建板楼  -  大宁', '560万', '单价61749元/平米')
('https://image1.ljcdn.com/310000-inspection/a934ba6f-3945-4511-9172-c8dad8cf14b9.jpg.296x216.jpg', '近地铁3/4号线  交通便利 配套成熟  房东诚意卖房', '通源小区  | 2室0厅 | 48.66平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1984年建板楼  -  西藏北路', '330万', '单价67818元/平米')
('https://image1.ljcdn.com/310000-inspection/0b35b1f8-032f-4e3c-b872-592acbc658c1.jpg.296x216.jpg', '业主诚意出售 看房随时繁华地段交通便利 总价低电梯房', '普善新苑  | 2室2厅 | 76.03平米 | 西南 | 简装 | 有电梯', '中楼层(共18层)1995年建塔楼  -  大宁', '450万', '单价59188元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160828/5280b0df-f9aa-4e49-8409-f1060d3d0100.jpg.296x216.jpg', '四楼 大三房 灵石公园 一梯两户 品质小区 满五唯一', '嘉茵苑  | 3室2厅 | 120.57平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1998年建板楼  -  大宁', '698万', '单价57892元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170306/31b7e51f-12d8-4f3b-91e8-e1b8c5470469.jpg.296x216.jpg', '共和新路970弄 1室1厅 262万', '共和新路970弄  | 1室1厅 | 45.73平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1964年建板楼  -  不夜城', '262万', '单价57293元/平米')
('https://image1.ljcdn.com/x-se/shfdfs-image/20161229/a09e98de-9999-4382-b09a-17d26ca8db06.jpg.280x210.jpg', '统北村2房，地铁1号线好房，南北通透，全明户型', '统北村  | 2室1厅 | 54.15平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1985年建板楼  -  不夜城', '320万', '单价59096元/平米')
('https://image1.ljcdn.com/310000-inspection/test-3dcc485e-00be-4e80-95a1-fdc3e92b913e.png.296x216.jpg', '内中环，临地铁，繁华地段，高区景观房，单价5.5万', '普善新苑  | 2室2厅 | 93.99平米 | 东南 | 简装 | 有电梯', '高楼层(共24层)1999年建塔楼  -  大宁', '515万', '单价54794元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload3ebad2cd-c5d8-4dcc-859c-3a2f58b8e6b3.JPG.296x216.jpg', '品质小区电梯房，单价低，总价低双南精装你值得拥有', '星城花苑  | 2室1厅 | 61.36平米 | 南 | 精装 | 有电梯', '低楼层(共13层)1992年建塔楼  -  彭浦', '300万', '单价48892元/平米')
('https://image1.ljcdn.com/310000-inspection/test-2ac16766-8add-47e9-8d83-08658b36f4b5.png.296x216.jpg', '保德路425弄 1室0厅 145万', '保德路425弄  | 1室0厅 | 29.7平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1989年建板楼  -  彭浦', '145万', '单价48822元/平米')
('https://image1.ljcdn.com/310000-inspection/fba6c727-fbf7-4f73-a8d8-4a6c7ea502c0.jpg.296x216.jpg', '紫祥小区 1室1厅 216万', '紫祥小区  | 1室1厅 | 37平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1993年建板楼  -  不夜城', '216万', '单价58379元/平米')
('', '小户型，厨卫全明，楼层好， 满五唯一，', '万荣小区  | 1室1厅 | 39.59平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1994年建板楼  -  阳城', '225万', '单价56833元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171029/46f0c2a9-9d32-46a9-ae2a-d6e56fe54741.jpg.296x216.jpg', '灵广花园  一室一厅  一梯两户   满五唯一  满五唯一', '灵广花园  | 1室1厅 | 68.15平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1997年建板楼  -  不夜城', '462万', '单价67792元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload3c4b80fb-a68f-4e37-9bc7-ee786965f7c3.jpg.296x216.jpg', '电梯房 8号线中兴路 大悦城商圈 西边套 中兴绿地景观', '芷江公寓  | 2室1厅 | 64.14平米 | 南 西 | 精装 | 有电梯', '高楼层(共18层)1996年建塔楼  -  西藏北路', '448万', '单价69848元/平米')
('https://image1.ljcdn.com/310000-inspection/965ff46e-e135-4878-99d1-60f3bb2dab2f.JPG.296x216.jpg', '彭豪公寓 南北两房 大客厅 2房1 免增值税 随时看房', '彭豪公寓  | 2室1厅 | 71.61平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1996年建板楼  -  彭浦', '344万', '单价48038元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160904/e84a8c0d-5204-4a30-a8a1-4a6e0499068a.jpg.296x216.jpg', '顶楼复式18复19复20层  4房朝南带阁楼  满五唯一', '新梅共和城  | 4室2厅 | 144.77平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2003年建板楼  -  大宁', '1150万', '单价79437元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170217/9714cb4b-01b2-426d-9da6-6015b76ee8a7.jpg.296x216.jpg', '边套全明户型，采光无遮挡，精装修，看房随时，诚心卖', '谈家桥路80弄  | 1室1厅 | 40.42平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1990年建板楼  -  大宁', '225万', '单价55666元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/14239b35-2bb7-4e9a-94f2-c64de4efef9a.png.280x210.jpg', '翔前小区 纯毛坯随意装修 边套全明 税费少 看房方便', '翔前小区  | 2室1厅 | 59.11平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)1995年建板楼  -  永和', '240万', '单价40603元/平米')
('https://image1.ljcdn.com/310000-inspection/test-76d1145c-59cc-4053-8360-a6171372f322.png.296x216.jpg', '年轻人的居家品质精装修、售后公房、满五年、房东诚售', '延长小区(闸北)  | 2室0厅 | 44.8平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1981年建板楼  -  大宁', '350万', '单价78125元/平米')
('https://image1.ljcdn.com/310000-inspection/f4efe3a2-41fa-49ea-9c26-39c2e000ba01.JPG.296x216.jpg', '临汾路1515弄 2室1厅 355万', '临汾路1515弄  | 2室1厅 | 75.54平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1996年建板楼  -  彭浦', '355万', '单价46995元/平米')
('https://image1.ljcdn.com/shfdfs-image/20150909/31a0cc5b-8d8e-4df6-b398-a3ace5d680bc.jpg.296x216.jpg', '永和阳光苑 2室2厅 540万', '永和阳光苑  | 2室2厅 | 90.46平米 | 南 | 毛坯 | 有电梯', '低楼层(共11层)2005年建板楼  -  阳城', '540万', '单价59695元/平米')
('https://image1.ljcdn.com/310000-inspection/440f4235-e584-4a5b-8168-917a265db5a7.jpg.296x216.jpg', '紫祥小区 1室1厅 269万', '紫祥小区  | 1室1厅 | 43.11平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1991年建板楼  -  不夜城', '269万', '单价62399元/平米')
('', '兴亚广场(办公楼) 2房间1卫 180万', '兴亚广场(办公楼)  | 1室1厅 | 60.24平米 | 西南 | 简装 | 有电梯', '低楼层(共21层)塔楼  -  西藏北路', '180万', '单价29881元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160613/b47230b8-6037-40fe-b7f6-87aa2655fe17.jpg.296x216.jpg', '沪金大楼 2室1厅 590万', '沪金大楼  | 2室1厅 | 82.65平米 | 南 | 精装 | 有电梯', '中楼层(共26层)1995年建塔楼  -  西藏北路', '590万', '单价71386元/平米')
('https://image1.ljcdn.com/310000-inspection/650a799b-73f0-4c41-b3fe-3b6e357275d8.jpg.296x216.jpg', '中区采光好 地铁房 售后公房免增值税 内环内简装两房', '芷江西路285弄  | 2室0厅 | 44.73平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2000年建板楼  -  不夜城', '280万', '单价62598元/平米')
('https://image1.ljcdn.com/310000-inspection/1e723f04-88ab-421c-b461-d3a1dafdf257.jpg.296x216.jpg', '中兴财富国际公寓 2室2厅 635万', '中兴财富国际公寓  | 2室2厅 | 83.78平米 | 南 北 | 精装 | 有电梯', '高楼层(共34层)2005年建塔楼  -  不夜城', '635万', '单价75794元/平米')
('https://image1.ljcdn.com/310000-inspection/052a362c-0b0f-40bc-9319-235d4986ad6d.JPG.296x216.jpg', '售后公房  精装修 正气 小三房 售后公房 上家税少', '航鹰小区  | 3室2厅 | 78.59平米 | 南 | 精装 | 无电梯', '高楼层(共5层)1986年建板楼  -  彭浦', '410万', '单价52170元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170622/8d0cf387-43e4-4448-80a3-7bcc3b2f9079.jpg.296x216.jpg', '3/4/8号地铁800米内+高区3房+远离高架+看房方便可谈', '精文城上城  | 3室2厅 | 143.62平米 | 南 北 | 精装 | 有电梯', '中楼层(共30层)2004年建板楼  -  西藏北路', '1050万', '单价73110元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/b4b770aa-4f43-4969-8a4b-2afcf9acc39a.png.280x210.jpg', '此房满五唯一，采光充足，诚意出售，随时签约。', '保德路1120弄  | 2室1厅 | 53.94平米 | 暂无数据 | 简装 | 无电梯', '高楼层(共6层)1992年建板楼  -  彭浦', '270万', '单价50056元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload61c961cd-cef0-437a-b0ba-d8bdc29b2ccd.jpg.296x216.jpg', '满五年普通住宅   税费低   交通便利', '象山小区  | 2室1厅 | 53.91平米 | 东 | 精装 | 无电梯', '高楼层(共6层)1977年建板楼  -  西藏北路', '398万', '单价73827元/平米')
('https://image1.ljcdn.com/310000-inspection/816f9302-6062-46cc-8f81-1e4a715bcef1.JPG.296x216.jpg', '新静安，小区环境优美，户型南北通风，一般装修看房约', '闻喜路1223弄  | 1室0厅 | 38.12平米 | 暂无数据 | 其他 | 无电梯', '低楼层(共6层)1990年建板楼  -  彭浦', '170万', '单价44597元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171227/09ca93d4-7b40-4740-8fd9-3088c7067c7b.jpg.296x216.jpg', '满五年唯一+产权清晰+没抵押+没贷款+实验幼儿园', '汾西路400弄  | 2室1厅 | 53平米 | 暂无数据 | 简装 | 无电梯', '高楼层(共6层)1987年建板楼  -  彭浦', '240万', '单价45284元/平米')
('https://image1.ljcdn.com/310000-inspection/999b9b22-348f-4f49-95be-6b41b8ca4a0e.jpg.296x216.jpg', '复元坊 1室1厅 365万', '复元坊  | 1室1厅 | 53.02平米 | 南 | 简装 | 有电梯', '低楼层(共20层)1994年建塔楼  -  西藏北路', '365万', '单价68842元/平米')
('https://image1.ljcdn.com/x-se/hdic-resblock/a4cf5bed-ad4d-4936-bc0f-3109b73e45c8.jpg.296x216.jpg', '中海万锦城(二期) 5房间2卫 530万', '中海万锦城(二期)  | 3室2厅 | 83.46平米 | 东南 | 精装 | 有电梯', '中楼层(共17层)2012年建塔楼  -  不夜城', '530万', '单价63504元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160311/d0ba39a6-23c4-4147-b760-69192a646047.jpg.296x216.jpg', '三泉家园，不带车位，五楼三房。', '三泉家园  | 3室2厅 | 110.83平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2003年建板楼  -  彭浦', '620万', '单价55942元/平米')
('https://image1.ljcdn.com/310000-inspection/34483c5b-6b59-4eeb-96ef-e2f2763032df.JPG.296x216.jpg', '幸福第一公寓 3室2厅 528万', '幸福第一公寓  | 3室2厅 | 99.97平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)1995年建板楼  -  永和', '528万', '单价52816元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b540925a-7fef-491e-a200-e5d0c9b9f504.png.296x216.jpg', '精装两房，总价低，楼层好，采光好，业主诚意出售。', '芷江中路493弄  | 2室1厅 | 44.5平米 | 东 | 精装 | 无电梯', '中楼层(共7层)1992年建板楼  -  西藏北路', '290万', '单价65169元/平米')
('https://image1.ljcdn.com/310000-inspection/58d0f6df-9bd4-49b2-a680-dd72184b6c88.jpg.296x216.jpg', '3.4号线宝山路站地铁口住宅产权，小面积，总价低', '虬江路909弄  | 2室1厅 | 53.5平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1987年建板楼  -  西藏北路', '354万', '单价66169元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170827/73268ccd-1842-4380-aa75-541b21e94bbf.jpg.296x216.jpg', '内环内次新电梯房 总价低 价格看中可谈！', '奔腾新干线  | 1室1厅 | 47.96平米 | 南 | 精装 | 有电梯', '低楼层(共32层)塔楼  -  西藏北路', '370万', '单价77148元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5536fab8-0235-4bc5-ae6e-8f382cf0529b.jpg.296x216.jpg', '地铁10/12线，近外滩和南京东路，苏州河', '联富假日公寓  | 3室2厅 | 91.42平米 | 南 西 | 毛坯 | 有电梯', '中楼层(共24层)2007年建塔楼  -  西藏北路', '740万', '单价80946元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadabcdcb7b-981f-42ed-b1b5-ada32e7a65ac.jpg.296x216.jpg', '高区楼层+视野好+双南卧室采光好+精装修+对口明德校', '新弘国际公寓  | 2室2厅 | 110.97平米 | 南 | 精装 | 有电梯', '高楼层(共28层)2008年建板楼  -  大宁', '930万', '单价83807元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload40ee93f4-1888-420f-8a62-29e65278f10e.jpg.296x216.jpg', '内环内南北大一房，南北通全明，1梯2户，朝南双阳台', '锦福公寓  | 1室1厅 | 66.11平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2004年建板楼  -  不夜城', '529万', '单价80019元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload11d9b971-66cb-40e1-b0f9-50d38c7cfaf9.jpg.296x216.jpg', '景凤小区 1室1厅 205万', '景凤小区  | 1室1厅 | 45.22平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1994年建板楼  -  彭浦', '205万', '单价45334元/平米')
('https://image1.ljcdn.com/310000-inspection/test-03740330-0e81-4351-9416-c8b2535a757f.png.296x216.jpg', '南星小区   小户型，总价低，满五税低，近大悦城', '南星小区  | 1室1厅 | 39.46平米 | 南 | 简装 | 有电梯', '中楼层(共20层)1988年建塔楼  -  西藏北路', '305万', '单价77294元/平米')
('https://image1.ljcdn.com/310000-inspection/5d9de3ac-ac6c-4b08-bba4-65e809160d09.jpg.296x216.jpg', '精装两房 电梯房 满五 动迁房 无增值税 靠 近地铁', '永和家园  | 2室2厅 | 94.5平米 | 南 | 毛坯 | 有电梯', '高楼层(共11层)2008年建板楼  -  永和', '650万', '单价68784元/平米')
('https://image1.ljcdn.com/310000-inspection/8cf0a56c-6b5c-45f6-b70f-5a7275b0aa17.jpg.296x216.jpg', '新上！一楼带天井，看房方便，小区安静位置，婚房装修', '上工新村  | 1室1厅 | 36平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1982年建板楼  -  闸北公园', '280万', '单价77778元/平米')
('https://image1.ljcdn.com/310000-inspection/test-23815806-7f84-49d1-bcb0-f9bb44fac188.png.296x216.jpg', '阳曲小区 2室1厅 326万', '阳曲小区  | 2室1厅 | 73.17平米 | 南 | 其他 | 有电梯', '低楼层(共14层)1992年建塔楼  -  彭浦', '326万', '单价44554元/平米')
('https://image1.ljcdn.com/310000-inspection/6a2c53ee-47a8-4014-bb00-269456fa8a30.jpg.296x216.jpg', '普通住宅，内环内，小面积，总价低，房东诚意出售', '虬江路909弄  | 1室1厅 | 35.7平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1987年建板楼  -  西藏北路', '234万', '单价65547元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171007/b78fe4c0-0ee6-459d-b120-a7881bc72e02.jpg.296x216.jpg', '三泉家园，商品房住宅，五楼三房。', '三泉家园  | 3室2厅 | 125平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2003年建板楼  -  彭浦', '670万', '单价53600元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/fa2acf13-c060-4fe4-9b0c-2b3c1967b6b5.png.280x210.jpg', '航鹰小区 2室1厅 216万', '航鹰小区  | 2室1厅 | 46.77平米 | 南 | 简装 | 无电梯', '高楼层(共4层)1980年建板楼  -  彭浦', '216万', '单价46184元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload41cf19d7-bf84-40fb-9f4d-51cb9e082ad9.JPG.296x216.jpg', '地铁口旁+新静安北海新苑南北两室居+精装全明户型', '北海新苑  | 2室1厅 | 67平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1994年建板楼  -  阳城', '370万', '单价55224元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploaddfc11bd7-9271-49ec-93a0-8543e721740e.jpg.296x216.jpg', '业主置换外区  故此出售 看房随时 随时可签字', '汉中小区  | 1室0厅 | 32.2平米 | 西 | 精装 | 无电梯', '低楼层(共6层)1996年建板楼  -  不夜城', '228万', '单价70808元/平米')
('https://image1.ljcdn.com/310000-inspection/d36ea46d-4339-4af5-b94c-a9d96f813aad.JPG.296x216.jpg', '近地铁 楼层佳 全明户型 总价低 路过不要错过', '场中路2471弄  | 1室1厅 | 42.8平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1991年建板楼  -  彭浦', '202万', '单价47197元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170620/af1b1534-240d-492f-8ff1-25d666789af0.jpg.296x216.jpg', '精装朝南一房 中区楼层好 近地铁1/3/4号线 免增值税', '苏家巷小区  | 1室1厅 | 35.17平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1986年建板楼  -  不夜城', '250万', '单价71084元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171221/3f9849a3-368d-4aef-9cd9-a884186f75d8.jpg.296x216.jpg', '新静安美丽家园小区 采光全天充足 满五唯一 看房方便', '通阁小区  | 2室0厅 | 47.64平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1994年建板楼  -  西藏北路', '265万', '单价55626元/平米')
