('https://image1.ljcdn.com/210100-inspection/5432586b-66d6-4eca-bdd4-0bdfd8f2b1ab.JPG.296x216.jpg', '恒泰骏景 2室1厅 60万', '恒泰骏景  | 2室1厅 | 76.77平米 | 南 北 | 其他', '低楼层(共18层)2009年建板楼  -  于洪区', '60万', '单价7816元/平米')
('https://image1.ljcdn.com/210100-inspection/f6042232-c626-44b3-9969-92392487106e.JPG.296x216.jpg', '红田翠园 3室2厅 93万', '红田翠园  | 3室2厅 | 163平米 | 南 北 | 其他', '低楼层(共7层)2007年建板楼  -  于洪区', '93万', '单价5706元/平米')
('https://image1.ljcdn.com/210100-inspection/5e2427f7-d44e-4942-ba79-528a698be40c.JPG.296x216.jpg', '艾格尔e时代 2室2厅 85万', '艾格尔e时代  | 2室2厅 | 80.26平米 | 南 北 | 其他', '中楼层(共27层)2015年建板楼  -  于洪区', '85万', '单价10591元/平米')
('https://image1.ljcdn.com/210100-inspection/7cbb7c40-7931-41c4-a545-5f725bdb0237.JPG.296x216.jpg', '恒大城一期 3室2厅 130万', '恒大城一期  | 3室2厅 | 82平米 | 东南 | 精装', '低楼层(共11层)2014年建板塔结合  -  于洪区', '130万', '单价15854元/平米')
('https://image1.ljcdn.com/210100-inspection/d5036e39-98c0-4a38-b15a-09441fc8333e.jpg.296x216.jpg', '碧桂园银河城天域一期 2室2厅 94万', '碧桂园银河城天域一期  | 2室2厅 | 93.86平米 | 南 北 | 其他', '中楼层(共30层)板楼  -  于洪区', '94万', '单价10015元/平米')
('https://image1.ljcdn.com/210100-inspection/1dc6f76e-8e0c-4158-b745-727a0ff2032c.jpg.296x216.jpg', '宏发三千院 2室1厅 61万', '宏发三千院  | 2室1厅 | 69.14平米 | 东南 | 精装', '中楼层(共35层)2009年建塔楼  -  于洪区', '61万', '单价8823元/平米')
('https://image1.ljcdn.com/210100-inspection/4219a371-4875-481b-a1a9-456cb44e8c03.JPG.296x216.jpg', '七彩阳光 2室1厅 62万', '七彩阳光  | 2室1厅 | 78.98平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  于洪区', '62万', '单价7851元/平米')
('', '碧桂园银河城锦园 2室2厅 100万', '碧桂园银河城锦园  | 2室2厅 | 90平米 | 南 北 | 其他', '中楼层(共33层)板楼  -  于洪区', '100万', '单价11112元/平米')
('', '银亿格兰郡 视野开阔楼层好，配套齐全', '银亿格兰郡  | 2室1厅 | 78.8平米 | 东南 | 其他', '高楼层(共26层)2016年建板楼  -  于洪区', '71万', '单价9011元/平米')
('https://image1.ljcdn.com/210100-inspection/fcedd1d5-e126-4404-acdd-5ae2600f88e5.jpg.296x216.jpg', '碧桂园银河城聆涛 3室2厅 103万', '碧桂园银河城聆涛  | 3室2厅 | 123.59平米 | 南 西 北 | 其他', '中楼层(共31层)板楼  -  于洪区', '103万', '单价8335元/平米')
('https://image1.ljcdn.com/210100-inspection/36e51cff-c61a-4f01-96e3-8ff4e34a4760.jpg.296x216.jpg', '全新小区，品质物业，楼层好，不挡光', '碧桂园银河城星荟  | 2室1厅 | 76.54平米 | 西南 | 其他', '低楼层(共33层)暂无数据  -  于洪区', '81万', '单价10583元/平米')
('https://image1.ljcdn.com/210100-inspection/1c2cb2e2-595f-4153-aadb-b35c589c01c2.JPG.296x216.jpg', '恒大绿洲三期 3室2厅 125万', '恒大绿洲三期  | 3室2厅 | 138.75平米 | 东南 北 | 其他', '高楼层(共18层)板楼  -  于洪区', '125万', '单价9010元/平米')
('https://image1.ljcdn.com/210100-inspection/487b81c2-ec38-4584-a8b6-b228afd26869.JPG.296x216.jpg', '龙腾金荷苑 4室2厅 90万', '龙腾金荷苑  | 4室2厅 | 76.28平米 | 南 北 | 其他', '中楼层(共10层)2005年建板楼  -  于洪区', '90万', '单价11799元/平米')
('https://image1.ljcdn.com/210100-inspection/38689621-3c0a-4cb7-87de-1d1528b969cc.JPG.296x216.jpg', '于洪区 银亿格兰郡 南北通透 清水房 交通方便', '银亿格兰郡  | 3室2厅 | 141.55平米 | 南 北 | 毛坯', '低楼层(共5层)2016年建板楼  -  于洪区', '170万', '单价12010元/平米')
('https://image1.ljcdn.com/210100-inspection/b2fe1b28-120a-46f1-83ed-1e95fbe368bf.jpg.296x216.jpg', '碧桂园银河城星座 三室两厅两卫 欧式装修 几乎没住', '碧桂园银河城星座  | 3室2厅 | 114平米 | 南 北 | 精装', '低楼层(共30层)板楼  -  于洪区', '122万', '单价10702元/平米')
('https://image1.ljcdn.com/210100-inspection/bacd4a07-9984-41be-a6fe-84b25e569fc9.JPG.296x216.jpg', '新上 宏发英树 南北通透2室 精装修 高层视野开阔', '宏发英树  | 2室1厅 | 74平米 | 南 北 | 其他', '高楼层(共34层)2011年建板楼  -  于洪区', '62万', '单价8379元/平米')
('https://image1.ljcdn.com/210100-inspection/3f489191-39f0-4667-865d-dbb8b363fa92.jpg.296x216.jpg', '医学院地铁，南北通透，小区环境好', '银亿德郡  | 2室2厅 | 67平米 | 南 北 | 精装', '高楼层(共6层)2013年建板楼  -  于洪区', '34万', '单价5075元/平米')
('https://image1.ljcdn.com/210100-inspection/e38f6af8-161a-4c86-b933-87bf9d2f1349.jpg.296x216.jpg', '碧桂园银河城星语苑 3室1厅 105万', '碧桂园银河城星语苑  | 3室1厅 | 122.6平米 | 南 北 东 | 其他', '低楼层(共30层)暂无数据  -  于洪区', '105万', '单价8565元/平米')
('https://image1.ljcdn.com/210100-inspection/79f9f4cf-29d3-41e2-b99c-84f5c4b82290.JPG.296x216.jpg', '依云北郡D区 1室1厅 47万', '依云北郡D区  | 1室1厅 | 65平米 | 南 | 其他', '高楼层(共13层)2009年建板楼  -  于洪区', '47万', '单价7231元/平米')
('https://image1.ljcdn.com/210100-inspection/e8617d66-fea7-472b-b8dc-9cc3a61f3c84.JPG.296x216.jpg', '国奥现代城 3室2厅 98万', '国奥现代城  | 3室2厅 | 146.21平米 | 南 北 | 其他', '中楼层(共16层)暂无数据  -  于洪区', '98万', '单价6703元/平米')
('https://image1.ljcdn.com/210100-inspection/8837a597-f6e8-44bb-860b-f6a6ebef0a39.jpg.296x216.jpg', '依云北郡四期 1室1厅 45万', '依云北郡四期  | 1室1厅 | 46平米 | 东南 | 精装', '高楼层(共22层)2014年建板楼  -  于洪区', '45万', '单价9783元/平米')
('', '银亿格兰郡 2室1厅 78万', '银亿格兰郡  | 2室1厅 | 89.71平米 | 南 北 | 其他', '高楼层(共26层)2016年建板楼  -  于洪区', '78万', '单价8695元/平米')
('https://image1.ljcdn.com/210100-inspection/8134e97d-0604-4863-a5f8-16f614f0ddcc.jpg.296x216.jpg', '银亿万万城 两室标户把东山 家具家电都送 东西全新', '银亿万万城  | 2室2厅 | 84平米 | 东南 北 | 其他', '中楼层(共6层)2008年建板楼  -  于洪区', '73万', '单价8691元/平米')
('', '阳光100国际新城E组团 2室2厅 59万', '阳光100国际新城E组团  | 2室2厅 | 99平米 | 东 | 其他', '低楼层(共18层)暂无数据  -  于洪区', '59万', '单价5960元/平米')
('https://image1.ljcdn.com/210100-inspection/d2b45e74-d6fc-43c5-b0fd-c70f191dc937.JPG.296x216.jpg', '绿地老街坊 2室1厅 50万', '绿地老街坊  | 2室1厅 | 70平米 | 南 | 其他', '中楼层(共24层)2013年建板楼  -  于洪区', '50万', '单价7143元/平米')
('https://image1.ljcdn.com/210100-inspection/6364f8f0-9c88-48a3-855a-4b7d3a236a4c.JPG.296x216.jpg', '七彩阳光 2室1厅 48.5万', '七彩阳光  | 2室1厅 | 63.87平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  于洪区', '48.5万', '单价7594元/平米')
('https://image1.ljcdn.com/210100-inspection/45bc4406-3069-4d8b-8925-3575f1f11131.JPG.296x216.jpg', '于洪区 5室2厅3卫 163平米 精装洋房 有车库入户', '阳光尚城4.1期  | 5室2厅 | 163平米 | 南 北 | 精装', '低楼层(共4层)2012年建板楼  -  于洪区', '350万', '单价21473元/平米')
('https://image1.ljcdn.com/210100-inspection/0cacbe99-5ca2-4654-8242-a3ccf9ee96ea.JPG.296x216.jpg', '银亿德郡 2室2厅 76万', '银亿德郡  | 2室2厅 | 85.6平米 | 南 北 | 精装', '中楼层(共6层)2013年建板楼  -  于洪区', '76万', '单价8879元/平米')
('https://image1.ljcdn.com/210100-inspection/76ad3fd3-f0b1-41e8-ade4-cdc79ce12c13.jpg.296x216.jpg', '碧桂园银河城聆涛3室 品质小区 成熟配套 生活便利', '碧桂园银河城聆涛  | 3室2厅 | 124.98平米 | 东 南 北 | 其他', '高楼层(共25层)板楼  -  于洪区', '103万', '单价8242元/平米')
('https://image1.ljcdn.com/210100-inspection/3f29fb88-78a4-4e53-9ca2-43b4199cb710.JPG.296x216.jpg', '恒大城二期，举架高，采光好，看房子方便', '恒大城二期  | 2室1厅 | 88平米 | 东南 | 其他', '高楼层(共28层)2014年建板塔结合  -  于洪区', '70万', '单价7955元/平米')
('https://image1.ljcdn.com/210100-inspection/755e0eab-ccd9-4b08-90b5-8acfd97b3342.JPG.296x216.jpg', '绿地老街坊 1室1厅 28万', '绿地老街坊  | 1室1厅 | 48.08平米 | 南 | 其他', '中楼层(共23层)2013年建板楼  -  于洪区', '28万', '单价5824元/平米')
('https://image1.ljcdn.com/210100-inspection/e3912d08-071d-47b9-a7df-33f2bf4609dd.JPG.296x216.jpg', '华锐桃源欣城 2室2厅 80万', '华锐桃源欣城  | 2室2厅 | 92平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  于洪区', '80万', '单价8696元/平米')
('', '银亿德郡 3室3厅 115万', '银亿德郡  | 3室3厅 | 127.8平米 | 南 北 | 精装', '中楼层(共6层)2013年建板楼  -  于洪区', '115万', '单价8999元/平米')
('', '恒大绿洲三期 3室1厅 100万', '恒大绿洲三期  | 3室1厅 | 119平米 | 南 北 | 其他', '中楼层(共32层)板楼  -  于洪区', '100万', '单价8404元/平米')
('https://image1.ljcdn.com/210100-inspection/b320e3de-dbc6-4bd8-a5b2-1358454e9a60.JPG.296x216.jpg', '多层中间楼层 南北标户 户型方正 简单装修 采光充足', '阳光尚城一期  | 2室2厅 | 88.64平米 | 南 北 | 其他', '中楼层(共6层)2009年建板楼  -  于洪区', '79万', '单价8913元/平米')
('https://image1.ljcdn.com/210100-inspection/4591ef34-1845-4563-9e0b-46d3039e578a.jpg.296x216.jpg', '园区中间 南北标户 方正户型 视野开阔 采光充足', '阳光尚城一期  | 4室2厅 | 87.55平米 | 南 北 | 精装', '高楼层(共6层)2009年建板楼  -  于洪区', '79.5万', '单价9081元/平米')
('', '阳光尚城4.1期 5室3厅 248万', '阳光尚城4.1期  | 5室3厅 | 181平米 | 南 | 其他', '高楼层(共4层)2012年建板楼  -  于洪区', '248万', '单价13702元/平米')
('https://image1.ljcdn.com/210100-inspection/78da4d5b-9ab5-4f20-b7a8-b197618150cd.JPG.296x216.jpg', '阳光100国际新城D组团 2室1厅 85万', '阳光100国际新城D组团  | 2室1厅 | 89.6平米 | 西 北 | 其他', '高楼层(共31层)暂无数据  -  于洪区', '85万', '单价9487元/平米')
('https://image1.ljcdn.com/210100-inspection/e6eba594-eedf-415e-b5d1-d67c498b614c.jpg.296x216.jpg', '宏发三千院 3室2厅 110万', '宏发三千院  | 3室2厅 | 138平米 | 南 北 | 其他', '高楼层(共9层)2009年建板楼  -  于洪区', '110万', '单价7972元/平米')
('https://image1.ljcdn.com/210100-inspection/725d9129-3f41-4242-b3eb-221d3ca482fc.JPG.296x216.jpg', '顶楼带阁楼 面积大 位置好 封闭园区 交通便利', '华锐桃源欣城  | 3室2厅 | 120.94平米 | 南 北 | 简装', '高楼层(共6层)2006年建板楼  -  于洪区', '93万', '单价7690元/平米')
('https://image1.ljcdn.com/210100-inspection/44151f36-c34d-45a9-93f2-c95afc30ccbd.jpg.296x216.jpg', '宏发三千院 多层 南北  精装修 无遮挡 采光好', '宏发华城世界碧林一期  | 3室2厅 | 117平米 | 南 北 | 其他', '高楼层(共5层)2007年建板楼  -  于洪区', '105万', '单价8975元/平米')
('https://image1.ljcdn.com/210100-inspection/a77321a0-f647-42a3-acbb-0ec0b9999b9b.jpg.296x216.jpg', '恒大绿洲三期 3室2厅 90万', '恒大绿洲三期  | 3室2厅 | 110.64平米 | 东南 | 其他', '中楼层(共32层)板楼  -  于洪区', '90万', '单价8135元/平米')
('https://image1.ljcdn.com/210100-inspection/c3d91e34-33e1-4e9b-a1c9-e976cce4d786.JPG.296x216.jpg', '于洪区 七彩阳光 南北通透 拎包入住', '七彩阳光  | 2室2厅 | 120平米 | 南 北 | 精装', '高楼层(共6层)2006年建板楼  -  于洪区', '75万', '单价6250元/平米')
('https://image1.ljcdn.com/210100-inspection/e75fb761-383c-4986-b194-2a37b6598059.JPG.296x216.jpg', '南北标准户型 多层前方无遮挡 视野采光充足', '阳光尚城一期  | 2室2厅 | 89平米 | 南 北 | 其他', '中楼层(共6层)2009年建板楼  -  于洪区', '78万', '单价8765元/平米')
('https://image1.ljcdn.com/210100-inspection/bdbeb5b0-9e10-4ab4-b19d-0bfa94a19875.jpg.296x216.jpg', '七彩阳光 2室1厅 58万', '七彩阳光  | 2室1厅 | 87平米 | 南 | 其他', '低楼层(共17层)2006年建板楼  -  于洪区', '58万', '单价6667元/平米')
('', '房主诚心出售 丁香湖美的城 南北通透现房 清水', '美的城  | 2室2厅 | 88.08平米 | 南 北 | 其他', '低楼层(共27层)暂无数据  -  于洪区', '77万', '单价8743元/平米')
('https://image1.ljcdn.com/210100-inspection/11841d13-a4d7-4207-b4e8-ec395af3a579.jpg.296x216.jpg', '碧桂园银河城锦园 3室2厅 126万', '碧桂园银河城锦园  | 3室2厅 | 115平米 | 南 北 | 其他', '低楼层(共33层)板楼  -  于洪区', '126万', '单价10957元/平米')
('https://image1.ljcdn.com/210100-inspection/986aafa9-c0c6-4533-aab9-709a049263b9.JPG.296x216.jpg', '依云北郡F区 3室3厅 100万', '依云北郡F区  | 3室3厅 | 85平米 | 南 北 | 精装', '高楼层(共6层)2009年建板楼  -  于洪区', '100万', '单价11765元/平米')
('', '恒大绿洲二期 3室1厅 100万', '恒大绿洲二期  | 3室1厅 | 113平米 | 南 | 其他', '中楼层(共33层)板楼  -  于洪区', '100万', '单价8850元/平米')
('https://image1.ljcdn.com/210100-inspection/ef769941-e238-4f10-a001-80efd42f2a46.jpg.296x216.jpg', '恒大绿洲三期 2室2厅 85万', '恒大绿洲三期  | 2室2厅 | 87平米 | 东南 | 其他', '低楼层(共18层)板楼  -  于洪区', '85万', '单价9771元/平米')
('https://image1.ljcdn.com/210100-inspection/0b757664-fa2f-47e4-b80b-c3edf977b05d.jpg.296x216.jpg', '银亿万万城 2室2厅 78万', '银亿万万城  | 2室2厅 | 84.66平米 | 南 北 | 其他', '高楼层(共5层)2008年建板楼  -  于洪区', '78万', '单价9214元/平米')
('https://image1.ljcdn.com/210100-inspection/d1895a10-1898-48b1-a0ea-2056d1c3c0ff.jpg.296x216.jpg', '南北通透，标准三居室户型， 毛坯房', '依云北郡B区  | 3室2厅 | 101平米 | 南 北 | 毛坯', '高楼层(共6层)2008年建板楼  -  于洪区', '110万', '单价10892元/平米')
('https://image1.ljcdn.com/210100-inspection/66066aa1-ab85-4546-9bf1-4090fde82f6b.jpg.296x216.jpg', '新上 吉力湖街 宏发三千院 小高电梯房 南北通透 简装', '宏发三千院  | 2室1厅 | 118平米 | 南 北 | 其他', '高楼层(共10层)2009年建塔楼  -  于洪区', '95万', '单价8051元/平米')
('https://image1.ljcdn.com/210100-inspection/e41326e2-2101-4bd8-aeef-09cd7b0c417d.JPG.296x216.jpg', '阳光100国际新城D组团 2室2厅 80万', '阳光100国际新城D组团  | 2室2厅 | 80.05平米 | 南 | 其他', '中楼层(共5层)暂无数据  -  于洪区', '80万', '单价9994元/平米')
('https://image1.ljcdn.com/210100-inspection/8ee7fd27-d2ac-4205-9abf-ce05a80af383.JPG.296x216.jpg', '华锐桃源欣城 3室2厅 75万', '华锐桃源欣城  | 3室2厅 | 103.7平米 | 南 北 | 精装', '高楼层(共6层)2006年建板楼  -  于洪区', '75万', '单价7233元/平米')
('https://image1.ljcdn.com/210100-inspection/05521ef2-5da7-4dc7-8168-11aafeaa5cbd.JPG.296x216.jpg', '七彩阳光 2室2厅 一楼带花园', '七彩阳光  | 2室2厅 | 85平米 | 南 西 北 | 其他', '低楼层(共6层)2006年建板楼  -  于洪区', '81万', '单价9530元/平米')
('', '亚都名苑 1室1厅 31万', '亚都名苑  | 1室1厅 | 44平米 | 南 | 其他', '低楼层(共23层)2012年建板楼  -  于洪区', '31万', '单价7046元/平米')
('https://image1.ljcdn.com/210100-inspection/1c115716-b277-4077-b7aa-2d0ef770bc22.jpg.296x216.jpg', '恒大绿洲二期 3室2厅 125万', '恒大绿洲二期  | 3室2厅 | 143平米 | 南 北 | 其他', '中楼层(共33层)板楼  -  于洪区', '125万', '单价8742元/平米')
('https://image1.ljcdn.com/210100-inspection/de3fbe1a-20db-4ef6-a354-87e6d57d73b8.JPG.296x216.jpg', '亚都名苑 2室1厅 51万', '亚都名苑  | 2室1厅 | 65.69平米 | 南 | 其他', '中楼层(共23层)2012年建板楼  -  于洪区', '51万', '单价7764元/平米')
('', '碧桂园银河城星座 2室2厅 97万', '碧桂园银河城星座  | 2室2厅 | 88.64平米 | 南 北 | 其他', '中楼层(共30层)板楼  -  于洪区', '97万', '单价10944元/平米')
('https://image1.ljcdn.com/210100-inspection/efd980de-bd50-4653-845d-5fe93d0395fd.jpg.296x216.jpg', '环北家园 中间楼层 南北通透 精装修 采光好 拎包即住', '环北家园二期  | 3室2厅 | 96.38平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  于洪区', '52万', '单价5396元/平米')
('https://image1.ljcdn.com/210100-inspection/e54df8fb-7776-4ee6-a127-3941660664c7.jpg.296x216.jpg', '七彩阳光，2室1厅，南北通透，精装修 ，拎包入住', '七彩阳光  | 2室1厅 | 101.32平米 | 南 北 | 其他', '低楼层(共17层)2006年建板楼  -  于洪区', '60万', '单价5922元/平米')
('https://image1.ljcdn.com/210100-inspection/81232bf8-4cb9-4dda-bdf4-69835f8e184b.jpg.296x216.jpg', '碧桂园银河城星座  户型方正  南北通透   不挡光', '碧桂园银河城星座  | 2室1厅 | 94.7平米 | 南 北 | 其他', '低楼层(共18层)板楼  -  于洪区', '123万', '单价12989元/平米')
('https://image1.ljcdn.com/210100-inspection/90342a83-f774-4942-83fc-da9082109682.JPG.296x216.jpg', '于洪 三台子 国奥现代城 顶楼带阁楼', '国奥现代城二期  | 2室1厅 | 82.49平米 | 南 西 北 | 其他', '高楼层(共6层)板楼  -  于洪区', '63万', '单价7638元/平米')
('https://image1.ljcdn.com/210100-inspection/b14a6d1d-921f-4fcb-ab6a-7fd69c1ca693.JPG.296x216.jpg', '银亿格兰郡 精装修洋房 房主自住保持好', '银亿格兰郡  | 3室1厅 | 125平米 | 东南 北 | 精装', '中楼层(共5层)2016年建板楼  -  于洪区', '135万', '单价10800元/平米')
('https://image1.ljcdn.com/210100-inspection/ff6375d1-5ff5-4276-b29a-c38a4cebfdb3.JPG.296x216.jpg', '七彩阳光 3室2厅 87万', '七彩阳光  | 3室2厅 | 132.8平米 | 南 北 | 其他', '中楼层(共17层)2006年建板楼  -  于洪区', '87万', '单价6552元/平米')
('', '宏发三千院 2室2厅 118.7万', '宏发三千院  | 2室2厅 | 88.79平米 | 南 北 | 其他', '中楼层(共6层)2009年建板楼  -  于洪区', '118.7万', '单价13369元/平米')
('https://image1.ljcdn.com/210100-inspection/461f5dbb-beb9-4a76-a909-517e2aa23664.JPG.296x216.jpg', '恒大城二期 4室2厅 130万', '恒大城二期  | 4室2厅 | 178.62平米 | 东南 | 其他', '低楼层(共28层)2014年建板塔结合  -  于洪区', '130万', '单价7279元/平米')
('https://image1.ljcdn.com/210100-inspection/0592661a-0cf6-4aa3-be2e-138babaa49a5.JPG.296x216.jpg', '七彩阳光 2室1厅 53万', '七彩阳光  | 2室1厅 | 66.66平米 | 南 | 其他', '高楼层(共6层)2006年建板楼  -  于洪区', '53万', '单价7951元/平米')
('', '恒大绿洲三期 4室2厅 142万', '恒大绿洲三期  | 4室2厅 | 181.9平米 | 南 北 | 其他', '高楼层(共32层)板楼  -  于洪区', '142万', '单价7807元/平米')
('https://image1.ljcdn.com/210100-inspection/eb3e7c8a-9952-4e06-b485-314b63fc9fd5.JPG.296x216.jpg', '于洪区 恒大绿洲 高层 采光好 视野开阔', '恒大绿洲三期  | 3室2厅 | 106平米 | 东南 | 其他', '高楼层(共33层)板楼  -  于洪区', '95万', '单价8963元/平米')
('https://image1.ljcdn.com/210100-inspection/52ff7ac9-b84e-4d74-ba2f-008d4c5c99da.JPG.296x216.jpg', '于洪区怒江北街银亿德郡 两室两厅 顶楼斜顶', '银亿德郡  | 2室2厅 | 71.29平米 | 南 北 | 精装', '高楼层(共6层)2013年建板楼  -  于洪区', '36万', '单价5050元/平米')
('https://image1.ljcdn.com/210100-inspection/e28f00e3-001e-4f27-b48f-9fa2d5ce567a.jpg.296x216.jpg', '多层一楼  精装修3三室，装修保持好。', '宏发华城世界橙郡1  | 3室2厅 | 109平米 | 南 北 | 其他', '低楼层(共6层)2008年建板楼  -  于洪区', '140万', '单价12845元/平米')
('https://image1.ljcdn.com/210100-inspection/462532fb-4008-4891-bd51-6d51cf32b99e.jpg.296x216.jpg', '阳光一百优质房源，价格公道，精装修', '阳光100国际新城E组团  | 3室2厅 | 106平米 | 西南 | 其他', '中楼层(共32层)2018年建板楼  -  于洪区', '90万', '单价8491元/平米')
('https://image1.ljcdn.com/210100-inspection/6d88b47e-dc32-4542-9517-9ad3bb4e4efb.JPG.296x216.jpg', '七彩阳光 精装两室 楼层好采光佳 不把山', '七彩阳光  | 2室2厅 | 85平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  于洪区', '68万', '单价8000元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/27c19c03-9c51-425a-8883-f37446a52f65.png.280x210.jpg', '怒江北街七彩阳光+简单装修+顶楼+交通便利+购物方便', '七彩阳光  | 2室1厅 | 105.14平米 | 南 北 | 精装', '高楼层(共6层)2006年建板楼  -  于洪区', '83万', '单价7895元/平米')
('https://image1.ljcdn.com/210100-inspection/e1be8b82-6c30-42ce-b211-1ae2ffbb1f73.JPG.296x216.jpg', '泰华林家园 3室2厅 72万', '泰华林家园  | 3室2厅 | 88.96平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  于洪区', '72万', '单价8094元/平米')
('https://image1.ljcdn.com/210100-inspection/c448f00d-db46-48f5-9de2-f9456f240d90.jpg.296x216.jpg', '保利溪湖林语 精装修三室  满五年无大税', '保利溪湖林语二期  | 3室2厅 | 124.94平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  于洪区', '118万', '单价9445元/平米')
('https://image1.ljcdn.com/210100-inspection/51b6f3df-c65d-47bc-a978-088e9f614db2.JPG.296x216.jpg', '依云北郡B区 1室1厅 35.5万', '依云北郡B区  | 1室1厅 | 49.9平米 | 南 北 | 其他', '低楼层(共11层)2008年建板楼  -  于洪区', '35.5万', '单价7115元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload05b41c07-b702-40aa-808f-3477c796b01c.jpg.296x216.jpg', '新城惠泽园    满五年 赠送阁楼  南北朝向 价格便宜', '新城惠泽园  | 4室2厅 | 67.12平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  于洪区', '61万', '单价9089元/平米')
('https://image1.ljcdn.com/210100-inspection/6cdaf649-67c7-4344-b281-ff7d588963f2.jpg.296x216.jpg', '依云北郡四期+一室精装+采光充足', '依云北郡四期  | 1室2厅 | 61.15平米 | 东 | 精装', '高楼层(共22层)2014年建板楼  -  于洪区', '47万', '单价7687元/平米')
('https://image1.ljcdn.com/210100-inspection/2ebf40c3-df46-4b66-b658-2363b7b052a6.jpg.296x216.jpg', '碧桂园银河城星荟 2室2厅 77万', '碧桂园银河城星荟  | 2室2厅 | 81平米 | 东 南 北 | 其他', '中楼层(共30层)板楼  -  于洪区', '77万', '单价9507元/平米')
('https://image1.ljcdn.com/210100-inspection/060e3f34-bc06-4f05-8f9e-ba1f27e73ad4.jpg.296x216.jpg', '银亿万万城 2室1厅 36.5万', '银亿万万城  | 2室1厅 | 49.5平米 | 西 | 其他', '低楼层(共11层)2008年建板楼  -  于洪区', '36.5万', '单价7374元/平米')
('https://image1.ljcdn.com/210100-inspection/bb413a0d-b683-46d4-a9d0-1ac34ecdeebd.jpg.296x216.jpg', '碧桂园银河城聆涛 3室2厅 100万', '碧桂园银河城聆涛  | 3室2厅 | 124平米 | 西南 北 | 其他', '低楼层(共31层)板楼  -  于洪区', '100万', '单价8065元/平米')
('', '碧桂园星座 新上清水南北两室 通透户型 交通便利', '碧桂园银河城星座  | 2室2厅 | 89.48平米 | 南 北 | 毛坯', '中楼层(共30层)板楼  -  于洪区', '82万', '单价9165元/平米')
('https://image1.ljcdn.com/210100-inspection/f8fbbf3d-5088-4431-96da-acc7421cc403.JPG.296x216.jpg', '七彩阳光 2室1厅 56万', '七彩阳光  | 2室1厅 | 68平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  于洪区', '56万', '单价8236元/平米')
('https://image1.ljcdn.com/210100-inspection/f3fa82d6-edac-4b2a-b7aa-96c712680808.jpg.296x216.jpg', '于洪新城 宏发三千院 纯南向 保持好', '宏发三千院  | 2室1厅 | 57平米 | 南 | 其他', '中楼层(共35层)2009年建塔楼  -  于洪区', '44.5万', '单价7808元/平米')
('', '碧桂园银河城 全新小区 全新楼盘 南北透通', '碧桂园银河城星荟  | 3室2厅 | 117.8平米 | 西南 北 | 其他', '高楼层(共18层)板楼  -  于洪区', '115万', '单价9763元/平米')
('https://image1.ljcdn.com/210100-inspection/01ff02c5-ba1a-45f1-81bf-f97504a0bfdb.JPG.296x216.jpg', '依云北郡D区 2室2厅 93万', '依云北郡D区  | 2室2厅 | 103.48平米 | 南 北 | 其他', '高楼层(共13层)2009年建板楼  -  于洪区', '93万', '单价8988元/平米')
('https://image1.ljcdn.com/210100-inspection/8ce8271c-8867-49c8-990b-a1cbb8675992.jpg.296x216.jpg', '银亿万万城 2室2厅 76万', '银亿万万城  | 2室2厅 | 86平米 | 南 北 | 其他', '高楼层(共5层)2008年建板楼  -  于洪区', '76万', '单价8838元/平米')
('https://image1.ljcdn.com/210100-inspection/73bc3b52-b041-442d-848b-5aa12fafa742.jpg.296x216.jpg', '银亿万万城 2室1厅 56万', '银亿万万城  | 2室1厅 | 67.7平米 | 东南 | 其他', '中楼层(共11层)2008年建板楼  -  于洪区', '56万', '单价8272元/平米')
('https://image1.ljcdn.com/210100-inspection/277e3970-9b2a-484a-a1bc-651a1ad74e2b.JPG.296x216.jpg', '红田翠园 2室2厅 77万', '红田翠园  | 2室2厅 | 129平米 | 南 北 | 其他', '中楼层(共7层)2007年建板楼  -  于洪区', '77万', '单价5969元/平米')
('https://image1.ljcdn.com/210100-inspection/bda55ffb-c715-43af-a924-81c8c092ff53.JPG.296x216.jpg', '依云北郡F区 3室2厅 55万', '依云北郡F区  | 3室2厅 | 46平米 | 西北 | 精装', '中楼层(共22层)2009年建板楼  -  于洪区', '55万', '单价11957元/平米')
('', '恒大绿洲一期 3室2厅 122万', '恒大绿洲一期  | 3室2厅 | 122.47平米 | 南 北 | 其他', '低楼层(共11层)板楼  -  于洪区', '122万', '单价9962元/平米')
('https://image1.ljcdn.com/210100-inspection/e4d36f62-b2f0-46ba-9b36-fc9d2341c21b.JPG.296x216.jpg', '阳光尚城4.2期 2室1厅 81万', '阳光尚城4.2期  | 2室1厅 | 97.82平米 | 南 北 | 其他', '低楼层(共29层)2013年建板楼  -  于洪区', '81万', '单价8281元/平米')
