('https://image1.ljcdn.com/440100-inspection/e9faa787-6770-4c5e-8319-83c94bcf6037.jpg.296x216.jpg', '万科金色城品 精装3房 南向望园景', '万科金色城品  | 3室2厅 | 63平米 | 东南 | 精装 | 有电梯', '中楼层(共8层)2010年建塔楼  -  沙湾', '360万', '单价57143元/平米')
('https://image1.ljcdn.com/440100-inspection/48c886b0-7a01-409b-9c06-a5b6dd7a45a4.jpg.296x216.jpg', '敏捷上品公馆 2室1厅 100万', '敏捷上品公馆  | 2室1厅 | 57.79平米 | 南 | 其他 | 有电梯', '高楼层(共21层)塔楼  -  祈福', '100万', '单价17305元/平米')
('https://image1.ljcdn.com/440100-inspection/b07865af-158b-4922-90a4-622be9cd5512.jpg.296x216.jpg', '丽江花园 九如通津 方正三房', '丽江花园九如通津  | 3室2厅 | 107.3平米 | 西南 | 精装 | 有电梯', '中楼层(共11层)2000年建塔楼  -  南浦', '365万', '单价34017元/平米')
('https://image1.ljcdn.com/440100-inspection/94b42817-cd46-454c-b4a7-38c0b3527f21.jpg.296x216.jpg', '珠殿苑 刚需两房单位', '珠殿苑南区  | 2室2厅 | 71平米 | 北 | 简装 | 无电梯', '高楼层(共7层)1996年建塔楼  -  市桥', '145万', '单价20423元/平米')
('https://image1.ljcdn.com/440100-inspection/4df67d21-71dd-4f4d-ac45-a48fe1729a88.jpg.296x216.jpg', '侨宫苑 大3房 中楼层 南向 采光好', '侨宫苑  | 3室2厅 | 107平米 | 南 | 其他 | 无电梯', '中楼层(共8层)1996年建塔楼  -  市桥', '190万', '单价17758元/平米')
('https://image1.ljcdn.com/440100-inspection/37ad7d6d-4100-4526-b335-93cc603ed91a.JPG.296x216.jpg', '裕福花园 3室2厅 330万', '裕福花园  | 3室2厅 | 111.92平米 | 南 | 其他 | 有电梯', '高楼层(共13层)2003年建塔楼  -  市桥', '330万', '单价29486元/平米')
('https://image1.ljcdn.com/440100-inspection/99144d5f-dcae-4f9f-b1fa-7e43944ab178.jpg.296x216.jpg', '锦绣香江布查特官邸 南北对流 双证物业', '锦绣香江花园布查特官邸  | 4室2厅 | 169平米 | 南 北 | 其他 | 有电梯', '中楼层(共17层)2004年建塔楼  -  汉溪', '780万', '单价46154元/平米')
('https://image1.ljcdn.com/440100-inspection/a2ad104e-e3a8-43d5-83b2-cb9a4ee8f15a.jpg.296x216.jpg', '丽江花园九如通津 2室2厅 260万', '丽江花园九如通津  | 2室2厅 | 78.8平米 | 东北 | 精装 | 有电梯', '低楼层(共11层)2000年建塔楼  -  南浦', '260万', '单价32995元/平米')
('https://image1.ljcdn.com/440100-inspection/08c01f1f-af03-4685-b43f-f18929387986.jpg.296x216.jpg', '广州碧桂园 间隔合理 户型方正 实用三房', '广州碧桂园雅苑  | 3室1厅 | 102.5平米 | 东南 | 精装 | 无电梯', '高楼层(共7层)1998年建塔楼  -  南浦', '290万', '单价28293元/平米')
('https://image1.ljcdn.com/440100-inspection/233ebcb0-fe29-475a-be76-ef3032e8bc8b.jpg.296x216.jpg', '市桥 江南富图花园 独栋别墅 少有出售', '富图花园   | 独栋别墅 | 6室3厅 | 270平米 | 南 | 其他 | 无电梯', '1层1995年建暂无数据  -  市桥', '588万', '单价21778元/平米')
('https://image1.ljcdn.com/440100-inspection/a01c9fe9-db14-4bc4-8433-c99ddadf0cd7.jpg.296x216.jpg', '东华花园 南向稀有三房 中楼层 小区中间位置 不靠路！', '东华花园  | 3室2厅 | 100.28平米 | 南 | 简装 | 无电梯', '低楼层(共7层)2004年建塔楼  -  市桥东', '265万', '单价26427元/平米')
('https://image1.ljcdn.com/440100-inspection/983e63ae-36cd-4ac4-90f5-c789e289172f.jpg.296x216.jpg', '大石侨苑 小区安静 交通方便', '富丽家园侨苑  | 3室2厅 | 136平米 | 南 北 | 简装 | 无电梯', '中楼层(共8层)1995年建塔楼  -  大石', '255万', '单价18750元/平米')
('https://image1.ljcdn.com/440100-inspection/1c041803-5748-44d0-8e2c-30c56f9b8b01.jpg.296x216.jpg', '尚东尚筑 电梯低层 位置好 交通方便', '尚东尚筑  | 2室2厅 | 93.46平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2008年建塔楼  -  市桥东', '289万', '单价30923元/平米')
('https://image1.ljcdn.com/440100-inspection/dca83227-cde0-4016-8425-b5ff899fb314.jpg.296x216.jpg', '广州碧桂园翠苑 复式方正四房 装修保养好', '广州碧桂园翠苑  | 4室2厅 | 189平米 | 西北 | 其他 | 无电梯', '高楼层(共6层)1998年建塔楼  -  南浦', '520万', '单价27514元/平米')
('https://image1.ljcdn.com/440100-inspection/72a65c95-3deb-4854-828b-68ef2f871ff9.jpg.296x216.jpg', '敏捷上品公馆 1室1厅 100万', '敏捷上品公馆  | 1室1厅 | 52.67平米 | 南 | 其他 | 有电梯', '高楼层(共21层)塔楼  -  祈福', '100万', '单价18987元/平米')
('https://image1.ljcdn.com/440100-inspection/e0fbc15f-084c-46c8-80da-3e4d34dbe3a5.jpg.296x216.jpg', '锦绣生态园 春满园 三房出售', '锦绣生态园春满园  | 3室2厅 | 90.4平米 | 北 | 精装 | 无电梯', '高楼层(共6层)2003年建塔楼  -  钟村', '220万', '单价24337元/平米')
('https://image1.ljcdn.com/440100-inspection/04a5a225-eeb3-44d6-8d9e-52f2cef6e15e.jpg.296x216.jpg', '广奥实用两房 温馨舒适 南向望花园', '广州奥林匹克花园  | 2室2厅 | 76.34平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2002年建板楼  -  洛溪', '272万', '单价35631元/平米')
('https://image1.ljcdn.com/440100-inspection/311c4776-d09d-443c-838a-80408954e889.jpg.296x216.jpg', '保利公馆南苑 大户型 南北对流', '保利公馆2010亚奥南苑  | 3室2厅 | 140.18平米 | 南 北 | 简装 | 有电梯', '低楼层(共6层)板楼  -  亚运城', '350万', '单价24968元/平米')
('https://image1.ljcdn.com/440100-inspection/2cacc854-ea98-490c-b88c-241060fabf01.jpg.296x216.jpg', '精装电梯三房  望小区园景不靠路', '雅居乐城南源著  | 3室2厅 | 96.25平米 | 西南 | 精装 | 有电梯', '中楼层(共11层)2013年建塔楼  -  沙湾', '335万', '单价34806元/平米')
('https://image1.ljcdn.com/440100-inspection/c564da0d-7a3a-44f9-bf60-a93931ef27a8.jpg.296x216.jpg', '剑桥郡君澜 南向4房送车位 小高层', '广州雅居乐花园剑桥郡  | 4室2厅 | 214.91平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2010年建塔楼  -  雅居乐', '880万', '单价40948元/平米')
('https://image1.ljcdn.com/440100-inspection/8c19ab8a-dbdb-429d-8cf5-c5c3e1008b83.JPG.296x216.jpg', '广州奥林匹克花园 3室2厅 385万', '广州奥林匹克花园  | 3室2厅 | 99.21平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2002年建板楼  -  洛溪', '385万', '单价38807元/平米')
('https://image1.ljcdn.com/440100-inspection/2318a622-cffa-4f0c-a8d8-f29d01e25bcc.jpg.296x216.jpg', '祈福新村 3房2厅 360万元', '祈福新村倚湖湾倚湖街  | 3室2厅 | 104平米 | 北 | 精装 | 无电梯', '中楼层(共5层)1995年建板楼  -  祈福', '360万', '单价34616元/平米')
('https://image1.ljcdn.com/440100-inspection/122a5e05-9071-4701-99b6-8d97770a4020.JPG.296x216.jpg', '星汇文华 精装修 望江景 独门独户 御珑苑', '星汇文华  | 3室2厅 | 312.34平米 | 南 北 | 其他', '高楼层(共15层)塔楼  -  大学城', '1980万', '单价63393元/平米')
('https://image1.ljcdn.com/440100-inspection/fc34027a-3679-4b83-9935-66f60acdd7f7.jpg.296x216.jpg', '大石富丽居 小区环境好 格局方正', '富丽居  | 3室2厅 | 99.6平米 | 东北 | 精装', '中楼层(共35层)塔楼  -  大石', '310万', '单价31125元/平米')
('https://image1.ljcdn.com/440100-inspection/44ce1795-4ff8-445c-b35f-3dc6c6e9eaab.JPG.296x216.jpg', '华茵明苑 成熟配套 交通便利', '华茵明苑  | 4室2厅 | 199平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2000年建塔楼  -  市桥', '360万', '单价18091元/平米')
('https://image1.ljcdn.com/440100-inspection/31261a04-1245-4614-825d-25293d0580cd.JPG.296x216.jpg', '广州星河湾朗心园 3室2厅 510万', '广州星河湾朗心园  | 3室2厅 | 123平米 | 东南 西北 | 精装 | 有电梯', '低楼层(共9层)2001年建塔楼  -  星河湾', '510万', '单价41464元/平米')
('https://image1.ljcdn.com/440100-inspection/b29630c4-a941-47c5-a4ae-f92edb810b7c.jpg.296x216.jpg', '侨基花园 三房两厅出售', '侨基花园  | 3室2厅 | 83.68平米 | 东北 | 其他 | 有电梯', '高楼层(共32层)1998年建塔楼  -  市桥', '188万', '单价22467元/平米')
('', '广州雅居乐花园雅逸庭 2室2厅 310万', '广州雅居乐花园雅逸庭  | 2室2厅 | 75.49平米 | 东北 | 其他 | 有电梯', '低楼层(共23层)2010年建塔楼  -  雅居乐', '310万', '单价41066元/平米')
('https://image1.ljcdn.com/440100-inspection/02c1e3cc-a5eb-46c5-8cd4-4f4091d2e07f.jpg.296x216.jpg', '自在城市花园 精致三房', '自在城市花园  | 3室2厅 | 105平米 | 西北 | 简装 | 有电梯', '高楼层(共10层)2004年建塔楼  -  汉溪', '300万', '单价28572元/平米')
('https://image1.ljcdn.com/440100-inspection/f66e16f8-0596-4df6-a530-524de32cd016.JPG.296x216.jpg', '华南碧桂园 碧翠苑 三房带主套', '华南碧桂园碧翠苑  | 3室2厅 | 107平米 | 东北 | 精装 | 无电梯', '中楼层(共7层)2001年建塔楼  -  华南', '335万', '单价31309元/平米')
('https://image1.ljcdn.com/440100-inspection/d08e8af4-e8e5-43f5-a018-75f39a914d63.jpg.296x216.jpg', '东风街 两房出售 户型方正 中楼层 通风采光好', '东涌路东风大街  | 2室1厅 | 64.8平米 | 南 | 其他 | 无电梯', '中楼层(共7层)塔楼  -  市桥', '125万', '单价19291元/平米')
('https://image1.ljcdn.com/440100-inspection/74f61708-2bcb-43ea-8055-ecc11887d015.JPG.296x216.jpg', '自在城市花园三期诺德名都 2室2厅 310万', '自在城市花园三期诺德名都  | 2室2厅 | 91.44平米 | 南 | 其他 | 有电梯', '高楼层(共30层)2013年建塔楼  -  汉溪', '310万', '单价33903元/平米')
('https://image1.ljcdn.com/440100-inspection/37fa8216-1ea5-4430-a4f2-b4aa7595f438.jpg.296x216.jpg', '剑桥郡 高层三房 望花园', '广州雅居乐花园剑桥郡  | 3室2厅 | 106平米 | 西南 | 精装 | 有电梯', '高楼层(共30层)2010年建塔楼  -  雅居乐', '438万', '单价41321元/平米')
('https://image1.ljcdn.com/440100-inspection/bf27d021-1425-45c5-8af3-5057c97de16c.jpg.296x216.jpg', '祈福新村C区   温馨两房 近祈福湖 环境好', '祈福新村C区  | 2室2厅 | 66平米 | 南 | 简装 | 无电梯', '低楼层(共3层)1995年建板楼  -  祈福', '185万', '单价28031元/平米')
('https://image1.ljcdn.com/440100-inspection/c119f00f-5c7c-4120-bea7-7bc56b84e91d.JPG.296x216.jpg', '雅居乐君域公馆  电梯3大房  小区管理', '雅居乐君域公馆  | 3室2厅 | 125.94平米 | 东南 | 毛坯 | 有电梯', '低楼层(共31层)塔楼  -  市桥', '340万', '单价26997元/平米')
('https://image1.ljcdn.com/440100-inspection/984f16f5-46c3-4efe-b11e-aca200d16e61.jpg.296x216.jpg', '东逸华庭大户型 南向5房 无', '东逸华庭  | 5室3厅 | 196.4平米 | 南 北 | 精装', '高楼层(共10层)2005年建塔楼  -  市桥', '688万', '单价35031元/平米')
('https://image1.ljcdn.com/440100-inspection/81fbbf57-8d0f-4348-9bfa-4508f36ecc8d.JPG.296x216.jpg', '番艺花园 复式单位 户型方正', '番艺花园  | 5室2厅 | 154.3平米 | 南 | 毛坯 | 无电梯', '高楼层(共8层)1996年建塔楼  -  市桥', '280万', '单价18147元/平米')
('https://image1.ljcdn.com/440100-inspection/4a9e245b-5169-4ef0-b24e-0d6843742dec.jpg.296x216.jpg', '敏捷上品公馆 复式毛胚房 诚心出售', '敏捷上品公馆  | 1室0厅 | 52.67平米 | 南 | 其他 | 有电梯', '低楼层(共21层)塔楼  -  祈福', '85万', '单价16139元/平米')
('https://image1.ljcdn.com/440100-inspection/41b25530-55ed-4d7a-a2df-20d260f4b09d.JPG.296x216.jpg', '敏捷时空壹号 2室2厅 135万', '敏捷时空壹号  | 2室2厅 | 54.55平米 | 西南 | 其他', '高楼层(共17层)塔楼  -  钟村', '135万', '单价24748元/平米')
('https://image1.ljcdn.com/440100-inspection/ede7732f-1cce-4bc6-9224-08b9394da963.jpg.296x216.jpg', '社区人车分流 生活配套齐 环境安静舒适', '广州奥林匹克花园  | 4室1厅 | 130平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2002年建板楼  -  洛溪', '410万', '单价31539元/平米')
('https://image1.ljcdn.com/440100-inspection/1eaa9510-b0fe-4aee-8e80-6c2f80c21157.jpg.296x216.jpg', '祈福新村青怡居 3室2厅 260万', '祈福新村青怡居  | 3室2厅 | 85平米 | 南 | 精装 | 无电梯', '高楼层(共5层)1995年建板楼  -  祈福', '260万', '单价30589元/平米')
('https://image1.ljcdn.com/440100-inspection/7af492df-ba20-4cb5-9dc1-017ffd68032b.jpg.296x216.jpg', '丽江花园 电梯两房', '丽江花园德泽楼  | 2室1厅 | 66.8平米 | 东 | 其他 | 有电梯', '中楼层(共14层)1997年建塔楼  -  南浦', '198万', '单价29641元/平米')
('https://image1.ljcdn.com/440100-inspection/e33de846-5721-4980-b749-e09821e3b26e.jpg.296x216.jpg', '广州奥林匹克花园一楼带花园', '广州奥林匹克花园  | 3室2厅 | 99.6平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2002年建板楼  -  洛溪', '438万', '单价43976元/平米')
('https://image1.ljcdn.com/440100-inspection/9da6be5b-ad9d-425b-84af-a4b16814ed9f.JPG.296x216.jpg', '祈福海晴 三房套房 视野采光好', '祈福新村海晴居  | 3室2厅 | 77.8平米 | 北 | 简装 | 无电梯', '高楼层(共6层)2003年建板楼  -  祈福', '260万', '单价33420元/平米')
('https://image1.ljcdn.com/440100-inspection/50af0bbc-c87b-4521-bc71-b7fa8ddac409.jpg.296x216.jpg', '锦绣生态园趣园 3室2厅 260万', '锦绣生态园趣园  | 3室2厅 | 96.2平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2005年建塔楼  -  钟村', '260万', '单价27028元/平米')
('https://image1.ljcdn.com/440100-inspection/7e7b523e-c7d4-47f2-85c3-42489f89b551.jpg.296x216.jpg', '广州雅居乐花园 剑桥郡 高层三房', '广州雅居乐花园剑桥郡  | 3室2厅 | 110.3平米 | 西北 | 精装 | 有电梯', '高楼层(共29层)2010年建塔楼  -  雅居乐', '418万', '单价37897元/平米')
('https://image1.ljcdn.com/440100-inspection/f182893d-f243-4bf6-ad87-421bdc6a1215.JPG.296x216.jpg', '祈福新村C区 3室2厅 235万', '祈福新村C区  | 3室2厅 | 84.62平米 | 南 | 其他 | 无电梯', '中楼层(共4层)1995年建板楼  -  祈福', '235万', '单价27772元/平米')
('https://image1.ljcdn.com/440100-inspection/653b828b-7ba5-45d2-856e-e3054cdf5349.jpg.296x216.jpg', '翡翠明庭电梯两房 格局方正 采光好', '美心翡翠明庭  | 2室2厅 | 76.8平米 | 西北 | 简装 | 有电梯', '低楼层(共11层)2003年建塔楼  -  市桥东', '230万', '单价29948元/平米')
('https://image1.ljcdn.com/440100-inspection/8b8891ab-e79e-4ea7-9b8f-3446981061c1.jpg.296x216.jpg', '桥福园楼梯三房诚意出售', '桥福园  | 3室2厅 | 109平米 | 北 | 简装 | 无电梯', '低楼层(共8层)2000年建塔楼  -  市桥', '265万', '单价24312元/平米')
('https://image1.ljcdn.com/440100-inspection/21166c1e-d160-4b9a-b495-1c95a2ecf8bc.JPG.296x216.jpg', '番禺广场低价三房 看房有钥匙 比市场价格低', '美心东苑  | 3室2厅 | 81.3平米 | 南 | 简装 | 无电梯', '低楼层(共7层)2004年建塔楼  -  市桥东', '193万', '单价23740元/平米')
('https://image1.ljcdn.com/440100-inspection/d24866a9-6802-4490-91a1-c27ff4b00664.jpg.296x216.jpg', '奥园广场一房一厅公寓  交通便利', '奥园广场  | 1室1厅 | 56平米 | 南 | 简装 | 有电梯', '中楼层(共23层)2010年建塔楼  -  沙湾', '110万', '单价19643元/平米')
('https://image1.ljcdn.com/440100-inspection/b276886f-1d9b-40c4-9e3a-829d15bfe0af.JPG.296x216.jpg', '广州雅居乐花园雅逸庭 3室2厅 500万', '广州雅居乐花园雅逸庭  | 3室2厅 | 120平米 | 西南 | 精装 | 有电梯', '低楼层(共15层)2010年建塔楼  -  雅居乐', '500万', '单价41667元/平米')
('https://image1.ljcdn.com/440100-inspection/6ce8428b-7bac-4294-82c3-21624baba14a.jpg.296x216.jpg', '祈福新村 绿怡居 一楼两房', '祈福新村绿怡居  | 2室2厅 | 66平米 | 北 | 其他 | 无电梯', '低楼层(共4层)1995年建板楼  -  祈福', '230万', '单价34849元/平米')
('', '东沙小区 3室2厅 218万', '东沙小区  | 3室2厅 | 121.6平米 | 南 北 | 其他', '高楼层(共7层)暂无数据  -  市桥', '218万', '单价17928元/平米')
('https://image1.ljcdn.com/440100-inspection/12cfce64-8921-44b7-ba0d-b8a740a0048c.jpg.296x216.jpg', '生态园翠屏苑 精装三房 望花园', '锦绣生态园翠屏苑  | 3室2厅 | 123平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2003年建塔楼  -  钟村', '330万', '单价26830元/平米')
('https://image1.ljcdn.com/440100-inspection/416eeb45-9c13-4ea1-b85b-511354de3b75.jpg.296x216.jpg', '祈福新村迎风阁 精装两房 一楼带花园', '祈福新村迎风阁  | 2室2厅 | 71.03平米 | 北 | 其他 | 有电梯', '低楼层(共20层)2005年建塔楼  -  祈福', '229万', '单价32240元/平米')
('https://image1.ljcdn.com/440100-inspection/ae1428cd-c90e-45a2-9673-efe9d6da17f2.jpg.296x216.jpg', '丽江花园 精致两房 户型方正', '丽江花园丽彦楼  | 2室2厅 | 66.7平米 | 西北 | 简装 | 有电梯', '低楼层(共9层)1995年建塔楼  -  南浦', '180万', '单价26987元/平米')
('https://image1.ljcdn.com/440100-inspection/9ffb550f-5f39-4739-b067-4f3bbdae6ad9.jpg.296x216.jpg', '祈福新村D区  方正两房 位置好 通风好', '祈福新村D区  | 2室1厅 | 57平米 | 北 | 简装 | 无电梯', '中楼层(共4层)1995年建板楼  -  祈福', '147万', '单价25790元/平米')
('https://image1.ljcdn.com/440100-inspection/3347efef-43ba-4738-908b-0dd2e2fe89b0.jpg.296x216.jpg', '广碧一期南向 楼层好采光好 送大露台', '广州碧桂园华苑  | 3室1厅 | 119平米 | 西南 | 简装 | 无电梯', '高楼层(共7层)1998年建塔楼  -  南浦', '309万', '单价25967元/平米')
('https://image1.ljcdn.com/440100-inspection/13d00be2-b774-4a09-8acd-859bbb593a07.JPG.296x216.jpg', '锦绣生态园趣园 3室2厅 289万', '锦绣生态园趣园  | 3室2厅 | 113.8平米 | 南 西南 | 其他 | 无电梯', '低楼层(共6层)2001年建塔楼  -  钟村', '289万', '单价25396元/平米')
('https://image1.ljcdn.com/440100-inspection/e7131102-d085-4acf-b6c5-a8f0ff2c2d68.JPG.296x216.jpg', '亚运城运动员村一区 3室2厅 386万', '亚运城运动员村一区  | 3室2厅 | 136.53平米 | 南 | 简装 | 有电梯', '高楼层(共11层)塔楼  -  亚运城', '386万', '单价28273元/平米')
('https://image1.ljcdn.com/440100-inspection/cfc82ae0-513f-4b9c-9740-9ffd20de352e.jpg.296x216.jpg', '海龙湾 方正四房', '海龙湾  | 4室2厅 | 134.2平米 | 西北 | 简装 | 有电梯', '中楼层(共11层)2004年建塔楼  -  南浦', '460万', '单价34278元/平米')
('https://image1.ljcdn.com/440100-inspection/449dec11-90a3-47e0-93e0-999bfc7c955e.JPG.296x216.jpg', '裕兴大厦 电梯高层三房 户型方正', '西环路裕兴大厦  | 3室2厅 | 87平米 | 东南 | 其他 | 有电梯', '中楼层(共19层)塔楼  -  市桥', '195万', '单价22414元/平米')
('https://image1.ljcdn.com/440100-inspection/ee972a27-8ea1-48c0-9944-024375d38a3c.jpg.296x216.jpg', '敏捷华美国际 1室0厅 85万', '敏捷华美国际  | 1室0厅 | 49.82平米 | 南 | 精装 | 有电梯', '高楼层(共25层)2015年建塔楼  -  大石', '85万', '单价17062元/平米')
('https://image1.ljcdn.com/440100-inspection/57d63f10-782c-4d94-89c8-8045d1f3dfdd.jpg.296x216.jpg', '敏捷华美国际 2室1厅 145万', '敏捷华美国际  | 2室1厅 | 72.53平米 | 南 | 其他 | 有电梯', '中楼层(共26层)塔楼  -  大石', '145万', '单价19992元/平米')
('https://image1.ljcdn.com/440100-inspection/65a26bbb-577e-4dde-a99d-de73080900c0.jpg.296x216.jpg', '晓峰园 三房套房 南向', '祈福新村晓峰园  | 3室2厅 | 120.2平米 | 南 | 其他 | 有电梯', '高楼层(共35层)2005年建塔楼  -  祈福', '390万', '单价32446元/平米')
('https://image1.ljcdn.com/440100-inspection/32161c97-3822-4900-b7da-09293cff0ad4.jpg.296x216.jpg', '祈福新村晓峰园 电梯三房 视野开阔', '祈福新村晓峰园  | 3室2厅 | 108.6平米 | 东北 | 精装 | 有电梯', '低楼层(共35层)2005年建塔楼  -  祈福', '330万', '单价30387元/平米')
('https://image1.ljcdn.com/440100-inspection/366475e9-f51e-499e-811e-52dd1f627daf.JPG.296x216.jpg', '星河湾 赏心园正南北对流3房', '广州星河湾赏心园  | 3室2厅 | 135平米 | 南 北 | 精装 | 有电梯', '低楼层(共9层)2001年建塔楼  -  星河湾', '530万', '单价39260元/平米')
('https://image1.ljcdn.com/440100-inspection/2488f1de-96bd-41db-b871-30188043f293.jpg.296x216.jpg', '一尺方正两房 保养好', '广州雅居乐花园一尺山居  | 2室2厅 | 77.77平米 | 东北 | 精装 | 有电梯', '低楼层(共11层)2010年建塔楼  -  雅居乐', '278万', '单价35747元/平米')
('https://image1.ljcdn.com/440100-inspection/fcf1db41-9820-496d-bbf5-e2affe3bafc0.jpg.296x216.jpg', '洛涛居南区 实用三房 通风采光好', '芳华花园洛涛居  | 3室2厅 | 88.8平米 | 东北 | 简装 | 无电梯', '高楼层(共6层)1999年建塔楼  -  洛溪', '318万', '单价35811元/平米')
('https://image1.ljcdn.com/440100-inspection/dc91ef24-d0cb-46ed-8401-070550f63767.JPG.296x216.jpg', '运动员二区 东南向 中楼层 大两房', '亚运城运动员村二区  | 2室2厅 | 99平米 | 东南 | 精装', '中楼层(共14层)塔楼  -  亚运城', '265万', '单价26768元/平米')
('https://image1.ljcdn.com/440100-inspection/37058ad6-1231-4330-b5a5-c8163f1a17b3.jpg.296x216.jpg', '金海岸花园皇玛 花园洋房 实用4房', '金海岸花园皇玛  | 4室2厅 | 143.15平米 | 北 | 其他 | 有电梯', '中楼层(共8层)2002年建塔楼  -  市桥东', '430万', '单价30039元/平米')
('https://image1.ljcdn.com/440100-inspection/33e324ee-c206-40e1-bb84-aa562b780517.JPG.296x216.jpg', '工业路 3室2厅 205万', '工业路  | 3室2厅 | 113.4平米 | 东南 | 其他', '低楼层(共7层)塔楼  -  市桥', '205万', '单价18078元/平米')
('', '锦绣生态园 温馨三房 视野开', '锦绣生态园春满园  | 3室2厅 | 90.24平米 | 北 | 简装 | 无电梯', '高楼层(共6层)2003年建塔楼  -  钟村', '215万', '单价23826元/平米')
('https://image1.ljcdn.com/440100-inspection/1d4a8e3c-3e27-46be-9b4b-8d03a7f31d71.jpg.296x216.jpg', '市桥南 奥林匹克花园 复式四房', '番禺奥林匹克花园文化长廊  | 4室2厅 | 133.2平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1990年建板楼  -  沙湾', '330万', '单价24775元/平米')
('https://image1.ljcdn.com/440100-inspection/c6222db4-525d-44fc-b26e-44a36231f70d.jpg.296x216.jpg', '大石富泽居 温馨三房 望花园 采光好', '富丽家园富泽居  | 3室1厅 | 89平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1995年建塔楼  -  大石', '285万', '单价32023元/平米')
('https://image1.ljcdn.com/440100-inspection/26f54c3e-feac-4536-996f-64145bf5cf2c.JPG.296x216.jpg', '海伦堡流金岁月 高档住宅小区 精装修三房', '番禺海伦堡流金岁月  | 3室2厅 | 70.38平米 | 东南 | 精装 | 有电梯', '高楼层(共28层)2010年建塔楼  -  沙湾', '530万', '单价75306元/平米')
('https://image1.ljcdn.com/440100-inspection/bd1e9f51-c61a-4a92-9e35-11bba0302a80.JPG.296x216.jpg', '花样三期精装三房，带有车位出售，业主诚心出售', '番禺海伦堡花样年华三期  | 3室2厅 | 89.85平米 | 东南 | 其他 | 有电梯', '中楼层(共17层)2005年建塔楼  -  沙湾', '300万', '单价33389元/平米')
('https://image1.ljcdn.com/440100-inspection/78c16f24-66ca-49b7-b375-e7ca75f4bba2.jpg.296x216.jpg', '锦绣生态园 菁华轩 四房出售', '锦绣生态园菁华轩  | 3室2厅 | 122.4平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2003年建塔楼  -  钟村', '350万', '单价28595元/平米')
('https://image1.ljcdn.com/440100-inspection/471f133f-b298-47dc-9a11-049e25c68547.jpg.296x216.jpg', '尚东尚筑 南北对流三房 送15方入户花园', '尚东尚筑  | 3室2厅 | 100.2平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2008年建塔楼  -  市桥东', '338万', '单价33733元/平米')
('https://image1.ljcdn.com/440100-inspection/dacbb0ad-3d8e-4fe6-98c7-a60329af9e7f.jpg.296x216.jpg', '华南碧桂园 翠宏台精装一楼带花园', '华南碧桂园翠宏台  | 3室2厅 | 121平米 | 西北 | 精装 | 无电梯', '低楼层(共7层)2001年建塔楼  -  华南', '470万', '单价38843元/平米')
('https://image1.ljcdn.com/440100-inspection/7808caa4-6bec-4a45-a068-186d0f619cd2.jpg.296x216.jpg', '南国奥林匹克花园 顶楼复式五房', '南国奥林匹克花园北奥一路  | 5室2厅 | 159平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2006年建板楼  -  汉溪', '448万', '单价28177元/平米')
('https://image1.ljcdn.com/440100-inspection/7be0fafa-aefd-4e23-a1c7-431b3c2fed91.JPG.296x216.jpg', '亚运城媒体南村 2室2厅 219万', '亚运城媒体南村  | 2室2厅 | 72.7平米 | 南 北 | 简装', '中楼层(共18层)塔楼  -  亚运城', '219万', '单价30124元/平米')
('https://image1.ljcdn.com/440100-inspection/242c32af-dcb9-4a22-aefa-c4400c6d62b9.jpg.296x216.jpg', '诺德名都 舒适三房 清爽干净 配套完善', '自在城市花园三期诺德名都  | 3室2厅 | 100平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2013年建塔楼  -  汉溪', '360万', '单价36000元/平米')
('https://image1.ljcdn.com/440100-inspection/ce84ffde-0fac-48e8-b26b-d27fecb80e5f.jpg.296x216.jpg', '风格精装修，智能家具家电全在，拎包入住。', '富丽家园朝阳东路  | 3室1厅 | 78.1平米 | 南 | 精装', '中楼层(共7层)塔楼  -  大石', '202万', '单价25865元/平米')
('https://image1.ljcdn.com/440100-inspection/test-3895403b-6c62-4fad-8d32-7f37510fabf5.png.296x216.jpg', '置业华逸大厦 保养新净 格局方正', '置业华逸大厦  | 4室2厅 | 197.4平米 | 南 | 简装 | 有电梯', '中楼层(共16层)塔楼  -  市桥', '366万', '单价18542元/平米')
('https://image1.ljcdn.com/440100-inspection/0da80cc3-da56-40b3-866d-227fb224e2b9.jpg.296x216.jpg', '花样年华二期  单证三房带主套 精装', '番禺海伦堡花样年华二期  | 3室2厅 | 91.16平米 | 东南 | 精装 | 有电梯', '高楼层(共17层)2005年建塔楼  -  沙湾', '338万', '单价37078元/平米')
