('https://image1.ljcdn.com/440300-inspection/test-1a38b4c5-3f36-4255-bcfe-946e703977fe.png.296x216.jpg', '碧水龙庭 三期 中高楼层 南向看花园  2+1户型 有钥匙', '碧水龙庭  | 2室1厅 | 73.31平米 | 西南 | 简装 | 有电梯', '中楼层(共18层)2008年建板塔结合  -  民治', '390万', '单价53199元/平米')
('https://image1.ljcdn.com/440300-inspection/test-252647d7-6ea6-4dfe-90f0-bdf5c43d8d07.png.296x216.jpg', '圣莫丽斯,高层洋房,看小区景观,户型通透,通风采光好', '圣莫丽斯花园C区  | 3室2厅 | 166.27平米 | 南 北 | 精装 | 有电梯', '低楼层(共29层)2010年建塔楼  -  深圳北站', '1650万', '单价99237元/平米')
('https://image1.ljcdn.com/440300-inspection/92c73224-0353-4f37-939e-b70fa4dc6053.jpg.296x216.jpg', '星河传奇 居家公寓 精装两房 交通便利', '星河传奇二期  | 2室1厅 | 66.68平米 | 南 | 其他', '中楼层(共30层)2016年建板塔结合  -  上塘', '409万', '单价61338元/平米')
('https://image1.ljcdn.com/440300-inspection/test-870f96b6-58ab-4953-b658-5778e24438c9.png.296x216.jpg', '春华四季园二期 4室2厅 680万', '春华四季园二期  | 4室2厅 | 122.67平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2007年建板塔结合  -  民治', '680万', '单价55434元/平米')
('', '万家灯火 3室2厅 340万', '万家灯火  | 3室2厅 | 75.56平米 | 北 | 简装 | 无电梯', '中楼层(共7层)2002年建板塔结合  -  深圳北站', '340万', '单价44998元/平米')
('https://image1.ljcdn.com/440300-inspection/test-74e169d3-75a5-4ad5-83f9-53ea6c40f905.png.296x216.jpg', '苹果园 1室1厅 195万', '苹果园  | 1室1厅 | 41.28平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2004年建板塔结合  -  深圳北站', '195万', '单价47239元/平米')
('https://image1.ljcdn.com/440300-inspection/test-710d5242-2ea1-457e-b442-19ec2147a72a.png.296x216.jpg', '潜龙曼海宁3房2卫 业主诚心出售', '潜龙曼海宁花园南区  | 3室1厅 | 88.55平米 | 南 北 | 其他 | 有电梯', '高楼层(共28层)2011年建塔楼  -  上塘', '616万', '单价69566元/平米')
('https://image1.ljcdn.com/440300-inspection/test-3c576d36-3a69-4c20-81ed-5c97167153d9.png.296x216.jpg', '深圳北 低总价电梯3房，小区新户型方正 可改4房', '卓能雅苑  | 3室2厅 | 107.66平米 | 南 | 其他', '低楼层(共18层)2016年建塔楼  -  深圳北站', '520万', '单价48301元/平米')
('https://image1.ljcdn.com/440300-inspection/test-87991fa0-c2d5-439d-bfeb-d5005b0c5d0e.png.296x216.jpg', '龙华地铁口物业 带电梯 位置安静 满五年 红本在手', '龙泽榕园  | 1室1厅 | 45.69平米 | 西南 | 其他 | 有电梯', '高楼层(共8层)2011年建板楼  -  龙华中心', '210万', '单价45962元/平米')
('https://image1.ljcdn.com/440300-inspection/test-0646a14d-7f1f-4957-acaf-0d95bfdf166a.png.296x216.jpg', '金地梅陇镇三期 3室1厅 510万', '金地梅陇镇三期  | 3室1厅 | 89.91平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2008年建板塔结合  -  深圳北站', '510万', '单价56724元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/fc3492a3-5c34-45b3-b073-4dc501fd9ef2.png.280x210.jpg', '懿花园联排别墅，带私家花园，私家车位', '懿花园  | 4室2厅 | 183.01平米 | 南 北 | 其他 | 无电梯', '1层2014年建暂无数据  -  观澜', '1100万', '单价60107元/平米')
('https://image1.ljcdn.com/440300-inspection/test-65c13406-6541-4be6-a0f5-3b4c57588d91.png.296x216.jpg', '满二年，朝南通透户型，中间楼层，采光通风好。', '卓能雅苑  | 3室2厅 | 112.12平米 | 南 | 毛坯', '中楼层(共18层)2016年建板塔结合  -  深圳北站', '630万', '单价56190元/平米')
('https://image1.ljcdn.com/440300-inspection/test-bae62b94-5e0a-429a-8f54-076e0515a2ee.png.296x216.jpg', '红山高品质住宅高楼层4房业主新装修诚意出售', '合正中央原著  | 4室2厅 | 143.14平米 | 南 | 其他 | 有电梯', '高楼层(共29层)2012年建板楼  -  上塘', '900万', '单价62876元/平米')
('https://image1.ljcdn.com/440300-inspection/test-9f44a659-6dba-454b-8b9a-d3e6f5e2dfb5.png.296x216.jpg', '此房房本满两年，户型方正，下楼就是小区花园', '世纪春城三期  | 3室2厅 | 96.66平米 | 南 | 其他 | 有电梯', '中楼层(共16层)2007年建板塔结合  -  深圳北站', '558万', '单价57729元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1358ce29-5523-4ec5-a875-ad4079745f9a.png.296x216.jpg', '静装修单证，中间楼层，业主随时签', '星河盛世  | 4室1厅 | 172.68平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2013年建板塔结合  -  民治', '1350万', '单价78180元/平米')
('', '水榭春天 满五唯一红本在手，顶楼单证大户型，毛坯', '莱蒙水榭春天二期  | 8室2厅 | 229.89平米 | 南 北 | 其他 | 有电梯', '高楼层(共33层)2011年建塔楼  -  深圳北站', '1700万', '单价73949元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1dbd869e-096c-444b-961e-e00203b7ea40.png.296x216.jpg', '龙华观澜招商澜园 朝南 装修保养好 带固定车位看花园', '招商澜园  | 4室2厅 | 135.93平米 | 南 | 其他 | 有电梯', '高楼层(共25层)2010年建板塔结合  -  观澜', '600万', '单价44141元/平米')
('https://image1.ljcdn.com/440300-inspection/test-cdd47947-4397-4662-a0d7-d1e32d1acc3d.png.296x216.jpg', '金玲花园 3室2厅 380万', '金玲花园  | 3室2厅 | 94.66平米 | 东南 | 其他 | 无电梯', '高楼层(共8层)1998年建板塔结合  -  龙华中心', '380万', '单价40144元/平米')
('https://image1.ljcdn.com/440300-inspection/test-13c10de9-e1db-4588-97e9-a017f15b64d9.png.296x216.jpg', '龙华区优品建筑精装三房两厅，满 二年，业主急卖!', '优品建筑  | 3室2厅 | 107.23平米 | 东南 | 精装 | 有电梯', '低楼层(共11层)2004年建板塔结合  -  龙华中心', '455万', '单价42433元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c9efcb66-574a-42fc-94bc-726c9fa320c3.png.296x216.jpg', '富通天骏  满五唯一红本在手 看房方便  户型通透', '富通天骏  | 3室2厅 | 111平米 | 东南 南 | 其他 | 有电梯', '中楼层(共18层)2003年建板塔结合  -  龙华中心', '490万', '单价44145元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/9332e337-57a5-4d94-b583-8197d90cc0a8.png.280x210.jpg', '龙华观澜金地鹭湖1号，精装三房户型方正，满两年', '金地鹭湖1号  | 3室2厅 | 89.27平米 | 西北 | 简装 | 有电梯', '高楼层(共16层)2014年建板塔结合  -  观澜', '430万', '单价48169元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e1ca8311-0c3f-48c3-a751-25618c039b9b.png.296x216.jpg', '馨园二期 二改三户型 纯粹利用的安静社区', '馨园二期  | 3室2厅 | 85.05平米 | 西南 | 简装 | 有电梯', '低楼层(共10层)2003年建板塔结合  -  民治', '350万', '单价41153元/平米')
('https://image1.ljcdn.com/440300-inspection/test-eb9d818b-2c54-4b9d-b3a7-2ac445632c71.png.296x216.jpg', '港铁天颂精装修3房无缝接驳4号线朝南看花园安静采光好', '港铁天颂  | 3室2厅 | 81.45平米 | 东南 | 精装', '中楼层(共37层)2017年建板塔结合  -  龙华中心', '560万', '单价68754元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ce372836-96fe-4531-b628-5feaa0bd5413.png.296x216.jpg', '精装实用2+1房，主卧出阳台，东南朝向看花园', '春华四季园二期  | 2室2厅 | 73.54平米 | 东南 | 其他 | 有电梯', '高楼层(共17层)2007年建板塔结合  -  民治', '375万', '单价50993元/平米')
('https://image1.ljcdn.com/440300-inspection/test-7b602520-78dc-450f-aff4-6b43355d82c2.png.296x216.jpg', '城投七里香榭 5室3厅 1320万', '城投七里香榭  | 5室3厅 | 84.4平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2007年建板塔结合  -  深圳北站', '1320万', '单价156399元/平米')
('https://image1.ljcdn.com/440300-inspection/test-6a5ac794-6002-4125-8175-96e11067729a.png.296x216.jpg', '美丽365花园 3室2厅 420万', '美丽365花园  | 3室2厅 | 100.09平米 | 东南 | 简装 | 有电梯', '低楼层(共8层)2002年建板塔结合  -  龙华中心', '420万', '单价41963元/平米')
('https://image1.ljcdn.com/440300-inspection/test-870483e4-3670-445a-a633-0e7756bf44a4.png.296x216.jpg', '龙华地铁口 大信花园 中间楼层两房 位置安静 税费低', '大信花园  | 2室2厅 | 74.48平米 | 东北 | 其他 | 无电梯', '中楼层(共8层)2002年建板塔结合  -  龙华中心', '340万', '单价45650元/平米')
('https://image1.ljcdn.com/440300-inspection/test-23410b57-6f7e-405a-805b-ad684e735ed0.png.296x216.jpg', '金碧世家 2室1厅 335万', '金碧世家  | 2室1厅 | 77.25平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2001年建板塔结合  -  龙华中心', '335万', '单价43366元/平米')
('https://image1.ljcdn.com/440300-inspection/test-62b90f04-9a1c-4bda-831b-c3c6d96337ef.png.296x216.jpg', '绿茵华庭 东南看花园  安静居家  满五唯一 看房方便', '绿茵华庭  | 2室1厅 | 73.93平米 | 东南 | 其他 | 无电梯', '中楼层(共7层)2002年建板塔结合  -  龙华中心', '315万', '单价42608元/平米')
('https://image1.ljcdn.com/440300-inspection/test-eb3a41e5-ddda-4653-8961-447c8b4b684f.png.296x216.jpg', '中海锦城 3室2厅 535万', '中海锦城  | 3室2厅 | 72.18平米 | 东南 | 其他 | 有电梯', '高楼层(共39层)2015年建塔楼  -  上塘', '535万', '单价74121元/平米')
('https://image1.ljcdn.com/440300-inspection/test-145b2e7a-14c8-4dd2-a8ec-6739987e76a5.png.296x216.jpg', '金地梅陇镇二期 3室2厅 560万', '金地梅陇镇二期  | 3室2厅 | 102.38平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2007年建板塔结合  -  深圳北站', '560万', '单价54699元/平米')
('https://image1.ljcdn.com/440300-inspection/test-70e27660-8701-4102-b8db-f893a84b1187.png.296x216.jpg', '中高楼层，看湖景，精装修，可拎包住', '春华四季园一期  | 6室2厅 | 148.25平米 | 西北 | 精装 | 有电梯', '中楼层(共9层)2006年建板塔结合  -  民治', '950万', '单价64081元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/4de71ebf-ed07-4610-8f6b-5271b2ea971d.png.280x210.jpg', '潜龙3房 户型方正 装修保养好 采光好', '潜龙花园  | 3室1厅 | 94.84平米 | 东 | 其他 | 无电梯', '中楼层(共8层)1999年建板塔结合  -  民治', '365万', '单价38486元/平米')
('https://image1.ljcdn.com/440300-inspection/test-42964af9-2e7d-4453-b348-4e1e478220ef.png.296x216.jpg', '梅花新园 2室2厅 340万', '梅花新园  | 2室2厅 | 68.6平米 | 北 | 其他 | 有电梯', '高楼层(共11层)2003年建板楼  -  民治', '340万', '单价49563元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ca1e9f22-1827-4862-be95-940ec4755d1d.png.296x216.jpg', '清湖地铁低楼层大三房 满五年红本在手 户型方正', '美丽365花园  | 3室2厅 | 99.92平米 | 南 北 | 其他 | 有电梯', '低楼层(共8层)2003年建板塔结合  -  龙华中心', '460万', '单价46037元/平米')
('https://image1.ljcdn.com/440300-inspection/test-40d8a4d4-a78e-412a-bfa4-7ec027f23569.png.296x216.jpg', '莱蒙水榭春天5期 3室2厅 725万', '莱蒙水榭春天5期  | 3室2厅 | 95.06平米 | 北 | 其他 | 有电梯', '中楼层(共28层)2012年建板塔结合  -  深圳北站', '725万', '单价76268元/平米')
('https://image1.ljcdn.com/440300-inspection/test-3a45860d-9cc5-4558-8e5a-afc62a527635.png.296x216.jpg', '滢水山庄 2室1厅 315万', '滢水山庄  | 2室1厅 | 71.74平米 | 北 | 精装 | 无电梯', '低楼层(共7层)1997年建板塔结合  -  民治', '315万', '单价43909元/平米')
('https://image1.ljcdn.com/440300-inspection/test-6d5dd4a9-1985-4fae-9cf5-f61c4d3de39f.png.296x216.jpg', '满五唯一，业主诚心出售。可以减免个税，税费相对少', '金地上塘道一期  | 3室2厅 | 78.37平米 | 南 | 其他 | 有电梯', '高楼层(共24层)2010年建板楼  -  上塘', '530万', '单价67628元/平米')
('https://image1.ljcdn.com/440300-inspection/test-319966a7-3937-4251-994a-e3241ab6c860.png.296x216.jpg', '莱蒙水榭春天二期 5室2厅 1150万', '莱蒙水榭春天二期  | 5室2厅 | 164.37平米 | 东南 西北 | 其他 | 有电梯', '中楼层(共33层)2011年建塔楼  -  深圳北站', '1150万', '单价69965元/平米')
('https://image1.ljcdn.com/440300-inspection/52ed2d99-f218-420f-b0ae-ce123538030f.jpg.296x216.jpg', '星河传奇公寓 位置安静 自己住 保养好', '星河传奇·铂寓S  | 1室1厅 | 50.23平米 | 东北 | 其他', '低楼层(共30层)2016年建板塔结合  -  上塘', '340万', '单价67689元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e7c9a136-7a09-4dec-9cf3-d68f75e26aa3.png.296x216.jpg', '红山片区精装地铁大两房 满屋红本在手 南北通透', '潜龙曼海宁花园南区  | 2室1厅 | 80.29平米 | 东南 | 其他 | 有电梯', '低楼层(共28层)2011年建板塔结合  -  上塘', '480万', '单价59784元/平米')
('https://image1.ljcdn.com/440300-inspection/test-6ced190e-5baf-46b7-adb7-707a80f41cfe.png.296x216.jpg', '满两年，税费少，户型方正，位置安静，看房方便', '华业玫瑰四季馨园一期  | 2室2厅 | 72.37平米 | 东南 南 | 其他 | 有电梯', '中楼层(共32层)2015年建板楼  -  上塘', '480万', '单价66326元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f4821564-024e-4526-a96a-5917f6c96889.png.296x216.jpg', '清湖地铁口单证4房、业主自住、带装修', '幸福城一期  | 4室1厅 | 149.45平米 | 南 | 其他 | 有电梯', '低楼层(共27层)2014年建板塔结合  -  龙华中心', '835万', '单价55872元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8e827f26-6ac5-4207-99ec-98c7e532030d.png.296x216.jpg', '卓能雅苑 2室2厅 383万', '卓能雅苑  | 2室2厅 | 77.23平米 | 南 | 精装', '中楼层(共18层)2016年建塔楼  -  深圳北站', '383万', '单价49593元/平米')
('https://image1.ljcdn.com/440300-inspection/test-32fb79af-ee14-4870-8b67-59c82898d962.png.296x216.jpg', '玖龙玺样板房出售 智能装修 拎包入住', '龙光玖龙玺北区  | 4室2厅 | 89.14平米 | 西北 | 精装 | 有电梯', '低楼层(共32层)2016年建塔楼  -  深圳北站', '800万', '单价89747元/平米')
('https://image1.ljcdn.com/440300-inspection/test-bab9b8bb-5c56-42c7-99b2-bfc16b3e355f.png.296x216.jpg', '6房+双套房设计，专梯入户经典大平层', '绿景公馆1866南区  | 6室2厅 | 222.01平米 | 南 | 其他 | 有电梯', '高楼层(共28层)2013年建板楼  -  深圳北站', '2300万', '单价103599元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/29a33976-d965-4d3d-ad46-64b9c3059b94.png.280x210.jpg', '观澜富士康北大门总价低单间红本商品房', '启点公寓  | 1室1厅 | 28.8平米 | 西北 | 简装', '中楼层(共12层)板塔结合  -  观澜', '45万', '单价15625元/平米')
('https://image1.ljcdn.com/440300-inspection/test-4e63cfb9-a516-4105-bf82-e80046296f6d.png.296x216.jpg', '业主一手自住婚房，自己赎楼满五', '金地上塘道二期  | 2室2厅 | 66.63平米 | 东 | 其他 | 有电梯', '高楼层(共30层)2011年建板塔结合  -  上塘', '410万', '单价61534元/平米')
('https://image1.ljcdn.com/440300-inspection/test-2ae95743-1447-45b7-8bd5-b2e454d4f39d.png.296x216.jpg', '天然氧吧羊台山公园，新上笋盘，一手4房，朝小区里面', '悠山美地  | 4室2厅 | 128.09平米 | 东南 | 毛坯', '低楼层(共27层)2016年建塔楼  -  龙华中心', '550万', '单价42939元/平米')
('https://image1.ljcdn.com/440300-inspection/test-58478372-7045-4295-bb48-ead889fc4e21.png.296x216.jpg', '绿景公馆1866南区四房通透看花园', '绿景公馆1866南区  | 4室2厅 | 122.36平米 | 南 | 其他 | 有电梯', '高楼层(共28层)2013年建板塔结合  -  深圳北站', '860万', '单价70285元/平米')
('https://image1.ljcdn.com/440300-inspection/test-2bd42667-2f93-44a7-808e-becbb51fc418.png.296x216.jpg', '卓能雅苑 2室2厅 468万', '卓能雅苑  | 2室2厅 | 76.97平米 | 东南 | 精装', '中楼层(共18层)2016年建塔楼  -  深圳北站', '468万', '单价60803元/平米')
('https://image1.ljcdn.com/440300-inspection/test-261474db-3609-4b8d-b305-3f5b8eef077e.png.296x216.jpg', '金地梅陇镇二期 3室2厅 580万', '金地梅陇镇二期  | 3室2厅 | 112.55平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2007年建板塔结合  -  深圳北站', '580万', '单价51533元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploada1525a47-c946-4f29-909f-03523d02f989.jpg.296x216.jpg', '深业泰然观澜玫瑰苑 1室1厅 250万', '深业泰然观澜玫瑰苑  | 1室1厅 | 51.79平米 | 东南 | 其他 | 有电梯', '低楼层(共31层)2016年建塔楼  -  观澜', '250万', '单价48272元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/f5f2dc4d-46a4-4be9-91f3-a161f45bc16b.png.280x210.jpg', '招商澜园，精装修4房，花园中间，满五，送停车位', '招商澜园  | 4室2厅 | 135.82平米 | 南 | 其他 | 有电梯', '高楼层(共25层)2009年建板塔结合  -  观澜', '590万', '单价43440元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a9515d08-52d9-460d-bbe9-46579ad3566c.png.296x216.jpg', '馨园二期 原始大两房户型 中间楼层 户型方正', '馨园二期  | 2室1厅 | 85.05平米 | 南 | 简装 | 有电梯', '中楼层(共10层)2003年建板塔结合  -  民治', '348万', '单价40918元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e0ed2bfb-3949-4948-890b-9ef2a4739262.png.296x216.jpg', '龙华观澜中航格澜郡阳光花园 东南朝向看花园 红本在手', '中航格澜郡阳光花园  | 4室2厅 | 150.33平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2006年建板塔结合  -  观澜', '750万', '单价49891元/平米')
('https://image1.ljcdn.com/440300-inspection/test-22061b47-1b5d-4b9e-bac5-746d07af426c.png.296x216.jpg', '金地上塘道一期 3室2厅 480万', '金地上塘道一期  | 3室2厅 | 78.34平米 | 南 | 简装 | 有电梯', '低楼层(共25层)2010年建板楼  -  上塘', '480万', '单价61272元/平米')
('https://image1.ljcdn.com/440300-inspection/test-af75c44d-8817-4b3e-8726-23d2a95d8c28.png.296x216.jpg', '悠山美地 3室2厅 508万', '悠山美地  | 3室2厅 | 88.38平米 | 南 | 其他', '中楼层(共28层)2016年建暂无数据  -  龙华中心', '508万', '单价57480元/平米')
('https://image1.ljcdn.com/440300-inspection/test-89bcf21a-6a6e-494b-9194-d3310967efe4.png.296x216.jpg', '锦绣江南四期 3室2厅 528万', '锦绣江南四期  | 3室2厅 | 108.51平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2006年建板塔结合  -  深圳北站', '528万', '单价48660元/平米')
('https://image1.ljcdn.com/440300-inspection/1a2d917f-1a8f-4132-9209-8c4164d77ba8.jpg.296x216.jpg', '深圳北商圈，双地铁，星河高品质公寓，业主诚心售房', '星河传奇·铂寓S  | 1室1厅 | 50.41平米 | 西南 | 精装', '高楼层(共30层)2016年建板塔结合  -  上塘', '300万', '单价59513元/平米')
('https://image1.ljcdn.com/440300-inspection/526bb847-b948-414f-bd11-0b1388f7f70d.jpg.296x216.jpg', '溪山四房  满五年红本看水库看山 带双阳台 视野开阔', '溪山  | 4室2厅 | 123平米 | 南 | 精装 | 有电梯', '低楼层(共31层)2010年建板塔结合  -  深圳北站', '660万', '单价53659元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c48c6d93-734c-436f-9a3e-8ca26371d202.png.296x216.jpg', '带装修二房，满二年，没住过，看房有钥匙，业主诚售。', '卓能雅苑  | 2室2厅 | 75.32平米 | 南 北 | 精装', '高楼层(共18层)2016年建板塔结合  -  深圳北站', '400万', '单价53107元/平米')
('https://image1.ljcdn.com/440300-inspection/test-823ef1e4-403c-47f0-a390-04cc4da07e73.png.296x216.jpg', '招商澜园 2室1厅 340万', '招商澜园  | 2室1厅 | 83.94平米 | 北 | 其他 | 有电梯', '高楼层(共25层)2010年建板塔结合  -  观澜', '340万', '单价40506元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e65b68cd-d662-4b1f-9f5b-bcdfb47a88ee.png.296x216.jpg', '业主换房急卖，3房2卫 看小区园林景观 价格好商量', '合正观澜汇  | 3室2厅 | 88.47平米 | 南 | 其他 | 有电梯', '低楼层(共29层)2016年建板塔结合  -  观澜', '440万', '单价49735元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c481c87c-c58c-45cc-afff-158b536ee348.png.296x216.jpg', '滢水山庄二区 2室2厅 308万', '滢水山庄二区  | 2室2厅 | 62.02平米 | 南 | 其他 | 无电梯', '低楼层(共8层)1999年建板塔结合  -  深圳北站', '308万', '单价49662元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/bd7c8847-33c6-49c4-8f2e-e5ce2e5d09a4.png.280x210.jpg', '绿景香颂 4室1厅 650万', '绿景香颂  | 4室1厅 | 88.63平米 | 北 | 精装 | 有电梯', '高楼层(共30层)2012年建板塔结合  -  深圳北站', '650万', '单价73339元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f91ef9e6-ca1e-4f4b-a7ce-9e77d828550c.png.296x216.jpg', '金地上塘道一期 居家精装三房 三面采光 楼层合适', '金地上塘道一期  | 3室2厅 | 89.38平米 | 西 | 简装 | 有电梯', '中楼层(共24层)2010年建板楼  -  上塘', '585万', '单价65451元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/f5f2dc4d-46a4-4be9-91f3-a161f45bc16b.png.280x210.jpg', '招商澜园，精装修4房，花园中间，满五，送停车位', '招商澜园  | 4室1厅 | 135.82平米 | 南 | 其他 | 有电梯', '高楼层(共25层)2009年建板塔结合  -  观澜', '590万', '单价43440元/平米')
('https://image1.ljcdn.com/440300-inspection/test-3c6957fb-44f1-482a-b242-4c1988ffaa6d.png.296x216.jpg', '丹枫雅苑 1室1厅 230万', '丹枫雅苑  | 1室1厅 | 49.82平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2007年建塔楼  -  龙华中心', '230万', '单价46167元/平米')
('https://image1.ljcdn.com/440300-inspection/test-cbe98d98-e3c7-43db-99ad-5697ab71e190.png.296x216.jpg', '深业泰然观澜玫瑰苑 3室2厅 380万', '深业泰然观澜玫瑰苑  | 3室2厅 | 88.07平米 | 南 北 | 其他 | 有电梯', '中楼层(共31层)2016年建塔楼  -  观澜', '380万', '单价43148元/平米')
('', '观澜富士康北大门总价低单间红本商品房', '启点公寓  | 1室0厅 | 17.48平米 | 西北 | 其他', '中楼层(共12层)板塔结合  -  观澜', '32万', '单价18307元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1d66b4ee-369e-450e-898f-57c718764add.png.296x216.jpg', '特发和平里二期 3室2厅 580万', '特发和平里二期  | 3室2厅 | 90.06平米 | 西北 | 其他', '高楼层(共49层)2015年建板塔结合  -  上塘', '580万', '单价64402元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ee5b7348-2baa-4735-ba0a-eea5c8e0bf70.png.296x216.jpg', '诚心出售  少有三房户型 位置安静', '绿景公馆1866南区  | 3室2厅 | 87.99平米 | 北 | 其他 | 有电梯', '低楼层(共29层)2013年建板楼  -  深圳北站', '650万', '单价73873元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e31de4e1-b89c-415f-b9c5-3b70f70b249e.png.296x216.jpg', '客厅正出阳台，纯南向，全明户型', '潜龙曼海宁花园南区  | 2室1厅 | 69.2平米 | 东南 | 其他 | 有电梯', '低楼层(共28层)2011年建塔楼  -  上塘', '430万', '单价62139元/平米')
('https://image1.ljcdn.com/440300-inspection/test-18540abb-e224-4523-807e-908b8f0a4a3e.png.296x216.jpg', '龙华天虹大4房 满五年、红本在手、业主诚心卖', '御筑轩  | 4室1厅 | 82.43平米 | 南 北 | 其他 | 有电梯', '低楼层(共8层)2013年建板塔结合  -  龙华中心', '550万', '单价66724元/平米')
('', '启点公寓  大单间  满二年红本在手  诚心出售', '启点公寓  | 1室0厅 | 17.48平米 | 南 | 其他', '中楼层(共12层)板塔结合  -  观澜', '26万', '单价14875元/平米')
('https://image1.ljcdn.com/440300-inspection/test-6abe23ef-2712-4c3e-9fb3-32cbbc3cb00e.png.296x216.jpg', '馨园二期 2室1厅 340万', '馨园二期  | 2室1厅 | 85.05平米 | 西南 | 其他 | 有电梯', '低楼层(共10层)2003年建板塔结合  -  民治', '340万', '单价39977元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/adf7c0e2-bfd0-44fa-98e6-b2ed0b477ae9.png.280x210.jpg', '格澜郡二期 3室2厅 520万', '格澜郡二期  | 3室2厅 | 115.95平米 | 南 | 其他 | 有电梯', '低楼层(共16层)2007年建板塔结合  -  观澜', '520万', '单价44847元/平米')
('https://image1.ljcdn.com/440300-inspection/test-bab8a92a-0020-4f55-9202-24a500c0274d.png.296x216.jpg', '四号线清湖站，次新小区三房二卫，随时看房', '保利悦都  | 3室2厅 | 88.9平米 | 东南 | 毛坯', '低楼层(共27层)2016年建板塔结合  -  龙华中心', '430万', '单价48369元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/0cdc6a29-9edf-46d8-9ef6-500d9c0caeca.png.280x210.jpg', '地铁口物业，刚需两房，总价低，业主诚心出售', '金侨花园  | 2室1厅 | 49平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1993年建板塔结合  -  龙华中心', '200万', '单价40817元/平米')
('https://image1.ljcdn.com/440300-inspection/test-3b158fd4-c09d-463d-b8f7-30c8b06e83e1.png.296x216.jpg', '民乐地铁口 精装一房 满五年唯一住宅 可以改小两房', '书香门第上河坊  | 1室1厅 | 41.98平米 | 东南 | 其他 | 有电梯', '高楼层(共23层)2010年建板塔结合  -  深圳北站', '300万', '单价71463元/平米')
('https://image1.ljcdn.com/440300-inspection/6b0b9c42-f2ed-474e-a96b-c80d5c75f32b.jpg.296x216.jpg', '日出印象 电梯房 南北通透户型', '日出印象一期  | 3室2厅 | 113.66平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2005年建板楼  -  深圳北站', '600万', '单价52790元/平米')
('https://image1.ljcdn.com/440300-inspection/test-d859142c-d92e-45ab-bcad-7e92c7c63c9f.png.296x216.jpg', '锦绣江南一期 3室2厅 500万', '锦绣江南一期  | 3室2厅 | 107.06平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2003年建板楼  -  深圳北站', '500万', '单价46703元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a338353a-d425-4737-9f67-9208303d6d69.png.296x216.jpg', '金侨花园 2室2厅 245万', '金侨花园  | 2室2厅 | 58.2平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1993年建板塔结合  -  龙华中心', '245万', '单价42097元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e4d8f3c2-d7cf-4ee6-999e-3a55fa819ee3.png.296x216.jpg', '锦绣御园 4室2厅 760万', '锦绣御园  | 4室2厅 | 149.43平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2013年建板塔结合  -  龙华中心', '760万', '单价50860元/平米')
