('https://image1.ljcdn.com/340100-inspection/84da976b-a06e-477d-a6f4-542f1a6a88b9.jpg.296x216.jpg', '蓝鼎滨湖假日翰林苑 3室2厅 170万', '蓝鼎滨湖假日翰林苑  | 3室2厅 | 86.3平米 | 南 | 其他', '高楼层(共33层)2008年建塔楼  -  滨湖世纪', '170万', '单价19699元/平米')
('', '湖畔景苑 2室2厅 130万', '湖畔景苑  | 2室2厅 | 84平米 | 南 | 其他', '高楼层(共19层)塔楼  -  工业园', '130万', '单价15477元/平米')
('', '蓝鼎滨湖假日金榈园 7室3厅 780万', '蓝鼎滨湖假日金榈园  | 7室3厅 | 178平米 | 南 | 其他', '高楼层(共5层)2013年建板塔结合  -  滨湖世纪', '780万', '单价43821元/平米')
('', '宝能城二期 4室2厅 337.91万', '宝能城二期  | 4室2厅 | 177.35平米 | 南 北 | 其他', '中楼层(共33层)塔楼  -  环湖CBD', '338万', '单价19054元/平米')
('', '送阁楼 南北通透 产权清晰 得房率高', '包河花园E区  | 3室1厅 | 91.53平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  工业园', '120万', '单价13111元/平米')
('https://image1.ljcdn.com/340100-inspection/ac9be843-c7e6-45c1-8d07-ee2ffa3c7109.jpg.296x216.jpg', '世纪城振徽苑 4室1厅 290万', '世纪城振徽苑  | 4室1厅 | 170.77平米 | 南 | 其他', '中楼层(共28层)2011年建塔楼  -  滨湖世纪', '290万', '单价16982元/平米')
('', '南丽湾 3室2厅 145万', '南丽湾  | 3室2厅 | 103平米 | 南 北 | 其他', '中楼层(共18层)塔楼  -  工业园', '145万', '单价14078元/平米')
('', '临湖苑D区 3室2厅 190万', '临湖苑D区  | 3室2厅 | 95.05平米 | 南 | 其他', '中楼层(共28层)2015年建塔楼  -  环湖CBD', '190万', '单价19990元/平米')
('', '世纪城振徽苑 2室1厅 105万', '世纪城振徽苑  | 2室1厅 | 54平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '105万', '单价19445元/平米')
('', '华盛格林雅地 3室2厅 258万', '华盛格林雅地  | 3室2厅 | 138.63平米 | 南 西南 北 | 其他', '高楼层(共18层)2009年建塔楼  -  工业园', '258万', '单价18611元/平米')
('https://image1.ljcdn.com/340100-inspection/7ed07622-11e4-4530-8f4a-ead916019b0d.jpg.296x216.jpg', '世纪城公寓一室一厅户型正气业主诚心出售 采光充足', '世纪金源国际公寓  | 1室1厅 | 70平米 | 南 北 | 其他', '中楼层(共39层)2012年建塔楼  -  滨湖世纪', '63万', '单价9000元/平米')
('', '蓝鼎滨湖假日翰林苑 3室1厅 195万', '蓝鼎滨湖假日翰林苑  | 3室1厅 | 87平米 | 南 | 其他', '低楼层(共33层)2011年建板塔结合  -  滨湖世纪', '195万', '单价22414元/平米')
('', '包河苑E区 2室1厅 80万', '包河苑E区  | 2室1厅 | 70平米 | 南 | 其他', '高楼层(共6层)板楼  -  工业园', '80万', '单价11429元/平米')
('', '水丽坊自在城 2室2厅 128万', '水丽坊自在城  | 2室2厅 | 89平米 | 南 | 其他', '低楼层(共33层)塔楼  -  工业园', '128万', '单价14383元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadb73ca019-d173-4a6f-8c88-d6a364ce5c38.jpg.296x216.jpg', '世纪城振徽苑 4室2厅 275万', '世纪城振徽苑  | 4室2厅 | 139平米 | 南 | 其他', '中楼层(共33层)2011年建板楼  -  滨湖世纪', '275万', '单价19785元/平米')
('', '滨湖惠园 2室1厅 99万', '滨湖惠园  | 2室1厅 | 55.96平米 | 南 | 其他', '高楼层(共28层)2008年建塔楼  -  滨湖世纪', '99万', '单价17692元/平米')
('', '世纪城振徽苑 1室1厅 96万', '世纪城振徽苑  | 1室1厅 | 53.62平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '96万', '单价17904元/平米')
('', '华盛格林丽景 3室2厅 142万', '华盛格林丽景  | 3室2厅 | 89.81平米 | 南 北 | 其他', '低楼层(共22层)塔楼  -  工业园', '142万', '单价15812元/平米')
('https://image1.ljcdn.com/340100-inspection/0b75c22a-42e2-4bd3-a1c1-0cc0bb6c609b.jpg.296x216.jpg', '文一高品质住宅，省政府区域，送大阁楼，带车位！', '文一名门湖语  | 4室2厅 | 99.19平米 | 南 北 | 其他', '高楼层(共8层)板楼  -  方兴', '300万', '单价30245元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload8d4cfdcf-cb29-4d0b-82e7-6b6914d67efb.jpg.296x216.jpg', '宝能城 1室1厅 85万', '宝能城  | 1室1厅 | 45.11平米 | 北 | 其他', '中楼层(共32层)2015年建板楼  -  环湖CBD', '85万', '单价18843元/平米')
('https://image1.ljcdn.com/340100-inspection/9cb8e11f-be97-4380-83f9-7032229fec46.JPG.296x216.jpg', '保利拉菲公馆 2室2厅 166万', '保利拉菲公馆  | 2室2厅 | 80平米 | 南 | 其他', '中楼层(共31层)2014年建板塔结合  -  烟墩', '166万', '单价20750元/平米')
('', '保利拉菲公馆 2室2厅 160万', '保利拉菲公馆  | 2室2厅 | 83.48平米 | 南 | 其他', '中楼层(共33层)2015年建板塔结合  -  烟墩', '160万', '单价19167元/平米')
('', '未来领地 1室1厅 45万', '未来领地  | 1室1厅 | 56.12平米 | 南 | 其他', '高楼层(共26层)塔楼  -  环湖CBD', '45万', '单价8019元/平米')
('', '临湖苑E区 3室2厅 202万', '临湖苑E区  | 3室2厅 | 95.21平米 | 南 | 其他', '低楼层(共28层)2014年建板楼  -  环湖CBD', '202万', '单价21217元/平米')
('', '中间楼层，户型方正，业主诚心出售价格能谈', '世纪城临滨苑  | 4室2厅 | 135平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '249万', '单价18445元/平米')
('', '华盛格林丽景 3室2厅 185万', '华盛格林丽景  | 3室2厅 | 112平米 | 南 北 | 其他', '低楼层(共18层)塔楼  -  工业园', '185万', '单价16518元/平米')
('', '滨湖新地城 1室1厅 41万', '滨湖新地城  | 1室1厅 | 40.98平米 | 北 | 其他', '中楼层(共28层)板塔结合  -  滨湖世纪', '41万', '单价10005元/平米')
('https://image1.ljcdn.com/340100-inspection/6c1aeb49-f45e-486f-9cd3-64246fea5a73.jpg.296x216.jpg', '书香门第西区 2室1厅 140万', '书香门第西区  | 2室1厅 | 63平米 | 东南 南 | 其他', '高楼层(共34层)塔楼  -  滨湖世纪', '140万', '单价22223元/平米')
('', '万达揽湖苑 3室2厅 240万', '万达揽湖苑  | 3室2厅 | 103.05平米 | 南 | 其他', '高楼层(共34层)2016年建板楼  -  环湖CBD', '240万', '单价23290元/平米')
('', '蓝鼎观湖苑 2室1厅 126万', '蓝鼎观湖苑  | 2室1厅 | 68平米 | 南 北 | 其他', '中楼层(共33层)2010年建塔楼  -  滨湖世纪', '126万', '单价18530元/平米')
('', '未来领地 1室1厅 35万', '未来领地  | 1室1厅 | 43.01平米 | 南 | 其他', '高楼层(共26层)塔楼  -  环湖CBD', '35万', '单价8138元/平米')
('https://image1.ljcdn.com/340100-inspection/7c72e17a-73d9-489f-9288-b9c029c1e085.JPG.296x216.jpg', '蓝鼎滨湖假日翰林苑 3室1厅 207万', '蓝鼎滨湖假日翰林苑  | 3室1厅 | 86.91平米 | 南 | 其他', '中楼层(共33层)2008年建板塔结合  -  滨湖世纪', '207万', '单价23818元/平米')
('', '书香门第东区 3室2厅 220万', '书香门第东区  | 3室2厅 | 94.25平米 | 南 北 | 其他', '低楼层(共31层)2013年建塔楼  -  滨湖世纪', '220万', '单价23343元/平米')
('', '华盛格林丽景 3室2厅 135万', '华盛格林丽景  | 3室2厅 | 88.47平米 | 南 北 | 其他', '低楼层(共22层)塔楼  -  工业园', '135万', '单价15260元/平米')
('', '皖都徽韵和锦园 1室1厅 80万', '皖都徽韵和锦园  | 1室1厅 | 55平米 | 南 | 其他', '高楼层(共18层)塔楼  -  工业园', '80万', '单价14546元/平米')
('', '皖都徽韵和锦园 1室1厅 70万', '皖都徽韵和锦园  | 1室1厅 | 45平米 | 南 | 其他', '中楼层(共18层)塔楼  -  工业园', '70万', '单价15556元/平米')
('', '皖都徽韵和锦园 1室1厅 68万', '皖都徽韵和锦园  | 1室1厅 | 43平米 | 南 | 其他', '中楼层(共18层)塔楼  -  工业园', '68万', '单价15814元/平米')
('', '巴黎都市凯旋宫 3室2厅 350万', '巴黎都市凯旋宫  | 3室2厅 | 131平米 | 南 | 其他', '高楼层(共34层)2014年建塔楼  -  方兴', '350万', '单价26718元/平米')
('', '合肥云谷 3室2厅 192万', '合肥云谷  | 3室2厅 | 111平米 | 南 | 毛坯', '低楼层(共30层)暂无数据  -  烟墩', '192万', '单价17298元/平米')
('', '东方蓝海六期 2室2厅 174万', '东方蓝海六期  | 2室2厅 | 82平米 | 南 | 其他', '高楼层(共33层)塔楼  -  环湖CBD', '174万', '单价21220元/平米')
('', '滨湖阳光里 3室2厅 140万', '滨湖阳光里  | 3室2厅 | 89平米 | 南 | 其他', '高楼层(共28层)板塔结合  -  工业园', '140万', '单价15731元/平米')
('https://image1.ljcdn.com/340100-inspection/2497d4a0-bc31-4d17-884f-d5a101d24ed3.JPG.296x216.jpg', '世纪城振徽苑 3室1厅 185万', '世纪城振徽苑  | 3室1厅 | 118平米 | 南 | 其他', '中楼层(共28层)2011年建塔楼  -  滨湖世纪', '185万', '单价15678元/平米')
('https://image1.ljcdn.com/340100-inspection/5fb5bb73-0c4e-4953-9558-4c70b07fe62b.jpg.296x216.jpg', '为你而选为你为家，信达银杏尚郡，南北通透三房', '信达银杏尚郡  | 3室2厅 | 140平米 | 南 北 | 其他', '低楼层(共30层)暂无数据  -  骆岗', '273万', '单价19500元/平米')
('', '包河苑 3室1厅 120万', '包河苑  | 3室1厅 | 95平米 | 南 | 其他', '高楼层(共6层)板楼  -  工业园', '120万', '单价12632元/平米')
('', '235平大平层 送80平方大阳台 全天采光 俯瞰整个滨湖', '滨湖世纪城福徽苑  | 4室2厅 | 235平米 | 南 | 其他', '中楼层(共42层)2010年建塔楼  -  滨湖世纪', '500万', '单价21277元/平米')
('', '皖都徽韵和锦园 2室2厅 145万', '皖都徽韵和锦园  | 2室2厅 | 99.2平米 | 南 | 其他', '低楼层(共18层)塔楼  -  工业园', '145万', '单价14617元/平米')
('', '巴黎都市波旁宫 170万带个产权车位', '巴黎都市波旁宫  | 3室2厅 | 95平米 | 南 | 其他', '低楼层(共30层)2014年建塔楼  -  方兴', '170万', '单价17895元/平米')
('', '蓝鼎滨湖假日翰林苑 3室2厅 240万', '蓝鼎滨湖假日翰林苑  | 3室2厅 | 93.63平米 | 南 | 其他', '高楼层(共33层)2008年建塔楼  -  滨湖世纪', '240万', '单价25633元/平米')
('', '滨湖万科城 3室2厅 205万', '滨湖万科城  | 3室2厅 | 91平米 | 南 北 | 其他', '中楼层(共34层)2013年建板楼  -  烟墩', '205万', '单价22528元/平米')
('', '万达悦湖苑 3室2厅 180万', '万达悦湖苑  | 3室2厅 | 100平米 | 南 | 其他', '高楼层(共29层)2016年建塔楼  -  环湖CBD', '180万', '单价18000元/平米')
('', '皖都徽韵和锦园 2室1厅 135万', '皖都徽韵和锦园  | 2室1厅 | 85平米 | 南 | 其他', '中楼层(共18层)塔楼  -  工业园', '135万', '单价15883元/平米')
('', '滨湖阳光里 3室2厅 165万', '滨湖阳光里  | 3室2厅 | 97.37平米 | 南 西 北 | 其他', '中楼层(共33层)暂无数据  -  工业园', '165万', '单价16946元/平米')
('', '南北通透双阳台，楼层好，采光视野好', '世纪城琼林苑  | 3室2厅 | 113.71平米 | 南 北 | 其他', '高楼层(共33层)2011年建塔楼  -  滨湖世纪', '220万', '单价19348元/平米')
('', '皖都徽韵和锦园 1室1厅 68万', '皖都徽韵和锦园  | 1室1厅 | 44平米 | 南 北 | 其他', '低楼层(共18层)塔楼  -  工业园', '68万', '单价15455元/平米')
('', '万象公馆南区 3室2厅 200万', '万象公馆南区  | 3室2厅 | 122.12平米 | 南 | 其他', '低楼层(共21层)2016年建塔楼  -  烟墩', '200万', '单价16378元/平米')
('', '宝能城 4室2厅 230万', '宝能城  | 4室2厅 | 115平米 | 南 | 其他', '低楼层(共32层)2015年建板楼  -  环湖CBD', '230万', '单价20000元/平米')
('', '和昌中央城邦 3室2厅 160万', '和昌中央城邦  | 3室2厅 | 91平米 | 南 | 其他', '低楼层(共34层)塔楼  -  工业园', '160万', '单价17583元/平米')
('https://image1.ljcdn.com/340100-inspection/1eef99de-3c88-4173-a428-45317193e955.JPG.296x216.jpg', '旭辉御府 2室1厅 165万', '旭辉御府  | 2室1厅 | 88.18平米 | 南 | 其他', '高楼层(共34层)2014年建塔楼  -  烟墩', '165万', '单价18712元/平米')
('', '南丽湾 2室2厅 120万', '南丽湾  | 2室2厅 | 91.09平米 | 南 | 其他', '低楼层(共18层)塔楼  -  工业园', '120万', '单价13174元/平米')
('', '滨湖阳光里 3室2厅 162万', '滨湖阳光里  | 3室2厅 | 97.37平米 | 南 西 北 | 其他', '低楼层(共33层)暂无数据  -  工业园', '162万', '单价16638元/平米')
('', '世纪城徽杰苑，南北通透四房，出行方便，看房方便。', '世纪城徽杰苑  | 4室2厅 | 148.09平米 | 南 北 | 毛坯', '低楼层(共28层)2011年建塔楼  -  滨湖世纪', '248万', '单价16747元/平米')
('', '皖都徽韵和馨园 3室2厅 215万', '皖都徽韵和馨园  | 3室2厅 | 143.53平米 | 南 | 其他', '低楼层(共11层)2015年建塔楼  -  工业园', '215万', '单价14980元/平米')
('', '万象公馆 精装拎包住 三房朝南 户型方正 通透采光好', '万象公馆南区  | 3室2厅 | 132平米 | 南 | 其他', '低楼层(共31层)暂无数据  -  烟墩', '237万', '单价17955元/平米')
('', '万达悦湖苑 3室2厅 215万', '万达悦湖苑  | 3室2厅 | 119平米 | 南 北 | 其他', '高楼层(共33层)2016年建塔楼  -  环湖CBD', '215万', '单价18068元/平米')
('', '和昌中央城邦 1室1厅 70万', '和昌中央城邦  | 1室1厅 | 42.11平米 | 北 | 其他', '中楼层(共10层)暂无数据  -  工业园', '70万', '单价16624元/平米')
('', '东方蓝海 3室2厅 380万', '东方蓝海  | 3室2厅 | 197.46平米 | 南 | 其他', '中楼层(共28层)2014年建板楼  -  环湖CBD', '380万', '单价19245元/平米')
('', '南丽湾中间楼层 文化科技园，精装修随时看房', '南丽湾  | 2室2厅 | 80平米 | 南 | 其他', '中楼层(共18层)塔楼  -  工业园', '125万', '单价15625元/平米')
('', '华盛格林丽景 3室2厅 136万', '华盛格林丽景  | 3室2厅 | 86.9平米 | 南 | 其他', '高楼层(共22层)塔楼  -  工业园', '136万', '单价15651元/平米')
('', '世纪城临滨苑 经典三居 两房朝南 全天采光 视野开阔', '世纪城临滨苑  | 3室2厅 | 94.91平米 | 南 | 简装', '中楼层(共33层)2011年建塔楼  -  滨湖世纪', '165万', '单价17385元/平米')
('', '高速时代广场公寓 1室1厅 72万', '高速时代广场公寓  | 1室1厅 | 65平米 | 南 | 其他', '中楼层(共32层)2014年建塔楼  -  烟墩', '72万', '单价11077元/平米')
('', '滨湖明珠 3室2厅 320万', '滨湖明珠  | 3室2厅 | 126.88平米 | 南 | 其他', '中楼层(共33层)2007年建塔楼  -  滨湖世纪', '320万', '单价25221元/平米')
('', '未来领地 1室0厅 60万', '未来领地  | 1室0厅 | 56.12平米 | 南 | 其他', '中楼层(共23层)塔楼  -  环湖CBD', '60万', '单价10692元/平米')
('', '皖都徽韵和锦园 1室1厅 80万', '皖都徽韵和锦园  | 1室1厅 | 55平米 | 南 | 其他', '低楼层(共18层)塔楼  -  工业园', '80万', '单价14546元/平米')
('', '万达揽湖苑 3室2厅 240万', '万达揽湖苑  | 3室2厅 | 124.43平米 | 南 | 其他', '高楼层(共31层)2016年建板楼  -  环湖CBD', '240万', '单价19288元/平米')
('', '南丽湾精装修，入住率高，交通便利，房东诚心卖', '南丽湾  | 2室2厅 | 79.52平米 | 南 | 其他', '高楼层(共18层)塔楼  -  工业园', '121万', '单价15217元/平米')
('', '滨湖阳光里 3室2厅 147万', '滨湖阳光里  | 3室2厅 | 86.45平米 | 南 北 | 其他', '中楼层(共33层)暂无数据  -  工业园', '147万', '单价17005元/平米')
('', '40年产权公寓。视野好，采光好，民用用电通燃气，可谈', '高速时代广场公寓  | 2室2厅 | 90.08平米 | 南 | 其他', '中楼层(共33层)2014年建塔楼  -  烟墩', '90万', '单价9992元/平米')
('', '中铁滨湖名邸 大两房 看房方便', '中铁滨湖名邸  | 2室2厅 | 93.4平米 | 南 | 其他', '中楼层(共33层)2013年建板楼  -  烟墩', '188万', '单价20129元/平米')
('', '琥珀瑞安家园 3室2厅 200万', '琥珀瑞安家园  | 3室2厅 | 111.83平米 | 南 | 其他', '高楼层(共33层)2016年建塔楼  -  方兴', '200万', '单价17885元/平米')
('', '滨湖阳光里 2室2厅 150万', '滨湖阳光里  | 2室2厅 | 93平米 | 南 | 其他', '高楼层(共33层)暂无数据  -  工业园', '150万', '单价16130元/平米')
('', '皖都徽韵和锦园 3室2厅 180万', '皖都徽韵和锦园  | 3室2厅 | 107平米 | 南 北 | 其他', '低楼层(共18层)塔楼  -  工业园', '180万', '单价16823元/平米')
('', '万达悦湖苑 3室2厅 190万', '万达悦湖苑  | 3室2厅 | 103平米 | 南 | 其他', '中楼层(共33层)2016年建塔楼  -  环湖CBD', '190万', '单价18447元/平米')
('https://image1.ljcdn.com/340100-inspection/3eeed953-5175-4f90-bfa8-ff21792f204f.JPG.296x216.jpg', '小户型商品房 价格优惠 民用水电 位置佳交通便利', '宝能城  | 1室1厅 | 54.05平米 | 南 | 其他', '高楼层(共32层)2015年建板楼  -  环湖CBD', '110万', '单价20352元/平米')
('', '滨湖阳光里 3室2厅 145万', '滨湖阳光里  | 3室2厅 | 88.27平米 | 南 北 | 其他', '低楼层(共28层)板塔结合  -  工业园', '145万', '单价16427元/平米')
('', '临湖苑 大 三 居 业主诚心出售 主卧面积大含 衣帽间', '临湖苑D区  | 3室2厅 | 125.73平米 | 南 | 其他', '低楼层(共26层)2015年建塔楼  -  环湖CBD', '225万', '单价17896元/平米')
('', '万科蓝山二期 中间户精装自住带车位 不临街不临路', '万科蓝山二期  | 3室2厅 | 93平米 | 南 | 其他', '高楼层(共34层)2015年建塔楼  -  方兴', '215万', '单价23119元/平米')
('', '高速时代城二期 2室1厅 120万', '高速时代城二期  | 2室1厅 | 61.49平米 | 南 | 其他', '中楼层(共17层)2015年建塔楼  -  方兴', '120万', '单价19516元/平米')
('', '滨湖阳光里 3室2厅 170万', '滨湖阳光里  | 3室2厅 | 97平米 | 南 西北 | 其他', '高楼层(共33层)暂无数据  -  工业园', '170万', '单价17526元/平米')
('https://image1.ljcdn.com/340100-inspection/bff827bc-3ab8-4ed7-a5c9-476ff1a880b2.JPG.296x216.jpg', '高速时代广场公寓 1室1厅 68万', '高速时代广场公寓  | 1室1厅 | 64.92平米 | 南 | 其他', '中楼层(共32层)2014年建塔楼  -  烟墩', '68万', '单价10475元/平米')
('', '万达揽湖苑 3室2厅 235万', '万达揽湖苑  | 3室2厅 | 124.85平米 | 南 | 其他', '低楼层(共25层)2016年建板楼  -  环湖CBD', '235万', '单价18823元/平米')
('', '蓝山花园 悦方 高层东边户  满两年  产证在手', '万科蓝山一期  | 4室2厅 | 93.82平米 | 南 北 | 其他', '高楼层(共34层)2016年建塔楼  -  方兴', '220万', '单价23450元/平米')
('', '滨湖阳光里 3室2厅 145万', '滨湖阳光里  | 3室2厅 | 88.27平米 | 南 | 其他', '中楼层(共33层)暂无数据  -  工业园', '145万', '单价16427元/平米')
('', '水丽坊自在城 2室2厅 128万', '水丽坊自在城  | 2室2厅 | 88.94平米 | 南 | 其他', '低楼层(共33层)塔楼  -  工业园', '128万', '单价14392元/平米')
('', '南丽湾 2室2厅 136万', '南丽湾  | 2室2厅 | 91.09平米 | 南 | 其他', '低楼层(共18层)塔楼  -  工业园', '136万', '单价14931元/平米')
('', '滨湖欣园 3室1厅 101万', '滨湖欣园  | 3室1厅 | 90平米 | 南 | 其他', '低楼层(共33层)2013年建板塔结合  -  烟墩', '101万', '单价11223元/平米')
('', '滨湖阳光里 3室2厅 165万', '滨湖阳光里  | 3室2厅 | 97.45平米 | 南 西北 | 其他', '低楼层(共28层)2017年建板塔结合  -  工业园', '165万', '单价16932元/平米')
('https://image1.ljcdn.com/340100-inspection/44cefe13-d167-4fee-a03a-c34b74e321b4.JPG.296x216.jpg', '蓝鼎观湖苑 2室1厅 170万', '蓝鼎观湖苑  | 2室1厅 | 96.69平米 | 南 | 其他', '高楼层(共33层)2010年建塔楼  -  滨湖世纪', '170万', '单价17582元/平米')
('', '合肥云谷 3室2厅 210万', '合肥云谷  | 3室2厅 | 112平米 | 南 | 其他', '高楼层(共31层)2019年建板塔结合  -  烟墩', '210万', '单价18750元/平米')
('', '华冶水晶公馆边户4房。业主诚售', '华冶水晶公馆  | 4室1厅 | 126平米 | 南 北 | 其他', '低楼层(共30层)2014年建塔楼  -  烟墩', '226万', '单价17937元/平米')
('', '包河花园E区 2室1厅 87万', '包河花园E区  | 2室1厅 | 62平米 | 南 | 其他', '中楼层(共6层)2000年建板楼  -  工业园', '87万', '单价14033元/平米')
('', '水丽坊自在城 1室1厅 90万', '水丽坊自在城  | 1室1厅 | 58.25平米 | 南 | 其他', '高楼层(共18层)塔楼  -  工业园', '90万', '单价15451元/平米')
('', '华盛格林丽景 3室2厅 188万', '华盛格林丽景  | 3室2厅 | 111平米 | 南 | 其他', '低楼层(共18层)塔楼  -  工业园', '188万', '单价16937元/平米')
('', '滨湖惠园 2室1厅 92万', '滨湖惠园  | 2室1厅 | 58平米 | 南 | 其他', '高楼层(共28层)2008年建塔楼  -  滨湖世纪', '92万', '单价15863元/平米')
('', '华夏茗湾学府 2室1厅 135万', '华夏茗湾学府  | 2室1厅 | 78.33平米 | 南 | 其他', '低楼层(共17层)塔楼  -  工业园', '135万', '单价17235元/平米')
('', '皖新朗诗绿郡 1室1厅 140万', '皖新朗诗绿郡  | 1室1厅 | 54.06平米 | 南 | 其他', '中楼层(共8层)暂无数据  -  环湖CBD', '140万', '单价25898元/平米')
('https://image1.ljcdn.com/340100-inspection/a921740f-6b2e-4a4c-aeba-da05a4a6260a.JPG.296x216.jpg', '临湖苑A区 3室1厅 180万', '临湖苑A区  | 3室1厅 | 94.17平米 | 南 | 其他', '低楼层(共36层)2014年建塔楼  -  环湖CBD', '180万', '单价19115元/平米')
('', '水丽坊自在城 2室2厅 146万', '水丽坊自在城  | 2室2厅 | 88.26平米 | 南 | 其他', '中楼层(共33层)塔楼  -  工业园', '146万', '单价16543元/平米')
('', '九珑湾 3室2厅 245万', '九珑湾  | 3室2厅 | 126平米 | 南 | 其他', '高楼层(共31层)2010年建板塔结合  -  工业园', '245万', '单价19445元/平米')
('', '皖都徽韵和锦园 1室1厅 70万', '皖都徽韵和锦园  | 1室1厅 | 43平米 | 南 | 其他', '中楼层(共18层)塔楼  -  工业园', '70万', '单价16280元/平米')
('', '毛坯大两房 厅、厨、卧、卫都朝南 中区采光良好', '中铁滨湖名邸  | 2室2厅 | 93.36平米 | 南 | 其他', '高楼层(共33层)2013年建板楼  -  烟墩', '177万', '单价18959元/平米')
('', '世纪城徽杰苑 1室1厅 100万', '世纪城徽杰苑  | 1室1厅 | 54平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '100万', '单价18519元/平米')
('', '皖新朗诗绿郡 3室2厅 285万', '皖新朗诗绿郡  | 3室2厅 | 126平米 | 南 北 | 其他', '中楼层(共32层)塔楼  -  环湖CBD', '285万', '单价22620元/平米')
('', '世纪城徽昌苑 3室2厅 220万', '世纪城徽昌苑  | 3室2厅 | 115.2平米 | 南 北 | 其他', '高楼层(共33层)2011年建塔楼  -  滨湖世纪', '220万', '单价19098元/平米')
('', '滨湖欣园 2室1厅 80万', '滨湖欣园  | 2室1厅 | 60平米 | 南 | 其他', '高楼层(共33层)2013年建板塔结合  -  烟墩', '80万', '单价13334元/平米')
('', '滨湖惠园 2室1厅 92万', '滨湖惠园  | 2室1厅 | 55.8平米 | 东北 | 其他', '低楼层(共28层)2008年建塔楼  -  滨湖世纪', '92万', '单价16488元/平米')
('', '世纪城琼林苑 2室1厅 62万', '世纪城琼林苑  | 2室1厅 | 70.53平米 | 南 | 其他', '高楼层(共38层)2011年建塔楼  -  滨湖世纪', '62万', '单价8791元/平米')
('', '世纪城徽杰苑 4室1厅 252万', '世纪城徽杰苑  | 4室1厅 | 137.55平米 | 南 北 | 其他', '中楼层(共28层)2011年建塔楼  -  滨湖世纪', '252万', '单价18321元/平米')
('', '世纪城树荫苑 2室2厅 158万', '世纪城树荫苑  | 2室2厅 | 80.71平米 | 南 | 其他', '低楼层(共33层)2010年建塔楼  -  滨湖世纪', '158万', '单价19577元/平米')
('', '临湖苑C区 3室2厅 200万', '临湖苑C区  | 3室2厅 | 97平米 | 南 北 | 其他', '低楼层(共33层)2015年建塔楼  -  环湖CBD', '200万', '单价20619元/平米')
('', '世纪城徽昌苑 4室2厅 240万', '世纪城徽昌苑  | 4室2厅 | 134.88平米 | 南 | 其他', '中楼层(共33层)2012年建塔楼  -  滨湖世纪', '240万', '单价17794元/平米')
('', '万达银座 1室1厅 57万', '万达银座  | 1室1厅 | 47平米 | 南 | 其他', '高楼层(共54层)塔楼  -  环湖CBD', '57万', '单价12128元/平米')
('', '滨湖新地城单身公寓 配套齐全 诚心出售 拎包即住', '滨湖新地城  | 1室1厅 | 50平米 | 北 | 其他', '中楼层(共28层)板塔结合  -  滨湖世纪', '50万', '单价10000元/平米')
('', '世纪城琼林苑 2室1厅 65万', '世纪城琼林苑  | 2室1厅 | 72.89平米 | 南 | 其他', '高楼层(共38层)2011年建塔楼  -  滨湖世纪', '65万', '单价8918元/平米')
('', '世纪城徽杰苑 3室2厅 165万', '世纪城徽杰苑  | 3室2厅 | 92.77平米 | 南 | 其他', '低楼层(共26层)2011年建塔楼  -  滨湖世纪', '165万', '单价17786元/平米')
('', '世纪城徽昌苑 3室2厅 172万', '世纪城徽昌苑  | 3室2厅 | 93.56平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '172万', '单价18384元/平米')
('', '临湖苑C区 3室2厅 250万', '临湖苑C区  | 3室2厅 | 118平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  环湖CBD', '250万', '单价21187元/平米')
('', '南丽湾 3室2厅 146万', '南丽湾  | 3室2厅 | 103.26平米 | 南 北 | 其他', '中楼层(共18层)塔楼  -  工业园', '146万', '单价14140元/平米')
('', '东方蓝海二期 3室2厅 185万', '东方蓝海二期  | 3室2厅 | 94.3平米 | 南 | 其他', '低楼层(共33层)暂无数据  -  环湖CBD', '185万', '单价19619元/平米')
('https://image1.ljcdn.com/340100-inspection/9cd4b90e-cdcb-42a0-b232-bbec90d18c46.JPG.296x216.jpg', '宝能城 3室2厅 170万', '宝能城  | 3室2厅 | 93.96平米 | 南 | 其他', '高楼层(共27层)2015年建板楼  -  环湖CBD', '170万', '单价18093元/平米')
('', '世纪城琼林苑 2室2厅 190万', '世纪城琼林苑  | 2室2厅 | 94平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '190万', '单价20213元/平米')
('', '诚心出售地段好 名企恒大开发物业优质 精装三房', '恒大中心  | 3室2厅 | 125平米 | 南 北 | 其他', '低楼层(共37层)板塔结合  -  环湖CBD', '237万', '单价18960元/平米')
('', '南丽湾 3室2厅 155万', '南丽湾  | 3室2厅 | 103.26平米 | 南 北 | 其他', '低楼层(共18层)塔楼  -  工业园', '155万', '单价15011元/平米')
