('https://image1.ljcdn.com/420100-inspection/test-99411fed-11d8-4853-8687-37731914a036.png.296x216.jpg', '阳逻保利圆梦城 3房2厅1厨2卫 毛坯现房', '保利圆梦城十区  | 3室2厅 | 107.3平米 | 南 北 | 其他', '高楼层(共34层)暂无数据  -  阳逻', '90万', '单价8388元/平米')
('https://image1.ljcdn.com/420100-inspection/e08bcef5-58ff-4516-ba2d-90aca60a31d4.jpg.296x216.jpg', '长江御龙新城 高楼层 视野开阔 两室两厅 70万诚心出售', '长江御龙新城  | 2室2厅 | 86平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2016年建板塔结合  -  阳逻', '70万', '单价8140元/平米')
('', '阳逻 新澳城市印象 2房2厅 地铁房', '新澳城市印象  | 2室2厅 | 86.6平米 | 南 | 其他 | 有电梯', '低楼层(共29层)2013年建板楼  -  阳逻', '76万', '单价8776元/平米')
('', '阳光新港中央花园城 3室2厅 95万', '阳光新港中央花园城  | 3室2厅 | 108平米 | 南 北 | 其他', '中楼层(共17层)2018年建板楼  -  阳逻', '95万', '单价8797元/平米')
('', '新洲 阳逻开发区 中-央花园城 复试三房 诚心出售', '阳光新港中央花园城  | 3室2厅 | 92.72平米 | 南 | 其他', '中楼层(共12层)暂无数据  -  阳逻', '90万', '单价9707元/平米')
('https://image1.ljcdn.com/420100-inspection/test-ed7ca0fb-c2c8-4602-80b8-0df0b838267d.png.296x216.jpg', '阳逻中 央花园城109平证满两年大三房 南北通透103万', '阳光新港中央花园城  | 3室2厅 | 109.75平米 | 南 北 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '103万', '单价9385元/平米')
('', '阳逻欣隆湖滨半岛 开发区 地铁口  楼层佳', '欣隆湖滨半岛  | 3室2厅 | 100.28平米 | 南 | 其他', '高楼层(共18层)2012年建板楼  -  阳逻', '95万', '单价9474元/平米')
('', '新洲区阳逻财富广场两室两厅，户型方正，业主诚心出售', '阳逻财富广场  | 2室2厅 | 35平米 | 南 | 其他', '中楼层(共16层)2015年建塔楼  -  阳逻', '42万', '单价12000元/平米')
('', '欣隆湖滨半岛户型方正，南北通透，通风采光好居住舒适', '欣隆湖滨半岛  | 3室2厅 | 115平米 | 南 北 | 其他', '低楼层(共11层)2012年建板楼  -  阳逻', '105万', '单价9131元/平米')
('', '枫清泊静 3室2厅 80万', '枫清泊静  | 3室2厅 | 104平米 | 南 北 | 其他', '高楼层(共12层)暂无数据  -  阳逻', '80万', '单价7693元/平米')
('', '阳光明珠 3室2厅 95万', '阳光明珠  | 3室2厅 | 117平米 | 南 | 其他', '中楼层(共7层)暂无数据  -  阳逻', '95万', '单价8120元/平米')
('https://image1.ljcdn.com/420100-inspection/test-0dd26757-b1f3-4591-a693-66c8f3e92084.png.296x216.jpg', '阳逻中 央花园城证满税费低精装两房 全新家具家电', '阳光新港中央花园城  | 2室2厅 | 79平米 | 南 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '82万', '单价10380元/平米')
('', '新洲区阳逻阳光新港中 央花园城毛坯房，80万诚心出售', '阳光新港中央花园城  | 3室2厅 | 93平米 | 南 | 其他', '低楼层(共17层)暂无数据  -  阳逻', '80万', '单价8603元/平米')
('', '阳逻中-央花园城毛坯3房，南北通透，户型方正采光好', '阳光新港中央花园城  | 3室2厅 | 108平米 | 南 北 | 其他', '中楼层(共17层)2018年建板楼  -  阳逻', '98万', '单价9075元/平米')
('', '欣隆湖滨半岛好户型，好楼层，明厨明卫，采光充足！', '欣隆湖滨半岛  | 3室2厅 | 114.75平米 | 南 北 | 其他', '高楼层(共11层)2012年建板楼  -  阳逻', '115万', '单价10022元/平米')
('', '阳逻佳阳国际精装三居室拎包入住地铁房价格美丽', '佳阳国际  | 3室2厅 | 140.58平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '105万', '单价7470元/平米')
('', '天琴湾 2室2厅 73万', '天琴湾  | 2室2厅 | 88.76平米 | 南 | 其他', '中楼层(共6层)2016年建板楼  -  阳逻', '73万', '单价8225元/平米')
('https://image1.ljcdn.com/420100-inspection/test-cbe432d0-8fb1-4e8e-a5ef-2f9658a510ba.png.296x216.jpg', '阳逻中 央花园城107平南北通透毛坯三室两厅90万双阳台', '阳光新港中央花园城  | 3室2厅 | 107平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '90万', '单价8412元/平米')
('', '新澳城市印象毛坯大三房，南北通透，户型方正，采光好', '新澳城市印象  | 3室2厅 | 116.63平米 | 南 北 | 其他 | 有电梯', '低楼层(共28层)2013年建板楼  -  阳逻', '110万', '单价9432元/平米')
('', '阳逻枫桦雅苑3房，南北通透户型吧，房子采光好通透', '枫桦雅苑  | 3室2厅 | 122.91平米 | 南 北 | 其他 | 有电梯', '中楼层(共17层)2015年建板塔结合  -  阳逻', '106万', '单价8625元/平米')
('', '阳逻中 央花园城91平正规三房80万 中高楼层 视野开阔', '阳光新港中央花园城  | 3室2厅 | 91.7平米 | 南 | 其他', '中楼层(共17层)2014年建板楼  -  阳逻', '80万', '单价8725元/平米')
('', '阳光新港中央花园城 3室2厅 105万', '阳光新港中央花园城  | 3室2厅 | 126.7平米 | 南 北 | 其他', '中楼层(共17层)2014年建板楼  -  阳逻', '105万', '单价8288元/平米')
('', '东城明珠 3室2厅 85万', '东城明珠  | 3室2厅 | 131平米 | 南 北 | 其他', '中楼层(共10层)暂无数据  -  阳逻', '85万', '单价6489元/平米')
('https://image1.ljcdn.com/420100-inspection/test-b553b8a4-5903-4842-8cde-09b90c452dc0.png.296x216.jpg', '阳逻佳阳国际137平毛坯大三房，南北通透，中间楼层', '佳阳国际  | 3室2厅 | 137.48平米 | 南 北 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '95万', '单价6911元/平米')
('', '东方新天地 3室2厅 95万', '东方新天地  | 3室2厅 | 140平米 | 东南 | 其他', '高楼层(共10层)2008年建板楼  -  阳逻', '95万', '单价6786元/平米')
('', '阳逻毛坯一室一厅，中间楼层，无遮挡', '枫桦雅苑  | 1室1厅 | 59.34平米 | 南 | 其他 | 有电梯', '高楼层(共25层)2015年建板塔结合  -  阳逻', '30万', '单价5056元/平米')
('', '阳逻中 央花园城92平毛坯复式楼78万，实用空间超大', '阳光新港中央花园城  | 3室2厅 | 93.19平米 | 南 | 其他', '高楼层(共17层)2014年建板楼  -  阳逻', '78万', '单价8370元/平米')
('', '阳光新港中央花园城 3室2厅 77万', '阳光新港中央花园城  | 3室2厅 | 93.2平米 | 南 北 | 其他', '低楼层(共17层)暂无数据  -  阳逻', '77万', '单价8262元/平米')
('', '新洲 阳逻开发区 中-央花园城 装修两房 证满', '阳光新港中央花园城  | 2室2厅 | 91平米 | 南 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '90万', '单价9891元/平米')
('https://image1.ljcdn.com/420100-inspection/test-9f53956d-bda7-4ba3-8a10-96e5a552f5da.png.296x216.jpg', '阳光新港中 央花园城毛坯大三房 南北双阳台看房免费', '阳光新港中央花园城  | 3室2厅 | 114平米 | 南 北 | 其他', '低楼层(共17层)2015年建板楼  -  阳逻', '95万', '单价8334元/平米')
('', '新洲区阳逻环湖环园毛坯三房，南北通透户型，诚心出售', '佳运环湖花园  | 3室2厅 | 130.56平米 | 南 北 | 其他', '高楼层(共7层)暂无数据  -  阳逻', '74万', '单价5668元/平米')
('', '风华雅苑，毛坯一居室，户型方正，采光好', '枫桦雅苑  | 1室1厅 | 59.42平米 | 南 | 其他 | 有电梯', '中楼层(共25层)2015年建板塔结合  -  阳逻', '37万', '单价6227元/平米')
('', '中 央花园城小区环境优美，南北通透采光充足户型方正', '阳光新港中央花园城  | 3室2厅 | 96平米 | 南 北 | 其他', '低楼层(共26层)2014年建板楼  -  阳逻', '83万', '单价8646元/平米')
('', '阳逻保利圆梦城毛坯大4房 稀-缺户型 南北通透采光好', '保利圆梦城三区  | 4室2厅 | 135平米 | 南 北 | 其他', '中楼层(共33层)暂无数据  -  阳逻', '150万', '单价11112元/平米')
('', '保利圆梦城别墅 182平 证满五唯一 精装修送车位', '保利圆梦城金玉苑   | 联排别墅 | 5室2厅 | 182平米 | 南 北 | 精装 | 无电梯', '3层暂无数据  -  阳逻', '430万', '单价23627元/平米')
('https://image1.ljcdn.com/420100-inspection/test-ac25f9b8-5e8c-4005-a36e-457239325677.png.296x216.jpg', '中 央花园城坐北朝南户型，中间楼层，正规大三房！', '阳光新港中央花园城  | 3室2厅 | 105平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '92万', '单价8762元/平米')
('', '阳逻天琴湾花园式小区毛坯 两居室', '天琴湾  | 2室1厅 | 86平米 | 南 | 其他', '中楼层(共11层)2010年建板楼  -  阳逻', '80万', '单价9303元/平米')
('', '阳逻武久阳光城 毛坯2房复试楼，商-住两用', '武久阳光城  | 2室2厅 | 49.6平米 | 南 | 其他', '中楼层(共16层)塔楼  -  阳逻', '48万', '单价9678元/平米')
('', '长江御龙新城好户型，好楼层，明厨明卫，采光充足！', '长江御龙新城  | 2室2厅 | 93平米 | 南 北 | 其他', '高楼层(共18层)2013年建板楼  -  阳逻', '82万', '单价8818元/平米')
('', '保利圆梦城九区 3室2厅 90万', '保利圆梦城九区  | 3室2厅 | 94.7平米 | 南 | 其他', '高楼层(共34层)暂无数据  -  阳逻', '90万', '单价9504元/平米')
('', '泊湖湾 2室2厅 72万', '泊湖湾  | 2室2厅 | 94平米 | 南 | 其他', '中楼层(共28层)2013年建板楼  -  阳逻', '72万', '单价7660元/平米')
('https://image1.ljcdn.com/420100-inspection/test-66df994d-d69d-4fb4-8c69-f503a1dd2149.png.296x216.jpg', '佳阳国际，简装三房，2证满2，后期税费少', '佳阳国际  | 3室2厅 | 126平米 | 南 北 | 其他', '低楼层(共11层)暂无数据  -  阳逻', '90万', '单价7143元/平米')
('', '东城明珠 3室2厅 80万', '东城明珠  | 3室2厅 | 100.27平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '80万', '单价7979元/平米')
('', '阳逻金色水岸简装南北通2房，房子产权两证满两年', '金色水岸  | 2室2厅 | 95.8平米 | 南 | 其他', '高楼层(共13层)暂无数据  -  阳逻', '65万', '单价6785元/平米')
('', '天琴湾 2室2厅 83万', '天琴湾  | 2室2厅 | 99.36平米 | 南 | 其他', '低楼层(共6层)2009年建板楼  -  阳逻', '83万', '单价8354元/平米')
('', '中建壹品新城 3室2厅 68万', '中建壹品新城  | 3室2厅 | 127.93平米 | 南 北 | 其他', '中楼层(共15层)暂无数据  -  阳逻', '68万', '单价5316元/平米')
('', '天琴湾 2室2厅 60万', '天琴湾  | 2室2厅 | 80.48平米 | 南 | 其他', '高楼层(共6层)2009年建板楼  -  阳逻', '60万', '单价7456元/平米')
('https://image1.ljcdn.com/420100-inspection/test-a7fbcd89-860c-4258-962a-3e13ba9032f3.png.296x216.jpg', '阳逻中 央花园城南北通透毛坯大三房，中高楼层户型正', '阳光新港中央花园城  | 3室2厅 | 106.96平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '95万', '单价8882元/平米')
('', '东方新天地 2室1厅 45万', '东方新天地  | 2室1厅 | 60.75平米 | 南 | 其他', '高楼层(共12层)2008年建板楼  -  阳逻', '45万', '单价7408元/平米')
('', '阳光新港 中 央花园城 户型方正 诚心出售', '阳光新港中央花园城  | 3室2厅 | 96.96平米 | 南 | 其他', '中楼层(共12层)暂无数据  -  阳逻', '90万', '单价9283元/平米')
('', '长江御龙新城好户型，好楼层，明厨明卫，采光充足！', '长江御龙新城  | 3室2厅 | 127.02平米 | 南 北 | 其他', '中楼层(共11层)2013年建板楼  -  阳逻', '98万', '单价7716元/平米')
('', '东城明珠 3室2厅 108万', '东城明珠  | 3室2厅 | 127.24平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '108万', '单价8488元/平米')
('https://image1.ljcdn.com/420100-inspection/test-735d4c78-6a0b-414f-8572-1928e8fdc54f.png.296x216.jpg', '阳逻香榭花都通透毛坯大三房 送超大入户花园', '香榭花都  | 3室2厅 | 131.64平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '105万', '单价7977元/平米')
('https://image1.ljcdn.com/420100-inspection/test-2a4ea368-d30b-4cca-9257-87fa8dea512c.png.296x216.jpg', '东方新天地 2室2厅 68万', '东方新天地  | 2室2厅 | 99.6平米 | 南 北 | 其他', '中楼层(共10层)2008年建板楼  -  阳逻', '68万', '单价6828元/平米')
('', '阳逻中-央花园城，毛坯大3房，单价7千8，南北通透', '阳光新港中央花园城  | 3室2厅 | 120平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '94万', '单价7834元/平米')
('', '天琴湾 2室2厅 73万', '天琴湾  | 2室2厅 | 93.74平米 | 南 | 其他', '低楼层(共11层)2010年建板楼  -  阳逻', '73万', '单价7788元/平米')
('', '鑫安花园 3室2厅 80万', '鑫安花园  | 3室2厅 | 133平米 | 南 | 其他 | 无电梯', '低楼层(共6层)暂无数据  -  阳逻', '80万', '单价6016元/平米')
('https://image1.ljcdn.com/420100-inspection/test-a478e4a3-79ac-4483-a017-78c6e2c96aa8.png.296x216.jpg', '阳逻天琴湾花园式小区毛坯两房，证满两年免增值税，', '天琴湾  | 2室2厅 | 88.51平米 | 南 | 毛坯', '低楼层(共11层)2010年建板楼  -  阳逻', '70万', '单价7909元/平米')
('', '阳逻水映澜湾，毛坯两房，采光充足，随时看房', '水映澜湾  | 2室2厅 | 100.69平米 | 南 北 | 其他', '中楼层(共14层)暂无数据  -  阳逻', '80万', '单价7946元/平米')
('', '阳逻保利圆梦城简装4房 南北通透户型 不- 限-购', '保利圆梦城三区  | 4室2厅 | 135平米 | 南 北 | 其他', '高楼层(共24层)暂无数据  -  阳逻', '125万', '单价9260元/平米')
('', '阳逻保利圆梦城标准毛坯三房 房东诚意急售 看房方便', '保利圆梦城三区  | 3室2厅 | 88平米 | 南 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '80万', '单价9091元/平米')
('', '中建壹品新城 3室2厅 70万', '中建壹品新城  | 3室2厅 | 127平米 | 南 北 | 其他', '低楼层(共17层)暂无数据  -  阳逻', '70万', '单价5512元/平米')
('https://image1.ljcdn.com/420100-inspection/b2c1e207-bb78-4d20-9ef9-c18a6bff9ead.jpg.296x216.jpg', '阳逻枫桦雅苑毛坯3房，南北通透，单价总价低', '枫桦雅苑  | 3室2厅 | 133.78平米 | 南 东北 | 其他 | 有电梯', '低楼层(共32层)2015年建板塔结合  -  阳逻', '95万', '单价7102元/平米')
('', '阳光新港中 央花园城精装四室两厅两卫，160万诚心出售', '阳光新港中央花园城  | 4室2厅 | 138.6平米 | 南 北 | 其他', '高楼层(共26层)2014年建板楼  -  阳逻', '160万', '单价11545元/平米')
('', '保利圆梦城南北通透格局，好楼层好户型业主诚心出售。', '保利圆梦城三区  | 3室2厅 | 114平米 | 南 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '112万', '单价9825元/平米')
('', '中建壹品新城 3室2厅 68万', '中建壹品新城  | 3室2厅 | 127平米 | 南 北 | 其他', '低楼层(共15层)暂无数据  -  阳逻', '68万', '单价5355元/平米')
('https://image1.ljcdn.com/420100-inspection/872bf8fb-e7f7-4742-ac1e-527831f345d3.jpg.296x216.jpg', '阳逻开发区 瀚华天地 两室两厅 全房通明', '瀚华天地  | 2室2厅 | 89.95平米 | 南 | 其他', '低楼层(共15层)2016年建板楼  -  阳逻', '78.5万', '单价8728元/平米')
('', '阳光新港 中 央花园城 毛坯现房 诚心出售', '阳光新港中央花园城  | 3室2厅 | 107平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '95万', '单价8879元/平米')
('', '保利圆梦城南北通透格局，好楼层好户型业主诚心出售。', '保利圆梦城三区  | 3室2厅 | 89平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '96万', '单价10787元/平米')
('https://image1.ljcdn.com/420100-inspection/test-3d983b1a-18c2-475b-adce-4c42a467b519.png.296x216.jpg', '阳逻保利圆梦城，精装三房，南北通透，随时看房', '保利圆梦城二区  | 3室2厅 | 109平米 | 南 北 | 其他', '低楼层(共34层)2012年建板塔结合  -  阳逻', '110万', '单价10092元/平米')
('', '保利圆梦城，毛坯四房，南北通透，视野开阔，采光好。', '保利圆梦城金玉苑  | 3室2厅 | 118平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '100万', '单价8475元/平米')
