('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload7427d6df-18f2-4c82-b5da-8f3a73e162aa.jpg.296x216.jpg', '海沧建行站，进出岛方便，产权满两年，业主诚意出售', '亚桥花园  | 2室2厅 | 68.78平米 | 东 西 | 简装 | 无电梯', '中楼层(共8层)2002年建板楼  -  海沧生活区', '200万', '单价29079元/平米')
('', '广场湖畔花园 3室2厅 460万', '广场湖畔花园  | 3室2厅 | 127.71平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2007年建板楼  -  海沧外国语片区', '460万', '单价36020元/平米')
('https://image1.ljcdn.com/350200-inspection/db0220d9-b937-4104-8b5f-062026d253a7.jpg.296x216.jpg', '绿苑商城 1室1厅 195万', '绿苑商城  | 1室1厅 | 58.79平米 | 东 | 简装 | 有电梯', '中楼层(共25层)2009年建塔楼  -  滨海社区', '195万', '单价33169元/平米')
('https://image1.ljcdn.com/350200-inspection/45af35e4-6676-467a-baa5-9b525d518812.jpg.296x216.jpg', '业主诚心出售，满两年，免增值税！！！', '旭日海湾三期  | 3室2厅 | 136.14平米 | 东南 | 简装 | 有电梯', '中楼层(共11层)2004年建板楼  -  滨海社区', '400万', '单价29382元/平米')
('', '正元.新都汇 2室1厅 160万', '正元.新都汇  | 2室1厅 | 44.89平米 | 东 | 精装 | 有电梯', '中楼层(共18层)2014年建塔楼  -  海沧体育中心', '160万', '单价35643元/平米')
('https://image1.ljcdn.com/350200-inspection/af56f051-af71-491f-a01c-1dd156008ac2.jpg.296x216.jpg', '天源 3室2厅 600万', '天源  | 3室2厅 | 141.7平米 | 东南 西北 | 其他 | 有电梯', '低楼层(共30层)2014年建板楼  -  海沧体育中心', '600万', '单价42343元/平米')
('https://image1.ljcdn.com/350200-inspection/b7aef2d5-6eef-4194-a881-9c47f1baff95.jpg.296x216.jpg', '西雅图 3室2厅 398万', '西雅图  | 3室2厅 | 121.41平米 | 南 | 精装', '中楼层(共45层)暂无数据  -  海沧外国语片区', '398万', '单价32782元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload366d54cf-f9a4-46f8-a834-d068919da722.jpg.296x216.jpg', '万科城二期 车位 20.5万', '万科城二期  | 车位 | 32.16平米 | 南 | 有电梯', '2016年建板楼  -  马銮湾', '20.5万', '单价6375元/平米')
('', '融侨观邸 6室4厅 1100万', '融侨观邸  | 6室4厅 | 222.85平米 | 南 | 毛坯', '低楼层(共3层)暂无数据  -  马銮湾', '1100万', '单价49361元/平米')
('', '鼓浪花园 3室2厅 520万', '鼓浪花园  | 3室2厅 | 146.21平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2010年建塔楼  -  滨海社区', '520万', '单价35566元/平米')
('https://image1.ljcdn.com/350200-inspection/07ac2ba2-2cc0-46c6-860f-07483a83ebd6.jpg.296x216.jpg', '未来橙堡 1室1厅 99万', '未来橙堡  | 1室1厅 | 31.1平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  海沧体育中心', '99万', '单价31833元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/a1336135-abb6-4be4-b612-2bae48df13c6.png.280x210.jpg', '青春海岸 3室2厅 322万', '青春海岸  | 3室2厅 | 115.11平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2016年建板楼  -  新阳工业区', '322万', '单价27974元/平米')
('https://image1.ljcdn.com/350200-inspection/1ca0b1ab-75c6-454e-87f7-800cad7c79ee.jpg.296x216.jpg', 'SEC泰地海西中心 3室2厅 350万', 'SEC泰地海西中心  | 3室2厅 | 163平米 | 南 | 精装 | 有电梯', '低楼层(共34层)2014年建板楼  -  海沧区政府', '350万', '单价21473元/平米')
('https://image1.ljcdn.com/350200-inspection/0f682eb4-6598-4257-90cd-5a56b9fca1a8.jpg.296x216.jpg', '海沧湾地段，前海后湖， 自带精装拎包入住可以租养贷', 'SEC泰地海西中心  | 1室0厅 | 39.86平米 | 南 | 精装 | 有电梯', '低楼层(共31层)2014年建塔楼  -  海沧区政府', '83万', '单价20823元/平米')
('https://image1.ljcdn.com/350200-inspection/d5e9530b-d66d-4a61-b625-423ab744220a.jpg.296x216.jpg', '绿园新城正规两房  看园林景  业主诚意出售', '绿苑新城三组团  | 2室2厅 | 93.1平米 | 南 | 简装 | 有电梯', '低楼层(共26层)2013年建塔楼  -  滨海社区', '320万', '单价34372元/平米')
('https://image1.ljcdn.com/350200-inspection/658d7117-6035-4ee2-a1a0-3355df0b65a5.jpg.296x216.jpg', '亚桥花园 车位 35万', '亚桥花园  | 车位 | 19.17平米 | 东南 | 无电梯', '板楼  -  海沧生活区', '35万', '单价18258元/平米')
('https://image1.ljcdn.com/350200-inspection/1a9f49ab-aafe-4a06-8629-9aa1ee7ae2ef.JPG.296x216.jpg', '青春海岸精装小三房     拎包入住', '青春海岸  | 3室2厅 | 87.81平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2016年建板楼  -  新阳工业区', '340万', '单价38720元/平米')
('', '海投天湖城 满五年无按揭 海沧湖 阿罗海广场 音乐喷泉', '天湖城天湖  | 3室2厅 | 108.15平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共30层)2012年建板楼  -  海沧区政府', '378万', '单价34952元/平米')
('https://image1.ljcdn.com/350200-inspection/8360221b-c98d-4e62-83e1-449b9a60461c.jpg.296x216.jpg', '海晟维多利亚 车位 45万', '海晟维多利亚  | 车位 | 45平米 | 南 | 无电梯', '2008年建塔楼  -  滨海社区', '45万', '单价10000元/平米')
('', '青春海岸 3室2厅 269万', '青春海岸  | 3室2厅 | 89.33平米 | 南 北 | 精装 | 有电梯', '高楼层(共19层)2016年建板楼  -  新阳工业区', '269万', '单价30114元/平米')
('https://image1.ljcdn.com/350200-inspection/14696ac0-03d5-4921-8c92-f36d8667671e.jpg.296x216.jpg', '高楼层、南北通透、海景与喷泉、精装修', '正元.新都汇  | 2室2厅 | 43.47平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2014年建塔楼  -  海沧体育中心', '168万', '单价38648元/平米')
('', '融信海上城 2室2厅 115万', '融信海上城  | 2室2厅 | 45.68平米 | 东 | 其他 | 有电梯', '低楼层(共26层)2015年建塔楼  -  滨海社区', '115万', '单价25176元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadbeef07ca-d4f8-4b37-9f33-81353d2489ab.jpg.296x216.jpg', '未来橙堡 单身公寓 拎包入住 朝南', '未来橙堡  | 1室0厅 | 34平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2005年建板楼  -  海沧体育中心', '95万', '单价27942元/平米')
('https://image1.ljcdn.com/350200-inspection/fbfef2eb-a92e-4271-800a-a32615dd76e3.jpg.296x216.jpg', '西雅图 2室2厅 295万', '西雅图  | 2室2厅 | 102.04平米 | 南 | 精装 | 有电梯', '低楼层(共45层)塔楼  -  海沧外国语片区', '295万', '单价28911元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadd6e39d7e-6e97-43f7-8bc1-a3d5626ec70c.jpg.296x216.jpg', '禹洲尊海 车位 37万', '禹洲尊海  | 车位 | 41.45平米 | 南 | 无电梯', '2013年建板楼  -  海沧体育中心', '37万', '单价8927元/平米')
('https://image1.ljcdn.com/350200-inspection/13ee549a-15e5-4180-8b55-ba24a1306415.jpg.296x216.jpg', '产权已办，南北朝向，日月谷温泉，天竺山景区', '过云溪一组团  | 3室2厅 | 112.48平米 | 南 | 毛坯 | 有电梯', '低楼层(共17层)2015年建板楼  -  东孚', '250万', '单价22227元/平米')
('', '加州海岸 3室2厅 520万', '加州海岸  | 3室2厅 | 137.11平米 | 南 北 | 简装 | 有电梯', '中楼层(共24层)2007年建板楼  -  海沧生活区', '520万', '单价37926元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload03b0cac8-dfaf-4736-b289-acf0a678114c.jpg.296x216.jpg', '靠海边 楼中楼 小复式 总价低 新小区 三房', '融信海上城  | 3室2厅 | 60.92平米 | 东北 | 其他 | 有电梯', '中楼层(共25层)2016年建塔楼  -  滨海社区', '150万', '单价24623元/平米')
('', '未来海湾水云湾 3室2厅 300万', '未来海湾水云湾  | 3室2厅 | 113.04平米 | 南 北 | 简装 | 有电梯', '中楼层(共31层)2014年建塔楼  -  未来海岸北师大', '300万', '单价26540元/平米')
('', '东方高尔夫别墅 6室3厅 1600万', '东方高尔夫别墅  | 6室3厅 | 198.52平米 | 南 北 | 其他', '低楼层(共2层)暂无数据  -  马銮湾', '1600万', '单价80597元/平米')
('', '富祥苑 3室2厅 265万', '富祥苑  | 3室2厅 | 96.17平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2002年建板楼  -  海沧生活区', '265万', '单价27556元/平米')
('https://image1.ljcdn.com/350200-inspection/6386e84f-6b2b-4d5e-b465-fd3fd8e28238.jpg.296x216.jpg', '未来橙堡 2室1厅 109万', '未来橙堡  | 2室1厅 | 34.03平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2005年建板楼  -  海沧体育中心', '109万', '单价32031元/平米')
('https://image1.ljcdn.com/350200-inspection/cb66de42-db6a-48ac-b8d6-e167155cfb7f.jpg.296x216.jpg', '泰禾厦门院子A区，单价2.4万，大三房2卫。采光好急售', '泰禾厦门院子  | 3室2厅 | 112.18平米 | 南 | 毛坯', '低楼层(共50层)暂无数据  -  新阳工业区', '280万', '单价24960元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload09a77982-c944-454b-95f5-2a8322c3d908.jpg.296x216.jpg', '万科城一期车位离电梯口近，停靠方便安全', '万科城二期  | 车位 | 32.16平米 | 南 | 有电梯', '2016年建板楼  -  马銮湾', '21.5万', '单价6686元/平米')
('', '万科城一期 3室2厅 268万', '万科城一期  | 3室2厅 | 89.35平米 | 东南 | 精装 | 有电梯', '高楼层(共42层)2015年建板楼  -  马銮湾', '268万', '单价29995元/平米')
('', '过云溪二组团 3室2厅 260万', '过云溪二组团  | 3室2厅 | 109.31平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2015年建塔楼  -  东孚', '260万', '单价23786元/平米')
('https://image1.ljcdn.com/350200-inspection/06639332-0b33-4fe7-bad8-1e12ac59757d.jpg.296x216.jpg', '正元新都汇 高楼层 低总价160万', '正元.新都汇  | 2室2厅 | 44.58平米 | 东北 | 其他 | 有电梯', '中楼层(共18层)2014年建塔楼  -  海沧体育中心', '158万', '单价35442元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/76fb94e8-8fc1-426c-83e1-7dd4441ef878.png.280x210.jpg', '融信海上城 精装两房 朝中庭 高楼层视野好', '融信海上城  | 2室1厅 | 44.99平米 | 东南 | 其他 | 有电梯', '高楼层(共13层)2015年建塔楼  -  滨海社区', '135万', '单价30007元/平米')
('https://image1.ljcdn.com/350200-inspection/bf9ce4b8-fee2-4e06-8ba5-8d23efb14a95.jpg.296x216.jpg', '融信海上城 3室1厅 165万', '融信海上城  | 3室1厅 | 59.1平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2015年建塔楼  -  滨海社区', '165万', '单价27919元/平米')
('https://image1.ljcdn.com/350200-inspection/c0c950f3-59aa-4a80-b600-0654596809e0.jpg.296x216.jpg', '海上明珠家园 精装三房 拎包入住', '海上明珠家园  | 3室2厅 | 136.76平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2007年建塔楼  -  滨海社区', '468万', '单价34221元/平米')
('https://image1.ljcdn.com/350200-inspection/e08985b0-17bf-471f-99a1-b914ae7fdae3.jpg.296x216.jpg', '海晟维多利亚，沿海一排，满五年。', '海晟维多利亚  | 4室2厅 | 170.57平米 | 东南 | 简装 | 有电梯', '中楼层(共31层)2010年建塔楼  -  滨海社区', '820万', '单价48075元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload89d01a46-a709-4722-ac30-8932203bd4d7.jpg.296x216.jpg', '泉舜滨海上城 车位 48万', '泉舜滨海上城  | 车位 | 41.97平米 | 东南 | 无电梯', '2009年建板楼  -  滨海社区', '48万', '单价11437元/平米')
('https://image1.ljcdn.com/350200-inspection/861cd80e-ab37-4523-8543-02ba92f95e34.JPG.296x216.jpg', '青春海岸    通透户型 购物方便  交通便利', '青春海岸  | 3室2厅 | 114平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共18层)2016年建板楼  -  新阳工业区', '408万', '单价35790元/平米')
('', 'sec泰地海西户型方正，看湖海双景，精装修！', 'SEC泰地海西中心  | 1室1厅 | 55.95平米 | 东南 | 其他 | 有电梯', '高楼层(共31层)2014年建塔楼  -  海沧区政府', '168万', '单价30027元/平米')
('https://image1.ljcdn.com/350200-inspection/85f0f731-657f-4683-abc8-8ddd9f502094.jpg.296x216.jpg', '华侨金海岸：字母车位两张停车卡仅售60万', '禹洲华侨金海岸  | 车位 | 60平米 | 南 | 无电梯', '2008年建板塔结合  -  海沧体育中心', '60万', '单价10000元/平米')
('https://image1.ljcdn.com/350200-inspection/b76a1efe-b134-4d83-9b85-5f4200a514a4.jpg.296x216.jpg', '融信海上城 3室1厅 142.8万', '融信海上城  | 3室1厅 | 61.43平米 | 北 | 毛坯 | 有电梯', '中楼层(共25层)2016年建塔楼  -  滨海社区', '142.8万', '单价23246元/平米')
('https://image1.ljcdn.com/350200-inspection/4e8cc92d-8e18-4648-85b7-2aa67b47088d.jpg.296x216.jpg', '天湖城 电梯口的车位 诚意卖 价格可谈 进出方便', '天湖城天湖  | 车位 | 35平米 | 南 | 有电梯', '板楼  -  海沧区政府', '31万', '单价8858元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadf448e79a-ef03-46ea-aff6-d8b22b8736d4.JPG.296x216.jpg', '厦门院子叠下别墅 送两层地下室 送两个车位 送花园', '泰禾厦门院子   | 叠拼别墅 | 5室2厅 | 167.22平米 | 南 北 | 毛坯', '下叠(共4层)2018年建暂无数据  -  新阳工业区', '890万', '单价53224元/平米')
('https://image1.ljcdn.com/350200-inspection/0dc1bcc3-5d00-4e60-8693-35890928df9e.jpg.296x216.jpg', '蓝水郡 产权满五 自住装修 高层无遮挡 采光佳', '未来海岸蓝水郡  | 1室0厅 | 34.61平米 | 西 | 简装 | 有电梯', '高楼层(共18层)2008年建塔楼  -  海沧体育中心', '120万', '单价34673元/平米')
('https://image1.ljcdn.com/350200-inspection/a9b04ab1-29ff-4e2c-b4ea-3df77f941f8c.jpg.296x216.jpg', '进出岛一站 居家温馨装修四房入住 欢迎你的来电', '海晟维多利亚  | 4室2厅 | 139.85平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2010年建塔楼  -  滨海社区', '680万', '单价48624元/平米')
('https://image1.ljcdn.com/350200-inspection/d7a3c3ae-fbb1-4fc3-9d4c-9e7615c50ac2.jpg.296x216.jpg', '禹洲尊海 车位 36万', '禹洲尊海  | 车位 | 41.45平米 | 南 | 无电梯', '2013年建板楼  -  海沧体育中心', '36万', '单价8686元/平米')
('https://image1.ljcdn.com/350200-inspection/0820fbf9-4cf2-47d2-bc9d-bd88100de413.jpg.296x216.jpg', '青春海岸  精装三房     无遮挡 采光好', '青春海岸  | 3室2厅 | 115.32平米 | 南 北 | 精装 | 有电梯', '高楼层(共33层)2016年建板楼  -  新阳工业区', '330万', '单价28617元/平米')
('', '禹洲尊海 4室2厅 490万', '禹洲尊海  | 4室2厅 | 111.81平米 | 东南 | 其他 | 有电梯', '中楼层(共32层)2013年建塔楼  -  海沧体育中心', '490万', '单价43825元/平米')
('https://image1.ljcdn.com/350200-inspection/55644590-ce05-45e9-b13e-2e868adc72e3.jpg.296x216.jpg', '生活区少有车位在售，业主诚意在卖', '海银大厦  | 车位 | 43.4平米 | 北 | 无电梯', '2010年建板楼  -  海沧生活区', '34万', '单价7835元/平米')
('', '泰禾厦门院子 4室2厅 420万', '泰禾厦门院子  | 4室2厅 | 130平米 | 南 | 其他', '低楼层(共48层)塔楼  -  新阳工业区', '420万', '单价32308元/平米')
('https://image1.ljcdn.com/350200-inspection/0d22e71f-4eeb-481d-8f0c-a856b67d9808.jpg.296x216.jpg', '车位位置好 采光佳 欢迎来电咨询（来源于百度地图）', '未来海岸蓝水郡  | 车位 | 46.11平米 | 南 | 无电梯', '2008年建板楼  -  海沧体育中心', '26万', '单价5639元/平米')
('https://image1.ljcdn.com/350200-inspection/40eb85f7-1594-40d8-b928-8d2c140c3e6b.JPG.296x216.jpg', '融信海上城毛坯三房，个人产权已办。', '融信海上城  | 3室2厅 | 58.25平米 | 西北 | 毛坯 | 有电梯', '中楼层(共25层)2016年建塔楼  -  滨海社区', '135万', '单价23176元/平米')
('https://image1.ljcdn.com/350200-inspection/819fca06-33ea-4896-a22f-9303e96fbd43.jpg.296x216.jpg', '未来海岸蓝水郡 1室0厅 133万', '未来海岸蓝水郡  | 1室0厅 | 34.22平米 | 东 | 简装 | 有电梯', '低楼层(共18层)2008年建塔楼  -  海沧体育中心', '133万', '单价38867元/平米')
('https://image1.ljcdn.com/350200-inspection/e99e5b4a-ec0c-4740-a584-97794216431c.jpg.296x216.jpg', '金城湾花园 4室2厅 358万', '金城湾花园  | 4室2厅 | 117.81平米 | 南 北 | 其他 | 有电梯', '高楼层(共33层)2011年建塔楼  -  未来海岸北师大', '358万', '单价30388元/平米')
('https://image1.ljcdn.com/350200-inspection/66351dec-4c80-40a3-a2d5-38d72c48426b.jpg.296x216.jpg', '绿苑海景 车位 45万', '绿苑海景  | 车位 | 42.12平米 | 东 | 无电梯', '2007年建板楼  -  滨海社区', '45万', '单价10684元/平米')
('https://image1.ljcdn.com/350200-inspection/28ffe4e2-e47b-4bed-9ff2-6f4041046ebd.jpg.296x216.jpg', '泰地海西 精装看海3房 产权在手 看房自住 诚意出售', 'SEC泰地海西中心  | 3室2厅 | 172平米 | 南 | 其他 | 有电梯', '低楼层(共36层)2014年建板楼  -  海沧区政府', '400万', '单价23256元/平米')
('', '海晟维多利亚 4室2厅 750万', '海晟维多利亚  | 4室2厅 | 170.26平米 | 东南 | 其他 | 有电梯', '低楼层(共31层)2010年建塔楼  -  滨海社区', '750万', '单价44051元/平米')
('https://image1.ljcdn.com/350200-inspection/2af81e40-25c1-4779-9862-06bce94debca.jpg.296x216.jpg', '天心岛 3号地下车库电梯口车位 42万。', '天心岛  | 车位 | 36.05平米 | 东 | 有电梯', '板楼  -  滨海社区', '38.5万', '单价10680元/平米')
('', '过云溪一组团 2室2厅 203万', '过云溪一组团  | 2室2厅 | 88.2平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2015年建塔楼  -  东孚', '203万', '单价23016元/平米')
('https://image1.ljcdn.com/350200-inspection/6fe44b52-9749-4090-adf2-80992bbf44ca.JPG.296x216.jpg', '未来橙堡 单身公寓 低单价 优质房源', '未来橙堡  | 1室0厅 | 34.24平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2005年建板楼  -  海沧体育中心', '110万', '单价32127元/平米')
('https://image1.ljcdn.com/350200-inspection/d5cd12dd-c371-4067-b90b-93f5bbfd9fb5.jpg.296x216.jpg', 'SEC泰地海西中心 1室0厅 76万', 'SEC泰地海西中心  | 1室0厅 | 40.66平米 | 西南 | 其他 | 有电梯', '中楼层(共31层)2014年建塔楼  -  海沧区政府', '76万', '单价18692元/平米')
('https://image1.ljcdn.com/350200-inspection/e989be6f-1284-4005-9604-0d2aef0e8567.jpg.296x216.jpg', '绿苑海景 4室2厅 598万', '绿苑海景  | 4室2厅 | 165.8平米 | 南 | 其他 | 有电梯', '低楼层(共28层)2007年建塔楼  -  滨海社区', '598万', '单价36068元/平米')
('https://image1.ljcdn.com/350200-inspection/28a735b5-c46a-4120-a2a7-9c232de2f997.jpg.296x216.jpg', '旭日海湾一期 3室2厅 245万', '旭日海湾一期  | 3室2厅 | 88.94平米 | 西北 | 精装 | 无电梯', '中楼层(共7层)2004年建塔楼  -  滨海社区', '245万', '单价27547元/平米')
('https://image1.ljcdn.com/350200-inspection/7b3e7a1a-49ee-4527-a86c-fe96dc9444b7.jpg.296x216.jpg', '绿苑海景 车位 45万', '绿苑海景  | 车位 | 42.12平米 | 东 | 无电梯', '2007年建板楼  -  滨海社区', '45万', '单价10684元/平米')
('https://image1.ljcdn.com/350200-inspection/ac4c108e-2b82-4aa7-aad8-dfcbf5bfbeb0.jpg.296x216.jpg', '泰地海西 三房 看湖看海 高层自带精装 业主诚意在售', 'SEC泰地海西中心  | 3室2厅 | 130.77平米 | 东南 | 精装 | 有电梯', '中楼层(共30层)2014年建塔楼  -  海沧区政府', '318万', '单价24318元/平米')
('', '天心岛 车位 36万', '天心岛  | 车位 | 36.83平米 | 南 | 有电梯', '板楼  -  滨海社区', '36万', '单价9775元/平米')
('https://image1.ljcdn.com/350200-inspection/12c014f5-0882-4b0c-b8cf-36348dfbec2d.jpg.296x216.jpg', '滨海上城A区地下室车位，在售紧缺车位', '泉舜滨海上城  | 车位 | 40.99平米 | 南 | 无电梯', '2009年建板楼  -  滨海社区', '45万', '单价10979元/平米')
('https://image1.ljcdn.com/350200-inspection/2eeb9044-94cf-4c2e-a803-4c622c283216.jpg.296x216.jpg', '旭日海湾一期 2室1厅 145万', '旭日海湾一期  | 2室1厅 | 50平米 | 南 | 简装 | 无电梯', '中楼层(共8层)2004年建板楼  -  滨海社区', '145万', '单价29000元/平米')
('https://image1.ljcdn.com/350200-inspection/92883a85-7fa8-4efc-bff6-f05ac1efd875.jpg.296x216.jpg', '天湖城车位下电梯就到，开过来停下可以直接上电梯', '天湖城天湖  | 车位 | 36.05平米 | 南 | 有电梯', '板楼  -  海沧区政府', '35万', '单价9709元/平米')
('', '中骏海岸1号 车位 65万', '中骏海岸1号  | 车位 | 40.02平米 | 南 | 有电梯', '2009年建板楼  -  滨海社区', '65万', '单价16242元/平米')
('https://image1.ljcdn.com/350200-inspection/517c8f4c-3ac8-46f3-b0ce-ef71e8079b6a.jpg.296x216.jpg', '东方高尔夫国际公寓 4室2厅 540万', '东方高尔夫国际公寓  | 4室2厅 | 152.99平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2009年建板楼  -  马銮湾', '540万', '单价35297元/平米')
('https://image1.ljcdn.com/350200-inspection/3e4b0aa3-a084-4a1f-ad33-d89a9b143bae.JPG.296x216.jpg', '鼓浪花园 正规三房 满五唯一 看全景中庭 楼间距宽', '鼓浪花园  | 3室2厅 | 102.21平米 | 南 北 | 精装 | 有电梯', '中楼层(共17层)2006年建塔楼  -  滨海社区', '335万', '单价32776元/平米')
('https://image1.ljcdn.com/350200-inspection/ec7c1fd7-237d-4be2-a350-fd2c155e2e8e.jpg.296x216.jpg', '天心岛 车位 38万', '天心岛  | 车位 | 36.05平米 | 南 | 有电梯', '板楼  -  滨海社区', '38万', '单价10541元/平米')
('https://image1.ljcdn.com/350200-inspection/cce070b5-386d-44ec-81c6-a230b94793a31.jpg.296x216.jpg', '未来海岸精装大三房 高层景观好 配套好 进岛方便', '未来海岸蓝月湾一期  | 3室2厅 | 137.05平米 | 南 北 | 精装 | 有电梯', '高楼层(共31层)2007年建板楼  -  未来海岸北师大', '490万', '单价35754元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/559ecaf1-5d45-419f-ba42-2427f9ce8bc7.png.280x210.jpg', '禹洲高尔夫 2室2厅 250万', '禹洲高尔夫  | 2室2厅 | 86.47平米 | 东南 | 精装 | 有电梯', '低楼层(共33层)2013年建板楼  -  马銮湾', '250万', '单价28912元/平米')
('https://image1.ljcdn.com/350200-inspection/2920193d-452e-4a4a-9459-703a056db9ed.jpg.296x216.jpg', '泰地海西 小户型 海景房 交通便利', 'SEC泰地海西中心  | 1室1厅 | 39.87平米 | 东南 | 精装 | 有电梯', '低楼层(共31层)2014年建塔楼  -  海沧区政府', '90万', '单价22574元/平米')
('https://image1.ljcdn.com/350200-inspection/da39d069-ae71-48e7-874e-1844c806d44a.jpg.296x216.jpg', '水岸名筑 2室1厅 280万', '水岸名筑  | 2室1厅 | 97平米 | 南 | 精装 | 有电梯', '低楼层(共16层)2008年建板塔结合  -  海沧体育中心', '280万', '单价28866元/平米')
('https://image1.ljcdn.com/350200-inspection/30ec275e-2319-4595-921c-b740054c97d5.jpg.296x216.jpg', '禹洲尊海 车位 23万', '禹洲尊海  | 车位 | 41.45平米 | 北 | 无电梯', '2013年建板楼  -  海沧体育中心', '23万', '单价5549元/平米')
('', '房本满5年唯一。南北通透。视野好', '鼓浪花园  | 3室2厅 | 146.21平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2010年建塔楼  -  滨海社区', '512万', '单价35019元/平米')
('https://image1.ljcdn.com/350200-inspection/33ab57f5-4c01-4699-a41b-a667e7d4061e.jpg.296x216.jpg', '禹洲华侨金海岸 4室2厅 385万', '禹洲华侨金海岸  | 4室2厅 | 107平米 | 东 南 | 其他 | 有电梯', '低楼层(共34层)2008年建板塔结合  -  海沧体育中心', '385万', '单价35982元/平米')
('https://image1.ljcdn.com/350200-inspection/6bfbc87f-5d21-40e7-bd14-7360c329a92c.jpg.296x216.jpg', '大金门 通透户型 精装大三房 户型方正', '大金门花园  | 3室2厅 | 99平米 | 西北 | 精装 | 无电梯', '高楼层(共6层)2000年建板楼  -  海沧生活区', '280万', '单价28283元/平米')
('https://image1.ljcdn.com/350200-inspection/2b6ef040-3bb9-42b9-94a0-0761264c3149.jpg.296x216.jpg', '未来海岸蓝月湾二期 车位 38万', '未来海岸蓝月湾二期  | 车位 | 37.74平米 | 南 | 有电梯', '2007年建板楼  -  未来海岸北师大', '38万', '单价10069元/平米')
('https://image1.ljcdn.com/350200-inspection/9c73eff3-5bd3-4fa3-bbbc-7b810a7b4b77.jpg.296x216.jpg', '万科城一期 3室2厅 288万', '万科城一期  | 3室2厅 | 89.34平米 | 东 | 其他 | 有电梯', '中楼层(共42层)2015年建板楼  -  马銮湾', '288万', '单价32237元/平米')
('', '绿苑小区二期 3室2厅 410万', '绿苑小区二期  | 3室2厅 | 120.63平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2007年建板楼  -  滨海社区', '410万', '单价33989元/平米')
('https://image1.ljcdn.com/350200-inspection/af1e59f1-f97b-4601-af90-1ef03d23d9d1.jpg.296x216.jpg', '天心岛 电梯口旁 车位 方便上楼', '天心岛  | 车位 | 36.05平米 | 南 | 有电梯', '板楼  -  滨海社区', '40万', '单价11096元/平米')
('https://image1.ljcdn.com/350200-inspection/89150248-3f35-434a-b4c6-4d00424fe1b4.jpg.296x216.jpg', '华澳花园 2室2厅 238万', '华澳花园  | 2室2厅 | 86.37平米 | 南 | 其他 | 有电梯', '低楼层(共8层)2006年建板楼  -  海沧外国语片区', '238万', '单价27556元/平米')
('https://image1.ljcdn.com/350200-inspection/09b30c94-2dc4-4e73-86c3-0c4e88fa89313.jpg.296x216.jpg', '禹洲领海大四房 高楼层 南北通透 赠送43平', '禹洲领海  | 4室2厅 | 120.54平米 | 南 北 | 精装 | 有电梯', '中楼层(共33层)2011年建塔楼  -  海沧体育中心', '480万', '单价39821元/平米')
('', '蓝湾半岛 自住精装三房 读双十 距海沧湾公园100米', '中骏蓝湾半岛  | 3室2厅 | 131.6平米 | 南 | 其他 | 有电梯', '低楼层(共20层)2008年建塔楼  -  滨海社区', '520万', '单价39514元/平米')
('https://image1.ljcdn.com/350200-inspection/13b06ae2-6a52-4bc9-beb9-9770f724922b.jpg.296x216.jpg', '加州海岸 产权满二 全明结构大三房', '加州海岸  | 3室2厅 | 132.97平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2007年建板楼  -  海沧生活区', '470万', '单价35347元/平米')
