('https://image1.ljcdn.com/340100-inspection/17c8b8ef-9ee7-4f83-91ec-fd663fe1edfb.jpg.296x216.jpg', '信旺华府骏苑 2室2厅 159万', '信旺华府骏苑  | 2室2厅 | 103.33平米 | 南 | 其他', '高楼层(共28层)2005年建塔楼  -  南七', '159万', '单价15388元/平米')
('https://image1.ljcdn.com/340100-inspection/d707d0ca-232b-4de4-b720-f4fa9d6c6867.jpg.296x216.jpg', '福乐门 1室1厅 52万', '福乐门  | 1室1厅 | 37.3平米 | 东 | 其他', '高楼层(共28层)2012年建塔楼  -  井岗镇', '52万', '单价13942元/平米')
('', '公园道1号 1室1厅 60万', '公园道1号  | 1室1厅 | 38.02平米 | 西 | 其他', '低楼层(共30层)2012年建塔楼  -  井岗镇', '60万', '单价15782元/平米')
('', '安粮城市广场 4室2厅 205万', '安粮城市广场  | 4室2厅 | 127平米 | 南 | 其他', '高楼层(共31层)2015年建塔楼  -  稻香村', '205万', '单价16142元/平米')
('', '枫丹白鹭湖公馆 2室2厅 130万', '枫丹白鹭湖公馆  | 2室2厅 | 81.84平米 | 南 | 其他', '高楼层(共18层)2006年建塔楼  -  新产业园', '130万', '单价15885元/平米')
('https://image1.ljcdn.com/340100-inspection/bba5ba02-91af-4205-a723-e2c5abef621c.jpg.296x216.jpg', '信旺华府骏苑 2室2厅 170万', '信旺华府骏苑  | 2室2厅 | 119平米 | 南 | 其他', '低楼层(共28层)2005年建塔楼  -  南七', '170万', '单价14286元/平米')
('', '此房南北通透，四室，适合改善住房', '大溪地御倾城  | 4室2厅 | 128.41平米 | 南 西 北 | 其他', '低楼层(共32层)2014年建板楼  -  西园', '265万', '单价20638元/平米')
('https://image1.ljcdn.com/340100-inspection/14bea5c9-b827-43d4-9f39-525bb98d100a.jpg.296x216.jpg', '为你而选为你为家金色池塘，精装房，户型方正好房出售', '金色池塘  | 3室2厅 | 126.92平米 | 东北 | 其他', '低楼层(共9层)2008年建板楼  -  井岗镇', '165万', '单价13001元/平米')
('https://image1.ljcdn.com/340100-inspection/d81043ab-63da-49c4-b4a3-2f803a76e212.jpg.296x216.jpg', '此房装修不错 双卧朝南 厨房比较大', '动力新二村  | 2室2厅 | 76.13平米 | 南 北 | 简装', '高楼层(共6层)2003年建板楼  -  西园', '108万', '单价14187元/平米')
('', '山湖苑西区 3室2厅 110万', '山湖苑西区  | 3室2厅 | 90.43平米 | 南 | 其他', '高楼层(共6层)板楼  -  新产业园', '110万', '单价12165元/平米')
('https://image1.ljcdn.com/340100-inspection/170bd22b-07eb-4689-8f8f-34b2c563d934.jpg.296x216.jpg', '为你而选为你为家 多层两房  业主诚心出售', '蜀山路小学宿舍  | 2室1厅 | 65.6平米 | 南 北 | 其他', '高楼层(共6层)1998年建板楼  -  五里墩', '88万', '单价13415元/平米')
('', '公园道1号 3室2厅 190万', '公园道1号  | 3室2厅 | 126平米 | 南 北 | 其他', '低楼层(共21层)2011年建塔楼  -  井岗镇', '190万', '单价15080元/平米')
('', '翡翠园 3室2厅 158万', '翡翠园  | 3室2厅 | 94.5平米 | 南 北 | 其他', '中楼层(共8层)2000年建板楼  -  琥珀', '158万', '单价16720元/平米')
('', '博威香山丽舍 4室2厅 215万', '博威香山丽舍  | 4室2厅 | 137平米 | 南 | 其他', '高楼层(共23层)2011年建塔楼  -  新产业园', '215万', '单价15694元/平米')
('https://image1.ljcdn.com/340100-inspection/c89e7ce4-4e3c-4ae7-9679-aaf0d1457f7f.jpg.296x216.jpg', '为你而选为你为家，黄岳交口盛世名城，业主诚心出售', '盛世名城  | 1室1厅 | 50.9平米 | 南 北 | 其他', '中楼层(共6层)2009年建板楼  -  南七', '95万', '单价18665元/平米')
('https://image1.ljcdn.com/340100-inspection/25e22a99-bcfa-4ff9-89cc-b143eab56551.jpg.296x216.jpg', '交通便利 配套成熟 明厨明卫格局', '建业领翔花园  | 2室2厅 | 69.71平米 | 南 | 其他', '低楼层(共26层)2012年建塔楼  -  南七', '130万', '单价18649元/平米')
('https://image1.ljcdn.com/340100-inspection/7b305fd6-20e7-46eb-b6c1-fc9b51470d9f.jpg.296x216.jpg', '龙居山庄 少见大户型 精装修  有钥匙 随时可看', '龙居山庄  | 3室2厅 | 122.97平米 | 南 北 | 其他', '中楼层(共6层)2010年建板楼  -  五里墩', '209万', '单价16997元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadeef5b3a1-e5d9-409b-adf0-5684070a4fc1.jpg.296x216.jpg', '顶楼复式  大三居 改善型优质房', '金色池塘二期  | 3室2厅 | 132.26平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  井岗镇', '180万', '单价13610元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/aec9e317-bda9-4a9f-ae7d-0354cd2975b1.png.280x210.jpg', '通和易居同辉南苑 1室1厅 80万', '通和易居同辉南苑  | 1室1厅 | 32.53平米 | 北 | 其他', '低楼层(共28层)2012年建塔楼  -  西园', '80万', '单价24593元/平米')
('', '信旺华府骏苑 2室2厅 115万', '信旺华府骏苑  | 2室2厅 | 72.5平米 | 西 | 其他', '中楼层(共18层)2005年建塔楼  -  南七', '115万', '单价15863元/平米')
('', '龙居山庄锦龙居 2室1厅 100万', '龙居山庄锦龙居  | 2室1厅 | 64平米 | 南 | 其他', '低楼层(共6层)2004年建板楼  -  五里墩', '100万', '单价15625元/平米')
('', '华府骏苑顶楼复式，4室带露台，单价9千不到', '信旺华府骏苑  | 4室2厅 | 225.1平米 | 南 | 其他', '高楼层(共28层)2005年建塔楼  -  南七', '195万', '单价8663元/平米')
('https://image1.ljcdn.com/340100-inspection/a5f26206-61cc-4940-9eb2-f8199296f0d8.jpg.296x216.jpg', '维也纳叠加别墅，户型方正，采光充足，送产权车位！', '维也纳森林花园  | 3室2厅 | 189.05平米 | 南 北 | 其他', '中楼层(共4层)2006年建板楼  -  南七', '420万', '单价22217元/平米')
('https://image1.ljcdn.com/340100-inspection/e49a9bb4-27d1-4c84-82e2-90b66258717d.jpg.296x216.jpg', '2卧室朝南房屋公摊几乎没有采光好', '团安新村  | 2室1厅 | 52.41平米 | 南 | 其他', '中楼层(共6层)1989年建板楼  -  五里墩', '78万', '单价14883元/平米')
('', '丁怡花园 2室2厅 143万', '丁怡花园  | 2室2厅 | 96.91平米 | 南 北 | 其他', '中楼层(共24层)2008年建塔楼  -  南七', '143万', '单价14756元/平米')
('https://image1.ljcdn.com/340100-inspection/bc74a6f1-8152-4802-aed0-b1ac64e2d35e.jpg.296x216.jpg', '为你而选为你为家 新华优阁 采光无遮挡 简单装修', '新华优阁  | 1室0厅 | 34.9平米 | 西 | 简装', '高楼层(共32层)2010年建板楼  -  西园', '63万', '单价18052元/平米')
('', '凤凰城家家景园一期 2室1厅 93万', '凤凰城家家景园一期  | 2室1厅 | 61.48平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  五里墩', '93万', '单价15127元/平米')
('', '安粮城市广场 1室1厅 87万', '安粮城市广场  | 1室1厅 | 51.7平米 | 南 | 其他', '中楼层(共33层)2015年建塔楼  -  稻香村', '87万', '单价16828元/平米')
('', '御安西苑 3室2厅 152万', '御安西苑  | 3室2厅 | 100平米 | 南 北 | 其他', '高楼层(共31层)2014年建塔楼  -  井岗镇', '152万', '单价15200元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload91799567-7be2-4d4c-baa1-9b9f5bad8e24.jpg.296x216.jpg', '此房满2年，省去5.6%的增值税，节省了购房成本。', '电信小区（五里墩）  | 3室2厅 | 110.9平米 | 南 | 其他', '中楼层(共6层)1998年建板楼  -  五里墩', '166万', '单价14969元/平米')
('', '安高好房，配套好，市政供暖，刚需过渡', '安高城市天地  | 2室2厅 | 99.11平米 | 南 | 其他', '低楼层(共26层)2009年建塔楼  -  稻香村', '165万', '单价16649元/平米')
('', '高楼层视野开阔、周边配套齐全，交通便利', '公园道1号  | 2室2厅 | 101.02平米 | 南 | 其他', '高楼层(共18层)2011年建塔楼  -  井岗镇', '152万', '单价15047元/平米')
('https://image1.ljcdn.com/340100-inspection/79308efc-a687-455f-a9a1-2234e7a6baec.jpg.296x216.jpg', '沃野花园，精装修，满五年，三开间朝南，两房朝南', '沃野花园  | 2室2厅 | 83.56平米 | 南 | 其他', '中楼层(共26层)2012年建塔楼  -  新产业园', '138万', '单价16516元/平米')
('', '信旺华府骏苑 2室2厅 115万', '信旺华府骏苑  | 2室2厅 | 72.5平米 | 西 | 其他', '中楼层(共18层)2005年建塔楼  -  南七', '115万', '单价15863元/平米')
('', '信旺华府骏苑 1室1厅 108万', '信旺华府骏苑  | 1室1厅 | 112.48平米 | 南 | 其他', '低楼层(共29层)2013年建塔楼  -  南七', '108万', '单价9602元/平米')
('', '信旺华府骏苑 满5年，精装修，中楼层，配套完善', '信旺华府骏苑  | 2室1厅 | 73平米 | 西 | 其他', '中楼层(共18层)2005年建塔楼  -  南七', '125万', '单价17124元/平米')
('', '枫丹白鹭湖公馆 3室2厅 228万', '枫丹白鹭湖公馆  | 3室2厅 | 132.17平米 | 南 | 其他', '中楼层(共18层)2006年建塔楼  -  新产业园', '228万', '单价17251元/平米')
('https://image1.ljcdn.com/340100-inspection/c2913829-e47a-416f-9f83-543235680ec1.jpg.296x216.jpg', '一楼挑高，东边户，户型通透，采光好', '金色池塘三期  | 3室2厅 | 110.31平米 | 南 北 | 其他', '低楼层(共11层)2007年建板楼  -  井岗镇', '175万', '单价15865元/平米')
('https://image1.ljcdn.com/340100-inspection/8fc60bbe-fa23-4e03-b772-d7e876b80ed9.jpg.296x216.jpg', '为你而选为你为家  登云庭大三 房 单价低', '登云庭  | 3室2厅 | 128.76平米 | 南 | 精装', '高楼层(共34层)2009年建板楼  -  琥珀', '210万', '单价16310元/平米')
('', '山水间花园 2室2厅 122万', '山水间花园  | 2室2厅 | 70平米 | 南 北 | 其他', '中楼层(共18层)塔楼  -  新产业园', '122万', '单价17429元/平米')
('https://image1.ljcdn.com/340100-inspection/439dc3d2-b758-4dcb-8520-412f7c4d1568.jpg.296x216.jpg', '琥珀东村 3室1厅 185万', '琥珀东村  | 3室1厅 | 106.24平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  琥珀', '185万', '单价17414元/平米')
('', '此房已满2年，没有增值税，户型方正，诚心出售', '淝滨小区  | 2室1厅 | 69.1平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  五里墩', '86万', '单价12446元/平米')
('https://image1.ljcdn.com/340100-inspection/5d939885-8c09-4213-a14d-8b2103a50afc.JPG.296x216.jpg', '广利花园南区 2室2厅 195万', '广利花园南区  | 2室2厅 | 96.88平米 | 南 | 其他', '中楼层(共6层)2006年建板楼  -  西园', '195万', '单价20128元/平米')
('', '燕园 2室2厅 150万', '燕园  | 2室2厅 | 89.5平米 | 南 北 | 其他', '低楼层(共18层)2008年建塔楼  -  五里墩', '150万', '单价16760元/平米')
('', '盛世名城 优质复式 采光足 视野开阔', '盛世名城  | 4室3厅 | 186平米 | 南 北 | 精装', '高楼层(共6层)2009年建板楼  -  南七', '320万', '单价17205元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/5fe7f160-f965-4d52-be10-c92f73903dd8.png.280x210.jpg', '华地公馆东区 2室2厅 230万', '华地公馆东区  | 2室2厅 | 88.15平米 | 南 北 | 其他', '高楼层(共32层)2013年建塔楼  -  南七', '230万', '单价26092元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload4b29b7a6-914a-42f6-9d4d-f56e9731220a.jpg.296x216.jpg', '天一家园清溪苑顶楼复式三居，毛坯房，赠送一个露台', '天一家园清溪苑  | 3室2厅 | 93.42平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  五里墩', '120万', '单价12846元/平米')
('', '西城山水居 3室2厅 220万', '西城山水居  | 3室2厅 | 119.7平米 | 南 北 | 其他', '低楼层(共18层)2013年建塔楼  -  新产业园', '220万', '单价18380元/平米')
('', '松芝万象城 1室1厅 79万', '松芝万象城  | 1室1厅 | 44.45平米 | 东北 | 其他', '中楼层(共31层)2012年建板楼  -  五里墩', '79万', '单价17773元/平米')
('', '新加坡花园城 2室1厅 125万', '新加坡花园城  | 2室1厅 | 66.5平米 | 南 | 其他', '低楼层(共18层)2015年建塔楼  -  井岗镇', '125万', '单价18797元/平米')
('https://image1.ljcdn.com/340100-inspection/895b30d4-0490-47b9-ba05-a2ed3e2a5270.jpg.296x216.jpg', '琥珀中村电子所 顶楼 刚需优选 单价低', '琥珀中村  | 2室1厅 | 71.49平米 | 南 北 | 简装', '高楼层(共6层)2000年建板楼  -  琥珀', '103万', '单价14408元/平米')
('https://image1.ljcdn.com/340100-inspection/58945f3d-27ea-486a-a051-ab4590c1618d.jpg.296x216.jpg', '翡翠园 中间楼层 两卧朝南 全明格局', '翡翠园  | 3室1厅 | 88.05平米 | 南 | 简装', '中楼层(共7层)2000年建板楼  -  琥珀', '132万', '单价14992元/平米')
('', '加侨悦山国际 4室3厅 350万', '加侨悦山国际  | 4室3厅 | 132.19平米 | 南 北 | 其他', '高楼层(共6层)2015年建板楼  -  新产业园', '350万', '单价26478元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload2d7e3d20-4b2a-4dbb-a1ce-29518799d0fb.jpg.296x216.jpg', '安居苑东村 3室2厅 185万', '安居苑东村  | 3室2厅 | 89.23平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  西园', '185万', '单价20733元/平米')
('', '安居苑东村 3室2厅 242万', '安居苑东村  | 3室2厅 | 105平米 | 南 北 | 其他', '低楼层(共6层)2000年建板楼  -  西园', '242万', '单价23048元/平米')
('', '信旺华府骏苑 1室0厅 56万', '信旺华府骏苑  | 1室0厅 | 40.67平米 | 西南 | 其他', '中楼层(共29层)2013年建塔楼  -  南七', '56万', '单价13770元/平米')
('', '鼎元别院 3室1厅 165万', '鼎元别院  | 3室1厅 | 88平米 | 南 北 | 其他', '中楼层(共27层)2016年建塔楼  -  井岗镇', '165万', '单价18750元/平米')
('https://image1.ljcdn.com/340100-inspection/6dd9fbb0-d196-409f-8436-d35f99e3ecdd.jpg.296x216.jpg', '龙居山庄 4室2厅 220万', '龙居山庄  | 4室2厅 | 173平米 | 南 北 | 其他', '高楼层(共6层)2010年建板楼  -  五里墩', '220万', '单价12717元/平米')
('', '建业领翔花园 3室2厅 188万', '建业领翔花园  | 3室2厅 | 97.71平米 | 南 | 其他', '高楼层(共26层)2012年建塔楼  -  南七', '188万', '单价19241元/平米')
('https://image1.ljcdn.com/340100-inspection/c3a5cbd6-3d34-48f1-9b72-0f200b727b1c.jpg.296x216.jpg', '总价低，有户口，采光和通风都不影响', '中央星座  | 1室0厅 | 50.25平米 | 南 北 | 其他', '中楼层(共10层)2005年建板楼  -  五里墩', '65万', '单价12936元/平米')
('', '中天蓝山 2室2厅 165万', '中天蓝山  | 2室2厅 | 94平米 | 南 | 其他', '低楼层(共4层)2009年建板塔结合  -  井岗镇', '165万', '单价17554元/平米')
('', '大溪地御倾城 4室2厅 266万', '大溪地御倾城  | 4室2厅 | 128.41平米 | 南 北 | 其他', '低楼层(共32层)2014年建板楼  -  西园', '266万', '单价20715元/平米')
('', '朝阳大厦 3室2厅 150万', '朝阳大厦  | 3室2厅 | 98平米 | 南 | 其他', '高楼层(共18层)2003年建塔楼  -  稻香村', '150万', '单价15307元/平米')
('https://image1.ljcdn.com/340100-inspection/39f5ecd2-10aa-4dde-a937-e635386f56c6.jpg.296x216.jpg', '多层顶楼复式， 两阳光房，一个大露台', '金色池塘三期  | 3室2厅 | 126平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  井岗镇', '200万', '单价15874元/平米')
('https://image1.ljcdn.com/340100-inspection/f29929eb-aa6b-4aa5-aaf8-dc402acf716b.jpg.296x216.jpg', '奥林花园三期 采光好 复式 精装修', '奥林花园  | 2室2厅 | 123.06平米 | 南 | 精装', '高楼层(共22层)2007年建塔楼  -  琥珀', '150万', '单价12190元/平米')
('', '红皖家园 2室2厅 138万', '红皖家园  | 2室2厅 | 95.08平米 | 南 | 其他', '低楼层(共18层)2010年建塔楼  -  新产业园', '138万', '单价14515元/平米')
('https://image1.ljcdn.com/340100-inspection/7a885977-827c-465b-ab56-00d54a48a44d.jpg.296x216.jpg', '翡翠园 采光好 户型方正 交通便利', '翡翠园  | 3室1厅 | 88.3平米 | 南 北 | 其他', '高楼层(共8层)2000年建板楼  -  琥珀', '124万', '单价14044元/平米')
('', '大溪地天润轩  精装三居室  户型方正 采光好', '大溪地天润轩  | 3室2厅 | 108.53平米 | 南 | 其他', '高楼层(共31层)2010年建板楼  -  西园', '235万', '单价21653元/平米')
('', '加侨悦山国际 4室2厅 260万', '加侨悦山国际  | 4室2厅 | 125平米 | 南 | 其他', '低楼层(共6层)板楼  -  新产业园', '260万', '单价20800元/平米')
('', '枫丹白鹭湖公馆中装大三房业主诚售两房朝南', '枫丹白鹭湖公馆  | 3室2厅 | 139.06平米 | 南 | 其他', '低楼层(共18层)2006年建塔楼  -  新产业园', '190万', '单价13664元/平米')
('https://image1.ljcdn.com/340100-inspection/593c5edc-2164-421d-8831-d296d13e57ab.jpg.296x216.jpg', '70年产权+燃气+拎包住+交通便利+成熟配套', '新华国际公寓  | 1室1厅 | 48.16平米 | 北 | 其他', '低楼层(共33层)2012年建塔楼  -  南七', '76万', '单价15781元/平米')
('https://image1.ljcdn.com/340100-inspection/b871bf80-9f6b-40a3-8ce8-b9b107e3a7e3.jpg.296x216.jpg', '岳西新村 大两房 楼层好 采光充足 房东诚心出售', '岳西新村  | 2室1厅 | 54.52平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  西园', '88万', '单价16141元/平米')
('https://image1.ljcdn.com/340100-inspection/2ae2ea24-369c-48ca-9cff-5d14134d05d6.jpg.296x216.jpg', '奥林花园 2室2厅 150万', '奥林花园  | 2室2厅 | 123.06平米 | 南 北 | 其他', '低楼层(共22层)2007年建塔楼  -  琥珀', '150万', '单价12190元/平米')
('', '加侨悦山国际 2室1厅 115万', '加侨悦山国际  | 2室1厅 | 75平米 | 南 | 其他', '低楼层(共31层)2015年建塔楼  -  新产业园', '115万', '单价15334元/平米')
('', '信旺华府骏苑 1室1厅 50万', '信旺华府骏苑  | 1室1厅 | 51.96平米 | 西 | 其他', '中楼层(共29层)2013年建塔楼  -  南七', '50万', '单价9623元/平米')
('', '难得！难得！优质三房！华润桃源里！', '华润桃源里  | 3室2厅 | 89平米 | 南 | 其他', '低楼层(共33层)板塔结合  -  新产业园', '153万', '单价17192元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload8cf17f12-1261-41dd-8661-53c5ede8941e.jpg.296x216.jpg', '为你而选为你为家 新华学府春天 精装大三居', '新华学府春天  | 3室2厅 | 125.4平米 | 南 | 其他', '中楼层(共23层)2008年建塔楼  -  南七', '245万', '单价19538元/平米')
('https://image1.ljcdn.com/340100-inspection/b109fa33-5de0-40af-b521-9e2d21b42306.jpg.296x216.jpg', '精装修，满五年，无增值税，跃层附赠60平空间， 诚售', '金色池塘三期  | 4室2厅 | 131.61平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  井岗镇', '225万', '单价17096元/平米')
('https://image1.ljcdn.com/340100-inspection/52bf18a6-fc1c-4615-9702-c131a7618e54.jpg.296x216.jpg', '为你而选为你而家御安西苑，毛坯大三居，户型方正', '御安西苑  | 3室2厅 | 142.57平米 | 南 北 | 其他', '低楼层(共32层)2014年建塔楼  -  井岗镇', '180万', '单价12626元/平米')
('https://image1.ljcdn.com/340100-inspection/7b825118-a8ba-4f77-b5b8-712177d50440.jpg.296x216.jpg', '西环中心广场 1室1厅 98万', '西环中心广场  | 1室1厅 | 72.31平米 | 南 北 | 其他', '中楼层(共24层)2012年建塔楼  -  南七', '98万', '单价13553元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/01991ff2-dc60-4ba2-a7bb-697c62425e0c.png.280x210.jpg', '朝阳大厦 3室2厅 138万', '朝阳大厦  | 3室2厅 | 96.01平米 | 南 | 其他', '中楼层(共18层)2003年建塔楼  -  稻香村', '138万', '单价14374元/平米')
('', '信旺华府骏苑 3室2厅 230万', '信旺华府骏苑  | 3室2厅 | 163.45平米 | 南 | 其他', '中楼层(共31层)2005年建塔楼  -  南七', '230万', '单价14072元/平米')
('', '红皖家园，温馨六房，户型方正，业主诚心出售', '红皖家园  | 6室1厅 | 251.91平米 | 南 | 其他', '高楼层(共18层)2010年建塔楼  -  新产业园', '258万', '单价10242元/平米')
('https://image1.ljcdn.com/340100-inspection/a5010fad-0e71-4109-9ac6-e0f352399d97.jpg.296x216.jpg', '为你而选为你为家 天一大厦 刚需1居室 次顶楼', '天一大厦  | 1室1厅 | 54.53平米 | 北 | 简装', '高楼层(共22层)2010年建塔楼  -  五里墩', '62万', '单价11370元/平米')
('https://image1.ljcdn.com/340100-inspection/1c6e4c4c-6c16-4b44-809d-28577d0df1f3.jpg.296x216.jpg', '为你而选为你为家 紫荆广场客厅朝西带边窗 精装2居室', '紫荆商务广场  | 2室2厅 | 75.18平米 | 南 | 其他', '中楼层(共32层)2013年建塔楼  -  井岗镇', '115万', '单价15297元/平米')
('', '安粮城市广场QQ公寓 1室1厅 93万', '安粮城市广场QQ公寓  | 1室1厅 | 59.59平米 | 南 | 其他', '中楼层(共32层)2013年建塔楼  -  稻香村', '93万', '单价15607元/平米')
('', '凤凰城家家景园一期 6室4厅 230万', '凤凰城家家景园一期  | 6室4厅 | 192.75平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  五里墩', '230万', '单价11933元/平米')
('', '天一家园 小区自带市政供暖 赠送地下车位和储藏室！！', '天一家园  | 2室2厅 | 89.66平米 | 南 北 | 其他', '中楼层(共6层)2010年建板楼  -  五里墩', '158万', '单价17623元/平米')
('', '大富山庄 2室1厅 150万', '大富山庄  | 2室1厅 | 88.11平米 | 南 | 其他', '低楼层(共30层)2015年建塔楼  -  新产业园', '150万', '单价17025元/平米')
('https://image1.ljcdn.com/340100-inspection/98f66f2b-7d7e-451c-9a85-8ac4e82520a4.jpg.296x216.jpg', '地理位置好 满五年 2室朝南 采光好', '颐和花园锦苑  | 3室2厅 | 72.97平米 | 南 北 | 其他', '高楼层(共6层)2005年建板楼  -  五里墩', '100万', '单价13705元/平米')
('https://image1.ljcdn.com/340100-inspection/95add762-97f3-4953-8041-488b3669ec2a.jpg.296x216.jpg', '龙居山庄 天龙居 自住精装修 采光好 楼层位置好', '龙居山庄天龙居  | 3室2厅 | 118.08平米 | 南 | 精装', '中楼层(共18层)2008年建板楼  -  五里墩', '190万', '单价16091元/平米')
('https://image1.ljcdn.com/340100-inspection/bcc737ac-2e84-4b8e-a233-697370cf7f8a.jpg.296x216.jpg', '小区位于石台路红岗路交口，出则繁华，入则', '丁香家园二期  | 2室2厅 | 142.18平米 | 南 北 | 其他', '高楼层(共11层)2008年建塔楼  -  南七', '200万', '单价14067元/平米')
('https://image1.ljcdn.com/340100-inspection/c723dccb-090d-4522-8405-f046e0c6a49a.jpg.296x216.jpg', '中天蓝山 3室2厅 179万', '中天蓝山  | 3室2厅 | 128.16平米 | 南 北 | 其他', '高楼层(共6层)2009年建板塔结合  -  井岗镇', '179万', '单价13967元/平米')
('', '卫楼新村 1室1厅 29万', '卫楼新村  | 1室1厅 | 27.81平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  井岗镇', '29万', '单价10428元/平米')
('https://image1.ljcdn.com/340100-inspection/53fef5a0-c4f3-4483-8054-abfbeccf63e5.JPG.296x216.jpg', '广利花园南区 3室2厅 300万', '广利花园南区  | 3室2厅 | 149.19平米 | 南 | 其他', '低楼层(共6层)2006年建板楼  -  西园', '300万', '单价20109元/平米')
('', '无增值税 采光好 地理位置优越 户型方正', '天一家园清溪苑  | 3室2厅 | 146.82平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  五里墩', '158万', '单价10762元/平米')
('https://image1.ljcdn.com/340100-inspection/118e924a-7dd2-4968-9ce1-b798b5cce5e7.jpg.296x216.jpg', '人保宿舍 位置好 单价低 总价低 配套齐全', '人保宿舍  | 2室1厅 | 72.3平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  三里庵', '120万', '单价16598元/平米')
('https://image1.ljcdn.com/340100-inspection/83ceb217-8ef2-4690-8d84-f534b1ad46df.jpg.296x216.jpg', '为你而选为你为家明亮复式，空间大，面积足，', '金色池塘三期  | 4室2厅 | 167.11平米 | 南 | 简装', '高楼层(共6层)2008年建板楼  -  井岗镇', '241万', '单价14422元/平米')
('', '一期方正三居室，南北通风好，光线不受遮挡', '金色池塘  | 3室2厅 | 117.54平米 | 西南 | 其他', '高楼层(共6层)2008年建板楼  -  井岗镇', '180万', '单价15314元/平米')
('https://image1.ljcdn.com/340100-inspection/2194e8de-0ee5-4f23-b835-4ec22950e0cf.jpg.296x216.jpg', '黎阳嘉苑 2室2厅 150万', '黎阳嘉苑  | 2室2厅 | 89.8平米 | 南 | 其他', '中楼层(共18层)2010年建塔楼  -  五里墩', '150万', '单价16704元/平米')
('', '安粮城市广场 2室2厅 165万', '安粮城市广场  | 2室2厅 | 89平米 | 南 | 其他', '高楼层(共33层)2013年建塔楼  -  稻香村', '165万', '单价18540元/平米')
('', '登云庭 2室2厅 155万', '登云庭  | 2室2厅 | 95.21平米 | 南 北 | 其他', '低楼层(共34层)2009年建塔楼  -  琥珀', '155万', '单价16280元/平米')
('https://image1.ljcdn.com/340100-inspection/628bc94d-48c5-4cab-ae43-97527a8fc8df.jpg.296x216.jpg', '楼层好，视野宽阔，采光充足。诚心出售', '松芝万象城  | 2室2厅 | 67.63平米 | 南 | 其他', '中楼层(共19层)2010年建塔楼  -  五里墩', '118万', '单价17448元/平米')
('https://image1.ljcdn.com/340100-inspection/d4b131f0-e507-4d9a-be1d-dea92aac91ec.jpg.296x216.jpg', '优质三居室，居家精装修，上下复式', '玉兰新村  | 3室2厅 | 132平米 | 南 | 其他', '高楼层(共6层)1999年建板楼  -  井岗镇', '123万', '单价9319元/平米')
('https://image1.ljcdn.com/340100-inspection/73ef78e1-79ee-4bf8-acbd-17041a308370.jpg.296x216.jpg', '虹雨花园 大四居 满五年 采光好 拎包入住 南北通透', '虹雨花园  | 4室2厅 | 157.85平米 | 南 北 | 其他', '中楼层(共11层)2003年建板楼  -  五里墩', '225万', '单价14255元/平米')
('https://image1.ljcdn.com/340100-inspection/2d12a233-dc7e-446d-b326-76362af62e6c.jpg.296x216.jpg', '新华学府花园 5室3厅 338万', '新华学府花园  | 5室3厅 | 184.6平米 | 南 | 其他', '高楼层(共6层)2005年建塔楼  -  南七', '338万', '单价18310元/平米')
('', '公园道1号 3室2厅 210万', '公园道1号  | 3室2厅 | 125.4平米 | 南 北 | 其他', '低楼层(共21层)2011年建塔楼  -  井岗镇', '210万', '单价16747元/平米')
('', '安居苑东村 2室2厅 190万', '安居苑东村  | 2室2厅 | 79平米 | 南 北 | 其他', '低楼层(共6层)2000年建板楼  -  西园', '190万', '单价24051元/平米')
('', '西环中心广场 1室1厅 72万', '西环中心广场  | 1室1厅 | 46平米 | 东 | 其他', '中楼层(共27层)2012年建塔楼  -  南七', '72万', '单价15653元/平米')
('https://image1.ljcdn.com/340100-inspection/8a2481a8-030d-4f8b-a167-1cda1938f7e0.jpg.296x216.jpg', '大溪地四期 精装修两居室 采光好 业主诚心出售', '大溪地天泽轩  | 2室1厅 | 62.75平米 | 西 | 精装', '高楼层(共18层)2012年建塔楼  -  西园', '102万', '单价16255元/平米')
