('https://image1.ljcdn.com/441900-inspection/7d60b0eb-0f9f-438d-8cad-412834eaa9d7.jpg.296x216.jpg', '天虹广场   舒适3房  装修好  保养新  高楼层', '地标广场  | 3室2厅 | 108平米 | 东南 | 其他', '中楼层(共28层)2011年建塔楼  -  地标', '300万', '单价27778元/平米')
('https://image1.ljcdn.com/441900-inspection/e4ece99a-0fdb-4afd-85d3-68593cedc09d.jpg.296x216.jpg', '南部湾精装修4房 出售  家私家电齐全 拎包入住', '南部湾万科城  | 4室2厅 | 120平米 | 东南 | 其他', '中楼层(共29层)2015年建板楼  -  大宁', '300万', '单价25000元/平米')
('', '天虹商圈  精装修 满五唯一 中高楼层', '地标大厦  | 1室1厅 | 75.99平米 | 东北 | 其他', '中楼层(共25层)2010年建塔楼  -  地标', '130万', '单价17108元/平米')
('https://image1.ljcdn.com/441900-inspection/1acac2ee-7329-4508-ae9e-386edd574fdc.jpg.296x216.jpg', '业主诚心租售，精装两房，采光无遮挡', '东方国际星座  | 2室2厅 | 103.8平米 | 南 | 其他', '高楼层(共29层)2006年建塔楼  -  黄河中心', '150万', '单价14451元/平米')
('https://image1.ljcdn.com/441900-inspection/7f0e058a-12e7-4966-be1c-46b72f2a4e33.jpg.296x216.jpg', '南部湾万科城精装三房01户型 业主诚心出售', '南部湾万科城  | 3室2厅 | 95平米 | 东南 | 简装', '低楼层(共34层)2015年建塔楼  -  大宁', '210万', '单价22106元/平米')
('https://image1.ljcdn.com/441900-inspection/732022a2-a47c-4c20-a302-70647e17d44f.jpg.296x216.jpg', '格局好，采光好，小区环境好，自住的好房子。', '万科金色里程  | 3室2厅 | 97.47平米 | 西北 | 其他', '低楼层(共33层)2015年建塔楼  -  虎门公园', '230万', '单价23598元/平米')
('https://image1.ljcdn.com/441900-inspection/68ea731b-26be-4d6a-b075-9e4ba5d0eec6.jpg.296x216.jpg', '方正户型，1房1厅1卫1厨，采光充足，开放式厨房。。', '万达华府  | 1室1厅 | 51.9平米 | 西南 | 其他', '低楼层(共28层)2014年建塔楼  -  万达', '89万', '单价17149元/平米')
('', '虎门丰泰华园山庄 空中别墅 高品质生活 5房2厅急售', '丰泰华园山庄   | 独栋别墅 | 5室2厅 | 440平米 | 东南 | 其他', '1层2005年建暂无数据  -  新联', '1300万', '单价29546元/平米')
('https://image1.ljcdn.com/441900-inspection/48675055-a871-4db6-b8c6-933bfc82e388.jpg.296x216.jpg', '业主精心装修大4房出售 带前后大花园 诚心出售', '南部湾万科城  | 4室2厅 | 142平米 | 东南 | 其他', '低楼层(共11层)2015年建塔楼  -  大宁', '500万', '单价35212元/平米')
('https://image1.ljcdn.com/441900-inspection/fa3f4da1-533e-46a8-baff-31b615d7593b.jpg.296x216.jpg', '沿江高速出口 万科大四房送装修 您值得拥有', '万科紫台  | 3室2厅 | 140平米 | 北 | 其他', '中楼层(共26层)2010年建塔楼  -  地标', '294万', '单价21000元/平米')
('https://image1.ljcdn.com/441900-inspection/a5faa92f-258c-493b-9bc8-f0eafe05ccd6.jpg.296x216.jpg', '满五唯一 复试毛坯六房 实用率高 业主诚意出售', '虎门国际公馆  | 6室2厅 | 251平米 | 东南 | 其他', '高楼层(共17层)2011年建塔楼  -  新联', '450万', '单价17929元/平米')
('https://image1.ljcdn.com/441900-inspection/a0d495f7-5a22-4d06-95a1-b154214b2d21.jpg.296x216.jpg', '南部湾万科城 中高楼层精装修三房两厅 诚意出售', '南部湾万科城  | 3室2厅 | 95平米 | 西南 | 其他', '中楼层(共41层)2016年建塔楼  -  大宁', '220万', '单价23158元/平米')
('https://image1.ljcdn.com/441900-inspection/37e58b43-19e6-41b5-b8a6-0cba3746df2d.jpg.296x216.jpg', '天虹商圈  一室一厅  中高楼层  采光好 朝向好', '地标大厦  | 1室1厅 | 58平米 | 东南 | 其他', '低楼层(共25层)2010年建塔楼  -  地标', '95万', '单价16380元/平米')
('https://image1.ljcdn.com/441900-inspection/42c44d11-d893-467c-87e8-fb8c25670048.jpg.296x216.jpg', '精装修2房 带租约出售 房子带100多平的大平台', '南部湾万科城  | 2室1厅 | 62平米 | 西北 | 其他', '低楼层(共9层)2015年建塔楼  -  大宁', '155万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/9a736249-6af0-44e5-aac8-0debac67485c.jpg.296x216.jpg', '沿江高速出口 万科物业 高楼层 采光好 朝小区', '南部湾万科城  | 3室2厅 | 96.66平米 | 西南 | 其他', '中楼层(共29层)2015年建塔楼  -  大宁', '230万', '单价23795元/平米')
('', '丰泰东海城堡   精装修带租约出售   三房两厅', '丰泰东海城堡  | 3室2厅 | 90平米 | 南 | 精装', '中楼层(共18层)2013年建塔楼  -  新联', '180万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/a3a4e09d-841f-43ec-be44-4c15572cf313.jpg.296x216.jpg', '虎门万达广场 一居室 少量户型 实图 带租约 换置诚售', '万达华府  | 1室1厅 | 56.74平米 | 南 | 其他', '高楼层(共28层)2014年建塔楼  -  万达', '97万', '单价17096元/平米')
('https://image1.ljcdn.com/441900-inspection/f8d27394-7c64-481e-971c-1dbf3c599e87.jpg.296x216.jpg', '安静舒适天鹅湖就在丰泰东海城堡', '丰泰东海城堡  | 3室2厅 | 98平米 | 东南 | 其他', '低楼层(共15层)2013年建塔楼  -  新联', '190万', '单价19388元/平米')
('https://image1.ljcdn.com/441900-inspection/812df3d3-9cf7-4f19-b9e7-91f989bffad5.jpg.296x216.jpg', '东海山庄、联排别墅、环境优雅、满五唯一、免个税', '丰泰东海山庄   | 联排别墅 | 5室2厅 | 320平米 | 南 | 其他', '3层2007年建暂无数据  -  新联', '600万', '单价18750元/平米')
('https://image1.ljcdn.com/441900-inspection/9fbe4b98-a459-45aa-87ef-19c716c135d9.jpg.296x216.jpg', '万科城 精装修大3房出售 房子位置优越 小区环境好', '南部湾万科城  | 3室2厅 | 95.1平米 | 西南 | 其他', '中楼层(共22层)2015年建塔楼  -  大宁', '223万', '单价23450元/平米')
('https://image1.ljcdn.com/441900-inspection/7c979bc6-6a6a-4376-a970-ba40206905e9.jpg.296x216.jpg', '采光好 交通便利 购物方便 绿化面积广。', '南部湾万科城  | 3室2厅 | 95平米 | 东南 | 其他', '高楼层(共41层)2016年建塔楼  -  大宁', '230万', '单价24211元/平米')
('https://image1.ljcdn.com/441900-inspection/74f524fa-80b3-4803-a80e-cef74b091810.jpg.296x216.jpg', '精装修3房出售 房子南北通透 带家私家电', '南部湾万科城  | 3室2厅 | 97平米 | 西南 | 其他', '低楼层(共26层)2015年建塔楼  -  大宁', '235万', '单价24227元/平米')
('https://image1.ljcdn.com/441900-inspection/50efbfb1-4ed8-460b-a6b2-5d2c0fc18362.jpg.296x216.jpg', '丰泰华园山庄3+1户型 东南朝向 房子较新可以拎包入住', '丰泰华园山庄  | 3室2厅 | 128.7平米 | 东南 | 其他', '高楼层(共19层)2005年建塔楼  -  新联', '200万', '单价15541元/平米')
('https://image1.ljcdn.com/441900-inspection/511e9b4c-456b-4e28-a379-cc5be70cacba.jpg.296x216.jpg', '万达商圈 安静舒适 正南朝向 出行方便', '客天下琥门  | 3室2厅 | 103平米 | 南 | 其他', '高楼层(共23层)2014年建塔楼  -  万达', '210万', '单价20389元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload08abc7c4-6819-4317-a837-a5e7bc05383f.jpg.296x216.jpg', '万达精装公寓 户型实用 采光通风好 拎包入住', '万达华府  | 1室1厅 | 55.66平米 | 东南 | 其他', '高楼层(共28层)2014年建塔楼  -  万达', '78万', '单价14014元/平米')
('https://image1.ljcdn.com/441900-inspection/71d399c0-96e5-4833-85ba-3b3863c6b01b.jpg.296x216.jpg', '虎门万达公寓 精装修 空房出售 带租约 业主诚心出售', '万达华府  | 1室1厅 | 52.69平米 | 东南 | 其他', '高楼层(共28层)2014年建塔楼  -  万达', '85万', '单价16133元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload7f4139db-50e8-4583-b7bc-5e00d1d544cd.jpg.296x216.jpg', '房屋方正，抢手好房源，需要快下手', '东方国际星座  | 3室2厅 | 105平米 | 东南 西北 | 其他', '中楼层(共29层)2006年建塔楼  -  黄河中心', '138万', '单价13143元/平米')
('https://image1.ljcdn.com/441900-inspection/6b972493-8d8e-4000-a40a-964f607fd3ca.jpg.296x216.jpg', '丰泰东海城堡边位带花园别墅，户型方正，利用率高。', '丰泰东海城堡   | 联排别墅 | 4室2厅 | 239平米 | 南 | 其他', '3层2013年建暂无数据  -  新联', '600万', '单价25105元/平米')
('https://image1.ljcdn.com/441900-inspection/fb1209b0-bb31-4420-a8d4-7b4ddb32943a.jpg.296x216.jpg', '毛坯联排别墅三层南北通透阳光充足，大社区，格局方正', '虎门国际公馆   | 双拼别墅 | 6室3厅 | 508平米 | 东南 | 其他', '3层2012年建暂无数据  -  新联', '950万', '单价18701元/平米')
('https://image1.ljcdn.com/441900-inspection/9997fb82-380d-421c-93a8-fa03a5f2cea8.jpg.296x216.jpg', '虎门万科城 精装三房 业主诚售', '南部湾万科城  | 3室2厅 | 97平米 | 南 | 其他', '中楼层(共29层)2015年建塔楼  -  大宁', '228万', '单价23506元/平米')
('https://image1.ljcdn.com/441900-inspection/13137929-6ce6-44b1-a77a-34cb61411574.jpg.296x216.jpg', '户型方正 安静朝小区  装修精美 ......', '虎门国际公馆  | 2室1厅 | 120平米 | 东南 | 其他', '中楼层(共18层)2011年建塔楼  -  新联', '276万', '单价23000元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadcff4b371-f990-40f5-bf47-326f8b6490da.jpg.296x216.jpg', '虎门万达华府公寓 1房1厅1卫1厨 采光充足', '万达华府  | 1室1厅 | 37.36平米 | 南 | 其他', '高楼层(共28层)2014年建塔楼  -  万达', '52.3万', '单价13999元/平米')
('https://image1.ljcdn.com/441900-inspection/80850ae6-a838-4605-8e93-f47f281763ff.jpg.296x216.jpg', '沿江高速旁精装三房业主诚心出售', '富民花园  | 3室2厅 | 110平米 | 南 北 | 其他', '中楼层(共13层)2009年建塔楼  -  太平广场', '165万', '单价15000元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload7e943762-3594-46da-a78f-f325b31b75d8.jpg.296x216.jpg', '小区环境优美鸟语花香 适合居住 不临街 高楼层 采光好', '万达华府  | 1室1厅 | 52.25平米 | 南 | 其他', '高楼层(共28层)2014年建塔楼  -  万达', '80万', '单价15312元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadcb0d0de2-4035-4460-9365-a079cd3a2900.jpg.296x216.jpg', '万达广场 单身公寓 即买既租 地忒物业 月租2200元月', '万达华府  | 1室1厅 | 52平米 | 西南 | 其他', '中楼层(共28层)2014年建塔楼  -  万达', '84万', '单价16154元/平米')
('https://image1.ljcdn.com/441900-inspection/f5efae2e-7758-4cc9-85e9-38b63532a37a.jpg.296x216.jpg', '业主诚心带家私家电出售，保养不错，整齐划一', '名门华轩  | 2室2厅 | 96.73平米 | 东 | 其他', '高楼层(共22层)2005年建塔楼  -  太平广场', '155万', '单价16024元/平米')
('https://image1.ljcdn.com/441900-inspection/f55f216b-5c6f-4159-b682-49a6b86c127d.jpg.296x216.jpg', '海岸国际   精装3房  保养好 采光好  业主诚心出售', '海岸国际  | 4室2厅 | 166平米 | 东南 | 其他', '中楼层(共14层)2006年建塔楼  -  太平广场', '282万', '单价16988元/平米')
('https://image1.ljcdn.com/441900-inspection/c9098dbe-d167-4ac6-b0a9-baaec8e551f5.jpg.296x216.jpg', '华园山庄 顶楼复试 居家温馨 业主诚心出售', '丰泰华园山庄  | 5室2厅 | 128.7平米 | 东南 | 其他', '高楼层(共19层)2005年建塔楼  -  新联', '300万', '单价23311元/平米')
('https://image1.ljcdn.com/441900-inspection/d5e69245-310d-4cd8-93cf-2e47d91873c0.jpg.296x216.jpg', '万达华府，精装3房，家私家电齐全，中高楼层。', '万达华府  | 3室2厅 | 91.94平米 | 南 | 其他', '中楼层(共16层)2014年建塔楼  -  万达', '220万', '单价23929元/平米')
('https://image1.ljcdn.com/441900-inspection/3f91600f-dbfd-423f-8fff-e8fc9bb78aa3.jpg.296x216.jpg', '客天下琥门 毛坯高品质小区管理 南北通透采光充足', '客天下琥门  | 3室2厅 | 107平米 | 南 | 其他', '低楼层(共27层)2014年建塔楼  -  万达', '300万', '单价28038元/平米')
('https://image1.ljcdn.com/441900-inspection/664d7b73-5a62-4491-b51e-e36a60d5253a.jpg.296x216.jpg', '天虹楼上 精装单身小公寓 总价低 随时看房 诚心出售', '地标广场  | 1室1厅 | 36.82平米 | 西 | 其他', '中楼层(共28层)2011年建塔楼  -  地标', '80万', '单价21728元/平米')
('https://image1.ljcdn.com/441900-inspection/250b7430-500a-4290-b0e2-eaf9cd5f1754.jpg.296x216.jpg', '中豪大厦 2室1厅 135万', '中豪大厦  | 2室1厅 | 90平米 | 南 | 其他', '中楼层(共21层)2004年建塔楼  -  太平广场', '135万', '单价15000元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadffb8f089-4d05-40e7-b753-ff0594e3f743.jpg.296x216.jpg', '万达华府单间公寓 拎包入住 配套齐全', '万达华府  | 1室0厅 | 52平米 | 西 | 其他', '低楼层(共28层)2014年建塔楼  -  万达', '88万', '单价16924元/平米')
('https://image1.ljcdn.com/441900-inspection/a9c3ad1d-4af0-4ac7-baa7-eb6fd04ec236.jpg.296x216.jpg', '金地琥约三房99平米户型方正采光充足', '金地琥悦  | 3室2厅 | 99平米 | 北 | 其他', '低楼层(共15层)2014年建塔楼  -  万达', '230万', '单价23233元/平米')
('https://image1.ljcdn.com/441900-inspection/5bea4d2c-21bb-4f5e-a448-944da9a3551a.jpg.296x216.jpg', '万达华府 目前是空房 轻轨口物业', '万达华府  | 1室1厅 | 58平米 | 南 | 其他', '中楼层(共28层)2014年建塔楼  -  万达', '82万', '单价14138元/平米')
('https://image1.ljcdn.com/441900-inspection/c6b1a919-2a66-4a1c-9771-0fabb9310430.jpg.296x216.jpg', '丰泰裕田花园两房 业主诚心出售', '丰泰裕田花园  | 2室2厅 | 91平米 | 南 | 其他', '中楼层(共12层)2007年建塔楼  -  大宁', '145万', '单价15935元/平米')
('https://image1.ljcdn.com/441900-inspection/f1ce8302-551b-4407-9588-24c11973316d.jpg.296x216.jpg', '此房高层看全湖景 业主重新刷过墙了 房子看起来很温馨', '丰泰华园山庄  | 3室2厅 | 127平米 | 东南 | 其他', '高楼层(共19层)2005年建塔楼  -  新联', '250万', '单价19686元/平米')
('https://image1.ljcdn.com/441900-inspection/23acb76f-7577-4d9a-84b7-073b7340eb8b.jpg.296x216.jpg', '满五唯一 看江景四房  送家私家电 就在龙泽居', '龙泽居  | 4室2厅 | 214平米 | 东南 | 其他', '中楼层(共16层)2005年建塔楼  -  黄河中心', '242万', '单价11309元/平米')
('https://image1.ljcdn.com/441900-inspection/999e42da-aad6-4498-8b23-f4e8f3a08d6a.jpg.296x216.jpg', '精装三房  户型方正 采光好 通风好', '德基广场天悦  | 3室2厅 | 95平米 | 南 | 其他', '低楼层(共28层)2014年建塔楼  -  虎门公园', '230万', '单价24211元/平米')
('https://image1.ljcdn.com/441900-inspection/233ee223-4754-41dd-92f9-89687c9a21e4.jpg.296x216.jpg', '虎门万达华府 配套齐全 中高楼层 地铁口 业主诚心出售', '万达华府  | 3室2厅 | 92.74平米 | 南 | 其他', '高楼层(共30层)2014年建塔楼  -  万达', '222万', '单价23938元/平米')
('https://image1.ljcdn.com/441900-inspection/97ffbbd4-d2b7-44f0-b79c-2d404e8d08c7.jpg.296x216.jpg', '虎门公园 天虹楼上 精装修一房 看小区花园  配套齐全', '地标广场  | 1室0厅 | 33.77平米 | 东 | 其他', '低楼层(共28层)2011年建塔楼  -  地标', '73万', '单价21617元/平米')
('https://image1.ljcdn.com/441900-inspection/be58eeca-ff1d-43f2-8acd-5a9e866a35fa.jpg.296x216.jpg', '南部湾精装2房  阳光充裕  舒适 拎包入住  诚心卖', '南部湾万科城  | 2室2厅 | 62平米 | 北 | 其他', '低楼层(共9层)2015年建塔楼  -  大宁', '150万', '单价24194元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploade3de55fb-b23c-4596-b735-0b044169614b.jpg.296x216.jpg', '天虹商场，户型方正，采光佳，配套完善', '地标大厦  | 1室0厅 | 58平米 | 东南 | 其他', '中楼层(共25层)2010年建塔楼  -  地标', '85万', '单价14656元/平米')
('https://image1.ljcdn.com/441900-inspection/14454fce-f3a8-4e30-9c40-2d39031f31d9.jpg.296x216.jpg', '虎门国际公馆 精装两房 诚意出售', '虎门国际公馆  | 2室2厅 | 85平米 | 东南 | 其他', '高楼层(共18层)2013年建板楼  -  新联', '160万', '单价18824元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload44c2e614-255e-4e33-9a8d-9d11a37d637b.jpg.296x216.jpg', '万达华府 1室1厅 55万', '万达华府  | 1室1厅 | 33平米 | 南 | 其他', '低楼层(共28层)2014年建塔楼  -  万达', '55万', '单价16667元/平米')
('https://image1.ljcdn.com/441900-inspection/46a7a27d-c3a2-491c-b2e7-e39d8fd5eed4.jpg.296x216.jpg', '万达广场，精装三房，诚心出售，笋盘出售', '客天下琥门  | 3室2厅 | 107.33平米 | 南 | 其他', '低楼层(共23层)2014年建塔楼  -  万达', '220万', '单价20498元/平米')
('https://image1.ljcdn.com/441900-inspection/5f93a512-10e4-4eec-9195-b209759e5b48.jpg.296x216.jpg', '虎门万达客天下 万达商圈 吃喝玩乐样样齐全', '客天下琥门  | 3室2厅 | 92平米 | 南 | 毛坯', '高楼层(共27层)2014年建塔楼  -  万达', '190万', '单价20653元/平米')
('https://image1.ljcdn.com/441900-inspection/7c50a868-0cc8-4ebb-84b2-d0d3aada01ae.jpg.296x216.jpg', '天虹旁 满五唯一  4房精装修 刚装修好  拎包入住', '地标大厦  | 4室2厅 | 171平米 | 东南 | 其他', '中楼层(共26层)2010年建塔楼  -  地标', '342万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload5152ab8f-fd86-4a29-bc87-1c8533444acc.jpg.296x216.jpg', '虎门天虹商圈 中间楼层  住宅70年产权 朝向东南', '地标大厦  | 2室1厅 | 58平米 | 东南 | 其他', '中楼层(共24层)2010年建塔楼  -  地标', '85万', '单价14656元/平米')
('https://image1.ljcdn.com/441900-inspection/4ad0e1dd-518e-4276-bc44-e384e0c9793c.jpg.296x216.jpg', '虎门公园南部湾万科城精装修三房两厅', '南部湾万科城  | 3室2厅 | 95平米 | 西南 | 其他', '低楼层(共34层)2015年建塔楼  -  大宁', '220万', '单价23158元/平米')
('https://image1.ljcdn.com/441900-inspection/b8b340d2-dc4d-4c68-94e3-fdd44fe3919a.jpg.296x216.jpg', '万达公寓，诚心出售，看房方便。', '万达华府  | 1室1厅 | 55平米 | 南 | 其他', '中楼层(共28层)2014年建塔楼  -  万达', '90万', '单价16364元/平米')
('https://image1.ljcdn.com/441900-inspection/b6d41694-057c-4b1e-a758-4f6a6fb9640c.jpg.296x216.jpg', '户型方正，出行方便，业主诚心出售', '太港城  | 3室2厅 | 124平米 | 西 | 其他', '高楼层(共9层)1998年建塔楼  -  黄河中心', '118万', '单价9517元/平米')
('https://image1.ljcdn.com/441900-inspection/15b06428-a37e-4099-8367-c0e5b7621b4c.jpg.296x216.jpg', '万达自带精装修 进门是地板砖 卫生间地板砖做了防水', '万达华府  | 1室1厅 | 56.95平米 | 东南 | 其他', '低楼层(共28层)2014年建塔楼  -  万达', '78万', '单价13697元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload3f0df350-aa39-449c-a53c-4c2009842c53.jpg.296x216.jpg', '此房朝南户型   配套齐全  万达广场 就在这里', '客天下琥门  | 2室2厅 | 80.97平米 | 南 | 其他', '中楼层(共23层)2014年建塔楼  -  万达', '178万', '单价21984元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload17d400a0-6995-43e6-a375-52894587d1ec.jpg.296x216.jpg', '万达公寓  通风采光好 出行便利', '万达华府  | 1室1厅 | 33.51平米 | 东南 | 其他', '中楼层(共28层)2014年建塔楼  -  万达', '55万', '单价16414元/平米')
('https://image1.ljcdn.com/441900-inspection/68e563db-6769-4ea8-b803-352385014032.jpg.296x216.jpg', '黄河配套 中楼层适合有老人小孩居住，户型方正', '诚信大厦  | 3室2厅 | 80平米 | 东南 | 其他', '中楼层(共17层)2003年建塔楼  -  黄河中心', '92.6万', '单价11575元/平米')
('https://image1.ljcdn.com/441900-inspection/88208c4c-968b-4482-98ac-fbfadb4c26f5.jpg.296x216.jpg', '南部湾万科城 3房精装修 空置出售中高楼层采光好', '南部湾万科城  | 3室2厅 | 95平米 | 西南 | 其他', '中楼层(共41层)2016年建塔楼  -  大宁', '225万', '单价23685元/平米')
('https://image1.ljcdn.com/441900-inspection/d85d8273-5cbc-42e8-ba08-216d0e509596.jpg.296x216.jpg', '万科紫台精装修4房 采光好 业主诚心出售', '万科紫台  | 4室2厅 | 190平米 | 南 | 其他', '中楼层(共19层)2010年建塔楼  -  地标', '400万', '单价21053元/平米')
('https://image1.ljcdn.com/441900-inspection/dab0082e-ed90-4106-8eda-acd5ac90bc9e.jpg.296x216.jpg', '虎门国际公馆，两房。精装修，业主自住保养好。', '虎门国际公馆  | 2室2厅 | 90平米 | 东南 | 其他', '高楼层(共18层)2011年建塔楼  -  新联', '198万', '单价22000元/平米')
('https://image1.ljcdn.com/441900-inspection/cfbcf8b5-fbe4-44a1-b13f-93681a5d846f.jpg.296x216.jpg', '温馨小2房出售 有钥匙随时看房 业主诚心出售', '南部湾万科城  | 2室1厅 | 62平米 | 西北 | 其他', '高楼层(共9层)2015年建塔楼  -  大宁', '142万', '单价22904元/平米')
('https://image1.ljcdn.com/441900-inspection/c5b46e27-7374-4731-9478-baaa03b00438.jpg.296x216.jpg', '业主广东省唯一一套过五年省个税，房子带租约方便看房', '宜家花园  | 2室1厅 | 75平米 | 东南 | 简装', '低楼层(共15层)1994年建塔楼  -  太平广场', '75万', '单价10000元/平米')
('https://image1.ljcdn.com/441900-inspection/386413c0-f4b3-4bb9-97d8-da4605df3c61.jpg.296x216.jpg', '南部湾万科城 精装三房 高楼层 带租约', '南部湾万科城  | 3室2厅 | 98平米 | 南 | 其他', '高楼层(共41层)2016年建塔楼  -  大宁', '215万', '单价21939元/平米')
('https://image1.ljcdn.com/441900-inspection/f9a9725a-b053-4914-b111-ea7d48bab3fa.jpg.296x216.jpg', '天虹旁精装一房一厅，户型方正，采光好，诚心出售', '地标大厦  | 1室1厅 | 58.31平米 | 西南 | 其他', '高楼层(共24层)2010年建塔楼  -  地标', '88万', '单价15092元/平米')
('https://image1.ljcdn.com/441900-inspection/45cfcace-b551-40ed-94ae-a9aa5826f36e.jpg.296x216.jpg', '虎门公园 万科金色里程 精装两房 楼下万科生活广场', '万科金色里程  | 2室2厅 | 70.5平米 | 北 | 其他', '低楼层(共33层)2015年建塔楼  -  虎门公园', '166万', '单价23547元/平米')
('https://image1.ljcdn.com/441900-inspection/0e011907-5b87-46f3-9287-41e41762b8d1.jpg.296x216.jpg', '天虹商圈 虎门一号 精装单间 诚心出售', '虎门一号  | 1室1厅 | 36平米 | 西南 | 其他', '中楼层(共11层)2006年建塔楼  -  地标', '56.8万', '单价15778元/平米')
('https://image1.ljcdn.com/441900-inspection/8805757e-9a9b-41d1-87d1-05ef29e5b7fa.jpg.296x216.jpg', '刚需三房 业主诚心卖 滨海湾新区上车盘', '华艺海滨花园  | 3室2厅 | 86平米 | 南 | 其他', '高楼层(共23层)1998年建塔楼  -  黄河中心', '92万', '单价10698元/平米')
('https://image1.ljcdn.com/441900-inspection/2b2d5a2a-9859-43df-b7b6-ffdc3d3f4bbe.jpg.296x216.jpg', '三房家私电器齐全拎包入住，西南方向', '南部湾万科城  | 3室2厅 | 97平米 | 西南 | 其他', '高楼层(共34层)2015年建塔楼  -  大宁', '230万', '单价23712元/平米')
('https://image1.ljcdn.com/441900-inspection/7504afd1-5ba7-42ff-a475-bf29897f2a8e.jpg.296x216.jpg', '丰泰东海山庄 5室2厅 748万', '丰泰东海山庄   | 联排别墅 | 5室2厅 | 356平米 | 南 | 其他', '3层2007年建暂无数据  -  新联', '748万', '单价21012元/平米')
('https://image1.ljcdn.com/441900-inspection/ab96c53b-0ecf-4a3e-acd3-e2a326a0dc5b.jpg.296x216.jpg', '南部湾万科城 3室2厅 260万', '南部湾万科城  | 3室2厅 | 96.83平米 | 西南 | 精装', '高楼层(共41层)2016年建塔楼  -  大宁', '260万', '单价26852元/平米')
('https://image1.ljcdn.com/441900-inspection/68b2556c-32b5-4d0f-88b1-152b2c6f7375.jpg.296x216.jpg', '全新房从未入住，带家私电，朝向好视野广阔', '南部湾万科城  | 4室2厅 | 120平米 | 东南 | 其他', '高楼层(共29层)2015年建板楼  -  大宁', '350万', '单价29167元/平米')
('https://image1.ljcdn.com/441900-inspection/5ea098aa-0647-4b77-9150-ff013069589d.jpg.296x216.jpg', '丰泰华园山庄 看三千亩白马湖 近高铁站', '丰泰华园山庄  | 3室2厅 | 129平米 | 西北 | 简装', '中楼层(共19层)2005年建塔楼  -  新联', '175万', '单价13566元/平米')
('https://image1.ljcdn.com/441900-inspection/9b3f3637-7aaf-4893-b50f-9c7d54dd0dd8.jpg.296x216.jpg', '南部湾万科城 精装大三房 高楼层看小区别墅', '南部湾万科城  | 3室2厅 | 95平米 | 东南 | 其他', '中楼层(共29层)2015年建塔楼  -  大宁', '240万', '单价25264元/平米')
('https://image1.ljcdn.com/441900-inspection/73df0367-df7d-4e33-ab1d-7ba0e4f1dbd7.jpg.296x216.jpg', '万达繁华商圈 配套成熟 中间楼层业主诚心卖', '万达华府  | 1室1厅 | 52平米 | 北 | 其他', '中楼层(共28层)2014年建塔楼  -  万达', '68万', '单价13077元/平米')
('https://image1.ljcdn.com/441900-inspection/258383c0-37de-45bb-a3ca-3896e901e4a4.jpg.296x216.jpg', '此房朝平台花园每个房间带阳台-业主承担增值税', '丰泰华园山庄  | 3室2厅 | 125.6平米 | 东南 | 其他', '低楼层(共19层)2005年建塔楼  -  新联', '190万', '单价15128元/平米')
('https://image1.ljcdn.com/441900-inspection/9d6d09d6-7e07-4b47-9aa2-e8ca1c06be45.jpg.296x216.jpg', '天虹商圈 精装一房 中高楼层 采光好 保养的很好', '地标广场  | 1室0厅 | 37平米 | 西 | 其他', '高楼层(共28层)2011年建塔楼  -  地标', '70万', '单价18919元/平米')
('https://image1.ljcdn.com/441900-inspection/65978455-6a44-43e6-9164-333cc42695e8.jpg.296x216.jpg', '沿江高速出口 万科物业 精装大三房', '万科紫台  | 3室2厅 | 140平米 | 北 | 其他', '高楼层(共19层)2010年建塔楼  -  地标', '295万', '单价21072元/平米')
('https://image1.ljcdn.com/441900-inspection/31dbd55d-dd25-41f2-bc2b-ab3f11d13238.jpg.296x216.jpg', '柏景豪庭，看公园，精装2房，业主成心出售', '柏景豪庭  | 2室2厅 | 214平米 | 东南 | 其他', '高楼层(共30层)2005年建塔楼  -  虎门公园', '280万', '单价13085元/平米')
('https://image1.ljcdn.com/441900-inspection/fc7f6691-86eb-40a6-85ee-807d32f33251.jpg.296x216.jpg', '南部湾万科城精装四房，楼层好，采光充足业主诚心出售', '南部湾万科城  | 4室1厅 | 142平米 | 南 | 精装', '低楼层(共11层)2014年建板楼  -  大宁', '460万', '单价32395元/平米')
('https://image1.ljcdn.com/441900-inspection/8180e841-e6fc-432b-87d4-c383331f8978.jpg.296x216.jpg', '虎门国际公馆  三房两厅   环境优美', '虎门国际公馆  | 3室2厅 | 135平米 | 南 | 毛坯', '中楼层(共17层)2011年建塔楼  -  新联', '250万', '单价18519元/平米')
