('https://image1.ljcdn.com/441900-inspection/3e0ecad3-3618-4d08-9aeb-60bd7b67ea5f.jpg.296x216.jpg', '稀 缺南向小复式，带前后大花园，满五唯 一', '怡丰翠云轩  | 3室2厅 | 45.44平米 | 南 | 其他', '低楼层(共8层)塔楼  -  石井', '150万', '单价33011元/平米')
('https://image1.ljcdn.com/441900-inspection/38628783-1fd5-43b3-8222-529ca8d5ecd0.jpg.296x216.jpg', '精装三房，户型方正，小区看花园，安静舒适', '银湖花园  | 3室2厅 | 110.84平米 | 东 东南 | 其他', '中楼层(共11层)塔楼  -  寮步', '160万', '单价14436元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload97750855-7d19-4446-9eb2-1dc062f75115.jpg.296x216.jpg', '翠珑湾三期精装房 松湖大社区松山湖北站500米', '星城翠珑湾三期  | 3室2厅 | 96平米 | 南 | 其他', '中楼层(共18层)2016年建塔楼  -  寮步', '260万', '单价27084元/平米')
('https://image1.ljcdn.com/441900-inspection/e35dd7ad-1933-4928-a998-961a741ecdaf.jpg.296x216.jpg', '万科统一精装修，中高楼层，采光俱佳', '万科松湖传奇二期左岸  | 4室2厅 | 107.62平米 | 南 | 其他', '中楼层(共19层)2016年建塔楼  -  寮步', '210万', '单价19514元/平米')
('https://image1.ljcdn.com/441900-inspection/de9f4c1a-fce6-4122-98b6-c9c5130ee8c3.jpg.296x216.jpg', '低楼层 银湖花园小区房 户型朝花园', '银湖花园  | 2室2厅 | 61.21平米 | 西北 北 | 其他', '中楼层(共7层)暂无数据  -  寮步', '70万', '单价11437元/平米')
('https://image1.ljcdn.com/441900-inspection/873e86b6-2e40-4217-a008-67ca20e9061e.jpg.296x216.jpg', '超正户型大三房，超精装带家私家电诚意出售', '星城翠珑湾三期  | 3室2厅 | 116.12平米 | 北 | 其他', '低楼层(共29层)2016年建塔楼  -  寮步', '320万', '单价27558元/平米')
('https://image1.ljcdn.com/441900-inspection/f42eef95-86c7-47a4-ac27-560b0ec40630.jpg.296x216.jpg', '1楼的情景美墅改造空间大，户型稀 少。业主诚信出售', '万科城市高尔夫花园  | 4室2厅 | 145平米 | 南 | 其他', '低楼层(共4层)暂无数据  -  寮步', '350万', '单价24138元/平米')
('https://image1.ljcdn.com/441900-inspection/6f8a1892-f8e4-4bb7-9fcf-5fc749e1eacd.jpg.296x216.jpg', '万科精装修空房出售，位置好，通风安静宜居', '万科松湖传奇  | 2室2厅 | 65平米 | 南 | 其他', '低楼层(共34层)2015年建塔楼  -  寮步', '130万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadd0806e21-fd8f-4632-91f3-71f38d7498a3.jpg.296x216.jpg', '中惠卡丽兰满二年精装修房子温馨舒适', '中惠卡丽兰  | 3室2厅 | 95.45平米 | 南 | 其他', '低楼层(共7层)塔楼  -  寮步', '230万', '单价24097元/平米')
('https://image1.ljcdn.com/441900-inspection/2061bf6e-709e-49ee-a4df-18bd78a87571.jpg.296x216.jpg', '精装两房,看房提前通知，价格可谈', '万科松湖传奇  | 2室2厅 | 65平米 | 南 | 其他', '高楼层(共29层)2015年建塔楼  -  寮步', '126万', '单价19385元/平米')
('https://image1.ljcdn.com/441900-inspection/10e14583-a1bc-4b0d-a1e4-a59a06c98ee8.jpg.296x216.jpg', '双南卧室客厅，实际实用率高的两居室', '万科松湖传奇  | 2室1厅 | 65平米 | 南 | 精装', '高楼层(共34层)2015年建塔楼  -  寮步', '130万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/356b3cc9-12be-4073-b177-f38022ca6a13.jpg.296x216.jpg', '时富花园 3室2厅 180万', '时富花园  | 3室2厅 | 91.1平米 | 南 | 其他', '低楼层(共18层)塔楼  -  寮步', '180万', '单价19759元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploaddd04e9dd-b53a-4f69-83d4-b3b24307d54a.jpg.296x216.jpg', '此房楼层好采光好 业主一次性付款买的交易简单南北透', '星城翠珑湾三期  | 3室2厅 | 111.13平米 | 南 | 其他', '中楼层(共30层)2016年建塔楼  -  寮步', '256万', '单价23037元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload1e8c49cc-bbcb-4e06-be34-8a9196a253bd.jpg.296x216.jpg', '中惠松湖城二期 小三房 精装交楼', '中惠松湖城二期  | 3室2厅 | 85平米 | 北 | 其他', '中楼层(共25层)2015年建塔楼  -  寮步', '165万', '单价19412元/平米')
('https://image1.ljcdn.com/441900-inspection/1db921b5-8e7c-4e12-bf5b-bcda621738e8.jpg.296x216.jpg', '万科城市高尔夫花园 复式 通风采光好', '万科城市高尔夫花园  | 2室2厅 | 106.37平米 | 西 | 其他', '中楼层(共8层)暂无数据  -  寮步', '180万', '单价16923元/平米')
('https://image1.ljcdn.com/441900-inspection/60af27be-b0b3-4e70-860e-e1f0182bb211.jpg.296x216.jpg', '万科城市高尔夫方正户型  精装修拎包入住', '万科城市高尔夫花园  | 1室1厅 | 64平米 | 南 | 其他', '高楼层(共24层)2008年建塔楼  -  寮步', '118万', '单价18438元/平米')
('https://image1.ljcdn.com/441900-inspection/16c6aa2f-6641-4ac4-8ac0-7ab93edbedce.jpg.296x216.jpg', '万科楼盘   松山湖片区  不容错过', '万科松湖传奇  | 2室2厅 | 65平米 | 南 | 其他', '低楼层(共34层)2015年建塔楼  -  寮步', '140万', '单价21539元/平米')
('https://image1.ljcdn.com/441900-inspection/cd0cbaa1-2185-4aba-9530-03ba0a2f9234.jpg.296x216.jpg', '保利中惠悦城 精装三房 朝南 高楼层 视野开阔', '保利中惠悦城  | 3室2厅 | 89.1平米 | 南 | 其他', '中楼层(共28层)2015年建塔楼  -  寮步', '175万', '单价19641元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload5be91999-8013-462d-a776-a9634abf81aa.jpg.296x216.jpg', '翠珑湾三期14栋毛坯房，楼层适中', '星城翠珑湾三期  | 3室2厅 | 97平米 | 南 | 其他', '低楼层(共29层)2016年建塔楼  -  寮步', '252万', '单价25980元/平米')
('https://image1.ljcdn.com/441900-inspection/b657d8a2-3b10-4afb-a314-888109078772.jpg.296x216.jpg', '翠云轩两房北向，采光通风好，视野无遮挡，宜自居！', '怡丰翠云轩  | 2室2厅 | 79.5平米 | 北 | 其他', '高楼层(共10层)塔楼  -  石井', '150万', '单价18868元/平米')
('https://image1.ljcdn.com/441900-inspection/94045a3f-caff-4233-a638-ec0c3b2ed04f.jpg.296x216.jpg', '时代华庭56平1房1厅东南向，业主诚心出售82万', '时代华庭  | 1室1厅 | 56.25平米 | 东南 | 其他', '高楼层(共16层)2015年建暂无数据  -  寮步', '78万', '单价13867元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload57e3a485-8457-444b-86c3-d77f17e30971.jpg.296x216.jpg', '万科大三房，位置优越，适宜居住', '万科松湖传奇  | 3室2厅 | 97平米 | 南 | 其他', '中楼层(共25层)2015年建塔楼  -  寮步', '190万', '单价19588元/平米')
('https://image1.ljcdn.com/441900-inspection/32e17e16-fb26-4345-882b-4678291ba6dd.jpg.296x216.jpg', '业主急售 景观好 看花园 南北户型', '星城翠珑湾三期  | 3室2厅 | 105.56平米 | 南 北 | 其他', '低楼层(共32层)2016年建塔楼  -  寮步', '258万', '单价24442元/平米')
('https://image1.ljcdn.com/441900-inspection/613cf482-35a2-4cde-abe2-b9618e276fc1.jpg.296x216.jpg', '精装楼层，三房两厅，你想要的都有，业主诚意出售', '星城翠珑湾三期  | 3室2厅 | 119.08平米 | 北 | 其他', '中楼层(共32层)2016年建塔楼  -  寮步', '280万', '单价23514元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadba8543ce-caff-4152-a9e9-aa33501925dc.jpg.296x216.jpg', '松湖雅苑毛坯大三房出售，楼层高视野通透。', '振业松湖雅苑  | 3室2厅 | 150平米 | 南 | 其他', '高楼层(共24层)2014年建塔楼  -  寮步', '270万', '单价18000元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadbf899b00-87bf-4ecb-828d-cef7f87948fb.jpg.296x216.jpg', '中惠松湖城大三房，带全新家私家电出售', '中惠松湖城二期  | 3室2厅 | 110平米 | 南 | 其他', '高楼层(共25层)2015年建塔楼  -  寮步', '205万', '单价18637元/平米')
('https://image1.ljcdn.com/441900-inspection/3383ffb4-5cab-4358-a7ae-e084ee927297.jpg.296x216.jpg', '松山湖北站旁精装大三房诚意出售', '星城翠珑湾三期  | 3室2厅 | 115.8平米 | 北 | 其他', '低楼层(共29层)2016年建塔楼  -  寮步', '301万', '单价25994元/平米')
('https://image1.ljcdn.com/441900-inspection/fe024f93-00a3-4463-af3b-34629eead9fc.jpg.296x216.jpg', '翠珑湾三期毛坯大三房，户型方正，采光好楼层好', '星城翠珑湾三期  | 3室2厅 | 107平米 | 南 | 其他', '中楼层(共32层)2016年建塔楼  -  寮步', '288万', '单价26916元/平米')
('https://image1.ljcdn.com/441900-inspection/89d81b01-6275-4bcf-be65-5cb071bdaf13.jpg.296x216.jpg', '新天地华庭装修保养好三房两卫满五年自己住看房方便', '新天地华庭  | 3室2厅 | 111.86平米 | 南 | 其他', '低楼层(共12层)2010年建塔楼  -  寮步', '163万', '单价14572元/平米')
('https://image1.ljcdn.com/441900-inspection/db1b9cfb-e882-497b-966a-d7a3fcdfff2d.jpg.296x216.jpg', '中惠松湖城二期 大三房 带精装修', '中惠松湖城二期  | 3室2厅 | 94.07平米 | 南 | 其他', '中楼层(共25层)2015年建塔楼  -  寮步', '190万', '单价20198元/平米')
('https://image1.ljcdn.com/441900-inspection/2a19edd0-aeea-474d-a3c9-1099d96acb7d.jpg.296x216.jpg', '本房户型方正  采光好  南北通透', '振业松湖雅苑  | 4室2厅 | 150.6平米 | 南 | 其他', '低楼层(共24层)2014年建塔楼  -  寮步', '315万', '单价20917元/平米')
('https://image1.ljcdn.com/441900-inspection/d131a99d-e1dc-4794-b06d-461f73b67605.jpg.296x216.jpg', '翠珑湾温馨三房 拎包入住 高楼层无遮挡', '星城翠珑湾三期  | 3室2厅 | 97.38平米 | 南 | 其他', '高楼层(共29层)2016年建塔楼  -  寮步', '255万', '单价26187元/平米')
('https://image1.ljcdn.com/441900-inspection/e7f9f22b-9bad-405a-a131-82f1231adf6f.jpg.296x216.jpg', '鼎峰品筑 1室2厅 55万', '鼎峰品筑  | 1室2厅 | 36.49平米 | 东南 | 其他', '中楼层(共16层)暂无数据  -  寮步', '55万', '单价15073元/平米')
('https://image1.ljcdn.com/441900-inspection/c7b41ea1-da16-4777-9f31-bbed35b911c2.jpg.296x216.jpg', '业主诚心出售，全新装修低楼层，业主急售。', '万科松湖传奇  | 2室2厅 | 65平米 | 南 | 其他', '低楼层(共29层)2015年建塔楼  -  寮步', '120万', '单价18462元/平米')
('https://image1.ljcdn.com/441900-inspection/82c80b38-6280-41e3-b495-5b1fa3e82938.jpg.296x216.jpg', '翠珑湾 精装修 带部分家电出售 无遮挡', '星城翠珑湾三期  | 3室2厅 | 100.14平米 | 南 | 其他', '中楼层(共29层)2016年建塔楼  -  寮步', '268万', '单价26763元/平米')
('https://image1.ljcdn.com/441900-inspection/b879ef7d-610a-41bf-a548-f1bc1914c4c7.jpg.296x216.jpg', '时代华庭 寮步镇政府旁 全新毛坯三房 户型方正税费少', '时代华庭  | 3室2厅 | 99.01平米 | 东北 | 其他', '高楼层(共6层)2015年建暂无数据  -  寮步', '148万', '单价14948元/平米')
('https://image1.ljcdn.com/441900-inspection/7c5cd27e-dbe2-464d-a9e2-13a160c56415.jpg.296x216.jpg', '80万买轻轨口复试两房，出门就是体育馆！', '保利中惠悦城  | 2室1厅 | 53.75平米 | 南 | 其他', '低楼层(共9层)2015年建塔楼  -  寮步', '80万', '单价14884元/平米')
('https://image1.ljcdn.com/441900-inspection/d511373a-8a31-49fc-bf95-68036ab950a2.jpg.296x216.jpg', '24小时智能化，全封闭式管理。小区有小孩游乐场', '星城翠珑湾三期  | 3室2厅 | 105.06平米 | 南 | 其他', '高楼层(共32层)2016年建塔楼  -  寮步', '290万', '单价27604元/平米')
('https://image1.ljcdn.com/441900-inspection/47f39240-ba79-4190-8aba-f582426cebd0.jpg.296x216.jpg', '星城翠珑湾三期精装住宅 高层视野好 通风佳', '星城翠珑湾三期  | 3室2厅 | 117平米 | 北 | 其他', '高楼层(共32层)2016年建塔楼  -  寮步', '350万', '单价29915元/平米')
('https://image1.ljcdn.com/441900-inspection/383d4f06-796f-44ca-bcd9-c588f0ddfd27.jpg.296x216.jpg', '四房两卫，南向大复式，采光好无遮挡，适合一家人住！', '怡丰翠云轩  | 4室2厅 | 94平米 | 东南 | 其他', '高楼层(共8层)塔楼  -  石井', '270万', '单价28724元/平米')
('', '丰泰黄旗官邸精装单间诚意出售。', '丰泰黄旗观邸  | 1室1厅 | 41平米 | 东 | 其他', '中楼层(共17层)2015年建塔楼  -  寮步', '70万', '单价17074元/平米')
('https://image1.ljcdn.com/441900-inspection/260b1fd5-52e1-45c3-858a-b6b104b0e6ed.jpg.296x216.jpg', '朝南户型  房型布局合理 没有浪费面积 业主诚意出售', '星城翠珑湾三期  | 3室2厅 | 105平米 | 南 | 其他', '低楼层(共32层)2016年建塔楼  -  寮步', '250万', '单价23810元/平米')
('https://image1.ljcdn.com/441900-inspection/8074c76d-3c3f-4286-baf6-e35ad069616b.jpg.296x216.jpg', '万科地产，业主诚心卖，楼层好，', '万科松湖传奇二期左岸  | 3室2厅 | 73平米 | 西北 | 其他', '高楼层(共11层)2016年建塔楼  -  寮步', '135万', '单价18494元/平米')
('https://image1.ljcdn.com/441900-inspection/0cc8e0ea-e27e-422a-80da-956516adf612.jpg.296x216.jpg', '证过2年，房子使用面积大，采光通风好。', '怡丰翠云轩  | 3室2厅 | 89.84平米 | 北 | 毛坯', '高楼层(共11层)塔楼  -  石井', '165万', '单价18366元/平米')
('', '中惠松湖城一期 精装大3房 家私家电全送  带车位卖', '中惠松湖城一期  | 3室2厅 | 94.12平米 | 西南 | 其他', '高楼层(共11层)2014年建塔楼  -  寮步', '239万', '单价25394元/平米')
('https://image1.ljcdn.com/441900-inspection/487407dc-470a-4222-af70-f4336b7d6224.jpg.296x216.jpg', '低楼层，业主诚心出售，价格可谈', '万科松湖传奇  | 3室2厅 | 78平米 | 北 | 其他', '低楼层(共34层)2015年建塔楼  -  寮步', '146万', '单价18718元/平米')
('https://image1.ljcdn.com/441900-inspection/be2c95cb-c32f-4eca-9349-5c0a81497fa4.jpg.296x216.jpg', '万科精装修，满两年，业主诚心出售。', '万科松湖传奇  | 3室2厅 | 78平米 | 北 | 其他', '低楼层(共34层)2015年建塔楼  -  寮步', '155万', '单价19872元/平米')
('https://image1.ljcdn.com/441900-inspection/9afdab1b-3ad7-4312-97b8-05ab622b3f87.jpg.296x216.jpg', '高楼层 户型方正 景观好 看花园', '星城翠珑湾三期  | 3室2厅 | 117.47平米 | 南 北 | 其他', '高楼层(共32层)2016年建塔楼  -  寮步', '280万', '单价23836元/平米')
('', '满五不唯一，翠云轩实用三房，带阁楼', '怡丰翠云轩  | 3室2厅 | 107.99平米 | 北 | 其他', '高楼层(共10层)塔楼  -  石井', '250万', '单价23151元/平米')
('https://image1.ljcdn.com/441900-inspection/4f525f09-4575-4553-a629-bc50eb58916b.jpg.296x216.jpg', '万科松湖传奇左岸 带精装4房 安静看湖景 看房方便', '万科松湖传奇二期左岸  | 4室2厅 | 106平米 | 南 | 其他', '低楼层(共11层)2016年建塔楼  -  寮步', '210万', '单价19812元/平米')
('https://image1.ljcdn.com/441900-inspection/feb4668c-c608-4ce3-a0f6-81f6786d5880.jpg.296x216.jpg', '万科松湖传奇左岸  精装3房 看一线湖景 业主诚心出售', '万科松湖传奇二期左岸  | 3室2厅 | 72.03平米 | 北 | 其他', '中楼层(共11层)2016年建塔楼  -  寮步', '135万', '单价18743元/平米')
('https://image1.ljcdn.com/441900-inspection/8fd74105-1388-4bcd-b488-715681485ae6.jpg.296x216.jpg', '阔绰三房，户型通透，户型方正，舒适度高！', '星城翠珑湾三期  | 3室2厅 | 111.13平米 | 南 | 其他', '低楼层(共30层)2016年建塔楼  -  寮步', '261万', '单价23487元/平米')
('', '振业松湖雅苑 交通便利 适合居家 生活氛围好', '振业松湖雅苑  | 4室2厅 | 136.51平米 | 南 | 其他', '高楼层(共24层)2014年建塔楼  -  寮步', '300万', '单价21977元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadbf0908a7-564d-4996-a139-0cd110784eda.jpg.296x216.jpg', '玉兰花园 4室2厅 260万', '玉兰花园  | 4室2厅 | 170.44平米 | 南 | 毛坯', '中楼层(共28层)塔楼  -  寮步', '260万', '单价15255元/平米')
('https://image1.ljcdn.com/441900-inspection/88950dd2-55a4-4b17-8b2d-ae1897067399.jpg.296x216.jpg', '花样年君山精装四房业主诚心出售', '花样年君山  | 4室2厅 | 152平米 | 南 | 其他', '低楼层(共18层)塔楼  -  寮步', '265万', '单价17435元/平米')
('https://image1.ljcdn.com/441900-inspection/8d3b0490-1840-4548-8bd2-dca0f0c0df42.jpg.296x216.jpg', '中惠大三房，华为工作的可以有更多优惠.满2年', '中惠松湖城一期  | 3室2厅 | 84.71平米 | 南 | 其他', '中楼层(共26层)2014年建塔楼  -  寮步', '160万', '单价18888元/平米')
('', '翠珑湾三期 业主自己精装 南北通透', '星城翠珑湾三期  | 3室2厅 | 114.56平米 | 北 | 其他', '低楼层(共32层)2016年建塔楼  -  寮步', '288万', '单价25140元/平米')
('https://image1.ljcdn.com/441900-inspection/cb9247e0-324e-4992-858d-df7ad6147d3e.jpg.296x216.jpg', '万科统一精装修，中高楼层无遮挡，', '万科松湖传奇  | 3室2厅 | 97平米 | 南 东 | 其他', '低楼层(共21层)2015年建塔楼  -  寮步', '190万', '单价19588元/平米')
('https://image1.ljcdn.com/441900-inspection/37b96567-33aa-44d1-afba-c824b751d7e1.jpg.296x216.jpg', '保利中惠悦城 精装修两房环境优美', '保利中惠悦城  | 2室2厅 | 89平米 | 东南 | 其他', '低楼层(共27层)2015年建塔楼  -  寮步', '170万', '单价19102元/平米')
('', '户型方正实用，布局合理，采光通风好！', '星城翠珑湾三期  | 3室2厅 | 111.13平米 | 南 | 其他', '低楼层(共30层)2016年建塔楼  -  寮步', '235万', '单价21147元/平米')
('https://image1.ljcdn.com/441900-inspection/c1bc4833-d8aa-4610-8abb-07a40b138298.jpg.296x216.jpg', '漂亮装修 高楼层  业主诚意出售', '丰泰黄旗观邸  | 1室1厅 | 41.15平米 | 南 | 其他', '中楼层(共17层)2015年建塔楼  -  寮步', '65.7万', '单价15966元/平米')
('https://image1.ljcdn.com/441900-inspection/c34245cf-fe40-4674-83ab-48c72906933d.jpg.296x216.jpg', '中惠松湖城2期 朝南 有钥匙看房', '中惠松湖城二期  | 3室2厅 | 102平米 | 南 | 其他', '低楼层(共25层)2015年建塔楼  -  寮步', '185万', '单价18138元/平米')
('https://image1.ljcdn.com/441900-inspection/74fe9d58-d649-4f2a-8e0d-c20fe9514924.jpg.296x216.jpg', '这是当初开发商的样板房.  里面有家具家电', '万科松湖传奇二期左岸  | 3室2厅 | 71.86平米 | 南 西南 | 其他', '低楼层(共11层)2016年建塔楼  -  寮步', '140万', '单价19483元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload024e3885-e6be-4942-8a6a-887753a42f7a.jpg.296x216.jpg', '万科精装2房，环境好，小区设施好，宜居', '万科松湖传奇  | 2室2厅 | 65平米 | 南 | 其他', '低楼层(共21层)2015年建塔楼  -  寮步', '130万', '单价20000元/平米')
('', '毛坯房，高层复式，户型方正，南北通透', '万润广场  | 4室2厅 | 118平米 | 南 | 其他', '中楼层(共22层)2015年建塔楼  -  寮步', '212万', '单价17967元/平米')
('https://image1.ljcdn.com/441900-inspection/4d961787-9a92-47dd-8bca-03021872cb53.jpg.296x216.jpg', '保利中惠悦城精装修三房环境优美交通便利', '保利中惠悦城  | 2室2厅 | 89平米 | 南 | 其他', '高楼层(共28层)2015年建塔楼  -  寮步', '175万', '单价19663元/平米')
('https://image1.ljcdn.com/441900-inspection/c976b702-be28-4a74-880a-094f84b1f356.jpg.296x216.jpg', '星城翠珑湾三期 高楼层 精装修 近松山湖北站', '星城翠珑湾三期  | 3室2厅 | 97平米 | 南 | 其他', '中楼层(共29层)2016年建塔楼  -  寮步', '260万', '单价26805元/平米')
('https://image1.ljcdn.com/441900-inspection/78bad384-85b2-435c-89ed-44c0167282a3.jpg.296x216.jpg', '万科精装三房，带家私家电，诚意卖', '万科松湖传奇  | 3室2厅 | 96.53平米 | 南 | 其他', '低楼层(共21层)2015年建塔楼  -  寮步', '190万', '单价19684元/平米')
('', '万润广场 中高楼层大三房 免增值税', '万润广场  | 3室2厅 | 108平米 | 南 | 其他', '低楼层(共25层)2015年建塔楼  -  寮步', '195万', '单价18056元/平米')
('https://image1.ljcdn.com/441900-inspection/7d4a2173-212d-4d2f-a91b-83e9c40d7c10.jpg.296x216.jpg', '星城翠珑湾三期 高楼层 视野开阔', '星城翠珑湾三期  | 3室2厅 | 107平米 | 南 | 其他', '中楼层(共32层)2016年建塔楼  -  寮步', '299万', '单价27944元/平米')
('https://image1.ljcdn.com/441900-inspection/b96c765c-780f-464c-a1eb-c840b3309519.jpg.296x216.jpg', '万科精装修 中楼层 小区环境优美', '万科松湖传奇  | 3室2厅 | 78平米 | 北 | 其他', '中楼层(共21层)2015年建塔楼  -  寮步', '155万', '单价19872元/平米')
('https://image1.ljcdn.com/441900-inspection/28628b62-67b1-47db-8f10-9974dd521a61.jpg.296x216.jpg', '保利三房诚意出售户型方正，价格合理', '保利中惠悦城  | 3室2厅 | 106.37平米 | 南 北 | 其他', '高楼层(共24层)2016年建塔楼  -  寮步', '225万', '单价21153元/平米')
('', '万科松湖传奇开发商当初是统一交房.', '万科松湖传奇  | 2室2厅 | 65平米 | 南 | 其他', '中楼层(共21层)2015年建塔楼  -  寮步', '128万', '单价19693元/平米')
('https://image1.ljcdn.com/441900-inspection/19ef1fc5-c08d-46ce-b15f-1cd78110bd23.jpg.296x216.jpg', '此房位于寮步镇和松山湖交界处，距创意生活城', '振业松湖雅苑  | 4室2厅 | 126平米 | 东南 | 其他', '高楼层(共24层)2014年建塔楼  -  寮步', '249万', '单价19762元/平米')
('https://image1.ljcdn.com/441900-inspection/6f84c3fa-4f41-4f94-a7aa-8daa2874536a.jpg.296x216.jpg', '中惠松湖城精装3房 中间楼层 业主诚意出售', '中惠松湖城二期  | 3室2厅 | 97.14平米 | 南 | 其他', '中楼层(共26层)2015年建塔楼  -  寮步', '200万', '单价20589元/平米')
('https://image1.ljcdn.com/441900-inspection/8b10f86e-c8f6-49d9-ab86-d8eb1f4091dd.jpg.296x216.jpg', '高楼层，欧式装修，看虎英公园水库，带两个车位', '鼎峰尚境一期  | 4室2厅 | 178平米 | 南 | 其他', '高楼层(共31层)塔楼  -  寮步', '650万', '单价36517元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload9aed9daf-6e07-4166-be6a-364e7f8377ea.jpg.296x216.jpg', '振业雅苑满二别墅  带赠送花园', '振业松湖雅苑   | 联排别墅 | 3室5厅 | 197平米 | 南 北 | 其他', '3层2015年建暂无数据  -  寮步', '700万', '单价35533元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadbb99b6f8-a8d8-4c18-abf7-54261a0ff1a5.jpg.296x216.jpg', '地铁口物业，精装修大3房，即买即入住。', '星城翠珑湾三期  | 3室2厅 | 117平米 | 南 北 | 其他', '中楼层(共32层)2016年建塔楼  -  寮步', '320万', '单价27351元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload2dac9c14-1cd6-4c7f-a1ca-5bde5d29a6b3.jpg.296x216.jpg', '振业松湖雅苑别墅 满二 免增值税', '振业松湖雅苑   | 联排别墅 | 3室5厅 | 195.44平米 | 南 北 | 其他', '3层2015年建暂无数据  -  寮步', '580万', '单价29677元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload0241a4a0-9fba-4cc7-b3c3-8240defc6736.jpg.296x216.jpg', '保利精装修三房，家私家电业主已配', '保利中惠悦城  | 3室2厅 | 95平米 | 南 北 | 其他', '高楼层(共28层)2015年建塔楼  -  寮步', '195万', '单价20527元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload4fa797fb-f6c3-443b-95f3-0659c4dbd2ee.jpg.296x216.jpg', '业主诚心出售玉兰花园4房，产权清晰', '玉兰花园  | 4室2厅 | 170.51平米 | 南 | 其他', '高楼层(共28层)塔楼  -  寮步', '420万', '单价24632元/平米')
('https://image1.ljcdn.com/441900-inspection/0b722714-41e3-45d1-a0a5-5f42fa9cb541.jpg.296x216.jpg', '万科松湖传奇 精装三房 安静看花园  看房提前电话', '万科松湖传奇  | 3室2厅 | 78.29平米 | 北 | 其他', '中楼层(共21层)2015年建塔楼  -  寮步', '160万', '单价20437元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploaddbc5be9a-824f-4eb0-b2b3-b9f6930921f1.jpg.296x216.jpg', '高档别墅，体验不一样的生活，视野开阔，放松生活', '振业松湖雅苑   | 联排别墅 | 3室2厅 | 195.45平米 | 南 北 | 毛坯', '3层2015年建暂无数据  -  寮步', '680万', '单价34792元/平米')
('https://image1.ljcdn.com/441900-inspection/cc578439-db10-4fcc-87e9-14eeba97f52a.jpg.296x216.jpg', '万科松湖传奇 精装实用三房  满两年 业主诚心出售', '万科松湖传奇  | 3室2厅 | 78.16平米 | 北 | 其他', '中楼层(共25层)2015年建塔楼  -  寮步', '158万', '单价20215元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload2cd0fd83-49fd-436e-abe6-5add1eb2ef08.jpg.296x216.jpg', '松山湖CBD松湖智谷旁高档小区振业松湖雅苑联排别墅', '振业松湖雅苑   | 双拼别墅 | 5室3厅 | 248平米 | 东南 | 毛坯', '3层2015年建暂无数据  -  寮步', '868万', '单价35000元/平米')
('https://image1.ljcdn.com/441900-inspection/73d81777-10a5-4928-8a4a-9259bfaa7976.jpg.296x216.jpg', '三房一卫，装修保养好，适合一家人居住~', '鼎峰尚境二期  | 3室2厅 | 90平米 | 西北 | 其他', '低楼层(共21层)塔楼  -  石井', '185万', '单价20556元/平米')
('https://image1.ljcdn.com/441900-inspection/69bd44e4-a11f-4085-8692-318bc467a749.jpg.296x216.jpg', '星城翠珑湾三期大四房 毛坯出售', '星城翠珑湾三期  | 4室2厅 | 168平米 | 北 | 其他', '中楼层(共31层)2016年建塔楼  -  寮步', '420万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/ce045e84-4337-4383-96d7-4f5ef8c496fd.jpg.296x216.jpg', '旗山绿洲，装修保养好，业主急售', '丰泰旗山绿洲  | 2室2厅 | 77.33平米 | 西北 | 其他', '中楼层(共23层)2012年建塔楼  -  寮步', '135万', '单价17458元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload1346d6c7-f2e8-4e41-9ff5-36b916144422.jpg.296x216.jpg', '视野开阔，环境好，户型方正，宜居', '振业松湖雅苑  | 3室2厅 | 122.3平米 | 南 | 其他', '中楼层(共11层)2014年建塔楼  -  寮步', '220万', '单价17989元/平米')
('https://image1.ljcdn.com/441900-inspection/be8b1bcb-8caf-4048-8cfd-d3da1d1d6008.jpg.296x216.jpg', '万科高尔夫花园，三居室，大社区', '万科城市高尔夫花园  | 3室2厅 | 149平米 | 南 北 | 其他', '低楼层(共18层)2008年建塔楼  -  寮步', '228万', '单价15303元/平米')
