('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload92662a90-6e06-4386-a6a6-69d133013027.jpg.296x216.jpg', '长白岛 万科城二期 南向 户型规整 两室 中间好楼层', '万科城二期  | 2室2厅 | 102.04平米 | 南 | 精装', '低楼层(共33层)2006年建板塔结合  -  和平区', '175万', '单价17151元/平米')
('https://image1.ljcdn.com/210100-inspection/4f4924da-13eb-4d32-93dd-77948633b47b.JPG.296x216.jpg', '五里河城 市图书馆 交通便利 办公装修 南北通透', '五里河城  | 3室2厅 | 141平米 | 南 北 | 简装', '低楼层(共31层)2006年建板楼  -  和平区', '115万', '单价8157元/平米')
('', '万锦和平里 2室1厅 107万', '万锦和平里  | 2室1厅 | 65平米 | 西 | 其他', '低楼层(共32层)2012年建板楼  -  和平区', '107万', '单价16462元/平米')
('https://image1.ljcdn.com/210100-inspection/d57af046-b771-48a0-98e5-2a9c7a098a0a.JPG.296x216.jpg', '新世界花园朗盈居 3室2厅 280万', '新世界花园朗盈居  | 3室2厅 | 178.78平米 | 南 北 | 精装', '高楼层(共6层)2004年建板楼  -  和平区', '280万', '单价15662元/平米')
('https://image1.ljcdn.com/210100-inspection/e641b6d5-39b5-4d65-af25-f82ae8b6d127.jpg.296x216.jpg', '长白岛 富海澜湾半岛 精装修 南北通透', '富海澜湾半岛  | 2室2厅 | 83平米 | 南 西 北 | 精装', '高楼层(共34层)2014年建板塔结合  -  和平区', '118万', '单价14217元/平米')
('https://image1.ljcdn.com/210100-inspection/93213f7b-58d4-4a55-828e-4a6c3b0142c9.JPG.296x216.jpg', '文安路社区 2室1厅 46.8万', '文安路社区  | 2室1厅 | 63平米 | 南 北 | 其他', '中楼层(共7层)2000年建板楼  -  和平区', '46.8万', '单价7429元/平米')
('https://image1.ljcdn.com/210100-inspection/eb23b7fb-d22e-4508-8af8-bc30854a9149.JPG.296x216.jpg', '雅宾利花园 诚心卖 园区环境新 小区物业好', '雅宾利花园  | 1室1厅 | 53.42平米 | 西南 | 其他', '低楼层(共34层)2010年建塔楼  -  和平区', '70万', '单价13104元/平米')
('', '万科城二期南向跃层  采光好  清水', '万科城二期  | 3室2厅 | 148.74平米 | 南 | 其他', '中楼层(共34层)2006年建板塔结合  -  和平区', '210万', '单价14119元/平米')
('https://image1.ljcdn.com/210100-inspection/cc851c0f-bb60-4fb5-9d66-9d9a11d8520e.JPG.296x216.jpg', '诚大数码广场，敞亮两室，办公，三好街，', '诚大数码广场  | 2室1厅 | 77.68平米 | 东南 | 简装', '中楼层(共28层)2008年建板楼  -  和平区', '55万', '单价7081元/平米')
('https://image1.ljcdn.com/210100-inspection/8ce080c5-7774-43bd-8f24-1536b7c4dbb0.jpg.296x216.jpg', '长白岛 银河湾家园 两室两厅 南北通透 精装修', '银河湾家园  | 2室2厅 | 96.88平米 | 南 北 | 简装', '中楼层(共11层)2008年建板楼  -  和平区', '127万', '单价13110元/平米')
('https://image1.ljcdn.com/210100-inspection/df56eab5-4b48-422d-b2e2-36434911d31c.jpg.296x216.jpg', '长白岛 半岛公馆  南北通透 精装修', '半岛公馆  | 5室2厅 | 230.99平米 | 南 北 | 精装', '高楼层(共18层)2015年建板楼  -  和平区', '370万', '单价16019元/平米')
('https://image1.ljcdn.com/210100-inspection/52898faa-6a11-47ac-a221-0af5def32ba9.jpg.296x216.jpg', '滨河湾一期 3室2厅 77万', '滨河湾一期  | 3室2厅 | 85.4平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  和平区', '77万', '单价9017元/平米')
('', '长白岛 精装修 四居室 楼层高采光好 装修保持的好', '远洋和平府  | 4室2厅 | 152平米 | 南 | 精装', '高楼层(共31层)2011年建板楼  -  和平区', '380万', '单价25000元/平米')
('https://image1.ljcdn.com/210100-inspection/71611daa-3199-4316-928f-e2365cf898ab.jpg.296x216.jpg', '滨河湾一期 2室1厅 110万', '滨河湾一期  | 2室1厅 | 92.34平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  和平区', '110万', '单价11913元/平米')
('', '长白岛 精装修小户型 出租自住均可', '长岛壹号  | 1室1厅 | 43平米 | 西北 | 其他', '中楼层(共48层)2010年建塔楼  -  和平区', '80万', '单价18605元/平米')
('https://image1.ljcdn.com/210100-inspection/2da9f244-a67f-4903-bfdb-d5ad228db67b.jpg.296x216.jpg', '长白岛 万科城 南向两居室 精装修 业主诚心出售', '万科城三期  | 2室2厅 | 103平米 | 西南 | 其他', '低楼层(共26层)2006年建板塔结合  -  和平区', '175万', '单价16991元/平米')
('https://image1.ljcdn.com/210100-inspection/8e911653-3f21-4b02-9638-bc8ecef433f8.JPG.296x216.jpg', '世茂新五里河 南北两室 精装 采光好', '世茂新五里河  | 2室1厅 | 158平米 | 南 北 | 精装', '低楼层(共52层)2016年建板楼  -  和平区', '230万', '单价14557元/平米')
('https://image1.ljcdn.com/210100-inspection/45578733-b767-4316-8fc9-0e1a30253eaf.jpg.296x216.jpg', '长白 新加坡城 中小连上 全天采光  南北通透 无大税', '新加坡城  | 3室2厅 | 109.27平米 | 南 北 | 其他', '低楼层(共24层)2012年建板楼  -  和平区', '150万', '单价13728元/平米')
('https://image1.ljcdn.com/210100-inspection/d46813d3-6644-44ff-b13b-06c3bf6bbec5.jpg.296x216.jpg', '新加坡城南向复试一居室，户型好，可以南入户。', '新加坡城  | 1室1厅 | 61平米 | 南 | 其他', '低楼层(共24层)2012年建板楼  -  和平区', '95万', '单价15574元/平米')
('https://image1.ljcdn.com/210100-inspection/b603998b-51d1-4ec5-a029-822684c7008d.jpg.296x216.jpg', '皇朝万鑫公寓 1室0厅 70万', '皇朝万鑫公寓  | 1室0厅 | 50平米 | 北 | 精装', '低楼层(共37层)2008年建板楼  -  和平区', '70万', '单价14000元/平米')
('https://image1.ljcdn.com/210100-inspection/6b2238c2-e751-4d65-b2c4-ed78d92766f3.jpg.296x216.jpg', '长白 天玺人家 两室一厅 精装修 中间楼层', '天玺人家  | 2室1厅 | 87.78平米 | 东南 北 | 精装', '中楼层(共6层)2001年建板楼  -  和平区', '110万', '单价12532元/平米')
('https://image1.ljcdn.com/210100-inspection/e0d71614-a4d2-4b4a-8c18-18517d3a9045.jpg.296x216.jpg', '长白岛 富还澜湾半岛 两室精装 拎包入住 保持较好', '富海澜湾半岛  | 2室2厅 | 83平米 | 西南 | 精装', '高楼层(共33层)2014年建板塔结合  -  和平区', '110万', '单价13254元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload81a004a7-30f0-4853-8840-9cffa898b3ac.jpg.296x216.jpg', '长白岛 精装三居室 南北通透 一线河景', '万科城二期  | 3室2厅 | 190.91平米 | 南 北 | 精装', '高楼层(共26层)2006年建板塔结合  -  和平区', '380万', '单价19905元/平米')
('https://image1.ljcdn.com/210100-inspection/337bbaf5-2a17-4dc4-91f4-a1cf20ecb414.jpg.296x216.jpg', '天河家园二期 2室2厅 116万', '天河家园二期  | 2室2厅 | 80.16平米 | 南 北 | 其他', '中楼层(共6层)2004年建板楼  -  和平区', '116万', '单价14472元/平米')
('', '九洲御府精装南向两室 满两年 不挡光', '九洲御府  | 1室2厅 | 52.8平米 | 南 | 精装', '高楼层(共26层)2014年建板楼  -  和平区', '69万', '单价13069元/平米')
('https://image1.ljcdn.com/210100-inspection/9c202f5d-35a5-4954-83d9-b3b878923ab0.jpg.296x216.jpg', '长白滨河湾 简单装修 南北两室 采光充足 带阁楼', '滨河湾一期  | 2室1厅 | 85.88平米 | 南 北 | 简装', '高楼层(共6层)2008年建板楼  -  和平区', '83万', '单价9665元/平米')
('', '九洲御府 3室2厅 190万', '九洲御府  | 3室2厅 | 131.45平米 | 南 北 | 其他', '中楼层(共9层)2016年建板楼  -  和平区', '190万', '单价14455元/平米')
('https://image1.ljcdn.com/210100-inspection/5dd56c85-e1a8-49a5-a044-4ea395cca7b6.JPG.296x216.jpg', '和平长白南 九洲湾景汇   南北北厅  河景小高层', '九洲湾景汇  | 3室2厅 | 139平米 | 南 北 | 其他', '中楼层(共18层)2014年建板楼  -  和平区', '135万', '单价9713元/平米')
('https://image1.ljcdn.com/210100-inspection/5fd98c42-4dfc-4816-b53f-cb871e589e6f.jpg.296x216.jpg', '长白 远洋和平府 满五年 精装修  采光通风好', '远洋和平府  | 2室1厅 | 70平米 | 东北 | 其他', '高楼层(共33层)2011年建板楼  -  和平区', '132万', '单价18858元/平米')
('https://image1.ljcdn.com/210100-inspection/580e4a64-3282-4e77-afca-3c37b10bcaab.jpg.296x216.jpg', '翰逸华园 2室1厅 112万', '翰逸华园  | 2室1厅 | 75.09平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  和平区', '112万', '单价14916元/平米')
('https://image1.ljcdn.com/210100-inspection/300bfeb7-7027-4d00-bca2-16bdb2985e4d.jpg.296x216.jpg', '长白岛 万科鹿特丹 精装小户型  南北通透 拎包入住', '万科鹿特丹  | 1室1厅 | 49.5平米 | 南 北 | 其他', '高楼层(共33层)2016年建板楼  -  和平区', '96万', '单价19394元/平米')
('https://image1.ljcdn.com/210100-inspection/8c35da8c-f201-438e-b929-170e94e059e7.JPG.296x216.jpg', '华强广场 1室0厅 64万', '华强广场  | 1室0厅 | 70平米 | 南 | 其他', '低楼层(共29层)2011年建板楼  -  和平区', '64万', '单价9143元/平米')
('https://image1.ljcdn.com/210100-inspection/54cd1c5a-3802-48c5-bf12-ddb893ea60e7.JPG.296x216.jpg', '雅宾利花园一期 房主诚意卖 楼层好 采光好', '雅宾利花园  | 2室1厅 | 80.08平米 | 西北 | 精装', '低楼层(共34层)2010年建板楼  -  和平区', '90万', '单价11239元/平米')
('https://image1.ljcdn.com/210100-inspection/bcd4f68b-85c2-4dac-a2a2-6503631ce344.JPG.296x216.jpg', '尚景新世界 一线河景房  中间楼层  南北通透', '尚景新世界  | 3室2厅 | 185平米 | 南 北 | 毛坯', '中楼层(共33层)板楼  -  和平区', '530万', '单价28649元/平米')
('https://image1.ljcdn.com/210100-inspection/3c35b44a-e6f5-465b-b848-622aff23a829.jpg.296x216.jpg', '长白富海澜湾半岛 简装两室 房主诚心卖 看房方便', '富海澜湾半岛  | 2室1厅 | 69.98平米 | 南 | 其他', '低楼层(共34层)塔楼  -  和平区', '93万', '单价13290元/平米')
('', '九洲御府 3室2厅 235万', '九洲御府  | 3室2厅 | 130.7平米 | 南 北 | 其他', '中楼层(共6层)2014年建板楼  -  和平区', '235万', '单价17981元/平米')
('https://image1.ljcdn.com/210100-inspection/86ecedbc-6061-453b-b530-2d148ba06e72.jpg.296x216.jpg', '世茂五里河 市图书馆 精装修3室 好位置', '世茂新五里河  | 3室2厅 | 165平米 | 南 北 | 精装', '中楼层(共58层)2016年建板楼  -  和平区', '250万', '单价15152元/平米')
('', '长白岛 滨河湾一期 精装两室 采光充足 楼层好', '滨河湾一期  | 2室1厅 | 68.41平米 | 南 | 其他', '中楼层(共6层)2008年建板楼  -  和平区', '75万', '单价10964元/平米')
('https://image1.ljcdn.com/210100-inspection/5e2a20d3-b8b0-4d4b-8af2-8cc7b78ad031.jpg.296x216.jpg', '长白岛 格林生活坊二期 三室一厅一厨一卫 精装修', '格林生活坊二期  | 3室1厅 | 79平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  和平区', '185万', '单价23418元/平米')
('https://image1.ljcdn.com/210100-inspection/de9c109f-a3bc-4374-9c56-461af0c2e7c3.jpg.296x216.jpg', '长白 吉顺家园 大两室 南北通透', '吉顺家园  | 2室1厅 | 102平米 | 南 北 | 精装', '中楼层(共6层)2001年建板楼  -  和平区', '120万', '单价11765元/平米')
('https://image1.ljcdn.com/210100-inspection/1d40b9e5-fa0b-4a81-86e9-236f936fec12.jpg.296x216.jpg', '格林玫瑰湾 2室1厅 165万', '格林玫瑰湾  | 2室1厅 | 89.2平米 | 南 北 | 其他', '低楼层(共34层)2018年建板楼  -  和平区', '165万', '单价18498元/平米')
('https://image1.ljcdn.com/210100-inspection/2b25ade1-f6d9-4137-bfcc-df9850e0b003.JPG.296x216.jpg', '艾特商务花园 1室1厅 25.5万', '艾特商务花园  | 1室1厅 | 45.38平米 | 北 | 其他', '低楼层(共19层)暂无数据  -  和平区', '25.5万', '单价5620元/平米')
('', '翰逸华园 精装南北2室 楼层好 视野好 南卧', '翰逸华园  | 2室1厅 | 89平米 | 东 南 北 | 精装', '高楼层(共11层)2008年建板楼  -  和平区', '135万', '单价15169元/平米')
('https://image1.ljcdn.com/210100-inspection/5305bdf3-67bd-4f30-89cb-bd9f11eb99b5.jpg.296x216.jpg', '中海和平之门二期 精装大三室 南北通透采光好', '中海和平之门  | 3室2厅 | 113平米 | 南 北 | 精装', '高楼层(共34层)2016年建板楼  -  和平区', '165万', '单价14602元/平米')
('https://image1.ljcdn.com/210100-inspection/d0ec7f74-dcb9-4ef9-b206-b58258e81dd1.jpg.296x216.jpg', '长白新加坡装修两室 户型方正 适合老人居住', '新加坡城  | 2室1厅 | 84.69平米 | 南 北 | 其他', '低楼层(共33层)2012年建板楼  -  和平区', '120万', '单价14170元/平米')
('', '远洋和平府 3室1厅 256万', '远洋和平府  | 3室1厅 | 130.82平米 | 南 北 | 其他', '低楼层(共31层)2011年建板楼  -  和平区', '256万', '单价19569元/平米')
('https://image1.ljcdn.com/210100-inspection/d8352e9c-4196-4c11-a871-f918e8ede565.jpg.296x216.jpg', '五里河商圈 科普公园 南北三室 世茂新五里河', '世茂新五里河  | 3室2厅 | 166平米 | 南 北 | 精装', '低楼层(共58层)2016年建板楼  -  和平区', '220万', '单价13254元/平米')
('https://image1.ljcdn.com/210100-inspection/a40c9442-0c77-4bfc-8d5e-79b720abfca4.jpg.296x216.jpg', '长白岛地区  新加坡城 三室南北通透 万科物业', '新加坡城  | 3室2厅 | 108平米 | 南 西 北 | 其他', '中楼层(共24层)2012年建板楼  -  和平区', '145万', '单价13426元/平米')
('https://image1.ljcdn.com/210100-inspection/9d7af4df-997e-4f56-a2c7-45a0e6a35e72.jpg.296x216.jpg', '长白岛 中海国际社区一期 南向两居室', '中海国际社区一期  | 2室1厅 | 89.17平米 | 南 | 精装', '低楼层(共33层)2009年建板楼  -  和平区', '150万', '单价16822元/平米')
('https://image1.ljcdn.com/210100-inspection/c4006b36-17b2-40f0-9f03-757ebce4387c.jpg.296x216.jpg', '长白吉顺家园 三室 交通便利 公摊小南北通透 配套齐全', '吉顺家园  | 3室2厅 | 124.14平米 | 南 北 | 其他', '中楼层(共6层)2001年建板楼  -  和平区', '148万', '单价11923元/平米')
('https://image1.ljcdn.com/210100-inspection/3145fd66-5268-4696-b306-fc3fd20d881c.jpg.296x216.jpg', '长白 远洋和平府 精装修 满五年 交通便利', '远洋和平府  | 3室2厅 | 94.28平米 | 西南 | 其他', '低楼层(共33层)2011年建板楼  -  和平区', '155万', '单价16441元/平米')
('', '华强广场 2室1厅 86万', '华强广场  | 2室1厅 | 99平米 | 西南 | 简装', '中楼层(共29层)2011年建板楼  -  和平区', '86万', '单价8687元/平米')
('https://image1.ljcdn.com/210100-inspection/f3bafa70-905d-4ff7-bf63-3a6ca75e6772.JPG.296x216.jpg', '和平三好街 御景新世界 河景 精装修 南北通透 不挡光', '御景新世界  | 2室2厅 | 129.81平米 | 南 北 | 精装', '高楼层(共33层)2014年建板楼  -  和平区', '268万', '单价20646元/平米')
('https://image1.ljcdn.com/210100-inspection/b1c3bf14-683d-4ba1-ad5f-b95feb5b099b.jpg.296x216.jpg', '新加坡城 2室1厅 120万', '新加坡城  | 2室1厅 | 84.69平米 | 西南 | 其他', '低楼层(共33层)2012年建板楼  -  和平区', '120万', '单价14170元/平米')
('', '和平区长白岛  圣水苑  南北通透  两居室', '圣水苑  | 2室2厅 | 126平米 | 南 北 | 其他', '低楼层(共30层)2006年建板楼  -  和平区', '205万', '单价16270元/平米')
('https://image1.ljcdn.com/210100-inspection/1f4cf429-d196-4f51-8817-9ae9f5e252ba.jpg.296x216.jpg', '新世界湾景华庭 南北通透 采光充足 精装修 户型好', '新世界花园湾景华庭  | 3室1厅 | 104.39平米 | 南 北 | 精装', '低楼层(共24层)2007年建板楼  -  和平区', '166万', '单价15902元/平米')
('', '华润幸福里 2室2厅 210万', '华润幸福里  | 2室2厅 | 96平米 | 南 北 | 其他', '低楼层(共24层)板楼  -  和平区', '210万', '单价21875元/平米')
('https://image1.ljcdn.com/210100-inspection/1fe3c3c0-713f-4d29-a5e9-40ea1d4d6c4d.JPG.296x216.jpg', '满五年，去年新装修，出行方便。', '东大社区  | 3室1厅 | 78.38平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  和平区', '102万', '单价13014元/平米')
('https://image1.ljcdn.com/210100-inspection/d3e8a60c-e2eb-4388-a0a8-b8467e625536.jpg.296x216.jpg', '长白岛中海国际社区 南北通透 南向明厅  视野好采光好', '中海国际社区三期明珠  | 3室2厅 | 137平米 | 南 北 | 毛坯', '低楼层(共33层)2012年建板楼  -  和平区', '260万', '单价18979元/平米')
('', '长白岛 中海和平之门 南北标准户 精装修', '中海和平之门  | 2室2厅 | 84.91平米 | 南 北 | 精装', '高楼层(共34层)2016年建板楼  -  和平区', '121万', '单价14251元/平米')
('', '中间楼层 一线河景 精装修 户型方正 采光充足', '御景新世界  | 4室2厅 | 242平米 | 南 北 | 精装', '高楼层(共31层)2014年建板楼  -  和平区', '750万', '单价30992元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload0bd5c719-9af2-4237-9687-20f8044a4425.jpg.296x216.jpg', '长白岛华润发幸福里，一室一厅小户型', '华润幸福里四期  | 1室1厅 | 55平米 | 西北 | 精装', '高楼层(共31层)板楼  -  和平区', '140万', '单价25455元/平米')
('', '外滩叁号 2室1厅 127.5万', '外滩叁号  | 2室1厅 | 74.97平米 | 南 | 其他', '低楼层(共30层)板楼  -  和平区', '127.5万', '单价17007元/平米')
('https://image1.ljcdn.com/210100-inspection/a36dfa98-33bc-466d-8482-9c4079963939.jpg.296x216.jpg', '此房源南北通透 性价1比高房主急售 价格可议采光好', '新世界花园澔景华庭  | 3室2厅 | 144.5平米 | 南 北 | 其他', '低楼层(共13层)2003年建板楼  -  和平区', '215万', '单价14879元/平米')
('https://image1.ljcdn.com/210100-inspection/e94054bc-a60b-4e96-97ed-f4090d1972f6.JPG.296x216.jpg', '名铸湾畔别墅  精装修  园区安静 带地下室花园', '新世界名铸湾畔   | 联排别墅 | 6室2厅 | 483平米 | 东 南 北 | 精装', '2层2013年建暂无数据  -  和平区', '2300万', '单价47620元/平米')
('', '尚景新世界 精装一楼 一天没住 视野好 不挡光 诚售', '尚景新世界  | 4室2厅 | 140平米 | 南 北 | 精装', '低楼层(共31层)2017年建板楼  -  和平区', '340万', '单价24286元/平米')
('', '格林生活坊二期 3室2厅 198万', '格林生活坊二期  | 3室2厅 | 132平米 | 南 北 | 其他', '中楼层(共25层)2008年建板楼  -  和平区', '198万', '单价15000元/平米')
('https://image1.ljcdn.com/210100-inspection/6af23d03-5c4b-4d89-a90d-4a07be8cf3e5.jpg.296x216.jpg', '和平三好街 新世界朗怡居 满五 三室 南北通透 不挡光', '新世界花园朗怡居  | 3室2厅 | 105平米 | 南 北 | 精装', '高楼层(共5层)2001年建板楼  -  和平区', '180万', '单价17143元/平米')
('https://image1.ljcdn.com/210100-inspection/7056c6d3-35aa-45fd-916a-51271b5876b4.jpg.296x216.jpg', '世茂新五里河 南北大两室 中间楼层 精装', '世茂新五里河  | 2室2厅 | 150平米 | 南 北 | 精装', '中楼层(共58层)2016年建板楼  -  和平区', '200万', '单价13334元/平米')
('', '万科鹿特丹 2室2厅 180万', '万科鹿特丹  | 2室2厅 | 97平米 | 南 北 | 其他', '中楼层(共31层)2016年建板楼  -  和平区', '180万', '单价18557元/平米')
('https://image1.ljcdn.com/210100-inspection/b4060ec1-8b87-47be-b535-b298c0a0c2a7.JPG.296x216.jpg', '地段繁华，交通便利，青年大街沿线，出门就是公园', '皇朝万鑫公寓  | 1室0厅 | 36平米 | 西 | 精装', '低楼层(共37层)2008年建板楼  -  和平区', '60万', '单价16667元/平米')
('', '汇景新世界 5室2厅 610万', '汇景新世界  | 5室2厅 | 305平米 | 南 北 | 精装', '中楼层(共31层)2012年建板楼  -  和平区', '610万', '单价20000元/平米')
('', '九洲湾景汇 2室2厅 123万', '九洲湾景汇  | 2室2厅 | 95.56平米 | 南 北 | 其他', '中楼层(共18层)2014年建板楼  -  和平区', '123万', '单价12872元/平米')
('https://image1.ljcdn.com/210100-inspection/bbdbf79b-0fd1-4d79-9482-572726f2a546.jpg.296x216.jpg', '新世界澔景华庭 大平层 装修不错 业主诚心出售', '新世界花园澔景华庭  | 3室2厅 | 179.38平米 | 南 北 | 其他', '低楼层(共19层)2003年建板楼  -  和平区', '284万', '单价15833元/平米')
('https://image1.ljcdn.com/210100-inspection/5d78b007-08dd-4890-9132-eb71687bb2b1.jpg.296x216.jpg', '长白岛 万科园区里 精装修 中间层 赠20平露台', '万科城三期  | 2室2厅 | 100.33平米 | 西南 | 其他', '高楼层(共26层)2006年建板塔结合  -  和平区', '188万', '单价18739元/平米')
('', '九洲御府 2室2厅 92万', '九洲御府  | 2室2厅 | 81平米 | 南 北 | 其他', '中楼层(共33层)板楼  -  和平区', '92万', '单价11359元/平米')
('https://image1.ljcdn.com/210100-inspection/a2fe1f43-7e70-429e-84a3-0d9cd37d6251.JPG.296x216.jpg', '长白岛 富海澜湾半岛 精装两室 保持新 采光充足 126', '富海澜湾半岛  | 2室2厅 | 82.34平米 | 东南 | 精装', '中楼层(共33层)2014年建板塔结合  -  和平区', '118万', '单价14331元/平米')
('', '长白岛中海国际社区楼下门市  临南京街  人流量大', '中海国际社区一期  | 2室0厅 | 200平米 | 西 | 简装', '低楼层(共33层)2009年建板楼  -  和平区', '600万', '单价30000元/平米')
('', '奕聪花园 四室清水 户型方正 采光好 南北通透', '奕聪花园  | 4室2厅 | 242平米 | 南 北 | 毛坯', '中楼层(共48层)板楼  -  和平区', '447.7万', '单价18500元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadbd521849-1800-4784-a513-a074f1b7f6c4.jpg.296x216.jpg', '长白岛内 天河家园一期 三室两厅两卫 交通便利', '天河家园一期  | 3室2厅 | 110.6平米 | 南 北 | 简装', '高楼层(共6层)2003年建板楼  -  和平区', '132万', '单价11935元/平米')
('https://image1.ljcdn.com/210100-inspection/cebe76d4-e025-49bf-9a10-66d59203dcce.JPG.296x216.jpg', '和平 长白南 九洲湾景汇 南北通透 精装三室', '九洲湾景汇  | 3室2厅 | 106平米 | 南 北 | 其他', '低楼层(共18层)2014年建板楼  -  和平区', '130万', '单价12265元/平米')
('', '格林生活坊三期 3室2厅 255万', '格林生活坊三期  | 3室2厅 | 127.59平米 | 南 北 | 其他', '中楼层(共5层)2008年建板楼  -  和平区', '255万', '单价19986元/平米')
('https://image1.ljcdn.com/210100-inspection/036ea523-59ea-4372-aca1-cac9e823daf6.jpg.296x216.jpg', '和平 长白岛 外滩叁号三室精装，中间层 采光视野好', '外滩叁号  | 3室2厅 | 117.77平米 | 南 西 北 | 其他', '高楼层(共32层)2011年建板楼  -  和平区', '180万', '单价15285元/平米')
('https://image1.ljcdn.com/210100-inspection/1edfe545-c4d3-401d-a2f5-439c7efc1242.jpg.296x216.jpg', '中科院社区三好街旁，盛京医院，写字间，闹中有静。', '中科院社区  | 1室1厅 | 49.54平米 | 南 | 毛坯', '中楼层(共7层)板楼  -  和平区', '37万', '单价7469元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/5012abf9-e3a3-4cde-bdeb-0fedaeb63c6b.png.280x210.jpg', '长白岛商圈 天河家园一期 两室 南北通透 中间层', '天河家园一期  | 2室2厅 | 108平米 | 南 北 | 其他', '中楼层(共6层)2003年建板楼  -  和平区', '127万', '单价11760元/平米')
('', '长白岛 中海和平之门 清水现房', '中海和平之门  | 2室1厅 | 85.47平米 | 南 北 | 其他', '中楼层(共21层)2016年建板楼  -  和平区', '135万', '单价15796元/平米')
('https://image1.ljcdn.com/210100-inspection/fbd69714-cdcf-416f-b81c-cdc3d1884faf.jpg.296x216.jpg', '外滩叁号 1室1厅 75万', '外滩叁号  | 1室1厅 | 39平米 | 北 | 其他', '高楼层(共33层)板楼  -  和平区', '75万', '单价19231元/平米')
('https://image1.ljcdn.com/210100-inspection/05f1c5e8-3c58-47cb-a47e-d90876542b6e.JPG.296x216.jpg', '新世界花园朗悦居 三室 园区安静 封闭园区 物业管理', '新世界花园朗悦居  | 3室2厅 | 110平米 | 西南 | 简装', '高楼层(共6层)2000年建板楼  -  和平区', '165万', '单价15000元/平米')
('', '龙湖唐宁ONE 2室2厅 150万', '龙湖唐宁ONE  | 2室2厅 | 81.57平米 | 南 北 | 其他', '高楼层(共33层)2018年建板楼  -  和平区', '150万', '单价18390元/平米')
('https://image1.ljcdn.com/210100-inspection/60ef4f1c-9e13-46ea-8992-49eff1c06a8b.jpg.296x216.jpg', '冠芳园 3室2厅 165万', '冠芳园  | 3室2厅 | 143.15平米 | 南 北 | 其他', '中楼层(共6层)2004年建板楼  -  和平区', '165万', '单价11527元/平米')
('https://image1.ljcdn.com/210100-inspection/99b8be8a-beda-4c3d-a97e-b2ed75697402.jpg.296x216.jpg', '盛京医院 万象城 霍尔寓所 三室两厅 阳光充足', '霍尔寓所  | 3室2厅 | 128平米 | 南 北 | 简装', '低楼层(共33层)板楼  -  和平区', '190万', '单价14844元/平米')
('https://image1.ljcdn.com/210100-inspection/2d0bcd85-0287-4671-a7a0-b7e9dd47b5ba.jpg.296x216.jpg', '长白岛深航南北清水3室 双南卧户型方正全天采光不临街', '深航翡翠城  | 3室2厅 | 131平米 | 南 北 | 毛坯', '中楼层(共33层)2010年建板楼  -  和平区', '225万', '单价17176元/平米')
('', '世茂新五里河 4室2厅 248万', '世茂新五里河  | 4室2厅 | 211.68平米 | 南 北 | 毛坯', '高楼层(共52层)2016年建板楼  -  和平区', '248万', '单价11716元/平米')
('', '长白岛 新加坡城 南向 精装修小户型', '新加坡城  | 1室1厅 | 52.41平米 | 南 | 其他', '低楼层(共32层)2012年建板楼  -  和平区', '85万', '单价16219元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadaa644183-e81a-4cb8-825e-fd9a82cef8da.jpg.296x216.jpg', '华润幸福里四期 1室1厅 129万', '华润幸福里四期  | 1室1厅 | 55平米 | 西北 | 其他', '高楼层(共31层)板楼  -  和平区', '129万', '单价23455元/平米')
('https://image1.ljcdn.com/210100-inspection/1e3b2b9e-1b9c-4c59-8652-013b2b31c9af.JPG.296x216.jpg', '和平 长白南 九洲湾景汇 精装两室', '九洲湾景汇  | 2室1厅 | 85平米 | 东 南 北 | 其他', '低楼层(共18层)2014年建板楼  -  和平区', '85万', '单价10000元/平米')
('', '万科城四期 3室2厅 254万', '万科城四期  | 3室2厅 | 141平米 | 南 北 | 其他', '高楼层(共8层)2009年建板楼  -  和平区', '254万', '单价18015元/平米')
('https://image1.ljcdn.com/330100-inspection/afe055de-0ba4-45c1-81c0-3140345a1d08.jpg.296x216.jpg', '万科城 东园区 小高中间楼层 三室两卫', '万科城一期  | 3室2厅 | 131.66平米 | 东 南 北 | 其他', '低楼层(共9层)2006年建板楼  -  和平区', '290万', '单价22027元/平米')
('https://image1.ljcdn.com/210100-inspection/9b52a750-a355-4cde-b526-00ebdedbafa4.jpg.296x216.jpg', '万科城二期 3室2厅 210万', '万科城二期  | 3室2厅 | 124.43平米 | 南 北 | 其他', '低楼层(共34层)2006年建板塔结合  -  和平区', '210万', '单价16877元/平米')
