('https://image1.ljcdn.com/shfdfs-image/20171130/86c1bddc-d736-4555-9e2e-6148af580ff6.jpg.296x216.jpg', '2016年次新小区，市中牛B住宅，8/10号地铁全南户型', '复兴珑御  | 2室2厅 | 140平米 | 南 | 精装', '中楼层(共32层)板楼  -  老西门', '1730万', '单价123572元/平米')
('https://image1.ljcdn.com/310000-inspection/test-82eeb2d9-56b5-44bc-a5f7-a799c576e2e2.png.296x216.jpg', '天然氧吧南园公园+房龄新南北通户型+诚意低价', '中辉新苑  | 3室2厅 | 120.18平米 | 南 北 | 精装', '高楼层(共18层)2001年建板楼  -  世博滨江', '912万', '单价75887元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/2f3cc822-2694-4091-9c33-6324326eba60.png.280x210.jpg', '人民广场地段  高区电梯全南一房  满五税少 看房随时', '重新小区  | 1室0厅 | 38.81平米 | 南 | 精装', '高楼层(共7层)1936年建板楼  -  人民广场', '290万', '单价74724元/平米')
('https://image1.ljcdn.com/310000-inspection/161d7ffb-d7b2-4077-9b57-4a2ab1ee7453.jpg.296x216.jpg', '视野宽阔！交通便捷！采光充足！配套齐全！', '中福花苑  | 1室1厅 | 42平米 | 南 | 精装 | 有电梯', '中楼层(共15层)2003年建板楼  -  蓬莱公园', '450万', '单价107143元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160809/131f6992-0070-46ca-b9eb-4d2334b6e78d.jpg.296x216.jpg', '全明大四房＋私家花园＋二手买进＋有车位', '黄浦丽园  | 4室2厅 | 237.72平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2009年建板楼  -  蓬莱公园', '1950万', '单价82030元/平米')
('https://image1.ljcdn.com/310000-inspection/cbd9ec2d-4fea-495c-a1bf-8e359c23aa4c.jpg.296x216.jpg', '满五唯一+好楼层+双南带阳台+看房方便', '五岭小区  | 3室1厅 | 74.6平米 | 南 西 | 简装 | 无电梯', '低楼层(共7层)1988年建板楼  -  打浦桥', '570万', '单价76408元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/e51c8b1a-2ca6-477f-b215-3b61887204e1.png.280x210.jpg', '外滩，南北通正气3房，滨江金融城板块，急售好房', '海琪园  | 3室2厅 | 164.98平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2003年建板楼  -  黄浦滨江', '1800万', '单价109105元/平米')
('https://image1.ljcdn.com/x-se/hdic-resblock/5de29074-3fd4-40bb-97b3-64c66ae55653.jpg.296x216.jpg', '此房地段良好，价格实惠，面价大，酒店式公寓', '华丽家族汇景天地(商业类)  | 1室1厅 | 62.48平米 | 北 | 精装', '低楼层(共30层)塔楼  -  五里桥', '295万', '单价47216元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/58f875ee-958f-4d35-8090-7a5e00402aa1.png.280x210.jpg', '全明户型+售后公房+诚意置换+价格可谈+烫金地段', '春江小区(卢湾)  | 2室0厅 | 49.94平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1984年建板楼  -  世博滨江', '390万', '单价78094元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160416/bb83219e-2503-46ec-9897-c05ba3cfaa7f.jpg.296x216.jpg', '双轨沿线+董家渡金融城+大型商 业+看房联系维护人', '阳光公寓(黄浦)  | 2室2厅 | 99.75平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2001年建塔楼  -  董家渡', '850万', '单价85214元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload983293bf-d4c0-45cf-a741-2a14c16ec672.jpg.296x216.jpg', '瑞金二路打浦桥户型正气+得房率高+交通便利+看房方便', '打浦大楼  | 2室1厅 | 58.32平米 | 东 | 简装 | 有电梯', '中楼层(共14层)1978年建板楼  -  打浦桥', '510万', '单价87449元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/ef192cb9-8f48-41ce-ab6e-64dc54a9aea0.png.280x210.jpg', '翠湖御苑 中高区楼层 业主诚意出售', '翠湖天地御苑  | 3室2厅 | 187.4平米 | 南 北 | 精装 | 有电梯', '中楼层(共32层)2006年建板楼  -  新天地', '3300万', '单价176094元/平米')
('https://image1.ljcdn.com/310000-inspection/test-3b87f9f4-2dd4-4fa2-8924-aad4df5244a5.png.296x216.jpg', '送产权车位，满五唯一，板式南北通户型', '东淮海公寓  | 3室2厅 | 136.25平米 | 南 | 精装 | 有电梯', '低楼层(共28层)板楼  -  豫园', '1180万', '单价86606元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadc5234816-f309-4332-93ae-d1ebcab46e03.jpg.296x216.jpg', '明星楼盘 外销房 豫园繁华地段 高区 户型正气 诚意卖', '太阳都市花园  | 2室2厅 | 114.31平米 | 西南 | 精装 | 有电梯', '中楼层(共33层)1999年建塔楼  -  豫园', '990万', '单价86607元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171213/27b0b41a-2566-4d17-adf5-6f220914ff39.jpg.296x216.jpg', '店长主推！【得房率高】【全南大两房】【阳光无遮挡】', '南花苑  | 2室2厅 | 87.47平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1997年建板楼  -  董家渡', '680万', '单价77741元/平米')
('', '议价无底：中高区大三房，送产权车位。瞰太平湖', '翠湖天地御苑  | 3室2厅 | 183.09平米 | 南 北 | 精装 | 有电梯', '中楼层(共32层)2006年建板楼  -  新天地', '3000万', '单价163854元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1a6ba258-25f2-43ef-a4e6-07c10499d643.png.296x216.jpg', '湖滨道楼上产权公寓，房东自己付税，全新装修，景观房', '经纬公寓  | 4室2厅 | 172.15平米 | 东南 | 精装 | 有电梯', '高楼层(共22层)板楼  -  新天地', '1666万', '单价96777元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadecc920de-fc1c-4d54-b00a-50fcaac100b4.jpg.296x216.jpg', '赠送厨房面积精装有缘人诚意出售', '瞿溪路830弄  | 2室1厅 | 55.73平米 | 东 西 | 精装 | 无电梯', '高楼层(共6层)1984年建板楼  -  五里桥', '420万', '单价75364元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170210/a926b12d-e54d-431c-8668-77c12caccc43.jpg.296x216.jpg', '高区南向看江、人车分流、自带7000平米会所、绿城物业', '融创滨江壹号院  | 4室2厅 | 264.41平米 | 南 | 简装 | 有电梯', '高楼层(共27层)2012年建板楼  -  世博滨江', '3000万', '单价113461元/平米')
('https://image1.ljcdn.com/310000-inspection/test-865117fb-4278-4e18-9ea4-805de14ff318.png.296x216.jpg', '南北通户型，户型方正，此房型卖的不多。', '中福城  | 2室2厅 | 118.44平米 | 南 | 精装 | 有电梯', '中楼层(共22层)2003年建板楼  -  南京东路', '1150万', '单价97096元/平米')
('https://image1.ljcdn.com/x-se/hdic-resblock/5de29074-3fd4-40bb-97b3-64c66ae55653.jpg.296x216.jpg', '地铁口精装小户型 酒店式公寓，自带商.业综合体', '华丽家族汇景天地(商业类)  | 1室2厅 | 80平米 | 东南 | 其他 | 无电梯', '中楼层(共5层)2012年建板楼  -  五里桥', '600万', '单价75000元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/f66bc21c-1db8-4207-8088-7eeaa8925c1d.png.280x210.jpg', '全南户型户型好，楼层不错。看房提前约', '唐家宅小区  | 2室0厅 | 55.67平米 | 南 | 简装 | 无电梯', '高楼层(共5层)1960年建板楼  -  世博滨江', '440万', '单价79038元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload58ac0b27-041f-4f93-b8fb-acca512eb672.jpg.296x216.jpg', '共和园小区 3楼不高不矮  房东诚意出售  外滩滨江地段', '共和园小区  | 2室1厅 | 51.49平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1991年建板楼  -  黄浦滨江', '420万', '单价81570元/平米')
('https://image1.ljcdn.com/310000-inspection/test-24423f09-cfde-462a-b6a2-2f41af0e3c44.png.296x216.jpg', '南京东路精致全南两房，近地铁，满五唯一税费少', '宁波小区  | 2室1厅 | 46.78平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1984年建板楼  -  南京东路', '410万', '单价87645元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadbe09bcb9-dd44-4538-8477-31b307bb6abf.jpg.296x216.jpg', '两房【总价低_双南】自住精装_地铁近_不靠高架_价可谈', '打浦路500弄  | 2室0厅 | 42.93平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1965年建板楼  -  打浦桥', '318万', '单价74075元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploada0a0cc10-568d-4d61-ae67-a88bb1965801.jpg.296x216.jpg', '南北通两房+楼层好+老西门地段+8/10号线+得房率高', '牌楼小区  | 2室0厅 | 39.32平米 | 南 | 毛坯 | 无电梯', '中楼层(共5层)1977年建板楼  -  老西门', '340万', '单价86470元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadd88acff6-698a-45b3-8ae9-36f332f9e87c.jpg.296x216.jpg', '精装修一房，拎包入住   总价低', '打浦路210弄  | 1室0厅 | 35.78平米 | 东 | 精装 | 无电梯', '高楼层(共5层)1987年建板楼  -  打浦桥', '300万', '单价83846元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploada1e5324c-56df-4226-8b4c-7732903637eb.jpg.296x216.jpg', '业主诚意出售，全明户型，满五唯一，', '北蒙三小区  | 1室0厅 | 24.2平米 | 西北 | 精装 | 无电梯', '高楼层(共6层)1989年建板楼  -  五里桥', '240万', '单价99174元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadb30e2cf3-3970-4c3c-8974-25596118e3e7.jpg.296x216.jpg', '耀江花园 1室2厅 950万', '耀江花园  | 1室2厅 | 63.72平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2006年建板楼  -  世博滨江', '950万', '单价149090元/平米')
('https://image1.ljcdn.com/310000-inspection/bffbadc3-9b58-4c03-8d28-5d0644f88aa3.jpg.296x216.jpg', '朝南刚需大一室户，金三银四好楼层', '西凌新邨  | 1室0厅 | 35.36平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1990年建板楼  -  蓬莱公园', '272万', '单价76924元/平米')
('https://image1.ljcdn.com/310000-inspection/3671f52e-99ae-47e7-a61d-c40b9f08196d.jpg.296x216.jpg', '瑞金二路410弄近田子坊，朝南一房，装修好，楼层适中', '瑞金二路410弄  | 1室1厅 | 43平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1988年建板楼  -  打浦桥', '390万', '单价90698元/平米')
('https://image1.ljcdn.com/310000-inspection/test-88739094-b884-48c4-b40d-60ea2af3c65c.png.296x216.jpg', '房东诚意出售，到价签字。户型正气.装修保养很好', '金日世家  | 3室2厅 | 140.96平米 | 南 北 | 简装 | 有电梯', '高楼层(共22层)2006年建板楼  -  蓬莱公园', '1288万', '单价91374元/平米')
('https://image1.ljcdn.com/310000-inspection/225813b4-3759-4de6-b1d2-aac52f624f32.jpg.296x216.jpg', '新出好房，地段繁华，闹中取静，精装全配，拎包入住', '瞿中小区  | 1室0厅 | 38.16平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1983年建板楼  -  打浦桥', '330万', '单价86478元/平米')
('https://image1.ljcdn.com/310000-inspection/d2121f88-7952-489e-8b4d-00718588813d.jpg.296x216.jpg', '松柏公寓精装一房+满五唯一+高区景观+交通便利', '松柏公寓  | 1室1厅 | 52.25平米 | 东南 | 精装 | 有电梯', '高楼层(共21层)1992年建塔楼  -  南京东路', '465万', '单价88996元/平米')
('https://image1.ljcdn.com/310000-inspection/63faa88a-73db-430a-ad97-690dbb4fe447.jpg.296x216.jpg', '地铁口100米+精致装修拎包入住+楼层朝向俱佳', '瞿溪路1060弄  | 1室1厅 | 39.01平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1980年建板楼  -  打浦桥', '325万', '单价83312元/平米')
('https://image1.ljcdn.com/310000-inspection/1ce8600f-6731-4cb5-8cab-2e21788f32fa.jpg.296x216.jpg', '新出笋盘 近打浦桥地铁口，朝南婚装一房，中区采光好', '南塘浜路93弄  | 1室1厅 | 33.64平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1981年建板楼  -  打浦桥', '320万', '单价95125元/平米')
('https://image1.ljcdn.com/310000-inspection/9352a347-8b02-4cf4-a875-e2673e6cc755.jpg.296x216.jpg', '近地铁，品质小区，朝南户型，房东诚意出售，看房方便', '天柱山路17弄  | 1室0厅 | 31.6平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1984年建板楼  -  蓬莱公园', '280万', '单价88608元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f2d3328c-b5a6-489f-baec-65ffa02ca0cc.png.296x216.jpg', '售后公房+满五年唯一+房型正气+也只诚意出售', '斜土路486弄  | 2室1厅 | 57.6平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1984年建板楼  -  五里桥', '390万', '单价67709元/平米')
('https://image1.ljcdn.com/310000-inspection/ed29e13f-d369-467b-890d-9593a6888b34.jpg.296x216.jpg', '瞿四小区 1室0厅 220万', '瞿四小区  | 1室0厅 | 30.34平米 | 南 | 毛坯 | 无电梯', '低楼层(共5层)1999年建板楼  -  世博滨江', '220万', '单价72512元/平米')
('https://image1.ljcdn.com/310000-inspection/191fa2af-7b2e-45f6-8c96-f716541566e0.jpg.296x216.jpg', '瞿溪路904弄 1室0厅 300万', '瞿溪路904弄  | 1室0厅 | 33.24平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1986年建板楼  -  五里桥', '300万', '单价90253元/平米')
('', '边间套3房，直面绿化！送产权车位，满五年唯一。', '翠湖天地御苑  | 3室2厅 | 183.09平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2006年建板楼  -  新天地', '2850万', '单价155662元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5272c72c-6332-4164-b912-4df5e721eb68.jpg.296x216.jpg', '精装一室户，4/13号线，楼层好，配套齐全', '蒙自新村  | 1室1厅 | 42.4平米 | 南 | 精装 | 有电梯', '高楼层(共7层)1986年建板楼  -  五里桥', '350万', '单价82548元/平米')
('https://image1.ljcdn.com/x-se/shfdfs-image/20141215/d3e03bbb-abbc-4591-a0df-da85a7147539.jpg.280x210.jpg', '阳光翠竹苑 2室2厅 1030万', '阳光翠竹苑  | 2室2厅 | 123.41平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2004年建板楼  -  董家渡', '1030万', '单价83462元/平米')
('https://image1.ljcdn.com/310000-inspection/5a4629c6-23fa-4671-8646-d21c1f54640b.jpg.296x216.jpg', '西凌新邨 1室1厅 335万', '西凌新邨  | 1室1厅 | 42.7平米 | 南 | 其他 | 有电梯', '低楼层(共32层)1994年建塔楼  -  蓬莱公园', '335万', '单价78455元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/214c0af4-aeb3-4d3d-ab60-34799393d466.png.280x210.jpg', '马当小区 2室1厅 640万', '马当小区  | 2室1厅 | 57.04平米 | 南 | 精装 | 有电梯', '中楼层(共26层)1992年建塔楼  -  新天地', '640万', '单价112202元/平米')
('https://image1.ljcdn.com/310000-inspection/test-33e53f52-efd7-4837-9338-a1a6f05df7d1.png.296x216.jpg', '《南京东路》《南北2房》《好位置低总价》《诚意卖》', '五福里  | 2室0厅 | 33.9平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)1983年建板楼  -  南京东路', '420万', '单价123894元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/73131caa-f27c-4649-bfbe-c59379a41c61.png.280x210.jpg', '新天地板式两房、高区景观视野完全无遮挡、诚意出售', '建德坊  | 2室2厅 | 100.12平米 | 南 | 精装 | 有电梯', '高楼层(共31层)2002年建板楼  -  新天地', '1180万', '单价117859元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1f4e4289-b93f-49ce-9671-28ffb74e3afd.png.296x216.jpg', '新天地板块精致小户型、全新装修拎包入住、看房方便', '复兴中路480弄  | 1室1厅 | 33.09平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1977年建板楼  -  新天地', '370万', '单价111817元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/90e6002d-e8b1-4a11-ae6e-35e720fb0d27.png.280x210.jpg', '东物公寓 高区阳光好 小户型 朝南 正对绿化景观', '东物公寓  | 1室1厅 | 57.1平米 | 南 | 简装 | 有电梯', '高楼层(共18层)1996年建塔楼  -  蓬莱公园', '490万', '单价85815元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161225/6b0bde97-6d70-4ff9-b06f-5259a4d4a71c.jpg.296x216.jpg', '城隍脚下 滨江人气小区 精装2房诚意售 看房电聊', '金外滩花园  | 2室2厅 | 134.17平米 | 南 | 精装 | 有电梯', '低楼层(共27层)板楼  -  黄浦滨江', '1400万', '单价104346元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/5f6abecf-d592-4cea-9c72-a243484d93c9.png.280x210.jpg', '新出笋盘 高区全南户型 远离高架 安静不吵 业主急售', '大同花园南区  | 2室2厅 | 108.91平米 | 南 | 简装 | 有电梯', '中楼层(共32层)1999年建板楼  -  打浦桥', '980万', '单价89983元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170105/4fc72001-c88f-46c2-9af2-df6ab7cf2e53.jpg.296x216.jpg', '高区+全南两房+满5税低+采光好+双阳台+诚意出售+急', '翠湖天地雅苑  | 2室2厅 | 119.8平米 | 南 | 精装 | 有电梯', '中楼层(共25层)2003年建板楼  -  新天地', '1880万', '单价156929元/平米')
('https://image1.ljcdn.com/x-se/shfdfs-image/20170318/80660e20-8035-461e-8882-0c8b608af552.jpg.280x210.jpg', '益元大楼 2室1厅 550万', '益元大楼  | 2室1厅 | 62.32平米 | 西南 | 其他 | 有电梯', '高楼层(共17层)1988年建塔楼  -  世博滨江', '550万', '单价88255元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170522/3656b4c5-2c80-44ba-afa4-475844d3d773.jpg.296x216.jpg', '豫园板块，此房满二，增值税少，精装修，不临马路', '太阳都市花园  | 3室2厅 | 153.52平米 | 南 | 精装 | 有电梯', '低楼层(共33层)1999年建塔楼  -  豫园', '1500万', '单价97708元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/4b04bc4c-c836-40af-a6b3-ea65d890669c.png.280x210.jpg', '浦江公馆 3室2厅 2100万', '浦江公馆  | 3室2厅 | 163.09平米 | 南 北 | 精装 | 有电梯', '低楼层(共26层)2010年建板楼  -  黄浦滨江', '2100万', '单价128764元/平米')
('https://image1.ljcdn.com/310000-inspection/7d4f0363-7739-46d8-8b35-0cf5361ce78d.jpg.296x216.jpg', '2011年，特殊4房，2南2北，厅南北通，业主变现急售', '明日星城  | 4室2厅 | 136.46平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2011年建板楼  -  董家渡', '1100万', '单价80610元/平米')
('https://image1.ljcdn.com/x-se/shfdfs-image/20141125/b1d9a5aa-b2c5-4bae-aa6f-7869bf759e58.jpg.280x210.jpg', '小三房 满五唯一免个税 地铁4/8号线 临蓬莱公园', '新中苑  | 3室2厅 | 119.85平米 | 南 | 精装 | 有电梯', '低楼层(共31层)1999年建板楼  -  蓬莱公园', '890万', '单价74260元/平米')
('https://image1.ljcdn.com/shfdfs-image/2014/0410/DBD847B2997A4E98941F922A43ABCECE.jpg.296x216.jpg', '黄浦众鑫城 6室4厅 2700万', '黄浦众鑫城  | 6室4厅 | 296.52平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2004年建塔楼  -  老西门', '2700万', '单价91057元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170703/0a69e5f8-bdae-4595-be6b-059971fa49a0.jpg.296x216.jpg', '钻石地段，从未入住，户型方正，诚意出售', '复兴珑御  | 2室2厅 | 145.42平米 | 南 | 精装', '高楼层(共32层)板楼  -  老西门', '1960万', '单价134783元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161004/0753e6c2-8538-400c-b544-bdba8be2e672.jpg.296x216.jpg', '外滩九里样板房，业主高价买进，因限购置换，低价急抛', '华润外滩九里  | 1室2厅 | 73.51平米 | 南 | 精装 | 有电梯', '高楼层(共23层)2010年建板楼  -  黄浦滨江', '1120万', '单价152361元/平米')
('https://image1.ljcdn.com/310000-inspection/test-8774bae5-4fed-4172-b709-b0c73d636b91.png.296x216.jpg', '西凌新邨 1室1厅 330万', '西凌新邨  | 1室1厅 | 41.2平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1990年建板楼  -  蓬莱公园', '330万', '单价80098元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170514/82d9cb75-5ef8-495a-b561-f8cb6e094f01.jpg.296x216.jpg', '南昌路148弄 4室1厅 3109万', '南昌路148弄  | 4室1厅 | 310.9平米 | 东 | 简装', '低楼层(共3层)暂无数据  -  淮海中路', '3109万', '单价100001元/平米')
('https://image1.ljcdn.com/310000-inspection/f2103e13-56f8-48ef-8618-2e9acd0e12d6.jpg.296x216.jpg', '田子坊，采光佳，交通便利，生活齐全', '上海老年大学  | 1室1厅 | 31.19平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1985年建板楼  -  打浦桥', '252万', '单价80796元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/420c08cd-b7f9-43c3-8ac2-ee42481786f4.png.280x210.jpg', '金鹿大楼+巨鹿路+朝南两房，售后公房，诚意出售', '金鹿大楼,  | 2室2厅 | 79.13平米 | 南 | 精装 | 有电梯', '低楼层(共29层)1992年建塔楼  -  淮海中路', '728万', '单价92001元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e50cd1c2-031e-48c9-b3b3-b7aeeaa38b73.png.296x216.jpg', '融创滨江壹号院 2室1厅 1730万', '融创滨江壹号院  | 2室1厅 | 173.66平米 | 西南 | 精装 | 有电梯', '低楼层(共24层)2012年建板楼  -  世博滨江', '1730万', '单价99620元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/94d68ea7-cc5d-4c58-80d8-e54c3c2d949f.png.280x210.jpg', '健乐小区 2室1厅 565万', '健乐小区  | 2室1厅 | 46.09平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1985年建板楼  -  新天地', '565万', '单价122587元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/641b6150-556d-4b1e-878f-558e7f8809e3.png.280x210.jpg', '人民广场板块，地铁口，不靠高架，高区全南，户型方正', '上海滩新昌城  | 1室2厅 | 61.09平米 | 南 | 精装 | 有电梯', '高楼层(共25层)2006年建板楼  -  人民广场', '700万', '单价114586元/平米')
('https://image1.ljcdn.com/310000-inspection/test-899b4d88-1bdf-4e00-be22-194a54519cb5.png.296x216.jpg', '精装3房2厅，房型正气，小区带花园，近公园，地铁4/13', '卢湾城市花园  | 3室2厅 | 110.09平米 | 南 北 | 精装 | 有电梯', '低楼层(共26层)2002年建板楼  -  世博滨江', '928万', '单价84295元/平米')
('https://image1.ljcdn.com/310000-inspection/test-09b4025a-d140-4a54-8936-f1d65a8951ea.png.296x216.jpg', '山西小区 1室0厅 220万', '山西小区  | 1室0厅 | 22.35平米 | 北 | 简装', '中楼层(共7层)1984年建板楼  -  南京东路', '220万', '单价98435元/平米')
('https://image1.ljcdn.com/shfdfs-image/20151117/2d8436ea-4524-4631-8334-858aa4cb1e75.jpg.296x216.jpg', '《人民广场品质小区  南北通高区大三房  诚意出售》', '金色家园  | 3室2厅 | 167.04平米 | 南 北 | 精装 | 有电梯', '高楼层(共30层)2004年建板楼  -  人民广场', '1460万', '单价87405元/平米')
('https://image1.ljcdn.com/310000-inspection/test-8c2735df-14b1-432d-8ac7-6012c829c7dd.png.296x216.jpg', '精装修两房，新里，得房率高。房东急，急，急', '蒙自路345弄  | 2室1厅 | 38.93平米 | 南 | 精装 | 无电梯', '高楼层(共5层)1981年建板楼  -  五里桥', '330万', '单价84768元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/b4d11116-91bb-4702-847b-173b17d346a1.png.280x210.jpg', '先棉祠街小区 1室0厅 320万', '先棉祠街小区  | 1室0厅 | 33.26平米 | 东 | 简装 | 无电梯', '中楼层(共5层)1987年建板楼  -  豫园', '320万', '单价96212元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/71466b0a-611a-4f03-aea3-2d573c51778c.png.280x210.jpg', '明日星城 3室2厅 1080万', '明日星城  | 3室2厅 | 123.47平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2001年建板楼  -  董家渡', '1080万', '单价87471元/平米')
('', '比邻蓬莱公园天然氧吧，户型正气，诚意出售', '百花公寓  | 3室2厅 | 124.53平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1998年建板楼  -  蓬莱公园', '960万', '单价77090元/平米')
('https://image1.ljcdn.com/310000-inspection/0ce2a0cd-fdf7-4b75-a2bb-28db0a6a0762.jpg.296x216.jpg', '新天地为邻汇龙壹号南北通魅力绽放 低调中的奢华', '汇龙新城  | 3室2厅 | 197.93平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2002年建板楼  -  五里桥', '2200万', '单价111151元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b0b6381b-1023-412f-9519-d250d8ddd34d.png.296x216.jpg', '生活交通方便 三轨相交 满五唯一税费低', '蒙自新村  | 1室0厅 | 29.66平米 | 西北 | 毛坯 | 有电梯', '高楼层(共7层)1988年建板楼  -  五里桥', '240万', '单价80918元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/91dc0952-b9fc-47dc-8803-d3ef82ac65df.png.280x210.jpg', '豫园旁，业主急售，满五唯一，楼层好，看房方便', '光启路105号  | 1室1厅 | 35.65平米 | 西 | 精装', '低楼层(共7层)1992年建板楼  -  董家渡', '300万', '单价84152元/平米')
('https://image1.ljcdn.com/310000-inspection/3c2b7a2d-c4ce-430f-b5a4-563d94898aba.jpg.296x216.jpg', '新出好房，通风采光好，实用面积大，出行便捷主卧朝南', '打浦路339弄  | 1室1厅 | 39.82平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1953年建板楼  -  打浦桥', '290万', '单价72828元/平米')
('', '外滩精致一室户，朝南采光不遮挡，精装诚售', '共和园小区  | 1室1厅 | 32.82平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1991年建板楼  -  黄浦滨江', '340万', '单价103596元/平米')
('https://image1.ljcdn.com/310000-inspection/test-11cbeef4-1068-44b3-8c9c-1cc4bdd7d6bb.png.296x216.jpg', '高区看江景+满五唯一+精装修+业主诚意随时看', '南园小区  | 1室1厅 | 46.11平米 | 东南 | 精装 | 有电梯', '高楼层(共29层)1992年建塔楼  -  打浦桥', '370万', '单价80243元/平米')
('https://image1.ljcdn.com/310000-inspection/3455114e-81c2-4fe3-9cc7-39ba1a85f819.jpg.296x216.jpg', '新上房源：4号线鲁班路站口+精装修小户型+朝南一室户', '瞿溪路937弄  | 1室0厅 | 28.18平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1999年建板楼  -  五里桥', '225万', '单价79844元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/e7f92ef8-6b6c-480b-af63-e1746d348a28.png.280x210.jpg', '地铁口朝南一室户，适合刚需和老年人居住，看房随时。', '五岭小区  | 1室0厅 | 35.72平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1990年建板楼  -  打浦桥', '318万', '单价89026元/平米')
('', '望江苑 2室2厅 1000万', '望江苑  | 2室2厅 | 108.7平米 | 南 | 精装 | 有电梯', '中楼层(共29层)2000年建塔楼  -  世博滨江', '1000万', '单价91997元/平米')
('', '前排朝南一室户，采光全天候，房东诚意出售，提前预约', '黄家小区  | 1室1厅 | 35.61平米 | 南 | 简装 | 有电梯', '中楼层(共7层)1990年建板楼  -  董家渡', '300万', '单价84246元/平米')
