('https://image1.ljcdn.com/510100-inspection/test-bb5bc628-e1c2-4253-86b3-fef603380145.png.296x216.jpg', '此房满两年，低楼层， 小区刷卡进入', '交大庭院  | 3室2厅 | 105.43平米 | 南 | 精装 | 无电梯', '低楼层(共7层)1999年建板楼  -  五大花园', '135万', '单价12805元/平米')
('https://image1.ljcdn.com/510100-inspection/test-07ea932e-218b-4b9e-af55-ee1e677ac08a.png.296x216.jpg', '红楠港套一，有装修，有窗户，有阳台', '红楠港  | 1室1厅 | 56.92平米 | 西南 | 其他 | 有电梯', '低楼层(共15层)2009年建板楼  -  红牌楼', '99万', '单价17393元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8392539b-c234-46f2-90f9-e074dd4892eb.png.296x216.jpg', '人 民南路四段48号首座 高楼层', '首座  | 2室1厅 | 90.41平米 | 南 | 简装 | 有电梯', '高楼层(共28层)2010年建板塔结合  -  桐梓林', '171万', '单价18914元/平米')
('https://image1.ljcdn.com/510100-inspection/7aa3995c-6e06-4170-9cfd-40bdcb9c5554.JPG.296x216.jpg', '巷上生活馆，套二带阳台，朝东南', '巷上生活馆  | 2室1厅 | 75.29平米 | 东南 | 简装 | 有电梯', '低楼层(共15层)2008年建板楼  -  广福桥', '119万', '单价15806元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ce488b82-a168-42ff-b113-5b69428ba6a3.png.296x216.jpg', '套一可改套二，随时看房，有装修，带家具家电', '驿鑫乡卿城  | 1室1厅 | 74.32平米 | 南 | 简装 | 有电梯', '低楼层(共13层)2007年建板楼  -  草金立交', '105万', '单价14129元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7b642c86-bb6b-4c98-8799-0073538f08ca.png.296x216.jpg', '四季花城 套四 精装修 高楼层 采光好', '四季花城  | 4室2厅 | 148.45平米 | 东南 | 精装 | 有电梯', '高楼层(共21层)2003年建塔楼  -  广福桥', '295万', '单价19873元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c6919938-6dac-4400-b829-8877c3d6d505.png.296x216.jpg', '置信楼盘 花园里看游泳池 位置安静', '云影苑  | 2室1厅 | 70.59平米 | 东南 东北 | 其他 | 无电梯', '高楼层(共7层)2005年建板楼  -  外双楠', '156万', '单价22100元/平米')
('https://image1.ljcdn.com/510100-inspection/b86fb15b-799a-431f-a22e-f7d433b9dfae.JPG.296x216.jpg', '邮电局宿舍 套二 78平米 带阳台', '邮电局宿舍  | 2室1厅 | 77.56平米 | 东 南 | 其他 | 无电梯', '中楼层(共7层)1995年建板塔结合  -  广福桥', '105万', '单价13538元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadca087fe4-c87d-4360-bada-799adfd1d869.JPG.296x216.jpg', '远鸿方程式标准户型 ，客厅朝东，视野开阔', '远鸿方程式  | 1室1厅 | 57.48平米 | 南 | 简装 | 有电梯', '中楼层(共12层)2003年建板楼  -  外双楠', '101万', '单价17572元/平米')
('https://image1.ljcdn.com/510100-inspection/test-50b55415-05a9-47f1-8374-c8c01e1f331b.png.296x216.jpg', '巷上生活馆 电梯 有阳台 有装修', '巷上生活馆  | 1室1厅 | 54平米 | 东 | 其他 | 有电梯', '低楼层(共15层)2008年建板楼  -  广福桥', '86万', '单价15926元/平米')
('https://image1.ljcdn.com/510100-inspection/test-52f25780-a3ef-49c2-a65c-09922e79bc6e.png.296x216.jpg', '和信安静户型+朝南户型+高楼层', '和信派都  | 1室1厅 | 66.95平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2010年建板塔结合  -  川大', '160万', '单价23899元/平米')
('https://image1.ljcdn.com/510100-inspection/test-898d4b1d-f756-4cf5-bd24-621f3ad3abfb.png.296x216.jpg', '蓝色加勒比1室 户型方正 有装修 无厨房', '蓝色加勒比广场  | 1室0厅 | 33.85平米 | 东 | 其他 | 无电梯', '中楼层(共7层)2003年建板楼  -  川大', '39万', '单价11522元/平米')
('https://image1.ljcdn.com/510100-inspection/c224e7a5-0efd-4a3c-9cb3-4b7c128293e9.jpg.296x216.jpg', '磨子巷家带店套二，有三个门脸朝磨子街', '磨子巷8号  | 2室1厅 | 101.38平米 | 南 | 其他 | 无电梯', '低楼层(共7层)2000年建板楼  -  棕北', '200万', '单价19728元/平米')
('https://image1.ljcdn.com/510100-inspection/test-65696bcb-d74a-49d1-b1e9-4dc6d4487e08.png.296x216.jpg', '南二点五环 科华中路桃李园套三', '桃李园  | 3室2厅 | 99.98平米 | 东北 | 简装 | 无电梯', '高楼层(共6层)2005年建板楼  -  火车南站', '138万', '单价13803元/平米')
('https://image1.ljcdn.com/510100-inspection/test-26754e64-7845-4016-963a-e8b942e3377f.png.296x216.jpg', '二环边标 标准套二双卫 不临街 有钥匙方便看房', '红楠港  | 2室1厅 | 93.31平米 | 西北 | 其他 | 有电梯', '中楼层(共15层)2009年建板楼  -  红牌楼', '158万', '单价16933元/平米')
('https://image1.ljcdn.com/510100-inspection/a725cb35-2d4c-46ef-b88d-7b2e963acf6c.jpg.296x216.jpg', '商鼎国际 户型方正 有装修 看房预约', '商鼎国际  | 1室1厅 | 65.31平米 | 南 | 简装 | 有电梯', '高楼层(共28层)2008年建板塔结合  -  航空路', '138万', '单价21130元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ab9af3a4-1c93-4d67-a07e-6074dbbbab5c.png.296x216.jpg', '明珠小区，套四双卫出售，有装修', '明珠小区  | 4室2厅 | 134.3平米 | 东南 | 其他', '中楼层(共6层)暂无数据  -  新双楠', '150万', '单价11170元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4bd9cf92-afda-4710-986a-8bfe6f44cc23.png.296x216.jpg', '丽都世家B区 套二带阳台 对小区中庭', '丽都世家B区  | 2室1厅 | 81.15平米 | 南 | 其他 | 有电梯', '中楼层(共17层)2014年建板楼  -  丽都', '162.3万', '单价20000元/平米')
('https://image1.ljcdn.com/510100-inspection/71b8a0e9-f37f-435d-8408-e0b3fa6769ef.JPG.296x216.jpg', '独栋别墅 有花园 有车库 清水框架易装修', '武侯别墅丽园   | 独栋别墅 | 5室2厅 | 380平米 | 南 | 毛坯 | 无电梯', '3层暂无数据  -  五大花园', '980万', '单价25790元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2eb86cab-6300-42c4-9551-6610b9e4f8b8.png.296x216.jpg', '中铁品质，精装修标准套一，户型方正', '中铁瑞城三号线  | 1室1厅 | 51.03平米 | 西南 | 其他 | 有电梯', '高楼层(共10层)2012年建板楼  -  新双楠', '100万', '单价19597元/平米')
('https://image1.ljcdn.com/510100-inspection/test-72b7c24f-67f9-4ef9-a8f7-bfb9a3213d1a.png.296x216.jpg', '科华北路38号  看房提前预约  随时可看', '科华北路38号  | 3室1厅 | 74.07平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1994年建板楼  -  棕北', '96.2万', '单价12988元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dd1e3695-35bd-425a-981a-77211cfe3661.png.296x216.jpg', '中环外侧 标准套一 客厅带阳台 有屋顶花园', '中央花园一期三组团  | 1室1厅 | 41.8平米 | 东 东南 | 其他 | 无电梯', '高楼层(共7层)1997年建板楼  -  五大花园', '58万', '单价13876元/平米')
('https://image1.ljcdn.com/510100-inspection/e96bc310-3d19-42ac-8cd7-5776aebd15f3.jpg.296x216.jpg', '祥福苑套三双卫  视野好  办公装修', '祥福苑  | 3室2厅 | 158.7平米 | 西北 | 其他 | 有电梯', '低楼层(共22层)2000年建板楼  -  玉林', '178万', '单价11217元/平米')
('https://image1.ljcdn.com/510100-inspection/test-03a72026-fceb-4797-9532-ea614c95d1a4.png.296x216.jpg', '优地A区标准套一。居家装修，看房方便，有钥匙', '优地A区  | 1室1厅 | 55平米 | 西南 | 简装 | 有电梯', '高楼层(共16层)2007年建板楼  -  丽都', '98万', '单价17819元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c2d2eed0-94b8-47a4-9aa5-3052e547cbfd.png.296x216.jpg', '水润缇香 标准3房2卫  户型通透 不临街 装修保养好', '水润缇香  | 3室2厅 | 98.85平米 | 东南 | 其他 | 无电梯', '中楼层(共6层)2006年建板楼  -  五大花园', '169万', '单价17097元/平米')
('https://image1.ljcdn.com/510100-inspection/deab3a35-14b8-4bfb-a44a-a0509b8833c9.JPG.296x216.jpg', '朝南水晶公寓中间楼层！180°采光面！有钥匙随时看！', '鹭岛国际一二期  | 4室2厅 | 273.91平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2006年建板楼  -  外双楠', '800万', '单价29207元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f3779fcc-203a-4448-b180-d631a2f06a46.png.296x216.jpg', '武侯区玉林，不临街套二，有装修，南北朝向', '玉林七巷  | 2室1厅 | 49.19平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1998年建板楼  -  玉林', '70万', '单价14231元/平米')
('https://image1.ljcdn.com/510100-inspection/7f42f995-78f2-4cb2-8d27-82aa1938bb1d.JPG.296x216.jpg', '纳米爱邸 1室0厅 56万', '纳米爱邸  | 1室0厅 | 42.09平米 | 东 | 其他 | 有电梯', '高楼层(共17层)2005年建板塔结合  -  双楠', '56万', '单价13305元/平米')
('https://image1.ljcdn.com/510100-inspection/test-93144f49-7ac5-48a9-b515-258a69100635.png.296x216.jpg', '一环路内标准套一，交通方便，生活舒适', '一环路南二段7号附4号  | 1室1厅 | 46.94平米 | 北 | 精装', '中楼层(共5层)暂无数据  -  川音', '62万', '单价13209元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9ae78d77-5dbb-4f42-b9b2-03c2cdeaf4c1.png.296x216.jpg', '龙湖金楠天街， 78平米套二， 有装修', '龙湖金楠天街  | 2室2厅 | 78.21平米 | 东南 | 其他 | 有电梯', '高楼层(共24层)2015年建板楼  -  五大花园', '165万', '单价21098元/平米')
('https://image1.ljcdn.com/510100-inspection/2493e4e4-c7cf-44e3-a305-1162b4ce8560.jpg.296x216.jpg', '上道西城 套二 带阳台 有装修', '上道西城  | 2室2厅 | 84.94平米 | 南 | 其他 | 有电梯', '低楼层(共11层)2008年建板塔结合  -  草金立交', '118万', '单价13893元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dee95202-50e5-4726-8a85-f59a09d50d66.png.296x216.jpg', '玉林东路28号 6楼 套二 有装修 有家具', '玉林东路28号  | 2室1厅 | 60.07平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  玉林', '90万', '单价14983元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4e90bac8-efbd-464e-acd5-c91e68313841.png.296x216.jpg', '中间楼层，户型方正，套三带阳台，有装修，采光通风好', '交大花园南苑  | 3室2厅 | 90.7平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1997年建板楼  -  五大花园', '100万', '单价11026元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4faff439-bbb3-4fb1-bb03-360451cd903d.png.296x216.jpg', '蓝光金双楠一期 3室2厅 140万', '蓝光金双楠一期  | 3室2厅 | 72.67平米 | 南 | 其他', '高楼层(共25层)2015年建暂无数据  -  草金立交', '140万', '单价19266元/平米')
('https://image1.ljcdn.com/510100-inspection/test-747fde82-6eaa-46b5-9f12-4b1cd9c0a867.png.296x216.jpg', '二楼标准大套三 位置安静 光线好', '汇景新村  | 3室1厅 | 134.49平米 | 东北 | 其他 | 无电梯', '低楼层(共6层)2001年建板楼  -  外双楠', '257万', '单价19110元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3cd22e65-ce56-4108-bfe0-e2d9f5664f71.png.296x216.jpg', '百吉街52号中间楼层全明户型套二', '百吉街52号  | 2室2厅 | 77.19平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  双楠', '108万', '单价13992元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7cf230ae-9d1e-4d50-a72e-38b98fe5150d.png.296x216.jpg', '交大花园 精装套二带楼顶花园 采光好 拎包入住', '交大花园南苑  | 2室1厅 | 75.5平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1997年建板楼  -  五大花园', '98万', '单价12981元/平米')
('https://image1.ljcdn.com/510100-inspection/0270ded3-dd35-4b83-b1b8-d9f032d972c3.JPG.296x216.jpg', '科华中路119号套二居家  装  修', '科华中路119号  | 2室1厅 | 76平米 | 东 | 其他', '高楼层(共7层)板楼  -  火车南站', '110万', '单价14474元/平米')
('https://image1.ljcdn.com/510100-inspection/test-175e8e21-3ea9-4706-a7a1-18f2a33bc7f3.png.296x216.jpg', '装修保养得不错，配套设施齐全。', '致民路31号  | 2室1厅 | 58.7平米 | 北 | 其他', '中楼层(共6层)暂无数据  -  川音', '85万', '单价14481元/平米')
('https://image1.ljcdn.com/510100-inspection/3ba30aee-1d76-4e90-a1f8-e5c370d41d68.jpg.296x216.jpg', '南二环地处繁华！自住精装套一！！！！！！', '君悦尚都  | 1室1厅 | 57.86平米 | 东 | 其他 | 有电梯', '低楼层(共11层)2005年建板塔结合  -  航空路', '92万', '单价15901元/平米')
('https://image1.ljcdn.com/510100-inspection/test-64770051-44fd-43b8-82a3-b79e159c8f26.png.296x216.jpg', '红运花园佳苑精装套二，装修保养好', '红运花园佳苑  | 2室1厅 | 74.42平米 | 西北 | 其他 | 无电梯', '中楼层(共7层)1999年建板楼  -  五大花园', '98万', '单价13169元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dfaca1e4-327c-4f20-89fb-eb503471f681.png.296x216.jpg', '标准套三，户型方正，对中庭，安静', '上锦雅筑  | 3室2厅 | 118.13平米 | 西 | 其他 | 有电梯', '中楼层(共18层)2006年建板塔结合  -  桐梓林', '190万', '单价16084元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2a29891a-c800-4c1b-bbbe-1e0f4042d909.png.296x216.jpg', '星语双城二期，标准套二，有装修', '星语双城二期  | 2室1厅 | 81.09平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2007年建板楼  -  草金立交', '120万', '单价14799元/平米')
('https://image1.ljcdn.com/510100-inspection/5a373005-a18f-4818-8c8d-4718044a9aab.png.296x216.jpg', '巷上生活馆 2室1厅 168万', '巷上生活馆  | 2室1厅 | 77.79平米 | 东南 | 简装 | 有电梯', '高楼层(共15层)2008年建板楼  -  广福桥', '168万', '单价21597元/平米')
('https://image1.ljcdn.com/510100-inspection/test-03d3d090-2108-4472-8a8e-eeeedb90ae67.png.296x216.jpg', '武侯 外双楠 丽景华庭二期采光好 对中庭 套二户型阳台', '丽景华庭二期  | 2室1厅 | 74.49平米 | 东 | 其他 | 有电梯', '高楼层(共16层)2006年建板楼  -  外双楠', '110万', '单价14768元/平米')
('https://image1.ljcdn.com/510100-inspection/1e29abca-9e72-4f0d-ba24-143d311512df.jpg.296x216.jpg', '樱花假日 两室一厅 户型方正 带平台', '樱花假日  | 2室1厅 | 59平米 | 西 | 其他 | 有电梯', '低楼层(共12层)2002年建塔楼  -  川大', '112万', '单价18984元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0bd60e8b-9fea-4e1f-a302-9ce7201d678f.png.296x216.jpg', '万科金色海蓉一期标准套二户型方正', '万科金色海蓉一期  | 2室1厅 | 64平米 | 西 | 其他 | 有电梯', '中楼层(共30层)2012年建板楼  -  火车南站', '188万', '单价29375元/平米')
('https://image1.ljcdn.com/510100-inspection/test-29d082f5-1a1d-4296-9fe3-5cb4df3dab23.png.296x216.jpg', '城南2.5环，中庭套一，看房方便，需要的抓紧喔', '美丽南庭  | 1室1厅 | 57.88平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2009年建板塔结合  -  火车南站', '95万', '单价16414元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e741f64f-488a-4d97-9c75-ba8dd50ab11d.png.296x216.jpg', '电梯小区，带家具家电，户型方正。', '锦花苑  | 2室2厅 | 88.34平米 | 东 | 其他 | 有电梯', '高楼层(共13层)暂无数据  -  簇桥', '105万', '单价11886元/平米')
('https://image1.ljcdn.com/510100-inspection/test-78fb0f83-a853-44d6-8741-9d802af656ea.png.296x216.jpg', '居家装修，标准套二，中高楼层，采光视野比较好', '首信首御  | 2室1厅 | 49.65平米 | 东南 | 其他 | 有电梯', '中楼层(共14层)2013年建板楼  -  新双楠', '99万', '单价19940元/平米')
('https://image1.ljcdn.com/510100-inspection/test-02242d0e-a96b-4279-bdb7-f286a6cd9b9d.png.296x216.jpg', '玲珑郡 .   套二          .', '玲珑郡  | 2室1厅 | 63.23平米 | 北 | 其他 | 有电梯', '低楼层(共9层)2012年建板楼  -  簇桥', '108万', '单价17081元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2c568519-3c73-4a8a-a562-7573ab3995ce.png.296x216.jpg', '大学路12号，小区安静，高楼层带装修', '大学路12号  | 2室1厅 | 87.26平米 | 南 | 精装 | 无电梯', '高楼层(共7层)板塔结合  -  川音', '219万', '单价25098元/平米')
('https://image1.ljcdn.com/510100-inspection/968db0f7-443c-4537-8eb9-23731dfc5968.JPG.296x216.jpg', '套二 精装修  西南朝向 带3个阳台 拎包入住', '华府双楠  | 2室1厅 | 79.41平米 | 西南 | 其他 | 有电梯', '低楼层(共16层)2013年建板楼  -  外双楠', '180万', '单价22668元/平米')
('https://image1.ljcdn.com/510100-inspection/test-14d80ded-e90b-4d2b-8e3d-bdbc06e20cbb.png.296x216.jpg', '内双楠  香月楠岸  中铁二局开发  电梯套一', '香月楠岸  | 1室1厅 | 55.4平米 | 东北 | 其他 | 有电梯', '低楼层(共21层)2009年建板塔结合  -  双楠', '91万', '单价16426元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d4399b41-9c92-40d3-bcf6-acf0786dc403.png.296x216.jpg', '临江路52号  河边东南向套二 安静', '临江路52号  | 2室1厅 | 68.42平米 | 东南 | 其他', '低楼层(共7层)板楼  -  川音', '180万', '单价26309元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bdebf3df-09fe-45e5-8d6e-db281746d5f3.png.296x216.jpg', '临江路9号 低楼层 无按揭 无抵押', '临江路9号  | 3室1厅 | 114.77平米 | 东 | 其他 | 无电梯', '低楼层(共7层)2002年建板楼  -  川音', '251万', '单价21870元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c708d35c-38cd-46c3-8678-f1afb18b08bd.png.296x216.jpg', '二环内，内双楠楠极地电梯标间。', '楠极地  | 1室0厅 | 32平米 | 北 | 其他 | 有电梯', '高楼层(共12层)2004年建板塔结合  -  双楠', '36.8万', '单价11500元/平米')
('https://image1.ljcdn.com/510100-inspection/36e3e118-0433-4b46-9ad4-932dd7256a21.jpg.296x216.jpg', '高速大厦 电梯 不临街 套三双卫', '高速大厦  | 3室2厅 | 166.99平米 | 南 | 其他 | 有电梯', '低楼层(共26层)2000年建板楼  -  华西', '208万', '单价12456元/平米')
('https://image1.ljcdn.com/510100-inspection/test-440adfc4-c86a-449d-af5b-aa49da38206d.png.296x216.jpg', '鹭岛国际，中庭不临街套二，有装修，高楼层', '鹭岛国际四期  | 2室2厅 | 89.66平米 | 西 | 其他 | 有电梯', '高楼层(共18层)2012年建板楼  -  外双楠', '235万', '单价26211元/平米')
('https://image1.ljcdn.com/510100-inspection/c8dba517-5547-4653-a6cb-d805d0c6d95a.jpg.296x216.jpg', '红牌楼北街临街6米双开间双边街商铺', '红牌楼北街21号  | 2室1厅 | 52.24平米 | 东 | 简装 | 无电梯', '低楼层(共7层)1998年建板楼  -  高升桥', '109万', '单价20866元/平米')
('https://image1.ljcdn.com/510100-inspection/83f27886-e24d-42fb-9669-7fb9a8c2b537.JPG.296x216.jpg', '小区环境好，人车分流，配套设施齐全。', '蓝光诺丁山  | 3室2厅 | 110.5平米 | 西南 | 其他 | 有电梯', '高楼层(共11层)2005年建板塔结合  -  草金立交', '185万', '单价16743元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5785bc9b-835a-4c8f-962d-893ab2b4a24e.png.296x216.jpg', '曼哈顿自然派     标间安静，出行方便，居住方便舒适', '曼哈顿自然派  | 1室0厅 | 47.32平米 | 东南 | 精装 | 有电梯', '高楼层(共19层)2005年建板楼  -  航空路', '81万', '单价17118元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8835a03e-c323-4afb-b1c4-080b057d73fa.png.296x216.jpg', '上道西城 套三 客厅带阳台 有装修', '上道西城  | 3室2厅 | 95.92平米 | 北 | 其他 | 有电梯', '中楼层(共11层)2008年建板塔结合  -  草金立交', '135万', '单价14075元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ffcf9522-cc32-4937-aace-f30044b4c027.png.296x216.jpg', '套四户型，客厅阳台直视清水河及优品道，带屋顶花园。', '皇家花园  | 4室2厅 | 124.83平米 | 北 | 其他 | 无电梯', '高楼层(共7层)1999年建板楼  -  五大花园', '138万', '单价11056元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a4aa4612-aeb4-402f-848c-8badf7c83382.png.296x216.jpg', '绿地圣路易名邸二期＋精装修＋对中庭＋朝南＋满两年', '绿地圣路易名邸二期  | 2室2厅 | 84.85平米 | 南 | 精装 | 有电梯', '低楼层(共12层)板塔结合  -  簇桥', '156万', '单价18386元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ef2c12ba-1a2a-45e6-bef1-ac5f94a54dd4.png.296x216.jpg', '莱茵河畔套三，有装修，有家具家电，客厅带阳台', '莱茵河畔  | 3室2厅 | 164.73平米 | 西北 | 其他 | 有电梯', '低楼层(共32层)2004年建塔楼  -  川音', '295万', '单价17909元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dc48b604-4232-4772-8521-1612b18bebb2.png.296x216.jpg', '中华名园一期  电梯套三  客厅带阳台', '中华名园一期  | 3室2厅 | 134.7平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2006年建塔楼  -  武侯立交', '241万', '单价17892元/平米')
('https://image1.ljcdn.com/510100-inspection/d0ba500e-0198-4a98-ac8c-3b296250eb90.jpg.296x216.jpg', '此房是套三双卫 有家具家电 有装修 不临街', '竹韵天府  | 3室2厅 | 106.59平米 | 西南 | 精装 | 无电梯', '高楼层(共6层)2004年建板楼  -  武侯立交', '145万', '单价13604元/平米')
('https://image1.ljcdn.com/510100-inspection/test-03ab346a-4eb1-4c86-b115-9dd8c3348d25.png.296x216.jpg', '桐梓林中华园绣苑叠拼别墅一跃二', '中华园绣苑  | 4室2厅 | 235.93平米 | 南 北 | 其他 | 无电梯', '低楼层(共5层)2000年建板楼  -  桐梓林', '770万', '单价32637元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c385635b-2682-4546-a280-7d983034939e.png.296x216.jpg', '龙湾板块，鹭岛步行街旁，丽景华庭二期套三，采光充足', '丽景华庭二期  | 3室2厅 | 132平米 | 东南 | 其他 | 有电梯', '低楼层(共16层)2006年建板楼  -  外双楠', '260万', '单价19697元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c259d29a-52a4-431d-89cd-c175397e35a0.png.296x216.jpg', '2013年新小区，标准套二，低楼层，有阳台', '新贵公馆  | 2室1厅 | 54.06平米 | 东南 | 其他 | 有电梯', '低楼层(共9层)2013年建塔楼  -  红牌楼', '108万', '单价19978元/平米')
('https://image1.ljcdn.com/510100-inspection/test-872f2815-e58c-41ba-810f-99cb281282bb.png.296x216.jpg', '鹭岛国际三期套一，不临街，客厅朝南，有装修', '鹭岛国际三期  | 1室1厅 | 65.31平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2010年建板楼  -  外双楠', '160万', '单价24499元/平米')
('', '精装套二 低楼层 朝中庭 直接拎包入住 有钥匙 随时看', '摩卡筑  | 2室1厅 | 66.4平米 | 西 | 简装 | 有电梯', '低楼层(共18层)2007年建板楼  -  川音', '152万', '单价22892元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d761ea1a-c0fb-4434-bf0a-53bd0a4a76d7.png.296x216.jpg', '高攀路21号院  中间楼层  套二', '高攀路21号  | 2室1厅 | 61.19平米 | 东南 | 简装 | 无电梯', '中楼层(共6层)1999年建板楼  -  火车南站', '88万', '单价14382元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1d60ca61-8f63-42f4-8dba-87d413896b63.png.296x216.jpg', '金楠国际 标准套一 户型方正对中庭', '金楠国际  | 1室1厅 | 59.14平米 | 东北 | 简装 | 有电梯', '低楼层(共11层)2008年建板楼  -  红牌楼', '106万', '单价17924元/平米')
('https://image1.ljcdn.com/510100-inspection/8087aae6-b135-4c7d-b4b3-7c960dac4cdb.jpg.296x216.jpg', '电梯一梯两户 套二 朝南 不临街', '森桦苑  | 2室1厅 | 102.15平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2003年建板楼  -  双楠', '178万', '单价17426元/平米')
('https://image1.ljcdn.com/510100-inspection/test-70a86bcb-1e2c-473e-8569-9e968ef10237.png.296x216.jpg', '新加坡花园中庭中间楼层优质套二', '新加坡花园  | 2室1厅 | 82.15平米 | 东 | 其他 | 有电梯', '中楼层(共11层)2002年建板楼  -  桐梓林', '175万', '单价21303元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9ac9838b-9fef-465d-bce2-b2919a942930.png.296x216.jpg', '南门桐梓林欧城 精装修，全朝南套二 明厨明卫', '桐梓林欧城  | 2室1厅 | 86.83平米 | 南 | 精装 | 有电梯', '中楼层(共22层)2009年建塔楼  -  桐梓林', '237万', '单价27295元/平米')
('https://image1.ljcdn.com/510100-inspection/test-52f72576-838d-45fa-8e9b-ee55e9982963.png.296x216.jpg', '榕苑 套三 中间楼层 客厅有阳台', '榕苑  | 3室2厅 | 83.57平米 | 东 | 其他 | 无电梯', '中楼层(共6层)2004年建板楼  -  草金立交', '116万', '单价13881元/平米')
('https://image1.ljcdn.com/510100-inspection/test-163158e4-b4b3-4b6e-85ff-8472e9e0e785.png.296x216.jpg', '会所花园套三双卫端头明厨 明 卫', '会所花园  | 3室1厅 | 125.23平米 | 东南 | 其他 | 有电梯', '中楼层(共16层)2002年建板楼  -  五大花园', '159万', '单价12697元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b2f571df-780c-4f3c-bf6f-5caf70647589.png.296x216.jpg', '郭家桥西街新上房源户型方正好房子', '郭家桥西街4号  | 2室1厅 | 61.51平米 | 东 | 其他 | 无电梯', '中楼层(共7层)2001年建板楼  -  川大', '105万', '单价17071元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3cead001-86ef-41ca-b026-7a24cc9091f4.png.296x216.jpg', '恒昌永乐园 自住装修  楼顶带花园', '恒昌永乐园  | 2室2厅 | 105.3平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2000年建板楼  -  双楠', '130万', '单价12346元/平米')
('https://image1.ljcdn.com/510100-inspection/39677647-5862-464f-87c5-4383cbe25da5.jpg.296x216.jpg', '桐梓林首座 高楼层 自带地暖  跃层', '首座  | 4室2厅 | 252平米 | 南 | 其他 | 有电梯', '高楼层(共29层)2010年建板塔结合  -  桐梓林', '525万', '单价20834元/平米')
('https://image1.ljcdn.com/510100-inspection/cbd3bd8b-2477-485c-9b4c-c25b79bea94d.JPG.296x216.jpg', '此房满二，无抵押无按揭，交易方便。对中庭安静。', '世纪锦苑  | 3室2厅 | 175平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2004年建板楼  -  桐梓林', '360万', '单价20572元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c26ab2a2-31a1-45ab-b238-73e3735d7f2f.png.296x216.jpg', '香月楠岸 1室1厅 99万', '香月楠岸  | 1室1厅 | 58.75平米 | 东南 | 其他 | 有电梯', '中楼层(共21层)2009年建板塔结合  -  双楠', '99万', '单价16852元/平米')
