('https://image1.ljcdn.com/440100-inspection/e74c660e-183a-4352-a7f9-531a9954f25b.jpg.296x216.jpg', '科城山庄精装五房 南北通透 近地铁', '科城山庄  | 6室2厅 | 239平米 | 南 北 | 其他 | 有电梯', '高楼层(共12层)2012年建塔楼  -  科学城', '850万', '单价35565元/平米')
('https://image1.ljcdn.com/440100-inspection/d837197b-c1f8-4715-a67e-9fb53c58d19d.jpg.296x216.jpg', '科城山庄 精装修 户型方正 采光充足 交通便利', '科城山庄锦泽园  | 1室1厅 | 35平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2015年建塔楼  -  科学城', '130万', '单价37143元/平米')
('https://image1.ljcdn.com/440100-inspection/a8724f3d-ae2f-4c54-adf6-0103f83f48a5.jpg.296x216.jpg', '万科城市花园 东南向三房 带主套 保养好', '万科城市花园  | 3室2厅 | 112.41平米 | 东南 | 精装 | 有电梯', '低楼层(共11层)2003年建塔楼  -  区府', '435万', '单价38698元/平米')
('https://image1.ljcdn.com/440100-inspection/3a804a9d-ef99-493a-89ad-0e3c38286fd7.jpg.296x216.jpg', '宏康花园 证满5年 南向三房 采光好', '宏康花园三期建鑫苑  | 3室2厅 | 90.47平米 | 北 | 简装 | 无电梯', '低楼层(共7层)塔楼  -  开发东区', '182万', '单价20118元/平米')
('https://image1.ljcdn.com/440100-inspection/9c34d1be-bd7c-47ee-8705-b93c79dcf21b.jpg.296x216.jpg', '港湾四村 南向精装两房 交通便利', '港湾四村  | 2室1厅 | 52.05平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)1984年建板楼  -  区府', '150万', '单价28819元/平米')
('', '合景天峻广场 精装一房 格局方正 采光好 视野开阔', '合景天峻广场  | 1室0厅 | 34.44平米 | 南 | 精装', '中楼层(共9层)塔楼  -  知识城', '42万', '单价12196元/平米')
('', '金碧领秀精装一房售 交通便利', '金碧领秀国际  | 1室0厅 | 38.87平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2007年建塔楼  -  区府', '175万', '单价45022元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/c2fac0dc-7ae0-46a4-944f-3beffa2c8b47.jpg.280x210.jpg', '榕景园 方正大两房 双阳台', '榕景园  | 3室1厅 | 86平米 | 南 | 精装 | 有电梯', '低楼层(共9层)2001年建塔楼  -  区府', '315万', '单价36628元/平米')
('https://image1.ljcdn.com/440100-inspection/fa5fed76-4bee-4b00-8cd4-1d9afa361a03.jpg.296x216.jpg', '龙光峰景华庭 精装两房 通风采光好', '龙光峰景华庭  | 2室2厅 | 82平米 | 东北 | 其他 | 有电梯', '低楼层(共18层)2009年建塔楼  -  科学城', '250万', '单价30488元/平米')
('https://image1.ljcdn.com/440100-inspection/cbd04323-a7bd-401a-94a8-4d8df1b0d830.jpg.296x216.jpg', '雅居乐富春山居 南北对流 大五房', '雅居乐富春山居  | 7室3厅 | 292.1平米 | 南 北 | 其他 | 有电梯', '中楼层(共25层)2014年建塔楼  -  科学城', '1200万', '单价41082元/平米')
('https://image1.ljcdn.com/440100-inspection/5d72d9f7-d0b9-4680-a8d6-91905b312c0e.jpg.296x216.jpg', '宏康小筑 80平 低楼层 东南朝向', '宏康小筑  | 1室1厅 | 43.49平米 | 东南 | 简装', '低楼层(共8层)塔楼  -  科学城', '78万', '单价17936元/平米')
('https://image1.ljcdn.com/440100-inspection/bb2e3768-11c1-4beb-a6f4-3cc6d6fad862.jpg.296x216.jpg', '冶炼厂宿舍 框架低层 南北向两房', '冶炼厂宿舍  | 2室1厅 | 75.18平米 | 南 | 其他 | 无电梯', '低楼层(共8层)1998年建塔楼  -  区府', '150万', '单价19953元/平米')
('https://image1.ljcdn.com/440100-inspection/3ad59b63-e47c-43a5-b9f1-fd0e8bf9300c.jpg.296x216.jpg', '荔园小区 精装两房 中楼层 黄埔大沙地修', '荔香一街市政宿舍  | 2室1厅 | 63.4平米 | 南 | 其他', '中楼层(共9层)塔楼  -  区府', '208万', '单价32808元/平米')
('', '东城国际 精致2房 高楼层 安静不吵', '东城国际大厦  | 2室1厅 | 96平米 | 北 | 简装 | 有电梯', '高楼层(共30层)2008年建塔楼  -  区府', '260万', '单价27084元/平米')
('', '万科城市花园 南北对流 双阳', '万科城市花园  | 3室2厅 | 107平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2003年建塔楼  -  区府', '410万', '单价38318元/平米')
('https://image1.ljcdn.com/440100-inspection/0cacde33-c606-465b-b143-ba28e302caf4.jpg.296x216.jpg', '君和名城 精装三房 交通便利', '中鼎君和名城  | 3室1厅 | 91平米 | 北 | 精装 | 有电梯', '高楼层(共34层)2015年建塔楼  -  区府', '498万', '单价54726元/平米')
('https://image1.ljcdn.com/440100-inspection/47ac6296-055a-4019-ab3c-e4566942e30c.jpg.296x216.jpg', '珠江嘉园 东南向中高楼层 无遮挡好采光', '珠江嘉园  | 3室2厅 | 107平米 | 东南 | 精装', '中楼层(共28层)塔楼  -  中新镇', '245万', '单价22898元/平米')
('https://image1.ljcdn.com/440100-inspection/f2b65124-cb3c-4289-b09f-37bfcf2cfc6e.jpg.296x216.jpg', '锐丰 毛坯开间 中楼层 视野好', '锐丰中心  | 1室0厅 | 47.8平米 | 北 | 其他 | 有电梯', '高楼层(共22层)塔楼  -  科学城', '105万', '单价21967元/平米')
('https://image1.ljcdn.com/440100-inspection/0e1df753-5fd7-4cab-874a-67db9c185ca7.jpg.296x216.jpg', '萝岗敏捷广场 2室1厅 93万', '萝岗敏捷广场  | 2室1厅 | 54.31平米 | 北 | 其他 | 有电梯', '低楼层(共18层)塔楼  -  科学城', '93万', '单价17124元/平米')
('https://image1.ljcdn.com/440100-inspection/b4f7f86f-d14f-4a48-9b12-97b13174aab0.jpg.296x216.jpg', '文船生活区新东区 配套齐', '文船生活区新东区  | 3室1厅 | 77.27平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)1999年建板楼  -  区府', '215万', '单价27825元/平米')
('https://image1.ljcdn.com/440100-inspection/7abb1e73-30e0-422d-aa5e-084fdb5be633.jpg.296x216.jpg', '海关大院 楼梯两房', '海关大院  | 2室2厅 | 89.5平米 | 西北 | 精装 | 无电梯', '低楼层(共9层)1998年建塔楼  -  区府', '260万', '单价29051元/平米')
('https://image1.ljcdn.com/440100-inspection/ba5185d8-c82f-4b19-a573-de31dadc33a1.jpg.296x216.jpg', '黄埔花园，精装修两房，东南向', '黄埔花园  | 2室1厅 | 80平米 | 东南 | 精装 | 有电梯', '低楼层(共13层)2011年建塔楼  -  区府', '340万', '单价42500元/平米')
('https://image1.ljcdn.com/440100-inspection/4e1878f1-5026-4bbc-8b90-c7478f7bc8be.jpg.296x216.jpg', '奥园春晓，大户型三房，交通便利', '奥园春晓  | 3室2厅 | 127平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2014年建板塔结合  -  科学城', '384万', '单价30237元/平米')
('https://image1.ljcdn.com/440100-inspection/845921d5-614e-4219-82a2-fda11e363e5e.jpg.296x216.jpg', '雅居乐富春山5房 高层视野开阔 南北通透', '雅居乐富春山居  | 5室2厅 | 261平米 | 南 北 | 其他', '高楼层(共25层)塔楼  -  科学城', '1050万', '单价40230元/平米')
('', '林语山庄 舒适四房 交通便利 环境优雅', '保利林语山庄6区  | 4室2厅 | 121.26平米 | 东 | 其他 | 有电梯', '中楼层(共28层)塔楼  -  科学城', '420万', '单价34637元/平米')
('', '南岗教师新村 3室2厅 195万', '南岗教师新村  | 3室2厅 | 84.42平米 | 西北 | 精装', '中楼层(共8层)塔楼  -  开发区', '195万', '单价23099元/平米')
('', '合景天峻广场 精装二房 格局方正 采光好 视野开阔', '合景天峻广场  | 2室1厅 | 74.63平米 | 南 | 精装 | 有电梯', '高楼层(共31层)塔楼  -  知识城', '95万', '单价12730元/平米')
('', '鸿森大厦 电梯房 户型方正', '鸿森大厦  | 3室1厅 | 93平米 | 南 | 其他 | 有电梯', '中楼层(共12层)塔楼  -  开发区', '210万', '单价22581元/平米')
('https://image1.ljcdn.com/440100-inspection/4e06cb23-0dd7-4b78-8327-2a3a3aedff09.jpg.296x216.jpg', '万科城市花园 大三房', '万科城市花园  | 3室1厅 | 97平米 | 东北 | 其他 | 有电梯', '中楼层(共11层)2003年建塔楼  -  区府', '360万', '单价37114元/平米')
('https://image1.ljcdn.com/440100-inspection/82f8dcd1-0737-4332-b8a1-fe22e5fed606.jpg.296x216.jpg', '大沙地东路 南向三房 交通便利', '大沙地东路  | 3室1厅 | 86.55平米 | 南 | 精装', '低楼层(共7层)板楼  -  区府', '278万', '单价32121元/平米')
('https://image1.ljcdn.com/440100-inspection/544e63a1-0d0e-4391-8bc2-f65ed51bb8b9.jpg.296x216.jpg', '雅居乐富春山居 大户型 南北对流', '雅居乐富春山居  | 4室2厅 | 291平米 | 南 北 | 其他 | 有电梯', '低楼层(共25层)2014年建塔楼  -  科学城', '890万', '单价30585元/平米')
('https://image1.ljcdn.com/440100-inspection/0239b14f-5a5a-400e-874f-e06a61cb8dc2.jpg.296x216.jpg', '天虹花园 精装修南向两房 通风好', '天虹花园  | 2室1厅 | 56平米 | 东 东北 | 其他 | 无电梯', '高楼层(共9层)2006年建塔楼  -  区府', '163万', '单价29108元/平米')
('', '文船生活区新东区 3室2厅 220万', '文船生活区新东区  | 3室2厅 | 79.17平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1999年建板楼  -  区府', '220万', '单价27789元/平米')
('', '合景天峻广场 3室2厅 152万', '合景天峻广场  | 3室2厅 | 101.03平米 | 南 | 精装', '中楼层(共32层)塔楼  -  知识城', '152万', '单价15046元/平米')
('', '龙光香悦山别墅 精装房 通风采光性良好', '龙光香悦山   | 独栋别墅 | 7室4厅 | 284平米 | 南 北 | 其他 | 无电梯', '1层暂无数据  -  科学城', '950万', '单价33451元/平米')
('https://image1.ljcdn.com/440100-inspection/732d899b-92ab-4f6e-8587-5bcbefc6bfe7.jpg.296x216.jpg', '荔香花园 中楼层两房 格局方正 精装修', '荔香花园  | 2室2厅 | 79.2平米 | 南 | 简装 | 无电梯', '高楼层(共9层)1996年建塔楼  -  区府', '232万', '单价29293元/平米')
('https://image1.ljcdn.com/440100-inspection/6e3e4e40-1e7c-476c-b3cf-1e7ab04b7cb7.jpg.296x216.jpg', '证满5年 宏康花园 单边位 采光好', '宏康花园二期康晖苑  | 3室2厅 | 103.82平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)板楼  -  开发东区', '200万', '单价19265元/平米')
('https://image1.ljcdn.com/440100-inspection/ac84acc6-0c1c-4a3d-88d6-adb69789aff6.jpg.296x216.jpg', '中海誉城 精装修  南北对流三房', '中海誉城北苑  | 3室2厅 | 133.73平米 | 南 北 | 其他 | 有电梯', '高楼层(共33层)塔楼  -  科学城', '400万', '单价29912元/平米')
('https://image1.ljcdn.com/440100-inspection/ea9ac7b2-c520-44da-908c-67c096f1b349.jpg.296x216.jpg', '荔景园 南北对流 实用两房', '荔景园  | 2室2厅 | 89平米 | 南 北 | 精装 | 无电梯', '低楼层(共9层)1999年建塔楼  -  区府', '293.7万', '单价33000元/平米')
('', '东苑小区 中层东南向三房 交通便利', '东苑小区  | 3室2厅 | 121.2平米 | 南 北 | 简装 | 有电梯', '中楼层(共17层)2000年建塔楼  -  区府', '450万', '单价37129元/平米')
('', '合景天峻广场 精装南向1房 格局方正', '合景天峻广场  | 1室0厅 | 34.53平米 | 南 | 精装 | 有电梯', '低楼层(共25层)塔楼  -  知识城', '45万', '单价13033元/平米')
('', '龙光峰景华庭 南向三房 安静', '龙光峰景华庭  | 3室2厅 | 92.87平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2009年建塔楼  -  科学城', '270万', '单价29073元/平米')
('', '中鼎君和名城 精致两房 中高楼层', '中鼎君和名城  | 2室2厅 | 75平米 | 北 | 其他 | 有电梯', '中楼层(共34层)2015年建塔楼  -  区府', '325万', '单价43334元/平米')
('', '黄埔新村 电梯三房 厅出阳台 安静不吵', '黄埔新村一期  | 3室2厅 | 114.54平米 | 北 | 精装 | 有电梯', '中楼层(共9层)1997年建塔楼  -  区府', '300万', '单价26192元/平米')
('https://image1.ljcdn.com/440100-inspection/3b75661c-a215-4251-816c-759258a2bff2.jpg.296x216.jpg', '中海誉城南苑 电梯南向三房 户型方正', '中海誉城南苑  | 3室2厅 | 95.17平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2015年建塔楼  -  科学城', '280万', '单价29422元/平米')
('https://image1.ljcdn.com/440100-inspection/babb3600-6eb1-45fa-ac54-7ef539012822.jpg.296x216.jpg', '君合雅居 3室2厅 205万', '君合雅居  | 3室2厅 | 84.34平米 | 东南 | 其他 | 有电梯', '中楼层(共15层)2010年建塔楼  -  开发区', '205万', '单价24307元/平米')
('https://image1.ljcdn.com/440100-inspection/da7e5b8e-b61f-4fe6-911b-92eb164f9753.jpg.296x216.jpg', '东城华庭C栋 办公室公寓', '泰景花园东城华庭  | 1室0厅 | 47.4平米 | 东 | 其他 | 无电梯', '中楼层(共8层)2006年建塔楼  -  区府', '105万', '单价22152元/平米')
('', '中海誉城 精装三房 视野宽阔 电梯高层', '中海誉城北苑  | 3室2厅 | 124平米 | 南 北 | 其他 | 有电梯', '高楼层(共33层)塔楼  -  科学城', '360万', '单价29033元/平米')
('', '东城雅苑 高层四房 视野开阔', '东城雅苑  | 4室2厅 | 150平米 | 南 北 | 其他 | 无电梯', '高楼层(共21层)塔楼  -  开发东区', '240万', '单价16000元/平米')
('https://image1.ljcdn.com/440100-inspection/66ff23d1-c6ed-40cf-9201-5e551851502d.jpg.296x216.jpg', '丰逸尚居 房屋敞亮 户型方正 南向', '丰逸尚居  | 3室2厅 | 111.18平米 | 南 北 | 精装 | 有电梯', '高楼层(共29层)2012年建塔楼  -  区府', '348万', '单价31301元/平米')
('', '金逸雅居 精装电梯两房 交通便利', '金逸雅居  | 2室2厅 | 85平米 | 西北 | 精装 | 有电梯', '低楼层(共17层)2006年建塔楼  -  区府', '320万', '单价37648元/平米')
('https://image1.ljcdn.com/440100-inspection/7547c149-e4ce-42f2-93f8-7c292f08305f.jpg.296x216.jpg', '荔园小区 实用三房 采光好', '荔园小区  | 3室2厅 | 98平米 | 北 | 精装 | 无电梯', '低楼层(共9层)1995年建塔楼  -  区府', '335万', '单价34184元/平米')
('https://image1.ljcdn.com/440100-inspection/9f329aac-5c66-4d67-9363-849c779edf62.jpg.296x216.jpg', '科城山庄 精装修 户型方正 视野开阔', '科城山庄锦泽园  | 4室1厅 | 143.19平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2015年建塔楼  -  科学城', '680万', '单价47490元/平米')
('https://image1.ljcdn.com/440100-inspection/3acf38f5-da0b-45bc-aa8c-63881242b292.jpg.296x216.jpg', '省电力一局 少有放盘南向三房 框架结构 带主套', '省电力一局  | 3室2厅 | 93.57平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1990年建塔楼  -  开发区', '200万', '单价21375元/平米')
('https://image1.ljcdn.com/440100-inspection/9f6fad00-cdb2-496b-bd0e-cf17b474f1fc.jpg.296x216.jpg', '黄埔花园 电梯2房 户型方正', '黄埔花园  | 2室1厅 | 79.68平米 | 北 | 精装 | 有电梯', '低楼层(共14层)2011年建塔楼  -  区府', '320万', '单价40161元/平米')
('', '证满5年 金碧领秀 可明火 住宅式公寓', '金碧领秀国际  | 1室0厅 | 33.34平米 | 北 | 精装 | 有电梯', '中楼层(共33层)2007年建塔楼  -  区府', '180万', '单价53990元/平米')
('', '科城山庄复式五房 俯瞰园景  交通便利', '科城山庄锦泽园  | 5室2厅 | 270平米 | 南 北 | 其他 | 有电梯', '高楼层(共17层)2015年建塔楼  -  科学城', '1400万', '单价51852元/平米')
('', '海虹路,实用两房,环境好.', '海虹路  | 2室1厅 | 62.6平米 | 南 | 精装 | 无电梯', '中楼层(共4层)板楼  -  长洲岛', '150万', '单价23962元/平米')
('https://image1.ljcdn.com/440100-inspection/1be99655-cfca-4b3e-a6e0-43c447386ade.jpg.296x216.jpg', '荔园小区 格局方正 配套成熟', '荔园小区  | 3室2厅 | 102平米 | 南 | 精装 | 无电梯', '低楼层(共8层)1995年建塔楼  -  区府', '308万', '单价30197元/平米')
('https://image1.ljcdn.com/440100-inspection/1c104248-1a21-4c5a-9448-e48162b4406e.jpg.296x216.jpg', '实用舒适单位 配套完善', '港前路  | 2室1厅 | 53.35平米 | 东 | 其他 | 无电梯', '高楼层(共5层)1995年建板楼  -  区府', '155万', '单价29054元/平米')
('https://image1.ljcdn.com/440100-inspection/e5aa9d28-416a-4bb9-9af8-e608b0c803a4.jpg.296x216.jpg', '中鼎君和名城 电梯方正两房', '中鼎君和名城  | 2室2厅 | 76平米 | 北 | 其他 | 有电梯', '高楼层(共34层)2015年建塔楼  -  区府', '320万', '单价42106元/平米')
('https://image1.ljcdn.com/440100-inspection/fc741d7e-8acd-4657-9763-c6c767d7a196.jpg.296x216.jpg', '东苑小区 装修好 3房2厅 厅出阳台', '东苑小区  | 3室2厅 | 93.61平米 | 东南 | 精装 | 无电梯', '高楼层(共9层)2000年建塔楼  -  区府', '275万', '单价29378元/平米')
('https://image1.ljcdn.com/440100-inspection/1f2c8636-cc67-4902-a3f6-5324fde92422.jpg.296x216.jpg', '富域尚品居 中间楼层 南向三房', '富域尚品居  | 3室2厅 | 83平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2009年建塔楼  -  开发区', '240万', '单价28916元/平米')
('https://image1.ljcdn.com/440100-inspection/503b61b5-ff62-4d57-9cb3-9e708fcc3787.jpg.296x216.jpg', '怡园小区 温馨两房 方正实用 交通方便', '怡园小区  | 2室2厅 | 79.44平米 | 南 | 简装 | 无电梯', '中楼层(共8层)1992年建塔楼  -  区府', '300万', '单价37765元/平米')
('https://image1.ljcdn.com/440100-inspection/b48ab0c4-3a6e-46f9-8641-a76989581bc5.jpg.296x216.jpg', '万科东荟城 精装一房 采光通风好', '万科东荟城  | 1室1厅 | 50平米 | 西北 | 其他', '低楼层(共12层)塔楼  -  科学城', '125万', '单价25000元/平米')
('https://image1.ljcdn.com/440100-inspection/c304a648-d892-4345-95c2-1e102e2f1f23.jpg.296x216.jpg', '方正四房，南北通透，视野空旷，', '保利香雪山花园  | 4室2厅 | 144.35平米 | 南 | 精装 | 有电梯', '中楼层(共10层)2009年建板楼  -  科学城', '568万', '单价39349元/平米')
('https://image1.ljcdn.com/440100-inspection/7c3b34c9-0a17-4ad2-a2f3-53dac267fcb7.jpg.296x216.jpg', '精装南向三房 户型方正', '富域尚品居  | 3室2厅 | 82.92平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2009年建塔楼  -  开发区', '245万', '单价29547元/平米')
('', '中海誉城南苑 1室1厅 155万', '中海誉城南苑  | 1室1厅 | 52.69平米 | 西 | 其他 | 有电梯', '低楼层(共33层)2015年建塔楼  -  科学城', '155万', '单价29418元/平米')
('https://image1.ljcdn.com/440100-inspection/72be642f-be4e-451a-9cd9-1b591a9ff1dc.jpg.296x216.jpg', '金港花园 天伦东时区 电梯高层 精装两房', '金港花园  | 2室2厅 | 79.35平米 | 东北 | 精装 | 有电梯', '高楼层(共18层)2009年建塔楼  -  区府', '330万', '单价41588元/平米')
('https://image1.ljcdn.com/440100-inspection/e8cee084-fade-4bc9-bb19-034f765ebfbe.jpg.296x216.jpg', '金碧领秀 证过五年 无抵押 新装修保养好', '金碧领秀国际  | 1室0厅 | 39平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2007年建塔楼  -  区府', '178万', '单价45642元/平米')
('https://image1.ljcdn.com/440100-inspection/1220c960-b894-4cff-996e-4097fd67d089.jpg.296x216.jpg', '飞晟文汇广场 公寓 楼层佳 通风采光好', '飞晟文汇广场  | 4室2厅 | 135.6平米 | 南 | 其他', '高楼层(共18层)塔楼  -  科学城', '300万', '单价22124元/平米')
('https://image1.ljcdn.com/440100-inspection/9deb44c1-224c-49fe-9eaf-83cdf1f81386.jpg.296x216.jpg', '天虹花园电梯房  交通便利 看房方便', '天虹花园  | 2室2厅 | 56平米 | 北 | 简装 | 有电梯', '高楼层(共9层)1998年建塔楼  -  区府', '200万', '单价35715元/平米')
('https://image1.ljcdn.com/440100-inspection/b8059c8e-c051-4627-aa40-4f594c2de107.jpg.296x216.jpg', '悦涛雅苑 南向装修好 交通方便', '悦涛雅苑  | 4室2厅 | 114平米 | 南 | 简装 | 有电梯', '高楼层(共13层)2000年建塔楼  -  区府', '430万', '单价37720元/平米')
('https://image1.ljcdn.com/440100-inspection/e006589b-d3e8-4cf2-9971-98e0547685b6.jpg.296x216.jpg', '东苑小区 3室2厅 466万', '东苑小区  | 3室2厅 | 123.75平米 | 南 | 简装 | 有电梯', '低楼层(共17层)2000年建塔楼  -  区府', '466万', '单价37657元/平米')
('https://image1.ljcdn.com/440100-inspection/592f5885-b727-464b-a7c7-0384f6f79e2b.jpg.296x216.jpg', '宏康花园 3房2厅 220万元', '宏康花园四期康慧苑  | 3室2厅 | 102.05平米 | 南 北 | 简装', '中楼层(共7层)板楼  -  开发东区', '205万', '单价20089元/平米')
('', '中海誉城北苑 2室2厅 256万', '中海誉城北苑  | 2室2厅 | 83.95平米 | 南 | 精装 | 有电梯', '高楼层(共21层)塔楼  -  科学城', '256万', '单价30495元/平米')
('https://image1.ljcdn.com/440100-inspection/acaca2c5-f3e9-4ba0-a277-b06dea5bc225.jpg.296x216.jpg', '荔香路28号 区府楼', '荔香路  | 3室2厅 | 129.2平米 | 北 | 其他', '中楼层(共24层)塔楼  -  区府', '546万', '单价42261元/平米')
('', '金港花园 东时区 电梯中层 精装两房', '金港花园  | 2室2厅 | 78平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2009年建塔楼  -  区府', '330万', '单价42308元/平米')
('https://image1.ljcdn.com/440100-inspection/a276ca62-2ba2-4f59-b1fe-4ea5afca5035.jpg.296x216.jpg', '宏康花园 三房 南北通透', '宏康花园三期建鑫苑  | 3室2厅 | 90.57平米 | 南 | 精装', '高楼层(共7层)塔楼  -  开发东区', '172万', '单价18991元/平米')
('https://image1.ljcdn.com/440100-inspection/a16ed19c-6d20-4a6f-a31e-96c74fa0dc03.jpg.296x216.jpg', '菠萝庙船厂宿舍 正规1房1厅 安静', '菠萝庙船厂宿舍  | 1室1厅 | 39.62平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)塔楼  -  开发区', '78万', '单价19688元/平米')
('https://image1.ljcdn.com/440100-inspection/26f21e5d-e91e-4ba0-b5ef-8c0040387fd1.jpg.296x216.jpg', '海关大院 双阳台 通风采光好', '海关大院  | 3室2厅 | 100.71平米 | 南 | 精装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  区府', '350万', '单价34754元/平米')
('https://image1.ljcdn.com/440100-inspection/c66404da-1815-4f6f-8493-616f106bc060.jpg.296x216.jpg', '黄埔花园 精装修2房2厅', '黄埔花园  | 2室1厅 | 85.85平米 | 北 | 精装 | 有电梯', '中楼层(共15层)2011年建塔楼  -  区府', '340万', '单价39604元/平米')
('https://image1.ljcdn.com/440100-inspection/b46670dc-1b2f-41bf-9bd2-b9d03eecb633.jpg.296x216.jpg', '荔香花园 高层大三房 配套成熟', '荔香花园  | 3室2厅 | 118平米 | 南 北 | 简装 | 无电梯', '高楼层(共9层)1996年建塔楼  -  区府', '350万', '单价29662元/平米')
('https://image1.ljcdn.com/440100-inspection/daa50c5f-4022-4200-87ad-46688dc2117b.jpg.296x216.jpg', '金碧领秀国际 2室2厅 330万', '金碧领秀国际  | 2室2厅 | 80.7平米 | 北 | 精装 | 有电梯', '中楼层(共33层)2007年建塔楼  -  区府', '330万', '单价40893元/平米')
('https://image1.ljcdn.com/440100-inspection/a2a7d500-b6af-4ec0-82d2-358a07841957.jpg.296x216.jpg', '东城国际 公寓单间 可办公', '东城国际大厦  | 1室0厅 | 43平米 | 北 | 简装 | 有电梯', '中楼层(共30层)2008年建塔楼  -  区府', '90万', '单价20931元/平米')
('https://image1.ljcdn.com/440100-inspection/c9c10ae9-1b14-43c5-9a5d-d66cb1158b78.jpg.296x216.jpg', '沙埔远洋宿舍 框架两房 采光通风', '沙浦远洋宿舍  | 2室1厅 | 81平米 | 南 北 | 简装 | 无电梯', '高楼层(共9层)塔楼  -  区府', '168万', '单价20741元/平米')
('', '萝岗万达广场 1房0厅 82万元', '萝岗万达广场  | 1室0厅 | 41平米 | 东 | 其他', '高楼层(共28层)塔楼  -  科学城', '82万', '单价20000元/平米')
('https://image1.ljcdn.com/440100-inspection/d74d04db-a664-489b-9121-fa15478f4dec.jpg.296x216.jpg', '宝夏花园 夏园地铁南向俩房 楼龄新', '宝夏花园  | 2室2厅 | 83.69平米 | 南 | 其他', '低楼层(共22层)塔楼  -  开发区', '215万', '单价25691元/平米')
('https://image1.ljcdn.com/440100-inspection/7065200c-c756-4d6a-bdf5-5ae06f361596.jpg.296x216.jpg', '金碧领秀 南向单间 精致装修', '金碧领秀国际  | 1室1厅 | 39平米 | 南 北 | 精装 | 有电梯', '高楼层(共33层)2007年建塔楼  -  区府', '178万', '单价45642元/平米')
('https://image1.ljcdn.com/440100-inspection/e7fd1ba1-7dbb-4005-be2c-327e3067fce1.jpg.296x216.jpg', '保税广场 厅直出阳台 业主自住装修保养好', '保税广场  | 3室1厅 | 122平米 | 南 北 | 精装', '低楼层(共13层)塔楼  -  开发区', '305万', '单价25000元/平米')
('https://image1.ljcdn.com/440100-inspection/f3ceef96-903b-41be-9968-530899b2cc00.jpg.296x216.jpg', '温馨三房 户型方正 交通方便', '金碧世纪花园  | 3室2厅 | 100平米 | 北 | 其他 | 有电梯', '低楼层(共17层)2004年建塔楼  -  区府', '380万', '单价38000元/平米')
('https://image1.ljcdn.com/440100-inspection/94d88d84-a03d-4fd3-b818-da354ec816e3.jpg.296x216.jpg', '黄埔花园 高层大户型房子 安静不吵', '黄埔花园  | 4室2厅 | 174.26平米 | 东南 | 简装 | 有电梯', '中楼层(共24层)2011年建塔楼  -  区府', '750万', '单价43040元/平米')
('https://image1.ljcdn.com/440100-inspection/09f6d2f1-9f38-442c-bed7-35bd20d48071.jpg.296x216.jpg', '怡港花园 2室2厅 325万', '怡港花园  | 2室2厅 | 85.64平米 | 北 | 简装 | 有电梯', '中楼层(共11层)1999年建塔楼  -  区府', '325万', '单价37950元/平米')
('https://image1.ljcdn.com/440100-inspection/ecc95cc5-0259-4305-9426-8bbee764aecd.jpg.296x216.jpg', '东城华庭 精装修两房', '泰景花园东城华庭  | 2室1厅 | 77.9平米 | 北 | 精装 | 有电梯', '高楼层(共27层)2012年建塔楼  -  区府', '288万', '单价36971元/平米')
('https://image1.ljcdn.com/440100-inspection/a38c72fd-2b64-4469-8d21-40960aca2fcf.jpg.296x216.jpg', '怡港花园 南向两房 格局方正', '怡港花园  | 2室2厅 | 80平米 | 北 | 精装 | 有电梯', '中楼层(共11层)1999年建塔楼  -  区府', '328万', '单价41000元/平米')
('', '大壮国际广场 温馨公寓', '大壮国际广场  | 1室0厅 | 27.1平米 | 北 | 精装', '高楼层(共17层)塔楼  -  科学城', '55万', '单价20296元/平米')
('https://image1.ljcdn.com/440100-inspection/6e0e6356-65c4-4723-a4d8-ed90eb0b044b.jpg.296x216.jpg', '时代春树里 南向三房 精装修', '时代春树里  | 3室2厅 | 93平米 | 南 | 其他 | 有电梯', '低楼层(共26层)2016年建塔楼  -  科学城', '280万', '单价30108元/平米')
('', '雅居乐富春山居 南北对流四房 低楼层', '雅居乐富春山居  | 4室2厅 | 86.77平米 | 南 | 其他 | 有电梯', '低楼层(共9层)2014年建塔楼  -  科学城', '500万', '单价57624元/平米')
