('https://image1.ljcdn.com/210100-inspection/91925fd1-4c5c-4156-aa19-5bfdf4ebed4f.JPG.296x216.jpg', '金域蓝湾，小高层精装修，双南双北四室两厅', '万科金域蓝湾  | 4室2厅 | 176.47平米 | 南 北 | 精装', '中楼层(共11层)2009年建板楼  -  浑南新区', '290万', '单价16434元/平米')
('https://image1.ljcdn.com/210100-inspection/b143778a-ebb2-40a1-afd0-ab78d1dc01e2.jpg.296x216.jpg', '同方世纪大厦 1室1厅 43万', '同方世纪大厦  | 1室1厅 | 52.71平米 | 北 | 其他', '中楼层(共31层)2009年建板楼  -  浑南新区', '43万', '单价8158元/平米')
('https://image1.ljcdn.com/210100-inspection/dd4ba365-f3c7-4998-9da7-ccbd1836471e.jpg.296x216.jpg', '信达万科城(理想城) 3室2厅 105万', '信达万科城(理想城)  | 3室2厅 | 106.13平米 | 南 北 | 其他', '低楼层(共11层)暂无数据  -  浑南新区', '105万', '单价9894元/平米')
('https://image1.ljcdn.com/210100-inspection/764b9eab-c319-4e50-9f11-c6c72415bb7a.JPG.296x216.jpg', '万科金域蓝湾 三室户型 精装修 诚心出售', '万科金域蓝湾  | 3室2厅 | 164.94平米 | 南 北 | 精装', '中楼层(共29层)2009年建板楼  -  浑南新区', '280万', '单价16976元/平米')
('', '荣盛紫提东郡 3室2厅 100万', '荣盛紫提东郡  | 3室2厅 | 137.45平米 | 南 北 | 简装', '中楼层(共18层)暂无数据  -  浑南新区', '100万', '单价7276元/平米')
('https://image1.ljcdn.com/210100-inspection/6404913c-1d22-49aa-b057-df5108b93722.jpg.296x216.jpg', '万科新榆公馆 清水房 三室两厅两卫', '万科新榆公馆  | 3室2厅 | 119.41平米 | 南 北 | 毛坯', '中楼层(共6层)2008年建板楼  -  浑南新区', '115万', '单价9631元/平米')
('https://image1.ljcdn.com/210100-inspection/01e1d0da-c163-4234-8655-78c5efa0c51b.jpg.296x216.jpg', 'SR国际新城 1室1厅 65万', 'SR国际新城  | 1室1厅 | 89.79平米 | 西北 | 其他', '中楼层(共25层)2010年建板塔结合  -  浑南新区', '65万', '单价7240元/平米')
('https://image1.ljcdn.com/210100-inspection/cd5189d0-6e1c-4e13-b106-a5987dd115fe.jpg.296x216.jpg', '沿海国际中心 1室1厅 60万', '沿海国际中心  | 1室1厅 | 53.38平米 | 西 | 其他', '高楼层(共28层)2016年建板楼  -  浑南新区', '60万', '单价11241元/平米')
('https://image1.ljcdn.com/210100-inspection/9d55ba9c-4d4e-4b14-a60c-bb0c4af73650.JPG.296x216.jpg', '金地国际花园 三室 精装修  南北户型', '金地国际花园  | 3室2厅 | 119.03平米 | 南 北 | 精装', '中楼层(共25层)2007年建板楼  -  浑南新区', '170万', '单价14283元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload4def6442-3e85-47c2-85d3-9965bf378dcd.jpg.296x216.jpg', '名流三期浑南奥体南朝向精装修高楼层 一室', '名流印象三期  | 1室0厅 | 51.68平米 | 南 | 精装', '高楼层(共32层)2012年建板楼  -  浑南新区', '56万', '单价10836元/平米')
('https://image1.ljcdn.com/210100-inspection/676ec8ff-7bbc-4303-a8ba-1f5766dfa5f4.jpg.296x216.jpg', '金水花城  三阳户型  采光好  精装修', '金水花城二期  | 2室2厅 | 100.96平米 | 南 | 精装', '低楼层(共12层)2004年建板楼  -  浑南新区', '110万', '单价10896元/平米')
('', '其仕盛和祥 小高 楼层好  采光好', '其仕盛和祥  | 2室2厅 | 83平米 | 南 北 | 其他', '中楼层(共11层)2016年建板楼  -  浑南新区', '96万', '单价11567元/平米')
('https://image1.ljcdn.com/210100-inspection/90582315-ac93-4b26-8f6a-816a72602cdb.jpg.296x216.jpg', '浑南二十一世纪大厦 万科公寓 精装修', '万科明天广场  | 1室1厅 | 34平米 | 北 | 精装', '低楼层(共9层)板楼  -  浑南新区', '27万', '单价7942元/平米')
('https://image1.ljcdn.com/210100-inspection/48392b45-00da-4d51-be64-6495fc90b17b.jpg.296x216.jpg', '荣盛爱家郦都 1室1厅 76万', '荣盛爱家郦都  | 1室1厅 | 57平米 | 西南 | 其他', '低楼层(共32层)2012年建塔楼  -  浑南新区', '76万', '单价13334元/平米')
('https://image1.ljcdn.com/210100-inspection/fcf80b8b-a5ec-4ba5-8cd8-30a428c3670a.jpg.296x216.jpg', '浑南奥体 融城时代 精装三室 看房方便', '融城时代  | 3室2厅 | 155.59平米 | 南 北 | 其他', '中楼层(共18层)2006年建板塔结合  -  浑南新区', '140万', '单价8999元/平米')
('https://image1.ljcdn.com/210100-inspection/8c3cf048-f1b8-401e-a085-627b5a1c6d72.JPG.296x216.jpg', '浦江苑御品 2室2厅 156万', '浦江苑御品  | 2室2厅 | 120.18平米 | 南 北 | 其他', '中楼层(共18层)2014年建板楼  -  浑南新区', '156万', '单价12981元/平米')
('', '21平小户型，精装修，交通方便', '文华街三号院  | 1室0厅 | 20.08平米 | 北 | 精装', '高楼层(共30层)2012年建板楼  -  浑南新区', '24万', '单价11953元/平米')
('https://image1.ljcdn.com/210100-inspection/bf6cb8a4-5299-4acc-8b68-d0ab532bb804.jpg.296x216.jpg', '浑南 建大 文华街三号院 简单装修 带阁楼', '文华街三号院  | 5室2厅 | 116平米 | 南 北 | 其他', '高楼层(共30层)2012年建板楼  -  浑南新区', '150万', '单价12932元/平米')
('', '建筑大学  东侧 小一室采光好', '文华街三号院  | 1室1厅 | 41.39平米 | 南 | 其他', '高楼层(共30层)2012年建板楼  -  浑南新区', '36万', '单价8698元/平米')
('https://image1.ljcdn.com/210100-inspection/20ee021c-60f7-4e77-9e38-046c31d4a71c.JPG.296x216.jpg', '金地檀溪洋房清水三室 位置好 带地下室和车位南北花园', '金地檀溪  | 3室2厅 | 133.26平米 | 南 北 | 其他', '低楼层(共5层)2014年建板楼  -  浑南新区', '275万', '单价20637元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload23c78782-6041-4ea7-a594-d5b17848f954.jpg.296x216.jpg', '浑南 奥体 万科新榆公馆 精装两室 交通便利', '万科新榆公馆  | 2室1厅 | 71.03平米 | 南 西北 | 其他', '高楼层(共25层)板楼  -  浑南新区', '65万', '单价9152元/平米')
('https://image1.ljcdn.com/210100-inspection/713ac107-a7a8-4abf-991d-332432395eba.JPG.296x216.jpg', '浑南建筑大学 一居室 带花园 看房方便', '万科新里程  | 1室1厅 | 50.79平米 | 南 | 其他', '低楼层(共20层)2009年建板楼  -  浑南新区', '58万', '单价11420元/平米')
('', '伊湾尊府 2室2厅 95万', '伊湾尊府  | 2室2厅 | 106平米 | 南 北 | 其他', '低楼层(共19层)2010年建板楼  -  浑南新区', '95万', '单价8963元/平米')
('https://image1.ljcdn.com/210100-inspection/e1154af0-7c7a-4b44-8f85-47dfb5819b2b.jpg.296x216.jpg', '世纪大厦万科公寓精装小户型拎包入住', '万科明天广场  | 1室0厅 | 32.86平米 | 南 | 精装', '中楼层(共9层)板楼  -  浑南新区', '32万', '单价9739元/平米')
('https://image1.ljcdn.com/210100-inspection/7fab052f-510e-42ea-a8df-a17d4e31c3b5.JPG.296x216.jpg', '浑南奥体一室 采光好  东亚国际城 交通便利 建大旁', '东亚国际城  | 1室1厅 | 58平米 | 南 | 简装', '低楼层(共28层)2010年建板塔结合  -  浑南新区', '52万', '单价8966元/平米')
('https://image1.ljcdn.com/210100-inspection/ca3e9d7f-e6e6-44d1-9488-42a2634ac26b.JPG.296x216.jpg', '万科金域蓝湾 3室2厅 270万', '万科金域蓝湾  | 3室2厅 | 147平米 | 南 北 | 其他', '低楼层(共29层)2009年建板楼  -  浑南新区', '270万', '单价18368元/平米')
('https://image1.ljcdn.com/210100-inspection/b9fbde62-273c-49f9-ae49-6200a2f15dfb.jpg.296x216.jpg', '视野开阔 采光充足  配套实施齐全  交通便利', '百荷湾  | 3室2厅 | 102.5平米 | 南 北 | 精装', '高楼层(共6层)2010年建板楼  -  浑南新区', '81万', '单价7903元/平米')
('', '其仕盛和祥 3室2厅 130万', '其仕盛和祥  | 3室2厅 | 72.86平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  浑南新区', '130万', '单价17843元/平米')
('https://image1.ljcdn.com/210100-inspection/264dbc62-b82c-496f-a723-b1884fc46c42.jpg.296x216.jpg', '富力国际别墅 4室3厅 288万', '富力国际别墅   | 联排别墅 | 4室3厅 | 252平米 | 东 南 西 北 | 精装', '3层2010年建板楼  -  浑南新区', '288万', '单价11429元/平米')
('', '月星 3室1厅 93万', '月星  | 3室1厅 | 80.45平米 | 南 北 | 其他', '高楼层(共31层)板楼  -  浑南新区', '93万', '单价11560元/平米')
('https://image1.ljcdn.com/210100-inspection/90a82acc-7859-44a9-aa44-4c161cb879ba.jpg.296x216.jpg', '长白岛 格林英郡 精装两居室 满两年 随时看房', '格林英郡  | 2室1厅 | 72.8平米 | 南 | 其他', '中楼层(共33层)2004年建板楼  -  浑南新区', '78万', '单价10715元/平米')
('https://image1.ljcdn.com/210100-inspection/68864ab2-d222-46d8-b507-6d9b25a305b7.jpg.296x216.jpg', '浑南奥体世纪大厦商圈金地一楼带花园', '金地锦城西区  | 2室2厅 | 90.07平米 | 南 北 | 其他', '低楼层(共27层)2015年建板楼  -  浑南新区', '120万', '单价13323元/平米')
('https://image1.ljcdn.com/210100-inspection/7cb1814e-297b-4c43-aff5-9846f755536c.jpg.296x216.jpg', '月星 4室2厅 170万', '月星  | 4室2厅 | 145.63平米 | 南 北 | 毛坯', '低楼层(共5层)板楼  -  浑南新区', '170万', '单价11674元/平米')
('', '百荷湾 2室1厅 63万', '百荷湾  | 2室1厅 | 68.86平米 | 南 | 其他', '高楼层(共6层)板楼  -  浑南新区', '63万', '单价9149元/平米')
('https://image1.ljcdn.com/210100-inspection/8c10dddd-b360-4f3a-b924-10a76cd208c5.jpg.296x216.jpg', '隆河谷 奢华别墅 坐拥新市府自贸区商圈 邻近4号线', '隆河谷  | 4室2厅 | 223.65平米 | 南 北 | 毛坯', '低楼层(共2层)暂无数据  -  浑南新区', '215万', '单价9614元/平米')
('https://image1.ljcdn.com/210100-inspection/15c9f447-bc89-4228-b134-271d777ce83f.jpg.296x216.jpg', '富腾国际 1室1厅 49万', '富腾国际  | 1室1厅 | 68.08平米 | 南 | 其他', '中楼层(共20层)2006年建塔楼  -  浑南新区', '49万', '单价7198元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload2eb6ceb3-85fc-48ba-bddd-873863568038.jpg.296x216.jpg', '万科新里程 3室2厅 150万', '万科新里程  | 3室2厅 | 133.44平米 | 东 南 北 | 其他', '高楼层(共22层)2009年建板楼  -  浑南新区', '150万', '单价11242元/平米')
('https://image1.ljcdn.com/210100-inspection/55ce699f-89dc-47fd-a9da-12b404bb574e.JPG.296x216.jpg', '泰荣湾 2室2厅 84万', '泰荣湾  | 2室2厅 | 69平米 | 南 | 其他', '低楼层(共15层)2010年建板楼  -  浑南新区', '84万', '单价12174元/平米')
('', '府城铭邸 2室2厅 85万', '府城铭邸  | 2室2厅 | 86.21平米 | 南 北 | 其他', '中楼层(共27层)2016年建板楼  -  浑南新区', '85万', '单价9860元/平米')
('https://image1.ljcdn.com/210100-inspection/ad7c7cd9-0755-49a3-bf33-25a5d1d313ec.JPG.296x216.jpg', '绿城全运村百合苑A区 南北通透 中间楼层', '绿城沈阳全运村·百合苑A区  | 2室2厅 | 93.94平米 | 南 北 | 精装', '中楼层(共11层)2012年建板楼  -  浑南新区', '140万', '单价14904元/平米')
('https://image1.ljcdn.com/210100-inspection/c81eaeda-92f0-4fb2-9508-7ebfeaaa2958.jpg.296x216.jpg', '急售盛天家苑2室2厅好楼层南北通透户型方正精装修', '盛天家苑  | 2室2厅 | 122.23平米 | 南 北 | 简装', '中楼层(共6层)2006年建板楼  -  浑南新区', '70万', '单价5727元/平米')
('https://image1.ljcdn.com/210100-inspection/2e90bb0e-1863-40f7-85d1-9082a50c3786.jpg.296x216.jpg', '格林英郡 2室2厅 76万', '格林英郡  | 2室2厅 | 76.39平米 | 南 | 其他', '低楼层(共33层)2004年建板楼  -  浑南新区', '76万', '单价9949元/平米')
('https://image1.ljcdn.com/210100-inspection/864c75e9-bb1d-40e2-a357-eb9e3fec50f3.jpg.296x216.jpg', '浑南奥体 沿海赛洛城 精装修 采光好 交通便利', '沿海赛洛城  | 1室1厅 | 53.73平米 | 东 | 其他', '低楼层(共33层)2012年建板塔结合  -  浑南新区', '53万', '单价9865元/平米')
('https://image1.ljcdn.com/210100-inspection/a981f98d-f5a2-4f8c-b441-905fe0cc1da4.JPG.296x216.jpg', '格林馨港湾 2室1厅 110万', '格林馨港湾  | 2室1厅 | 82.58平米 | 南 北 | 其他', '低楼层(共33层)2014年建板楼  -  浑南新区', '110万', '单价13321元/平米')
('', '金地长青湾 6室2厅 750万', '金地长青湾  | 6室2厅 | 343.4平米 | 南 北 | 其他', '低楼层(共3层)暂无数据  -  浑南新区', '750万', '单价21841元/平米')
('', '中海 一楼赠75平花园 两室南北通透 小高层', '中海康城橙郡  | 2室1厅 | 86.34平米 | 南 北 | 毛坯', '低楼层(共18层)板楼  -  浑南新区', '120万', '单价13899元/平米')
('', '急售60万 清水房房主包税 阁楼+露台', '艾格尔e会展  | 2室2厅 | 73.19平米 | 南 北 | 毛坯', '高楼层(共6层)2012年建板楼  -  浑南新区', '60万', '单价8198元/平米')
('https://image1.ljcdn.com/210100-inspection/dad36438-9841-4b2a-93d1-2b3849c6ba70.jpg.296x216.jpg', '华茂中心 3室2厅 179万', '华茂中心  | 3室2厅 | 137平米 | 南 北 | 其他', '中楼层(共11层)板楼  -  浑南新区', '179万', '单价13066元/平米')
('https://image1.ljcdn.com/210100-inspection/92145cb4-7dd3-4dcd-9040-f6d7385867dc.JPG.296x216.jpg', '浑南新区 建筑大学旁 品质园区 精装修', '金地长青湾  | 3室2厅 | 175.93平米 | 南 北 | 精装', '中楼层(共26层)2011年建板楼  -  浑南新区', '260万', '单价14779元/平米')
('', '中海康城橙郡 2室2厅 108万', '中海康城橙郡  | 2室2厅 | 83.91平米 | 南 北 | 其他', '中楼层(共19层)暂无数据  -  浑南新区', '108万', '单价12871元/平米')
('https://image1.ljcdn.com/210100-inspection/9340d5ef-a88a-46e3-8d93-e9a12db0af4e.JPG.296x216.jpg', '河畔新城二三期 4室3厅 168万', '河畔新城二三期  | 4室3厅 | 168平米 | 南 北 | 简装', '高楼层(共6层)2007年建板楼  -  浑南新区', '168万', '单价10000元/平米')
('', '华茂中心 4室3厅 282万', '华茂中心  | 4室3厅 | 163.98平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  浑南新区', '282万', '单价17198元/平米')
('https://image1.ljcdn.com/210100-inspection/e6654112-1208-4f5c-b16e-d48ffa76247d.jpg.296x216.jpg', 'SR国际新城 1室1厅 47万', 'SR国际新城  | 1室1厅 | 62平米 | 西 | 其他', '低楼层(共25层)2009年建板塔结合  -  浑南新区', '47万', '单价7581元/平米')
('https://image1.ljcdn.com/210100-inspection/2535a321-cd08-46e4-acd7-4e9e752d0e61.jpg.296x216.jpg', '信达理想城 一楼带花园 南北两室 清水现房', '信达理想城二期  | 2室2厅 | 98平米 | 南 北 | 其他', '低楼层(共6层)暂无数据  -  浑南新区', '120万', '单价12245元/平米')
('https://image1.ljcdn.com/210100-inspection/83a73470-cdbd-4141-ace4-4b3f0313c501.jpg.296x216.jpg', '沿海赛洛城 精装修一室 房主诚心 看房方便', '沿海赛洛城  | 1室0厅 | 53.73平米 | 西 | 精装', '高楼层(共33层)2012年建板塔结合  -  浑南新区', '50万', '单价9306元/平米')
('https://image1.ljcdn.com/210100-inspection/e23f5c0e-e5a1-412a-a7bb-d9f05490a8a4.jpg.296x216.jpg', 'SR国际新城 2室1厅 96万', 'SR国际新城  | 2室1厅 | 91.08平米 | 南 | 其他', '中楼层(共32层)2009年建塔楼  -  浑南新区', '96万', '单价10541元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload43364b21-8d15-4819-b794-39d547e36296.JPG.296x216.jpg', '文华街三号院 1室0厅 20万', '文华街三号院  | 1室0厅 | 21平米 | 北 | 简装', '高楼层(共30层)2012年建板楼  -  浑南新区', '20万', '单价9524元/平米')
('https://image1.ljcdn.com/210100-inspection/e732d89d-b30e-408d-9920-4a4f2843971e.JPG.296x216.jpg', '荣盛紫提东郡正规南向一居室，精装修看房方便', '荣盛紫提东郡  | 1室1厅 | 72.85平米 | 南 | 其他', '中楼层(共27层)2018年建板楼  -  浑南新区', '65万', '单价8923元/平米')
('', '金地艺境 2室1厅 88万', '金地艺境  | 2室1厅 | 84.5平米 | 南 北 | 其他', '中楼层(共5层)板楼  -  浑南新区', '88万', '单价10415元/平米')
('https://image1.ljcdn.com/210100-inspection/8f5a37ef-cc96-4a92-8eab-7c2129604447.jpg.296x216.jpg', '唯美品格 3室2厅 80万', '唯美品格  | 3室2厅 | 94平米 | 南 北 | 其他', '高楼层(共5层)板楼  -  浑南新区', '80万', '单价8511元/平米')
('https://image1.ljcdn.com/210100-inspection/0c4cc652-9305-4cd3-910d-6f90a82599bd.jpg.296x216.jpg', '万科新榆公馆 精装修复式2室 看房方便 家电可议', '万科新榆公馆  | 2室2厅 | 84.88平米 | 南 | 精装', '中楼层(共11层)2008年建板楼  -  浑南新区', '72万', '单价8483元/平米')
('https://image1.ljcdn.com/210100-inspection/4a468249-389f-4aae-97be-dc4d942fe6aa.jpg.296x216.jpg', '浑南新区 首创国际城 2室简单装修中间户不把山采光好', '首创国际城  | 2室2厅 | 91.43平米 | 南 | 其他', '高楼层(共34层)2010年建板楼  -  浑南新区', '110万', '单价12032元/平米')
('', '格林英郡 2室1厅 73万', '格林英郡  | 2室1厅 | 69平米 | 东 南 北 | 其他', '高楼层(共11层)板楼  -  浑南新区', '73万', '单价10580元/平米')
('https://image1.ljcdn.com/210100-inspection/63b64ebe-aaf2-43bd-97be-04079524a258.jpg.296x216.jpg', '绿城全运村翡翠A四室洋房，中间楼层不挡光赠送车位', '绿城全运村翡翠园A区  | 4室2厅 | 297.48平米 | 南 北 | 精装', '中楼层(共5层)2012年建板楼  -  浑南新区', '520万', '单价17481元/平米')
('', '融城时代 4室2厅 158万', '融城时代  | 4室2厅 | 181.9平米 | 南 北 | 其他', '高楼层(共18层)2006年建板塔结合  -  浑南新区', '158万', '单价8687元/平米')
('https://image1.ljcdn.com/210100-inspection/9e4d064f-0b89-436d-8bc1-fd3ddad7d86f.jpg.296x216.jpg', 'SR国际新城 3室2厅 128万', 'SR国际新城  | 3室2厅 | 131平米 | 南 北 | 其他', '中楼层(共32层)2009年建塔楼  -  浑南新区', '128万', '单价9771元/平米')
('https://image1.ljcdn.com/210100-inspection/b24b2f00-240c-4644-b1f0-e8529b8c3ffa.JPG.296x216.jpg', '浑南区 奥体 金地 万科 格林 华发 伊湾尊府小区', '伊湾尊府  | 4室2厅 | 144平米 | 南 北 | 其他', '高楼层(共11层)2010年建板楼  -  浑南新区', '136万', '单价9445元/平米')
('https://image1.ljcdn.com/210100-inspection/775592f6-113c-4a28-806e-c7191ca86626.JPG.296x216.jpg', '华发清水小户型紧挨地铁2号线万达广场', '华发首府  | 1室0厅 | 53.18平米 | 西 | 其他', '高楼层(共32层)2015年建塔楼  -  浑南新区', '71万', '单价13351元/平米')
('https://image1.ljcdn.com/210100-inspection/d0a26ccf-baa5-4e3c-bdb8-923eccca33a7.JPG.296x216.jpg', '东亚国际城 3室2厅 130万', '东亚国际城  | 3室2厅 | 128.63平米 | 南 北 | 其他', '高楼层(共18层)2010年建板塔结合  -  浑南新区', '130万', '单价10107元/平米')
('https://image1.ljcdn.com/210100-inspection/dad33a79-9418-4f21-9d76-2683071d6a60.JPG.296x216.jpg', '浑南 奥体 营盘 SR国际新城开间精装修', 'SR国际新城  | 1室0厅 | 61.02平米 | 西 | 其他', '中楼层(共25层)2009年建板塔结合  -  浑南新区', '45万', '单价7375元/平米')
('https://image1.ljcdn.com/210100-inspection/b33c4e5c-5623-46e9-858a-01f8effe6dd2.JPG.296x216.jpg', '格林馨港湾 1室1厅 76万', '格林馨港湾  | 1室1厅 | 63平米 | 南 | 其他', '低楼层(共33层)2014年建板楼  -  浑南新区', '76万', '单价12064元/平米')
('', '正大江南水乡一期 1室0厅 58万', '正大江南水乡一期  | 1室0厅 | 61平米 | 南 | 其他', '中楼层(共32层)2008年建板楼  -  浑南新区', '58万', '单价9509元/平米')
('https://image1.ljcdn.com/210100-inspection/08d25840-a10c-40f5-bb76-0b5d84b94197.jpg.296x216.jpg', '廊桥国际 2室2厅 75万', '廊桥国际  | 2室2厅 | 65平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  浑南新区', '75万', '单价11539元/平米')
('https://image1.ljcdn.com/210100-inspection/2144375a-cd09-4eb6-8a4e-1fc50c86fbf0.JPG.296x216.jpg', '浑南 河畔新城 精装修 3室 南北通透 拎包即住 带露台', '河畔新城四期  | 2室2厅 | 115平米 | 南 北 | 简装', '低楼层(共15层)2007年建板楼  -  浑南新区', '143.8万', '单价12500元/平米')
('https://image1.ljcdn.com/210100-inspection/a6b83716-157f-4e68-b85f-8c7c7dc56a6f.jpg.296x216.jpg', '急售 百荷湾南北户型 采光好 带装修 满两年', '百荷湾  | 3室2厅 | 89.5平米 | 南 北 | 其他', '低楼层(共6层)2010年建板楼  -  浑南新区', '91万', '单价10168元/平米')
('https://image1.ljcdn.com/210100-inspection/f123958a-1c90-4ce4-91be-b498b509f820.jpg.296x216.jpg', '浑南21世纪大厦 金地锦城 两室', '金地锦城西区  | 2室1厅 | 75平米 | 西北 | 毛坯', '低楼层(共28层)2015年建板楼  -  浑南新区', '82万', '单价10934元/平米')
('https://image1.ljcdn.com/210100-inspection/9da70119-46f7-4b85-8dcc-1ce797e11a6d.jpg.296x216.jpg', '百荷湾 2室2厅 80万', '百荷湾  | 2室2厅 | 88.78平米 | 南 北 | 其他', '中楼层(共6层)2010年建板楼  -  浑南新区', '80万', '单价9012元/平米')
('https://image1.ljcdn.com/210100-inspection/f75dd44a-d610-4d44-8d38-0377083581fa.jpg.296x216.jpg', '浑南 碧桂园公园里 洋房 精装三室 没住过人 南北通透', '碧桂园公园里  | 3室1厅 | 88.9平米 | 南 北 | 其他', '中楼层(共6层)2016年建板楼  -  浑南新区', '102万', '单价11474元/平米')
('https://image1.ljcdn.com/210100-inspection/223187a5-32ff-436f-b633-ca64e75e5325.jpg.296x216.jpg', '沿海赛洛城 2室2厅 110万', '沿海赛洛城  | 2室2厅 | 109.5平米 | 南 西 | 其他', '中楼层(共33层)2012年建板塔结合  -  浑南新区', '110万', '单价10046元/平米')
('https://image1.ljcdn.com/210100-inspection/bca08b88-64fb-4f0a-973c-ef659a446e64.JPG.296x216.jpg', '浑南奥体 SR国际新城 精装修 看房方便', 'SR国际新城  | 1室1厅 | 89平米 | 东北 | 其他', '中楼层(共25层)2010年建板塔结合  -  浑南新区', '65万', '单价7304元/平米')
('https://image1.ljcdn.com/210100-inspection/fb3dc917-137d-4946-82d6-76e2936da7d4.jpg.296x216.jpg', '佰代宜居精装修 标准南北两居室', '新华佰代宜居  | 2室1厅 | 101平米 | 南 北 | 其他', '低楼层(共11层)2009年建板楼  -  浑南新区', '125万', '单价12377元/平米')
('https://image1.ljcdn.com/210100-inspection/93026a69-aec7-4a6e-8b29-835e42bc5957.JPG.296x216.jpg', '奥体商圈 荣盛爱家郦都 精装一室 拎包就住', '荣盛爱家郦都  | 1室0厅 | 46.23平米 | 东 | 其他', '中楼层(共32层)2012年建塔楼  -  浑南新区', '54万', '单价11681元/平米')
('https://image1.ljcdn.com/210100-inspection/2e3e3803-282a-4f6b-8219-878a3a1b36d4.jpg.296x216.jpg', '郡原小石城 万科物业 交通便利 被套齐全', '郡原小石城  | 1室1厅 | 59.08平米 | 南 | 其他', '中楼层(共5层)暂无数据  -  浑南新区', '55万', '单价9310元/平米')
('https://image1.ljcdn.com/210100-inspection/fa689bc3-8fd9-420c-8a9b-d92fc6018298.JPG.296x216.jpg', '金水花城一期 4室2厅 150万', '金水花城一期  | 4室2厅 | 240平米 | 南 北 | 其他', '低楼层(共33层)2005年建塔楼  -  浑南新区', '150万', '单价6250元/平米')
('https://image1.ljcdn.com/210100-inspection/3055eb5f-710e-4804-a942-8bd509bd12a3.jpg.296x216.jpg', '华茂中心 2室1厅 88万', '华茂中心  | 2室1厅 | 74.5平米 | 西南 | 其他', '高楼层(共31层)板楼  -  浑南新区', '88万', '单价11813元/平米')
('https://image1.ljcdn.com/210100-inspection/1a2cf679-b91f-44f2-94b1-b45af70c1641.jpg.296x216.jpg', '浑南 君海朗郡 两室南向 精装 可直接入住', '君海朗郡  | 2室1厅 | 58.64平米 | 西 | 其他', '高楼层(共17层)暂无数据  -  浑南新区', '39万', '单价6651元/平米')
('https://image1.ljcdn.com/210100-inspection/2fd3b796-78cc-4738-80eb-b2b49cc99fb0.JPG.296x216.jpg', '中房金河花园中间小高层 把东山 南北三室两卫', '中房金河花园  | 3室2厅 | 137.42平米 | 南 北 | 其他', '中楼层(共11层)2007年建板楼  -  浑南新区', '155万', '单价11280元/平米')
('', '塞纳家园 2室1厅 60万', '塞纳家园  | 2室1厅 | 60平米 | 南 | 其他', '中楼层(共11层)2011年建板楼  -  浑南新区', '60万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/44244de6-1ab6-41c5-905d-984bd9a587f8.jpg.296x216.jpg', '浑南奥体 金地滨河国际悦城 南向精装修 1室 拎包即住', '金地滨河国际·悦城  | 1室0厅 | 56平米 | 南 | 简装', '高楼层(共31层)2010年建板塔结合  -  浑南新区', '70万', '单价12500元/平米')
('https://image1.ljcdn.com/210100-inspection/c641b382-5c41-48e1-966d-fd535a198540.jpg.296x216.jpg', '一楼带花园 园区中间不临街 标准南北通透户型简单装修', '中房金河花园  | 2室2厅 | 103平米 | 南 北 | 其他', '低楼层(共7层)2007年建板楼  -  浑南新区', '120万', '单价11651元/平米')
('https://image1.ljcdn.com/210100-inspection/9cbb8c0e-8b2d-4fb2-b1ed-525dab2f9287.JPG.296x216.jpg', '浑南 格林英郡 精装两室 采光好 保持的好 看房方便', '格林英郡  | 2室1厅 | 81.11平米 | 南 | 其他', '低楼层(共33层)板楼  -  浑南新区', '80万', '单价9864元/平米')
('https://image1.ljcdn.com/210100-inspection/b6b25983-511c-4477-95bb-edade3e9bfd2.JPG.296x216.jpg', '香堤湾  小户型 配套齐全  采光充足', '香堤湾  | 1室1厅 | 54平米 | 南 | 其他', '高楼层(共33层)2008年建板楼  -  浑南新区', '52万', '单价9630元/平米')
('', '采光好，赠送面积大 白塔商圈 配套齐全 交通便利', '阳光新嘉园  | 2室2厅 | 80.8平米 | 南 北 | 其他', '高楼层(共7层)2003年建板楼  -  浑南新区', '53万', '单价6560元/平米')
('https://image1.ljcdn.com/210100-inspection/da0b9044-25d0-46eb-b83f-0b8ad4ea74a1.JPG.296x216.jpg', '建筑大学 小户型 简单装修 一室', '文华街三号院  | 1室0厅 | 20.07平米 | 北 | 简装', '低楼层(共30层)2012年建板楼  -  浑南新区', '19万', '单价9467元/平米')
('https://image1.ljcdn.com/210100-inspection/2da2e58a-1a8e-4ec7-a8a9-44cf38617060.jpg.296x216.jpg', '沿海国际中心 1室1厅 66万', '沿海国际中心  | 1室1厅 | 53.88平米 | 西北 | 其他', '高楼层(共28层)2016年建塔楼  -  浑南新区', '66万', '单价12250元/平米')
('https://image1.ljcdn.com/210100-inspection/0b3d0382-c4b9-4e44-842a-d6af5f916c66.JPG.296x216.jpg', '浑南东塔桥荣盛紫提东郡 精装两室户型 楼层好 视野好', '荣盛紫提东郡  | 2室1厅 | 80.95平米 | 南 | 精装', '低楼层(共27层)板楼  -  浑南新区', '68万', '单价8401元/平米')
