('https://image1.ljcdn.com/210100-inspection/63801fa1-218a-4288-aaf2-7fbd0644fe5d.JPG.296x216.jpg', '南风雅苑 3室2厅 102万', '南风雅苑  | 3室2厅 | 119.72平米 | 东 南 北 | 其他', '低楼层(共6层)2000年建板楼  -  铁西区', '102万', '单价8520元/平米')
('https://image1.ljcdn.com/210100-inspection/274ea421-c9a9-4232-a573-dd84a42f0422.jpg.296x216.jpg', '浅草绿阁六期 精装两室 南北通透 把西山', '浅草绿阁六期枫丹白露  | 2室1厅 | 89.35平米 | 南 西 北 | 其他', '中楼层(共9层)2007年建板楼  -  铁西区', '136万', '单价15222元/平米')
('https://image1.ljcdn.com/210100-inspection/d68f16ce-9e10-4593-98aa-a54e9626dfd9.jpg.296x216.jpg', '宏伟金都 2室2厅 110万', '宏伟金都  | 2室2厅 | 103平米 | 南 北 | 其他', '中楼层(共6层)2007年建板塔结合  -  铁西区', '110万', '单价10680元/平米')
('https://image1.ljcdn.com/210100-inspection/36e868ea-6e01-47f8-af2a-5987720d1acd.jpg.296x216.jpg', '金地名京一期 3室2厅 165万', '金地名京一期  | 3室2厅 | 117.48平米 | 东 南 北 | 其他', '低楼层(共31层)2012年建板楼  -  铁西区', '165万', '单价14045元/平米')
('https://image1.ljcdn.com/210100-inspection/53534640-4c69-46f4-a3b8-87cb7e2a4e3d.jpg.296x216.jpg', '第壹城 精装修 拎包住交通便利', '第一城A组团  | 2室2厅 | 100.6平米 | 南 北 | 其他', '中楼层(共24层)2008年建板塔结合  -  铁西区', '118万', '单价11730元/平米')
('https://image1.ljcdn.com/210100-inspection/083f9b14-3445-48f3-a072-b688af71a23d.jpg.296x216.jpg', '美好愿景 2室1厅 81万', '美好愿景  | 2室1厅 | 91.43平米 | 东北 | 其他', '中楼层(共27层)板楼  -  铁西区', '81万', '单价8860元/平米')
('https://image1.ljcdn.com/210100-inspection/45b7877b-a617-436f-8956-7140a2539434.jpg.296x216.jpg', '保利百合花园北园 2室2厅 130万', '保利百合花园北园  | 2室2厅 | 101.92平米 | 南 北 | 其他', '低楼层(共18层)2009年建板楼  -  铁西区', '130万', '单价12756元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload264c1a5b-cee6-4dd8-8c81-2e9cd988e10a.jpg.296x216.jpg', '君临天下梧桐别院 双阳户型 西明厅  中间楼层', '君临天下梧桐别院  | 2室1厅 | 87.24平米 | 南 西 | 其他', '中楼层(共18层)2006年建板楼  -  铁西区', '70万', '单价8024元/平米')
('https://image1.ljcdn.com/210100-inspection/c0c0da05-4f57-4e5b-adaa-5aeb0697cbd0.jpg.296x216.jpg', '第一城D组团 1室0厅 45万', '第一城D组团  | 1室0厅 | 45平米 | 西 | 其他', '高楼层(共30层)2008年建板塔结合  -  铁西区', '45万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload50b40b2f-7d90-433a-af49-961fd2389002.JPG.296x216.jpg', '云峰街 北二路 鑫丰国际 视野好', '鑫丰国际  | 1室0厅 | 37.01平米 | 西 | 其他', '高楼层(共27层)2007年建板楼  -  铁西区', '25万', '单价6755元/平米')
('https://image1.ljcdn.com/210100-inspection/3a1337ec-4749-4513-9d9e-25b7c72dce67.JPG.296x216.jpg', '楼层高视野开阔，采光充足，交通便利，封闭园区。', '华润置地公馆  | 2室2厅 | 188.94平米 | 东 | 其他', '中楼层(共38层)2015年建板楼  -  铁西区', '265万', '单价14026元/平米')
('https://image1.ljcdn.com/210100-inspection/bafb6ef8-924d-4bdf-8036-f04521f6c1bd.jpg.296x216.jpg', '巴塞罗那二期 2室2厅 110万', '巴塞罗那二期  | 2室2厅 | 76平米 | 南 北 | 其他', '高楼层(共24层)2008年建板楼  -  铁西区', '110万', '单价14474元/平米')
('https://image1.ljcdn.com/210100-inspection/a03ce06c-9a0f-49cf-9f92-3e31935ae2de.jpg.296x216.jpg', '荣城花园 2室1厅 81万', '荣城花园  | 2室1厅 | 83平米 | 南 北 | 其他', '中楼层(共6层)2004年建板楼  -  铁西区', '81万', '单价9760元/平米')
('https://image1.ljcdn.com/210100-inspection/819af3d4-da46-4fbf-a860-d0cd103f29a3.jpg.296x216.jpg', '馨馨家园 2室2厅 74万', '馨馨家园  | 2室2厅 | 122.26平米 | 南 | 其他', '中楼层(共20层)板楼  -  铁西区', '74万', '单价6053元/平米')
('https://image1.ljcdn.com/210100-inspection/044d4f95-f8a1-42e5-811f-c7ee3b9c71fd.jpg.296x216.jpg', '金地名京四期 3室5厅 600万', '金地名京四期  | 3室5厅 | 167.63平米 | 南 北 | 其他', '低楼层(共5层)2012年建板楼  -  铁西区', '600万', '单价35794元/平米')
('https://image1.ljcdn.com/210100-inspection/8a7c8c67-ce0d-48bb-a39b-e3162a575a81.jpg.296x216.jpg', '金地名京一期 3室2厅 430万', '金地名京一期  | 3室2厅 | 209.81平米 | 南 北 | 其他', '高楼层(共6层)2012年建板楼  -  铁西区', '430万', '单价20495元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload86c613dc-7880-4054-b353-40d091de64a4.jpg.296x216.jpg', '恒润御林湾 1室1厅 53万', '恒润御林湾  | 1室1厅 | 56.63平米 | 西北 | 其他', '低楼层(共18层)2009年建板楼  -  铁西区', '53万', '单价9359元/平米')
('https://image1.ljcdn.com/210100-inspection/47cbd50a-c254-4395-bf0c-2fade632a738.jpg.296x216.jpg', '万达广场C组团 1室1厅 45万', '万达广场C组团  | 1室1厅 | 46.78平米 | 南 | 其他', '中楼层(共33层)2011年建板楼  -  铁西区', '45万', '单价9620元/平米')
('https://image1.ljcdn.com/210100-inspection/e530fd12-684e-43fa-adb3-2875eab4dd4b.jpg.296x216.jpg', '新湖中国印象 地下车库 房主诚心出售', '新湖中国印象  | 车位 | 25.78平米 | 南', '2006年建板楼  -  铁西区', '35万', '单价13577元/平米')
('https://image1.ljcdn.com/210100-inspection/ec02b676-d24c-4b35-abb6-fed98a924176.jpg.296x216.jpg', '保工街北三路 富云新都东区 小高层中间户 南北通透', '富云新都东区  | 3室2厅 | 125.35平米 | 南 北 | 其他', '低楼层(共10层)2005年建板楼  -  铁西区', '130万', '单价10371元/平米')
('https://image1.ljcdn.com/210100-inspection/3fc7463e-c298-43ab-918f-9a5318ddeb69.jpg.296x216.jpg', '金地名京四期 2室2厅 194万', '金地名京四期  | 2室2厅 | 98平米 | 南 北 | 其他', '中楼层(共5层)2012年建板楼  -  铁西区', '194万', '单价19796元/平米')
('https://image1.ljcdn.com/210100-inspection/69a40518-1f81-4808-b046-2cb1e36a2835.jpg.296x216.jpg', '新湖北国之春 南北通透 不把山不挡光', '新湖北国之春  | 2室1厅 | 91.17平米 | 南 北 | 其他', '中楼层(共11层)2004年建板楼  -  铁西区', '93万', '单价10201元/平米')
('https://image1.ljcdn.com/210100-inspection/f97fc553-487c-42e4-b733-dd331dcc1d2a.JPG.296x216.jpg', '宏发国际精装修室采光好 不把山可拎包入住', '宏发国际名城  | 1室1厅 | 46.17平米 | 北 | 其他', '中楼层(共32层)2006年建板塔结合  -  铁西区', '25万', '单价5415元/平米')
('https://image1.ljcdn.com/210100-inspection/test-ac40caed-d702-4a34-9110-f0375227dfd6.png.296x216.jpg', '保工街小北一路 富海铭尊 一居室', '富海铭尊  | 1室1厅 | 41平米 | 东 | 其他', '高楼层(共16层)2005年建板楼  -  铁西区', '32万', '单价7805元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload7aa59044-0cd8-42d8-a6fd-b9b216cad2db.jpg.296x216.jpg', '交通便利 距离沈阳站进 诚心卖，面积是2倍', '罗马假日  | 2室1厅 | 55平米 | 西北 | 其他', '低楼层(共36层)2007年建板楼  -  铁西区', '58万', '单价10546元/平米')
('https://image1.ljcdn.com/210100-inspection/42910f13-0fc0-4a77-b535-40e9ed19e724.jpg.296x216.jpg', '假日普罗旺斯 1室0厅 23万', '假日普罗旺斯  | 1室0厅 | 31.75平米 | 西 | 其他', '中楼层(共18层)板楼  -  铁西区', '23万', '单价7245元/平米')
('', '青年居易 1室0厅 37万', '青年居易  | 1室0厅 | 30.13平米 | 北 | 其他', '中楼层(共11层)2004年建板楼  -  铁西区', '37万', '单价12281元/平米')
('https://image1.ljcdn.com/210100-inspection/150998c5-fc95-4ce5-bc5e-75c58f40667a.jpg.296x216.jpg', '新湖中国印象三室户型一楼带花园', '新湖中国印象  | 3室2厅 | 125.17平米 | 南 北 | 其他', '低楼层(共11层)2006年建板楼  -  铁西区', '212万', '单价16937元/平米')
('https://image1.ljcdn.com/210100-inspection/25f88534-d4ec-4b87-aed8-35631deb45bd.jpg.296x216.jpg', '第九街区 2室1厅 102万', '第九街区  | 2室1厅 | 102平米 | 南 北 | 其他', '高楼层(共27层)2011年建板楼  -  铁西区', '102万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/275d20ed-eca6-4b97-8ea8-2001143a262d.JPG.296x216.jpg', '宏发国际名城 一室小户型 中间楼层 采光充足', '宏发国际名城  | 1室0厅 | 48平米 | 西北 | 简装', '中楼层(共32层)2006年建板塔结合  -  铁西区', '32万', '单价6667元/平米')
('https://image1.ljcdn.com/210100-inspection/b4a12d19-156f-4be3-bffd-a686b32c0114.JPG.296x216.jpg', '沈辽路宏发国际名城一室 采光好 不把山不临街 视野好', '宏发国际名城  | 1室0厅 | 46.16平米 | 西北 | 简装', '高楼层(共32层)2006年建板塔结合  -  铁西区', '25万', '单价5416元/平米')
('https://image1.ljcdn.com/210100-inspection/17fa926b-ceb5-4c6e-886e-ef244d9467b7.JPG.296x216.jpg', '秀水小区 2室1厅 42万', '秀水小区  | 2室1厅 | 65.65平米 | 西北 | 其他', '低楼层(共7层)2005年建板楼  -  铁西区', '42万', '单价6398元/平米')
('https://image1.ljcdn.com/210100-inspection/befe3e72-ef46-4904-8bbb-aa3d9e7f58e0.jpg.296x216.jpg', '宏发国际名城 1室0厅 26万', '宏发国际名城  | 1室0厅 | 50.89平米 | 北 | 其他', '中楼层(共32层)2006年建板塔结合  -  铁西区', '26万', '单价5110元/平米')
('https://image1.ljcdn.com/210100-inspection/7162c25c-2a7e-4ad4-93d7-158b79f2ecba.jpg.296x216.jpg', '鑫丰馨园 南北两室 西明厅 精装修 开放厨房', '鑫丰馨园  | 2室1厅 | 71平米 | 南 北 | 其他', '高楼层(共18层)2008年建板楼  -  铁西区', '69万', '单价9719元/平米')
('https://image1.ljcdn.com/210100-inspection/a144dd1f-34ea-4cdf-bc38-9989feace71a.JPG.296x216.jpg', '024全时生活体 1室0厅 53.5万', '024全时生活体  | 1室0厅 | 43.29平米 | 北 | 其他', '高楼层(共26层)2013年建板楼  -  铁西区', '53.5万', '单价12359元/平米')
('', '金地名京二期 3室2厅 230万', '金地名京二期  | 3室2厅 | 120.63平米 | 东 南 北 | 其他', '低楼层(共16层)2012年建板楼  -  铁西区', '230万', '单价19067元/平米')
('https://image1.ljcdn.com/210100-inspection/82791d58-5dbc-4626-b32b-8455c3f9efd2.jpg.296x216.jpg', '移动馨城一室房源地铁一号线宜出租', '移动馨城  | 1室0厅 | 50平米 | 南 | 其他', '高楼层(共26层)2007年建板楼  -  铁西区', '45万', '单价9000元/平米')
('https://image1.ljcdn.com/210100-inspection/46ed864f-977d-480c-8681-ebba84c7b38a.JPG.296x216.jpg', '新湖中国印象 2室2厅 158万', '新湖中国印象  | 2室2厅 | 97平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  铁西区', '158万', '单价16289元/平米')
('https://image1.ljcdn.com/210100-inspection/c23a195e-6f1b-491e-8f31-5a6bc1625bf7.jpg.296x216.jpg', '青年居易开发商精装修一室 电梯房', '青年居易  | 1室0厅 | 38.14平米 | 北 | 其他', '高楼层(共20层)2004年建板楼  -  铁西区', '23万', '单价6031元/平米')
('https://image1.ljcdn.com/210100-inspection/f5421f84-bb29-4103-9312-973661bb7e1c.JPG.296x216.jpg', '滑翔路 城建花园  双南卧一北卧 南明厅 精装修', '城建花园  | 3室3厅 | 184.22平米 | 南 | 精装', '高楼层(共4层)1999年建板楼  -  铁西区', '148万', '单价8034元/平米')
('https://image1.ljcdn.com/210100-inspection/2192a2b4-7093-41cd-8589-91b8faf924bf.jpg.296x216.jpg', '富海铭尊 2室1厅 68万', '富海铭尊  | 2室1厅 | 70.08平米 | 南 | 其他', '中楼层(共16层)2005年建板楼  -  铁西区', '68万', '单价9704元/平米')
('https://image1.ljcdn.com/210100-inspection/c41dfaaf-194f-4d17-8417-bce50623332f.jpg.296x216.jpg', '铁西区 兴华街 君临天下 三期', '君临天下梧桐别院  | 1室0厅 | 45.93平米 | 西 | 其他', '中楼层(共18层)2006年建板楼  -  铁西区', '39万', '单价8492元/平米')
('https://image1.ljcdn.com/210100-inspection/65cd1123-928a-4949-a24f-acb7df094a98.jpg.296x216.jpg', '君临天下一期梧桐别院 东向户型 高楼层 赠送阁楼', '君临天下梧桐别院  | 2室1厅 | 46.5平米 | 东 | 其他', '高楼层(共18层)2006年建板楼  -  铁西区', '50万', '单价10753元/平米')
('https://image1.ljcdn.com/210100-inspection/f1d2ea41-10ae-49fd-86c9-985e9e30b289.JPG.296x216.jpg', '华润置地公馆 铁西广场万象汇 华润精装一室', '华润置地公馆  | 1室1厅 | 70.52平米 | 北 | 精装', '高楼层(共28层)2015年建板楼  -  铁西区', '105万', '单价14890元/平米')
('https://image1.ljcdn.com/210100-inspection/c4ccd528-58ca-471e-aec2-b5d744b6406f.jpg.296x216.jpg', '第一城F组团 1室1厅 43万', '第一城F组团  | 1室1厅 | 46.69平米 | 西北 | 其他', '高楼层(共30层)2010年建板塔结合  -  铁西区', '43万', '单价9210元/平米')
('https://image1.ljcdn.com/210100-inspection/48a692c6-f097-4f7e-8fe5-65779a431898.jpg.296x216.jpg', '南风雅苑 2室1厅 85万', '南风雅苑  | 2室1厅 | 79.29平米 | 南 北 | 其他', '低楼层(共7层)2000年建板楼  -  铁西区', '85万', '单价10721元/平米')
('https://image1.ljcdn.com/210100-inspection/0482e02a-c2a7-4b17-abb3-4d5fcf0c4614.jpg.296x216.jpg', '第壹城D组团 一室开间 交通便利', '第一城D组团  | 1室0厅 | 44.48平米 | 东 | 其他', '低楼层(共30层)2008年建板塔结合  -  铁西区', '45万', '单价10117元/平米')
('https://image1.ljcdn.com/210100-inspection/45f4f8c7-0bfc-46b0-b6af-ae0ced557365.JPG.296x216.jpg', '万达广场茂业百货中间楼层两居室', '万达广场C组团  | 2室1厅 | 87.23平米 | 东 南 | 其他', '中楼层(共33层)2011年建板楼  -  铁西区', '85万', '单价9745元/平米')
('https://image1.ljcdn.com/210100-inspection/test-2662e9f4-b3af-4a90-90e8-f7584f8d4104.png.296x216.jpg', '巴塞罗那二期 1室0厅 60万', '巴塞罗那二期  | 1室0厅 | 37平米 | 南 | 其他', '低楼层(共24层)2008年建板楼  -  铁西区', '60万', '单价16217元/平米')
('https://image1.ljcdn.com/210100-inspection/a8c1dc31-557e-4dec-b6e6-29f8fcdffcf6.JPG.296x216.jpg', '宏发国际名城 1室0厅 65万', '宏发国际名城  | 1室0厅 | 105平米 | 北 | 其他', '中楼层(共32层)2006年建板塔结合  -  铁西区', '65万', '单价6191元/平米')
('https://image1.ljcdn.com/210100-inspection/d01e49d2-17ec-4d3b-a127-eac698a846fa.jpg.296x216.jpg', '万科朗润园 万科物业 小区人车分流', '万科朗润园  | 2室2厅 | 86.29平米 | 西南 | 其他', '低楼层(共18层)板楼  -  铁西区', '110万', '单价12748元/平米')
('https://image1.ljcdn.com/210100-inspection/6996b87e-1380-4817-9af9-c6dd68fe835b.jpg.296x216.jpg', '云峰街 北一路 新湖锋尚 独立一室  中间楼层', '新湖峰尚  | 1室1厅 | 52.47平米 | 东 | 其他', '低楼层(共17层)2006年建板楼  -  铁西区', '43万', '单价8196元/平米')
('https://image1.ljcdn.com/210100-inspection/db8c3a5c-ae5c-43ca-b39d-ac80fd54e20a.JPG.296x216.jpg', '沈阳站旁 幸福岛 51平 采光优秀  精装好房', '幸福岛  | 1室1厅 | 51平米 | 东 | 精装', '高楼层(共32层)2008年建板楼  -  铁西区', '50万', '单价9804元/平米')
('https://image1.ljcdn.com/320100-inspection/e9b81d88-92a8-4678-a009-abb6488264ae.JPG.296x216.jpg', '第壹城B组团  一室一厅一厨一卫', '第一城B组团  | 1室1厅 | 68.93平米 | 南 | 其他', '低楼层(共11层)2008年建板塔结合  -  铁西区', '82万', '单价11897元/平米')
('https://image1.ljcdn.com/210100-inspection/231fe812-712d-433e-9b6c-db6a3ace5eed.JPG.296x216.jpg', '移动馨城 3室2厅 145万', '移动馨城  | 3室2厅 | 133.55平米 | 南 北 | 其他', '低楼层(共26层)2007年建板楼  -  铁西区', '145万', '单价10858元/平米')
('https://image1.ljcdn.com/210100-inspection/d5b1084e-d541-40b0-a909-8e638e370669.jpg.296x216.jpg', '保利心语花园 2室2厅 80万', '保利心语花园  | 2室2厅 | 86.7平米 | 南 北 | 其他', '低楼层(共18层)2014年建板楼  -  铁西区', '80万', '单价9228元/平米')
('https://image1.ljcdn.com/210100-inspection/9c600752-2a1b-4a88-a4eb-cb172d19c79b.jpg.296x216.jpg', '南北通透 楼层好 精装修三室两卫保持好 景观好不临街', '新湖御和园  | 3室2厅 | 143.36平米 | 南 北 | 其他', '中楼层(共7层)2011年建板楼  -  铁西区', '295万', '单价20578元/平米')
('https://image1.ljcdn.com/210100-inspection/2440a535-6ec4-4729-95df-75f25e023381.jpg.296x216.jpg', '巴塞罗那皇家特区 2室1厅 200万', '巴塞罗那皇家特区  | 2室1厅 | 85平米 | 东 南 北 | 其他', '低楼层(共30层)2010年建板塔结合  -  铁西区', '200万', '单价23530元/平米')
('https://image1.ljcdn.com/210100-inspection/7e6364f9-dafb-42f6-93c3-4ab012a4a245.jpg.296x216.jpg', '南风雅苑 3室2厅 102万', '南风雅苑  | 3室2厅 | 120.7平米 | 南 西 北 | 其他', '中楼层(共7层)2000年建板楼  -  铁西区', '102万', '单价8451元/平米')
('https://image1.ljcdn.com/210100-inspection/2896e993-c649-4a70-9c80-1293ba2340c4.jpg.296x216.jpg', '景星街鑫丰馨园两室南北通透明厅不把山', '鑫丰馨园  | 2室2厅 | 99.1平米 | 南 北 | 其他', '高楼层(共7层)2008年建板楼  -  铁西区', '110万', '单价11100元/平米')
('https://image1.ljcdn.com/210100-inspection/4d0deb03-7fa3-46d1-8514-cbeef1e693df.jpg.296x216.jpg', '近地铁 弘景花园 满五 装修较好', '弘景花园  | 3室2厅 | 70.45平米 | 南 | 精装', '高楼层(共10层)2007年建板楼  -  铁西区', '56万', '单价7949元/平米')
('https://image1.ljcdn.com/210100-inspection/288f8684-25a3-45e0-bd0b-a1a145e10c02.jpg.296x216.jpg', '其仕郡 1室0厅 46万', '其仕郡  | 1室0厅 | 35.23平米 | 北 | 其他', '高楼层(共24层)2009年建板楼  -  铁西区', '46万', '单价13058元/平米')
('https://image1.ljcdn.com/210100-inspection/663bc1d1-1b4b-437c-8b57-9afdc46594bb.jpg.296x216.jpg', '千缘爱在城 2室2厅 130万', '千缘爱在城  | 2室2厅 | 90.94平米 | 西南 | 其他', '中楼层(共28层)2010年建板楼  -  铁西区', '130万', '单价14296元/平米')
('https://image1.ljcdn.com/210100-inspection/9cbfc8c3-2ac7-4b02-ac26-5cdc4bed6bf7.jpg.296x216.jpg', '宏发国际名城 两室  沈辽路 适合办公 高层 民水民电', '宏发国际名城  | 2室1厅 | 99.99平米 | 南 | 简装', '中楼层(共32层)2006年建板塔结合  -  铁西区', '65万', '单价6501元/平米')
('https://image1.ljcdn.com/210100-inspection/9fd45c37-1d33-47f3-8b35-649a157ed145.JPG.296x216.jpg', '铁西区爱工街罗马假日复式采光好精装修', '罗马假日  | 1室1厅 | 40.93平米 | 南 北 | 其他', '中楼层(共5层)2007年建板楼  -  铁西区', '60万', '单价14660元/平米')
('https://image1.ljcdn.com/210100-inspection/d37fc626-9afa-481c-9c37-2079eed90caa.jpg.296x216.jpg', '浅草绿阁六期 精装修南向户型不临街采光好', '浅草绿阁六期枫丹白露  | 1室1厅 | 66平米 | 南 | 其他', '高楼层(共23层)2007年建板楼  -  铁西区', '85万', '单价12879元/平米')
('https://image1.ljcdn.com/210100-inspection/8660f346-f6c3-48cc-9862-bbb85cc62aad.JPG.296x216.jpg', '沈辽路 万达 家乐福 园区安静 交通便利', '博润文仕花园  | 2室2厅 | 98.77平米 | 南 北 | 简装', '中楼层(共6层)板楼  -  铁西区', '120万', '单价12150元/平米')
('https://image1.ljcdn.com/210100-inspection/7b2c84f5-9da9-4cb5-9e33-7b45628d48f6.jpg.296x216.jpg', '第一城C组团 2室2厅 84.98万', '第一城C组团  | 2室2厅 | 85.05平米 | 东南 | 其他', '低楼层(共30层)2008年建板塔结合  -  铁西区', '85万', '单价9992元/平米')
('https://image1.ljcdn.com/210100-inspection/test-0018cb76-59fc-4867-92f8-46262a40623c.png.296x216.jpg', '沈辽路 万达家乐福 金辉佳苑 干净采光好交通便利', '金辉佳苑  | 2室1厅 | 61.11平米 | 南 北 | 简装', '高楼层(共18层)暂无数据  -  铁西区', '46万', '单价7528元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload3046b76b-ba7a-4d11-8c1c-a51cf9214d5a.jpg.296x216.jpg', '江南春城B区 1室2厅 92万', '江南春城B区  | 1室2厅 | 53.58平米 | 南 | 其他', '中楼层(共13层)2005年建板楼  -  铁西区', '92万', '单价17171元/平米')
('https://image1.ljcdn.com/210100-inspection/8da6c03d-d458-4bac-8224-ed20c97c7352.jpg.296x216.jpg', '万科朗润园 3室2厅 162万', '万科朗润园  | 3室2厅 | 141.8平米 | 东 南 北 | 精装', '中楼层(共18层)暂无数据  -  铁西区', '162万', '单价11425元/平米')
('https://image1.ljcdn.com/210100-inspection/1019ce9d-6463-457f-b117-59fc7b40cc02.jpg.296x216.jpg', '精装修东北复式精装好房地铁江南春城复式', '江南春城B区  | 1室1厅 | 55.3平米 | 东北 | 其他', '高楼层(共13层)2005年建板楼  -  铁西区', '54万', '单价9765元/平米')
('https://image1.ljcdn.com/320100-inspection/98508241-6101-45f4-a2c8-75fa01bb8c3d.JPG.296x216.jpg', '爱工街北二路罗马假日复式一居室', '罗马假日  | 1室1厅 | 39.32平米 | 南 北 | 其他', '中楼层(共5层)2007年建板楼  -  铁西区', '48万', '单价12208元/平米')
('https://image1.ljcdn.com/210100-inspection/test-44323f7b-84ee-4e53-bc17-89b09a448787.png.296x216.jpg', '铁西 阳光梧桐园 地铁 一楼带花园 南北通透 采光好', '阳光梧桐园  | 2室2厅 | 105平米 | 南 北 | 精装', '低楼层(共6层)暂无数据  -  铁西区', '115万', '单价10953元/平米')
('https://image1.ljcdn.com/210100-inspection/e3ab6b2d-59d3-46cd-b2bb-5cff0956b34a.jpg.296x216.jpg', '昊翔家园 2室1厅 72万', '昊翔家园  | 2室1厅 | 90平米 | 南 北 | 其他', '高楼层(共7层)2003年建板楼  -  铁西区', '72万', '单价8000元/平米')
('https://image1.ljcdn.com/210100-inspection/450991bd-d937-4dab-a146-d5b9174548c5.jpg.296x216.jpg', '新湖峰尚 1室1厅 52万', '新湖峰尚  | 1室1厅 | 48.4平米 | 西南 | 其他', '中楼层(共17层)2006年建板楼  -  铁西区', '52万', '单价10744元/平米')
('https://image1.ljcdn.com/210100-inspection/90c06cf7-2358-4f8a-92ab-2ae0bab4f190.JPG.296x216.jpg', '北一路万达旁新湖峰尚精装修一室南向房源', '新湖峰尚  | 1室1厅 | 52.52平米 | 东南 | 其他', '低楼层(共17层)2006年建板楼  -  铁西区', '46万', '单价8759元/平米')
('https://image1.ljcdn.com/210100-inspection/7f757087-33ab-467f-9f86-62501343ee5c.JPG.296x216.jpg', '卫工街 北二路 浅草绿阁 七期 小高层一室', '浅草绿阁七期廊桥溪语  | 1室0厅 | 42平米 | 南 | 其他', '高楼层(共15层)2009年建板楼  -  铁西区', '38.5万', '单价9167元/平米')
('https://image1.ljcdn.com/210100-inspection/af828cc6-bd40-4c0c-9b14-508063609c43.jpg.296x216.jpg', '第一城G组团 2室2厅 143万', '第一城G组团  | 2室2厅 | 96.89平米 | 南 北 | 其他', '高楼层(共17层)板塔结合  -  铁西区', '143万', '单价14760元/平米')
('https://image1.ljcdn.com/320100-inspection/e51f545b-058c-4498-85a1-bb6f78da4c5b.JPG.296x216.jpg', '金地名京，3室1卫，南北朝向，118平毛坯，赠送面积大', '金地名京一期  | 3室2厅 | 114平米 | 东南 北 | 毛坯', '高楼层(共32层)2012年建板楼  -  铁西区', '136.8万', '单价12000元/平米')
('https://image1.ljcdn.com/320100-inspection/d95c76c5-f585-4f94-ac57-82fa4cba92a9.JPG.296x216.jpg', '新湖明珠城 南向 不临街不把山 婚装 拎包即住', '新湖明珠城  | 1室0厅 | 46平米 | 南 | 其他', '高楼层(共30层)2010年建板楼  -  铁西区', '51万', '单价11087元/平米')
('https://image1.ljcdn.com/210100-inspection/8956dca8-6905-494a-b48a-d307f0ae7be1.jpg.296x216.jpg', '示范和平家园 2室2厅 62万', '示范和平家园  | 2室2厅 | 72平米 | 南 北 | 其他', '高楼层(共7层)2004年建板楼  -  铁西区', '62万', '单价8612元/平米')
('https://image1.ljcdn.com/210100-inspection/0e48ae3f-97b7-443c-95ad-ab48b47e8e2e.jpg.296x216.jpg', '假日蓝湾 多层两室 精装修 采光充足 配套齐全交通便利', '假日蓝湾  | 2室1厅 | 66.63平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  铁西区', '80万', '单价12007元/平米')
('https://image1.ljcdn.com/320100-inspection/78524927-d562-409e-8283-ece93ea23834.JPG.296x216.jpg', '第壹城F组团东南两室一厅，近园区口', '第一城F组团  | 2室1厅 | 80.67平米 | 东南 | 简装', '低楼层(共30层)2010年建板塔结合  -  铁西区', '85万', '单价10537元/平米')
('https://image1.ljcdn.com/320100-inspection/6eec4f36-29f6-4712-95a1-4a3f4fbb17d6.JPG.296x216.jpg', '保工街北二路亚美利加南北三室 采光好 看房方便', '亚美利加  | 3室2厅 | 117.04平米 | 东南 北 | 其他', '低楼层(共26层)2009年建板楼  -  铁西区', '128万', '单价10937元/平米')
('https://image1.ljcdn.com/210100-inspection/6c357547-ee65-417d-bbef-cd448bd0d5ec.jpg.296x216.jpg', '君临天下熙城桃源 顶楼 三室两厅 西明厅 南北户型', '君临天下熙城桃源  | 3室2厅 | 161.93平米 | 南 北 | 其他', '高楼层(共18层)2008年建板楼  -  铁西区', '105万', '单价6485元/平米')
('https://image1.ljcdn.com/210100-inspection/9006ac1f-ba3b-4b8b-8871-261f3133efeb.jpg.296x216.jpg', '金地名京三室 把东山 双南卧 满五', '金地名京二期  | 3室2厅 | 118平米 | 东 南 北 | 其他', '低楼层(共18层)2012年建板楼  -  铁西区', '220万', '单价18645元/平米')
('https://image1.ljcdn.com/210100-inspection/54fef5a8-8b21-42a3-9439-566851621390.jpg.296x216.jpg', '南北标户，独立卧室，价格合适的一室', '示范和平家园  | 1室1厅 | 75平米 | 南 北 | 其他', '高楼层(共7层)2004年建板楼  -  铁西区', '50万', '单价6667元/平米')
('https://image1.ljcdn.com/210100-inspection/f78fa141-57ba-4f57-8724-0fd8aa6aa93f.jpg.296x216.jpg', '一室小户型，纳帕阳光，经纪实惠', '纳帕阳光  | 1室1厅 | 43.61平米 | 北 | 其他', '低楼层(共27层)板楼  -  铁西区', '47万', '单价10778元/平米')
('https://image1.ljcdn.com/210100-inspection/bc9a65e6-ab59-4d0f-a7c0-e00931f4da29.jpg.296x216.jpg', '华润置地铁西广场商圈 三室一卫 精装修 视野好', '华润置地公馆  | 3室2厅 | 130.5平米 | 南 西 北 | 其他', '低楼层(共47层)2015年建板楼  -  铁西区', '196万', '单价15020元/平米')
