('https://image1.ljcdn.com/330100-inspection/2ba2f57e-745b-44b1-a42a-8263d7b9573f.jpg.296x216.jpg', '金成经典4跃5好户型，中间楼层，全明格局。', '金成花园  | 3室2厅 | 132.77平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  文一西路', '480万', '单价36153元/平米')
('https://image1.ljcdn.com/330100-inspection/f3c4b54f-79ca-4de5-ba67-7387d9beba4e.jpg.296x216.jpg', '低总价大两房  诚心出售  有诚意等你看房-', '翠苑一区  | 2室1厅 | 54.49平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1986年建板楼  -  翠苑', '259万', '单价47532元/平米')
('https://image1.ljcdn.com/330100-inspection/deae9285-95a4-414b-8478-cb759fcf224f.jpg.296x216.jpg', '开发商精装，楼层好，采光充 低总价', '坤和和家园  | 1室1厅 | 64.63平米 | 南 | 精装 | 有电梯', '中楼层(共15层)2011年建板楼  -  西溪', '275万', '单价42550元/平米')
('https://image1.ljcdn.com/330100-inspection/ff9fe235-a270-4207-8637-0a53eccc953d.jpg.296x216.jpg', '黄龙和山小户型满两年，小区环境优美，交通便捷', '复地黄龙和山  | 3室2厅 | 89平米 | 南 北 | 简装 | 有电梯', '中楼层(共8层)2015年建板楼  -  西溪', '425万', '单价47753元/平米')
('https://image1.ljcdn.com/330100-inspection/4d77a29c-4ed5-4382-a2f0-e6084894f6fe.jpg.296x216.jpg', '小区房龄新，环境优美！！！！！！', '西荡苑杏苑  | 1室1厅 | 49平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2003年建板楼  -  文三西路', '238万', '单价48572元/平米')
('https://image1.ljcdn.com/330100-inspection/test-0c88edb9-04b8-4876-9804-f499e05d783d.png.296x216.jpg', '金田花园2房朝南，原始3房，厨卫全明，通透性强', '金田花园  | 3室2厅 | 87.57平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1998年建塔楼  -  文三西路', '355万', '单价40539元/平米')
('https://image1.ljcdn.com/330100-inspection/2ca9c519-d28e-4c05-af0e-038ff53be881.jpg.296x216.jpg', '东日晴好小区 双开间朝南 户型方正 装修清爽看房方便', '东日晴好  | 2室2厅 | 89.95平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2017年建板楼  -  转塘', '285万', '单价31685元/平米')
('https://image1.ljcdn.com/330100-inspection/e6579ba8-62d2-40a0-8d1f-31f6be58c75b.jpg.296x216.jpg', '圣苑大两房 视野好 房东诚心卖房，看房方便', '圣苑小区  | 2室2厅 | 102.69平米 | 南 | 简装 | 有电梯', '中楼层(共24层)2008年建板楼  -  申花', '640万', '单价62324元/平米')
('https://image1.ljcdn.com/330100-inspection/b9dc6b40-0642-444c-b5bc-58ae690c0014.jpg.296x216.jpg', '中大文锦苑  东边套  采光好', '中大文锦苑  | 3室2厅 | 120.4平米 | 南 | 精装 | 有电梯', '低楼层(共15层)2001年建板塔结合  -  学军', '930万', '单价77243元/平米')
('https://image1.ljcdn.com/330100-inspection/f4c94389-e9d0-4e0b-8eb5-aef96723ace1.JPG.296x216.jpg', '金地自在城开放商精装带地下室看房方便', '金地自在城  | 5室2厅 | 89.58平米 | 西南 | 精装 | 有电梯', '低楼层(共26层)2012年建板楼  -  三墩', '420万', '单价46886元/平米')
('https://image1.ljcdn.com/330100-inspection/48d88e9c-7ac6-49df-96e3-2ebe4279593a.jpg.296x216.jpg', '星洲花园格兰馨芦 3室2厅 735万', '星洲花园格兰馨芦  | 3室2厅 | 141.71平米 | 西南 北 | 其他 | 有电梯', '中楼层(共11层)2000年建塔楼  -  文一西路', '735万', '单价51867元/平米')
('https://image1.ljcdn.com/330100-inspection/test-1655900e-1179-4581-9a9f-6484c9a8068a.png.296x216.jpg', '黄姑山路22号 交通方便 配套成熟 房龄较新', '黄姑山路22号  | 2室1厅 | 71.94平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1995年建板楼  -  九莲', '260万', '单价36142元/平米')
('https://image1.ljcdn.com/330100-inspection/248423b7-f5d6-4ca6-8064-48cf45aafc2d.jpg.296x216.jpg', '世纪新城西区 5室2厅 1350万', '世纪新城西区  | 5室2厅 | 264.32平米 | 南 | 精装 | 有电梯', '高楼层(共16层)2005年建板楼  -  嘉绿', '1350万', '单价51075元/平米')
('', '金地自在城126方西边套配套设施齐全房东自住诚售', '金地自在城  | 3室2厅 | 126平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2012年建板楼  -  三墩', '520万', '单价41270元/平米')
('https://image1.ljcdn.com/330100-inspection/3b57ebda-bb9b-4214-a45b-c7e9bab26ad3.jpg.296x216.jpg', '云溪香山 好楼层 边套 精装修有车位！', '云溪香山  | 3室2厅 | 151.99平米 | 南 | 精装 | 有电梯', '中楼层(共7层)2008年建板楼  -  转塘', '500万', '单价32897元/平米')
('https://image1.ljcdn.com/330100-inspection/6a9f5069-acb0-4a5a-84e7-d0675d94c9f8.JPG.296x216.jpg', '西湖区 地铁口 大三房 地理位置优越', '兰韵天城  | 3室2厅 | 150.28平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2007年建板楼  -  三墩', '530万', '单价35268元/平米')
('https://image1.ljcdn.com/330100-inspection/59947a5f-78c4-40fa-90ba-af565858dd79.JPG.296x216.jpg', '西湖区 精装修 小三房 层高4.2米 房东诚心出售', '三墩街100号小区  | 3室1厅 | 52.83平米 | 南 | 精装', '低楼层(共4层)暂无数据  -  三墩', '183万', '单价34640元/平米')
('https://image1.ljcdn.com/330100-inspection/e1ce11ed-e317-4f91-914c-f684d7ef931a.jpg.296x216.jpg', '紫金庭园 2005年次新商品房 小区环境好 适合改善客户', '紫金庭园  | 3室2厅 | 116.96平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)2005年建板楼  -  文三西路', '545万', '单价46598元/平米')
('https://image1.ljcdn.com/330100-inspection/test-b33d94f3-1f62-4295-9dcc-3c241bc1817a.png.296x216.jpg', '此房可以直接入住或出租，业主诚心出售 价格可谈', '古荡新村西区  | 2室1厅 | 68.75平米 | 南 | 其他 | 无电梯', '低楼层(共7层)1988年建板楼  -  古荡', '255万', '单价37091元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload66c4f6fb-2f4c-405d-8574-fd328cd5bcbe.jpg.296x216.jpg', '大三房 低总价 房东换房急卖 看房方便', '康乐香港城  | 3室1厅 | 81.36平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1997年建板楼  -  文三西路', '320万', '单价39332元/平米')
('https://image1.ljcdn.com/330100-inspection/9ccdb677-0eba-4378-b684-eeb7812979ba.jpg.296x216.jpg', '融创河滨之城 3室2厅 495万', '融创河滨之城  | 3室2厅 | 89平米 | 南 | 其他', '高楼层(共18层)2017年建板楼  -  西溪', '495万', '单价55618元/平米')
('https://image1.ljcdn.com/330100-inspection/506b9a66-7184-4bb6-bac9-239f4dad3a34.jpg.296x216.jpg', '嘉绿北苑温馨小两房，户型好，楼层好，总价低。', '嘉绿北苑  | 2室2厅 | 68.95平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1998年建板楼  -  嘉绿', '398万', '单价57723元/平米')
('https://image1.ljcdn.com/330100-inspection/test-e1f17845-9805-4ebb-ad42-3d5be07b5d7b.png.296x216.jpg', '厚诚公寓70年产权 西湖区商品房', '厚诚公寓  | 2室1厅 | 59.53平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)1996年建板楼  -  三墩', '205万', '单价34437元/平米')
('https://image1.ljcdn.com/330100-inspection/54717aeb-1d80-4eb7-a7b2-0870bd8e4547.jpg.296x216.jpg', '之江九里，宋城边上一楼底跃~满2年随时看房！', '之江九里  | 3室2厅 | 139.78平米 | 南 | 毛坯 | 有电梯', '低楼层(共13层)2016年建板楼  -  之江', '630万', '单价45071元/平米')
('https://image1.ljcdn.com/330100-inspection/0b8d2d48-4739-4cff-8b1f-65689d69ea66.JPG.296x216.jpg', '协安紫郡大三房，纯毛坯，东边套，诚心出售', '协安紫郡  | 3室1厅 | 139.01平米 | 南 | 毛坯 | 有电梯', '低楼层(共20层)2016年建板楼  -  三墩', '465万', '单价33451元/平米')
('https://image1.ljcdn.com/330100-inspection/c6f745e1-5bfe-40a5-8e29-fa393b6e6eb6.jpg.296x216.jpg', '日晖新村 一居室 总价300万 沈塘桥2号线地铁口100米', '日晖新村  | 1室1厅 | 39.39平米 | 东南 | 简装 | 无电梯', '低楼层(共6层)1982年建板楼  -  学军', '280万', '单价71085元/平米')
('', '乾成园小两房，满五唯一，适宜年轻三口之家居住', '乾成园  | 2室1厅 | 63.11平米 | 南 北 | 简装 | 有电梯', '低楼层(共18层)2009年建板楼  -  三墩', '198万', '单价31374元/平米')
('https://image1.ljcdn.com/330100-inspection/fbabbf47-8a59-4450-9408-b358994ba22c.jpg.296x216.jpg', '金祝花园 2室1厅 309万', '金祝花园  | 2室1厅 | 50.39平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)2004年建塔楼  -  黄龙', '309万', '单价61322元/平米')
('https://image1.ljcdn.com/330100-inspection/c790ce5a-60b5-4192-9a9f-6bb4b1e377de.jpg.296x216.jpg', '中海定山府 3室2厅 360万', '中海定山府  | 3室2厅 | 86.52平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2010年建板楼  -  转塘', '360万', '单价41609元/平米')
('https://image1.ljcdn.com/330100-inspection/d163e5d4-1afa-4954-85d5-24e779f416d4.JPG.296x216.jpg', '西湖区 精装修 小三房 地铁2号线500米 层高4.2米', '三墩街100号小区  | 3室1厅 | 51.64平米 | 南 | 精装', '低楼层(共4层)暂无数据  -  三墩', '183万', '单价35438元/平米')
('https://image1.ljcdn.com/330100-inspection/04314434-aa17-4c7d-8fd0-c73a8149020b.jpg.296x216.jpg', '别墅区，以前是办的，适合办公。', '万安景月湾  | 5室2厅 | 263.36平米 | 南 | 精装', '低楼层(共3层)暂无数据  -  之江', '1200万', '单价45566元/平米')
('https://image1.ljcdn.com/330100-inspection/test-a51be616-a04a-4654-87de-46a2ff077762.png.296x216.jpg', '一南一北户型，楼层好采光好。满五年', '信鸿花园南区  | 2室1厅 | 62平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1999年建板楼  -  三墩', '220万', '单价35484元/平米')
('https://image1.ljcdn.com/330100-inspection/4a7623c3-2c14-4e22-9434-710c8f6b77cc.JPG.296x216.jpg', '金地自在城 2室1厅 330万', '金地自在城  | 2室1厅 | 79.31平米 | 南 | 其他 | 有电梯', '低楼层(共26层)2012年建板楼  -  三墩', '330万', '单价41609元/平米')
('https://image1.ljcdn.com/330100-inspection/e7150362-faa8-491e-8704-cd27b123ee07.jpg.296x216.jpg', '两房朝南采光充足，配套齐全，双地铁口中间', '嘉绿福苑  | 2室1厅 | 89.68平米 | 南 | 简装 | 有电梯', '高楼层(共24层)2007年建塔楼  -  嘉绿', '440万', '单价49064元/平米')
('https://image1.ljcdn.com/330100-inspection/81548b2e-bb30-4521-8efb-a78fc96f3c02.jpg.296x216.jpg', '蝶园二期 万科精装修 双阳台户型 户型优质 看房方便', '西溪蝶园二期  | 4室2厅 | 181.9平米 | 南 北 | 精装 | 有电梯', '低楼层(共14层)2012年建板楼  -  西溪', '950万', '单价52227元/平米')
('https://image1.ljcdn.com/330100-inspection/27eab100-8079-48ae-9df6-2e4d0a6387df.jpg.296x216.jpg', '保俶山下，精装保小两房，原铁路局房子，居住适宜！！', '曙光路9号  | 2室1厅 | 64.09平米 | 南 北 | 精装', '中楼层(共6层)板楼  -  黄龙', '430万', '单价67094元/平米')
('https://image1.ljcdn.com/330100-inspection/57501499-9473-4595-aa37-6e109b6419f6.jpg.296x216.jpg', '之江九里，宋城边上精装80万！大三房，随时可看！', '之江九里  | 3室2厅 | 137.84平米 | 南 | 精装 | 有电梯', '高楼层(共16层)2016年建板楼  -  之江', '650万', '单价47157元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploaddeec2078-7af7-46a2-b7f0-5253b6a78572.jpg.296x216.jpg', '学军 西溪河东三房无小孩读书 户口随时迁出', '西溪河东  | 2室2厅 | 64.92平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1984年建板楼  -  学军', '540万', '单价83180元/平米')
('https://image1.ljcdn.com/330100-inspection/3acecdc4-6ff7-4a46-94fb-e5db9050917a.jpg.296x216.jpg', '文苑小区 四房朝南 顶跃 带17.4方北向露业主诚心出售', '文苑小区  | 4室2厅 | 136.15平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  嘉绿', '450万', '单价33052元/平米')
('https://image1.ljcdn.com/330100-inspection/44529b9a-32c8-4c51-bc87-b9626bf7a3e7.jpg.296x216.jpg', '满两年， 精装修，自住，双阳台，诚心卖，价格可商量', '中海定山府  | 3室2厅 | 109.7平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2010年建板楼  -  转塘', '405万', '单价36919元/平米')
('https://image1.ljcdn.com/330100-inspection/42ed518d-6311-4e53-8450-c33a4d76dd1a.jpg.296x216.jpg', '温州村 大三居 地铁房 领包入住', '城北商贸园  | 3室2厅 | 116.99平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1997年建板楼  -  申花', '398万', '单价34021元/平米')
('https://image1.ljcdn.com/330100-inspection/666bc3fa-bc24-4bc4-be31-cc703550716e.JPG.296x216.jpg', '西湖区 精装修 小三房  层高4.2米 房东诚心出售', '三墩街100号小区  | 3室1厅 | 51.64平米 | 南 | 精装', '低楼层(共4层)暂无数据  -  三墩', '183万', '单价35438元/平米')
('https://image1.ljcdn.com/330100-inspection/test-6b5ae656-372e-4948-badd-f482e6ccc291.png.296x216.jpg', '大家之江悦 三室两卫 满两年 南北通透', '大家之江悦  | 3室2厅 | 137.38平米 | 东 南 北 | 精装 | 有电梯', '中楼层(共11层)2016年建板楼  -  之江', '686万', '单价49935元/平米')
('https://image1.ljcdn.com/330100-inspection/test-b7caf928-32f7-445c-972c-e87d66e01633.png.296x216.jpg', '美都新村 送储藏间 两房朝南 中间楼层 采光好', '美都新村  | 2室2厅 | 67.66平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  文三西路', '300万', '单价44340元/平米')
('https://image1.ljcdn.com/330100-inspection/4a445aa3-12c1-4426-8a73-9463971a420c.jpg.296x216.jpg', '自住精装修楼层好 南北通透 看房很方便', '耀江文鼎苑  | 2室1厅 | 88.56平米 | 南 | 精装 | 有电梯', '中楼层(共24层)2009年建板楼  -  申花', '680万', '单价76785元/平米')
('https://image1.ljcdn.com/330100-inspection/85225c34-8ee4-4284-bed7-d787cc751ea7.jpg.296x216.jpg', '浙江工业大学之江校区宿舍，精装楼梯房，拎包入住，。', '浙江工业大学之江校区宿舍  | 3室1厅 | 80.38平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  之江', '320万', '单价39811元/平米')
('https://image1.ljcdn.com/330100-inspection/69803989-170a-4557-983a-3af6fc2e8d8c.jpg.296x216.jpg', '目前此户型房子较少，楼层视野好，采光充足，精装修', '桂花城  | 5室3厅 | 233.44平米 | 南 北 | 精装 | 无电梯', '高楼层(共4层)1999年建板楼  -  文一西路', '1300万', '单价55689元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload112b61ff-7eb5-4d47-81f1-ab61398ef336.jpg.296x216.jpg', '保俶北路101号 文一街十三中 2000年房龄 浙大房改房', '保俶北路101号  | 2室1厅 | 63.06平米 | 南 | 精装', '高楼层(共7层)板楼  -  文教', '490万', '单价77704元/平米')
('https://image1.ljcdn.com/330100-inspection/dbb0f560-5abd-4ce0-aced-267827591d51.jpg.296x216.jpg', '庆丰新村一楼带院子精装修，户型方正', '庆丰新村  | 2室1厅 | 63.5平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1989年建板楼  -  黄龙', '315万', '单价49607元/平米')
('https://image1.ljcdn.com/330100-inspection/8ef89bb0-42f4-4be0-b3fd-4980b943db30.jpg.296x216.jpg', '世纪新城70年产权 电梯房 精装修', '世纪新城东区  | 1室1厅 | 47.25平米 | 东 | 精装 | 有电梯', '27层2005年建板楼  -  嘉绿', '250万', '单价52911元/平米')
('https://image1.ljcdn.com/330100-inspection/3adfacde-29f0-4c71-8e20-6d7c25a41c02.jpg.296x216.jpg', '送露台，相信独具慧眼的您会买就会赚，仅此一套！', '亚洲城花园  | 3室1厅 | 100.97平米 | 南 | 简装 | 无电梯', '中楼层(共7层)2000年建塔楼  -  古荡', '380万', '单价37635元/平米')
('https://image1.ljcdn.com/330100-inspection/1137727c-5734-43bd-a163-d5aae5d9b21a.jpg.296x216.jpg', '物华小区 2室2厅 320万', '物华小区  | 2室2厅 | 81.87平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1998年建板楼  -  嘉绿', '320万', '单价39087元/平米')
('https://image1.ljcdn.com/330100-inspection/53f3963a-4308-48ca-95ab-a6a3156a6535.jpg.296x216.jpg', '学院路304号 2室1厅 430万', '学院路304号  | 2室1厅 | 62.58平米 | 南 北 | 简装', '高楼层(共5层)2000年建板楼  -  文教', '430万', '单价68713元/平米')
('https://image1.ljcdn.com/330100-inspection/4b4fc8be-60d7-496e-9822-c4fc5a89b0f3.jpg.296x216.jpg', '兰庭国际 采光充足 地铁二号线  视野无遮挡', '兰庭国际  | 3室2厅 | 139.18平米 | 南 | 精装 | 有电梯', '高楼层(共17层)2008年建板楼  -  文教', '880万', '单价63228元/平米')
('https://image1.ljcdn.com/330100-inspection/test-64258061-1c1e-4018-8570-6fc3a5e8ad0f.png.296x216.jpg', '新上 白马尊邸精装大三房 自住精装修 楼幢位置好', '白马尊邸  | 3室2厅 | 120.56平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2009年建塔楼  -  三墩', '460万', '单价38156元/平米')
('https://image1.ljcdn.com/330100-inspection/test-0bc7fc8f-bc86-4d07-ba10-c461e75ed462.png.296x216.jpg', '诚心出售，产权清晰，学籍不占,满五唯一。', '嘉南公寓影池居  | 3室2厅 | 124.03平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2003年建板楼  -  文一西路', '700万', '单价56438元/平米')
('https://image1.ljcdn.com/330100-inspection/6b2d2778-3657-4196-9777-c70d8f2b89bb.jpg.296x216.jpg', '大三房 房东诚心出售 看房方便', '康乐香港城  | 3室2厅 | 144.55平米 | 南 | 简装 | 无电梯', '高楼层(共7层)2000年建板楼  -  文三西路', '448万', '单价30993元/平米')
('https://image1.ljcdn.com/330100-inspection/a73aa65d-f6be-4123-9388-c2a49db4008d.jpg.296x216.jpg', '紫金公寓 西边套 全明户型 装修清爽小三房', '紫金公寓  | 3室1厅 | 74.9平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1996年建板楼  -  文三西路', '292万', '单价38986元/平米')
('https://image1.ljcdn.com/330100-inspection/7767742f-1feb-4a2a-9603-7df00992d1d12.jpg.296x216.jpg', '一楼带架空！采光无遮挡！两房朝南好房在等您！', '恩济花苑  | 2室2厅 | 65.89平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1998年建板楼  -  文一西路', '330万', '单价50084元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload07f815b1-6634-4f11-8996-0e82e7ccc66b.jpg.296x216.jpg', '精装修2房 高楼层 太阳很好 可以改造成3房', '求智弄  | 2室2厅 | 65.02平米 | 东 南 北 | 精装 | 无电梯', '高楼层(共7层)1995年建板楼  -  学军', '558万', '单价85820元/平米')
('https://image1.ljcdn.com/330100-inspection/01996f01-1484-4cdd-b2eb-18b9a15bba59.jpg.296x216.jpg', '求是星洲 ，满五唯一，2号线文新站地铁口，两房朝南', '华苑公寓  | 2室1厅 | 70.75平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2000年建板楼  -  文一西路', '424万', '单价59930元/平米')
('https://image1.ljcdn.com/330100-inspection/54bade11-2d29-4ed4-af64-506317ef44d1.jpg.296x216.jpg', '户型正气   楼层好   采光好 装修清爽', '文二路94号  | 2室1厅 | 53.94平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1986年建板楼  -  文教', '370万', '单价68595元/平米')
('https://image1.ljcdn.com/330100-inspection/d026abaa-997a-4397-a21b-a51be00b092d.jpg.296x216.jpg', '河滨之城3房2卫2厅房主精装修40W，沿河视野好。诚心', '融创河滨之城  | 3室2厅 | 89平米 | 南 北 | 精装', '低楼层(共18层)2016年建板楼  -  西溪', '500万', '单价56180元/平米')
('https://image1.ljcdn.com/330100-inspection/7561b824-d3c3-49f0-a69d-50063a5e3855.jpg.296x216.jpg', '满5唯一，自住精装修 中间楼层 全明户型', '浪漫和山  | 3室2厅 | 151平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2003年建板楼  -  小和山', '328万', '单价21722元/平米')
('https://image1.ljcdn.com/330100-inspection/2811ba79-8892-4cf0-a7d6-7a3324e6483a.jpg.296x216.jpg', '中间楼层 采光好 视野开阔 地铁房', '建工新村  | 2室1厅 | 57.27平米 | 南 北 | 简装 | 无电梯', '中楼层(共4层)1987年建板楼  -  学军', '360万', '单价62861元/平米')
('https://image1.ljcdn.com/330100-inspection/test-7e916e69-5a3f-43df-9e63-777a77ff1501.png.296x216.jpg', '城北商贸园 3室2厅 360万', '城北商贸园  | 3室2厅 | 113.7平米 | 南 | 简装 | 无电梯', '中楼层(共5层)板楼  -  申花', '360万', '单价31663元/平米')
('https://image1.ljcdn.com/330100-inspection/test-2f354504-03e3-4f3f-ac1f-899b06fa95cc.png.296x216.jpg', '此房满两年 免去增值税 南北通透 楼层好，户型好。', '同仁家园  | 3室2厅 | 99.98平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2006年建板楼  -  三墩', '305万', '单价30507元/平米')
('https://image1.ljcdn.com/330100-inspection/ec603f3f-9dc9-491d-8ddc-066c030b24e0.jpg.296x216.jpg', '大金都花园 新上小户型 一居室 低总价 户口学籍不占', '金都花园  | 1室1厅 | 37.98平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1997年建板楼  -  文三西路', '195万', '单价51343元/平米')
('https://image1.ljcdn.com/330100-inspection/f20a69cc-889f-4032-8c68-04d447a00e07.jpg.296x216.jpg', '翠苑东四区 2室1厅 265万', '翠苑东四区  | 2室1厅 | 60.21平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  翠苑', '265万', '单价44013元/平米')
('https://image1.ljcdn.com/330100-inspection/18e385ac-b623-454e-9cff-a38dcabfabfe.jpg.296x216.jpg', '精装2房， 楼下就是2号线沈塘桥站', '莫干山路361号  | 2室1厅 | 81.62平米 | 东 南 | 精装 | 无电梯', '中楼层(共7层)1996年建板楼  -  学军', '550万', '单价67386元/平米')
('https://image1.ljcdn.com/330100-inspection/0d7774d4-3b5e-4d7b-8f4c-1383cf7b08a2.jpg.296x216.jpg', '朗郡君临阁 高层大户型 学军教育 高尔夫球场 世纪联华', '朗郡庭园  | 5室2厅 | 278.11平米 | 南 | 毛坯 | 有电梯', '高楼层(共27层)2011年建板楼  -  转塘', '863万', '单价31031元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload62c3ea1d-097e-41dd-a948-6989ae857417.jpg.296x216.jpg', '溪畔花园 电梯房 户型正气 交通便利', '溪畔花园  | 3室2厅 | 123.41平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2005年建板楼  -  文教', '675万', '单价54696元/平米')
('https://image1.ljcdn.com/330100-inspection/46c2ff7e-e488-4a43-b24d-5c0ddfe18d06.jpg.296x216.jpg', '新安嘉苑 2室2厅 280万', '新安嘉苑  | 2室2厅 | 74.36平米 | 南 | 其他 | 无电梯', '低楼层(共7层)2008年建板楼  -  文三西路', '280万', '单价37655元/平米')
('https://image1.ljcdn.com/330100-inspection/9fe15865-431a-473c-afb6-4c8be93fb35a.jpg.296x216.jpg', '世纪新城 小面积 低总价 70年产权 住宅', '世纪新城东区  | 1室1厅 | 50.81平米 | 西北 | 简装 | 有电梯', '27层2005年建板楼  -  嘉绿', '255万', '单价50187元/平米')
('https://image1.ljcdn.com/330100-inspection/test-b28f9439-9e2d-474d-b877-813d9192600c.png.296x216.jpg', '之江九里，房东急降20万，随时可看！', '之江九里  | 2室1厅 | 89平米 | 南 | 毛坯 | 有电梯', '低楼层(共16层)2016年建板楼  -  之江', '410万', '单价46068元/平米')
('https://image1.ljcdn.com/330100-inspection/17ffe15d-2ed3-4f31-ac1a-7f0b37a6a802.1.jpg.296x216.jpg', '绿城之江1号 4室1厅 380万', '绿城之江1号  | 4室1厅 | 89平米 | 南 | 简装 | 有电梯', '高楼层(共25层)2016年建板楼  -  转塘', '380万', '单价42697元/平米')
('https://image1.ljcdn.com/330100-inspection/e4f5582d-9145-498f-825a-ac4fc0926423.JPG.296x216.jpg', '此房为开发商精装修，满2年，三阳台，西边套全明户型', '中海紫藤苑  | 2室2厅 | 89.13平米 | 南 北 | 精装 | 有电梯', '低楼层(共21层)2011年建板楼  -  三墩', '356万', '单价39942元/平米')
('https://image1.ljcdn.com/330100-inspection/c1124905-84c9-4b66-95e5-7c68182465f2.jpg.296x216.jpg', '白荡海人家精装三房出售 三房朝南 客厅朝北 南北通透', '白荡海人家  | 3室1厅 | 101.63平米 | 南 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  文教', '590万', '单价58054元/平米')
('https://image1.ljcdn.com/330100-inspection/test-acc9e4e7-b5e2-4e46-b58c-abb5872e9aef.png.296x216.jpg', '篁外 满两年 中上楼层边套户型 两梯两户 赠送面积多', '中海定山府  | 3室1厅 | 86.56平米 | 南 | 简装 | 有电梯', '高楼层(共17层)2010年建板楼  -  转塘', '380万', '单价43901元/平米')
('https://image1.ljcdn.com/330100-inspection/2614e2c6-4c00-44eb-af4d-f465a5a99b28.jpg.296x216.jpg', '明月公寓 装修清爽 居住舒适  采光好', '明月公寓  | 3室1厅 | 79.23平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1996年建板楼  -  文三西路', '330万', '单价41651元/平米')
('https://image1.ljcdn.com/330100-inspection/2a290c7f-2782-41bf-8758-7d3377f686df.jpg.296x216.jpg', '松木场河西 2室2厅 380万', '松木场河西  | 2室2厅 | 55.4平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1988年建板楼  -  黄龙', '380万', '单价68593元/平米')
('https://image1.ljcdn.com/330100-inspection/92f13e3b-0b79-4aff-bc5c-118cd9319c9f.jpg.296x216.jpg', '精装2房，户型方正，小区环境好', '绿城之江1号  | 2室1厅 | 79平米 | 南 | 精装 | 有电梯', '中楼层(共25层)2016年建板楼  -  转塘', '360万', '单价45570元/平米')
('https://image1.ljcdn.com/330100-inspection/test-36de6c5e-856b-48f8-858b-1073849eea98.png.296x216.jpg', '城西总价超低一室，业主诚售, 有钥匙随时可看', '莲花新村西区  | 1室1厅 | 44.32平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1999年建板楼  -  文三西路', '190万', '单价42871元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload3b6376f2-6271-4ebe-b3f4-daa729f77890.jpg.296x216.jpg', '和苑小区 4室2厅 470万', '和苑小区  | 4室2厅 | 96.62平米 | 东南 南 | 简装 | 无电梯', '高楼层(共6层)2009年建板楼  -  申花', '470万', '单价48645元/平米')
('https://image1.ljcdn.com/330100-inspection/b07dece3-1ffe-4b1a-95c3-1cf31c0b43c2.jpg.296x216.jpg', '翠苑五区  精装修  小三房  全明户型', '翠苑五区  | 3室1厅 | 75.37平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1996年建板楼  -  翠苑', '400万', '单价53072元/平米')
