('https://image1.ljcdn.com/330100-inspection/df63673a-b304-46da-a708-6c0f9c85ab3a.jpg.296x216.jpg', '降低身价，只为遇见你，急降40万诚心卖', '钱塘景苑  | 4室2厅 | 171.5平米 | 南 北 | 简装 | 有电梯', '中楼层(共12层)2000年建板楼  -  彩虹城', '630万', '单价36735元/平米')
('', '半岛国际 次新小区 楼层好 采光好 房东诚心出售', '半岛国际  | 5室2厅 | 316.24平米 | 南 | 简装 | 有电梯', '高楼层(共29层)2014年建板楼  -  长河', '1470万', '单价46484元/平米')
('', '绿地旭辉城 3室2厅 500万', '绿地旭辉城  | 3室2厅 | 89.42平米 | 南 北 | 其他 | 有电梯', '高楼层(共47层)2017年建板楼  -  奥体', '500万', '单价55916元/平米')
('', '小户型 低总价 自住装修 拎包入住 看房方便', '超级星期天  | 2室1厅 | 71.73平米 | 南 | 精装 | 有电梯', '中楼层(共13层)2008年建板楼  -  浦沿', '275万', '单价38339元/平米')
('https://image1.ljcdn.com/330100-inspection/eb5cbd0b-e766-4870-8f04-0897428c84c8.jpg.296x216.jpg', '地铁口次新房，中上楼层，房东诚心出售，随时看房', '龙湖春江郦城  | 3室2厅 | 87.79平米 | 南 | 简装 | 有电梯', '中楼层(共34层)2017年建板楼  -  滨江区政府', '530万', '单价60372元/平米')
('', '钱塘春晓，优质二房，诚心出售！', '钱塘春晓  | 2室2厅 | 120.79平米 | 南 | 其他 | 有电梯', '低楼层(共12层)2005年建板塔结合  -  滨江区政府', '560万', '单价46362元/平米')
('', '业主诚心出售，朝南精装修小住宅。楼层采光好！', '中兴和园  | 1室1厅 | 50.65平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2009年建板楼  -  彩虹城', '180万', '单价35539元/平米')
('https://image1.ljcdn.com/330100-inspection/12fbd27e-a04e-4f78-91c7-aba17a2ccf87.jpg.296x216.jpg', '湖漫雅筑  上下两层  自住精装 拎包入住', '湖漫雅筑  | 3室2厅 | 89.36平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2015年建板楼  -  白马湖', '475万', '单价53156元/平米')
('', '开发商精装修公寓LOFT，舒适宽敞', '世茂智慧之门  | 2室1厅 | 34平米 | 东 | 精装', '中楼层(共19层)2018年建板楼  -  滨江区政府', '200万', '单价58824元/平米')
('', '滨江大三房，三房朝南，楼层好，采光佳', '时代长岛之春  | 3室2厅 | 125.78平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)2005年建板楼  -  浦沿', '355万', '单价28224元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/f352841d-663f-422a-9f6c-449efdc97a69.png.280x210.jpg', '中奥江锦国际 1室1厅 135万', '中奥江锦国际  | 1室1厅 | 53.69平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2012年建板楼  -  滨江区政府', '135万', '单价25145元/平米')
('', '中赢康康谷 精装修 LOFT结构 楼层好 诚心出售', '中赢康康谷  | 2室1厅 | 45.68平米 | 北 | 精装', '14层2017年建板楼  -  滨江区政府', '198万', '单价43346元/平米')
('https://image1.ljcdn.com/330100-inspection/fc2eb69f-ad73-4d51-997b-c95423f6e8dc.jpg.296x216.jpg', '精装60万 有车位 江景视野开阔 看房方便 诚心想出售', '世茂之西湖  | 3室2厅 | 88.08平米 | 南 | 其他 | 有电梯', '高楼层(共27层)2015年建板楼  -  彩虹城', '590万', '单价66985元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/7bc3bb86-c4bf-4a18-8be5-64e11eeb62de.png.280x210.jpg', '温兴风情苑 3室1厅 396万', '温兴风情苑  | 3室1厅 | 92平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2007年建板楼  -  西兴', '396万', '单价43044元/平米')
('', '滨江宝龙广场小面积边套带阳台精装修地铁口旁', '滨江宝龙城市广场  | 1室1厅 | 32.04平米 | 东 南 | 精装', '高楼层(共24层)2016年建板塔结合  -  彩虹城', '130万', '单价40575元/平米')
('https://image1.ljcdn.com/330100-inspection/4e21edc5-806d-42cb-a0f7-8a211c46747e.JPG.296x216.jpg', '风情苑，一层低跃一层，买一层得一层', '温兴风情苑  | 5室2厅 | 106平米 | 东南 南 | 精装 | 无电梯', '低楼层(共6层)2007年建板楼  -  西兴', '453万', '单价42736元/平米')
('', '开发商精装修公寓LOFT，舒适宽敞', '世茂智慧之门  | 2室1厅 | 34.43平米 | 东 | 精装', '中楼层(共19层)2018年建板楼  -  滨江区政府', '200万', '单价58089元/平米')
('', '官河锦庭   138方  四房   边套', '中天官河锦庭  | 4室2厅 | 135.64平米 | 南 | 简装 | 有电梯', '高楼层(共34层)2015年建板楼  -  西兴', '660万', '单价48659元/平米')
('', '东方郡纯毛坯顶跃 送车位 小区中间位置 诚心出售', '欣盛东方郡西区  | 5室2厅 | 223平米 | 东 南 北 | 其他 | 有电梯', '高楼层(共10层)2010年建板楼  -  滨江区政府', '1500万', '单价67265元/平米')
('', '迎春北苑 3室2厅 420万', '迎春北苑  | 3室2厅 | 126.45平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  滨江区政府', '420万', '单价33215元/平米')
('https://image1.ljcdn.com/330100-inspection/a80594de-ea66-4942-a5bc-356d237b48d6.jpg.296x216.jpg', '观邸国际全明大三房 自住精装 三房朝南 可见江景', '观邸国际  | 3室2厅 | 131.04平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2008年建板塔结合  -  浦沿', '535万', '单价40828元/平米')
('', '大三房  南北通透 地铁口 大阳台 交通方便 看房方便', '迎春小区  | 3室2厅 | 112.12平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2005年建板楼  -  滨江区政府', '395万', '单价35231元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/874266a6-c548-449d-a69b-344c540b0678.png.280x210.jpg', '房子满五唯一，免双税，交通便利', '观邸国际  | 3室2厅 | 158平米 | 南 | 简装 | 有电梯', '高楼层(共32层)2008年建板楼  -  浦沿', '600万', '单价37975元/平米')
('https://image1.ljcdn.com/330100-inspection/test-1d7ce406-487a-4764-90c3-54518ad2ab8c.png.296x216.jpg', '盛元慧谷在售小面积两房，自住装修中间楼层，全明户型', '盛元慧谷  | 2室1厅 | 78平米 | 南 西 | 精装 | 有电梯', '34层2008年建板楼  -  彩虹城', '365万', '单价46795元/平米')
('', '此房没有双税，户型好楼层好，房东诚心卖', '贺田尚城  | 5室2厅 | 285.48平米 | 南 | 简装 | 有电梯', '高楼层(共11层)2003年建板楼  -  浦沿', '1100万', '单价38532元/平米')
('', '一线江景公寓单价2.8万还能商量紧靠低碳科技馆杭州印', '金龙大厦  | 1室0厅 | 52.03平米 | 东北 | 精装 | 有电梯', '高楼层(共28层)2011年建塔楼  -  滨江区政府', '150万', '单价28830元/平米')
('', '风雅钱塘 绿城物业 次新小区 西边套 户型正气', '风雅钱塘  | 3室2厅 | 168平米 | 南 西 北 | 简装 | 有电梯', '高楼层(共33层)2006年建板楼  -  滨江区政府', '780万', '单价46429元/平米')
('https://image1.ljcdn.com/330100-inspection/test-a7f46857-6b5a-4aaf-9d60-ee8f8f1dd4c3.png.296x216.jpg', '奥体板块 户型方正，全明户型 纯毛坯房 近距离钱塘江', '莱蒙水榭春天  | 3室2厅 | 83.76平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2016年建板楼  -  奥体', '515万', '单价61486元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/473f71ef-159a-45bc-9807-51a10b7d9488.png.280x210.jpg', '近钱塘江边，朝南户型，交通便利，诚心出售', '钱江湾花园  | 1室1厅 | 53.27平米 | 南 | 精装 | 有电梯', '低楼层(共16层)2003年建板楼  -  浦沿', '265万', '单价49747元/平米')
('', '临江花园低总价两房，户型方正，业主诚心卖', '临江花园  | 2室2厅 | 89平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2005年建板楼  -  彩虹城', '350万', '单价39326元/平米')
('', '水印城 2室2厅 470万', '水印城  | 2室2厅 | 103.51平米 | 东 南 北 | 其他 | 有电梯', '中楼层(共32层)2008年建板楼  -  长河', '470万', '单价45407元/平米')
('', '地处滨江钱江南岸一桥东侧小区地理位置优越交通便利', '彩虹城  | 1室2厅 | 69平米 | 东南 | 简装 | 有电梯', '中楼层(共20层)2007年建板楼  -  彩虹城', '350万', '单价50725元/平米')
('', '南岸晶都花园 3室2厅 480万', '南岸晶都花园  | 3室2厅 | 132.47平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2007年建板楼  -  长河', '480万', '单价36235元/平米')
('', '次新房大四房坐拥樱花大道业主诚售', '钱塘大观  | 4室2厅 | 224.67平米 | 南 北 | 精装', '低楼层(共22层)2017年建板楼  -  浦沿', '670万', '单价29822元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/606a626a-cc3c-49c5-b56c-8403e0093933.png.280x210.jpg', '此房一线沿钱塘江，楼层好 江景视野好 业主诚心出售', '风尚蓝湾  | 1室1厅 | 44.1平米 | 西南 | 精装 | 有电梯', '中楼层(共29层)2010年建塔楼  -  浦沿', '95万', '单价21542元/平米')
('', '托管自如的，开发商统一装修的，位置好 诚心卖', '绿地旭辉城  | 3室2厅 | 86.8平米 | 南 | 精装 | 有电梯', '低楼层(共47层)2017年建板楼  -  奥体', '520万', '单价59908元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/2b96c26c-0a4a-434f-87db-42f4439cf892.png.280x210.jpg', '江南文苑 交通便利  配套齐全', '江南文苑  | 2室1厅 | 87.98平米 | 南 北 | 简装 | 有电梯', '高楼层(共18层)2010年建板楼  -  浦沿', '365万', '单价41487元/平米')
('https://image1.ljcdn.com/330100-inspection/383b625d-7b2a-4aee-bcca-3e7162f9e2bf.JPG.296x216.jpg', '朝南户型，楼层好 ，视野开阔 ，沿江公寓', '凯瑞金座  | 1室0厅 | 76平米 | 东南 | 简装 | 有电梯', '低楼层(共24层)2000年建板楼  -  滨江区政府', '180万', '单价23685元/平米')
('', '官河锦庭  138方  四房  边套', '中天官河锦庭  | 4室2厅 | 138.53平米 | 南 | 简装 | 有电梯', '中楼层(共34层)2015年建板楼  -  西兴', '780万', '单价56306元/平米')
('', '湖漫大户型 赠送面积大 楼间距大 小区比较新', '湖漫雅筑  | 5室1厅 | 135平米 | 南 西 北 | 简装 | 有电梯', '低楼层(共11层)2015年建板楼  -  白马湖', '550万', '单价40741元/平米')
('', '优质的户型，最美丽的价格，居住舒适，诚心出售', '寰宇天下  | 2室2厅 | 89.29平米 | 南 | 简装 | 有电梯', '中楼层(共34层)2014年建板楼  -  滨江区政府', '460万', '单价51518元/平米')
('', '滨江地铁4号线大三房全明户型，生活配套齐全', '银爵世纪公寓  | 3室2厅 | 133.75平米 | 南 | 简装 | 有电梯', '低楼层(共32层)2008年建板楼  -  浦沿', '510万', '单价38131元/平米')
('', '滨江儿保旁仁苑小区，价格低谷房东诚心卖', '仁苑  | 5室2厅 | 164平米 | 南 北 | 简装 | 有电梯', '中楼层(共29层)2009年建板楼  -  长河', '788万', '单价48049元/平米')
('', '铂金名筑满两年免个税小三房简单装修', '铂金名筑  | 3室1厅 | 88.93平米 | 南 | 简装 | 有电梯', '低楼层(共12层)2015年建板楼  -  长河', '370万', '单价41606元/平米')
('', '此房满两年免综合税，南北通透，视野开阔，采光充足。', '寰宇天下  | 5室2厅 | 256.66平米 | 南 | 简装 | 有电梯', '低楼层(共31层)2014年建板楼  -  滨江区政府', '1200万', '单价46755元/平米')
('', '曼城边套两房 配套完善 诚心出售', '金盛曼城  | 2室2厅 | 87.82平米 | 南 北 | 简装 | 有电梯', '中楼层(共18层)2010年建板楼  -  浦沿', '345万', '单价39285元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/80acf66c-3353-49a8-a3f0-c286cfcd78d8.png.280x210.jpg', '东边套 绿地旭辉城 视野开阔 奥体旁 户型好采光好', '绿地旭辉城  | 3室1厅 | 89平米 | 南 | 简装 | 有电梯', '高楼层(共47层)2017年建板楼  -  奥体', '540万', '单价60675元/平米')
('', '迎春小区 2室1厅 225万', '迎春小区  | 2室1厅 | 49.04平米 | 南 | 简装 | 无电梯', '低楼层(共5层)2005年建板楼  -  滨江区政府', '225万', '单价45881元/平米')
('', '钱江湾花园大三房，位置好 小区绿化高', '钱江湾花园  | 3室2厅 | 141.78平米 | 南 | 简装 | 有电梯', '低楼层(共16层)2003年建板楼  -  浦沿', '570万', '单价40204元/平米')
('', '多层得 房 率高 双卫全明 自住精装 小区安静位置', '南都江滨花园  | 3室2厅 | 119.63平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2008年建板楼  -  彩虹城', '640万', '单价53499元/平米')
('', '彩虹城板块 地铁口跃层 7个房间 100万精装', '景江苑  | 7室2厅 | 262平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2004年建板楼  -  彩虹城', '925万', '单价35306元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/84761cbe-f3e9-4d6c-b604-a420d78c6152.png.280x210.jpg', '区政府标准小三房，全明户型，朝小区景观位置。', '龙湖春江郦城  | 3室2厅 | 88.43平米 | 南 | 简装 | 有电梯', '中楼层(共30层)2017年建板楼  -  滨江区政府', '550万', '单价62197元/平米')
('', '全明户型，视野宽阔，蓝天白云，大三房', '万科逸天广场  | 3室2厅 | 153平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2007年建板楼  -  浦沿', '780万', '单价50981元/平米')
('', '江滨澜庭 loft精装修 拎包入住', '江滨澜廷  | 1室2厅 | 57.24平米 | 西北 | 精装', '24层2014年建板楼  -  滨江区政府', '245万', '单价42803元/平米')
('', '一线江景， 户型方正， 大三房。', '盛元慧谷  | 3室1厅 | 158平米 | 南 北 | 简装 | 有电梯', '高楼层(共40层)2008年建板楼  -  彩虹城', '735万', '单价46519元/平米')
('', '云厦连园全明户型两房朝南新上好房', '云厦连园  | 3室2厅 | 88.3平米 | 南 | 其他 | 有电梯', '高楼层(共12层)2010年建板楼  -  西兴', '400万', '单价45301元/平米')
('https://image1.ljcdn.com/330100-inspection/test-0b3701e7-8c35-4674-bfae-628a91ed7df0.png.296x216.jpg', '星光大道 区政府旁 地铁口 精装修 高楼层', '星光国际公馆  | 1室1厅 | 54.42平米 | 北 | 其他 | 有电梯', '中楼层(共26层)2012年建板楼  -  滨江区政府', '135万', '单价24808元/平米')
('', '中南白马湖 次新房 采光充足 视野好，三房两卫', '中南白马湖壹号  | 3室2厅 | 87.76平米 | 南 | 毛坯', '高楼层(共18层)2017年建板楼  -  白马湖', '300万', '单价34185元/平米')
('', '天鸿君邑+开发商精装+南北双阳台+华润物美旁+双第铁', '天鸿君邑  | 2室2厅 | 87.22平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2010年建板楼  -  浦沿', '380万', '单价43568元/平米')
('', '寰宇天下简装出租 刚需小户型 满两年总价低', '寰宇天下  | 2室2厅 | 89.29平米 | 南 | 简装 | 有电梯', '高楼层(共34层)2014年建板楼  -  滨江区政府', '500万', '单价55998元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/61dddd8e-41fa-47cb-b9f2-622f9277e130.png.280x210.jpg', '奥体小三房，可满两年过户 全明户型 近距离钱塘江', '莱蒙水榭春天  | 3室1厅 | 81.86平米 | 南 | 毛坯 | 有电梯', '低楼层(共25层)2016年建板楼  -  奥体', '480万', '单价58637元/平米')
('', '长江小区 4室2厅 480万', '长江小区  | 4室2厅 | 118平米 | 南 | 简装', '高楼层(共6层)2004年建板楼  -  长河', '480万', '单价40678元/平米')
('https://image1.ljcdn.com/330100-inspection/test-2bad88d4-11a7-47ff-854d-170ec50e75fe.png.296x216.jpg', '世茂之西湖 1室1厅 188万', '世茂之西湖  | 1室1厅 | 47.4平米 | 南 | 其他 | 有电梯', '33层2015年建板楼  -  彩虹城', '188万', '单价39663元/平米')
('', '此房是开发商统一精装修，拎包入住的', '世茂之西湖  | 1室1厅 | 52.67平米 | 东北 | 精装 | 有电梯', '中楼层(共18层)2015年建板楼  -  彩虹城', '240万', '单价45567元/平米')
('', '彩虹城板块 落地窗无阳台 正三房', '天寓  | 3室2厅 | 139平米 | 南 | 简装 | 有电梯', '低楼层(共32层)2007年建板楼  -  彩虹城', '570万', '单价41008元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/7cfc9369-f63e-474d-a222-f2755660fe53.png.280x210.jpg', '官河锦庭  89方三房两卫   精装修', '中天官河锦庭  | 3室2厅 | 89.87平米 | 南 | 精装 | 有电梯', '中楼层(共34层)2015年建板楼  -  西兴', '430万', '单价47847元/平米')
('', '超级星期天  70年住宅    诚心出售    民用水电', '超级星期天  | 1室1厅 | 38.02平米 | 南 | 简装 | 有电梯', '高楼层(共13层)2008年建板楼  -  浦沿', '145万', '单价38138元/平米')
('', '银色港湾公寓 1室1厅 250万', '银色港湾公寓  | 1室1厅 | 42.03平米 | 南 | 精装 | 有电梯', '中楼层(共16层)2006年建板楼  -  彩虹城', '250万', '单价59482元/平米')
('https://image1.ljcdn.com/330100-inspection/test-8ad1116e-0793-463a-942a-de4c88dd1112.png.296x216.jpg', '世茂之西湖 1室1厅 185万', '世茂之西湖  | 1室1厅 | 46.07平米 | 北 | 其他 | 有电梯', '33层2015年建板楼  -  彩虹城', '185万', '单价40157元/平米')
('', '滨江高新儿保旁配套齐全看房方便', '仁苑  | 4室2厅 | 164.08平米 | 南 | 简装 | 有电梯', '低楼层(共29层)2009年建板楼  -  长河', '739万', '单价45040元/平米')
('', '迎春北苑 3室1厅 420万', '迎春北苑  | 3室1厅 | 80.28平米 | 南 | 其他 | 有电梯', '低楼层(共11层)2005年建板楼  -  滨江区政府', '420万', '单价52317元/平米')
('', '世茂智慧之门 2室2厅 200万', '世茂智慧之门  | 2室2厅 | 45.94平米 | 西南 | 其他', '中楼层(共19层)2018年建板楼  -  滨江区政府', '200万', '单价43536元/平米')
('', '半岛国际边套小三房，精装修，可看江', '半岛国际  | 3室2厅 | 87.8平米 | 南 | 精装 | 有电梯', '高楼层(共28层)2014年建板楼  -  长河', '520万', '单价59226元/平米')
('https://image1.ljcdn.com/330100-inspection/21cfb9ec-2b06-4b47-ab05-8e4d978ae8d1.JPG.296x216.jpg', '房东诚心出售，价格接近买入价。', '星耀城  | 1室0厅 | 48.34平米 | 西 | 精装 | 无电梯', '低楼层(共20层)2014年建板楼  -  滨江区政府', '170万', '单价35168元/平米')
('https://image1.ljcdn.com/330100-inspection/test-8689c490-81e4-48d3-89c8-66289959bf79.png.296x216.jpg', '刚需精致小户型，精装满二诚心售，温馨小窝随时看房。', '南岸晶都花园  | 1室1厅 | 58.54平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2007年建板楼  -  长河', '265万', '单价45269元/平米')
('', '开发商精装修公寓LOFT，舒适宽敞', '世茂智慧之门  | 2室1厅 | 45.94平米 | 南 | 精装', '低楼层(共19层)2018年建板楼  -  滨江区政府', '230万', '单价50066元/平米')
('', 'Loft买一层送一层诚心出售精装修', '汉峰峰公馆  | 1室1厅 | 67.32平米 | 南 | 其他 | 有电梯', '中楼层(共22层)2013年建板楼  -  滨江区政府', '238万', '单价35354元/平米')
('', '世茂智慧之门 2室2厅 200万', '世茂智慧之门  | 2室2厅 | 45.94平米 | 西南 | 其他', '中楼层(共19层)2018年建板楼  -  滨江区政府', '200万', '单价43536元/平米')
('', '彩虹城板块银色港湾南北通三房朝南', '银色港湾公寓  | 3室2厅 | 150平米 | 南 北 | 简装 | 有电梯', '高楼层(共18层)2006年建板楼  -  彩虹城', '585万', '单价39000元/平米')
('', '西兴街 2室2厅 600万', '西兴街  | 2室2厅 | 65.35平米 | 南 北 | 简装', '低楼层(共1层)暂无数据  -  西兴', '600万', '单价91814元/平米')
('https://image1.ljcdn.com/330100-inspection/a0d69131-ee2e-4866-a7e0-54c9e3df3204.jpg.296x216.jpg', '金龙大厦 开发商精装修 拎包入住', '金龙大厦  | 1室1厅 | 68.6平米 | 南 北 | 精装 | 有电梯', '中楼层(共28层)2011年建塔楼  -  滨江区政府', '173万', '单价25219元/平米')
('https://image1.ljcdn.com/330100-inspection/test-7a395c8d-0e67-41a5-bc05-d52357c1a9a3.png.296x216.jpg', '江滨澜廷 1室1厅 225万', '江滨澜廷  | 1室1厅 | 56.43平米 | 北 | 其他', '24层2014年建板楼  -  滨江区政府', '225万', '单价39873元/平米')
('', '中兴花园 3室2厅 555万', '中兴花园  | 3室2厅 | 115.96平米 | 南 | 其他 | 有电梯', '中楼层(共16层)2000年建板楼  -  滨江区政府', '555万', '单价47862元/平米')
('', '贺田尚城全明大三房 南北通透 两房朝南 双阳台', '贺田尚城  | 3室2厅 | 133.5平米 | 南 北 | 简装 | 有电梯', '中楼层(共11层)2003年建板楼  -  浦沿', '580万', '单价43446元/平米')
('', '长河商厦 4室2厅 185万', '长河商厦  | 4室2厅 | 103平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2010年建板楼  -  白马湖', '185万', '单价17962元/平米')
('', '中兴花园 3室2厅 515万', '中兴花园  | 3室2厅 | 108平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2000年建板楼  -  滨江区政府', '515万', '单价47686元/平米')
('', '楼幢位置好，稀有边套，户型优质，可拎包入住！', '南岸晶都花园  | 3室2厅 | 136平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2007年建板楼  -  长河', '544万', '单价40000元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadaa0de0fb-8547-49cc-9551-961d52a080df.jpg.296x216.jpg', '江滨澜廷，精装LOFT,绿城物业，智能家居，江景公寓', '江滨澜廷  | 1室1厅 | 48平米 | 南 | 精装', '24层2014年建板楼  -  滨江区政府', '240万', '单价50000元/平米')
('', '风雅钱塘 4室2厅 710万', '风雅钱塘  | 4室2厅 | 133.7平米 | 西 | 其他 | 有电梯', '低楼层(共33层)2006年建板楼  -  滨江区政府', '710万', '单价53104元/平米')
('', '水印城 3室2厅 720万', '水印城  | 3室2厅 | 154平米 | 南 北 | 其他 | 有电梯', '中楼层(共32层)2008年建板楼  -  长河', '720万', '单价46754元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/f3015a6a-2324-48ff-825a-f0c0141ca108.png.280x210.jpg', '龙湖朝南户型，楼层好 ， 奥体旁', '龙湖春江彼岸  | 4室2厅 | 138.83平米 | 西南 | 简装 | 有电梯', '中楼层(共33层)2015年建板楼  -  奥体', '950万', '单价68430元/平米')
('', '开发商精装修公寓LOFT，舒适宽敞', '世茂智慧之门  | 2室1厅 | 42.98平米 | 南 | 精装', '中楼层(共19层)2018年建板楼  -  滨江区政府', '200万', '单价46534元/平米')
('', '之江花园 4室6厅 2200万', '之江花园   | 独栋别墅 | 4室6厅 | 249.14平米 | 南 | 精装 | 无电梯', '1层2003年建暂无数据  -  彩虹城', '2200万', '单价88304元/平米')
('https://image1.ljcdn.com/330100-inspection/ba928ddc-f04c-4235-9597-cff84f4e3a13.jpg.296x216.jpg', '精装两房，拎包入住，楼层nice，前后无遮挡，边套', '金盛曼城  | 2室2厅 | 85.52平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2010年建板楼  -  浦沿', '355万', '单价41511元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/3f6197ee-409e-478e-8296-c67cae1d3ca2.png.280x210.jpg', '单价低，总价低，赠送车位，房东诚心出售', '观邸国际  | 4室2厅 | 146.56平米 | 南 | 简装 | 有电梯', '低楼层(共33层)2008年建板塔结合  -  浦沿', '510万', '单价34799元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload64f5bb15-a3da-4a98-a3b5-5d3dead357ac.jpg.296x216.jpg', '万科璞悦湾商铺，户型好，方便看房。', '万科璞悦湾  | 1室0厅 | 94.13平米 | 南 | 毛坯 | 无电梯', '低楼层(共8层)2016年建板楼  -  浦沿', '220万', '单价23372元/平米')
('', '天鸿君邑 2室2厅 380万', '天鸿君邑  | 2室2厅 | 85.02平米 | 南 北 | 精装 | 有电梯', '高楼层(共30层)2010年建板楼  -  浦沿', '380万', '单价44696元/平米')
('', '明月江南 89方620万优质2房 精装交付', '绿城明月江南  | 2室1厅 | 89平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2014年建板楼  -  滨江区政府', '620万', '单价69663元/平米')
('', '通策广场唯一在售朝南顶层大三居', '通策广场  | 3室2厅 | 136平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2005年建板楼  -  彩虹城', '612万', '单价45000元/平米')
('', '此房满两年免综合税，南北通透，视野开阔，采光充足。', '寰宇天下  | 5室2厅 | 255平米 | 南 | 简装 | 有电梯', '低楼层(共31层)2014年建板楼  -  滨江区政府', '1180万', '单价46275元/平米')
('https://image1.ljcdn.com/330100-inspection/f0146fcd-e231-4572-902f-409da2e7cbf7.jpg.296x216.jpg', '此房总价低，交通便利，设施配套齐。自住出租方便。', '超级星期天  | 1室1厅 | 38平米 | 北 | 简装 | 有电梯', '低楼层(共13层)2008年建板楼  -  浦沿', '70万', '单价18422元/平米')
('https://image1.ljcdn.com/330100-inspection/85928aba-da8b-48f7-b3d5-9bbe61007407.jpg.296x216.jpg', '长江小区小三房， 单价总价低，', '长江小区  | 3室2厅 | 85.83平米 | 南 | 简装', '中楼层(共6层)2004年建板楼  -  长河', '315万', '单价36701元/平米')
('https://image1.ljcdn.com/330100-inspection/0f0a856e-a057-4d0e-a630-6a677c943908.JPG.296x216.jpg', '星光国际公馆 1室1厅 150万', '星光国际公馆  | 1室1厅 | 53.16平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2012年建板楼  -  滨江区政府', '150万', '单价28217元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/24d5a0d9-da68-4dc0-952c-0e0a50edf085.png.280x210.jpg', '燕语林森新上大三房，南北双阳台，户型方正', '燕语林森公寓  | 3室2厅 | 134.51平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2007年建板楼  -  西兴', '505万', '单价37544元/平米')
('', '春波三房加145万可另得100多方储藏间', '春波小区  | 3室2厅 | 101平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2001年建板楼  -  长河', '375万', '单价37129元/平米')
('', '奥体板块 高楼层 视野开阔 业主急售', '绿地旭辉城  | 3室2厅 | 85.09平米 | 南 | 精装 | 有电梯', '高楼层(共47层)2017年建板楼  -  奥体', '505万', '单价59349元/平米')
('', '寰宇天下 3室2厅 800万', '寰宇天下  | 3室2厅 | 181.25平米 | 南 | 简装 | 有电梯', '低楼层(共31层)2014年建板楼  -  滨江区政府', '800万', '单价44138元/平米')
('https://image1.ljcdn.com/330100-inspection/b643bf64-4774-4692-bb09-a4621f767b6f.JPG.296x216.jpg', 'loft 4.78米层高，边套可见江', '凯瑞金座  | 1室1厅 | 134.98平米 | 北 | 精装 | 有电梯', '中楼层(共24层)2000年建板楼  -  滨江区政府', '360万', '单价26671元/平米')
('', '金铂湾 1室1厅 220万', '金铂湾  | 1室1厅 | 51平米 | 东南 | 其他', '高楼层(共24层)2016年建板楼  -  滨江区政府', '220万', '单价43138元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/56c93f4d-8af3-43f5-9bb1-5df40f4e50ee.png.280x210.jpg', '明月江南，绿化覆盖，质量物业，精装中yang空调＋地暖', '绿城明月江南  | 2室1厅 | 85.45平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2014年建板楼  -  滨江区政府', '590万', '单价69047元/平米')
('', '仁苑 2室2厅 500万', '仁苑  | 2室2厅 | 104.03平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2009年建板楼  -  长河', '500万', '单价48064元/平米')
('', '中南公寓 2室2厅 340万', '中南公寓  | 2室2厅 | 88.5平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1996年建板楼  -  长河', '340万', '单价38419元/平米')
