('https://image1.ljcdn.com/370600-inspection/2268727c-fdd4-49e0-88b2-b373cd71b3dc.JPG.296x216.jpg', '翡翠小区+南通路+大三居+南北通透+年代新框架房', '通世里  | 3室2厅 | 111.44平米 | 南 北 | 精装', '中楼层(共5层)1999年建板楼  -  南通路', '208万', '单价18665元/平米')
('https://image1.ljcdn.com/370600-inspection/b8303f67-1e59-41f5-bdd0-e57e5ff2d3e8.jpg.296x216.jpg', '世秀新区三居室双南卧一北卧有车库', '世秀新区  | 3室2厅 | 87.99平米 | 南 北 | 其他', '高楼层(共6层)2002年建板楼  -  惠安', '140万', '单价15911元/平米')
('https://image1.ljcdn.com/370600-inspection/0e74aca7-2226-45b5-b64f-f526b6591dde.jpg.296x216.jpg', '桦林颐和园两室 毛坯 可贷款 带电梯 看房方便', '桦林·颐和苑  | 2室1厅 | 77平米 | 南 | 其他', '中楼层(共27层)2014年建板楼  -  魁玉路', '85万', '单价11039元/平米')
('https://image1.ljcdn.com/370600-inspection/245f9d1a-853b-40ca-9389-65db9d5dad42.jpg.296x216.jpg', '开元新村A区 3室1厅 160万', '开元新村A区  | 3室1厅 | 115平米 | 南 北 | 其他', '中楼层(共7层)2000年建板楼  -  幸福', '160万', '单价13914元/平米')
('https://image1.ljcdn.com/370600-inspection/88c093be-ca43-4dee-934b-8b37d4d55ad6.jpg.296x216.jpg', '南通路  *方便 楼层好 视野宽阔 交通便利', '南通路  | 3室1厅 | 74.81平米 | 东 西 | 其他', '高楼层(共6层)1985年建板楼  -  毓璜顶', '150万', '单价20051元/平米')
('https://image1.ljcdn.com/370600-inspection/156e108c-54f4-4cdb-bd29-ecdc58a7d6f7.jpg.296x216.jpg', '奇山早市+南北通透+采光无遮挡+生活方便', '奇山中街  | 2室1厅 | 50.37平米 | 东 西 北 | 其他', '中楼层(共5层)1990年建板楼  -  上夼', '53万', '单价10523元/平米')
('https://image1.ljcdn.com/370600-inspection/ae8df562-3a6f-4b55-a086-114a3df9a5cf.JPG.296x216.jpg', '上下复式 带露台，看山看海 南北透通', '万科御龙山  | 3室2厅 | 143平米 | 南 北 | 其他', '高楼层(共18层)2017年建板楼  -  黄海', '360万', '单价25175元/平米')
('https://image1.ljcdn.com/370600-inspection/c370228b-8a83-4253-a655-a81f307c4972.jpg.296x216.jpg', '迎山路 3室1厅 180万', '迎山路  | 3室1厅 | 74.76平米 | 南 北 | 其他', '中楼层(共4层)1990年建板楼  -  二马路', '180万', '单价24078元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadaa922dd6-634d-4ed4-9997-ee4e202b932e.jpg.296x216.jpg', '东关南街+烟台五中+建昌街+配套全面+商圈繁华+可贷款', '东关中街  | 2室1厅 | 68.1平米 | 南 北 | 其他', '高楼层(共6层)1989年建板楼  -  厚安', '75万', '单价11014元/平米')
('https://image1.ljcdn.com/370600-inspection/a03685b0-8370-4e6e-b802-74c14889974d.jpg.296x216.jpg', '此房满二唯一，不临街，交通便利，中等装修可直接住', '南迎祥路  | 2室1厅 | 54.57平米 | 南 | 其他', '高楼层(共6层)1994年建板楼  -  上夼', '136万', '单价24923元/平米')
('https://image1.ljcdn.com/370600-inspection/879631ae-f3d9-4ddd-b72a-81aaceb1c213.jpg.296x216.jpg', '海港小区 2室2厅 81万', '海港小区  | 2室2厅 | 68.55平米 | 南 北 | 其他', '高楼层(共7层)1998年建板楼  -  幸福', '81万', '单价11817元/平米')
('https://image1.ljcdn.com/370600-inspection/5d01847f-9fec-4056-9da8-0b055f6e1bb4.jpg.296x216.jpg', '一楼 双南五 装修保持不错 2002年框架房', '桦林小区  | 3室2厅 | 81.4平米 | 南 北 | 其他', '低楼层(共7层)2000年建板塔结合  -  世回尧', '81万', '单价9951元/平米')
('https://image1.ljcdn.com/370600-inspection/7bbb2f3d-7f10-48a1-adfb-d031f08f8f4b.JPG.296x216.jpg', '鼎城2008 毛坯房 中间楼层  看房方便', '鼎城2008  | 3室2厅 | 132平米 | 南 北 | 其他', '高楼层(共26层)2010年建塔楼  -  凤凰台', '110万', '单价8334元/平米')
('https://image1.ljcdn.com/370600-inspection/c8a633af-9be4-4ba8-85a6-86d5188f1177.jpg.296x216.jpg', '幸福五村 双南卧 南北通透 西打头 全明户型 非顶楼', '幸福五村  | 2室2厅 | 67.31平米 | 南 北 | 其他', '中楼层(共7层)1997年建板楼  -  幸福', '92万', '单价13669元/平米')
('https://image1.ljcdn.com/370600-inspection/bae6df1f-56d5-4d4c-bb8b-bd705e1e0fcc.jpg.296x216.jpg', '新林巷 小棚上的一楼 南北通透西打头', '新林巷  | 3室1厅 | 78.23平米 | 南 西 北 | 其他', '低楼层(共8层)1985年建板楼  -  白石', '82万', '单价10482元/平米')
('https://image1.ljcdn.com/370600-inspection/20f2553d-da08-43f8-a01f-3a115852d526.jpg.296x216.jpg', '中铁逸都《精装四室！带家具家电！》全明通透！', '中铁逸都  | 4室2厅 | 111.58平米 | 南 北 | 精装', '高楼层(共25层)2015年建板楼  -  山海南路', '200万', '单价17925元/平米')
('https://image1.ljcdn.com/370600-inspection/20e260fd-b7a6-4a5d-8569-6d2de79caacf.jpg.296x216.jpg', '福泰路 2室1厅 60万', '福泰路  | 2室1厅 | 70平米 | 南 北 | 简装', '高楼层(共7层)1995年建板楼  -  幸福', '60万', '单价8572元/平米')
('https://image1.ljcdn.com/370600-inspection/117e69ed-40f1-4657-89ea-a1dc49d82171.jpg.296x216.jpg', '一中葡萄山 南北通透 采光充足 生活便利', '南迎祥路  | 3室1厅 | 71.56平米 | 南 北 | 其他', '高楼层(共6层)1988年建板楼  -  上夼', '145万', '单价20263元/平米')
('https://image1.ljcdn.com/370600-inspection/b883b70b-4103-4025-8eab-d743fcee86b0.JPG.296x216.jpg', '多层小区，户型是双南卧的且南北通透，客厅敞亮。', '坤宇南街  | 2室1厅 | 77平米 | 南 北 | 其他', '中楼层(共6层)1998年建板楼  -  黄务', '83万', '单价10780元/平米')
('https://image1.ljcdn.com/370600-inspection/719bffd0-6900-4c35-b941-59e9da87f5c1.jpg.296x216.jpg', '银都新城市广场 精装修大三居  70年产权', '银都新城市广场  | 3室1厅 | 136平米 | 南 | 其他', '高楼层(共31层)2011年建塔楼  -  白石', '175万', '单价12868元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploada93ff92a-1e5e-449b-b9c1-cb245146c793.jpg.296x216.jpg', '小区规划成熟，生活方便，出行和交通便利', '桑园路  | 2室1厅 | 68.42平米 | 南 西北 | 简装', '中楼层(共8层)1989年建板楼  -  二马路', '170万', '单价24847元/平米')
('https://image1.ljcdn.com/370600-inspection/d503fed4-521b-4bdf-a5e8-a4120c2a150d.JPG.296x216.jpg', '海港路电梯房 精装修 拎包入住 大悦城对面生活便利', '阳光100  | 3室1厅 | 102.15平米 | 西 | 其他', '中楼层(共29层)2006年建塔楼  -  三水', '130万', '单价12727元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload48c89ae4-8d98-4332-912c-f86ccc38739e.jpg.296x216.jpg', '祥和路 2室2厅 75万', '祥和路  | 2室2厅 | 68.03平米 | 南 北 | 其他', '高楼层(共5层)1992年建板楼  -  幸福', '75万', '单价11025元/平米')
('https://image1.ljcdn.com/370600-inspection/4d2b524f-1f71-46b7-9954-53b1b6a607d4.jpg.296x216.jpg', '青年家园 ，一梯两户 ，南北通透', '青年家园  | 2室1厅 | 80.01平米 | 南 北 | 其他', '高楼层(共7层)2005年建板楼  -  白石', '90万', '单价11249元/平米')
('https://image1.ljcdn.com/370600-inspection/1f2385b9-7fc8-4482-bdfd-9baac2a17c88.jpg.296x216.jpg', '奇山西街+双南卧室+采光足+楼下停车方便+生活便利', '奇山西街  | 2室1厅 | 53.6平米 | 南 | 其他', '高楼层(共7层)1990年建板楼  -  上夼', '50万', '单价9329元/平米')
('https://image1.ljcdn.com/370600-inspection/e9b82681-298c-46ea-b47a-b9c30a048672.jpg.296x216.jpg', '东打头，低楼层，中等装修，看房随时', '南迎祥路  | 2室1厅 | 60.43平米 | 南 北 | 其他', '低楼层(共6层)1988年建板楼  -  上夼', '230万', '单价38061元/平米')
('https://image1.ljcdn.com/370600-inspection/5cb6084f-40d8-4845-b57b-a597539f54de.jpg.296x216.jpg', '福源路 2室1厅 70万', '福源路  | 2室1厅 | 60.03平米 | 南 北 | 其他', '低楼层(共6层)1992年建板楼  -  幸福', '70万', '单价11661元/平米')
('https://image1.ljcdn.com/370600-inspection/65b65a91-d745-47b6-a817-753cc61984a2.jpg.296x216.jpg', '楼层好 采光好 生活便利 户型好 南北通透', '环山路  | 3室2厅 | 85.87平米 | 南 北 | 其他', '中楼层(共6层)1996年建板楼  -  厚安', '206万', '单价23990元/平米')
('https://image1.ljcdn.com/370600-inspection/548684d1-225b-4234-8d56-f2628e1d4d57.jpg.296x216.jpg', '民生小区 东兴街 西北向 简装 2室 明厨明卫', '东兴街  | 2室1厅 | 59.89平米 | 西北 | 简装', '高楼层(共7层)1989年建板楼  -  解放路', '125万', '单价20872元/平米')
('https://image1.ljcdn.com/370600-inspection/59a3e33d-87b2-4555-9e8c-d054f4b14489.jpg.296x216.jpg', '幸芝里 3室2厅 77万', '幸芝里  | 3室2厅 | 80.25平米 | 南 北 | 其他', '高楼层(共6层)1992年建板楼  -  幸福', '77万', '单价9596元/平米')
('https://image1.ljcdn.com/370600-inspection/73b97bc8-6a1d-4372-ba59-8c830e4e44c2.jpg.296x216.jpg', '幸国里小区 2室1厅 60万', '幸国里小区  | 2室1厅 | 66.14平米 | 南 北 | 其他', '中楼层(共7层)1996年建板楼  -  幸福', '60万', '单价9072元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload23d20427-5300-45c2-bd74-703e93633037.JPG.296x216.jpg', '此房一楼带院，南通路，家里收拾干净', '西梨沟  | 3室1厅 | 78.38平米 | 南 北 | 其他', '低楼层(共6层)1985年建板楼  -  毓璜顶', '170万', '单价21690元/平米')
('https://image1.ljcdn.com/370600-inspection/397ebe3d-cc66-44f8-86e1-f9d4193edaa5.jpg.296x216.jpg', '惠安 三居室 框架房 打头房  广场旁边', '惠安小区C区  | 3室2厅 | 113.46平米 | 南 北 | 其他', '中楼层(共7层)2001年建板楼  -  惠安', '180万', '单价15865元/平米')
('https://image1.ljcdn.com/370600-inspection/4ddcaddf-b930-4955-ac14-bbb53bc7b065.jpg.296x216.jpg', '海港小区环境好，采光充足，视野开阔', '海港小区  | 3室1厅 | 77.46平米 | 南 北 | 其他', '高楼层(共6层)1998年建板楼  -  幸福', '88万', '单价11361元/平米')
('https://image1.ljcdn.com/370600-inspection/f9ff1c0c-a3a6-4642-817b-16e5f7a0615c.jpg.296x216.jpg', '幸国里小区，南北通透，简装两室', '幸国里小区  | 2室2厅 | 64平米 | 南 北 | 其他', '高楼层(共7层)1996年建板楼  -  幸福', '56万', '单价8750元/平米')
('https://image1.ljcdn.com/370600-inspection/fbab2f02-1589-4d91-b967-daf9e8049fd0.jpg.296x216.jpg', '蓁山花园 南北通透 两室 明厨明卫 可贷款 随时看房', '蓁山花园  | 2室1厅 | 51.99平米 | 南 北 | 其他', '高楼层(共7层)1999年建板楼  -  世回尧', '53万', '单价10195元/平米')
('https://image1.ljcdn.com/370600-inspection/6ee18a43-bf73-4223-beb0-6d6d5f9d562d.jpg.296x216.jpg', '装修保持好，视野开阔。位置佳，采光好。', '幸福五村  | 3室1厅 | 149平米 | 南 北 | 其他', '中楼层(共7层)2000年建板楼  -  幸福', '198万', '单价13289元/平米')
('https://image1.ljcdn.com/370600-inspection/02e01f52-4cb0-4a53-814a-955ea6372a0a.jpg.296x216.jpg', '开元新村B区 3室2厅 110万', '开元新村B区  | 3室2厅 | 98平米 | 南 北 | 其他', '高楼层(共7层)2008年建板楼  -  幸福', '110万', '单价11225元/平米')
('https://image1.ljcdn.com/370600-inspection/74aaf0c0-3cbf-499c-93d1-9150e1af54b0.jpg.296x216.jpg', '泰然名居 精装一室电梯房 采光无遮挡 停车位充足', '泰然名居  | 1室1厅 | 77.6平米 | 西 | 其他', '中楼层(共32层)2014年建塔楼  -  上夼', '106.6万', '单价13738元/平米')
('https://image1.ljcdn.com/370600-inspection/336de339-4f03-4871-ae81-82782a774e7c.jpg.296x216.jpg', '盛泰花苑一梯两户三室框架房双南卧南北通透停车方便', '南沟街  | 3室2厅 | 132.2平米 | 南 北 | 其他', '高楼层(共7层)2001年建板楼  -  二马路', '298万', '单价22542元/平米')
('https://image1.ljcdn.com/370600-inspection/b6593794-3e9e-447e-9935-106481c1c876.jpg.296x216.jpg', '福茂路 2室2厅 84万', '福茂路  | 2室2厅 | 69.81平米 | 南 北 | 其他', '中楼层(共6层)1995年建板楼  -  幸福', '84万', '单价12033元/平米')
('https://image1.ljcdn.com/370600-inspection/a37887c9-2ded-4c70-afd0-e0f4439cec39.jpg.296x216.jpg', '采光通风好，上下两层面积一样大，阁楼全抬加装修', '上山路小区  | 3室2厅 | 84.5平米 | 南 北 | 其他', '高楼层(共6层)1992年建板楼  -  上夼', '103万', '单价12190元/平米')
('https://image1.ljcdn.com/370600-inspection/afc42192-c20f-422b-b654-8afacaa3cc3e.jpg.296x216.jpg', '周乐街，三室两厅，马赛克房，*方便', '周乐街  | 3室2厅 | 74.67平米 | 南 北 | 其他', '高楼层(共6层)1996年建板楼  -  解放路', '160万', '单价21428元/平米')
('https://image1.ljcdn.com/370600-inspection/fe4ed84a-b30b-4009-822f-afe34ec5a327.jpg.296x216.jpg', '四楼东打头，位置好，南北通透，进门厅南北卧的户型', '东仓甫巷  | 2室1厅 | 57.26平米 | 南 北 | 其他', '中楼层(共5层)1989年建板楼  -  厚安', '116万', '单价20259元/平米')
('https://image1.ljcdn.com/370600-inspection/15365777-68a7-49f3-a467-abaf7e9175a0.jpg.296x216.jpg', '海港小区 2室1厅 46万', '海港小区  | 2室1厅 | 46.96平米 | 南 北 | 其他', '高楼层(共6层)1993年建板楼  -  幸福', '46万', '单价9796元/平米')
('https://image1.ljcdn.com/370600-inspection/d4c48e4a-ecd8-4a2d-ab55-7dbbcaa64ef2.jpg.296x216.jpg', '满五年大户型三室南北通透采光好，生活方便，交通便利', '德新街  | 3室2厅 | 86平米 | 南 北 | 其他', '中楼层(共6层)1995年建板楼  -  毓璜顶', '189万', '单价21977元/平米')
('https://image1.ljcdn.com/370600-inspection/6e02796b-da95-4fab-8e46-adcb534c5100.jpg.296x216.jpg', '桦林颐和园精致三室 采光好带电梯 可贷款送16平大卧室', '桦林·颐和苑  | 3室2厅 | 83.3平米 | 北 | 其他', '中楼层(共27层)2014年建板楼  -  魁玉路', '120万', '单价14406元/平米')
('https://image1.ljcdn.com/370600-inspection/b021701b-e57a-4498-bd8f-e1043d262378.JPG.296x216.jpg', '万科临街别墅可做商铺精装修南北通透实际利用面积大', '万科海云台  | 5室3厅 | 189.56平米 | 南 北 | 其他', '低楼层(共4层)2012年建板楼  -  幸福', '500万', '单价26377元/平米')
('https://image1.ljcdn.com/370600-inspection/b1b0f262-aab4-4041-bd78-57ae653fd376.JPG.296x216.jpg', '新桥新大陆花园房  南北通透  格局好 采光充足', '新大陆花园  | 3室2厅 | 84.08平米 | 南 北 | 其他', '中楼层(共7层)2002年建板楼  -  新桥', '87万', '单价10348元/平米')
('https://image1.ljcdn.com/370600-inspection/af7747a5-7fea-418a-a79e-f78d19481f83.jpg.296x216.jpg', '芝罘屯路 两室一厅 出行购物方便 交通方便', '芝罘屯路  | 2室1厅 | 52.16平米 | 南 北 | 其他', '中楼层(共7层)1989年建板楼  -  三站', '50万', '单价9586元/平米')
('https://image1.ljcdn.com/370600-inspection/560b3814-6de5-4cb1-b965-cc1c6bc6fd81.jpg.296x216.jpg', '洪玉里+三楼南北通透+简单装修+交通便利+视野好采光好', '洪玉里  | 2室1厅 | 55.19平米 | 南 北 | 简装', '中楼层(共5层)1985年建板楼  -  毓璜顶', '115万', '单价20838元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload1137c876-bdd6-43d1-8f33-5ec458797328.jpg.296x216.jpg', '幸福一村 2室1厅 100万', '幸福一村  | 2室1厅 | 64.67平米 | 南 北 | 其他', '中楼层(共7层)暂无数据  -  幸福', '100万', '单价15464元/平米')
('https://image1.ljcdn.com/370600-inspection/c2bff208-a8a9-4864-bcec-c5fef030a73c.JPG.296x216.jpg', '玺萌橘子洲 南北通透 一梯两户 毛坯房 大户型', '玺萌橘子洲  | 3室1厅 | 145.62平米 | 南 北 | 其他', '低楼层(共27层)2015年建塔楼  -  凤凰台', '120万', '单价8241元/平米')
('https://image1.ljcdn.com/370600-inspection/38fa2519-42ee-4f56-b833-ae94f85d10ae.jpg.296x216.jpg', '奇山+凯蒂幼儿园东+东打头+一梯两户+大三室+年代新', '奇山西街  | 3室2厅 | 77.7平米 | 南 北 | 其他', '高楼层(共6层)1990年建板楼  -  上夼', '77万', '单价9910元/平米')
('https://image1.ljcdn.com/370600-inspection/5a84d67c-9ef5-41c9-ba53-b3410a261ff4.jpg.296x216.jpg', '厚安街 南大街旁 2个卧室 楼层好 单价低', '厚安街  | 2室1厅 | 61.04平米 | 东 | 其他', '高楼层(共6层)1992年建板楼  -  解放路', '109万', '单价17858元/平米')
('https://image1.ljcdn.com/370600-inspection/4d2e45ee-a1bc-4660-a49b-c4f2cc372c76.JPG.296x216.jpg', '南北通透，大三室，双卫生间，采光好', '城发康和新城  | 3室1厅 | 118.3平米 | 南 北 | 其他', '中楼层(共11层)2016年建塔楼  -  凤凰台', '140万', '单价11835元/平米')
('https://image1.ljcdn.com/370600-inspection/459e5cf5-37ec-4331-8964-1b4e08296f17.jpg.296x216.jpg', '南迎祥路 2楼 小户型 总价低 不临街不靠道', '南迎祥路  | 2室1厅 | 55.43平米 | 南 北 | 其他', '中楼层(共4层)1988年建板楼  -  上夼', '135万', '单价24356元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload1ed84829-3b78-481c-88e9-41ae9acd7078.jpg.296x216.jpg', '桦林新区，三室两厅，83.12平方，95万', '桦林新区  | 3室2厅 | 83.12平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  魁玉路', '95万', '单价11430元/平米')
('https://image1.ljcdn.com/370600-inspection/7ad0c5b4-fadb-4aab-8c39-b4129041edae.JPG.296x216.jpg', '金晖花园 3室2厅 交通便利 可拎包入住', '金晖花园  | 3室2厅 | 93.98平米 | 南 北 | 其他', '中楼层(共6层)2004年建板楼  -  新桥', '110万', '单价11705元/平米')
('https://image1.ljcdn.com/370600-inspection/dca4f621-fbf0-478b-b61c-bfb503d4d961.JPG.296x216.jpg', '新桥新大陆花园小区  三室两厅 双阳卧室  采光充足', '新大陆花园  | 3室2厅 | 84.08平米 | 南 北 | 其他', '高楼层(共7层)2002年建板楼  -  新桥', '85万', '单价10110元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload898eb805-67f6-4848-a4e4-140f01f8b39e.jpg.296x216.jpg', '二马路，视野开阔，进门是厅，交通便利', '二马路  | 2室2厅 | 87平米 | 南 北 | 精装', '高楼层(共6层)1997年建板楼  -  二马路', '165万', '单价18966元/平米')
('https://image1.ljcdn.com/370600-inspection/6a9b2e77-5b75-4ff9-abca-a4702118bf65.jpg.296x216.jpg', '建设里小区简装5楼东打头好房啊', '建设里小区  | 2室1厅 | 61.28平米 | 东 南 | 其他', '中楼层(共7层)1993年建板楼  -  白石', '65万', '单价10608元/平米')
('https://image1.ljcdn.com/370600-inspection/ed52c731-a83f-401c-9ec3-c73f6cc39052.JPG.296x216.jpg', '迎祥路 3室1厅 158万', '迎祥路  | 3室1厅 | 67.1平米 | 南 北 | 其他', '高楼层(共5层)1988年建板楼  -  厚安', '158万', '单价23547元/平米')
('https://image1.ljcdn.com/370600-inspection/6233a1b4-6586-497b-b522-7341aaedc3f9.jpg.296x216.jpg', '三中，福兴佳苑满五唯一，南北通透二楼精装房', '福兴佳苑  | 3室2厅 | 92.28平米 | 南 北 | 其他', '低楼层(共6层)2007年建板楼  -  魁玉路', '100万', '单价10837元/平米')
('https://image1.ljcdn.com/370600-inspection/da666b09-6cab-4b1e-bc7b-c9846dec2295.jpg.296x216.jpg', '三水佳苑 3室2厅 90万', '三水佳苑  | 3室2厅 | 110.43平米 | 南 北 | 其他', '高楼层(共7层)2004年建板塔结合  -  三站', '90万', '单价8150元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload44891c4d-dcf4-44eb-9568-a04f60c3732e.jpg.296x216.jpg', '福春街，一南卧一北卧，离宏达市场距离500米。', '福春街  | 2室2厅 | 60.3平米 | 南 北 | 其他', '高楼层(共6层)1982年建板楼  -  幸福', '55万', '单价9122元/平米')
('https://image1.ljcdn.com/370600-inspection/55dc15be-cc4d-4d2d-92dd-710fbc9e20fe.jpg.296x216.jpg', '上夼西路+南北通透+满五唯一+可开阁楼', '上夼西路  | 2室1厅 | 57.98平米 | 南 北 | 其他', '高楼层(共6层)1996年建板楼  -  上夼', '58万', '单价10004元/平米')
('https://image1.ljcdn.com/370600-inspection/2a9deef1-76f1-40ff-94fb-8becd897503f.jpg.296x216.jpg', '辛庄街02年左右框架房+一梯两户格局方正+采光充足', '辛庄街  | 3室2厅 | 130.65平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  厚安', '210万', '单价16074元/平米')
('https://image1.ljcdn.com/370600-inspection/547ae0d2-b2d7-432a-82e3-88adc068ebd8.jpg.296x216.jpg', '白石村 白石路小区 近期装修配套齐全 生活方便', '白石路小区  | 2室1厅 | 54.47平米 | 南 | 其他', '高楼层(共6层)1990年建板楼  -  白石', '58万', '单价10649元/平米')
('https://image1.ljcdn.com/370600-inspection/3a289779-f368-4491-adf9-19148168f116.jpg.296x216.jpg', '南沟街2楼 精装修 采光充足 拎包入住', '南沟街  | 1室1厅 | 33.06平米 | 南 | 其他', '低楼层(共6层)1980年建板楼  -  二马路', '103万', '单价31156元/平米')
('https://image1.ljcdn.com/370600-inspection/5a5722c0-e0be-43ee-bddb-1e288a383dad.JPG.296x216.jpg', '南大街振华国际电梯房精装修楼层好采光好配套齐全', '振华国际广场  | 3室2厅 | 123.51平米 | 东北 | 其他', '高楼层(共40层)2010年建板塔结合  -  三站', '168万', '单价13603元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadacad71df-d3ba-47f0-b2f9-a065fbd90867.JPG.296x216.jpg', '越秀星汇凤凰 3室1厅 190万', '越秀星汇凤凰  | 3室1厅 | 116.8平米 | 东 | 其他', '低楼层(共25层)2013年建板楼  -  凤凰台', '190万', '单价16268元/平米')
('https://image1.ljcdn.com/370600-inspection/f9c1a853-a9bb-4fd7-b7d4-fa5c99e989c0.jpg.296x216.jpg', '上夼西路双南卧+南北通透+位置好+生活方便', '上夼西路  | 2室2厅 | 66.7平米 | 南 北 | 简装', '高楼层(共7层)1996年建板楼  -  上夼', '75万', '单价11245元/平米')
('https://image1.ljcdn.com/370600-inspection/e3e90a75-2ef3-491b-a3dd-74bf0af29a22.jpg.296x216.jpg', '白石商圈 多层住宅 一居室 厅卧分离 *', '新海阳东街  | 1室1厅 | 37.26平米 | 南 | 其他', '高楼层(共6层)1995年建板楼  -  白石', '38万', '单价10199元/平米')
('https://image1.ljcdn.com/370600-inspection/01412754-af16-4647-9bc2-7aed9601394d.jpg.296x216.jpg', '西山华庭  市里小复式 时尚精装', '西山华庭  | 2室1厅 | 64平米 | 西南 | 其他', '高楼层(共23层)2011年建塔楼  -  白石', '100万', '单价15625元/平米')
('https://image1.ljcdn.com/370600-inspection/e3102211-e996-4ab5-ab7f-a111af5288c6.jpg.296x216.jpg', '四楼+双南卧室+一东卧室+简单装修+厨卫带明窗', '天相里  | 3室1厅 | 78.67平米 | 东 南 西 | 其他', '中楼层(共6层)板楼  -  解放路', '160万', '单价20339元/平米')
('https://image1.ljcdn.com/370600-inspection/749aa66f-43df-432e-8db9-990c8427bd51.JPG.296x216.jpg', '黄务卧龙小区 3室2厅 85万', '黄务卧龙小区  | 3室2厅 | 85平米 | 南 北 | 其他', '低楼层(共6层)1993年建板楼  -  黄务', '85万', '单价10000元/平米')
('https://image1.ljcdn.com/370600-inspection/6069f383-c1b4-42e2-979b-96c7b3c392f1.JPG.296x216.jpg', '文化十一巷 低楼层 交通便利 购物方便 拎包入住', '文化十一巷  | 3室1厅 | 71平米 | 西 | 其他', '中楼层(共5层)1989年建板楼  -  文化路', '58万', '单价8170元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload18f43e82-f118-4953-a464-10cca29cc0fe.jpg.296x216.jpg', '半封闭小区停车方便2001年框架房，双南卧，南北通透', '南沟街  | 3室2厅 | 110.79平米 | 南 北 | 其他', '中楼层(共7层)2001年建板楼  -  二马路', '270万', '单价24371元/平米')
('https://image1.ljcdn.com/370600-inspection/e664a782-0431-4e45-939a-b4e72aa633b8.jpg.296x216.jpg', '采光好 3室格局好 南北通透  家里柜子很多', '芝罘里  | 3室1厅 | 75.28平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  解放路', '145万', '单价19262元/平米')
('https://image1.ljcdn.com/370600-inspection/b4056551-e5d3-4fe0-9ad7-fc8968a5344f.JPG.296x216.jpg', '桦林新区 3室2厅 125万', '桦林新区  | 3室2厅 | 106.61平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  魁玉路', '125万', '单价11725元/平米')
('https://image1.ljcdn.com/370600-inspection/b47f875e-e75e-4765-b409-727067815cc6.jpg.296x216.jpg', '双阳卧室  南北通透  配套成熟 居住安逸', '幸福一村  | 2室2厅 | 62平米 | 南 北 | 精装', '高楼层(共7层)暂无数据  -  幸福', '73万', '单价11775元/平米')
('https://image1.ljcdn.com/370600-inspection/11370176-7b1d-4e0f-8970-ee1e2b8315d8.jpg.296x216.jpg', '奇山东街 4楼 可改空间大 双阳卧一北卧室 低楼层', '奇山东街  | 3室1厅 | 67.8平米 | 南 北 | 其他', '中楼层(共5层)1990年建板楼  -  上夼', '75万', '单价11062元/平米')
('https://image1.ljcdn.com/370600-inspection/ad9a9b87-bd18-4af3-a9f2-fd8553b87b35.jpg.296x216.jpg', '紫郡城西边 2楼 东打头 框架房 采光好 停车方便', '宁海路  | 3室2厅 | 85平米 | 南 北 | 其他', '低楼层(共7层)2000年建板楼  -  上夼', '125万', '单价14706元/平米')
('https://image1.ljcdn.com/370600-inspection/eeb1e9eb-30e7-4501-8ccc-907ee9d62b80.jpg.296x216.jpg', '迎祥路+4楼西户+简单装修+采光充足', '迎祥路  | 2室1厅 | 67.28平米 | 南 北 | 其他', '中楼层(共5层)1988年建板楼  -  厚安', '170万', '单价25268元/平米')
('https://image1.ljcdn.com/370600-inspection/32a394fd-273a-40a2-91d3-cc867e3e2904.jpg.296x216.jpg', '新世界花园 1室1厅 31万', '新世界花园  | 1室1厅 | 38.29平米 | 北 | 其他', '中楼层(共19层)2005年建板楼  -  幸福', '31万', '单价8097元/平米')
('https://image1.ljcdn.com/370600-inspection/cdb0dce0-8353-4170-840f-e30199f179cf.jpg.296x216.jpg', '福泰路南北通透保持不错楼层合适', '福泰路  | 2室1厅 | 62平米 | 南 北 | 其他', '中楼层(共7层)1995年建板楼  -  幸福', '72.5万', '单价11694元/平米')
('https://image1.ljcdn.com/370600-inspection/c42aa30c-af6a-4a36-b592-4a8c24a7201b.JPG.296x216.jpg', '富甲逸品 2室1厅 195万', '富甲逸品  | 2室1厅 | 90平米 | 南 北 | 其他', '高楼层(共11层)2014年建板楼  -  惠安', '195万', '单价21667元/平米')
