('https://image1.ljcdn.com/340100-inspection/b38fdbfa-b5e1-4192-959b-33a6be533b07.jpg.296x216.jpg', '绿怡居东区 2室1厅 94万', '绿怡居东区  | 2室1厅 | 51.8平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  荷叶地', '94万', '单价18147元/平米')
('https://image1.ljcdn.com/340100-inspection/c551b758-7b63-451e-bad7-605ae3e1e52e.jpg.296x216.jpg', '汇林阁小高层  大四房 诚心出售 西园新村 五十中新区', '汇林阁小区小高层西  | 4室2厅 | 138.3平米 | 南 | 其他', '高楼层(共11层)2006年建板楼  -  笔架山', '258万', '单价18656元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload6389f1f6-5e7f-409a-8237-755a13109c12.jpg.296x216.jpg', '此房满五年 精装修 看房方便 居家温馨 万科物业', '国际花都玫瑰苑  | 4室2厅 | 190.58平米 | 南 北 | 其他', '高楼层(共10层)2005年建塔楼  -  荷叶地', '365万', '单价19153元/平米')
('', '三期西边套，大三房，诚意出售，单价便宜', '凯旋门  | 3室2厅 | 148.06平米 | 南 北 | 其他', '低楼层(共18层)2012年建塔楼  -  荷叶地', '380万', '单价25666元/平米')
('https://image1.ljcdn.com/340100-inspection/44b2b747-4779-45cc-8c05-5509b253aaf8.jpg.296x216.jpg', '旭辉花园精装修大户型，满两年，诚售。', '旭辉花园  | 4室2厅 | 158平米 | 南 北 | 其他', '32层2012年建板楼  -  荷叶地', '415万', '单价26266元/平米')
('https://image1.ljcdn.com/340100-inspection/d7a2666b-ce24-4b9c-93d5-0eeb640cdb4b.jpg.296x216.jpg', '小区中间，位置安静，采光无遮挡， 自住精装修！', '岸上玫瑰  | 3室2厅 | 125.16平米 | 东 南 | 其他', '低楼层(共11层)2009年建板楼  -  笔架山', '290万', '单价23171元/平米')
('https://image1.ljcdn.com/340100-inspection/5aca927f-02ab-4d9d-9f18-17fe83d50ec0.jpg.296x216.jpg', '繁华地段，满五年，配套齐全，居家舒适，出行方便。', '丹青花园  | 2室1厅 | 82.55平米 | 南 | 其他', '高楼层(共16层)2006年建板楼  -  荷叶地', '155万', '单价18777元/平米')
('https://image1.ljcdn.com/340100-inspection/02672dc1-4767-4597-ac35-4278967d7c9b.jpg.296x216.jpg', '国际花都郁金苑 复式大四房 采光无遮挡 配套成熟', '国际花都郁金苑  | 4室2厅 | 161平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  荷叶地', '290万', '单价18013元/平米')
('', '生活便利   拎包入住   采光好', 'imore公寓  | 1室1厅 | 49.5平米 | 北 | 其他', '高楼层(共35层)2014年建塔楼  -  笔架山', '110万', '单价22223元/平米')
('', '政务区 茗香苑 中间楼层 适合居家生活', '茗香苑  | 3室2厅 | 113.7平米 | 南 | 其他', '中楼层(共18层)2012年建塔楼  -  荷叶地', '190万', '单价16711元/平米')
('https://image1.ljcdn.com/340100-inspection/f8692ea9-2528-4e99-8ec5-757a963ced3f.jpg.296x216.jpg', '宋都西湖花苑 五房纯毛坯  采光好', '宋都西湖花苑  | 5室3厅 | 224.36平米 | 南 | 其他', '高楼层(共11层)2007年建板楼  -  笔架山', '530万', '单价23623元/平米')
('https://image1.ljcdn.com/340100-inspection/abb9e6ea-1c04-496c-a8cc-a1731f274101.JPG.296x216.jpg', '颐园世家      四室两厅一厨两卫', '颐园世家  | 4室2厅 | 164.04平米 | 南 | 其他', '高楼层(共11层)2005年建板楼  -  笔架山', '360万', '单价21946元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload9bca4055-a6fe-4c99-ab31-a57799e7589b.jpg.296x216.jpg', '精装大三房    楼层好    视野好', '山水名城  | 3室2厅 | 142平米 | 南 北 | 其他', '高楼层(共11层)2008年建塔楼  -  笔架山', '350万', '单价24648元/平米')
('https://image1.ljcdn.com/340100-inspection/9376c12b-0a2f-4f58-b9ca-f61e0e5268ac.jpg.296x216.jpg', '此房满两年 精装修 采光好 近公园 诚售 管理很好', '旭辉花园  | 4室2厅 | 157.1平米 | 南 | 其他', '32层2012年建板楼  -  荷叶地', '408万', '单价25971元/平米')
('', '天鹅湖畔 3室2厅 420万', '天鹅湖畔  | 3室2厅 | 130.5平米 | 南 北 | 其他', '低楼层(共18层)2008年建塔楼  -  笔架山', '420万', '单价32184元/平米')
('', '为你而选为你为家  绿怡居西区 小两居', '绿怡居西区  | 2室1厅 | 70.2平米 | 南 北 | 其他', '中楼层(共6层)2004年建板楼  -  荷叶地', '130万', '单价18519元/平米')
('', '满两年 楼层好 视野好 朝北是公园！', '水墨兰庭  | 1室1厅 | 45.14平米 | 北 | 其他', '高楼层(共24层)2005年建塔楼  -  笔架山', '118万', '单价26141元/平米')
('', '国际丽景城，八中旁边，五十中 环境好', '国际丽晶城  | 2室2厅 | 87.29平米 | 南 | 其他', '低楼层(共18层)2006年建塔楼  -  笔架山', '210万', '单价24058元/平米')
('', '两居室，采光好，视野开阔，配套设施齐全', '融侨天骏  | 2室2厅 | 86平米 | 南 北 | 其他', '高楼层(共33层)2010年建塔楼  -  笔架山', '210万', '单价24419元/平米')
('https://image1.ljcdn.com/340100-inspection/4894e70b-ced6-4fd5-842e-12378e338a14.jpg.296x216.jpg', '楼栋位置好 中间楼层 两房朝南 配套齐全 诚心出售', '琥珀五环城和雅阁  | 3室2厅 | 103平米 | 南 | 其他', '中楼层(共31层)2011年建塔楼  -  荷叶地', '206万', '单价20000元/平米')
('', '森林海 2室1厅 218万', '森林海  | 2室1厅 | 98.96平米 | 南 | 其他', '低楼层(共33层)2010年建塔楼  -  笔架山', '218万', '单价22030元/平米')
('', '天鹅湾花园两房出售，满五年，小区环境好', '天鹅湾花园  | 2室2厅 | 89.9平米 | 南 | 其他', '低楼层(共18层)2008年建塔楼  -  笔架山', '238万', '单价26474元/平米')
('https://image1.ljcdn.com/340100-inspection/fd7c3a4b-430e-44ef-8cd0-3bf226c87bed.jpg.296x216.jpg', '天鹅湖旁  地段好  配套完善    户型好', '华邦世贸城  | 3室2厅 | 84.11平米 | 南 | 其他', '低楼层(共34层)2013年建板楼  -  荷叶地', '175万', '单价20807元/平米')
('https://image1.ljcdn.com/340100-inspection/400562de-1ffb-4cb7-87f5-f4f99f8b6a0d.jpg.296x216.jpg', '天鹅湖旁，万达公寓，精装，拎包入住，单价低', '天鹅湖万达广场  | 1室0厅 | 67.3平米 | 西南 | 其他', '中楼层(共24层)2009年建板塔结合  -  笔架山', '69万', '单价10253元/平米')
('https://image1.ljcdn.com/340100-inspection/b2c1357d-79a4-4be8-879e-33a905c1bd37.jpg.296x216.jpg', '融侨天骏 南北通透四房 楼层好 视野开阔', '融侨天骏  | 4室2厅 | 139平米 | 南 北 | 其他', '高楼层(共33层)2010年建塔楼  -  笔架山', '325万', '单价23382元/平米')
('https://image1.ljcdn.com/340100-inspection/2679d25f-43bf-4ae7-aa5f-b47077fbb33e.jpg.296x216.jpg', '政务区，国建香榭水都 叠拼别墅 精装修 即可拎包入住', '国建香榭水都   | 叠拼别墅 | 5室3厅 | 230平米 | 南 | 其他', '上叠(共4层)2008年建板塔结合  -  笔架山', '550万', '单价23914元/平米')
('https://image1.ljcdn.com/340100-inspection/08628e93-79e9-4d5d-a7ea-8e8f4c66e7c6.JPG.296x216.jpg', '博物馆旁 南北通透 精装修 交通便利 配套成熟', '三盛颐景园  | 3室2厅 | 129.6平米 | 南 北 | 其他', '低楼层(共16层)2008年建板楼  -  笔架山', '300万', '单价23149元/平米')
('https://image1.ljcdn.com/340100-inspection/31243446-1a72-4357-ba8d-2ff8dccede07.jpg.296x216.jpg', '通风性好  户型方正 满五唯一 生活便利', '翠庭园  | 3室2厅 | 101.6平米 | 南 | 其他', '中楼层(共6层)2000年建板楼  -  笔架山', '218万', '单价21457元/平米')
('https://image1.ljcdn.com/340100-inspection/925caf05-f078-4014-a390-b1b995dad41e.JPG.296x216.jpg', '为你而选为你为家 华润凯旋门199平！', '凯旋门  | 3室2厅 | 199.13平米 | 南 北 | 其他', '低楼层(共47层)2012年建塔楼  -  荷叶地', '520万', '单价26114元/平米')
('', '此房楼层好，采光好，视野开阔，位置安静。', '国际丽晶城  | 3室2厅 | 97.58平米 | 南 | 其他', '低楼层(共18层)2006年建塔楼  -  笔架山', '260万', '单价26645元/平米')
('https://image1.ljcdn.com/340100-inspection/6859025f-e9c2-4a4d-b46e-731024f6b7eb.jpg.296x216.jpg', '款清满两年精装修，可看绿洲公园', '栢悦公馆  | 2室2厅 | 96平米 | 东 西 | 精装', '低楼层(共33层)2012年建塔楼  -  荷叶地', '315万', '单价32813元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload793665ab-1134-4726-8cac-62045f74b2ee.jpg.296x216.jpg', '四方单位房 三房朝南 交通便利 大政务 天鹅湖 50中', '四方新村  | 3室1厅 | 88.8平米 | 南 北 | 其他', '高楼层(共6层)1990年建塔楼  -  荷叶地', '139万', '单价15654元/平米')
('', '交通便利，户型好，四居室，小区位置安静，楼层好', '天和园  | 4室2厅 | 144平米 | 南 北 | 其他', '高楼层(共18层)2008年建塔楼  -  笔架山', '330万', '单价22917元/平米')
('', '满五年，税费低，周边配套成熟，出行便利', '国际花都玫瑰苑  | 3室2厅 | 124.49平米 | 南 北 | 其他', '低楼层(共11层)2005年建塔楼  -  荷叶地', '270万', '单价21689元/平米')
('https://image1.ljcdn.com/340100-inspection/ff723aed-3bb8-4f1b-8a25-9da251429496.jpg.296x216.jpg', '低单价，复式，温馨精装修，拎包入住', '国际花都郁金苑  | 4室2厅 | 124平米 | 南 | 其他', '高楼层(共6层)2003年建板楼  -  荷叶地', '219万', '单价17662元/平米')
('https://image1.ljcdn.com/340100-inspection/6bdffb0f-a7d8-4c6c-8ee9-ddf9cc9efe87.JPG.296x216.jpg', '万达商圈生活便捷 朝南拎包入住', '天鹅湖万达广场  | 2室1厅 | 56平米 | 北 | 其他', '低楼层(共24层)2009年建板塔结合  -  笔架山', '56万', '单价10000元/平米')
('https://image1.ljcdn.com/340100-inspection/d9648a00-6760-4ab6-85e9-08a457c9c8ea.jpg.296x216.jpg', '汇林阁 自住装修 2居室 看房方便 诚心出售', '汇林阁东区  | 2室1厅 | 79.7平米 | 南 | 其他', '中楼层(共6层)2006年建板楼  -  笔架山', '160万', '单价20076元/平米')
('https://image1.ljcdn.com/340100-inspection/0e366603-7a19-43c4-b1b6-4928d802122e.jpg.296x216.jpg', '华邦精装顶楼复式，送大露台，采光充足，业主诚心卖', '华邦世贸城  | 4室4厅 | 153平米 | 南 北 | 其他', '高楼层(共33层)2013年建板楼  -  荷叶地', '380万', '单价24837元/平米')
('', '楼层好 采光足 视野开阔 业主诚心出售', '融侨天骏  | 4室2厅 | 128.51平米 | 南 | 其他', '高楼层(共33层)2010年建塔楼  -  笔架山', '350万', '单价27236元/平米')
('https://image1.ljcdn.com/340100-inspection/98731dc9-9ae0-4336-85e0-b64eff26864c.jpg.296x216.jpg', '嘉和苑无公摊的大三房，带阁楼，视野好，出行生活方便', '嘉和苑小区  | 3室2厅 | 87.34平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  荷叶地', '135万', '单价15457元/平米')
('https://image1.ljcdn.com/340100-inspection/07ca2fc0-4477-453f-9bc6-d4a58cca2555.jpg.296x216.jpg', '满五年 天鹅湖公园  万达广场对面 汇林阁公园', '水墨兰庭  | 3室2厅 | 117平米 | 南 | 简装', '高楼层(共9层)2005年建板楼  -  笔架山', '265万', '单价22650元/平米')
('', '天鹅湖 山水名城50中双地铁 精装3房2厅  采光充足', '山水名城  | 3室2厅 | 143.79平米 | 南 | 简装', '低楼层(共18层)2008年建塔楼  -  笔架山', '295万', '单价20517元/平米')
('https://image1.ljcdn.com/340100-inspection/60aec72a-8259-48b5-93a0-854acf82dbbf.jpg.296x216.jpg', '此房满两年免增值税，中上楼层采光佳，精装可拎包入住', '内森庄园  | 5室2厅 | 245.98平米 | 南 北 | 其他', '高楼层(共15层)2014年建塔楼  -  笔架山', '550万', '单价22360元/平米')
('https://image1.ljcdn.com/340100-inspection/0e969248-0640-4111-bfd0-10123c1a16f2.jpg.296x216.jpg', '政务区两房，顶楼复式，采光好，配套齐全', '绿怡居东区  | 2室2厅 | 73平米 | 南 | 其他', '高楼层(共6层)2004年建板楼  -  荷叶地', '102万', '单价13973元/平米')
('', '内森庄园 内复式纯毛坯  无按揭', '内森庄园  | 3室2厅 | 274.39平米 | 南 北 | 其他', '低楼层(共15层)2014年建塔楼  -  笔架山', '600万', '单价21867元/平米')
('', '森林海 2室1厅 225万', '森林海  | 2室1厅 | 97.28平米 | 南 | 其他', '高楼层(共32层)2010年建塔楼  -  笔架山', '225万', '单价23130元/平米')
('https://image1.ljcdn.com/340100-inspection/724addee-d3ab-49cf-a2b2-66b83d97057b.jpg.296x216.jpg', '[为你而选为你为家] 满五 双卧朝南 客厅大', '翠庭园  | 2室2厅 | 82.72平米 | 南 | 其他', '低楼层(共6层)2000年建板楼  -  笔架山', '166万', '单价20068元/平米')
('https://image1.ljcdn.com/340100-inspection/16817920-8267-4e42-add4-9574cc1eb790.jpg.296x216.jpg', '此房户型很好，大平层，纯毛坯，业主诚售', '琥珀五环城和雅阁  | 4室2厅 | 203.89平米 | 南 | 其他', '中楼层(共28层)2011年建塔楼  -  荷叶地', '504万', '单价24720元/平米')
('https://image1.ljcdn.com/340100-inspection/dd61d8cf-e7ff-425d-9621-51debb8c4917.jpg.296x216.jpg', '三盛颐景园     2室2厅1厨1卫', '三盛颐景园  | 2室2厅 | 97.8平米 | 南 北 | 其他', '中楼层(共10层)2008年建板楼  -  笔架山', '255万', '单价26074元/平米')
('', '新地中心 开发商统一精装修 位置好 楼层好 采光足', '新地中心  | 3室2厅 | 159.17平米 | 南 | 其他', '中楼层(共40层)2012年建塔楼  -  荷叶地', '456万', '单价28649元/平米')
('https://image1.ljcdn.com/340100-inspection/7a145d66-8552-4475-a3aa-26b8aa553cd3.jpg.296x216.jpg', '无贷款 精装修 有大露台 采光充足', '颐园世家  | 4室3厅 | 150.3平米 | 南 北 | 其他', '中楼层(共16层)2005年建板楼  -  笔架山', '390万', '单价25949元/平米')
('https://image1.ljcdn.com/340100-inspection/bee1e446-6448-4537-9f42-77d0fb91f2ae.jpg.296x216.jpg', '为你而选为你为家 华润凯旋门！', '凯旋门  | 3室2厅 | 111.04平米 | 南 | 其他', '低楼层(共41层)2012年建塔楼  -  荷叶地', '290万', '单价26117元/平米')
('', '浅水湾边户两房休闲购物方便，交通便利', '浅水湾  | 2室2厅 | 96.6平米 | 南 北 | 其他', '低楼层(共11层)2004年建塔楼  -  荷叶地', '180万', '单价18634元/平米')
('https://image1.ljcdn.com/340100-inspection/eb81309f-787a-4c03-bdf2-a80a159a1ddd.JPG.296x216.jpg', '通风性好，满两年，赠送40平空中庭院+产权车位', '天鹅湖一号  | 3室2厅 | 139平米 | 南 北 | 其他', '高楼层(共34层)2011年建塔楼  -  荷叶地', '340万', '单价24461元/平米')
('https://image1.ljcdn.com/340100-inspection/e996f383-37ef-44a0-b7e7-9d1daa4879ac.jpg.296x216.jpg', '精装三房，品质小区，可观天鹅湖，采光充足，单价低', '华邦世贸城  | 3室2厅 | 116平米 | 南 | 其他', '高楼层(共30层)2013年建板楼  -  荷叶地', '260万', '单价22414元/平米')
('', '为你而选，为你为家嘉和苑小户型', '嘉和苑小区  | 1室1厅 | 42.67平米 | 南 | 其他', '中楼层(共5层)2008年建板楼  -  荷叶地', '85万', '单价19921元/平米')
('https://image1.ljcdn.com/340100-inspection/5e058c20-f14c-48be-b070-d201b92c833d.jpg.296x216.jpg', '两开间朝南 居家装修 没有双税 业主诚心卖', '陶然居  | 2室2厅 | 82.14平米 | 南 北 | 其他', '中楼层(共18层)2009年建板楼  -  荷叶地', '175万', '单价21306元/平米')
('', '生活便利   拎包入住   采光好', 'imore公寓  | 2室1厅 | 72.44平米 | 南 | 其他', '低楼层(共35层)2014年建塔楼  -  笔架山', '130万', '单价17946元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadc31a477e-95d7-4d60-b43a-98d861f2e61c.jpg.296x216.jpg', '为你而选 为你为家 南北通透  采光充足  急售', '岸上玫瑰  | 5室3厅 | 223.25平米 | 南 北 | 毛坯', '高楼层(共6层)2009年建板楼  -  笔架山', '395万', '单价17694元/平米')
('https://image1.ljcdn.com/340100-inspection/f8cb7b6e-c083-4ce4-8dc1-fd5c6320321e.jpg.296x216.jpg', '天鹅湖边小区采光好，精装修、居家必备之选', '天香苑  | 2室2厅 | 92.4平米 | 南 | 其他', '中楼层(共11层)2005年建塔楼  -  荷叶地', '205万', '单价22187元/平米')
('https://image1.ljcdn.com/340100-inspection/33610415-60f9-4439-b7ad-5465d229af06.jpg.296x216.jpg', '为你而选为你为家 天鹅湖一号 两房朝南', '天鹅湖一号  | 2室2厅 | 90.2平米 | 南 | 其他', '低楼层(共34层)2011年建塔楼  -  荷叶地', '220万', '单价24391元/平米')
('https://image1.ljcdn.com/340100-inspection/cc6b6ed0-9aa9-42ee-9b55-8bfc1e3ff825.jpg.296x216.jpg', '文一名门首府 3室2厅 202万', '文一名门首府  | 3室2厅 | 89.31平米 | 南 | 其他', '低楼层(共34层)2017年建塔楼  -  兴园', '202万', '单价22618元/平米')
('', '凯旋门三房对外出售 简单装修，小区环境优美', '凯旋门  | 3室2厅 | 113平米 | 南 | 其他', '低楼层(共41层)2012年建塔楼  -  荷叶地', '290万', '单价25664元/平米')
('https://image1.ljcdn.com/340100-inspection/07549d63-b678-4edc-9f72-2b4970b9e173.jpg.296x216.jpg', '为你而选为你为家 市政公园周边新上大三房 采光充足', '湖东景园南区  | 3室2厅 | 132.97平米 | 南 北 | 其他', '中楼层(共24层)2013年建板楼  -  荷叶地', '278万', '单价20907元/平米')
('https://image1.ljcdn.com/340100-inspection/2cd8b6e5-1d3d-4916-a22c-af7274da5c81.JPG.296x216.jpg', '政务区湖畔春天毛坯大三房，满五唯一。', '湖畔春天  | 3室2厅 | 135平米 | 南 | 其他', '中楼层(共10层)2006年建板楼  -  笔架山', '315万', '单价23334元/平米')
('https://image1.ljcdn.com/340100-inspection/02acac64-c591-42f7-bc11-e9c8a3d8e04e.png.296x216.jpg', '为你而选为你为家 凯旋门精装一居室 中间楼层 诚心卖', '凯旋门  | 1室1厅 | 46平米 | 东北 | 其他', '中楼层(共47层)2012年建塔楼  -  荷叶地', '125万', '单价27174元/平米')
('https://image1.ljcdn.com/340100-inspection/c62e33a0-cc28-4353-9f18-9351c1f99bcf.jpg.296x216.jpg', '华润凯旋门 精装公寓 70年产权 楼层好 总价低', '凯旋门  | 1室1厅 | 36平米 | 东 | 其他', '中楼层(共47层)2012年建塔楼  -  荷叶地', '98万', '单价27223元/平米')
('', '新地中心开发商精装修对外出售，好楼层，观景天鹅湖', '新地中心  | 5室2厅 | 214.33平米 | 南 北 | 其他', '中楼层(共44层)2012年建塔楼  -  荷叶地', '660万', '单价30794元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload4f388412-b96e-45e3-b419-809029e78e03.jpg.296x216.jpg', '内森庄园 独栋别墅 近三百方院子 带电梯 定制房', '内森庄园  | 5室2厅 | 715平米 | 南 | 其他', '低楼层(共3层)2014年建板楼  -  笔架山', '2560万', '单价35805元/平米')
('https://image1.ljcdn.com/340100-inspection/eacc5a96-94fd-4a65-8401-0b9aae1e11d5.jpg.296x216.jpg', '天珑广场三居出售 新小区  楼下就是商业 看房方便', '天珑广场  | 3室2厅 | 98.5平米 | 南 | 其他', '中楼层(共31层)塔楼  -  荷叶地', '280万', '单价28427元/平米')
('', '楼层佳，诚意出售，看房方便！！！', '明珠创世纪花园  | 3室2厅 | 118.93平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  荷叶地', '182万', '单价15304元/平米')
('https://image1.ljcdn.com/340100-inspection/dff0b6d0-6cce-472e-ba15-4089ed3fb772.jpg.296x216.jpg', '满2 毛坯三居室 中间楼层 阳光不错  业主诚售', '凯旋门  | 3室2厅 | 135平米 | 南 | 其他', '中楼层(共41层)2012年建塔楼  -  荷叶地', '370万', '单价27408元/平米')
('https://image1.ljcdn.com/340100-inspection/2d6f6106-3761-4f8a-9bf7-7231b1de70f4.jpg.296x216.jpg', '户型正，大阳台，满两年，采光好。', '乐富强御龙湾  | 2室2厅 | 89.67平米 | 南 | 其他', '中楼层(共33层)2011年建塔楼  -  笔架山', '220万', '单价24535元/平米')
('https://image1.ljcdn.com/340100-inspection/dcb80e9a-4601-48c4-a02b-8354287cf66f.jpg.296x216.jpg', '业主自住，诚意出售，带产权车位', '乐富强御龙湾  | 5室2厅 | 143平米 | 南 | 其他', '低楼层(共30层)2011年建塔楼  -  笔架山', '378万', '单价26434元/平米')
('', '水墨兰庭北区  万达广场旁边 天鹅湖 西园', '水墨兰庭北区  | 3室2厅 | 126平米 | 南 北 | 其他', '高楼层(共29层)2005年建板楼  -  笔架山', '300万', '单价23810元/平米')
('', '信达水岸茗都 纯南向 精装修两居室 满五唯一', '信达水岸茗都  | 2室2厅 | 94.37平米 | 南 | 其他', '中楼层(共18层)2008年建板楼  -  笔架山', '256万', '单价27128元/平米')
('https://image1.ljcdn.com/340100-inspection/5e0fc1d7-9beb-4cdd-9877-303848e22a95.jpg.296x216.jpg', '凯旋门  通透毛坯大平层 四开间朝南 层高3米2', '凯旋门  | 4室2厅 | 312.31平米 | 南 北 | 其他', '中楼层(共35层)2012年建塔楼  -  荷叶地', '720万', '单价23055元/平米')
('https://image1.ljcdn.com/340100-inspection/de363899-83db-4c57-9457-601dcad219e1.jpg.296x216.jpg', '为你而选为你为家 文一名 门首 府精装4室 通透户型', '文一名门首府  | 4室2厅 | 106平米 | 南 北 | 其他', '中楼层(共34层)2017年建塔楼  -  兴园', '249万', '单价23491元/平米')
('', '融侨南北通透大四房，中间楼层、业主诚心售', '融侨天骏  | 4室2厅 | 128平米 | 南 北 | 其他', '中楼层(共33层)2010年建塔楼  -  笔架山', '320万', '单价25000元/平米')
('https://image1.ljcdn.com/340100-inspection/8fb65462-ab74-47dc-a8c8-99e33d212913.jpg.296x216.jpg', '水墨北区2居室 楼层采光好！生活配套齐全！自住装修。', '水墨兰庭北区  | 2室2厅 | 88平米 | 南 | 其他', '低楼层(共29层)2005年建板楼  -  笔架山', '218万', '单价24773元/平米')
('https://image1.ljcdn.com/340100-inspection/abe0dd95-46bb-4804-98de-fa2dee2e53e8.jpg.296x216.jpg', '此房满五唯一，单价低，采光好，出租装修', '发能太阳海岸  | 3室2厅 | 88.06平米 | 南 | 其他', '中楼层(共32层)2010年建塔楼  -  笔架山', '180万', '单价20441元/平米')
('https://image1.ljcdn.com/340100-inspection/dfd8e6c9-ba22-4b19-953f-8c641862d72d.jpg.296x216.jpg', '祥源汇博名座 1居室 小户型 满5年', '祥源汇博名座  | 1室1厅 | 50.94平米 | 南 | 其他', '低楼层(共26层)2010年建塔楼  -  荷叶地', '108万', '单价21202元/平米')
('', '为你而选为你为家 湖东景园四居室 市政供暖 南北通透', '湖东景园南区  | 4室2厅 | 169.17平米 | 南 北 | 其他', '中楼层(共26层)2013年建板楼  -  荷叶地', '340万', '单价20099元/平米')
('', '户型方正，满五唯一，采光充足，交通便利，配套成熟', '三盛颐景园  | 2室2厅 | 103.92平米 | 南 | 其他', '中楼层(共10层)2008年建板楼  -  笔架山', '235万', '单价22614元/平米')
('https://image1.ljcdn.com/340100-inspection/test-fa0365e8-48c3-4fe3-892e-c77455894fd5.png.296x216.jpg', '凯旋门三期 纯毛坯 实用三房 看房方便 诚心出售', '凯旋门  | 3室2厅 | 113.09平米 | 南 | 其他', '低楼层(共41层)2012年建塔楼  -  荷叶地', '278万', '单价24583元/平米')
('https://image1.ljcdn.com/340100-inspection/6ad5e389-3883-40e4-8c7b-d6a52ae351ad.jpg.296x216.jpg', '五环城大三房 精装修可拎包入住  看房随时', '琥珀五环城和风阁  | 3室1厅 | 128.8平米 | 南 | 其他', '中楼层(共33层)2016年建塔楼  -  荷叶地', '265万', '单价20575元/平米')
('', '交通便利，户型好，四居室位置安静，满五年.采光好', '天和园  | 4室2厅 | 143平米 | 南 北 | 其他', '低楼层(共18层)2008年建塔楼  -  笔架山', '286万', '单价20000元/平米')
('https://image1.ljcdn.com/340100-inspection/34e89d55-0cd5-4159-9835-9e7d6081e3ed.JPG.296x216.jpg', '为你而选为你为家 顶楼复式 使用面积大 看房方便', '颐园世家  | 5室2厅 | 210平米 | 南 | 其他', '中楼层(共16层)2005年建板楼  -  笔架山', '425万', '单价20239元/平米')
('https://image1.ljcdn.com/340100-inspection/bb03ec0e-9743-42ce-be77-f23348ee34fe.jpg.296x216.jpg', '满五年，户型方正，此房在小区的位置和楼层非常好', '水墨兰庭  | 3室2厅 | 135.59平米 | 南 北 | 其他', '中楼层(共6层)2005年建板楼  -  笔架山', '350万', '单价25814元/平米')
('https://image1.ljcdn.com/340100-inspection/617a6145-312b-4065-b953-ac6876fd0519.JPG.296x216.jpg', '岸上玫瑰 3室2厅 390万', '岸上玫瑰  | 3室2厅 | 140平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  笔架山', '390万', '单价27858元/平米')
('', '为你而选为你为家 烟草局单位房 两梯两户南北通三房', '湖畔徽映阁  | 3室2厅 | 136.05平米 | 南 北 | 其他', '低楼层(共31层)2012年建塔楼  -  荷叶地', '340万', '单价24991元/平米')
('', '开发商精装朝南一居室，户型方正，毗邻天鹅湖', 'imore公寓  | 1室1厅 | 72.44平米 | 南 | 其他', '低楼层(共35层)2014年建塔楼  -  笔架山', '122万', '单价16842元/平米')
('https://image1.ljcdn.com/340100-inspection/243a3d19-8056-41e3-9fb8-b2fcd8e48e94.jpg.296x216.jpg', '内森庄园 独栋别墅 靠小区里面位置 负一带泳池', '内森庄园   | 联排别墅 | 7室2厅 | 1064平米 | 南 北 | 毛坯', '3层2014年建板塔结合  -  笔架山', '3300万', '单价31016元/平米')
('https://image1.ljcdn.com/340100-inspection/d5243651-269b-4ba9-815a-fad59f0f5d92.JPG.296x216.jpg', '生活便利    自住房    满五年', '翠庭园  | 3室2厅 | 107平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  笔架山', '190万', '单价17758元/平米')
('', '丹青花园大三房，户型方正，交通便利', '丹青花园  | 3室2厅 | 133平米 | 南 | 其他', '低楼层(共11层)2006年建板楼  -  荷叶地', '225万', '单价16918元/平米')
('https://image1.ljcdn.com/340100-inspection/4f4db6b8-8c3d-4bc3-84bb-cd7c44f35056.JPG.296x216.jpg', '融科九重锦，南向小三居，目前空置，看房提前约', '融科九重锦  | 3室1厅 | 88平米 | 南 | 其他', '中楼层(共33层)2010年建塔楼  -  笔架山', '220万', '单价25000元/平米')
('https://image1.ljcdn.com/340100-inspection/497c3620-df82-4ab6-9c50-3279884f2a04.jpg.296x216.jpg', '花园洋房，送花园28平方，位置安静，采光好！', '融侨天骏  | 4室2厅 | 203.5平米 | 南 北 | 其他', '低楼层(共6层)2010年建塔楼  -  笔架山', '465万', '单价22851元/平米')
('https://image1.ljcdn.com/340100-inspection/3eebfbf9-c044-486d-82e3-22b5c8e5f100.jpg.296x216.jpg', '精装三房 交通便利 采光好，视野开阔', '保利香槟国际  | 3室2厅 | 109.52平米 | 南 北 | 精装', '低楼层(共34层)2016年建塔楼  -  兴园', '300万', '单价27393元/平米')
('', '天香苑  两房  中间楼层  采光好', '天香苑  | 2室2厅 | 91.2平米 | 南 | 其他', '中楼层(共11层)2005年建塔楼  -  荷叶地', '193万', '单价21163元/平米')
